,name,industry,headquarters,founded,area_served
470,schwan-stabilo,stationery sports equipment,heroldsberg,1855,worldwide
471,schneider electric,electrical equipment,rueil-malmaison,1836,worldwide
472,schindler group,vertical transportation,rueil-malmaison,1874,worldwide(except japan because the minato ward 2006 elevator accident)
473,schleich,"toys, figurines",rueil-malmaison,1935,worldwide
474,scotiabank,banking financial services,"toronto, ontario, canada[1]",0,
475,scholastic corporation,children's literacy and education,scholastic building,0,
476,seiko,electronics watchmaking,ginza,1881,
477,sears,retail,ginza,1892,united states
478,sennheiser,audio electronics,wedemark,0,
479,sphero,robotics toys,"boulder, colorado",2010,
480,spin master,toys and entertainment,"225 king street w., suite 200",0,worldwide
481,serta (company),furnishings,"225 king street w., suite 200",1931,
482,seagate technology,computer storage,"fremont, california",0,worldwide
483,sega sammy holdings,mass media,tokyo,0,worldwide
484,sealy corporation,furnishings,tokyo,1881,
485,servcorp,serviced offices,sydney,1978,
486,severstal,"steel, mining",cherepovets,1993,
487,sf express,air freight and logistics,cherepovets,1993,worldwide
488,sgs s.a.,quality,geneva,1878,
489,shenzhen airlines,quality,shenzhen bao'an international airport,0,
490,shiseido,consumer goods,shenzhen bao'an international airport,1872,worldwide
491,shopee,e-commerce,shenzhen bao'an international airport,0,12 countries indonesia malaysia philippines singapore thailand vietnam taiwan brazil chile colombia mexico poland
492,siemens,conglomerate,munich,0,worldwide
493,sime darby property,property development property investment hospitality,munich,2007,
494,silkroad technology,human resources software,munich,0,worldwide
495,singtel,telecommunications,munich,1879,"asia, australia and africa"
496,sinopec,oil and gas,chaoyang district,0,worldwide
497,bic (company),manufacturing,chaoyang district,0,worldwide
498,snapchat,manufacturing,chaoyang district,0,
499,the pinkfong company,animation production,seocho-dong,0,
500,sm investments,conglomerate,mall of asia complex,1958,philippines
501,société générale,financial services,boulevard haussmann,0,worldwide
502,sogou,internet,beijing,0,
503,sk group,conglomerate,seoul,0,worldwide
504,skullcandy,audio,"park city, utah",2003,
505,skype,audio,"park city, utah",2003,
506,koda transportation,rail transport machinery,plze?,1995,worldwide
507,solaris bus & coach,automotive industry,bolechowo,1999,worldwide
508,sony,conglomerate,"minato, tokyo",0,worldwide
509,softbank group,conglomerate,"minato-ku, tokyo",0,
510,southwest airlines,conglomerate,"dallas, texas",0,
511,square enix,media entertainment,shinjuku,0,worldwide
512,staedtler,stationery,shinjuku,0,worldwide
513,standard chartered,"banking, financial services",london,0,worldwide
514,starbucks,coffee shop,london,0,84 countries
515,state bank of india,"banking, financial services",nariman point,0,worldwide
516,safeway,retail / grocery,"pleasanton, california",0,17 states
517,subway (restaurant),restaurants,"pleasanton, california",0,worldwide (100+ countries)
518,stellantis,automotive production systems,"pleasanton, california",0,worldwide
519,suntory,beverage,"pleasanton, california",0,
520,suzuki,automotive,"pleasanton, california",0,worldwide
521,swarovski,"fashion, crystal, and jewelry",wattens,1895,
522,swinkels family brewers,"beverages, malt",wattens,0,worldwide
523,taco maker,"beverages, malt",wattens,0,
524,taiwan beer,"beverages, malt",wattens,0,
525,take-two interactive,video games,wattens,0,
526,"tapestry, inc.","fashion, accessories",10 hudson yards,2017,
527,target corporation,retail,,0,"united states, canada (formerly, see target canada)"
528,tata motors,automotive,mumbai,1945,worldwide
529,tabasco sauce,food,mumbai,1868,
530,tate & lyle,food processing,london,0,
531,tcl technology,consumer electronics home appliances finance,london,1981,worldwide
532,tata consultancy services,information technology consulting outsourcing,mumbai,1968,worldwide
533,teac corporation,electronics,mumbai,0,
534,technisat,electronics,mumbai,0,
535,tech mahindra,information technology consulting outsourcing,pune,0,worldwide
536,technicolor,information technology consulting outsourcing,pune,0,
537,telefónica,telecommunications,pune,0,worldwide
538,telus,telecommunications it consulting,vancouver,1990,
539,tencent,conglomerate,tencent binhai mansion,0,worldwide
540,the home depot,retailing,tencent binhai mansion,0,
541,the hershey company,food processing,tencent binhai mansion,0,worldwide
542,the swatch group,watchmaking jewellery,tencent binhai mansion,1983,worldwide
543,tesco,retail,welwyn garden city,1919,
544,"tesla, inc.",automotive renewable energy,13101 tesla road,0,north america europe oceania east asia middle east southeast asia
545,tetra pak,food packaging,,1951,worldwide
546,telstra,telecommunications,telstra corporate centre,0,australia worldwide (selected products)
547,texas instruments,semiconductors,telstra corporate centre,1930,
548,textron,aerospace industry automotive industry defense industry,"providence, rhode island, us",1923,
549,thomson reuters,mass media,"providence, rhode island, us",0,worldwide
550,ting hsin international group,food,"providence, rhode island, us",0,greater china region
551,tissot,watchmaking,"providence, rhode island, us",1853,150 countries
552,tkk fried chicken,food,new taipei city,0,worldwide
553,toshiba,conglomerate,new taipei city,0,worldwide
554,tomtom,"consumer electronics, navigation technology",amsterdam,1991,
555,tomy,"toys, video games, children's products and apparel","katsushika, tokyo",0,worldwide
556,totalenergies,petroleum energy,tour total,0,worldwide
557,towers watson,professional services,tour total,2010,global
558,tpg telecom,telecommunications,"north sydney, new south wales",2009,
559,tdk,electronics,"nihonbashi, ch??, tokyo",0,worldwide
560,oao tmk,steel industry,"nihonbashi, ch??, tokyo",2001,
561,toyota,automotive,"nihonbashi, ch??, tokyo",0,worldwide
562,trend micro,computer software,"irving, texas",0,worldwide
563,tp-link,networking equipment,"irving, texas",1996,worldwide
564,tsmc,semiconductors,"irving, texas",0,worldwide
565,typotheque,graphic design,"irving, texas",1999,
566,uber,transportation mobility as a service,"san francisco, california",0,"approximately 72 countries and 10,500 cities"
567,ülker,food processing,istanbul,0,worldwide
568,united microelectronics corporation,semiconductor foundry,hsinchu science park,1980,
569,unicredit,financial services,hsinchu science park,1998,
570,unilever,consumer goods,london,0,worldwide
571,ubisoft,video games,london,0,worldwide
572,unisys,information technology consulting outsourcing,london,1986,worldwide
573,united airlines,information technology consulting outsourcing,willis tower,0,
574,the vanguard group,investment management,willis tower,0,
575,volvo,automotive,gothenburg,1927,worldwide
576,vanke,real estate,gothenburg,1984,
577,vestel,"consumer electronics, home appliances, information technology",manisa,1984,"europe, middle east, central asia"
578,vestas,electrical equipment,manisa,1945,
579,verisk analytics,data analytics and risk assessment,"jersey city, new jersey",1971,
580,vertiv,electrical equipment,"columbus, ohio",2016,worldwide
581,vf corporation,apparel accessories,denver,0,
582,viettel,telecommunication,hanoi,0,
583,victoria's secret,apparel,hanoi,0,
584,victorinox,apparel,hanoi,1884,worldwide
585,veon,telecommunications,hanoi,2009,"africa, asia, europe"
586,virgin group,conglomerate,hanoi,0,worldwide
587,vitol,"commodity, oil & gas",geneva,1966,global
588,vizio,electronics,geneva,0,north america
589,vivendi,media,geneva,0,worldwide
590,vinamilk,"dairy products, juice",ho chi minh city,1976,worldwide
591,vodafone,telecommunications,"newbury, berkshire, england, uk",0,worldwide
592,voith,mechanical engineering,heidenheim an der brenz,1867,
593,volkswagen group,automotive,heidenheim an der brenz,0,worldwide
594,the wendy's company,foodservice,heidenheim an der brenz,1884,worldwide
595,want want,food and drink,heidenheim an der brenz,1884,
596,walmart,retail,heidenheim an der brenz,0,worldwide
597,the walt disney company,media entertainment,team disney building,0,worldwide
598,warner bros. discovery,media entertainment,team disney building,0,worldwide
599,wawa (company),convenience store gas station fast food,team disney building,0,"delaware, florida, maryland, new jersey, pennsylvania, virginia and washington, d.c.; planned: alabama, georgia, indiana, kentucky, north carolina, ohio and tennessee; former: new york and connecticut"
600,whirlpool corporation,home appliances,team disney building,0,worldwide
601,wingstop,restaurants,"addison, texas",1994,canada france indonesia mexico singapore spain united arab emirates united kingdom united states
602,wipro,conglomerate,sarjapur road,0,worldwide
603,wirecard,financial services payment processor technology,aschheim,0,worldwide
604,xiaomi,consumer electronics computer hardware,haidian district,0,worldwide
605,xtep,sports equipment,haidian district,2001,worldwide
606,yakult,sports equipment,haidian district,2001,
607,yili group,dairy,"hohhot, inner mongolia",1993,
608,yamaha corporation,dairy,"hamamatsu, shizuoka",0,worldwide
609,yandex,internet search engine mapping streaming services internet retail,moscow,0,"russia, kazakhstan, belarus, uzbekistan, azerbaijan, georgia, armenia, israel, turkey, estonia, iran"
610,yokohama rubber company,manufacturing,moscow,0,
611,yamaha motor company,automotive,moscow,0,worldwide
612,yum! brands,foodservice,moscow,0,worldwide
613,zara (retailer),retail,moscow,1975,worldwide
614,zensar technologies,it services,"pune, india",0,
615,guangzhou zhujiang brewery group,beverages,"pune, india",1985,worldwide
616,zte,telecommunications equipment networking equipment,,1985,worldwide
617,zippo,manufacturing,bradford,1932,
618,zyxel,telecommunications,hsinchu science park,1989,worldwide
