,name,industry,headquarters,founded,area_served
118,carrefour,retail wholesaling,copenhagen,0,"europe, middle east, north africa, east africa, south asia, east asia, south america"
119,caterpillar inc.,heavy equipment engines financial services,"irving, texas",0,worldwide
120,celestica,electronics,toronto,1994,
121,celkon,"telecommunications, consumer electronics",hyderabad,2009,worldwide
122,cencosud,retail,santiago,1960,
123,chupa chups,confectionery,santiago,0,
124,china mobile,telecommunications,beijing,0,"china hong kong (as cmhk) pakistan (as zong) japan, thailand, united kingdom, singapore, italy and canada (as cmlink)"
125,changhong,television manufacturer,beijing,0,worldwide
126,chanel,fashion,london,1910,worldwide
127,chiquita,agriculture,"fort lauderdale, florida",0,
128,chevron corporation,energy oil and gas,"san ramon, california",0,worldwide
129,china merchants bank,banking,"san ramon, california",1987,worldwide
130,china resources,conglomerate,china resources headquarters,1938,mainland china hong kong
131,chubb limited,insurance and reinsurance,china resources headquarters,1985,worldwide
132,china international marine containers,shipping and logistics,shekou,0,worldwide
133,cisco,networking hardware networking software,shekou,0,worldwide
134,citigroup,financial services,388390 greenwich st.,0,worldwide
135,coolpad,consumer electronics,"shenzhen, china (general office) cayman islands (registered office) hong kong (second office)",0,worldwide
136,the coca-cola company,beverage,"shenzhen, china (general office) cayman islands (registered office) hong kong (second office)",0,worldwide
137,the coffee bean & tea leaf,restaurants retail coffee and tea,"shenzhen, china (general office) cayman islands (registered office) hong kong (second office)",0,united states bangladesh cambodia china egypt india indonesia israel kuwait malaysia middle east mongolia myanmar oman pakistan panama paraguay philippines singapore south korea sri lanka thailand vietnam
138,cognizant,information technology consulting outsourcing,"shenzhen, china (general office) cayman islands (registered office) hong kong (second office)",0,worldwide
139,colgate-palmolive,consumer goods,park avenue,1806,worldwide
140,comac,aviation,park avenue,0,worldwide
141,concentrix,business services,park avenue,1983,worldwide
142,conocophillips,oil and gas,park avenue,0,worldwide
143,copa airlines,oil and gas,panama city,0,
144,costco,retail,panama city,0,australia canada china france iceland japan korea mexico new zealand spain sweden puerto rico taiwan united kingdom united states[2]
145,coty inc.,beauty,panama city,1904,worldwide
146,creative technology,consumer electronics,panama city,0,worldwide
147,crédit agricole,financial services,panama city,0,worldwide
148,crocs,"wholesale trade, retail & consumer services, clothing & clothing accessories","broomfield, colorado",2002,
149,credit suisse,financial services,paradeplatz,1856,worldwide
150,cummins,"heavy equipment, automotive",cummins corporate office building,1919,
151,currys plc,consumer electronics,london,0,united kingdom ireland mainland europe
152,cyient,conglomerate,hyderabad,1991,worldwide
153,cyrusone,conglomerate,"dallas, texas",0,
154,d-link,networking equipment,"dallas, texas",0,
155,dabur,consumer goods,"dallas, texas",1884,worldwide
156,daikin,"electrical equipment, chemicals",kita-ku,0,
157,mercedes-benz group,automotive,kita-ku,1926,worldwide
158,dangote group,conglomerate construction materials,lagos,1981,
159,daihatsu,automotive,lagos,0,japan indonesia malaysia
160,danone,food processing,boulevard haussmann,0,
161,dalton maag,font design branding,boulevard haussmann,0,worldwide
162,joshua darden,font design branding,boulevard haussmann,0,
163,decathlon (retailer),retail,villeneuve d'ascq,1976,
164,deepin,retail,villeneuve d'ascq,1976,
165,dell,computer hardware computer software,villeneuve d'ascq,0,worldwide
166,deloitte,professional services,london,1845,worldwide
167,delta air lines,professional services,"atlanta, georgia",0,
168,deutsche bank,banking financial services,deutsche bank twin towers,0,worldwide
169,diageo,beverages,london,1997,
170,dine brands,restaurants,london,1958,worldwide
171,currys plc,consumer electronics,london,0,united kingdom ireland mainland europe
172,dow chemical company,chemicals,"midland, michigan",1897,worldwide
173,dollar tree,"retail, variety, discount","burnaby, british columbia",0,canada
174,docusign,software,"burnaby, british columbia",2003,
