revenue_2017_eu,revenue_2017,revenue_2017_euro,name,number_of_employees_2020,employees,employees_number_2020,employees_2020,founding_year,founded,compound_annual_growth_rate_cagr_pct,revenue_2020_euro,revenue,revenue_2020,revenue_2020_eu,sector,industry,absolute_growth_rate_pct,country,number_of_employees_2017,employees_2017,employees_number_2017
,,,begreat,16,,,,2012,,167.01,doll_5.14 m,,,,retail,,"1,803.65",germany,4,,
,,,tsunami nutrition*,17,,,,2017,,166.0,doll_6.95 m,,,,ecommerce,,"1,782.11",italy,2,,
,,,matt sleeps,6,,,,2016,,163.5,doll_9.79 m,,,,interiors,,"1,729.53",the netherlands,2,,
,,,tessian,138,,,,2013,,162.21,doll_15.37 m,,,,technology,,"1,702.70",uk,28,,
,,,solarisbank,369,,,,2016,,161.62,doll_35.94 m,,,,financial services,,"1,690.63",germany,98,,
,,,m2dg (myflexoffice),21,,,,2016,,160.45,doll_6.63 m,,,,support services,,"1,666.64",france,2,,
,,,eukon,11,,,,2004,,160.35,doll_6.39 m,,,,health,,"1,664.65",italy,2,,
,,,evolution adv,13,,,,2016,,160.07,doll_14.18 m,,,,advertising,,"1,659.07",italy,3,,
,,,making science,274,,,,2001,,159.33,doll_57.67 m,,,,technology,,"1,644.00",spain,47,,
,,,everli,207,,,,2014,,159.01,doll_109.25 m,,,,ecommerce,,"1,637.55",italy,45,,
,,,appfollow,73,,,,2014,,158.37,doll_2.21 m,,,,technology,,"1,624.69",finland,12,,
,,,synerise,190,,,,2013,,157.82,doll_4.0 m,,,,technology,,"1,613.70",poland,40,,
,,,chaikola,8,,,,2010,,157.37,doll_5.16 m,,,,food & beverage,,"1,604.74",poland,4,,
,,,scolution,12,,,,2015,,157.04,doll_1.83 m,,,,technology,,"1,598.31",germany,4,,
,,,jl&p,15,,,,2017,,156.47,doll_2.21 m,,,,energy,,"1,586.90",france,3,,
,,,efarma.com,50,,,,2017,,156.11,doll_20.15 m,,,,pharmaceuticals,,"1,579.82",italy,8,,
,,,elvie,138,,,,2013,,155.16,doll_40.81 m,,,,technology,,"1,561.33",uk,22,,
,,,farmarelax,5,,,,2010,,154.43,doll_4.46 m,,,,personal & household goods,,"1,546.97",italy,1,,
,,,omnisend,99,,,,2008,,151.71,doll_11.76 m,,,,technology,,"1,494.85",uk,20,,
,,,world trade group,5,,,,2017,,149.82,doll_4.9 m,,,,fashion,,"1,459.11",italy,1,,
,,,besteam conseil,32,,,,2016,,149.54,doll_3.87 m,,,,technology,,"1,453.83",france,2,,
,,,motorway,96,,,,2016,,147.76,doll_4.84 m,,,,automobiles,,"1,420.90",uk,5,,
,,,iso public services,26,,,,2014,,146.03,doll_10.02 m,,,,technology,,"1,389.24",germany,0,,
,,,octopus energy,918,,,,2015,,144.89,doll_2120.07 m,,,,energy,,"1,368.58",uk,106,,
,,,cyberiam*,82,,,,2017,,144.8,doll_5.64 m,,,,cyber security,,"1,367.04",uk,8,,
,,,cbweed*,17,,,,2017,,142.64,doll_3.5 m,,,,personal & household goods,,"1,328.57",italy,2,,
,,,catraport,46,,,,2015,,141.39,doll_7.29 m,,,,automobiles,,"1,306.55",portugal,18,,
,,,ouihelp,106,,,,2016,,141.29,doll_3.69 m,,,,support services,,"1,304.85",france,13,,
,,,inpay,67,,,,2013,,140.93,doll_23.8 m,,,,fintech,,"1,298.53",denmark,33,,
,,,m.g.i. meccaniche generali irpine,10,,,,2017,,140.07,doll_2.61 m,,,,industrial goods,,"1,283.67",italy,4,,
,,,glencar construction,80,,,,2016,,139.27,doll_107.86 m,,,,construction,,"1,269.90",uk,7,,
,,,qmee,23,,,,2010,,139.17,doll_12.57 m,,,,technology,,"1,268.04",uk,9,,
,,,myappfree,10,,,,2015,,138.97,doll_5.76 m,,,,advertising,,"1,264.72",italy,1,,
,,,investa dienstleistungen,55,,,,2014,,138.85,doll_2.18 m,,,,support services,,"1,262.58",germany,8,,
,,,polarium energy solutions,58,,,,2014,,138.52,doll_74.07 m,,,,batteries,,"1,257.04",sweden,19,,
,,,baroni home,5,,,,2016,,138.36,doll_1.53 m,,,,ecommerce,,"1,254.32",italy,4,,
,,,dayshape,45,,,,2013,,138.19,doll_3.32 m,,,,technology,,"1,251.43",uk,6,,
,,,marketers company,8,,,,2016,,138.11,doll_1.88 m,,,,advertising,,"1,249.94",italy,3,,
,,,easo magno,5,,,,2017,,137.67,doll_3.06 m,,,,beauty,,"1,242.47",spain,2,,
,,,greyfood,10,,,,2016,,137.6,doll_9.19 m,,,,retail,,"1,241.42",germany,1,,
,,,misfits health,9,,,,2016,,137.18,doll_2.27 m,,,,food & beverage,,"1,234.31",uk,3,,
,,,meilleursbiens.com,5,,,,2010,,136.67,doll_3.86 m,,,,property,,"1,225.70",france,1,,
,,,fasanara capital,36,,,,2011,,136.11,doll_11.53 m,,,,financial services,,"1,216.25",uk,5,,
,,,ntechlab,122,,,,2015,,136.02,doll_8.73 m,,,,technology,,"1,214.76",cyprus,44,,
,,,babylino sensitive,5,,,,2016,,135.82,doll_2.85 m,,,,personal & household goods,,"1,211.43",italy,2,,
,,,fastned,54,,,,2012,,135.03,doll_6.89 m,,,,technology,,"1,198.37",the netherlands,24,,
,,,oxray,6,,,,2009,,133.86,doll_5.47 m,,,,health,,"1,179.02",portugal,2,,
,,,zega invest,4,,,,2017,,132.91,doll_3.79 m,,,,property,,"1,163.47",germany,3,,
,,,abylon consulting,7,,,,2016,,132.47,doll_1.72 m,,,,technology,,"1,156.25",hungary,2,,
,,,milrab,77,,,,2005,,132.16,doll_79.3 m,,,,ecommerce,,"1,151.36",norway,20,,
,,,urbantz,55,,,,2015,,132.12,doll_3.03 m,,,,technology,,"1,150.62",belgium,7,,
,,,tricas construction,32,,,,2017,,131.97,doll_15.88 m,,,,construction,,"1,148.16",uk,6,,
,,,florence one,10,,,,2017,,131.28,doll_1.63 m,,,,technology,,"1,137.06",italy,6,,
,,,ergotopia,35,,,,2014,,131.19,doll_7.66 m,,,,retail,,"1,135.70",germany,8,,
,,,mcule.com kft.,17,,,,2011,,131.03,doll_2.68 m,,,,chemicals & pharmaceuticals,,"1,133.10",hungary,5,,
,,,filo,18,,,,2014,,130.96,doll_10.05 m,,,,technology,,"1,132.04",italy,9,,
,,,homepal,11,,,,2014,,130.9,doll_1.6 m,,,,property,,"1,131.09",italy,4,,
,,,staffbase,310,,,,2014,,130.32,doll_26.89 m,,,,technology,,"1,121.82",germany,55,,
,,,ilon materiel,4,,,,2016,,129.69,doll_2.51 m,,,,construction,,"1,111.76",france,2,,
,,,bio-marine,25,,,,2014,,129.63,doll_1.61 m,,,,personal & household goods,,"1,110.84",ireland,7,,
,,,isodeco,18,,,,2016,,129.18,doll_2.91 m,,,,construction,,"1,103.81",france,2,,
,,,treedom,42,,,,2010,,128.81,doll_6.71 m,,,,support services,,"1,097.84",italy,18,,
,,,fenstermaxx24,20,,,,2016,,128.15,doll_8.47 m,,,,retail,,"1,087.64",germany,3,,
,,,pohl & sã¶hne gerã¼stbau,31,,,,2017,,127.34,doll_2.12 m,,,,construction,,"1,075.04",germany,7,,
,,,yso corp,13,,,,2013,,127.25,doll_6.69 m,,,,media,,"1,073.57",france,3,,
,,,gyada cosmetics,10,,,,2017,,127.18,doll_1.83 m,,,,beauty,,"1,072.49",italy,2,,
,,,privitar,190,,,,2014,,126.93,doll_9.92 m,,,,technology,,"1,068.59",uk,47,,
,,,delineate,25,,,,2015,,126.7,doll_3.33 m,,,,technology,,"1,065.09",uk,1,,
,,,spyrosoft,563,,,,2016,,126.48,doll_24.72 m,,,,technology,,"1,061.67",poland,75,,
,,,bio energy solutions,37,,,,2014,,126.19,doll_16.01 m,,,,waste management & recycling,,"1,057.21",slovakia,6,,
,,,increso,51,,,,2015,,125.68,doll_3.23 m,,,,management consulting,,"1,049.47",italy,2,,
,,,lsg - logistic & service group,46,,,,2016,,125.15,doll_8.87 m,,,,transport,,"1,041.38",italy,1,,
,,,energihem,125,,,,2015,,124.63,doll_28.0 m,,,,construction,,"1,033.39",sweden,19,,
,,,amity,164,,,,2012,,123.72,doll_5.74 m,,,,technology,,"1,019.79",uk,48,,
,,,goyago,43,,,,2014,,122.74,doll_3.73 m,,,,retail,,"1,005.08",germany,4,,
,,,la regie de portage salarial,140,,,,2016,,122.61,doll_7.64 m,,,,support services,,"1,003.16",france,23,,
,,,dall energy,15,,,,2007,,121.81,doll_6.01 m,,,,energy,,991.29,denmark,5,,
,,,appinio,44,,,,2014,,121.61,doll_3.6 m,,,,technology,,988.35,germany,5,,
