revenue_2017_eu,revenue_2017,revenue_2017_euro,name,number_of_employees_2020,employees,employees_number_2020,employees_2020,founding_year,founded,compound_annual_growth_rate_cagr_pct,revenue_2020_euro,revenue,revenue_2020,revenue_2020_eu,sector,industry,absolute_growth_rate_pct,country,number_of_employees_2017,employees_2017,employees_number_2017
8935361,,,mycs,,,,,2014,,,,,,,retail,,,germany,,,
1389534,,,audience serv,,,,,2008,,,,,,,advertising,,,germany,,,
857590,,,start,,,,,2012,,,,,,,telecoms,,,italy,,,
544943,,,mvh media,,,,,2010,,,,,,,sales & marketing,,,the netherlands,,,
1593667,,,pure gaming,,,,,2010,,,,,,,ecommerce,,,france,,,
2091995,,,parcel compare,,,,,1998,,,,,,,transport,,,uk,,,
9235130,,,ames centro polidiagnostico strumentale,,,,,1979,,,,,,,health,,,italy,,,
743130,,,arcadia italia,,,,,2016,,,,,,,energy,,,italy,,,
1119494,,,zia lucia,,,,,2016,,,,,,,restaurants,,,uk,,,
1062010,,,travaglini costruzioni,,,,,1952,,,,,,,construction,,,italy,,,
2199640,,,versa design zycle,,,,,2008,,,,,,,technology,,,spain,,,
452091,,,maucher consult,,,,,2016,,,,,,,construction,,,germany,,,
2510930,,,ayes,,,,,2015,,,,,,,technology,,,italy,,,
630660,,,brandup group,,,,,2016,,,,,,,advertising,,,italy,,,
969930,,,opyn,,,,,2012,,,,,,,financial services,,,italy,,,
499815,,,var capital,,,,,2014,,,,,,,financial services,,,uk,,,
667467,,,storyterrace,,,,,2017,,,,,,,technology,,,uk,,,
691140,,,blubit,,,,,2009,,,,,,,technology,,,slovenia,,,
441271,,,zen’up,,,,,2014,,,,,,,insurance,,,france,,,
917735,,,lörcher bauunternehmen,,,,,2001,,,,,,,construction,,,germany,,,
1134256,,,barcode architects,,,,,2010,,,,,,,architecture,,,the netherlands,,,
1702165,,,top chaleur,,,,,2002,,,,,,,retail,,,france,,,
3163540,,,seingim,,,,,1999,,,,,,,construction,,,italy,,,
948813,,,amphibian scaffolding,,,,,2008,,,,,,,construction,,,uk,,,
20298288,,,beliani,,,,,2009,,,,,,,ecommerce,,,liechtenstein,,,
4195789,,,hatstore,,,,,2011,,,,,,,ecommerce,,,sweden,,,
2286000,,,carpenteria martino,,,,,2006,,,,,,,construction,,,italy,,,
19489369,,,capitalontap,,,,,2012,,,,,,,fintech,,,uk,,,
8933769,,,netguru,,,,,2008,,,,,,,technology,,,poland,,,
799170,,,fazio,,,,,2014,,,,,,,retail,,,italy,,,
9145411,,,grillfürst,,,,,2010,,,,,,,retail,,,germany,,,
5394020,,,dealernet,,,,,2017,,,,,,,automobiles,,,italy,,,
28378990,,,alpha real estate,,,,,2013,,,,,,,property,,,germany,,,
1084812,,,appwise,,,,,2013,,,,,,,technology,,,belgium,,,
666118,,,convert group,,,,,2014,,,,,,,technology,,,greece,,,
21841341,,,revolution race,,,,,2013,,,,,,,ecommerce,,,sweden,,,
2708258,,,gong galaxy,,,,,2009,,,,,,,retail,,,france,,,
376440,,,gdr costruzioni,,,,,2011,,,,,,,construction,,,italy,,,
473640,,,emporio elettrico,,,,,2015,,,,,,,ecommerce,,,italy,,,
2606296,,,exscientia ai,,,,,2012,,,,,,,technology,,,uk,,,
5688822,,,featurespace,,,,,2005,,,,,,,fintech,,,uk,,,
2013403,,,xl energies,,,,,2016,,,,,,,energy,,,france,,,
1137450,,,claveria,,,,,2015,,,,,,,support services,,,spain,,,
1280989,,,timberagents,,,,,2010,,,,,,,retail,,,germany,,,
451196,,,fermeture econ’home,,,,,2012,,,,,,,construction,,,france,,,
815449,,,nrse,,,,,2014,,,,,,,management consulting,,,sweden,,,
6450759,,,simwert,,,,,2011,,,,,,,telecoms,,,germany,,,
1064498,,,flex legal,,,,,2015,,,,,,,law,,,uk,,,
868552,,,documaster,,,,,2010,,,,,,,technology,,,norway,,,
5381108,,,immo-team allgäu,,,,,2014,,,,,,,construction,,,germany,,,
1201900,,,creditshelf,,,,,2014,,,,,,,financial services,,,germany,,,
1016480,,,blife,,,,,2016,,,,,,,food & beverage,,,italy,,,
1177860,,,nohup,,,,,2004,,,,,,,technology,,,italy,,,
657377,,,noctuai,,,,,2012,,,,,,,technology,,,poland,,,
3450000,,,ares,,,,,2013,,,,,,,industrial goods,,,germany,,,
102139979,,,moonpig group,,,,,2000,,,,,,,ecommerce,,,uk,,,
1685348,,,wealth club,,,,,2016,,,,,,,financial services,,,uk,,,
3119000,,,factory,,,,,2016,,,,,,,property,,,france,,,
1865319,,,beck ingredients,,,,,2016,,,,,,,health,,,spain,,,
524552,,,mentors & partners group,,,,,2010,,,,,,,management consulting,,,hungary,,,
1081844,,,sb supply,,,,,2011,,,,,,,ecommerce,,,the netherlands,,,
572798,,,mediaboard,,,,,2015,,,,,,,media,,,czech republic,,,
2357096,,,dw trans,,,,,2012,,,,,,,transport,,,france,,,
679247,,,nacelexpert,,,,,2006,,,,,,,industrial goods,,,france,,,
871779,,,keylight,,,,,2015,,,,,,,technology,,,germany,,,
762200,,,technacy,,,,,2011,,,,,,,technology,,,italy,,,
700823,,,genoskin,,,,,2011,,,,,,,chemicals & pharmaceuticals,,,france,,,
1518678,,,payment assist,,,,,2013,,,,,,,fintech,,,uk,,,
1184000,,,my boo,,,,,2013,,,,,,,retail,,,germany,,,
3118698,,,84codes.com,,,,,2012,,,,,,,technology,,,sweden,,,
1267224,,,klg liquida,,,,,2013,,,,,,,chemicals & pharmaceuticals,,,germany,,,
574323,,,ignimission,,,,,2011,,,,,,,technology,,,france,,,
29718000,,,adamant bionrg,,,,,2013,,,,,,,energy,,,italy,,,
571513,,,xplort,,,,,2015,,,,,,,interiors,,,uk,,,
855283,,,bambridge accountants,,,,,2010,,,,,,,financial services,,,uk,,,
732924,,,g2park,,,,,2016,,,,,,,property,,,slovakia,,,
663100,,,pelizzari studio,,,,,2014,,,,,,,architecture,,,italy,,,
1334213,,,postex,,,,,2014,,,,,,,technology,,,the netherlands,,,
2492730,,,consorzio stabile ambientemilia,,,,,2013,,,,,,,waste management & recycling,,,italy,,,
842600,,,yocabe’,,,,,2016,,,,,,,ecommerce,,,italy,,,
2189720,,,chez nestor,,,,,2012,,,,,,,property,,,france,,,
621500,,,mint italia,,,,,2016,,,,,,,transport,,,italy,,,
21052232,,,sendcloud,,,,,2012,,,,,,,ecommerce,,,the netherlands,,,
488940,,,datakey software engineering,,,,,2008,,,,,,,technology,,,italy,,,
8605113,,,metaminds,,,,,2015,,,,,,,cyber security,,,romania,,,
721090,,,time vision,,,,,2012,,,,,,,education,,,italy,,,
3847000,,,werksräder24,,,,,2013,,,,,,,automobiles,,,germany,,,
3465675,,,fod mobility group,,,,,2008,,,,,,,technology,,,uk,,,
531960,,,selferg,,,,,2007,,,,,,,energy,,,italy,,,
3386414,,,poppri fashion auctions,,,,,2012,,,,,,,ecommerce,,,lithuania,,,
30862156,,,vizion network,,,,,2008,,,,,,,automobiles,,,uk,,,
2159010,,,beyond law group*,,,,,2017,,,,,,,law,,,uk,,,
1190000,,,eda warehousing,,,,,2014,,,,,,,transport,,,germany,,,
5923571,,,bpv,,,,,2013,,,,,,,telecoms,,,germany,,,
5422583,,,ultra premium direct,,,,,2013,,,,,,,agricultural commodities,,,france,,,
2593649,,,afr-ix telecom,,,,,2013,,,,,,,telecoms,,,spain,,,
1293181,,,blue energy,,,,,2010,,,,,,,cyber security,,,poland,,,
628388,,,c’juste paris,,,,,2013,,,,,,,retail,,,france,,,
3848262,,,sos-accessoire,,,,,2007,,,,,,,ecommerce,,,france,,,
2295632,,,hannes könig,,,,,2017,,,,,,,construction,,,germany,,,
2202906,,,zanatta media group,,,,,2007,,,,,,,advertising,,,germany,,,
5924389,,,wastepack,,,,,1997,,,,,,,waste management & recycling,,,uk,,,
416960,,,radar consulting italia,,,,,2010,,,,,,,support services,,,italy,,,
9838779,,,agriconomie,,,,,2014,,,,,,,agricultural commodities,,,france,,,
4985758,,,anytech365,,,,,2014,,,,,,,technology,,,spain,,,
499484,,,cladspray solutions,,,,,2013,,,,,,,construction,,,uk,,,
8392541,,,im global partner,,,,,2015,,,,,,,financial services,,,france,,,
10982110,,,confinvest,,,,,1983,,,,,,,precious metals,,,italy,,,
2229273,,,ethic technology,,,,,2012,,,,,,,technology,,,france,,,
19088830,,,bomax,,,,,2001,,,,,,,telecoms,,,italy,,,
1174770,,,kk-trade,,,,,2017,,,,,,,retail,,,germany,,,
1061642,,,marsapet,,,,,2015,,,,,,,retail,,,germany,,,
5428300,,,gruppo tera,,,,,2015,,,,,,,ecommerce,,,italy,,,
824450,,,codiceplastico,,,,,2009,,,,,,,technology,,,italy,,,
5772716,,,tremend,,,,,2005,,,,,,,technology,,,romania,,,
1771758,,,doofinder,,,,,2010,,,,,,,technology,,,spain,,,
6955394,,,hostinger,,,,,2004,,,,,,,technology,,,lithuania,,,
1627160,,,catalyx,,,,,2013,,,,,,,sales & marketing,,,switzerland,,,
599612,,,harness code,,,,,2016,,,,,,,sales & marketing,,,bulgaria,,,
749940,,,nanoprom chemicals,,,,,2014,,,,,,,chemicals & pharmaceuticals,,,italy,,,
2716240,,,elite,,,,,2012,,,,,,,construction,,,spain,,,
1310532,,,appunite,,,,,2012,,,,,,,technology,,,poland,,,
410775,,,eskalia et nakupenda,,,,,2006,,,,,,,retail,,,france,,,
2191733,,,lgx logistics,,,,,2006,,,,,,,transport,,,germany,,,
910392,,,polipop,,,,,2015,,,,,,,industrial goods,,,portugal,,,
691110,,,stampasi,,,,,2016,,,,,,,ecommerce,,,italy,,,
3336600,,,cam,,,,,1984,,,,,,,industrial goods,,,italy,,,
3743740,,,plug in digital,,,,,2012,,,,,,,media,,,france,,,
5233937,,,predica,,,,,2009,,,,,,,technology,,,poland,,,
1304073,,,ocean transport,,,,,2009,,,,,,,transport,,,spain,,,
5474802,,,serinus,,,,,1997,,,,,,,energy,,,uk,,,
1375943,,,demv deutscher maklerverbund,,,,,2009,,,,,,,financial services,,,germany,,,
54990779,,,sti norland,,,,,1996,,,,,,,energy,,,spain,,,
1158042,,,hd elektrotechnik,,,,,2011,,,,,,,technology,,,germany,,,
558480,,,engenie group,,,,,2017,,,,,,,technology,,,italy,,,
1156596,,,groupe n.a.t,,,,,2016,,,,,,,support services,,,france,,,
419430,,,la sarraz pictures,,,,,2015,,,,,,,media,,,italy,,,
1276483,,,smart-planet,,,,,2016,,,,,,,retail,,,germany,,,
674560,,,sidea group,,,,,2015,,,,,,,management consulting,,,italy,,,
1272558,,,couteaujaponais.com,,,,,2004,,,,,,,retail,,,france,,,
4656191,,,physidia,,,,,2010,,,,,,,health,,,france,,,
2257390,,,horando deutschland,,,,,2013,,,,,,,retail,,,germany,,,
6549376,,,"diablochairs, jan nowak",,,,,2004,,,,,,,ecommerce,,,poland,,,
15711602,,,parkster,,,,,2011,,,,,,,technology,,,sweden,,,
5642145,,,biotyfull,,,,,2015,,,,,,,ecommerce,,,france,,,
1650756,,,bioksan,,,,,2014,,,,,,,food & beverage,,,spain,,,
910070,,,trippel,,,,,1999,,,,,,,support services,,,norway,,,
3904618,,,yourparkingspace limited,,,,,2013,,,,,,,technology,,,uk,,,
622989,,,carslift,,,,,2012,,,,,,,automobiles,,,france,,,
580537,,,zimmerei nordmann,,,,,2009,,,,,,,construction,,,germany,,,
1018843,,,si silicone innovation,,,,,2015,,,,,,,industrial goods,,,germany,,,
5573000,,,a.u.e. genc warenhandels-ug,,,,,2010,,,,,,,retail,,,germany,,,
1127170,,,mgvision,,,,,2010,,,,,,,advertising,,,italy,,,
433540,,,new general service,,,,,2015,,,,,,,support services,,,italy,,,
3266703,,,andre renovation,,,,,2010,,,,,,,construction,,,france,,,
644440,,,m.d.g. components unipersonale,,,,,2017,,,,,,,industrial goods,,,italy,,,
1778274,,,amco-bulgaria,,,,,2011,,,,,,,retail,,,bulgaria,,,
3498275,,,symprove,,,,,2005,,,,,,,personal & household goods,,,uk,,,
7477852,,,tecknuovo,,,,,2015,,,,,,,technology,,,uk,,,
6242232,,,platform.sh,,,,,2010,,,,,,,technology,,,france,,,
1646307,,,isg express logistik,,,,,2011,,,,,,,transport,,,germany,,,
12259540,,,manelli impresa,,,,,2008,,,,,,,construction,,,italy,,,
1031733,,,sa formação,,,,,2009,,,,,,,education,,,portugal,,,
681652,,,sm sektmanufaktur,,,,,2015,,,,,,,industrial goods,,,germany,,,
1055100,,,beauty consult deutschland,,,,,2011,,,,,,,health,,,germany,,,
3350270,,,finauto,,,,,1977,,,,,,,automobiles,,,italy,,,
32428296,,,aucoffre.com,,,,,2009,,,,,,,financial services,,,france,,,
1084616,,,divido,,,,,2014,,,,,,,fintech,,,uk,,,
1482100,,,r&k ingenieure,,,,,2016,,,,,,,construction,,,germany,,,
5031697,,,nephos technologies,,,,,2011,,,,,,,technology,,,uk,,,
2178629,,,la vida,,,,,2002,,,,,,,support services,,,uk,,,
2363526,,,midstream lighting,,,,,2012,,,,,,,technology,,,uk,,,
1809858,,,propulse it,,,,,2014,,,,,,,technology,,,france,,,
9100083,,,additius santa maria,,,,,2012,,,,,,,agricultural commodities,,,spain,,,
547084,,,conexio telecom,,,,,2017,,,,,,,telecoms,,,france,,,
1568506,,,tripin,,,,,2012,,,,,,,retail,,,germany,,,
910973,,,continental wood kft.,,,,,1996,,,,,,,industrial goods,,,hungary,,,
2195780,,,geoteam,,,,,2008,,,,,,,energy,,,italy,,,
5325214,,,leascorp,,,,,2014,,,,,,,financial services,,,france,,,
1954609,,,positive healthcare,,,,,2014,,,,,,,management consulting,,,uk,,,
658317,,,ralph schmolke,,,,,2010,,,,,,,retail,,,germany,,,
1079340,,,roomie milano,,,,,2016,,,,,,,property,,,italy,,,
6137755,,,trencadis corp,,,,,2007,,,,,,,technology,,,romania,,,
541582,,,worteks,,,,,2016,,,,,,,technology,,,france,,,
2608093,,,remove,,,,,2015,,,,,,,construction,,,france,,,
452557,,,citadelo,,,,,2006,,,,,,,cyber security,,,czech republic,,,
5283415,,,grill autoservice,,,,,2017,,,,,,,automobiles,,,germany,,,
776268,,,inbrooll,,,,,2013,,,,,,,industrial goods,,,spain,,,
25858983,,,cross,,,,,2010,,,,,,,retail,,,germany,,,
12106480,,,b1gas s.p.a,,,,,2010,,,,,,,energy,,,italy,,,
1808710,,,filva,,,,,2009,,,,,,,construction,,,italy,,,
1030000,,,archingest,,,,,2005,,,,,,,construction,,,italy,,,
15241075,,,alpha fx group,,,,,2009,,,,,,,financial services,,,uk,,,
1451770,,,lemonads,,,,,2012,,,,,,,advertising,,,switzerland,,,
13309441,,,signicat,,,,,2007,,,,,,,technology,,,norway,,,
22730529,,,alfred döpker,,,,,1965,,,,,,,construction,,,germany,,,
3842670,,,bavaria-ei,,,,,2001,,,,,,,retail,,,germany,,,
7381686,,,oxylabs.io,,,,,2015,,,,,,,technology,,,lithuania,,,
687958,,,a.s.h. automobile,,,,,2014,,,,,,,automobiles,,,germany,,,
9987236,,,vascular,,,,,2007,,,,,,,health,,,hungary,,,
943718,,,andjaro,,,,,2015,,,,,,,support services,,,france,,,
973460,,,röhrtaler wertstoff,,,,,2013,,,,,,,waste management & recycling,,,germany,,,
2543343,,,autel karnetic,,,,,2016,,,,,,,technology,,,uk,,,
616520,,,discoup.com,,,,,2013,,,,,,,advertising,,,italy,,,
10247832,,,hellas direct,,,,,2011,,,,,,,insurance,,,cyprus,,,
3044054,,,herrles,,,,,2009,,,,,,,automobiles,,,germany,,,
947000,,,investmentpunk academy,,,,,2016,,,,,,,education,,,austria,,,
1351164,,,born stahlbau,,,,,2015,,,,,,,industrial goods,,,germany,,,
2410212,,,rettel projektbau,,,,,2016,,,,,,,construction,,,germany,,,
700960,,,suntronic,,,,,2005,,,,,,,energy,,,italy,,,
3811838,,,tmt,,,,,2014,,,,,,,industrial goods,,,italy,,,
881275,,,gedankenburg,,,,,2015,,,,,,,advertising,,,germany,,,
1385662,,,svop special vehicle operation,,,,,2013,,,,,,,automobiles,,,sweden,,,
4476517,,,glenholme healthcare group,,,,,2011,,,,,,,health,,,uk,,,
17203160,,,audensiel,,,,,2013,,,,,,,technology,,,france,,,
2618069,,,ivnosys,,,,,2011,,,,,,,technology,,,spain,,,
2002982,,,mulconsa,,,,,2012,,,,,,,construction,,,spain,,,
10518963,,,50nrth,,,,,2004,,,,,,,retail,,,germany,,,
793957,,,delecto,,,,,2008,,,,,,,retail,,,croatia,,,
1058063,,,mardruk opakowania,,,,,2015,,,,,,,industrial goods,,,poland,,,
1862272,,,manang,,,,,2012,,,,,,,construction,,,france,,,
4461170,,,bestbion dx,,,,,2011,,,,,,,health,,,germany,,,
772943,,,avamore capital,,,,,2015,,,,,,,financial services,,,uk,,,
1414501,,,solaris and more,,,,,2011,,,,,,,energy,,,germany,,,
660767,,,clearcycle,,,,,2015,,,,,,,retail,,,uk,,,
4180523,,,opteamis,,,,,2005,,,,,,,support services,,,france,,,
1926967,,,codenor,,,,,2010,,,,,,,construction,,,spain,,,
1271353,,,happybulle,,,,,2015,,,,,,,ecommerce,,,france,,,
4587687,,,aurora energy research,,,,,2013,,,,,,,energy,,,uk,,,
7265350,,,bacci,,,,,2003,,,,,,,fashion,,,spain,,,
8110160,,,emilia foods,,,,,2013,,,,,,,food & beverage,,,italy,,,
1020690,,,t.e.a.m. - ti educa a migliorare,,,,,2001,,,,,,,health,,,italy,,,
1163241,,,brainhub,,,,,2016,,,,,,,technology,,,poland,,,
810750,,,assitech,,,,,2016,,,,,,,construction,,,italy,,,
694501,,,schott packaging,,,,,2016,,,,,,,ecommerce,,,uk,,,
1001740,,,alba,,,,,2010,,,,,,,energy,,,italy,,,
9915609,,,fintru,,,,,2013,,,,,,,financial services,,,uk,,,
1226000,,,global edilizia,,,,,2011,,,,,,,construction,,,italy,,,
17515305,,,tpximpact,,,,,2016,,,,,,,management consulting,,,uk,,,
1222870,,,lgs sportlab,,,,,2010,,,,,,,advertising,,,italy,,,
1825769,,,weiser brandschutz & technik,,,,,2005,,,,,,,construction,,,germany,,,
5602279,,,fairfax and favor,,,,,2013,,,,,,,fashion,,,uk,,,
2384156,,,fao consulting,,,,,2014,,,,,,,technology,,,france,,,
1794120,,,gruppo del barba consulting,,,,,2010,,,,,,,financial services,,,italy,,,
8075796,,,exclaimer,,,,,2003,,,,,,,technology,,,uk,,,
3128700,,,join business management consulting,,,,,2013,,,,,,,management consulting,,,italy,,,
5244000,,,vennes,,,,,2003,,,,,,,construction,,,germany,,,
906341,,,piggy,,,,,2013,,,,,,,technology,,,the netherlands,,,
63207258,,,epassi,,,,,2007,,,,,,,fintech,,,finland,,,
10300000,,,atheneum partners,,,,,2010,,,,,,,technology,,,germany,,,
48580102,,,pharmacy2u,,,,,1999,,,,,,,technology,,,uk,,,
556159,,,phoenix developpement,,,,,2011,,,,,,,support services,,,france,,,
1300000,,,wiwie transport,,,,,2016,,,,,,,transport,,,germany,,,
834708,,,mevas auto center,,,,,2003,,,,,,,automobiles,,,romania,,,
1602458,,,bk beachhouse mode,,,,,2015,,,,,,,retail,,,germany,,,
622800,,,f.lli urso,,,,,2015,,,,,,,construction,,,italy,,,
6882489,,,gohenry,,,,,2011,,,,,,,financial services,,,uk,,,
17727950,,,adrilog,,,,,2014,,,,,,,transport,,,italy,,,
2250946,,,attachment,,,,,2015,,,,,,,advertising,,,uk,,,
4020469,,,paris herbes,,,,,2015,,,,,,,agricultural commodities,,,france,,,
1703819,,,interlog logistic,,,,,2015,,,,,,,transport,,,france,,,
10393680,,,conglomerati bituminosi,,,,,1975,,,,,,,construction,,,italy,,,
1172617,,,nikkel art,,,,,2010,,,,,,,ecommerce,,,belgium,,,
1206770,,,esyen,,,,,2011,,,,,,,technology,,,italy,,,
5322238,,,sav-eco packaging ltd,,,,,2014,,,,,,,industrial goods,,,uk,,,
719638,,,elmar mair tiefbau,,,,,2016,,,,,,,construction,,,germany,,,
1094666,,,atlas innovative engineering,,,,,2014,,,,,,,energy,,,spain,,,
2171492,,,secure-ic,,,,,2010,,,,,,,technology,,,france,,,
1111687,,,datalyo,,,,,2014,,,,,,,technology,,,france,,,
805029,,,signify technology,,,,,2016,,,,,,,management consulting,,,uk,,,
12127395,,,boxt,,,,,2017,,,,,,,ecommerce,,,uk,,,
9762332,,,james and james fulfilment,,,,,2010,,,,,,,ecommerce,,,uk,,,
879670,,,armonie,,,,,2014,,,,,,,food & beverage,,,italy,,,
1674690,,,maverick group,,,,,2017,,,,,,,technology,,,italy,,,
1344240,,,brainpull,,,,,2012,,,,,,,advertising,,,italy,,,
516164,,,wiseband,,,,,2014,,,,,,,media,,,france,,,
12867410,,,groupe ezdo la boulangerie des gourmets,,,,,2013,,,,,,,agricultural commodities,,,france,,,
3363800,,,pakar service,,,,,2010,,,,,,,support services,,,poland,,,
10181000,,,bio-uv,,,,,2000,,,,,,,industrial goods,,,france,,,
809450,,,f.g. service,,,,,2015,,,,,,,construction,,,italy,,,
3033150,,,allways logistics system,,,,,2012,,,,,,,transport,,,italy,,,
16075963,,,matsmart,,,,,2013,,,,,,,ecommerce,,,sweden,,,
573070,,,autargo,,,,,2016,,,,,,,construction,,,germany,,,
1484883,,,brewshop.no,,,,,2015,,,,,,,food & beverage,,,norway,,,
676000,,,visualitics,,,,,2016,,,,,,,technology,,,italy,,,
15610826,,,hifi extra,,,,,2016,,,,,,,retail,,,germany,,,
8271702,,,ankerkraut,,,,,2013,,,,,,,food & beverage,,,germany,,,
6615000,,,gda,,,,,2008,,,,,,,fashion,,,italy,,,
859960,,,nexid,,,,,2006,,,,,,,technology,,,italy,,,
666210,,,gs studio & service,,,,,2013,,,,,,,energy,,,italy,,,
5229000,,,neosperience,,,,,2006,,,,,,,technology,,,italy,,,
2031522,,,lunos,,,,,2010,,,,,,,technology,,,slovenia,,,
3342120,,,meic costruzioni,,,,,2013,,,,,,,construction,,,italy,,,
5105700,,,trident lifting solutions ltd,,,,,2016,,,,,,,construction,,,uk,,,
3264000,,,smart battery solutions,,,,,2010,,,,,,,technology,,,germany,,,
2601485,,,eu-bay commerce,,,,,2003,,,,,,,retail,,,germany,,,
1171373,,,jens rabe academy,,,,,2009,,,,,,,education,,,germany,,,
18649681,,,hyperoptic,,,,,2010,,,,,,,telecoms,,,uk,,,
2531055,,,sepale,,,,,2009,,,,,,,energy,,,france,,,
633990,,,3a informatica,,,,,2005,,,,,,,telecoms,,,italy,,,
1009846,,,emsproto,,,,,2014,,,,,,,ecommerce,,,france,,,
1815835,,,laboratoires dermosun,,,,,2011,,,,,,,chemicals & pharmaceuticals,,,france,,,
2177950,,,saico,,,,,2013,,,,,,,construction,,,italy,,,
2124990,,,nutis,,,,,1956,,,,,,,food & beverage,,,italy,,,
4693330,,,ogrodosfera.pl,,,,,2011,,,,,,,ecommerce,,,poland,,,
1290312,,,svti,,,,,2010,,,,,,,industrial goods,,,france,,,
1087520,,,enhancers,,,,,2011,,,,,,,technology,,,italy,,,
2498792,,,agripower france,,,,,2012,,,,,,,waste management & recycling,,,france,,,
3080610,,,next turbo technologies,,,,,2014,,,,,,,industrial goods,,,italy,,,
1759490,,,velvet media italia,,,,,2013,,,,,,,advertising,,,italy,,,
667837,,,booster box,,,,,2016,,,,,,,advertising,,,italy,,,
1072117,,,rmf group,,,,,2014,,,,,,,food & beverage,,,slovakia,,,
23141358,,,darwin group limited,,,,,2005,,,,,,,construction,,,uk,,,
3730405,,,itfs,,,,,2012,,,,,,,technology,,,poland,,,
1031988,,,skillsday,,,,,2015,,,,,,,education,,,france,,,
2850000,,,gapps,,,,,2010,,,,,,,technology,,,finland,,,
720650,,,maxfel,,,,,1984,,,,,,,interiors,,,italy,,,
4832212,,,herrero brigantina,,,,,2012,,,,,,,insurance,,,spain,,,
1263420,,,manitech,,,,,2016,,,,,,,industrial goods,,,italy,,,
1944720,,,tradeco,,,,,2016,,,,,,,industrial goods,,,italy,,,
1585727,,,mon chasseur immo,,,,,2012,,,,,,,property,,,france,,,
2737704,,,upslide,,,,,2013,,,,,,,support services,,,france,,,
868406,,,cogeclim energies,,,,,2015,,,,,,,construction,,,france,,,
989785,,,cellarius,,,,,2004,,,,,,,sales & marketing,,,hungary,,,
1173908,,,careful-service,,,,,2014,,,,,,,health,,,germany,,,
590642,,,softneta,,,,,2007,,,,,,,health,,,lithuania,,,
5561585,,,progeny,,,,,2016,,,,,,,financial services,,,uk,,,
8022358,,,web geo services,,,,,2009,,,,,,,technology,,,france,,,
1140000,,,spedition ibov,,,,,2013,,,,,,,transport,,,germany,,,
2119022,,,mypostcard.com,,,,,2014,,,,,,,retail,,,germany,,,
1078808,,,variosan,,,,,2013,,,,,,,retail,,,germany,,,
777849,,,riedle + bertsch,,,,,2013,,,,,,,technology,,,germany,,,
3973460,,,mobili fiver,,,,,1999,,,,,,,interiors,,,italy,,,
2065220,,,klc desamiantage,,,,,2015,,,,,,,construction,,,france,,,
1105569,,,secret arts of spirits,,,,,2014,,,,,,,retail,,,france,,,
24429686,,,mpb group limited,,,,,2011,,,,,,,ecommerce,,,uk,,,
8527777,,,3zehn auto discount,,,,,2016,,,,,,,automobiles,,,germany,,,
15292051,,,adikteev,,,,,2012,,,,,,,technology,,,france,,,
2370645,,,fundis reitsport,,,,,2009,,,,,,,retail,,,germany,,,
753352,,,antriebstechnik ebner-seibold,,,,,2009,,,,,,,retail,,,germany,,,
3880663,,,invibes advertising,,,,,2011,,,,,,,technology,,,belgium,,,
808700,,,jointly il welfare condiviso,,,,,2014,,,,,,,support services,,,italy,,,
3450305,,,abtot mark & anläggning ab,,,,,2012,,,,,,,construction,,,sweden,,,
11484801,,,dusapro immobilien,,,,,2012,,,,,,,property,,,germany,,,
787160,,,soldats films,,,,,2012,,,,,,,media,,,france,,,
5137900,,,eagleprojects,,,,,2016,,,,,,,telecoms,,,italy,,,
1897650,,,agile lab,,,,,2013,,,,,,,technology,,,italy,,,
1126971,,,importpris.no,,,,,2012,,,,,,,ecommerce,,,norway,,,
4245861,,,truu,,,,,2011,,,,,,,industrial goods,,,germany,,,
1461226,,,l’atelier,,,,,2016,,,,,,,technology,,,france,,,
1326082,,,frigoclim kälte-klima,,,,,2014,,,,,,,construction,,,germany,,,
722795,,,m coffee company,,,,,2013,,,,,,,retail,,,germany,,,
1818032,,,protextyl,,,,,2011,,,,,,,retail,,,france,,,
964998,,,sp architecte,,,,,2009,,,,,,,construction,,,france,,,
7709375,,,embargos a lo bestia,,,,,2011,,,,,,,retail,,,spain,,,
7000063,,,snigel,,,,,2011,,,,,,,technology,,,ireland,,,
650000,,,ims rettungsdienst,,,,,2006,,,,,,,health,,,germany,,,
828820,,,way2global sb,,,,,2017,,,,,,,support services,,,italy,,,
1181642,,,media access solutions,,,,,2014,,,,,,,support services,,,uk,,,
14649568,,,exadi,,,,,2008,,,,,,,sales and marketing,,,spain,,,
1395607,,,fiber-service-gesellschaft,,,,,2014,,,,,,,telecoms,,,germany,,,
3868483,,,tenderhut (group),,,,,2010,,,,,,,technology,,,poland,,,
48449141,,,worldwide fishing company,,,,,2016,,,,,,,food & beverage,,,spain,,,
6246592,,,doctor hail spa,,,,,2013,,,,,,,automobiles,,,italy,,,
14500000,,,kbs group,,,,,2011,,,,,,,support services,,,germany,,,
723064,,,terre ehitus,,,,,2017,,,,,,,construction,,,estonia,,,
12554325,,,bauer energiekonzepte,,,,,2013,,,,,,,energy,,,germany,,,
3226280,,,new euroart,,,,,2001,,,,,,,construction,,,italy,,,
575120,,,capelli for you,,,,,2015,,,,,,,beauty,,,italy,,,
37992902,,,ogury,,,,,2014,,,,,,,advertising,,,uk,,,
698300,,,tft ernst,,,,,2017,,,,,,,construction,,,germany,,,
6564162,,,somerford associates,,,,,2001,,,,,,,technology,,,uk,,,
2818652,,,arcadia investment,,,,,2012,,,,,,,property,,,germany,,,
