headquarters,founded,area_served,industry,name,sector,notes
uppsala,2007,,technology,imint image intelligence ab,software,
solna,2010,,industrials,infranord,railroads,
stockholm,2001,,technology,ingate systems,software,
stockholm,2001,,technology,intertex,computer hardware,
gothenburg,1984,,financials,investment ab latour,investment services,
stockholm,1961,,financials,investment ab öresund,investment services,
stockholm,1916,,financials,investor ab,investment services,
malmö,1983,,consumer goods,isadora,personal products,
stockholm,2011,,technology,izettle,software,
stockholm,1997,,consumer goods,j.lindeberg,clothing & accessories,
stockholm,1992,,technology,jeeves,software,
stockholm,2001,,industrials,jernhusen,railroads,
malung,1926,,consumer goods,jofa,recreational products,
jonsered,1832,,industrials,jonsereds fabrikers ab,industrial machinery,
stockholm,1936,,financials,kinnevik ab,investment services,
stockholm,2005,,consumer services,klarna,broadline retailers,
malmö,1840,,industrials,kockums naval solutions,commercial vehicles & trucks,
ängelholm,1994,,consumer goods,koenigsegg,automobiles,
stockholm,1899,,consumer services,kooperativa förbundet,consumer co-operatives,
kopparberg,1882,,consumer goods,kopparbergs brewery,brewers,
kosta,1742,,industrials,kosta glasbruk,building materials & fixtures,
halmstad,1836,,consumer goods,krönleins,brewers,
järna,1929,,consumer goods,kungsörnen,food products,
stockholm,1944,,financials,l e lundbergföretagen,investment services,
stockholm,1801,,financials,länsförsäkringar,full line insurance,
stockholm,1996,,financials,länsförsäkringar bank,banks,
stockholm,2001,,consumer goods,lantmännen,farming & fishing,
stockholm,2011,,consumer services,leovegas,gambling,
gothenburg,1954,,consumer services,lindex,apparel retailers,
stockholm,1957,,consumer services,linjeflyg,airlines,
luleå,1890,,basic materials,lkab,general mining,
stockholm,1997,,industrials,loomis,business support services,
stockholm,2001,,oil & gas,lundin petroleum,exploration & production,
motala,1923,,consumer goods,luxor ab,consumer electronics,
uppsala,2009,,technology,machinegames,software,
västerås,1861,,utilities,mälarenergi,conventional electricity,
stockholm,2001,,consumer services,maratone studios,broadcasting & entertainment,
malmö,1997,,technology,massive entertainment,software,
gothenburg,1982,,technology,mecel,software,
solna,1954,,health care,meda ab,pharmaceuticals,
täby,2009,,basic materials,micromy,specialty chemicals,
stockholm,1987,,consumer services,modern times group,broadcasting & entertainment,
stockholm,2009,,technology,mojang,software,
gothenburg,1849,,health care,mölnlycke health care,medical equipment,
vansbro,1908,,consumer goods,monark,recreational products,
uppsala,1995,,technology,mysql ab,software,
henån,1971,,consumer goods,najad yachts,recreational products,
kista,2004,,technology,nanoradio,semiconductors,
stockholm,2003,,financials,nasdaq nordic,investment services,
solna,1988,,industrials,ncc ab,heavy construction,
gothenburg,2006,,consumer services,neogames,publishing,
stockholm,2001,,telecommunications,neonode,computer hardware,
stockholm,2002,,consumer services,nextjet,airlines,
stockholm,1996,,consumer goods,nobia,durable household products,
stockholm,1999,,consumer services,nobina,travel & tourism,
trollhättan,1916,,industrials,nohab,diversified industrials,
stockholm,1864,,consumer services,nordiska kompaniet,broadline retailers,
stockholm,1890,,conglomerates,nordstjernan,-,
stockholm,2000,,industrials,northstar,general industries,
gothenburg,2001,,consumer goods,nudie jeans,clothing & accessories,
torshälla,1829,,basic materials,nyby bruk,iron & steel,
stockholm,1987,,technology,nyfors,telecommunications equipment,
stockholm,1928,,oil & gas,nynas,exploration & production,
stockholm,2002,,consumer goods,odd molly,clothing & accessories,
upplands väsby,1976,,consumer goods,öhlins,auto parts,
upplands väsby,1971,,consumer services,onoff,broadline retailers,
uppsala,1995,,health care,orexo,pharmaceuticals,
stockholm,1967,,consumer goods,oriflame,personal products,
orrefors,1898,,industrials,orrefors glassworks,building materials & fixtures,
oskarshamn,1863,,industrials,oskarshamn shipyard,commercial vehicles & trucks,
stockholm,1969,,basic materials,ovako,iron & steel,
malmö,1878,,consumer goods,pågen,food products,
stockholm,1999,,technology,paradox interactive,software,
förslöv,1959,,industrials,peab,heavy construction,
stockholm,2004,,technology,peltarion,software,
uppsala,1971,,health care,phadia,medical equipment,
stockholm,1911,,health care,pharmacia,pharmaceuticals,
älvsbyn,1972,,consumer goods,polarbröd,food products,
solna,2009,,industrials,postnord,delivery services,
solna,1636,,industrials,postnord sverige,delivery services,
stockholm,1892,,consumer goods,primus ab,household goods,
gothenburg,1828,,consumer goods,pripps,brewers,
stockholm,1968,,industrials,profoto,building materials & fixtures,
stockholm,1997,,industrials,ps communication,business support services,
stockholm,1933,,financials,ratos,real estate holding & development,
helsingborg,1991,,technology,readsoft,software,
haninge,1995,,health care,recipharm,pharmaceuticals,
gothenburg,1947,,consumer services,rederi ab slite,travel & tourism,
linköping,2005,,technology,remograph,software,
helsingborg,2001,,financials,resurs holding,banks,
trollhättan,1945,,consumer goods,saab automobile,automobiles,
stockholm,1937,,industrials,saab group,aerospace,
stockholm,1992,,technology,samlogic,software,
stockholm,1862,,industrials,sandvik,industrial engineering,
solna,1946,,consumer services,sas group,airlines,
stockholm,1929,,basic materials,sca,paper,
lund,2000,,technology,scalado,software,
stockholm,1963,,consumer services,scandic hotels,hotels,
södertälje,1891,,consumer goods,scania ab,automobiles,
malmö,1999,,technology,seavus,software,
stockholm,1972,,financials,seb group,investment services,
lidköping,2003,,technology,sector3 studios,software,
stockholm,1934,,industrials,securitas,business support services,
malmö,1988,,industrials,securitas direct,business support services,
gothenburg,1980,,industrials,semcon,business support services,
stockholm,1919,,consumer services,sf studios,broadcasting & entertainment,
gothenburg,1951,,consumer services,siba,specialty retailers,
stockholm,1932,,consumer goods,silva compass,recreational products,
malmö,2010,,technology,simogo,software,
stockholm,2001,,consumer services,sj ab,travel & tourism,
stockholm,1855,,financials,skandia,investment services,
gothenburg,1864,,financials,skandinaviska banken,banks,
stockholm,1887,,industrials,skanska,heavy construction,
skellefteå,1906,,utilities,skellefteå kraft,conventional electricity,
gothenburg,1907,,industrials,skf,industrial suppliers,
gothenburg,2005,,technology,skygoblin,software,
gothenburg,1999,,technology,smart eye,software,
växjö,1938,,basic materials,södra,paper,
gothenburg,1918,,industrial,specma,industrial engineering,
stockholm,1897,,consumer goods,spendrups,brewers,
stockholm,2006,,technology,spotify,internet,
stockholm,1938,,consumer services,sr international – radio sweden,broadcasting & entertainment,
stockholm,1978,,basic materials,ssab,iron & steel,
