headquarters,founded,area_served,industry,name,sector,notes
paris,1989,,health care,genset,biotechnology,
paris,1986,,industrials,getlink,transportation services,
paris,2009,,financials,groupe bpce,banks,
les clayes-sous-bois,1931,,technology,groupe bull,computer hardware,
saint-étienne,1898,,consumer services,groupe casino,broadline retailer,
paris,1826,,consumer services,hachette,publishing,
paris,1826,,consumer services,hachette filipacchi médias,publishing,
paris,1968,,consumer services,havas,media agencies,
paris,1837,,consumer goods,hermès,clothing & accessories,
paris,1853,,industrials,hutchinson sa,diversified industrials,
paris,1990,,telecommunications,iliad sa,fixed line telecommunications,
neuilly-sur-seine,1964,,industrials,jcdecaux,electronic equipment,
paris,2001,,consumer services,keolis,travel & tourism,
paris,1963,,consumer goods,kering,clothing & accessories,
paris,1991,,industrials,la poste,delivery services,
paris,1951,,health care,laboratoires pierre fabre,pharmaceuticals,
troyes,1933,,consumer goods,lacoste,clothing & accessories,
laval,1933,,consumer goods,lactalis,food products,
paris,1833,,industrials,lafarge,building materials & fixtures,
paris,1930,,consumer goods,lafuma,recreational products,
paris,1922,,consumer services,lagardère group,broadcasting & entertainment,
paris,1935,,consumer goods,lancôme,personal products,
entzheim,1882,,consumer goods,le coq sportif,clothing & accessories,
suresnes,1907,,consumer goods,le zèbre,automobiles,
clichy,1909,,consumer goods,l'oréal,personal products,
paris,1854,,consumer goods,louis vuitton,clothing & accessories,
paris,1987,,consumer goods,lvmh,clothing & accessories,
paris,1995,,technology,mandriva,software,
metz,1964,,industrials,manuloc,logistics,
marseille,1969,,industrials,maritima ferries,marine transportation,
toulouse,1996,,industrials,matra marconi space,aerospace,
romorantin-lanthenay,1964,,consumer goods,matra,automobiles,
annecy,1889,,consumer goods,mavic,recreational products,
montrouge,1985,,technology,mc2 france,software,
clermont-ferrand,1889,,consumer goods,michelin,tires,
montreuil,1984,,technology,microïds,software,
saint-sauveur-de-montagut,1880,,consumer goods,montagut,clothing & accessories,
paris,2003,,consumer services,moonscoop group,broadcasting & entertainment,
paris,1631,,industrials,naval group,defense,
valbonne,1996,,health care,nicox,pharmaceuticals,
lesquin,1970,,consumer goods,norauto,auto parts,
paris,1988,,telecommunications,orange s.a.,mobile telecommunications,
courbevoie,2017,,nuclear industries,orano,nuclear cycle,
mérignac,1985,,consumer goods,oxbow,recreational products,
paris,1994,,industrials,parrot sa,diversified industrials,
paris,1896,,consumer services,pathé,broadcasting & entertainment,
orléans,1993,,industrials,pentalog,business support services,
paris,1975,,consumer goods,pernod ricard,distillers & vintners,
rueil-malmaison,1810,,consumer goods,peugeot,automobiles,
rueil-malmaison,1976,,consumer goods,psa group,automobiles,
paris,1926,,industrials,publicis,business support services,
paris,1997,,technology,quantic dream,software,
paris,1948,,consumer services,ratp group,travel & tourism,
boulogne-billancourt,1899,,consumer goods,renault,automobiles,
paris,1967,,industrials,rexel,electrical components & equipment,
la défense,1998,,basic materials,rhodia,specialty chemicals,
paris,1928,,basic materials,rhône-poulenc,specialty chemicals,
paris,2005,,industrials,safran,aerospace,
paris,1924,,technology,sagem,telecommunications equipment,
la défense,1665,,industrials,saint-gobain,building materials & fixtures,
épagny-metz-tessy,1947,,consumer goods,salomon group,recreational products,
paris,2004,,health care,sanofi,pharmaceuticals,
rueil-malmaison,1836,,industrials,schneider electric,electrical components & equipment,
puteaux,1885,,industrials,sdv international logistics,delivery services,
paris,1969,,consumer services,sephora,specialty retailers,
suresnes,1954,,health care,servier,pharmaceuticals,
paris,1987,,telecommunications,sfr,fixed line telecommunications,
labège,2009,,technology,sigfox,telecommunications equipment,
saint-denis,1938,,consumer services,sncf,travel & tourism,
courcouronnes,1945,,industrials,snecma,aerospace,
clichy,1945,,consumer goods,société bic,nondurable household products,
la défense,1864,,financials,société générale,banks,
issy-les-moulineaux,1966,,industrials,sodexo,specialized consumer services,
paris,2002,,technology,sogeti,software,
annecy,1968,,technology,sopra steria,software,
paris,1997,,utilities,suez,multiutilities,
issy-les-moulineaux,1893,,consumer services,technicolor sa,broadcasting & entertainment,
paris,1958,,industrials,technip,business support services,
boulogne-billancourt,1987,,consumer services,tf1 group,broadcasting & entertainment,
la défense,2000,,industrials,thales group,aerospace,
paris,1879,,industrials,thomson-csf,defense,
courbevoie,1924,,oil & gas,totalenergies,integrated oil & gas,
rennes,1986,,technology,ubisoft,software,
paris,1853,,utilities,veolia,water,
rueil-malmaison,1899,,industrials,vinci sa,heavy construction,
paris,1853,,consumer services,vivendi,broadcasting & entertainment,
paris,1884,,consumer goods,waterman,nondurable household products,
boulogne-billancourt,1965,,consumer goods,yoplait,food products,
helsinki,1851,,basic materials,ahlstrom,basic resources,
helsinki,1991,,financials,aktia bank,banks,
helsinki,1932,,consumer services,alko,specialty retailers,
helsinki,1849,,consumer services,alma media,publishing,
helsinki,1999,,consumer goods,altia,distillers & vintners,
helsinki,1950,,consumer goods,amer sports,recreational products,
mariehamn,1919,,financials,bank of åland,banks,
espoo,1985,,technology,basware,software,
oulu,1985,,consumer goods,bittium,consumer electronics,
helsinki,2005,,industrials,cargotec,transportation services,
oulu,2001,,technology,codenomicon,software,
helsinki,2000,,telecommunications,dna oyj,mobile telecommunications,
helsinki,1995,,industrials,eckerö line,marine transportation,
espoo,1955,,consumer goods,eks,consumer electronics,
helsinki,1882,,telecommunications,elisa,fixed line telecommunications,
helsinki,1891,,consumer services,fazer,restaurants & bars,
helsinki,1996,,utilities,fingrid,conventional electricity,
vantaa,1923,,consumer services,finnair,airlines,
helsinki,1947,,industrials,finnlines,marine transportation,
helsinki,1649,,consumer goods,fiskars,durable household products,
espoo,1998,,utilities,fortum,alternative electricity,
helsinki,1988,,technology,f-secure,software,
helsinki,1836,,consumer goods,hartwall,soft drinks,
turku,1966,,consumer services,hesburger,retail,
turku,1913,,consumer goods,hkscan,restaurants & bars,
helsinki,2011,,financials,holvi,banking,
espoo,1920,,industrials,huhtamäki,containers & packaging,
helsinki,1920,,basic materials,kemira,specialty chemicals,
lahti,1949,,industrials,kemppi,business support services,
helsinki,1940,,consumer services,kesko,broadline retailers,
helsinki,1910,,industrials,kone,industrial machinery,
hyvinkää,1994,,industrials,konecranes,industrial machinery,
helsinki,1987,,consumer services,kotipizza,restaurants & bars,
helsinki,1910,,industrials,lemminkäinen group,heavy construction,
helsinki,1951,,consumer goods,marimekko,clothing & accessories,
helsinki,1947,,basic materials,metsä group,paper,
helsinki,1999,,industrials,metso,business support services,
espoo,1948,,oil & gas,neste,exploration & production,
espoo,1865,,industrials,nokia,telecommunications equipment,
espoo,2007,,technology,nokia networks,telecommunications equipment,
helsinki,1898,,consumer goods,nokian jalkineet,footwear,
nokia,1932,,consumer goods,nokian tyres,automobiles,
helsinki,1878,,consumer goods,olvi,soft drinks,
helsinki,1891,,financials,op financial group,financial services,
espoo,1917,,health care,orion corporation,pharmaceuticals,
helsinki,1932,,basic materials,outokumpu,iron & steel,
espoo,2006,,industrials,outotec,business support services,
helsinki,1997,,industrials,patria,defense,
helsinki,1971,,health care,planmeca,medical equipment,
helsinki,1943,,utilities,pohjolan voima,alternative electricity,
kempele,1977,,consumer goods,polar electro,recreational products,
vieremä,1970,,industrials,ponsse corporation,commercial vehicles & trucks,
eurajoki,1995,,industrials,posiva,waste & disposal services,
helsinki,1638,,logistics,posti group,delivery services,
vantaa,1958,,industrials,pöyry,business support services,
helsinki,1993,,technology,process vision,business support services,
raisio,1939,,consumer goods,raisio group,food products,
helsinki,1960,,industrials,rautaruukki,building materials & fixtures,
espoo,2003,,technology,rovio entertainment,software,
helsinki,1904,,consumer services,s group,hotels,
helsinki,1909,,financials,sampo group,full line insurance,
helsinki,1999,,consumer services,sanoma,publishing,
helsinki,1957,,industrials,silja line,marine transportation,
helsinki,1931,,industrials,sisu auto,commercial vehicles & trucks,
helsinki,2008,,financials,solidium,investment services,
helsinki,1995,,technology,ssh communications security,software,
helsinki,1995,,oil & gas,st1,exploration & production,
oulu,1969,,industrials,stenfors,heavy construction,
helsinki,1862,,consumer services,stockmann,broadline retailers,
helsinki,1990,,technology,stonesoft corporation,software,
helsinki,1998,,basic materials,stora enso,paper,
helsinki,1898,,consumer goods,suominen corporation,clothing & accessories,
helsinki,2010,,technology,supercell,software,
vantaa,1936,,consumer goods,suunto,recreational services,
espoo,2004,,basic materials,talvivaara mining company,nonferrous metals,
helsinki,1968,,technology,tieto,software,
vantaa,1862,,basic materials,tikkurila,commodity chemicals,
helsinki,1996,,basic materials,upm-kymmene,paper,
vaasa,1993,,industrials,vacon,electrical components & equipment,
vantaa,1936,,technology,vaisala,software,
helsinki,1905,,consumer goods,valio,food products,
uusikaupunki,1968,,consumer goods,valmet automotive,automobiles,
espoo,2013,,industrials,valmet,industrial machinery,
äänekoski,1951,,industrials,valtra,commercial vehicles & trucks,
helsinki,1992,,consumer services,verkkokauppa.com,broadline retailers,
mariehamn,1963,,industrials,viking line,marine transportation,
helsinki,1862,,industrials,vr,railroads,
helsinki,1834,,industrials,wärtsilä,electronic equipment,
tartu,1807,,consumer goods,a. le coq,brewers,
tallinn,2002,,consumer services,airest,airlines,
tallinn,1990,,oil & gas,alexela,exploration & production,
tallinn,1999,,technology,aqris,software,
tallinn,1992,,telecommunications,as starman,fixed line telecommunications,
tallinn,1991,,consumer services,avies,airlines,
tallinn,1928,,consumer services,baltika group,apparel retailers,
tallinn,1912,,industrials,blrt grupp,commercial vehicles & trucks,
tallinn,2013,,technology,bolt,transportation,
tallinn,2010,,consumer services,copterline,airlines,
tallinn,1939,,utilities,eesti energia,conventional electricity,
tallinn,1990,,utilities,eesti gaas,gas distribution,
tallinn,1992,,industrials,eesti raudtee,railroads,
tallinn,1998,,utilities,elering,conventional electricity,
tallinn,1998,,consumer services,elron,travel & tourism,
jõhvi,1945,,basic materials,enefit kaevandused,general mining,
jõhvi,1959,,industrials,enefit solutions,business support services,
tallinn,1994,,consumer services,enimex,airlines,
tartu,?,,technology,estdomains,internet,
tallinn,1950,,consumer goods,estonia piano factory,recreational products,
tallinn,2001,,consumer services,estonian record productions,broadcasting & entertainment,
tartu,2007,,financials,fortumo,financial services,
tallinn,1998,,consumer services,gorail,travel & tourism,
lehmja,1806,,consumer goods,kalev,food products,
tallinn,1898,,consumer goods,liviko,distillers & vintners,
tallinn,2005,,consumer services,moonwalk records,broadcasting & entertainment,
auvere,1980,,oil & gas,narva oil plant,exploration & production,
tallinn,2000,,technology,nortal,software,
tartu,1994,,consumer services,olerex,specialty retailers,
tallinn,1638,,logistics,omniva,delivery services,
tallinn,?,,consumer services,publishing house ersen,publishing,
tartu,1999,,health care,quattromed,biotechnology,
roodevälja,1890,,consumer goods,rakvere lihakombinaat,food products,
kuressaare,1992,,industrials,saaremaa shipping company,marine transportation,
saku,1820,,consumer goods,saku brewery,brewers,
tallinn,2008,,financials,seb pank,banks,
tallinn,1995,,consumer services,selver,food retailers & wholesalers,
tallinn,1995,,consumer services,sky media group,broadcasting & entertainment,
tallinn,2006,,industrials,smartpost,delivery services,
tallinn,1991,,consumer services,stv,broadcasting & entertainment,
tallinn,1989,,industrials,tallink,marine transportation,
tallinn,1991,,consumer services,tallinna linnatranspordi as,travel & tourism,
tallinn,1999,,consumer services,tänapäev,publishing,
tartu,2000,,consumer goods,tartu mill,food products,
tallinn,1993,,telecommunications,telia eesti,fixed line telecommunications,
tallinn,1959,,industrials,tondi elektroonika,electronic equipment,
tallinn,?,,consumer services,topten,broadcasting & entertainment,
tallinn,?,,consumer services,ülemiste keskus,broadline retailers,
tallinn,1991,,consumer services,varrak,publishing,
kohtla-järve,1924,,oil & gas,viru keemia grupp,exploration & production,
narva,1993,,utilities,vkg elektrivõrgud,conventional electricity,
tartu,2007,,technology,zeroturnaround,software,
virum,1912,,industrials,alectia,business support services,
hørsholm,1923,,health care,alk-abelló,pharmaceuticals,
copenhagen,1873,,consumer services,aller media,publishing,
copenhagen,1792,,financials,alm. brand,full line insurance,
copenhagen,1937,,health care,ambu,medical equipment,
aarhus,1969,,industrials,arkitema architects,business support services,
viby j,2000,,consumer goods,arla foods,food products,
copenhagen,1959,,consumer services,arp-hansen hotel group,hotels,
struer,1925,,consumer goods,bang & olufsen,consumer electronics,
brande,1975,,consumer goods,bestseller a/s,clothing & accessories,
copenhagen,2005,,industrials,bjarke ingels group,business support services,
herning,1952,,consumer services,boconcept,specialty retailers,
gentofte,1917,,industrials,brødrene hartmann,containers & packaging,
aarhus,1922,,industrials,c. f. møller architects,business support services,
copenhagen,1847,,consumer goods,carlsberg group,brewers,
aalborg,1927,,industrials,cembrit,building materials & fixtures,
hørsholm,1874,,consumer goods,chr. hansen,food products,
copenhagen,2005,,industrials,cobe architects,business support services,
fredensborg,1957,,health care,coloplast,medical equipment,
copenhagen,1896,,consumer services,coop amba,food retailers & wholesalers,
copenhagen,1925,,industrials,copenhagen airport,transportation services,
frederikssund,1942,,consumer goods,co-ro food,food products,
gentofte,1992,,technology,cowex,software,
kongens lyngby,1930,,industrials,cowi a/s,business support services,
nyborg,1960,,consumer goods,daloon,food products,
hellerup,1871,,industrials,d/s norden,marine transportation,
copenhagen,1889,,industrials,dampskibsselskabet torm,marine transportation,
nordborg,1933,,industrials,danfoss,industrial machinery,
copenhagen,1989,,health care,danisco,biotechnology,
karise,1901,,industrials,danish agro,industrial machinery,
randers,1998,,consumer goods,danish crown amba,food products,
højbjerg,1964,,consumer services,dansk supermarked,broadline retailers,
copenhagen,1871,,financials,danske bank,banks,
skive,1958,,industrials,dantherm,industrial machinery,
copenhagen,1866,,industrials,dfds,marine transportation,
copenhagen,1971,,industrials,dissing+weitling,business support services,
roskilde,1906,,consumer goods,dlf,farming & fishing,
copenhagen,1885,,industrials,dsb,railroads,
hedehusene,1976,,industrials,dsv,delivery services,
copenhagen,1896,,industrials,dt group,building materials & fixtures,
bredebro,1963,,consumer goods,ecco,footwear,
copenhagen,1878,,consumer services,egmont group,publishing,
copenhagen,1906,,health care,falck,health care providers,
copenhagen,1882,,industrials,flsmidth,industrial machinery,
copenhagen,1995,,consumer services,flying tiger copenhagen,braodline retailers,
hillerød,1956,,industrials,foss a/s,business support services,
middelfart,2004,,industrials,global risk management,business support services,
ballerup,1869,,health care,gn store nord,health care providers,
bjerringbro,1945,,industrials,grundfos,industrial machinery,
ry,1985,,consumer goods,gryphon audio designs,consumer electronics,
copenhagen,1940,,basic materials,haldor topsoe,specialty chemicals,
lyngby-taarbæk,1915,,basic materials,hempel group,specialty chemicals,
copenhagen,1959,,industrials,henning larsen architects,business support services,
copenhagen,1933,,consumer goods,house of amber,clothing & accessories,
aarhus,1923,,consumer goods,hummel,clothing & accessories,
copenhagen,2001,,consumer goods,ic group,clothing & accessories,
copenhagen,1990,,technology,io interactive,software,
copenhagen,1901,,industrials,iss a/s,business support services,
copenhagen,2006,,consumer services,jet time,airlines,
odense,1933,,industrials,jorgensen engineering,business support services,
aarhus,1979,,consumer services,jysk,specialty retailers,
silkeborg,1967,,financials,jyske bank,banks,
copenhagen,1882,,industrials,kemp & lauritzen,business support services,
copenhagen,1930,,consumer goods,kopenhagen fur,clothing & accessories,
copenhagen,2016,,consumer goods,lastobject,personal products,
copenhagen,1908,,health care,leo pharma,pharmaceuticals,
lunderskov,1940,,industrials,lm glasfiber,industrial machinery,
copenhagen,1874,,industrials,louis poulsen,building materials & fixtures,
copenhagen,1915,,health care,lundbeck,pharmaceuticals,
copenhagen,1983,,industrials,lundgaard & tranberg,business support services,
copenhagen,1904,,conglomerates,maersk,ocean and inland freight transportation,
aarhus,1987,,industrials,martin professional,building materials & fixtures,
allerød,1949,,consumer services,matas,drug retailers,
copenhagen,1999,,technology,netcompany,software,
copenhagen,1891,,conglomerates,nkt holding,-,
gladsaxe,1994,,technology,nnit,software,
copenhagen,1972,,consumer goods,nordic adult entertainment,recreational products,
copenhagen,1906,,consumer services,nordisk film,broadcasting & entertainment,
gladsaxe,1978,,consumer services,north media,publishing,
copenhagen,2001,,financials,north sea capital,financial services,
copenhagen,1923,,health care,novo nordisk,pharmaceuticals,
copenhagen,2000,,health care,novozymes,biotechnology,
copenhagen,1985,,financials,nykredit,financial services,
fredericia,2006,,utilities,ørsted,conventional electricity,
copenhagen,1992,,consumer services,parken sport & entertainment,recreational services,
vejle,1981,,health care,pharma nord,pharmaceuticals,
holbæk,1965,,health care,pharmacosmos,pharmaceuticals,
copenhagen,1993,,consumer goods,phase one,recreational products,
copenhagen,1918,,industrials,plesner,business support services,
copenhagen,1624,,industrials,post danmark,delivery services,
copenhagen,1945,,industrials,ramboll,business support services,
roskilde,2000,,utilities,roskilde forsyning,conventional electricity,
copenhagen,1775,,consumer goods,royal copenhagen,durable household products,
faxe,1989,,consumer goods,royal unibrew,brewers,
copenhagen,1945,,financials,sampension,asset managers,
copenhagen,1897,,industrials,santa fe group,logistics,
copenhagen,1992,,financials,saxo bank,banks,
copenhagen,1961,,consumer goods,scandinavian tobacco group,tobacco,
copenhagen,1986,,industrials,schmidt hammer lassen,business support services,
copenhagen,1947,,consumer goods,select sport,recreational products,
vallensbæk,1817,,health care,simonsen & weel,medical equipment,
copenhagen,2000,,consumer services,stylepit,apparel retailers,
århus,1794,,technology,stibo,enterprise software,
copenhagen,1879,,telecommunications,tdc a/s,fixed line telecommunications,
lystrup,1949,,industrials,terma a/s,aerospace,
billund,1932,,consumer goods,the lego group,toys,
copenhagen,2003,,industrials,thorco shipping,marine transportation,
fredericia,1873,,consumer goods,tuborg brewery,brewers,
middelfart,1876,,industrials,united shipping & trading company,marine transportation,
hørsholm,1941,,industrials,velux,building materials & fixtures,
aarhus,1945,,industrials,vestas,industrial machinery,
allerød,1994,,oil & gas,welltec,oil equipment & services,
lynge,1956,,health care,widex,medical equipment,
ledøje-smørum,1904,,health care,william demant,health care providers,
hvidovre,1992,,consumer services,zentropa,broadcasting & entertainment,
odolena voda,1919,,industrials,aero vodochody,aerospace,
prague,1991,,consumer services,ahold czech republic,food retailers & wholesalers,
prague,1991,,industrials,asix s.r.o.,electronic equipment,
prague,1988,,technology,avast,software,
prague,1921,,consumer services,barrandov studios,broadcasting & entertainment,
české budějovice,1795,,consumer goods,budweiser bier bürgerbräu,brewers,
české budějovice,1785,,consumer goods,budweiser budvar brewery,brewers,
prague,1918,,industrials,česká pošta,delivery services,
prague,1825,,financials,česká spořitelna,banks,
uherský brod,1936,,industrials,česká zbrojovka firearms,defense,
prague,2003,,industrials,české dráhy,railroads,
prague,1963,,telecommunications,české radiokomunikace,fixed line telecommunications,
prague,1964,,financials,československá obchodní banka,banks,
prague,2015,,telecommunications,cetin,fixed line telecommunications,
prague,1999,,consumer services,cinema city czech republic,recreational services,
prague,1927,,industrials,čkd,commercial vehicles & trucks,
prague,2006,,telecommunications,cs link,mobile telecommunications,
prague,1923,,consumer services,czech airlines,airlines,
prague,1919,,financials,czech national bank,banks,
studenec,1989,,consumer goods,dominant cz,farming & fishing,
brno,1990,,consumer services,indies records,broadcasting & entertainment,
jablonec nad nisou,1990,,consumer goods,jablotron,consumer electronics,
karlovy vary,1807,,consumer goods,jan becher,distillers & vintners,
velešín,1919,,industrials,jihostroj,aerospace,
brno,1892,,consumer goods,josef lidl,recreational products,
nový hrádek,1950,,consumer goods,kaden models,toys,
prague,1991,,consumer services,kenvelo,apparel retailers,
ostrava,1960,,consumer goods,kofola,soft drinks,
prague,1990,,financials,komerční banka,banks,
prague,2010,,industrials,leo express,railroads,
jablonec nad nisou,1951,,industrials,liaz,commercial vehicles & trucks,
prague,1992,,consumer services,mafra,publishing,
přerov,1933,,industrials,meopta,electronic equipment,
prague,1971,,industrials,metrostav,heavy construction,
karlovy vary,1857,,consumer goods,moser,furnishings,
prague,2006,,telecommunications,o2 czech republic,telecommunications,
ostrava,1952,,basic materials,okd,coal,
hradec králové,1864,,consumer goods,petrof,recreational products,
plzeň,1842,,consumer goods,pilsner urquell brewery,brewers,
jablonec nad nisou,1948,,consumer goods,preciosa,furnishings,
nové město na moravě,1989,,consumer goods,racom,consumer electronics,
brno,2006,,technology,red hat czech,software,
krušovice,1581,,consumer goods,royal brewery of krušovice,brewers,
nové sedlo,1907,,consumer goods,rudolf kämpf,furnishings,
plzeň,1995,,industrials,škoda transportation,commercial vehicles & trucks,
plzeň,1859,,industrials,škoda works,diversified industrials,
prague,2007,,telecommunications,skylink,mobile telecommunications,
brno,1996,,consumer services,student agency,travel & tourism,
prague,1932,,consumer services,supraphon,broadcasting & entertainment,
kopřivnice,1850,,industrials,tatra,commercial vehicles & trucks,
prague,1995,,telecommunications,telekom austria czech republic,fixed line telecommunications,
kolín,2002,,consumer goods,toyota peugeot citroën automobile czech,automobiles,
třinec,1836,,basic materials,trinec iron and steel works,iron & steel,
prague,2006,,financials,unicredit bank czech republic and slovakia,banks,
české budějovice,2002,,basic materials,via chem group,specialty chemicals,
prague,1982,,telecommunications,vodafone czech republic,mobile telecommunications,
prague,1911,,industrials,walter aircraft engines,industrial machinery,
brno,1946,,industrials,zetor,commercial vehicles & trucks,
prague,1868,,financials,živnostenská banka,banks,
nicosia,1948,,consumer services,ac omonia,sports,
larnaca,1994,,consumer services,aek larnaca fc,sports,
limassol,1930,,consumer services,ael f.c.,sports,
nicosia,1999,,industrials,allbiz,business support services,
larnaca,1911,,consumer services,anorthosis f.c.,sports,
nicosia,1947,,consumer services,apoel b.c.,sports,
nicosia,1926,,consumer services,apoel fc,sports,
nicosia,1928,,consumer services,apoel v.c.,sports,
limassol,1954,,consumer services,apollon limassol,sports,
nicosia,1997,,consumer services,armida publications,publishing,
limassol,1990,,technology,asbis,computer hardware,
limassol,1991,,industrials,austrian lloyd ship management,marine transportation,
nicosia,1899,,financials,bank of cyprus,banks,
limassol,1986,,consumer services,celestyal cruises,travel & tourism,
nicosia,1963,,financials,central bank of cyprus,banks,
larnaca,2016,,consumer services,charlie airlines,travel & leisure,
nicosia,1953,,consumer services,cyprus broadcasting corporation,broadcasting,
nicosia,1955,,consumer services,cyprus civil aviation authority,air traffic management,
nicosia,1961,,consumer services,cyprus college,education,
paphos,1969,,consumer services,cyprus college of art,education,
nicosia,1963,,financials,cyprus development bank,banks,
nicosia,1978,,consumer services,cyprus institute of marketing,education,
limassol,2004,,technology,cyprus int. instit. for environ. & public health,research,
nicosia,1999,,telecommunications,cyprus internet exchange,fixed line telecom,
nicosia,1945,,consumer services,cyprus mail,publishing,
nicosia,1916,,basic materials,cyprus mines corporation,general mining,
nicosia,1991,,technology,cyprus neuroscience and technology institute,research,
nicosia,1976,,consumer services,cyprus news agency,media,
nicosia,1973,,consumer services,cyprus ports authority,ship traffic management,
nicosia,-,,industrials,cyprus postal services,delivery services,
nicosia,1968,,consumer services,cyprus state fairs authority,general retailers,
nicosia,1996,,financials,cyprus stock exchange,investment services,
limassol,2004,,consumer services,cyprus university of technology,education,
nicosia,1979,,consumer services,cyprus weekly,publishing,
nicosia,1961,,telecommunications,cyta,fixed line telecom,
peristerona,1954,,consumer services,doxa katokopias fc,sports,
nicosia,1952,,utilities,electricity authority of cyprus,conventional electricity,
limassol,2017,,consumer services,elias neocleous & co llc,legal,
nicosia,2017,,utilities,euroafrica interconnector,electricity,
nicosia,2010,,utilities,euroasia interconnector,electricity,
nicosia,1961,,consumer services,european university cyprus,education,
nicosia,1993,,consumer services,financial mirror,publishing,
limassol,1965,,consumer services,frederick university,education,
guernsey,1961,,industrials,joannou & paraskevaides,heavy construction,
nicosia,-,,financials,health insurance organisation,full line insurance,
nicosia,1976,,financials,hellenic bank,banks,
limassol,2003,,financials,imperio properties,real estate development,
limassol,2010,,financials,ironfx,investment services,
limassol,1927,,consumer goods,keo,soft drinks,
larnaca,1975,,consumer services,larnaca international airport,travel & leisure,
nicosia,1937,,consumer goods,leon beer,brewers,
paphos,1960,,financials,leptos estates,real estate development,
nicosia,1977,,industrials,lois builders,heavy construction,
limassol,1976,,health care,medochemie,pharmaceuticals,
nicosia,1982,,consumer services,metro foods trading,food retailers & wholesalers,
nicosia,1967,,consumer services,moufflon publications,publishing,
paphos,2007,,consumer services,neapolis university paphos,education,
nicosia,2004,,consumer services,nova cyprus,media,
nicosia,1992,,consumer services,omega tv cyprus,media,
nicosia,2002,,consumer services,open university of cyprus,education,
pafos,2014,,consumer services,pafos fc,sports,
paphos,1992,,consumer services,paphos general hospital,health,
paphos,2008,,consumer services,paphos international airport,travel & leisure,
larnaca,1959,,oil & gas,petrolina,exploration & production,
nicosia,2008,,financials,pevex management,investment services,
limassol,1956,,industrials,port of limassol,industrial transportation,
nicosia,2003,,telecommunications,primetel plc,fixed line telecom,
limassol,1995,,financials,rcb bank,banks,
nicosia,2007,,basic materials,rusal,industrial metals & mining,
nicosia,1995,,consumer services,sat-7,broadcasting & entertainment,
nicosia,2002,,telecommunications,telepassport telecommunications,fixed line telecom,
strovolos,1999,,consumer services,the american heart institute,health,
nicosia,2005,,technology,the cyprus institute,research,
nicosia,1987,,technology,the muscular dystropy research foundation,research,
nicosia,1990,,technology,the cyprus institute of neurology and genetics,research,
ayia napa,1979,,consumer services,tsokkos,hospitality,
larnaca,2015,,consumer services,tus airways,travel & leisure,
nicosia,1970,,financials,universal life,life insurance,
nicosia,1989,,consumer services,university of cyprus,education,
nicosia,1980,,consumer services,university of nicosia,education,
nicosia,1998,,technology,wargaming,software,
nicosia,1950,,consumer services,woolworths,broadline retailers,
nicosia,2007,,technology,xhamster,software,
rijeka,1892,,industrials,3. maj,commercial vehicles & trucks,
zagreb,1994,,industrials,3lhd,business support services,
zagreb,1999,,telecommunications,a1 hrvatska,mobile telecommunications,
omišalj,2013,,oil & gas,lng hrvatska,exploration & production,
opatija,1983,,consumer services,adriatic croatia international club,travel & tourism,
rovinj,2003,,consumer goods,adris grupa,tobacco,
zagreb,1976,,consumer goods,agrokor,food products,
zagreb,1995,,consumer services,aquarius records,broadcasting & entertainment,
zagreb,1991,,consumer goods,atlantic grupa,food products,
dubrovnik,1955,,industrials,atlantska plovidba,marine transportation,
zagreb,1862,,consumer goods,badel 1862,distillers & vintners,
zagreb,1990,,health care,biognost,pharmaceuticals,
split,2003,,industrials,blue line international,marine transportation,
zagreb,2010,,telecommunications,bonbon,mobile telecommunications,
split,1922,,industrials,brodosplit,commercial vehicles & trucks,
čakovec,1893,,consumer goods,čakovečki mlinovi,food products,
koprivnica,2004,,consumer goods,carlsberg croatia,brewers,
zagreb,1929,,consumer goods,cedevita,soft drinks,
zagreb,1989,,consumer services,croatia airlines,airlines,
zagreb,1946,,consumer services,croatia film,broadcasting & entertainment,
zagreb,1884,,financials,croatia osiguranje,full line insurance,
zagreb,1947,,consumer services,croatia records,broadcasting & entertainment,
zagreb,1990,,financials,croatian national bank,banks,
zagreb,1926,,consumer services,croatian radiotelevision,broadcasting & entertainment,
zagreb,1991,,industrials,croatian railways,railroads,
zagreb,1993,,technology,croteam,software,
zagreb,1994,,industrials,crotram,commercial vehicles & trucks,
zagreb,1949,,industrials,dalekovod,electrical components & equipment,
zagreb,1994,,consumer services,dallas records,broadcasting & entertainment,
buje,1971,,industrials,digitron,electronic equipment,
zagreb,1992,,industrials,dok-ing,diversified industrials,
slavonski brod,1991,,industrials,ðuro ðaković,diversified industrials,
zagreb,1949,,telecommunications,ericsson nikola tesla,mobile telecommunications,
split,2000,,consumer services,european coastal airlines,airlines,
zagreb,2019,,consumer goods,fortenova group,food products,
zagreb,1892,,consumer goods,franck,soft drinks,
zagreb,1993,,technology,geofoto,software,
zagreb,1990,,consumer services,hanza media,publishing,
zagreb,2003,,consumer services,hit records,broadcasting & entertainment,
zagreb,1889,,industrials,hönigsberg & deutsch,business support services,
zagreb,1895,,utilities,hrvatska elektroprivreda,conventional electricity,
zagreb,1999,,industrials,hrvatska pošta,delivery services,
zagreb,1991,,financials,hrvatska poštanska banka,banks,
zagreb,2001,,industrials,hrvatske autoceste,transportation services,
