_id,ltable_ID,rtable_ID,ltable_name,ltable_country,ltable_headquarters,ltable_address,ltable_founded,ltable_employees,ltable_market_cap,ltable_revenue,ltable_profit,ltable_industry,ltable_sector,ltable_categories,ltable_ceo,rtable_name,rtable_country,rtable_headquarters,rtable_address,rtable_founded,rtable_employees,rtable_market_cap,rtable_revenue,rtable_profit,rtable_industry,rtable_sector,rtable_categories,rtable_ceo,label
2198,28006,628,indian oil,india,,,,,doll_14.29 b,,,,,,,indian railways,,,,1853,,,,,railways,,,,0
4908,17396,1859,insteel industries,united states,,,,,doll_0.54 b,,,,,,,indofil industries,,,,1993,,,,,agro chemicals,,,,0
11994,72557,4370,infineon technologies ag,germany,,,,,doll_45.35 b,,,semiconductors,technology,,,innoeye technologies,,,,2012,,,,,it services & consulting,,,,0
12150,40326,4408,igarashi motors india,india,,,,,doll_150.0 m,,,,,,,igarashi motors,,,,1992,,,,,auto components,,,,1
16687,5543,6213,in2it technologies,,,,1990,,,,,it services & consulting,,,,innovassynth technologies,,,,2002,,,,,chemicals,,,,0
18254,7116,7116,iftm university,,,,1996,,,,,education & training,,,,iftm university,,,,1996,,,,,education & training,,,,1
23377,11825,11825,intercom,united states,,,2011,,,,,internet software & services,,,,intercom,united states,,,2011,,,,,internet software & services,,,,1
23603,12809,12809,improbable,united kingdom,,,,,,,,other,,,,improbable,united kingdom,,,,,,,,other,,,,1
27254,23205,17835,international money express,united states,,,,,doll_0.90 b,,,,,financial-services ,,international money express,united states,,,,,doll_0.89 b,,,,,['financial services'],,1
31461,1148,20770,ihg group,,,,2003,,,,,hospitality,,,,iida group,japan,,,,,doll_4.66 b,,,,,real-estate ,,0
32022,29147,20919,itochu techno-solutions,japan,,,,,doll_5.45 b,,,,,,,itochu techno-solutions,japan,,,,,doll_5.50 b,,,,,none,,1
36728,165620,23324,indiabulls housing finance,india,,,,,doll_1.36 m,,147 million usd,['financial services'],,,,indiabulls housing finance,india,,,,,doll_0.82 b,,,,,financial-services ,,1
44804,48500,28702,icici bank,india,,,,,doll_77.63 b,,,,,,,idbi bank,india,,,,,doll_7.35 b,,,,,,,0
55299,20407,34976,insight enterprises,united states,,,,,doll_3.90 b,,,,,none,,icahn enterprises,united states,,,,,doll_17.87 b,,,,,,,0
59298,178941,36607,ing group,,amsterdam,,1991,,,,,financials,banks,,,iida group,japan,,,,,doll_4.32 b,,,,,,,0
62546,38182,38182,inter cars,poland,,,,,doll_1.44 b,,,,,,,inter cars,poland,,,,,doll_1.44 b,,,,,,,1
62830,31210,38313,irobot,united states,,,,,doll_1.31 b,,,,,,,irobot,united states,,,,,doll_1.31 b,,,,,,,1
71506,36618,46517,imi plc,uk,,,,,doll_4.3 b,,,,,,,imi plc,uk,,,,,doll_4.25 b,,,,,['engineering'],,1
