_id,ltable_ID,rtable_ID,ltable_name,ltable_country,ltable_headquarters,ltable_address,ltable_founded,ltable_employees,ltable_market_cap,ltable_revenue,ltable_profit,ltable_industry,ltable_sector,ltable_categories,ltable_ceo,rtable_name,rtable_country,rtable_headquarters,rtable_address,rtable_founded,rtable_employees,rtable_market_cap,rtable_revenue,rtable_profit,rtable_industry,rtable_sector,rtable_categories,rtable_ceo,label
111957,92853,92853,eversource energy,united states,,,,,doll_31.72 b,doll_9.86 b,doll_1.22 b,,,,,eversource energy,united states,,,,,doll_31.72 b,doll_9.86 b,doll_1.22 b,,,,,1
117791,99362,97362,energihem,sweden,,,,125.0,,doll_28.0 m,,,construction,,,energihem,sweden,,,,125,,doll_28.0 m,,,construction,,,1
152510,51020,139400,enstar group,bermuda,,,,,doll_3.93 b,,,,,,,enstar group,bermuda,,,,,doll_4.25 m,,,,,,,1
158604,45963,142821,energizer holdings,united states,,,,,doll_2.44 b,,,,,[],,everi holdings,united states,,,,,doll_2.05 m,,,,,,,0
165128,69230,146798,eaton corporation plc,ireland,,,,,doll_62.17 b,,,specialty industrial machinery,industrials,,,eaton corporation,ireland,,,,,doll_66.91 b,,doll_2.14 b,,,,craig arnold,1
171777,138068,148748,edison s.p.a,italy,,,,,doll_6.65 m,,,,,,,edison s.p.a,italy,,,,,doll_8.56 b,,doll_413.0 m,,,,,1
179977,35547,153120,east west bancorp,united states,,,,,doll_9.63 b,,,,,,,eagle bancorp,united states,,,,,doll_2.01 b,,doll_176.0 m,,,,,0
189143,27668,178541,endesa,spain,,,,,doll_21.49 b,,,,,,,endesa,,madrid,,1944,,,,,utilities,conventional electricity,,,1
189626,54999,179577,emcore corporation,united states,,,,,doll_50.69 m,,,,,,,eaton corporation,,dublin,,1911,,,,,conglomerate,-,,,0
189640,70197,179577,exxon mobil corporation,united states,,,,,doll_348.72 b,,,oil & gas integrated,energy,,,eaton corporation,,dublin,,1911,,,,,conglomerate,-,,,0
