_id,ltable_ID,rtable_ID,ltable_name,ltable_country,ltable_headquarters,ltable_address,ltable_founded,ltable_employees,ltable_market_cap,ltable_revenue,ltable_profit,ltable_industry,ltable_sector,ltable_categories,ltable_ceo,rtable_name,rtable_country,rtable_headquarters,rtable_address,rtable_founded,rtable_employees,rtable_market_cap,rtable_revenue,rtable_profit,rtable_industry,rtable_sector,rtable_categories,rtable_ceo,label
846897,28352,92486,country garden,china,,,,,doll_10.15 b,,,,,,,country garden holdings,china,,,,,doll_15.65 b,doll_81.13 b,doll_4.15 b,,,,,1
851835,92645,92645,ctbc financial,taiwan,,,,,doll_19.63 b,doll_14.93 b,doll_1.94 b,,,,,ctbc financial,taiwan,,,,,doll_19.63 b,doll_14.93 b,doll_1.94 b,,,,,1
995111,182704,104665,campari group,,milan,,1860,,,,,consumer goods,beverages,,,clair group,france,,,,119,,doll_27.91 m,,,aerospace & defence,,,0
1047331,18600,122015,cannae holdings,united states,,,,,doll_1.80 b,,,,,,,celanese holdings llc,united states,,,,,,,,,,,,0
1100027,148510,131594,cochlear limited,australia,,,,,doll_9.85 b,,doll_200.0 m,,,,,csr limited,australia,,,,,,,187 million usd,construction materials,,,,0
1129506,46471,136309,cabot corporation,united states,,,,,doll_4.02 b,,,,,['chemicals'],,centene corporation,united states,,,,,doll_36.72 m,,,,,,michael f. neidorff,0
1219842,146937,138574,citic securities company,china,,,,,doll_48.79 b,,doll_3.36 b,,,,,changjiang securities company,china,,,,,doll_6.41 m,,,,,,,0
1426058,63712,145270,celsion corporation,,,,,29.0,doll_13.91 m,,,,,,,cymbria corporation,canada,,,,,doll_1.08 m,,,,,,,0
1449415,29732,146124,china lesso group,china,,,,,doll_3.66 b,,,,,,,china design group,china,,,,,doll_0.83 m,,,,,,,0
1508962,146560,147666,chevron corporation,united states,,,,,doll_241.02 b,,doll_15.62 b,,,,michael wirth,celanese corporation,united states,,,,,doll_18.73 b,,doll_1.9 b,,,,lori j. ryerkerk,0
1547476,151499,148584,canfor corporation,canada,,,,,doll_3.11 b,,doll_1.03 b,,,,,cameco corporation,canada,,,,,doll_9.42 b,,doll_-81.0 m,,,,,0
1766004,145039,155719,codan,australia,,,,,doll_2.0 m,,,,,,,codan,australia,,,,,doll_1.18 b,,doll_69.0 m,,,,,1
1772344,2400,155950,cooper corporation,,,,1922,,,,,auto components,,,,cymbria corporation,canada,,,,,doll_1.13 b,,doll_195.0 m,,,,,0
1867573,178912,183174,cnh global,,amsterdam,,1999,,,,,industrials,commercial vehicles & trucks,,,cnh global,,amsterdam,,1999,,,,,industrials,commercial vehicles & trucks,,,1
