00-avengers-type,00-avengers-id,00-avengers-hhid,00-avengers-nation
corporation,e094f47b765b4feba1911ca2c0f7275e,h-it0034827331,italy
corporation,e7e6dcbc08eb41628ea75db954747f67,h-it0009234624,italy
corporation,813a01325cc749e3a522e388f414c982,h-it0009740473,italy
corporation,6eaece66b49f48dcb618c17996aec218,h-it0009613331,italy
corporation,7c83583329024e6a86763c53980495b7,h-it0067760325,italy
corporation,ebdfea55795d435d9250a06eb4724d03,h-it0038913984,italy
corporation,5c89c3bef27847dbba03de49fa902d67,h-it0008022720,italy
corporation,3a6bebe39bfa4ccfacc7f2d811b38007,h-it0053576578,italy
corporation,ffae8944561442849e7bf46047082f84,h-it0025525573,italy
corporation,6f4756d03e37490a9a66c26a19f8a2f2,h-it0005985013,italy
corporation,42c6ce2e10fb46cea68d15d1229ecdf9,h-it0049388177,italy
corporation,af16c1f6c96e4cbb864aa2f3d78988bd,h-it0074764403,italy
corporation,12647c5e2f5741b4b160ec7a44c573c3,h-it0069629781,italy
corporation,6d0934cb43894277ba62f491f017867c,h-it0061929387,italy
cooperative,9a5d10be3997400bae828ff55a286777,h-it0023035021,italy
corporation,aeb4b4d8f5324cf8837a67bbd89e2f81,h-it0044271190,italy
corporation,d81c1a129cc94416942986471692d1db,h-it0026598132,italy
corporation,fda6fb7f5f844a70b10ef16e4cdb64d1,h-it0061222844,italy
corporation,b8f83ba1b9bf46e4a529f027449ef31d,h-it0051081903,italy
foreign company,dcf723e289774803a813e4e44302525b,h-it0007437188,italy
foreign company,1f1a2bae130343308fd174bf35db765e,h-it0063085380,italy
corporation,beae9155dd0045ba97e5dfda83c30a72,h-it0008852677,italy
corporation,4bea9bbe49144967a7214ceaebe3af2c,h-it0042738679,italy
corporation,98cc2c21030e4ca28ea07ac1bdb1d708,h-it0003008487,italy
corporation,3f8df268707a401588ba5fa01643380e,h-it0034644245,italy
corporation,599cdef9ac5c45cfbbed2bd580739a67,h-it0071050442,italy
corporation,e160172aaa2b4879824b6eb07850bf0a,h-it0058278001,italy
corporation,b6927443a712490cbae2119415dd6f86,h-it0037438514,italy
corporation,547f26811f4a42c789fa2f449d406104,h-it0074275860,italy
corporation,7a871e67040a43e5b14669c27c9ead09,h-it0072773472,italy
corporation,4e842080df594726ad12e754569c2979,h-it0059184531,italy
foreign company,c57368e66cbe4a8382a6d9f30832b39b,h-it0018329365,italy
corporation,f609e6275db0451b872ac38f364be71b,h-it0009369996,italy
corporation,f38f0dc617804afdaf807aa5161f1a04,h-it0074908405,italy
corporation,8d10716e48f5458c961db21803f09932,h-it0054109205,italy
corporation,768024981b5f48a78227440073280be0,h-it0072354240,italy
corporation,bb12095703864918ad2d91bcae889881,h-it0012529079,italy
corporation,c0cd5522e5f5477abc7869f43df4e715,h-it0061745170,italy
corporation,db371787344a49c2a253bedd628f9171,h-it0071805583,italy
corporation,a4bda0d4a63448b298f508d3d0e17804,h-it0018276334,italy
corporation,0a3f6005b26a4bb482f8821ed3a9daaf,h-it0072485272,italy
corporation,ea4f3ced223145d2bc435b3155498557,h-it0002560844,italy
corporation,0e0f0ba80e5c45208a794d934263836e,h-it0021352054,italy
corporation,c6578332a4f14995a9fc247db6cca655,h-it0071980229,italy
corporation,afb8cf87cd7e47d0b1bc583f525263e8,h-it0002560879,italy
corporation,e3bed9497f514b1b82003445badec506,h-it0049397494,italy
corporation,0cdf2fe323ba4912bd2932f631cd70e9,h-it0075487071,italy
foreign company,b4e7fa0a80ac4c0290732b1e0322f711,h-it0053437772,italy
corporation,0b1db8eced084aee9e9c4616e932cf7f,h-it0073103470,italy
corporation,91e9d9d7e2c8456f9b4f2b89c4b9802f,h-it0073419680,italy
corporation,b83ea16f920d4972b6fb0d2a6a2adcb4,h-it0008538875,italy
corporation,0276f4d3a1c04530bc7028250796f87c,h-it1046469591,italy
foreign company,7ba23247cae040779bfc20f8417e1d3f,h-it0072796405,italy
corporation,a4087828229e4d8e9e2cfa2973b1766e,h-it0057455139,italy
corporation,bbe7e0d16d9848cea24687fe067dbbdc,h-it0051290006,italy
corporation,226d2657a7ce4c54aed82d3c16ad17fc,h-it0029356407,italy
corporation,c1bff23c2a2c48b5a8e813dd92c19fc3,h-it0029714915,italy
corporation,e46ecf78a6d44d8e96ec21b5e022e40b,h-it0073428639,italy
corporation,bf1af57c69924ba58f688d629243c801,h-it0027831833,italy
corporation,c74e6e1b0ed2438391f85ec540f5cc92,h-it0061929093,italy
corporation,1634bafa51f94e1f8cfc86354d3bb10c,h-it0009252584,italy
corporation,1bcc893caa0f4c1e94e6b5b165a7f6eb,h-it0008914168,italy
corporation,d539580f626e47debc17a2447bd3b8a8,h-it0008052069,italy
corporation,e659bb27ebaf44b8b80c63a598566148,h-it0011430680,italy
corporation,0a28f211887e434cbb3e06998b502aa6,h-it0009532196,italy
corporation,66831b6bfb2a4e37a4a02c2493c9813a,h-it0216517075,italy
corporation,7f25f4ac7eba4e699e7d7be8b428c216,h-it0027424928,italy
corporation,161c6f5d28bd45cf85b6ee4adecfaa3b,h-it0069606331,italy
corporation,eca11abf6cfa43e1b8bd1f6d178559f5,h-it0028646150,italy
corporation,56ddb7d42db749f784887cbf9005a580,h-it0052507467,italy
corporation,85f90062e7964b0c9cd8039df0cdb2d0,h-it0062449729,italy
corporation,6c6c528efb904d0dac2421bf36ae6659,h-it0002216302,italy
corporation,a7402eaf803f48c0a47b0c082f8a5684,h-it0036432156,italy
corporation,9e4b8f9ca351401882c2d63f7ca081dd,h-it0004175387,italy
corporation,c9e57445c5d34866aeb77ba03a986c2f,h-it0051823365,italy
corporation,c8241254deef44768b28426537929ffc,h-it0034418431,italy
corporation,909d8090e18d45d8a6219b953e120b1d,h-it0000168572,italy
corporation,af03f70269094506b1ef8509a3560ac1,h-it0070576246,italy
corporation,cfdb83f7fda942dfa5bc48c39ea6949c,h-it0014781409,italy
corporation,af2cd16d1913418da232747c9111a378,h-it0002214997,italy
corporation,bb7494b765af4ff6a155e5cc17c9d213,h-it0071659145,italy
corporation,b61cdb8c43014186b71b3644f7f23c33,h-it0049411330,italy
corporation,e6794257ca6e47da97b40151e58c7b49,h-it0043242537,italy
corporation,145fcba667d34759aff7dddd906f56b9,h-it0068385552,italy
corporation,aee5b1cb6a93435b90c97fa724fb1ae3,h-it0020453108,italy
corporation,994f15ffaf734caab20a9328b6a1231a,h-it0049402331,italy
corporation,d5c303821a4b41849090de1e8ed26a56,h-it0074296558,italy
corporation,1b57d535bfcf436e9db7fd5eb9da4e94,h-it0065500911,italy
corporation,2777034b4f004c8eb6ab91b0c4941512,h-it0011169516,italy
corporation,794c788fac1d4556bfca7609ac479ee2,h-it0010264795,italy
corporation,3ca34bb50cab4c54893faf69c025fb47,h-it0062356658,italy
corporation,35172be73d5d46be871c49068d4af31f,h-it0020650884,italy
corporation,1387ef3a77594498b00880f2a8ade801,h-it0047540028,italy
corporation,b62f8930aa1c4ec3b161290c39cc2005,h-it0075933586,italy
corporation,c56b8034cbeb46f49f3c0a6a48c913a1,h-it0073082406,italy
corporation,91d1ad7574924de4988c70825812a33e,h-it0053224930,italy
corporation,2b82158ca0b94ee3ad88b2c2cfdeecc4,h-it0037877445,italy
corporation,3df7bd4f5a4a4d17b501ba82f13abd9d,h-it0073228761,italy
corporation,764ca2b6213d4a7eb0fd127ed593d86d,h-it0065538978,italy
corporation,6c468d4fcbae4546bcb2e3928d5245ea,h-it0056068484,italy
corporation,3271d226c9ca4eb7b3f34cd05ddc807e,h-it0050197304,italy
corporation,01fe3375665c4f8ab34ac84f054bc0ff,h-it0017623804,italy
corporation,e01889562ccb43f5b7cbb71ffdc7b148,h-it0021553033,italy
corporation,773945dd609e491c983f2b9281e7a1db,h-it0009518258,italy
corporation,af2d40579f5d459ba3be1546e8f98440,h-it0002491664,italy
corporation,323660c5dfd94f68b063a5bf3b9a5ae7,h-it0010302581,italy
corporation,9fbe03fc8be9407e97fc11c87906ea54,h-it0022984526,italy
corporation,0e199472f7b249f9bcd1d71ee7b9b2b2,h-it0009358986,italy
corporation,c689777d9e1c43698934d1ddd13db07e,h-it0008847908,italy
corporation,5a9d37a4bf75455684c20d79b7043044,h-it0039940438,italy
corporation,585c648d71a246489b9bf80fa1c6cf55,h-it0002323834,italy
corporation,3e4f3f7c43514064ada65981169066a6,h-it0009754954,italy
corporation,7226dc97f98d4ac295479d26cd6f02ff,h-it0001474030,italy
corporation,c2cc682cce3f41c18c9afa3a46dd47c9,h-it0009852255,italy
corporation,b7e73eb8aec54987877c5bcc59c26c4a,h-it0024524522,italy
corporation,60230f7ea07545c2a577dfc6c970efdd,h-it0073057495,italy
corporation,a432b88cf3774fa1a45838cbd52ead94,h-it0024173657,italy
corporation,dba5b63157364f0485cb8635fbb24131,h-it0587875608,italy
corporation,6ce35f6ab11a4eeeb9197e1276a5d6eb,h-it0075590115,italy
corporation,cfaa7e030e544ef58a18821177d57aaa,h-it0007749643,italy
corporation,5c953eba33eb483eb27be325831548a9,h-it0013320254,italy
corporation,1ced98d31f494943a28ab1709387dd43,h-it0020126247,italy
corporation,087ec348dbad4951b93e3ea3b8cdbc58,h-it0075070049,italy
corporation,cc9b2813055c43b5b974a79eea632c0c,h-it0025357808,italy
corporation,a410e33db4804bacb565ed8451170450,h-it0030349982,italy
corporation,7975a53680424bdb8f9f43cc3f05d29c,h-it0036784486,italy
corporation,fad8788dc4eb43bab89dd9e2c50d4f8e,h-it0035389850,italy
corporation,c25538ed2d1445f3b5754e2a7582dfa5,h-it0071883754,italy
corporation,22d191dff58c4adaab0cca6a934f4b2b,h-it0034407464,italy
corporation,302c2b2aad4647cc9590a8c38c42c005,h-it0009920250,italy
corporation,bb2cc936e1984de8873b81349419cc47,h-it0888727319,italy
corporation,09b93eda74f14dc98cd4a27c3f5ce32e,h-it1038511118,italy
corporation,48ef8062c1b14cb4a20233da61cd1bda,h-it0062801449,italy
corporation,39ff47ac4fe64642bf151cd77be98bb2,h-it0021467846,italy
corporation,e3331814d9e44cb1960b9c9a95fe8f80,h-it0066706513,italy
corporation,bbf207f7b0444a418401c27d06d28ac2,h-it0072914947,italy
corporation,de47f7e4f2884237a79e7585dd4c82a6,h-it0025923595,italy
corporation,0dc7be4420ed4404923561769f3ebb72,h-it0003010643,italy
corporation,6a8ec71f51354659955b58ac7ddd3426,h-it0050435167,italy
corporation,299845faf5de4424b9d8031e1d4f2e64,h-it0075759675,italy
corporation,7a0b42a826444bc0b99e385534111058,h-it0020978235,italy
corporation,3ae889975e83405ab9d01418d3d627b8,h-it0010655727,italy
corporation,2c575a4a7f844fbaa27beb8244967f6f,h-it0075537567,italy
corporation,a0e0a8654d384e00bcaed1d3c80926c9,h-it0048640867,italy
corporation,a248b4c827b44862ad70a713fc926c72,h-it0039603474,italy
corporation,9f232090cbb349b8bd89f526423927b9,h-it0075579588,italy
corporation,25efe189979042db9c559b1cfadc16b6,h-it0029655471,italy
corporation,71ef35994d0c4c6f9bf7bec62cf3ce05,h-it0008049726,italy
corporation,aaf1467f367b42e481ec3b3a6d0a0e32,h-it0074072633,italy
corporation,1dc3d7b146904dd191f85bb94a824379,h-it0012575569,italy
corporation,6b327d2f3f9143a2b352d72f63ddd1d6,h-it0069832633,italy
corporation,c74be9b7bffc4f1c800d5791b6b0a4cd,h-it0013955748,italy
corporation,87bb23a153ef400f8b3eb58bf954ab88,h-it0016323181,italy
corporation,1411a54db3a447169067b6f087a9cd02,h-it0008057494,italy
corporation,c825771230314ca88929c44c5bbbc108,h-it0051305976,italy
corporation,9dad9837ff9d478f835d3ede2678e3a9,h-it0058547967,italy
corporation,0852e24b6d0840b48fc32d668ec1b056,h-it0024431869,italy
corporation,47fde6d5508b494fb4dc0fac76545ac6,h-it0047159456,italy
corporation,35538b85687e411ebcf6eeb577cd92f5,h-it0072039167,italy
corporation,7f3522a4c34b4d0da06c4862f1a4acba,h-it0065323149,italy
corporation,f4ef06d61e2f42feb662dfa2fac4e11a,h-it0069572062,italy
corporation,22e12780cf334c5ca9276af04ddb2efb,h-it0042059909,italy
corporation,b427a9aa721645f889113ce5c8fd45ee,h-it0012031763,italy
corporation,12519db6fb094f78becc874b37acf4b7,h-it0004677358,italy
corporation,a2e9a69fa2064d2597a777e8825f2398,h-it0058696008,italy
cooperative,6d9eeb1772ca48a38e550912fd4188b2,h-it0034820485,italy
corporation,db2126ffcbb844169edf0697beb324d7,h-it0042957966,italy
corporation,0291458735164f0a975aa28178f338c9,h-it0009265147,italy
corporation,c4794cbef0284490bddaef5fa0d15b1b,h-it0072874368,italy
corporation,d5ae56b5b3344e25b8c58fade942729d,h-it0074441337,italy
corporation,93153b51773a4b1fadf0006c1ffce87e,h-it0008738297,italy
corporation,f27becc8d16a4d5abf373bc80c0287d3,h-it0064668533,italy
corporation,4b16363c098346d6bf6acffa39d93cc9,h-it0009644059,italy
corporation,cc9ca10c873c4cc38203e6e1c011ac4d,h-it0055781381,italy
corporation,880bde71cc754f5f9e839c1693280d97,h-it0058324453,italy
corporation,023fd7c156e14cf7a773d400dd05aa49,h-it0002837900,italy
corporation,adeb0c9c7ce543789c60faa1fe28fa3d,h-it0069732612,italy
corporation,796837083ce543cd8bec0c2c35cbba75,h-it0003003698,italy
corporation,7100e2c8bfc743f1a8b8ec0959c72ca8,h-it0071511059,italy
corporation,fffe1deb724c493184249cfd65e6cc0c,h-it0003441288,italy
corporation,19364e2e99e94db8b409f8d2603b1d18,h-it0050478427,italy
corporation,fdb61852851d48f79e8d8e926550b808,h-it0002860651,italy
foreign company,707ebcfd4f484466a12c6b166fa1cbae,h-it0039145182,italy
corporation,03a31fb6cb734da180294b7ed1a38fcf,h-it0009745254,italy
corporation,b2deb77033c644c097e8830d428ba9e1,h-it0069012415,italy
corporation,d216e7a595af461789fa6b5740e710d6,h-it0009534156,italy
corporation,ba3012fbd66d460c8d2ffeda29db06e0,h-it0009378731,italy
corporation,368da02046c24dc78f2abab2db64d9d6,h-it0061854905,italy
corporation,78d824855a2b45e8a0fe00fb6caa17cd,h-it0006665942,italy
corporation,a437fd8f39fc452da80d7dc67ae23df2,h-it0018199887,italy
corporation,532dd147fcca43b897ca0a5caf7a7540,h-it0022450319,italy
corporation,461a5020ec2544be9fec5de17159f52b,h-it0007817320,italy
corporation,6a3f28fe9dc24fc2acd707877c8d711e,h-it0001757369,italy
corporation,c0c53dcc0f7c40f3aaab62b511d730b1,h-it0013250906,italy
corporation,c16a9af0a3864c439f9119c1c5369061,h-it0075114402,italy
