02-GioPonSpiz-price,03-gren-price,05-MalPatSaj-price,00-avengers-share_price,01-DDD-share_price,06-MarScoToc-share_price,09-wissel-share_price,04-iGMM-shareprice
doll_28.88,6.0,doll_68.15,doll_5.30,doll_2.25,doll_21.52,doll_2.50,
doll_128.65,27.0,doll_12.68,doll_2.24,doll_0.43,doll_9.09,doll_50.34,
doll_451.82,27.0,doll_45.54,doll_7.67,doll_12.50,doll_17.26,doll_12.04,
doll_12.07,62.0,doll_13.26,doll_5.44,doll_1.27,doll_11.61,doll_6.85,doll_5.25
doll_77.50,14.0,doll_38.23,doll_13.70,doll_0.68,doll_47.11,doll_7.03,
doll_177.16,18.0,doll_56.25,doll_19.24,doll_88.05,doll_1.55,doll_9.01,
doll_31.18,16.0,doll_11.38,doll_7.35,doll_31.20,doll_11.63,doll_8.61,
doll_154.29,168.0,doll_17.50,doll_11.90,doll_61.68,doll_28.76,doll_18.04,
doll_2.82,1.0,doll_15.66,doll_7.79,doll_2.16,doll_20.41,doll_3.88,
doll_9.41,1.0,doll_49.97,doll_16.19,doll_2.90,doll_117.69,doll_0.67,
doll_110.18,23.0,doll_75.61,doll_116.81,doll_9.96,doll_176.67,doll_31.25,
doll_11.61,11.0,doll_45.50,doll_39.70,doll_73.09,doll_13.13,doll_53.41,doll_0.50
doll_224.40,93.0,doll_121.52,doll_38.04,doll_76.11,doll_69.03,doll_23.50,
doll_69.20,2.0,doll_16.43,doll_5.80,doll_115.80,doll_62.07,doll_5.20,
doll_37.29,38.0,doll_0.73,doll_3.41,doll_11.00,doll_15.09,doll_3.56,
doll_2.50,62.0,doll_51.81,doll_1.52,doll_30.86,doll_191.30,doll_2.57,
doll_224.77,2.0,doll_11.09,doll_52.26,doll_24.10,doll_88.41,doll_25.98,
doll_0.70,61.0,doll_35.64,doll_9.25,doll_107.76,doll_17.74,doll_12.23,
doll_62.07,21.0,doll_76.16,doll_65.96,doll_24.39,doll_5.79,doll_22.03,doll_0.38
doll_23.07,3.0,doll_0.67,doll_49.84,doll_494.93,doll_9.33,doll_4.15,
doll_29.31,56.0,doll_53.03,doll_12.11,doll_6.96,doll_9.40,doll_1.23,doll_0.35
doll_2.73,106.0,doll_220.55,doll_16.29,doll_61.10,doll_11.40,doll_0.66,doll_0.23
doll_48.01,3.0,doll_20.25,doll_15.37,doll_256.51,doll_2.80,doll_19.52,
doll_65.03,39.0,doll_146.00,doll_41.95,doll_10.86,doll_31.63,doll_2.44,doll_0.38
doll_31.47,9.0,doll_29.43,doll_25.03,doll_2.61,doll_4.57,doll_42.49,
doll_19.21,77.0,doll_191.63,doll_0.45,doll_35.17,doll_43.32,doll_5.87,doll_1.22
doll_28.26,13.0,doll_167.13,doll_24.76,doll_32.30,doll_2.63,doll_9.99,
doll_15.30,26.0,doll_181.39,doll_14.33,doll_10.44,doll_126.07,doll_45.14,doll_0.97
doll_50.52,16.0,doll_61.90,doll_1.63,doll_83.09,doll_34.25,doll_2.15,doll_0.63
doll_4.57,79.0,doll_5.51,doll_15.69,doll_114.40,doll_22.80,doll_19.85,
doll_21.00,41.0,doll_41.51,doll_18.50,doll_7.41,doll_0.70,doll_8.07,
doll_22.70,11.0,doll_235.63,doll_4.73,doll_36.75,doll_39.41,doll_11.54,
doll_3.38,12.0,doll_1.35,doll_28.43,doll_0.31,doll_30.60,doll_17.12,doll_1.90
doll_1.52,29.0,doll_58.52,doll_6.53,doll_9.56,doll_84.10,doll_46.02,
doll_34.25,29.0,doll_3.21,doll_21.70,doll_5.03,doll_18.14,doll_30.19,doll_2.93
doll_64.23,1.0,doll_29.23,doll_9.27,doll_15.95,doll_36.64,doll_0.54,doll_0.39
doll_26.06,131.0,doll_39.57,doll_34.34,doll_7.40,doll_123.70,doll_2.81,doll_0.58
doll_156.75,1.0,doll_4.12,doll_36.58,doll_50.14,doll_2.69,doll_1.24,doll_4.84
doll_41.37,44.0,doll_2.19,doll_3.26,doll_27.95,doll_65.57,doll_0.65,
doll_83.91,56.0,doll_21.59,doll_8.40,doll_6.49,doll_150.82,doll_43.90,doll_0.01000
doll_43.07,4.0,doll_45.17,doll_14.15,doll_96.22,doll_95.66,doll_13.32,
doll_31.00,257.0,doll_145.91,doll_1.53,doll_83.84,doll_13.72,doll_0.07400,
doll_19.83,47.0,doll_61.21,doll_4.32,doll_54.32,doll_71.29,doll_9.36,doll_0.02000
doll_11.35,56.0,doll_77.43,doll_4.39,doll_61.57,doll_2.55,doll_43.50,
doll_32.06,1.0,doll_0.27,doll_9.12,doll_145.00,doll_63.17,doll_186.50,
doll_137.78,12.0,doll_2.47,doll_9.02,doll_1.56,doll_46.53,doll_1.24,
doll_2.55,4.0,doll_51.55,doll_36.91,doll_48.48,doll_9.52,doll_1.48,
doll_151.00,51.0,doll_233.06,doll_22.93,doll_63.51,doll_0.69,doll_12.17,
doll_270.86,219.0,doll_24.45,doll_12.30,doll_1.84,doll_49.16,doll_2.74,doll_3.37
doll_2.61,69.0,doll_0.25,doll_10.42,doll_0.18,doll_151.91,doll_5.57,
doll_38.84,142.0,doll_56.06,doll_14.35,"doll_4,420",doll_45.60,doll_3.55,
doll_20.62,116.0,doll_10.55,doll_12.89,doll_3.57,doll_136.41,doll_10.06,
doll_9.51,410.0,doll_153.71,doll_4.71,doll_144.84,doll_14.46,doll_22.65,
doll_27.06,3.0,doll_1.18,doll_3.45,doll_54.14,doll_127.79,doll_4.77,
doll_94.05,53.0,doll_67.32,doll_3.36,doll_9.99,doll_21.13,doll_32.18,
doll_0.63,16.0,doll_85.23,doll_11.10,doll_1.71,doll_5.43,doll_4.27,
doll_2.50,62.0,doll_43.65,doll_8.36,doll_30.94,doll_12.60,doll_39.61,
doll_2.57,51.0,doll_1.42,doll_0.17,doll_77.73,doll_51.87,doll_1.50,
doll_0.69,2.0,doll_116.25,doll_11.72,doll_31.52,doll_23.73,doll_2.06,
doll_26.46,17.0,,doll_2.48,doll_35.94,doll_3.13,doll_18.60,
doll_39.94,63.0,doll_25.51,doll_6.40,doll_153.46,doll_8.78,doll_15.06,
doll_0.72,25.0,doll_15.44,doll_13.11,doll_60.93,doll_40.30,doll_14.30,
doll_45.03,31.0,doll_10.71,doll_22.84,doll_2.05,doll_1.22,doll_4.16,
doll_71.59,1.0,doll_78.60,doll_17.36,doll_12.70,doll_121.05,doll_11.36,
doll_3.10,35.0,doll_123.60,doll_7.26,doll_13.65,doll_31.34,doll_13.71,
doll_30.25,52.0,doll_518.35,doll_57.14,doll_172.37,doll_191.93,doll_27.00,
doll_26.81,171.0,doll_35.72,doll_2.11,doll_101.46,doll_9.52,doll_0.90,doll_0.20
doll_69.03,22.0,doll_8.63,doll_19.60,doll_2.46,doll_0.97,doll_5.04,
doll_6.13,64.0,doll_0.72,doll_17.71,doll_3.39,doll_36.97,doll_0.42,
doll_61.90,15.0,doll_2.27,doll_1.83,doll_36.74,doll_61.90,doll_8.54,doll_0.29
doll_190.90,83.0,doll_0.66,doll_1.57,doll_28.44,doll_35.73,doll_5.81,doll_0.34
doll_51.02,3.0,doll_14.10,doll_45.30,doll_32.00,doll_29.95,doll_1.06,doll_0.09000
doll_17.72,60.0,doll_33.32,doll_2.39,doll_56.46,doll_146.58,doll_8.71,
doll_54.48,0.0,doll_129.62,doll_6.47,doll_0.60,doll_3.99,doll_82.95,doll_0.07000
doll_9.53,2.0,doll_103.71,doll_11.66,doll_53.41,doll_232.84,doll_4.50,
doll_77.65,208.0,doll_12.70,doll_13.70,doll_141.35,doll_26.01,doll_7.66,
doll_148.56,1.0,doll_182.50,doll_6.10,doll_52.12,doll_14.23,doll_0.06590,doll_0.26
doll_20.65,34.0,doll_145.00,doll_0.10,doll_15.51,doll_0.93,doll_1.18,doll_0.89
doll_14.48,142.0,doll_1.47,doll_11.27,doll_85.07,doll_0.59,doll_200.75,
doll_36.55,55.0,doll_52.61,doll_21.31,doll_5.42,doll_9.20,doll_0.84,
doll_36.42,7.0,doll_25.48,doll_3.84,doll_0.70,doll_14.43,doll_5.20,doll_0.22
doll_28.52,9.0,doll_61.29,doll_4.44,doll_7.68,doll_77.18,doll_32.12,
doll_51.78,32.0,doll_0.57,doll_27.97,doll_69.44,doll_0.61,doll_4.64,
doll_5.33,15.0,doll_5.16,doll_42.66,doll_9.30,doll_1.64,doll_15.50,
doll_1.19,27.0,doll_4.18,doll_6.41,doll_0.95,doll_25.60,doll_7.52,
doll_118.81,501.0,doll_9.09,doll_7.09,doll_9.41,doll_30.03,doll_57.15,doll_0.42
doll_86.00,114.0,doll_1.56,doll_6.09,doll_1.62,doll_2.44,doll_2.20,doll_1.13
doll_385.13,5.0,doll_1.11,doll_9.10,doll_124.40,doll_4.72,doll_24.87,doll_0.17
doll_3.94,14.0,doll_58.78,doll_0.03000,doll_14.38,doll_2.10,doll_6.54,
doll_9.32,315.0,doll_34.13,doll_22.60,doll_179.02,doll_53.87,doll_14.98,
doll_9.26,20.0,doll_13.53,doll_29.20,doll_682.02,doll_4.90,doll_4.94,doll_0.69
doll_43.91,48.0,doll_140.27,doll_15.60,doll_14.68,doll_36.01,doll_22.94,
doll_125.82,32.0,doll_7.55,doll_6.66,doll_35.15,doll_5.46,doll_0.23,
doll_4.71,41.0,doll_28.64,doll_1.89,doll_383.11,doll_0.01000,doll_41.30,doll_0.13
doll_22.91,29.0,doll_3.82,doll_18.20,doll_5.32,doll_56.39,doll_6.01,
doll_141.45,97.0,doll_35.61,doll_13.32,doll_0.01000,doll_2.47,doll_12.83,
doll_56.56,4358.0,doll_53.64,doll_1.09,doll_0.59,doll_177.08,doll_11.88,
doll_61.64,3.0,doll_41.91,doll_15.00,doll_4.89,doll_0.32,doll_2.01,doll_0.18
doll_1.62,119.0,doll_45.84,doll_1.82,doll_68.06,doll_0.70,doll_1.15,doll_0.76
doll_12.14,12.0,doll_5.30,doll_4.62,doll_14.92,doll_7.64,doll_1.17,doll_0.11
doll_11.08,1.0,doll_50.77,doll_13.66,doll_3.97,doll_51.48,doll_14.49,
doll_0.92,5.0,doll_246.69,doll_9.84,doll_54.48,doll_84.62,doll_13.91,
doll_176.54,28.0,doll_9.16,doll_0.22,doll_51.86,doll_64.74,doll_23.44,
doll_0.57,10.0,doll_27.85,doll_3.76,doll_3.08,doll_8.65,doll_45.43,
doll_4.84,10.0,doll_168.17,doll_0.01000,doll_4.77,doll_44.18,doll_31.08,
doll_14.49,4.0,doll_32.47,doll_31.20,doll_77.80,doll_14.57,doll_0.49,
doll_51.39,0.0,doll_49.70,doll_6.21,doll_1.20,doll_25.91,doll_4.71,
doll_12.83,48.0,doll_4.30,doll_0.76,doll_39.52,doll_38.36,doll_8.99,
doll_98.04,60.0,doll_54.24,doll_10.28,doll_61.90,doll_100.31,doll_15.87,
doll_674.42,30.0,doll_74.40,doll_10.14,doll_151.99,doll_28.35,doll_4.86,
doll_7.25,2.0,doll_0.58,doll_15.00,doll_121.02,doll_170.42,doll_5.02,
doll_54.52,133.0,doll_16.27,doll_61.29,doll_26.70,doll_122.65,doll_0.18,doll_0.23
doll_7.65,116.0,doll_38.40,doll_10.71,doll_44.95,doll_36.11,doll_2.32,doll_1.30
doll_34.53,27.0,doll_89.51,doll_14.66,doll_7.50,doll_68.69,doll_5.86,
doll_122.40,7.0,doll_7.30,doll_13.20,doll_21.05,doll_12.67,doll_2.01,doll_0.20
doll_13.81,12.0,doll_15.56,doll_17.18,doll_0.94,doll_1.71,doll_18.55,
doll_172.01,13.0,doll_26.46,doll_9.58,doll_125.83,doll_31.45,doll_6.30,
doll_28.26,81.0,doll_19.44,doll_13.37,doll_37.00,doll_3.03,doll_4.53,doll_2.03
doll_14.44,34.0,doll_2.00,doll_9.88,doll_17.86,doll_99.88,doll_23.66,doll_0.96
doll_2.05,167.0,doll_255.87,doll_31.20,doll_1.48,doll_52.74,doll_0.85,
doll_1.88,72.0,doll_139.76,doll_2.26,doll_9.61,doll_3.33,doll_33.15,doll_0.60
doll_57.22,137.0,doll_15.00,doll_85.65,doll_44.68,doll_14.80,doll_17.43,
doll_31.03,14.0,doll_1.09,doll_1.69,doll_37.16,doll_77.18,doll_0.34,
doll_52.86,16.0,doll_31.35,doll_2.08,doll_130.44,doll_0.18,doll_7.10,
doll_63.94,41.0,doll_13.92,doll_49.90,doll_2.61,doll_122.40,doll_1.24,doll_0.30
doll_31.26,114.0,doll_116.65,doll_0.51,doll_9.50,doll_53.92,doll_6.75,
doll_51.09,2.0,doll_14.28,doll_12.33,doll_149.99,doll_7.40,doll_18.21,doll_0.26
doll_16.05,5.0,doll_41.49,doll_21.28,doll_40.71,doll_1.56,doll_1.68,
doll_31.51,127.0,doll_30.42,doll_7.54,doll_9.56,doll_60.01,doll_0.95,
doll_15.38,7.0,doll_111.56,doll_8.89,doll_52.02,doll_44.19,doll_8.06,
doll_9.99,3.0,doll_167.79,doll_6.92,doll_0.69,doll_3.55,doll_6.99,doll_0.47
doll_118.65,159.0,doll_24.37,doll_6.51,doll_43.23,doll_81.34,doll_13.29,
doll_3.56,95.0,doll_24.00,doll_3.92,doll_46.86,doll_36.91,doll_2.14,
doll_100.63,33.0,doll_52.88,doll_9.38,doll_24.31,doll_368.97,doll_0.69,
doll_0.91,92.0,doll_14.68,doll_2.50,doll_2.55,doll_27.79,doll_9.75,
doll_61.71,24.0,doll_4.59,doll_5.52,doll_30.96,doll_141.93,doll_26.38,
doll_145.14,80.0,doll_110.47,doll_16.50,doll_2.67,doll_95.21,doll_1.60,
doll_1.68,10.0,doll_1.52,doll_35.31,doll_19.96,doll_78.29,doll_32.45,
doll_61.55,1.0,doll_59.86,doll_1.33,doll_83.98,doll_35.47,doll_10.78,
doll_1.55,1.0,doll_28.62,doll_3.12,doll_124.48,doll_15.04,doll_1.58,doll_0.33
doll_83.69,26.0,doll_1.63,doll_9.53,doll_139.21,doll_135.97,doll_2.22,
doll_35.35,247.0,doll_90.87,doll_17.15,doll_31.26,doll_50.29,doll_0.90,doll_0.92
doll_0.40,2.0,doll_10.38,doll_0.58,doll_13.66,doll_31.11,doll_17.24,doll_0.01000
doll_13.44,3.0,doll_636.44,doll_1.92,doll_94.86,doll_9.86,doll_2.62,
doll_36.96,3.0,doll_17.62,doll_35.03,doll_32.32,doll_6.96,doll_8.28,
doll_12.39,9.0,doll_13.09,doll_3.00,doll_63.97,doll_17.64,doll_2.97,doll_1.47
doll_48.18,2.0,doll_9.57,doll_6.14,doll_27.26,doll_52.99,doll_0.51,doll_1.04
doll_118.37,0.0,doll_3.17,doll_10.50,doll_442.12,doll_120.03,doll_31.72,
doll_113.97,7.0,doll_26.82,doll_1.94,doll_65.29,doll_4.99,doll_0.63,
doll_74.40,27.0,doll_4.50,doll_6.40,doll_12.93,doll_2.62,doll_0.14,doll_1.15
doll_24.40,61.0,doll_29.10,doll_1.21,doll_21.12,doll_32.21,doll_23.42,doll_1.40
doll_14.94,9.0,doll_7.38,doll_3.47,doll_237.20,doll_25.06,doll_20.91,
doll_256.93,34.0,doll_304.70,doll_0.80,doll_275.60,doll_47.92,doll_0.53,
doll_75.64,20.0,doll_4.85,doll_23.20,doll_30.12,doll_2.18,doll_18.52,
doll_7.26,85.0,doll_6.69,doll_7.13,doll_2.79,doll_497.86,doll_2.08,
doll_5.21,0.0,doll_2.04,doll_2.36,doll_36.92,doll_37.70,doll_4.41,
doll_497.45,4.0,doll_334.44,doll_2.76,doll_34.25,doll_24.89,doll_34.90,
doll_2.94,136.0,doll_104.44,doll_24.00,doll_27.43,doll_113.29,doll_49.16,doll_1.10
"doll_4,343",148.0,doll_57.51,doll_6.01,doll_18.36,doll_74.05,doll_4.66,doll_0.54
doll_7.41,71.0,doll_3.92,doll_2.87,doll_14.86,doll_35.38,doll_2.59,
doll_139.88,23.0,doll_47.54,doll_49.06,doll_16.85,doll_89.13,doll_0.83,doll_0.94
doll_2.17,14.0,doll_2.51,doll_23.13,doll_6.97,doll_9.59,doll_29.48,
doll_10.38,601.0,doll_51.82,doll_2.61,doll_200.00,doll_13.90,doll_19.07,
doll_88.73,29.0,doll_2.82,doll_1.06,doll_149.56,doll_7.40,doll_22.83,
doll_0.68,11.0,doll_29.44,doll_71.85,doll_2.50,doll_6.40,,
doll_0.18,73.0,doll_11.86,doll_0.13,doll_22.86,doll_15.63,doll_2.60,
doll_6.87,87.0,doll_29.56,doll_0.46,doll_60.07,doll_53.31,doll_1.72,
doll_31.88,326.0,doll_1.10,doll_17.20,doll_16.87,,doll_29.24,
doll_0.57,27.0,doll_26.70,doll_14.13,doll_11.72,doll_141.99,doll_2.98,
doll_162.42,50.0,doll_2.17,doll_0.29,doll_111.19,doll_10.87,doll_18.72,
doll_52.25,6.0,doll_69.47,doll_4.30,doll_1.25,doll_107.45,doll_13.65,
doll_82.02,45.0,doll_2.38,doll_2.74,doll_68.53,doll_9.99,doll_2.53,
doll_31.26,184.0,doll_108.24,doll_3.92,doll_62.17,doll_30.81,doll_2.65,doll_0.90
doll_2.59,51.0,doll_0.42,doll_2.04,doll_56.44,doll_12.71,doll_20.19,
doll_10.70,103.0,doll_28.68,doll_10.25,doll_86.80,doll_31.20,doll_44.62,doll_0.84
doll_0.30,45.0,doll_50.50,doll_1.30,doll_14.38,doll_253.18,doll_2.02,doll_1.54
doll_4.98,23.0,doll_147.56,doll_4.24,doll_32.14,doll_161.56,doll_10.31,
doll_30.05,12.0,doll_204.57,doll_7.88,doll_251.52,doll_52.39,doll_0.69,
doll_201.91,166.0,doll_0.06000,doll_11.17,doll_137.24,doll_24.31,doll_28.94,
doll_27.06,8.0,doll_73.17,doll_8.72,doll_25.39,doll_61.67,doll_15.17,
doll_88.15,45.0,doll_9.34,doll_3.14,doll_1.12,doll_23.94,doll_19.90,doll_0.32
doll_9.46,29.0,doll_36.98,doll_3.34,doll_4.26,doll_114.60,doll_1.89,
doll_152.69,100.0,doll_26.89,doll_0.05000,doll_16.58,doll_910.09,doll_1.13,doll_1.36
doll_0.01000,2.0,doll_13.49,doll_2.82,doll_59.51,doll_1.27,doll_0.59,
doll_37.99,42.0,doll_36.33,doll_5.92,doll_11.95,doll_0.43,doll_0.36,doll_1.88
doll_6.29,1.0,doll_78.00,doll_1.71,doll_1.88,doll_59.64,doll_26.30,
doll_42.64,1.0,doll_80.41,doll_7.93,doll_8.97,doll_20.06,doll_1.39,
doll_30.48,83.0,doll_32.73,doll_6.65,doll_48.12,doll_80.32,doll_4.91,
doll_68.80,111.0,doll_89.15,doll_5.42,doll_5.77,doll_59.40,doll_2.36,doll_0.99
doll_0.43,28.0,doll_8.26,doll_1.05,doll_1.26,doll_0.67,doll_2.84,doll_0.23
doll_46.56,199.0,doll_870.58,doll_6.96,doll_14.80,doll_2.36,doll_1.56,
doll_75.55,89.0,doll_26.45,doll_1.21,doll_69.15,doll_46.62,doll_13.28,doll_0.34
doll_3.98,336.0,doll_8.16,doll_2.93,doll_163.39,doll_1.75,doll_2.58,
doll_338.09,78.0,doll_8.39,doll_7.22,doll_159.06,doll_66.26,doll_5.50,
doll_34.32,28.0,doll_121.47,doll_6.68,doll_59.70,doll_51.33,doll_8.69,
doll_113.66,3.0,doll_23.50,doll_3.10,doll_57.64,doll_164.97,doll_34.99,
doll_1.26,129.0,doll_4.19,doll_1.71,doll_55.70,doll_35.90,doll_3.16,
doll_14.04,74.0,doll_6.25,doll_3.75,doll_4.21,doll_2.20,doll_2.43,
doll_17.92,1.0,doll_152.61,doll_3.15,doll_16.13,doll_0.38,doll_8.75,doll_1.24
doll_19.91,28.0,doll_32.05,doll_0.53,doll_5.84,doll_10.12,doll_258.17,
doll_20.26,108.0,doll_49.10,doll_6.02,doll_0.78,doll_89.51,doll_2.85,
doll_2.20,110.0,doll_49.10,doll_7.95,doll_23.92,doll_0.58,doll_1.05,
doll_105.05,15.0,doll_22.95,doll_3.40,doll_45.88,doll_2.05,doll_10.85,
doll_9.87,24.0,doll_41.69,doll_2.78,doll_67.57,doll_8.69,doll_5.49,
doll_144.12,62.0,doll_24.95,doll_3.20,doll_84.87,doll_9.89,doll_42.20,
doll_310.38,1.0,doll_15.84,doll_1.83,doll_2.10,doll_10.31,doll_5.92,
doll_24.08,29.0,doll_22.31,doll_10.08,doll_0.75,doll_29.61,doll_4.62,
doll_21.43,33.0,doll_23.04,doll_2.09,doll_37.12,doll_209.11,doll_1.21,
doll_9.90,292.0,doll_181.54,doll_5.48,doll_22.49,doll_229.14,doll_160.97,
doll_115.18,24.0,doll_39.85,doll_1.33,doll_11.44,doll_40.33,doll_10.30,doll_1.24
doll_29.67,9.0,doll_0.16,doll_2.16,doll_1.68,doll_3.93,doll_6.40,
doll_0.25,27.0,doll_15.98,doll_4.56,doll_21.24,doll_86.09,doll_17.86,
doll_11.04,160.0,doll_39.04,doll_6.77,doll_24.78,doll_29.03,doll_13.83,
doll_35.64,1.0,doll_4.71,doll_4.20,doll_0.34,doll_81.84,doll_12.57,doll_0.13
doll_25.22,19.0,doll_57.68,doll_2.59,doll_188.32,doll_53.43,doll_38.51,
doll_79.03,7.0,doll_35.29,doll_3.76,doll_35.22,doll_79.22,doll_3.20,
doll_51.58,9.0,doll_50.36,doll_1.41,doll_317.95,doll_1.03,doll_3.40,
doll_228.56,199.0,doll_23.78,doll_1.56,doll_143.83,doll_1.35,doll_8.65,
doll_50.63,22.0,doll_92.34,doll_21.00,doll_5.46,doll_16.28,doll_25.00,
doll_88.71,191.0,doll_2.65,doll_58.85,doll_27.29,doll_54.25,doll_1.69,doll_0.31
doll_16.30,49.0,doll_156.02,doll_1.90,doll_2.48,doll_114.90,doll_6.64,
doll_1.03,1.0,doll_15.53,doll_102.67,doll_113.06,doll_24.75,doll_32.16,doll_1.27
doll_60.00,5.0,doll_28.59,doll_1.33,doll_1.27,doll_1.21,doll_0.54,doll_0.42
doll_216.58,8.0,doll_30.24,doll_6.19,doll_8.39,doll_27.28,doll_13.03,
doll_50.82,33.0,doll_88.51,doll_3.40,doll_18.95,doll_29.01,doll_14.88,doll_0.60
doll_34.88,16.0,doll_45.29,doll_1.16,doll_77.48,doll_28.76,doll_8.27,doll_9.87
doll_12.29,834.0,doll_18.78,doll_0.54,doll_13.98,doll_25.90,doll_0.57,doll_0.61
doll_2.98,64.0,doll_23.74,doll_5.25,doll_1.21,doll_19.84,doll_21.05,doll_1.45
doll_23.53,43.0,doll_31.74,doll_2.21,doll_9.41,doll_3.17,doll_11.27,
doll_3.19,130.0,doll_89.17,doll_1.62,doll_109.70,doll_36.78,doll_1.08,
doll_1.09,74.0,doll_6.62,doll_4.32,doll_36.97,doll_2.97,doll_17.51,
doll_2.02,20.0,doll_90.12,doll_1.56,doll_2.19,doll_6.64,doll_295.97,doll_0.12
doll_24.66,0.0,doll_46.13,doll_9.97,doll_38.47,doll_123.02,doll_6.84,doll_0.48
doll_3.09,29.0,doll_11.71,doll_3.85,doll_46.50,doll_3.16,doll_1.60,
doll_64.60,33.0,doll_81.44,doll_2.92,doll_42.86,doll_51.85,doll_0.0001000,
doll_168.26,1.0,doll_331.63,doll_2.09,doll_147.83,doll_185.91,doll_4.43,
doll_51.21,27.0,doll_74.71,doll_18.19,doll_113.56,doll_20.98,doll_2.66,doll_0.29
doll_35.75,3.0,doll_33.68,doll_21.62,doll_157.10,doll_11.49,doll_36.56,
doll_160.97,39.0,doll_8.40,doll_4.79,doll_14.98,doll_0.24,doll_4.00,
doll_9.56,9.0,doll_109.28,doll_8.07,doll_20.43,doll_42.37,doll_1.30,doll_0.92
doll_113.86,0.0,doll_39.95,doll_30.75,doll_4.78,doll_12.32,doll_47.56,doll_0.04000
doll_4.82,59.0,doll_12.04,doll_17.50,doll_8.79,doll_46.55,doll_4.55,
doll_29.03,17.0,doll_48.22,doll_3.02,doll_112.68,doll_14.20,doll_4.15,
doll_8.51,210.0,doll_1.12,doll_1.36,doll_25.65,doll_51.46,doll_121.25,
doll_42.37,49.0,doll_99.65,doll_1.11,doll_72.16,doll_326.09,doll_17.95,doll_0.37
doll_91.08,28.0,doll_16.49,doll_3.36,doll_19.03,doll_22.56,doll_7.81,doll_0.41
doll_1.02,9.0,doll_100.04,doll_1.74,doll_15.87,doll_46.27,doll_299.98,
doll_80.34,9.0,doll_1.13,doll_3.16,doll_18.06,doll_145.32,doll_19.90,
doll_28.41,150.0,doll_0.78,doll_8.78,doll_22.20,doll_136.06,doll_2.93,
doll_137.03,39.0,doll_15.35,doll_2.29,doll_247.70,doll_17.87,doll_28.10,
doll_39.38,17.0,doll_16.42,doll_1.90,doll_7.98,doll_1.07,doll_7.18,
doll_184.09,170.0,doll_11.98,doll_5.11,doll_16.53,doll_299.17,doll_1.16,
doll_293.56,11.0,doll_9.23,doll_5.60,doll_47.02,doll_10.67,doll_5.68,
doll_11.39,99.0,doll_0.64,doll_2.40,doll_239.74,doll_9.15,doll_3.16,
doll_1.32,97.0,doll_0.28,doll_4.52,doll_91.37,doll_108.49,doll_2.20,doll_0.04000
doll_45.29,30.0,doll_33.81,doll_0.05000,doll_26.20,doll_44.85,doll_1.00,doll_2.97
doll_1.18,28.0,doll_2.17,doll_3.76,doll_81.93,doll_164.16,doll_0.28,
doll_864.48,55.0,doll_125.64,doll_4.74,doll_15.91,doll_4.72,doll_15.47,
doll_28.95,52.0,doll_32.85,doll_2.23,doll_79.02,doll_21.92,doll_4.03,
doll_51.07,12.0,doll_190.72,doll_0.50,doll_10.73,doll_8.07,doll_2.25,doll_2.42
doll_26.73,14.0,doll_73.41,doll_1.98,doll_56.50,doll_1.00,doll_1.29,doll_0.31
doll_59.73,41.0,doll_2.36,doll_24.71,doll_69.18,doll_89.03,doll_0.99,
doll_200.75,21.0,doll_20.82,doll_0.86,doll_32.86,doll_2.43,doll_12.95,doll_0.20
doll_22.43,9.0,doll_27.34,doll_2.84,doll_15.14,doll_27.78,doll_5.56,
doll_102.35,7.0,doll_16.77,doll_1.05,doll_29.97,doll_9.08,doll_0.29,
doll_93.29,4.0,doll_19.54,doll_26.00,doll_16.29,doll_128.91,doll_4.29,
doll_10.20,45.0,doll_195.33,doll_2.65,doll_346.64,doll_66.14,doll_7.05,doll_0.56
doll_25.32,66.0,doll_0.48,doll_7.70,doll_87.82,doll_28.20,doll_3.00,doll_2.32
doll_9.30,44.0,doll_31.36,doll_18.71,doll_18.73,doll_233.99,doll_3.94,
doll_27.98,32.0,doll_75.99,doll_1.52,doll_10.26,doll_15.68,doll_7.53,
doll_75.02,20.0,doll_42.30,doll_0.66,doll_70.58,doll_22.56,doll_16.49,
doll_45.62,60.0,doll_42.39,doll_0.59,doll_94.18,doll_0.65,doll_4.93,
doll_29.81,8.0,doll_5.70,doll_0.58,doll_0.78,doll_89.18,doll_0.53,doll_0.12
doll_15.58,101.0,doll_42.94,doll_185.81,doll_36.69,doll_285.99,doll_45.09,
doll_2.43,3.0,doll_99.99,doll_0.63,doll_64.21,doll_33.80,doll_27.37,
doll_22.45,31.0,doll_210.60,doll_0.62,doll_33.97,doll_21.24,doll_0.73,doll_0.17
doll_50.34,3.0,doll_15.74,doll_3.30,doll_2.93,doll_124.81,doll_11.29,doll_0.49
doll_128.75,75.0,doll_2.43,doll_1.16,doll_330.92,doll_28.77,doll_6.87,
doll_8.53,23.0,doll_4.39,doll_2.77,doll_18.70,doll_1.13,doll_7.55,
doll_34.32,40.0,doll_59.77,doll_0.51,doll_230.74,doll_70.21,doll_2.00,
doll_33.95,15.0,,doll_0.85,doll_37.86,doll_8.45,doll_29.46,
doll_39.67,36.0,doll_8.45,doll_0.97,doll_0.88,doll_8.16,doll_3.00,
doll_28.10,9.0,doll_169.62,doll_4.46,doll_133.90,doll_49.06,doll_2.77,
doll_100.97,30.0,doll_41.78,doll_3.69,doll_239.92,doll_33.65,doll_0.73,
