02-GioPonSpiz-price,03-gren-price,05-MalPatSaj-price,00-avengers-share_price,01-DDD-share_price,06-MarScoToc-share_price,09-wissel-share_price,04-iGMM-shareprice
doll_81.54,85.0,doll_62.41,doll_51.50,doll_14.34,doll_81.82,doll_175.62,doll_130.48
doll_66.66,316.0,doll_37.45,doll_214.73,doll_17.61,doll_328.62,doll_34.39,
doll_179.01,73.0,doll_90.50,doll_148.67,doll_7.48,doll_96.24,doll_16.53,doll_109.00
doll_344.38,179.0,doll_35.35,doll_21.57,doll_24.37,doll_63.80,doll_102.08,doll_4.11
doll_64.63,333.0,doll_60.67,doll_112.03,doll_5.48,doll_101.82,doll_96.54,doll_93.17
doll_101.70,77.0,doll_0.80,doll_102.58,doll_18.44,doll_74.15,doll_39.78,
doll_182.15,62.0,doll_60.82,doll_445.61,doll_37.54,doll_173.00,doll_15.44,doll_87.22
doll_91.66,102.0,doll_99.95,doll_751.90,doll_37.63,doll_6.49,doll_9.32,
doll_82.98,61.0,doll_40.08,doll_19.02,doll_6.78,doll_7.16,doll_43.33,
doll_7.06,7.0,doll_271.13,doll_99.64,doll_12.72,doll_838.41,doll_126.16,doll_71.51
doll_72.51,88.0,doll_6.60,doll_55.83,doll_1.82,doll_178.13,doll_23.16,
doll_6.26,118.0,doll_214.72,doll_125.66,doll_16.72,doll_342.50,doll_12.30,doll_828.79
doll_121.47,275.0,doll_77.32,doll_320.41,doll_9.54,doll_121.80,doll_26.60,
doll_837.32,0.0,doll_0.41,doll_0.41,doll_2.57,doll_41.39,doll_31.65,
doll_41.03,23.0,doll_317.83,doll_144.56,doll_2.74,doll_151.25,doll_14.11,
doll_0.43,39.0,doll_22.74,doll_219.08,doll_36.52,doll_0.44,doll_49.76,
doll_149.51,6.0,doll_112.87,doll_101.01,doll_20.82,doll_36.84,doll_68.63,doll_47.35
doll_332.82,782.0,doll_69.57,doll_6.59,doll_2.92,doll_77.03,doll_0.17,
doll_216.61,210.0,doll_757.24,doll_60.61,doll_25.59,doll_7.78,doll_11.27,doll_101.23
doll_98.68,141.0,doll_121.71,doll_122.18,doll_25.56,doll_263.24,doll_64.60,
doll_271.73,316.0,doll_134.75,doll_0.78,doll_95.48,doll_117.12,doll_617.92,doll_290.68
doll_36.15,20.0,doll_18.90,doll_285.51,doll_58.00,doll_100.68,doll_7.40,doll_11.48
doll_7.77,34.0,doll_149.86,doll_42.24,doll_23.96,doll_94.36,doll_35.54,
doll_19.55,97.0,doll_217.58,doll_82.46,doll_12.44,doll_122.90,doll_90.02,doll_39.79
doll_100.27,11.0,doll_438.44,doll_341.53,doll_45.24,doll_19.23,doll_1.50,doll_0.41
doll_117.01,7.0,doll_100.68,doll_35.86,doll_139.88,doll_0.77,doll_102.10,doll_37.94
doll_120.24,212.0,doll_5.34,doll_92.10,doll_163.58,doll_202.03,doll_10.03,
doll_258.46,51.0,doll_95.48,doll_63.43,doll_170.84,doll_21.53,doll_55.51,doll_18.19
doll_0.76,249.0,doll_51.36,doll_38.18,doll_24.75,doll_0.48,doll_25.06,
doll_0.48,115.0,doll_69.26,doll_177.66,doll_12.61,doll_11.22,doll_30.33,
doll_11.26,0.0,doll_109.71,doll_104.30,doll_2.84,doll_70.49,doll_138.97,
doll_21.21,144.0,doll_212.11,doll_337.35,doll_194.32,doll_249.71,doll_12.13,doll_13.26
doll_213.23,109.0,doll_10.89,doll_189.39,doll_53.82,doll_51.01,doll_10.85,
doll_5.59,426.0,doll_0.73,"doll_1,601",doll_16.04,doll_208.66,doll_10.09,doll_64.25
doll_145.89,213.0,doll_485.19,doll_85.20,doll_12.68,doll_75.71,doll_42.36,doll_42.31
doll_439.63,1.0,doll_520.15,doll_146.40,doll_5.90,doll_78.38,doll_2.24,
