00-avengers-name,01-DDD-name,02-GioPonSpiz-name,03-gren-name,04-iGMM-name,05-MalPatSaj-name,06-MarScoToc-name,09-wissel-name
molina healthcare,national shipping company of saudi arabia (bahri),wabtec,hong kong and china gas,,copel,icon plc,brookline bancorp
united microelectronics,"physicians realty trust
",kanzhun,epam systems,,kakao,cp all,orasure technologies
vantage towers,icade,"m3, inc",amcor,CA Immo,conagra brands,celltrion,mammoth energy services
broadridge financial solutions,"nisshin seifun group
",garmin,nibe industrier,Coway,incyte,paycom,priority technology holdings
cms energy,allete,sun communities,saudi arabian fertilizer company,National Vision Holdings,northern trust,kanzhun,plby group (playboy)
perkinelmer,ememory technology,centrais electricas brasileiras,sun communities,Cohen & Steers,tourmaline oil,clp group,playags
renesas electronics,"virtu financial
",legal & general,steel dynamics,,čez group,nippon steel,hf foods group
magna international,umpqua holdings,nexon,incyte,Albany International,garmin,,alerus financial
aeon,biocon,sgs,rollins,Santen Pharmaceutical,essity,george weston,zynex
mengniu dairy,"brighthouse financial
",tsingtao,darden restaurants,,kyocera,sun communities,power integrations
china unicom,granite real estate,align technology,sgs,Bank of Hawaii,powergrid corporation of india,nio,netgear
ryanair,"foot locker
",united microelectronics,,Plexus,sun communities,monolithic power systems,equitrans midstream
warner music group,"amicus therapeutics
",monolithic power systems,icahn enterprises,,mitsui fudosan,eisai,gopro
air china,seaworld entertainment,posco,tata motors,,clorox,formosa plastics,nanostring technologies
darden restaurants,"persistent systems
",aes,clorox,,royalty pharma,,amerant bancorp
clp group,minda industries,rollins,united microelectronics,iRhythm,otsuka holdings,garmin,veracyte
kubota,patterson-uti energy,j. b. hunt,magna international,Vienna Insurance Group,china unicom,w. r. berkley,twin disc
dollarama,"acom
",george weston,kaō,Iluka Resources,clp group,wabtec,central pacific financial
first solar,spire energy,clp group,quest diagnostics,,cf industries,incyte,angiodynamics
lasertec,"supreme industries
",cp all,lpl financial,Pennon Group,veolia,tata steel,integral ad science
longfor group,lantheus holdings,formosa plastics,aes,,perkinelmer,mid-america apartment communities,kaltura
factset,dã¤twyler,west pharmaceutical,molina healthcare,,chewy,centrais electricas brasileiras,rocket lab
chow tai fook,"manchester united
",cms energy,kyocera,,kaō,brookfield renewable partners,sprague resources lp
alinma bank,"china airlines
",chewy,tsingtao,Skyline Champion,brookfield renewable partners,henderson land development,goodrx
monolithic power systems,white mountains insurance group,powergrid corporation of india,powergrid corporation of india,,west pharmaceutical,ka?,uniti
sgs,sociã©tã© fonciã¨re lyonnaise,porsche se,advanced info service (ais),,united microelectronics,hindustan zinc,trustco bank
mitsubishi estate,"atco
",eisai,geberit,Sinch,idex,warner music group,sjw group
essity,tate & lyle,geberit,take 2 interactive,,hong kong and china gas,hong kong and china gas,poshmark
ajinomoto,"yeti holdings
",lpl financial,omnicom,,expeditors,toyota industries,faraday future
wheaton precious metals,indoritel,icon plc,wharf reic,,wheaton precious metals,best buy,whole earth brands
markel,"hecla mining
",magna international,dollarama,,nu holdings,ball corporation,cyxtera technologies
garmin,gujarat fluorochemicals,advanced info service (ais),posco,Thermax,h&m,magna international,boston properties
west pharmaceutical,"metro ag
",hong kong and china gas,eisai,,best buy,porsche se,immunitybio
shiseido,arã§elik,paycom,idex,Ollie's Bargain Outlet,porsche se,geberit,nektar therapeutics
saudi arabian fertilizer company,pge polska,wharf reic,danske bank,,mitsubishi estate,zte,denbury
čez group,sunoco,darden restaurants,porsche se,,pinterest,advanced info service (ais),sunnova
ubiquiti,"antarchile
",brookfield renewable partners,cathay financial holding,,zscaler,conagra brands,lulu's fashion lounge
idex,games workshop group,kaō,kb financial group,,mengniu dairy,kyocera,starry group
conagra brands,"mueller industries
",pinterest,alinma bank,,antofagasta,pinterest,marketaxess
take 2 interactive,united community bank,exor,roblox,Vontier,aeon,wharf reic,midwestone financial group
otsuka holdings,luzerner kantonalbank,amcor,henderson land development,,ryanair,guotai junan securities,ceco environmental
george weston,"oberoi realty
",tata steel,j.m. smucker company,,cathay financial holding,kb financial group,hbt financial
exor,"netmarble
",clorox,exor,SPX Corporation,toyota industries,cms energy,pacific biosciences
swedbank,"kirby corporation
",idex,cincinnati financial,American Eagle Outfitters,ajinomoto,shinhan financial group,glaukos
expeditors,pbbank (public bank bhd),incyte,monolithic power systems,Indosat,lasertec,aes,cardiovascular systems
sun communities,summit materials,ball corporation,align technology,Progyny,darden restaurants,darden restaurants,on24
mitsui fudosan,"maxar technologies
",icahn enterprises,aeon,,,renesas electronics,nextdoor
incyte,"vopak
",hindustan zinc,expeditors,,take 2 interactive,exor,viemed healthcare
ventas,"apple hospitality reit
",nippon steel,west pharmaceutical,John Bean Technologies,warner music group,first solar,pubmatic
kyocera,de' longhi,henderson land development,toyota industries,,kubota,take 2 interactive,mgic investment
china tower,g-bits network technology ,kb financial group,paycom,Blueprint Medicines,marathon oil,lpl financial,cardlytics
veolia,"kangwon land
",snam,abiomed,Kumho Petrochemical,,nu holdings,hydrofarm
clorox,cosmos pharmaceutical,lasertec,vantage towers,Guoco,wharf reic,snam,xpel
celltrion,"sarana menara nusantara
",zte,keycorp (keybank),,vantage towers,rollins,eventbrite
formosa plastics,alliancebernstein,alinma bank,snam,Amedisys,snam,icahn enterprises,fathom digital manufacturing
amcor,grupo catalana occidente,danske bank,tata steel,,trina solar,dollarama,hurco companies
zscaler,sweco,toyota industries,omv,ESAB,exor,tsingtao,hippo
rocket companies,servisfirst bancshares,spotify,avangrid,,ubiquiti,amcor,augmedix
swedish match,"gujarat gas
",kyocera,campbell soup,,campbell soup,vantage towers,warrior met coal
check point software,vakä±fbank,guotai junan securities,cooper companies,Arcosa,quest diagnostics,lasertec,c3 ai
cp all,"tmbthanachart bank (ttb)
",ubiquiti,hindustan zinc,,china communications construction,marathon oil,the beauty health company
guotai junan securities,"general insurance corporation of india
",vantage towers,ball corporation,Federal Signal,cloudflare,saudi arabian fertilizer company,brightcove
first quantum minerals,sfs group,take 2 interactive,brookfield renewable partners,Relaxo Footwear,dollarama,china merchants securities,equity bancshares
tata steel,"sm energy
",associated british foods,fresenius,Ultrapar Participacoes,banco do brasil,clorox,planet labs
the mosaic company,spectris,solaredge,ubiquiti,Main Street Capital,abiomed,chongqing changan,lindblad expeditions
ems-chemie,tui,saudi arabian fertilizer company,marathon oil,,renesas electronics,associated british foods,schrã¶dinger
publicis groupe,scout24,dollarama,perkinelmer,,factset,huatai securities,douglas emmett
hydro one,easyjet,huatai securities,zte,PacWest Bancorp,ball corporation,china communications construction,vince holding
rentokil initial,crispr therapeutics,molina healthcare,royalty pharma,Boise Cascade,alinma bank,swiss life,shoals technologies
bolloré,richter gedeon,power corporation of canada,fox corporation,,coal india,rocket companies,usa compression partners
pinterest,"peabody energy
",fresenius,w. p. carey,Nordex,lpl financial,power corporation of canada,pacira biosciences
brown & brown,enstar group,renesas electronics,howmet aerospace,,magna international,chewy,murphy oil
china southern airlines,paytm,royalty pharma,first solar,,first solar,brown & brown,qcr holdings
chongqing changan,triton international,brown & brown,live nation,,icahn enterprises,w. p. carey,eqt corporation
fmc,asbury automotive group,expeditors,otsuka holdings,Prospect Capital,saudi arabian fertilizer company,otsuka holdings,empire state realty trust
unity software,powerchip semiconductor manufacturing,ms&ad insurance,nu holdings,,chongqing changan,danske bank,staar surgical
snap,tokyo century,w. p. carey,brown & brown,,tsingtao,idex,veritex holdings
abiomed,"evolution mining
",cooper companies,mitsubishi estate,Mirati Therapeutics,zte,ubiquiti,rambus
w. p. carey,"national beverage
",china merchants securities,ms&ad insurance,,swedish match,perkinelmer,meridian bioscience
pkn orlen,"hindustan petroleum
",ucb,pkn orlen,,geberit,blue owl capital,landec
targa resources,"appfolio
",blue owl capital,associated british foods,,live nation,3i group,egain
lucid motors,rithm capital,nu holdings,mitsui fudosan,,suzuki motor,expedia group,billtrust (btrs)
icahn enterprises,cleanaway waste management,live nation,pinterest,Syngene International,avangrid,molina healthcare,lakeland bancorp
pidilite,onex,publicis groupe,shinhan financial group,Hagerty,pkn orlen,mitsui fudosan,mesa laboratories
live nation,sallie mae,link reit,cf industries,Leroy Seafood,rentokil initial,live nation,clover health investments
power corporation of canada,"one gas
",abiomed,targa resources,Patterson Companies,cp all,fresenius,karat packaging
geberit,sentinelone,3i group,bolloré,Steve Madden,guotai junan securities,tourmaline oil,definitive healthcare
quest diagnostics,"tã¼rk telekom
",marathon oil,guotai junan securities,Rubis,fox corporation,link reit,nerdwallet
fox corporation,lanxess,abu dhabi commercial bank (adcb),swire properties,,w. p. carey,kubota,international money express
coal india,amn healthcare services,omnicom,power corporation of canada,Brink's,cincinnati financial,svb financial group,first foundation
snam,topgolf callaway brands,standard bank group,publicis groupe,,check point software,coal india,banc of california
solaredge,pnm resources,cincinnati financial,hai di lao hot pot,,atmos energy,broadridge financial solutions,mgp ingredients
china communications construction,finning,shinhan financial group,kubota,,power corporation of canada,alinma bank,customers bancorp
keycorp (keybank),"arrowhead pharmaceuticals
",targa resources,icon plc,,etsy,abiomed,couchbase
suzuki motor,"insperity
",fox corporation,ems-chemie,Harmonic Drive Systems,targa resources,ms&ad insurance,new fortress energy
antofagasta,"icu medical
",chongqing changan,texas pacific land trust,Transocean,broadridge financial solutions,targa resources,everquote
cincinnati financial,banco del bajã­o,cf industries,jacobs engineering,Liontown Resources,first quantum minerals,bolloré,escalade sports
posco,comfort systems,swiss life,bank of jiangsu,,omnicom,omnicom,powerfleet
icon plc,bä°m birleåik maäazalar,pkn orlen,hydro one,,tata steel,publicis groupe,virtus investment partners
toyota industries,tofaå tã¼rk otomobil fabrikasä±,otsuka holdings,bank of nanjing,CONMED,posco,expeditors,atrion
ball corporation,chargepoint,keycorp (keybank),renesas electronics,Cushman & Wakefield,brown & brown,santos,alkami technology
tsingtao,"herc holdings
",broadridge financial solutions,swedish match,,hydro one,ajinomoto,bigbear.ai
atmos energy,godrej properties,santos,spotify,,standard bank group,cf industries,flywire
hai di lao hot pot,alamos gold,etsy,broadridge financial solutions,,j.m. smucker company,cooper companies,chase corporation
sasa polyester,"indian bank
",ajinomoto,china communications construction,,henderson land development,royalty pharma,ionis pharmaceuticals
ase group,atlas corp,bolloré,swiss life,,bolloré,zscaler,virgin orbit
surgutneftegas,"lupin limited
",kubota,link reit,Park Hotels & Resorts,omv,mitsubishi estate,digi international
toshiba,paycor,perkinelmer,check point software,,hindustan zinc,pkn orlen,cnb financial corp
essex property trust,honeywell automation india,united airlines holdings,standard bank group,BankUnited,santos,hydro one,the oncology institute
fairfax financial,msg sports,ems-chemie,coal india,TreeHouse Foods,blue owl capital,ems-chemie,shockwave medical
huatai securities,strabag,howmet aerospace,3i group,,publicis groupe,asm international,radiant logistics
erie indemnity,colliers international,quest diagnostics,hdfc life,,rocket companies,aeon,heska corporation
eqt corporation,asgn,china communications construction,the mosaic company,,ems-chemie,fox corporation,athenex
tradeweb,uol group,omv,china merchants securities,,china merchants shekou industrial zone,standard bank group,livevox
arca continental,charter hall group,avangrid,chewy,,howmet aerospace,tradeweb,upwork
lkq corporation,"flowserve
",warner music group,atmos energy,KB Home,pidilite,china merchants shekou industrial zone,c&f financial corporation
akamai,sitio royalties,itaúsa,chongqing changan,LIC Housing Finance,phosagro,swire properties,skillz
grasim industries,f&f co,tourmaline oil,fmc,,swiss life,abu dhabi commercial bank (adcb),planet13
china steel,hera group,hydro one,nippon steel,,asahi group,itaúsa,financial institutions
swiss life,"yapä± kredi
",texas pacific land trust,tourmaline oil,Methanex,huatai securities,swedish match,the bancorp
poolcorp,diploma plc,aeon,solaredge,,cooper companies,bank of jiangsu,geospace technologies
telenor,zhejiang century huatong,china merchants shekou industrial zone,asahi group,SMA Solar Technology,3i group,norsk hydro,capitol federal savings bank
novolipetsk steel,freshworks,swedish match,santos,,iron mountain,etsy,heritage insurance
poste italiane,"simpson manufacturing company
",expedia group,rentokil initial,,fmc,quest diagnostics,agilon health
nice,als global,bank of jiangsu,ajinomoto,LCI Industries,keycorp (keybank),check point software,crestwood equity partners
siemens gamesa,gds holdings,tradeweb,hyundai mobis,,icon plc,,fulgent genetics
grupo elektra,livent,j.m. smucker company,terna,Ebro Foods,danske bank,skyworks solutions,the original bark company
everest re,"aditya birla capital
",campbell soup,pidilite,,terna,solaredge,ginkgo bioworks
bio-techne,tenable,mitsui fudosan,itaúsa,Fletcher Building,advanced info service (ais),avangrid,smartrent
polyus,xpo logistics,mitsubishi estate,suzuki motor,Dr Lal PathLabs,fresenius,bank of nanjing,olo
carlisle companies,bright horizons,rocket companies,fico,Fannie Mae,ms&ad insurance,moncler,re/max holdings
tencent music,essent group,fmc,tradeweb,,china merchants securities,the mosaic company,macerich
tdk,"b2gold
",bank of nanjing,factset,,symrise,swatch,rubicon technologies
international paper,rambus,skyworks solutions,symrise,Stepan Company,kb financial group,china eastern airlines,aviat networks
american homes 4 rent,hugo boss,coal india,sbi life insurance,,brookfield infrastructure partners,teleperformance,harborone bancorp
shinkin central bank,"south jersey industries
",royal caribbean,geely,,sbi life insurance,keycorp (keybank),mercantile bank
asahi group,sjm holdings,atmos energy,tencent music,Perficient,skyworks solutions,suzuki motor,allbirds
indusind bank,bumble,check point software,pchem (petronas chemicals group),,associated british foods,asahi group,caredx
nippon yūsen,manpowergroup,moncler,coca-cola femsa,Installed Building Products,geely,omv,lordstown motors
the toro company,"academy sports
",first quantum minerals,huatai securities,QinetiQ,jacobs engineering,factset,cerus
graco,phillips edison & company,hyundai mobis,nvr,MDC Holdings,nippon steel,brookfield infrastructure partners,regis corporation
american financial group,frasers group,rentokil initial,skyworks solutions,Osisko Gold Royalties,sonova,formula one group,washington trust bancorp
teleflex,empresas cmpc,factset,swatch,,synchrony,united airlines holdings,meridianlink
aecom,haemonetics,swire properties,aviva,Brady,bank of jiangsu,fmc,camden national bank
amundi,a1 telekom austria,norsk hydro,avery dennison,,coles group,cincinnati financial,liquidity services
carnival,"janus henderson
",sbi life insurance,expedia group,,the mosaic company,ucb,kore
transunion,pepkor,swatch,ucb,Agiliti,itaúsa,hai di lao hot pot,insmed
sumitomo realty & development,maximus,hdfc life,first quantum minerals,,snap,snap,amplitude
paylocity,msc industrial direct,terna,brookfield infrastructure partners,Vicor,aviva,terna,lantheus holdings
talanx,husqvarna,nvr,china merchants shekou industrial zone,ACI Worldwide,pchem (petronas chemicals group),royal caribbean,alexander & baldwin
delivery hero,neoen,jacobs engineering,etsy,Acer,didi,siemens energy,employers holdings
ihh healthcare,"sabancä± holding
",china steel,china steel,,daiwa house,,sovos brands
akzonobel,tegna,symrise,aercap,Uniqa Insurance Group,spotify,hubspot,kvh industries
stanley black & decker,boston beer company,asahi group,huaneng power,,shionogi,howmet aerospace,lovesac
croda international,"southwest gas
",brookfield infrastructure partners,formula one group,,align technology,coles group,kimco realty
shandong gold mining,transocean,avery dennison,textron,,palantir,wsp global,wm technology
bureau veritas,the bidvest group,snap,zscaler,,bt group,sbi life insurance,redwire
aveva,schneider,wsp global,bt group,Revolution Medicines,hubspot,synchrony,supernus pharmaceuticals
godaddy,spie,teleperformance,lkq corporation,,hdfc life,china steel,ani pharmaceuticals
taiwan cooperative financial,bangkok expressway and metro (bem),the mosaic company,toshiba,Türkiye Kalkınma,,symrise,science 37
orient overseas container line,united internet,pchem (petronas chemicals group),prada,,fico,atmos energy,ready capital
smith & nephew,trinet,coles group,sonova,,wsp global,j.m. smucker company,ftai aviation
dlf,autohome,suzuki motor,lasertec,,link reit,rentokil initial,lakeland financial corp
telefonica brasil,cable one,lkq corporation,coles group,,china railway construction,first quantum minerals,the rmr group
campari,box,sonova,arca continental,Shimao Property,astra international,bt group,emerald holding
tenaga nasional,"alkem laboratories
",bt group,snap,,tryg,astra international,perella weinberg partners
axon enterprise,bombardier,aercap,fairfax financial,,textron,hyundai mobis,huuuge
reliance steel & aluminum,lechwerke,hai di lao hot pot,blue owl capital,Cedar Fair,ucb,pchem (petronas chemicals group),kearny financial
lg electronics,aroundtown,zscaler,evergy,TTEC,bank of nanjing,hdfc life,allegiance bancshares
erste group bank,"air france-klm
",formula one group,rocket companies,,shimano,daiwa house,a10 networks
abn amro,iqiyi,fairfax financial,moncler,Harmony Gold,splunk,campbell soup,skywater technology
stora enso,wingstop restaurants,fico,tryg,Grainger plc,gen digital,aéroports de paris,hanmi financial
uni-president enterprises,signify,asm international,synchrony,Tiger Brands,ptc,ase group,vintage wine estates
bank of baroda,"scor
",aviva,iron mountain,,gac (guangzhou automobile group),avantor,jakks pacific
ovintiv,kinnevik,hubspot,daiwa house,Cricut,shinhan financial group,geely,wd-40 company
banque saudi fransi,nykaa,pidilite,viatris,Jeudan,hai di lao hot pot,huazhu hotels,st. joe company
wisetech global,"bank of india
",ptc,teleperformance,ComfortDelGro,prada,aercap,blueprint medicines
grab holdings,eargo,philips,wsp global,,aristocrat,avery dennison,arbor realty trust
kyowa kirin,aerojet rocketdyne,abu dhabi national oil company (adnoc),philips,Griffon Corporation,tradeweb,abu dhabi national oil company (adnoc),bakkt holdings
match group,miniso group,iron mountain,burlington stores,Harel Group,jde peet's,prada,atara biotherapeutics
vodacom,jyske bank,aristocrat,svb financial group,Philip Morris ČR,adani power,ptc,zerofox
singapore airlines,aurubis,tencent music,ptc,,essex property trust,zebra technologies,bridgebio pharma
capitec bank,topicus,prada,rivian,BayWa,toshiba,xero,bbx capital corporation
hua xia bank,denbury,mgm resorts,jde peet's,Exide Industries,swire properties,aviva,cambium networks
segro,parsons,teradyne,bunge,,avery dennison,jde peet's,bird global
zoominfo,technoprobe,zebra technologies,shaw communications,,teradyne,coca-cola femsa,compx international
julius bär,sofi,ase group,ctbc financial holding,Yelp,sodexo,jacobs engineering,quantumscape
bank of shanghai,wiwynn,huazhu hotels,shionogi,ICF International,hyundai mobis,teradyne,growgeneration
ono pharmaceutical,"teladoc health
",coca-cola femsa,essex property trust,,leidos,aristocrat,fibrogen
tech mahindra,saudi investment bank,geely,norsk hydro,,mongodb,toshiba,lannett company
continental,nexans,synchrony,healthpeak properties,,fairfax financial,shimano,spok holdings
hindalco industries,intra-cellular therapies,toshiba,china railway construction,,bunge,fairfax financial,stellar bancorp
lamb weston,latam airlines ,bunge,loews corporation,,aercap,vedanta,ryman hospitality properties
biomérieux,hawaiian electric industries,franklin resources,leidos,Semtech,surgutneftegas,arca continental,hudson pacific properties
nn group,seaboard,jde peet's,ase group,Orange Polska,arca continental,china railway construction,alexandria real estate equities
camden property trust,olam,shimano,lamb weston,CI Financial,ctbc financial holding,iron mountain,ideanomics
bajaj auto,shin kong financial holding,astra international,nitori holdings,,china steel,pidilite,servisfirst bancshares
alfa laval,"allegheny technologies
",south32,zhongsheng group,StorageVault Canada,expedia group,franklin resources,sciplay
bio-rad laboratories,"idfc first bank
",b3,mgm resorts,Hilltop Holdings,apache corporation,sunny optical,cytek biosciences
polestar,"cencosud
",svb financial group,sompo holdings,,evergy,sonova,repay holdings
carl zeiss meditec,royal boskalis westminster,ctbc financial holding,gac (guangzhou automobile group),,moncler,ctbc financial holding,safety insurance
bill.com,zai lab,daiwa house,teradyne,,volvo car,mgm resorts,maravai lifesciences
newcrest mining,sembcorp,lucid motors,franklin resources,XPEL,lkq corporation,cloudflare,veritone
j.m. smucker company,topdanmarks,avantor,astra international,,inpex,gac (guangzhou automobile group),lsb industries
itaúsa,fox factory holding,arca continental,bangkok dusit medical services (bdms),,xl axiata,tryg,fate therapeutics
omv,odakyu electric railway,gac (guangzhou automobile group),zebra technologies,,tatneft,philips,inotiv
avangrid,welcia holdings,tryg,shimano,,grasim industries,lkq corporation,dorian lpg
norsk hydro,synaptics,siemens energy,fortum,Robertet,bandai namco,splunk,green brick partners
wsp global,"aak
",zhongsheng group,huazhu hotels,,avantor,almarai,acadia pharmaceuticals
coles group,coca-cola consolidated,mfhc,mfhc,,novozymes,dassault aviation,smartfinancial (smartbank)
hyundai mobis,"hikma pharmaceuticals
",burlington stores,royal caribbean,Winnebago Industries,asm international,sompo holdings,investors title company
shionogi,supermicro,sompo holdings,gen digital,,norsk hydro,erste group bank,iridium communications
avantor,galicia financial group,textron,jerónimo martins,,ase group,mfhc,enterprise bancorp
blue owl capital,intermediate capital group (icg),china railway construction,netapp,WeWork,mgm resorts,inpex,prestige consumer healthcare
ms&ad insurance,meg energy,essex property trust,abn amro,Vector Group,erie indemnity,telenor,pdc energy
bank of jiangsu,mainfreight,multiply group,aristocrat,Befesa,huazhu hotels,fleetcor,westamerica bancorporation
hubspot,nuvei,telenor,erste group bank,,mfhc,gen digital,howard hughes corporation
host hotels & resorts,mediclinic international,westlake chemical,volvo car,Materion,royal caribbean,palantir,hamilton lane
thai beverage,steel authority of india,apache corporation,vedanta,Ratnamani Metals & Tubes,vedanta,bunge,fubotv
freddie mac,imi plc,gen digital,shinkin central bank,,suzano,south32,fisker
ryan specialty group,emmi ag,continental,alliant energy,,fleetcor,bangkok dusit medical services (bdms),tessco technologies
renault,inchcape,bangkok dusit medical services (bdms),interpublic group,Addus HomeCare,fortum,westlake chemical,range resources
news corp,bucher industries,healthpeak properties,westlake chemical,,alliant energy,nomura research institute,adma biologics
kikkoman,iida group,almarai,siemens energy,,westlake chemical,sasa polyester,republic first bancorp
vail resorts,sixt,splunk,united airlines holdings,Altus Group,coca-cola femsa,mtn group,grosvenor capital management
shree cement,"workiva
",rivian,fleetcor,Tokai Carbon,enel américas,b3,flushing financial corp
emera,black hills,vedanta,eurofins scientific,,almarai,apache corporation,seaspine
saputo,wendel,nitori holdings,sodexo,,nomura research institute,sodexo,antero resources
heidelbergcement,commercial international bank,aéroports de paris,apache corporation,,edenred,essex property trust,antero midstream
boliden,"merlin properties
",palantir,aéroports de paris,,booz allen hamilton,burlington stores,bluebird bio
boston properties,national mineral development corporation,cloudflare,everest re,Pets at Home,mitsubishi heavy industries,abn amro,nautilus
kakaobank,"louisiana-pacific
",evergy,almarai,,teleperformance,coinbase,axonics modulation tech
israel chemicals,erg,erste group bank,nomura research institute,CJ Group,sasa polyester,enel américas,hci group
industrivarden,"home bancshares
",newcrest mining,indian oil,,akamai,healthpeak properties,unitil corporation
hotai motor,"thor industries
",novozymes,mtn group,,formula one group,adnoc drilling company,intra-cellular therapies
international consolidated airlines,"leggett & platt
",nomura research institute,splunk,,tyler technologies,indian oil,arrow financial
asahi kasei,remgro limited,inpex,b3,,toyota tsusho,newcrest mining,southern missouri bancorp
evonik industries,"cadence bancorp
",fleetcor,booz allen hamilton,,dassault aviation,rivian,nrc health
next plc,metropolitan bank (metrobank),enel américas,formosa chemicals & fibre,,sompo holdings,weichai power,interdigital
eiffage,"barito pacific
",shaw communications,avantor,,netapp,huaneng power,vapotherm
lamar advertising,alkermes,sasa polyester,dassault aviation,,eqt corporation,tencent music,aersale
country garden,"f.n.b. corporation
",loews corporation,akamai,Hain Celestial,swatch,lucid motors,asure software
zillow,wayfair,indian oil,ck infrastructure,JYP Entertainment,mtn group,multiply group,eagle bancorp
morningstar,"companhia siderãºrgica nacional
",volvo car,nordson,Middlesex Water Company,viatris,nitori holdings,sm energy
agco,"silicon labs
",shinkin central bank,bandai namco,Biotest,aéroports de paris,volvo car,playstudios
dick's sporting goods,madras rubber factory,abn amro,ss&c technologies,,healthpeak properties,shaw communications,enact holdings
galp energia,"british land
",sodexo,novozymes,Nokian Tyres,jerónimo martins,novozymes,inseego
bath & body works,mapletree industrial trust,shionogi,inpex,Laureate Education,aspentech,bdo unibank,nacco industries
samsung life insurance,kite realty,lamb weston,grasim industries,Blue Star,ambuja cements,delivery hero,duolingo
synnex,integra lifesciences,formosa chemicals & fibre,newcrest mining,,formosa chemicals & fibre,ck infrastructure,appharvest
suntory,"polycab india
",adnoc drilling company,continental,,svb financial group,ss&c technologies,vector group
isuzu,koza gold,mtn group,grab holdings,Magnite,bio-techne,grab holdings,brixmor property group
comerica,"under armour
",ck infrastructure,telenor,,kimco realty,,luminar technologies
sg holdings,"chemours
",jerónimo martins,kimco realty,,chandra asri petrochemical,bandai namco,sierra bancorp
hella,"evoqua water technologies
",delivery hero,poste italiane,,liberty media,textron,artisan partners
knight-swift,whitecap resources,ss&c technologies,palantir,,obic,netapp,peapack-gladstone financial
lincoln electric,csn mineraã§ã£o,viatris,qbe insurance,,franklin resources,shionogi,amicus therapeutics
nov,"dongfeng motor
",fortum,adani power,,eurofins scientific,interpublic group,thorne healthtech
legend biotech,"hektaå
",interpublic group,hubspot,DSME (Daewoo Shipbuilding),gaming and leisure properties,match group,revance therapeutics
samsung electro-mechanics,zhongan insurance ,sunny optical,enel américas,ADTRAN,zebra technologies,viatris,sunworks
kesko,alten,akamai,asm international,Glenmark Pharmaceuticals,nordson,carrefour,hometrust bancshares
store capital,"penn national gaming
",netapp,first horizon national,,metro,formosa chemicals & fibre,broadwind
churchill downs,healthequity,nordson,weichai power,,sysmex,power financial,carlotz
getlink,"elastic nv
",alliant energy,bank of beijing,PeptiDream,advantest,toyota tsusho,talkspace
vat group,alight,weichai power,erie indemnity,Madison Square Garden,tencent music,loews corporation,graham corporation
bj's wholesale club,cummins india,huaneng power,south32,Nevro,china eastern airlines,zhongsheng group,bar harbor bankshares
kepco,gol airlines,everest re,power financial,PC Connection,trimble,fortum,intellia therapeutics
icici prulife,"exponent
",carrefour,cloudflare,Diagnosticos da America,shaw communications,qbe insurance,victory capital
skf (svenska kullagerfabriken),"schaeffler india
",poste italiane,cboe,,indian oil,lamb weston,matterport
owens corning,"10x genomics
",grab holdings,siemens gamesa,,weichai power,akamai,inspire medical systems
renaissancere,au small finance bank,bdo unibank,international paper,,hubbell,poste italiane,fonar corporation
st. james's place,owl rock capital,mongodb,gaming and leisure properties,CoreCivic,loews corporation,obic,clean energy fuels
sei investments,wintrust financial,gaming and leisure properties,jack henry & associates,,nissan,poolcorp,polished.com
azrieli group,riocan reit,dassault aviation,credit suisse,,chesapeake energy,trimble,merchants bancorp
doosan enerbility,five9,carnival,aspentech,Nutex Health,ss&c technologies,amundi,apellis pharmaceuticals
jones lang lasalle,"nhpc limited
",poolcorp,chandra asri petrochemical,Marcus & Millichap,grupo elektra,mongodb,ceva
penske automotive,ä°sdemir,credit suisse,metro,Truecaller,nice,credit suisse,beam therapeutics
agilon health,"altagas
",eurofins scientific,edenred,,tdk,evergy,united insurance holdings
signify health,rayonier,international paper,corebridge financial,iRobot,qbe insurance,sysmex,guaranty bancshares
choice properties reit,"hilton grand vacations
",power financial,bio-techne,SM Entertainment,,jerónimo martins,sage therapeutics
china gas,"credit acceptance
",acciona energías renovables,tyler technologies,Meridian Bioscience,vodacom,carnival,dhi group
national retail properties,"pirelli
",thai beverage,obic,,international paper,acciona energías renovables,futurefuel
celsius holdings,koito manufacturing,capitec bank,liberty media,BridgeBio Pharma,jack henry & associates,edenred,cs disco
new world development company,"ormat technologies
",new china life insurance,resona holdings,Integral Ad Science,bank of beijing,alliant energy,rush street interactive
woori financial group,jollibee,corebridge financial,banque saudi fransi,Hindustan Copper,sunny optical,liberty broadband,interparfums
misc berhad,cerevel therapeutics,obic,kpn,Palomar Holdings,rpm international,advantest,greenidge generation holdings
tokyu,"muthoot finance
",qbe insurance,china eastern airlines,Compass Diversified Holdings,corebridge financial,bank of beijing,msg sports
bajaj holdings & investment,"bwx technologies
",liberty media,equity lifestyle properties,Hornbach Holding,nitori holdings,hindalco industries,enzo biochem
abb india,core & main,bandai namco,essential utilities,Veidekke,unity software,continental,welltower
manhattan associates,"euronet worldwide
",trimble,hansoh pharma,,united airlines holdings,gaming and leisure properties,instil bio
elbit systems,option care health,leidos,arab national bank,Ottogi,first horizon national,chandra asri petrochemical,butterfly network
canadian utilities,tal education group,edenred,britannia industries,Wacker Neuson,american homes 4 rent,siemens india,first guaranty bancshares
arkema,stevanato,amundi,trimble,,bill.com,grasim industries,cutera
