01-DDD-change1d,00-avengers-change_1_day,04-iGMM-change_1day
0.89_perc,-0.42_perc,0.00_perc
1.74_perc,3.88_perc,0.54_perc
-1.29_perc,-1.29_perc,
-0.17_perc,0.11_perc,1.83_perc
-2.53_perc,-0.78_perc,
0.70_perc,1.71_perc,-0.36_perc
2.05_perc,-1.72_perc,
34.43_perc,-0.56_perc,-0.17_perc
2.24_perc,-1.64_perc,
-0.24_perc,-1.63_perc,2.10_perc
1.25_perc,-1.10_perc,-0.37_perc
-1.66_perc,1.04_perc,0.00_perc
-0.20_perc,-1.84_perc,-1.17_perc
1.18_perc,-2.61_perc,1.73_perc
0.61_perc,-3.12_perc,0.48_perc
2.23_perc,-0.07_perc,-0.14_perc
0.39_perc,-1.50_perc,
2.40_perc,-1.50_perc,
0.74_perc,-1.12_perc,-1.61_perc
2.96_perc,-0.05_perc,-0.43_perc
-0.24_perc,-0.62_perc,
0.09_perc,1.48_perc,0.00_perc
1.60_perc,-0.27_perc,0.77_perc
-0.16_perc,-1.34_perc,
1.50_perc,-2.37_perc,-0.22_perc
-1.14_perc,-0.42_perc,
0.00_perc,0.72_perc,-1.62_perc
1.02_perc,0.21_perc,
2.76_perc,0.14_perc,-0.10_perc
-10.92_perc,0.89_perc,
2.17_perc,-1.75_perc,
-0.38_perc,1.41_perc,
-0.47_perc,-0.05_perc,
-0.08_perc,3.32_perc,
0.08_perc,-0.70_perc,-0.37_perc
0.49_perc,4.72_perc,
-0.63_perc,-0.80_perc,-0.56_perc
2.34_perc,0.56_perc,-2.13_perc
-1.13_perc,-0.98_perc,0.00_perc
-3.32_perc,-1.14_perc,-1.03_perc
2.27_perc,1.03_perc,2.04_perc
0.22_perc,-0.90_perc,-0.82_perc
1.57_perc,-2.42_perc,2.54_perc
1.36_perc,-0.56_perc,3.62_perc
2.56_perc,-1.28_perc,
1.82_perc,-1.52_perc,
0.33_perc,1.28_perc,
3.67_perc,-1.13_perc,
0.00_perc,0.46_perc,0.07_perc
3.83_perc,-1.43_perc,
1.72_perc,-1.40_perc,
2.01_perc,-1.75_perc,
1.49_perc,-1.77_perc,-1.45_perc
1.88_perc,-1.40_perc,-0.21_perc
-0.57_perc,-0.19_perc,
0.47_perc,0.47_perc,
3.10_perc,0.16_perc,
-0.70_perc,-0.49_perc,
-0.13_perc,0.86_perc,0.69_perc
1.00_perc,1.12_perc,0.15_perc
0.68_perc,-3.39_perc,0.00_perc
0.90_perc,-1.16_perc,-0.94_perc
1.81_perc,-0.66_perc,-2.06_perc
1.59_perc,0.77_perc,0.21_perc
8.55_perc,-3.20_perc,-0.02_perc
1.15_perc,0.17_perc,
0.05_perc,-1.31_perc,0.29_perc
1.66_perc,-0.88_perc,0.27_perc
1.87_perc,-0.51_perc,-0.33_perc
-1.27_perc,2.18_perc,-1.52_perc
0.00_perc,-0.23_perc,0.53_perc
1.84_perc,-1.61_perc,
0.94_perc,0.11_perc,
0.00_perc,1.38_perc,
0.97_perc,0.20_perc,
1.69_perc,0.36_perc,-2.89_perc
0.30_perc,2.59_perc,-0.33_perc
1.94_perc,-1.61_perc,
-2.20_perc,-0.21_perc,
2.83_perc,-3.36_perc,-1.57_perc
1.24_perc,0.42_perc,-0.33_perc
5.46_perc,1.62_perc,0.42_perc
2.38_perc,-1.53_perc,0.90_perc
0.74_perc,-0.53_perc,0.11_perc
-0.74_perc,1.20_perc,
-0.33_perc,-2.29_perc,
1.33_perc,-0.89_perc,-0.18_perc
0.00_perc,0.41_perc,
1.72_perc,-0.88_perc,-0.29_perc
3.05_perc,0.67_perc,
2.18_perc,0.94_perc,
-0.09_perc,-2.07_perc,-0.41_perc
0.14_perc,0.38_perc,3.83_perc
-0.84_perc,0.50_perc,
1.26_perc,-0.22_perc,-0.11_perc
0.27_perc,-1.18_perc,1.25_perc
0.27_perc,-1.16_perc,-0.19_perc
2.05_perc,2.28_perc,0.42_perc
-0.76_perc,0.07_perc,1.35_perc
1.94_perc,-0.15_perc,7.14_perc
-0.89_perc,-1.79_perc,-0.13_perc
0.21_perc,-1.13_perc,
0.00_perc,0.00_perc,1.48_perc
0.26_perc,0.07_perc,-0.37_perc
-0.13_perc,-0.50_perc,
2.03_perc,0.19_perc,
0.28_perc,-0.27_perc,
-0.14_perc,0.00_perc,-0.43_perc
2.43_perc,0.46_perc,-0.60_perc
2.74_perc,0.50_perc,
-0.54_perc,-1.28_perc,
-0.44_perc,1.44_perc,0.24_perc
-0.96_perc,2.05_perc,0.09_perc
0.38_perc,-3.25_perc,-1.55_perc
0.16_perc,4.45_perc,0.58_perc
0.13_perc,-2.71_perc,0.48_perc
2.60_perc,-0.95_perc,-0.20_perc
0.32_perc,0.06_perc,0.08_perc
1.33_perc,-0.77_perc,
0.07_perc,-1.98_perc,-0.98_perc
-0.07_perc,0.23_perc,0.00_perc
0.12_perc,-0.37_perc,4.49_perc
0.62_perc,-0.52_perc,1.45_perc
6.16_perc,1.29_perc,-0.56_perc
0.34_perc,0.37_perc,1.20_perc
4.73_perc,1.73_perc,
2.48_perc,-0.80_perc,
0.12_perc,-0.76_perc,-2.66_perc
0.89_perc,-1.59_perc,
1.84_perc,-0.53_perc,
4.32_perc,0.08_perc,
0.00_perc,0.50_perc,
-0.20_perc,0.77_perc,
-1.83_perc,-0.28_perc,-0.36_perc
2.75_perc,3.99_perc,0.06_perc
1.38_perc,-0.81_perc,1.13_perc
-0.63_perc,3.01_perc,-0.17_perc
2.30_perc,3.27_perc,-1.44_perc
0.00_perc,1.17_perc,0.00_perc
1.79_perc,0.99_perc,-1.27_perc
-0.23_perc,0.65_perc,
-0.36_perc,0.99_perc,
0.56_perc,-2.37_perc,0.40_perc
-0.56_perc,0.13_perc,1.02_perc
-0.46_perc,0.72_perc,-0.95_perc
2.03_perc,-0.06_perc,-2.28_perc
1.40_perc,-2.02_perc,0.63_perc
0.52_perc,0.61_perc,
0.52_perc,-1.05_perc,-0.61_perc
0.00_perc,0.20_perc,
0.00_perc,-0.12_perc,1.95_perc
0.21_perc,-1.76_perc,
-0.21_perc,-1.74_perc,-0.13_perc
0.72_perc,-1.27_perc,
0.40_perc,1.55_perc,-0.76_perc
1.61_perc,-0.53_perc,0.26_perc
2.71_perc,0.06_perc,
-0.94_perc,-0.95_perc,0.37_perc
0.06_perc,0.77_perc,-1.16_perc
-0.17_perc,0.38_perc,
-0.46_perc,0.46_perc,-1.52_perc
-1.35_perc,9.33_perc,0.21_perc
0.35_perc,-0.35_perc,-0.46_perc
0.18_perc,0.62_perc,1.07_perc
0.08_perc,-0.25_perc,0.36_perc
0.46_perc,3.47_perc,1.94_perc
0.98_perc,-1.36_perc,0.73_perc
0.12_perc,-1.07_perc,
0.27_perc,0.09_perc,0.58_perc
1.76_perc,-1.07_perc,
1.71_perc,-0.98_perc,
3.57_perc,-0.19_perc,
8.45_perc,-1.56_perc,0.07_perc
-1.25_perc,-0.43_perc,
4.22_perc,0.85_perc,-0.31_perc
0.04_perc,0.00_perc,
2.02_perc,0.23_perc,
1.27_perc,-1.38_perc,
0.00_perc,-2.57_perc,-0.33_perc
0.70_perc,-1.79_perc,0.98_perc
-0.10_perc,-0.64_perc,-0.02_perc
1.44_perc,-0.08_perc,
-0.38_perc,0.14_perc,0.63_perc
2.34_perc,-1.20_perc,1.72_perc
1.23_perc,-1.26_perc,
1.81_perc,-0.33_perc,0.44_perc
-0.62_perc,0.40_perc,
-1.66_perc,-0.34_perc,-2.89_perc
2.35_perc,0.28_perc,
1.86_perc,0.86_perc,
-0.33_perc,-0.18_perc,
1.04_perc,-0.47_perc,
-2.80_perc,-0.62_perc,
-0.76_perc,0.73_perc,
2.32_perc,-1.46_perc,0.11_perc
-0.73_perc,-0.74_perc,1.78_perc
2.17_perc,-1.92_perc,
0.13_perc,-0.89_perc,-0.79_perc
1.25_perc,-1.29_perc,
0.45_perc,0.91_perc,
0.61_perc,0.26_perc,1.39_perc
-1.74_perc,-1.26_perc,-1.14_perc
0.00_perc,0.00_perc,0.21_perc
0.56_perc,-0.06_perc,0.80_perc
1.57_perc,-0.38_perc,0.12_perc
-1.92_perc,-0.24_perc,1.10_perc
0.53_perc,1.29_perc,
-0.17_perc,0.58_perc,
1.33_perc,-1.40_perc,
2.69_perc,4.62_perc,-1.07_perc
1.17_perc,1.36_perc,0.99_perc
0.64_perc,1.00_perc,
-0.25_perc,4.97_perc,
0.73_perc,0.39_perc,-3.47_perc
-0.15_perc,1.60_perc,-1.59_perc
0.00_perc,-1.78_perc,
-1.26_perc,-0.37_perc,1.33_perc
0.66_perc,-0.64_perc,2.17_perc
2.81_perc,-0.57_perc,2.19_perc
1.17_perc,1.74_perc,-0.80_perc
1.41_perc,-8.63_perc,1.55_perc
-0.26_perc,-1.86_perc,
0.20_perc,-0.75_perc,
0.48_perc,0.31_perc,1.18_perc
2.15_perc,-0.51_perc,0.34_perc
-1.59_perc,-0.04_perc,
1.65_perc,-0.58_perc,
-0.17_perc,-0.24_perc,
-1.32_perc,1.15_perc,
0.41_perc,0.31_perc,-0.38_perc
0.26_perc,-0.38_perc,
-1.32_perc,-0.53_perc,
0.69_perc,-1.20_perc,
0.22_perc,-0.69_perc,3.54_perc
0.25_perc,-1.76_perc,0.00_perc
-0.61_perc,-0.43_perc,0.26_perc
1.10_perc,-0.13_perc,-2.37_perc
0.30_perc,-0.18_perc,
1.17_perc,-0.78_perc,
-0.14_perc,6.41_perc,0.82_perc
1.18_perc,-1.39_perc,
2.34_perc,-1.17_perc,
1.37_perc,-2.52_perc,-0.46_perc
0.66_perc,-0.85_perc,0.18_perc
2.73_perc,1.00_perc,
3.02_perc,-0.97_perc,0.62_perc
0.89_perc,-3.95_perc,-0.47_perc
1.29_perc,-2.00_perc,
0.64_perc,0.06_perc,
1.54_perc,-1.39_perc,1.56_perc
0.88_perc,-0.98_perc,
-0.35_perc,-1.27_perc,-0.47_perc
0.12_perc,-0.43_perc,
0.08_perc,0.58_perc,
1.94_perc,2.81_perc,-0.14_perc
1.90_perc,-0.79_perc,0.35_perc
2.10_perc,-1.38_perc,0.62_perc
0.27_perc,-0.70_perc,
4.53_perc,0.61_perc,-1.21_perc
1.05_perc,5.32_perc,
-0.47_perc,-1.06_perc,
0.39_perc,6.42_perc,
0.85_perc,0.46_perc,-1.94_perc
0.83_perc,-0.23_perc,-1.15_perc
2.76_perc,0.14_perc,0.43_perc
0.82_perc,-0.07_perc,
-0.50_perc,-0.36_perc,-0.90_perc
0.60_perc,0.16_perc,
2.62_perc,-0.84_perc,
-1.42_perc,-0.96_perc,
0.75_perc,-1.00_perc,1.33_perc
1.25_perc,5.91_perc,3.20_perc
1.05_perc,0.86_perc,1.02_perc
0.00_perc,0.92_perc,
1.51_perc,1.14_perc,-0.59_perc
0.00_perc,0.09_perc,
-0.72_perc,-3.84_perc,-0.36_perc
0.34_perc,0.53_perc,-1.52_perc
1.94_perc,-3.21_perc,0.64_perc
0.97_perc,0.86_perc,
3.03_perc,-0.51_perc,1.03_perc
2.70_perc,1.49_perc,
1.95_perc,0.95_perc,
3.95_perc,4.46_perc,-0.44_perc
0.19_perc,-1.92_perc,-0.65_perc
-0.21_perc,-0.62_perc,
-0.58_perc,-0.59_perc,
0.00_perc,-0.31_perc,
1.09_perc,7.29_perc,
5.20_perc,-0.54_perc,
1.10_perc,0.20_perc,0.41_perc
2.31_perc,0.11_perc,
-1.60_perc,0.00_perc,0.00_perc
