04-iGMM-code,02-GioPonSpiz-codice,09-wissel-company_code,05-MalPatSaj-symbol
NTRS,9984.t,dbx,shw
,pnc,hzo,9433.t
CAG,ubs,prlb,etn
,gd,nxgn,0883.hk
,601658.ss,mcri,lrcx
CLX,bmw.de,extr,9983.t
WAB,aon,bh,4568.t
,etn,oscr,aon
,cci,agil,601888.ss
,fisv,thry,cme
,cl,twnk,cnq
F34.SI,amx,mrc,oewa.f
068270.KS,9633.hk,vpg,9633.hk
,lrcx,pinc,bmo
STE,9433.t,scvl,wmmvf
,fcx,mesa,shl.de
,shw,ayx,ivs.f
,enel.mi,apei,pnc
,cnq,cchwf,atvi
TECK,abnb,hil,nsc
,wm,ibkr,hdfc.ns
INCY,cme,ucbi,pbr
,tfc,afrm,bhartiartl.ns
,abb,sam,mu
,hum,ozk,atco-b.st
,mu,cnxn,cci
HINDZINC.NS,dg.pa,webr,abnb
,300760.sz,rick,abb
BOP.F,ivs.f,cenx,601658.ss
GEBN.SW,bns,sofi,bmw.de
,smfg,gnw,ubs
,bx,evtc,bns
AGR,bayzf,ryam,1180.sr
LYV,shl.de,mtch,amx
ITSA3.SA,4568.t,zumz,bx
WPC,kkr,sats,ice
,chtr,hhs,oxy
BALL,000333.sz,mpln,klac
CINF,eand.ae,vsec,dg.pa
,ice,vra,met
POW.TO,atvi,crsr,emr
FSLR,scco,dxpe,enel.mi
,klac,ottr,fcx
ATO,oxy,dco,tfc
NZYM.VI,1180.sr,wsbc,adanient.ns
,nsc,chgg,wbc.ax
,0388.hk,aosl,tri
SWMA.ST,atco-b.st,orn,relx
SJM,603288.ss,sigi,kkr
MGA,uber,scl,dg
EMSN.SW,saf.pa,glp,uber
,hdfc.ns,trgp,lici.ns
,wbc.ax,maa,0388.hk
,aal.l,wbs,heia.as
,0728.hk,ebs,mco
,ntes,kbal,bayzf
,mco,rnst,gm
BG,oewa.f,hayw,300760.sz
,heia.as,spg,f
SW.PA,mpc,shoo,000333.sz
,emr,cveo,omzzp.me
,9983.t,gmed,pxd
AC.MX,pxd,cpsi,0728.hk
,san,bgfv,saf.pa
,601166.ss,ll,603288.ss
,tri,tg,mnst
GRASIM.NS,met,eqr,rkt.l
SHG,epd,cswi,vmw
UCB.VI,relx,mygn,epd
AER,bhartiartl.ns,mrcy,kdp
012330.KS,e,ehth,psa
,lici.ns,ayrwf,mck
,meli,wk,aal.l
,ri.pa,ois,4063.t
,mck,ande,8035.t
,omzzp.me,dlb,601166.ss
AVTR,vmw,fibk,rosn.me
,mnst,rpd,mpc
,8035.t,scwx,gis
,bas.de,hlio,sre
,rkt.l,accd,itc.ns
LBRDA,vlo,tsq,ri.pa
,d,ntct,ls4c.f
GCTAF,dg,swi,chtr
BRITANNIA.NS,anz.ax,dnow,adm
IP,khc,atni,orly
,gm,podd,6098.t
,dpw.de,tcs,e
,dsy.pa,swim,aep
6762.T,4063.t,pycr,snps
TEL.OL,psa,evop,mar
,mar,form,dsy.pa
1038.HK,f,titn,6501.t
,orly,cnty,edf.pa
,adanient.ns,sncy,d
,snps,bill,khc
CSL,6098.t,enph,601012.ss
9735.T,edf.pa,colb,7974.t
DABUR.NS,sre,hli,san
,kdp,cgnx,bajfinance.ns
XEKT.MC,atgl.ns,apa,dpw.de
PLZL.ME,7010.sr,you,shop
RE,itc.ns,cccs,anz.ax
QBE.AX,tak,altg,aph
ACM,601328.ss,res,7010.sr
,601012.ss,ccrn,panw
ACI,ing,plug,6367.t
CRDA.L,stla,kro,hsy
TTC,shop,ofg,bam
,wds,dakt,byra.f
,ls4c.f,kbh,8058.t
,7974.t,lsi,snow
,002415.sz,cdre,ntes
MIN.AX,muv2.de,sun,tak
,aep,vlgea,psx
,itub,bset,dxcm
GBLB.VI,psx,newr,atgl.ns
,gis,eght,
,adm,jamf,scco
AFXA.F,mqg.ax,negg,4661.t
601336.SS,ew,sgfy,stla
GL,8058.t,evcm,002415.sz
,fab.ae,cano,cnc
,4661.t,boot,sber.me
,1211.sr,msge,kmb
,6367.t,epac,ew
,bidu,exp,smfg
3692.HK,fmg.ax,pacw,nvtk.me
,aig,masi,ctas
GGG,aph,nwbi,8001.t
,rop,nfg,aig
,000660.ks,oge,rop
,fdx,dfin,abev
,isp.mi,out,8031.t
AWL.NS,jci,box,fdx
IMP.JO,spg,mstr,atd.to
MKTX,hes,ares,ngg
,atd.to,evr,601328.ss
,umg.as,hees,vlo
0019.HK,hsy,apo,wday
,a,wsfs,wds
,ngg,axon,2317.tw
ARMK,cdns,hele,jci
BOL.ST,207940.ks,fivn,a
,6501.t,wafd,muv2.de
SRPT,kmb,boh,bas.de
EMA.TO,8001.t,neog,cdns
,ctas,cde,enph
,trv,neu,bntx
2801.T,8031.t,prgs,mqg.ax
,adyen.as,iboc,kotakbank.ns
,byra.f,vrex,spg
NWS,snow,crmt,207940.ks
CG,afl,kfrc,umg.as
,600030.ss,atro,nxpi
SOLB.VI,ifx.de,incy,msi
,2317.tw,kop,
CUBE,ctva,ftdr,payx
,bajfinance.ns,mdc,stz
,600309.ss,trex,ing
003550.KS,601899.ss,cacc,ctva
VIV.PA,002352.sz,ffbc,afl
FGR.PA,nxpi,vrns,trv
,msi,curv,meli
,azo,insw,ifx.de
GFL,300059.sz,ebc,adsk
XGJ.F,byan.jk,pld,4519.t
5713.T,ecl,doma,fis
ALLE,su,prdo,rsg
SCA-B.ST,o,bxc,1211.sr
,000001.sz,rdi,ecl
,puk,qtwo,fmg.ax
,kotakbank.ns,prg,
7202.T,cnc,fhb,sq
,1876.hk,htlf,exc
,bsbr,rock,lulu
BWA,payx,abmd,ftnt
BLDR,adsk,cmp,trp
,2359.hk,tndm,itub
YMM,nem,embc,mlyby
BN4.SI,exc,azek,000660.ks
,race,innv,hes
0322.HK,o39.si,fhi,isp.mi
,wday,tr,su
PAG,sq,neo,mchp
,trp,cmtl,8766.t
010130.KS,abev,homb,cpg.l
,bce,ida,syy
OC,dxcm,cflt,biib
CMA,nda-fi.he,usna,bce
034730.KS,kmi,six,lhx
PSTG,cmg,hsii,bidu
DWNI.DE,8766.t,ttd,002352.sz
SRF.NS,tt,qlys,600309.ss
IMCD.AS,npsny,fbk,wmb
,lvs,amot,o39.si
,panw,rmbl,race
JHX,002304.sz,banf,1876.hk
UU.L,apo,forr,hmc
,sika.sw,avpt,600030.ss
UMI.VI,mfg,pxd,ajg
AAP,dvn,rngr,kmi
,bbva,,tt
6506.T,stz,spsc,lng
,biib,iosp,o
QNBFB.IS,ajg,do,dvn
,fis,gva,rost
3045.TW,dogef,evbg,6902.t
,rost,gel,anet
,dow,powl,gmkn.me
,iqv,banr,lkoh.me
,mchp,aub,msci
,4519.t,bl,iqv
INDT.ST,600276.ss,payo,apo
,cpg.l,gatx,ntr
G13.SI,3382.t,slca,dogef
CAR,002714.sz,pahc,tel
6965.T,ph,sbny,sika.sw
OGE,adanigreen.ns,rgen,xel
SBS,syy,ichr,adanigreen.ns
USFD,lyg,hcp,0016.hk
NVCR,nue,cg,nda-fi.he
FND,msci,ngvt,team
,0016.hk,bmi,u11.si
,lulu,rmni,601899.ss
,as7.f,ufpt,ph
,wmb,frme,lyg
RRX,lonn.sw,vrm,nue
,hmc,pipr,volvf
,idxx,nbtb,1024.hk
,bk,ctos,neste.he
WMS,1024.hk,rely,pru
CHE,cm,s,cm
,wxxwy,prpl,nem
,rsg,rdn,300059.sz
,tel,lake,lt.ns
,cof,krus,lvs
7259.T,volvf,xper,002714.sz
4707.KL,et,tmst,j36.si
ISDAY,ntr,tbla,2914.t
RL,xel,appn,yum
EREGL.IS,lng,wrby,puk
KT,hal,onew,
DCI,wes.ax,hov,cof
,carr,syna,7741.t
ORI,dp4a.f,mth,3382.t
CU.TO,ftnt,plnt,lonn.sw
BERGEPAINT.NS,051910.ks,amph,hlt
GFC.PA,6902.t,tcbi,wes.ax
MASI,neste.he,bw,carr
,team,mcft,bsbr
,hlag.de,lpsn,se
,xiacf,amcx,000001.sz
,u11.si,ess,et
009155.KS,lhx,four,asianpaint.ns
PHNX.L,2388.hk,plab,mrvl
,dd,ddd,engi.pa
,tdg,hlly,bk
SBNY,stm,be,051910.ks
G1A.F,adanitrans.ns,swbi,hln
PNR,pru,mmp,002304.sz
MANH,cve,ovv,dow
5201.T,600690.ss,dcgo,wcn
,hlt,blbd,xiacf
,2454.tw,phr,adanitrans.ns
SKA-B.ST,lt.ns,arc,pcar
,hln,cpt,gfs
KNSL,all,crnc,idxx
,yum,prch,cve
,hcltech.ns,irtc,bbva
ST,j36.si,aprn,2454.tw
MUSA,alc,rm,stm
,gmbxf,indb,2388.hk
