04-iGMM-code,02-GioPonSpiz-codice,09-wissel-company_code,05-MalPatSaj-symbol
,m&m.ns,awr,teck
VOLTAS.NS,hei,hwkn,1303.tw
,vtr,hnrg,swed-a.st
,stld,goev,stld
STGW,cez.f,avd,cbga.f
,1303.tw,spce,lgen.l
IDEA.NS,rlf.f,go,gle.pa
PHOENIXLTD.NS,f34.si,dcom,ebr
NEU,ix,mmi,pba
PROX.VI,tdy,vzio,068270.ks
3MINDIA.NS,wrb,ael,stmn.sw
,068270.ks,dv,ec
,akrbp.ol,ttcf,wn.to
ICAD.PA,mkl,airc,wab
,upm.he,nari,rol
,0390.hk,srne,sedg
,fslr,obnk,znh
,4911.t,fbms,holx
,2319.hk,qnst,4911.t
4197.KL,invh,hfwa,hei
,ttm,frpt,amcr
,znh,esmt,vtr
ETRN,cag,xmtr,mpwr
,bby,docn,cms
,maa,forg,1301.tw
,wab,brkl,elp
,bz,osur,035720.ks
BZY.F,2413.t,tusk,cag
021240.KS,grmn,prth,incy
EYE,sui,plby,ntrs
CNS,ebr,ags,tou.to
,lgen.l,hffg,cez.f
AIN,3659.t,alrs,grmn
4536.T,sgsn.sw,zyxi,eswb.f
,600600.ss,powi,6971.t
BOH,algn,ntgr,powergrid.ns
PLXS,umc,etrn,sui
,mpwr,gpro,8801.t
,pkx,nstg,clx
,aes,amtb,rprx
IRTC,rol,vcyt,4578.t
WSV2.F,jbht,twin,0762.hk
ILU.AX,wn.to,cpf,0002.hk
,0002.hk,ango,cf
PNN.L,cpall.bk,ias,vie.pa
,1301.tw,kltr,pki
,wst,rklb,chwy
,cms,srlp,4452.t
SKY,chwy,gdrx,bep
,powergrid.ns,unit,wst
,pah3.de,trst,umc
SINCH.ST,4523.t,sjw,iex
,gebn.sw,posh,0003.hk
,lpla,ffie,expd
,iclr,free,wpm
,mga,cyxt,nu
THERMAX.NS,advanc.bk,bxp,hm-b.st
,0003.hk,ibrx,bby
OLLI,payc,nktr,pah3.de
,1997.hk,den,8802.t
,dri,nova,pins
,bep,lvlu,zs
,4452.t,stry,2319.hk
,pins,mktx,anto.l
VNT,eyx.f,mofg,8267.t
,amcr,ceco,ryaay
,tatasteel.ns,hbt,2882.tw
SPXC,clx,pacb,6201.t
AEO,iex,gkos,2802.t
ISAT.JK,incy,csii,6920.t
PGNY,ball,ontf,dri
,iep,kind,
,hindzinc.ns,vmd,ttwo
JBT,5401.t,pubm,wmg
,0012.hk,mtg,6326.t
BPMC,kb,cdlx,mro
011780.KS,srg.mi,hyfm,
0053.HK,6920.t,xpel,1997.hk
,000063.sz,eb,vtwr.de
AMED,1150.sr,fath,srg.mi
,dans.vi,hurc,688599.ss
ESAB,6201.t,hipo,eyx.f
,spot,augx,ui
,6971.t,hcc,cpb
ACA,601211.ss,ai,dgx
,ui,skin,601800.ss
FSS,vtwr.de,bcov,net
RELAXO.NS,ttwo,eqbk,dol.to
UGP,abf.l,pl,bzla.f
MAIN,sedg,lind,abmd
,2020.sr,sdgr,6723.t
,dol.to,dei,fds
PACW,206g.f,vnce,ball
BCC,moh,shls,1150.sr
,pow.to,usac,coalindia.ns
NDX1.F,fre.de,pcrx,lpla
,6723.t,mur,mga
,rprx,qcrh,fslr
,bro,eqt,iep
PSEC,expd,esrt,2020.sr
,8725.t,staa,000625.sz
,wpc,vbtx,600600.ss
MRTX,coo,rmbs,000063.sz
,600999.ss,vivo,swma.st
,ucb.vi,lndc,gebn.sw
,owl,egan,lyv
,nu,btrs,7269.t
SYNGENE.NS,lyv,lbai,agr
HGTY,pub.pa,mlab,pky1.f
LSG.OL,0823.hk,clov,rto.l
PDCO,abmd,krt,cpall.bk
SHOO,iii.l,dh,601211.ss
RUI.PA,mro,nrds,fox
,adcb.ae,imxi,wpc
BCO,omc,ffwm,cinf
,sbk.jo,banc,chkp
,cinf,mgpi,ato
,shg,cubi,pow.to
,trgp,base,etsy
6324.T,fox,nfe,trgp
RIG,000625.sz,ever,br
LTR.AX,cf,esca,fm.to
,slhn.sw,pwfl,omc
,pky1.f,vrts,tatasteel.ns
CNMD,4578.t,atri,pkx
CWK,key,alkt,bro
,br,bbai,h.to
,sto.ax,flyw,sbk.jo
,etsy,ccf,sjm
,2802.t,ions,0012.hk
,bop.f,vorb,bop.f
PK,6326.t,dgii,omv.f
,pki,ccne,hindzinc.ns
BKU,ual,toi,sto.ax
THS,emsn.sw,swav,owl
,hwm,rlgt,pub.pa
,dgx,hska,rkt
,601800.ss,atnx,emsn.sw
,omv.f,lvox,001979.sz
,agr,upwk,hwm
KBH,wmg,cffi,pidilitind.ns
LICHSGFIN.NS,itsa3.sa,sklz,phor.me
,tou.to,plth.cn,slhn.sw
,h.to,fisi,2502.t
MEOH,tpl,tbbk,206g.f
,8267.t,geos,coo
S92.F,001979.sz,cffn,iii.l
,swma.st,hrtg,irm
,expe,agl,fmc
LCII,600919.ss,ceqp,key
,tw,flgt,iclr
EBRO.MC,sjm,bark,dans.vi
,cpb,dna,trn.mi
FLQ.F,8801.t,smrt,advanc.bk
LALPATHLAB.NS,8802.t,olo,fre.de
FNMAL,rkt,rmax,8725.t
,fmc,mac,600999.ss
,601009.ss,rbt,sy1.de
SCL,swks,avnw,kb
,coalindia.ns,hone,bip
,rcl,mbwm,sbilife.ns
PRFT,ato,bird,swks
,chkp,cdna,abf.l
IBP,monc.mi,ride,0175.hk
QQ.L,fm.to,cers,j
MDC,012330.ks,rgs,5401.t
OR,rto,wash,soon.sw
,fds,mlnk,syf
BRC,1972.hk,cac,600919.ss
,nhy.ol,lqdt,col.ax
,sbilife.ns,kore,mos
AGTI,uhr.sw,insm,itsa3.sa
,hdfclife.ns,ampl,snap
VICR,trn.mi,lnth,av.l
ACIW,nvr,alex,5183.kl
2353.TW,j,eig,didiy
,2002a.tw,sovo,1925.t
UN9.F,sy1.de,kvhi,spot
,2502.t,love,4507.t
,bip,kim,algn
,avy,maps,pltr
,snap,rdw,bt-a.l
RVMD,wsp.to,supn,hubs
,tep.pa,anip,hdfclife.ns
KLNMA.IS,mos,snce,
,5183.kl,rc,fico
,col.ax,ftai,wsp.to
,7269.t,lkfn,0823.hk
,lkq,rmr,601186.ss
0813.HK,soon.sw,eex,asii.jk
,bt-a.l,pwp,tryg.co
,aer,hug.wa,txt
FUN,6862.hk,krny,ucb.vi
TTEC,zs,abtx,601009.ss
,fwonk,aten,7309.t
HMY,ffh.to,skyt,splk
GRI.L,fico,hafc,gen
TBS.JO,asm.as,vwe,ptc
,av.l,jakk,601238.ss
CRCT,hubs,wdfc,shg
JDAN.CO,pidilitind.ns,joe,6862.hk
C52.SI,ptc,bpmc,1913.hk
,phg,abr,all.ax
GFF,adnocdist.ae,bkkt,tw
HARL.TA,irm,atra,jde.f
TBK.F,all.ax,zfox,adanipower.ns
,tme,bbio,ess
BYW.F,1913.hk,bbxia,6502.t
EXIDEIND.NS,mgm,cmbm,1972.hk
,ter,brds,avy
,zbra,cix,ter
YELP,asx,qs,sw.pa
ICFI,htht,grwg,012330.ks
,kof,fgen,ldos
,0175.hk,lci,mdb
,syf,spok,ffh.to
,6502.t,stel,bg
,bg,rhp,aer
SMTC,ben,hpp,sngs.me
TPA1.F,jde.f,are,ac.mx
CIXX,7309.t,idex,2891.tw
,asii.jk,sfbs,2002a.tw
SVI.TO,s32.ax,scpl,expe
HTH,b3sa3.sa,ctkb,apa
,sivb,rpay,evrg
,2891.tw,saft,monc.mi
,1925.t,mrvi,volcar-b.st
XPEL,lcid,veri,lkq
,avtr,lxu,1605.t
,ac.mx,fate,e5f.f
,601238.ss,notv,tatn.me
,tryg.co,lpg,grasim.ns
CBE.PA,enr.f,grbk,7832.t
,0881.hk,acad,avtr
,2886.tw,smbk,nzym.vi
WGO,burl,itic,asm.as
,8630.t,irdm,nhy.ol
,txt,ebtc,asx
WE,601186.ss,pbh,mgm
VGR,ess,pdce,erie
BFSA.DE,multiply.ae,wabc,htht
,tel.ol,hhc,2886.tw
MTRN,wlk,hlne,rcl
RATNAMANI.NS,apa,fubo,vedl.ns
,gen,fsr,suz
,con.de,tess,flt
ADUS,bdms.bk,rrc,fortum.he
,peak,adma,lnt
,2280.sr,frbk,wlk
AIF.TO,splk,gcmg,kof
5301.T,rivn,ffic,enelam.sn
,vedl.ns,spne,2280.sr
,9843.t,ar,4307.t
,adp.pa,am,eden.pa
,pltr,blue,bah
PETS.L,net,nls,7011.t
,evrg,axnx,tep.pa
001040.KS,ebo.f,hci,sasa.is
,ncm.ax,utl,akam
,nzym.vi,itci,fwonk
,4307.t,arow,tyl
,1605.t,smbc,8015.t
,flt,nrc,am.pa
,enelam.sn,idcc,8630.t
,sjr,vapo,ntap
,sasa.is,asle,eqt
HAIN,l,asur,uhr.sw
035900.KQ,ioc.ns,egbn,mtn.jo
MSEX,volcar-b.st,sm,vtrs
BIO.F,8421.t,myps,adp.pa
,abn.as,act,peak
TYRES.HE,sw.pa,insg,jem.f
LAUR,4507.t,nc,azpn
BLUESTARCO.NS,lw,duol,ambujacem.ns
,1326.tw,apph,1326.tw
,adnocdrill.ae,vgr,sivb
MGNI,mtn.jo,brx,tech
,1038.hk,lazr,kim
,jem.f,bsrr,tpia.jk
,dher.f,apam,lsxmb
,ssnc,pgc,4684.t
,vtrs,fold,ben
,fortum.he,thrn,erf.pa
042660.KS,ipg,rvnc,glpi
ADTN,2382.hk,sunw,zbra
GLENMARK.NS,akam,htbi,ndsn
,ntap,bwen,mru.to
,ndsn,lotz,6869.t
4587.T,lnt,talk,6857.t
MSGE,2338.hk,ghm,tme
NVRO,600011.ss,bhb,cea
CNXN,re,ntla,trmb
DASA3.SA,ca.pa,vctr,sjr
,pst.mi,mttr,ioc.ns
,grab,insp,2338.hk
,bdouy,fonr,hubb
CXW,mdb,clne,l
,glpi,pol,7201.t
,am.pa,mbin,chk
NUTX,ccl,apls,ssnc
MMI,pool,ceva,xekt.mc
TRUE-B.ST,cs,beam,nice
,erf.pa,uihc,6762.t
IRBT,ip,gnty,qbe.ax
041510.KQ,pwf-ps.to,sage,
VIVO,ane.mc,dhx,5vd.f
,tbvpf,ff,ip
BBIO,cpi.jo,law,jkhy
IAS,601336.ss,rsi,601169.ss
HINDCOPPER.NS,crbg,ipar,2382.hk
PLMR,4684.t,gree,rpm
CODI,qbe.ax,msgs,crbg
HBH.DE,lsxmb,enz,9843.t
VEI.OL,7832.t,well,u
,trmb,til,ual
007310.KS,ldos,bfly,fhn
WAC.F,eden.pa,fgbi,amh
,amun.pa,cutr,bill
,601169.ss,sana,pool
,axon,fcpt,plzl.me
,tpia.jk,qtrx,britannia.ns
PATK,grasim.ns,ccsi,s32.ax
JSL.NS,gctaf,mvbf,enr.f
SAFT,bio,pgen,pst.mi
ALLCARGO.NS,6869.t,metc,ipg
NXGN,8015.t,shbi,dpz
GAMA.L,hindalco.ns,nrim,gctaf
,jkhy,vtnr,600011.ss
KALU,8308.t,flnc,els
HTLD,fhn,lmat,nlmk.me
,tru,bhil,phg
KTOS,sna,vir,ane.mc
SSP,cboe,om,cboe
HNI,kim,talo,lcid
,8309.t,kpti,siemens.ns
,tyl,civb,csl
UPONOR.HE,kpn.f,cnx,9735.t
,cea,agen,tel.ol
ECPG,els,ipi,b3sa3.sa
ECVT,para,ltch,kpn.f
TDS,swk,smmf,lumi.ta
ERO,ce,weys,1038.hk
BAW.JO,bam,hbcp,1080.sr
TNC,amh,icpt,burl
EIG,lumi.ta,tsvt,wtrg
KRNT,erie,smr,7270.t
GALAXYSURF.NS,c6l.si,elvt,hst
,coin,mitk,grab
,lbrda,vtr,re
,bvi.pa,cnob,bdms.bk
,cbk.f,reg,uhal
BDN,bim.pa,blfs,ncm.ax
,baer.sw,sgmo,para
SANT.F,mru.to,umh,bio
,5vd.f,seat,pwf-ps.to
,lglg.f,true,zi
RHK.DE,scc.bk,axgn,2503.t
,adanipower.ns,iti,uthr
,azpn,user,bim.pa
COK.F,suz,akba,dabur.ns
XPOF,alfa.st,tpb,1050.sr
,3692.hk,vlta,hindalco.ns
,siemens.ns,gldd,lw
,xekt.mc,spi,pkg
,mtch,aspn,alfa.st
AVO,1050.sr,txmd,cs
FOI-B.ST,poli.ta,ygyi,cpi.jo
PGTI,tnaby,alto,ovv
CRON,mtx.de,clvs,bajaj-auto.ns
,wtrg,mrtx,mtch
FRG,akza.as,cznc,ca.pa
,eqt,orrf,cpt
PSG.MC,6857.t,rell,nn.as
,britannia.ns,oled,ebo.f
,1216.tw,vldr,sna
,601229.ss,pdfs,wln.pa
,afxa.f,hall,axon
,rs,amswa,bnzl.l
,u,ryn,4528.t
BYND,hubb,ofc,poli.ta
,tech,rxrx,con.de
,uhal,cbl,tnaby
PDS,nice,indi,sgro.l
CAF.MC,ambujacem.ns,bgsf,c6l.si
CAV1V.HE,sgro.l,hims,4151.t
MTL.TO,9735.t,acnb,0881.hk
RDWR,wln.pa,ctv,baer.sw
,snn,dnli,wtc.ax
,cpt,infu,601229.ss
,bah,7lx.f,snn
,psny,csr,techm.ns
,gblb.vi,fmao,1216.tw
,7011.t,soun,dlf.ns
CEATLTD.NS,pkg,agio,5880.tw
,solb.vi,srdx,cpr.mi
CMCO,7201.t,cstr,bvi.pa
NBG6.F,hei.de,asts,swk
WTTR,teva,luna,tru
IHRT,ovv,ooma,viv
BGS,bajaj-auto.ns,fcel,avv.l
,6762.t,crdo,rs
SHEN,600547.ss,lsea,docu
,5880.tw,genc,600015.ss
,techm.ns,o,8830.t
,086790.ks,nfbk,gddy
,mktx,evbn,tbvpf
,csl,spir,0316.hk
OTLY,viv,amrk,9101.t
,tlx.de,gogo,tfx
,600015.ss,aeri,crda.l
,hst,amal,ttc
,003670.ks,bcml,akza.as
,wtc.ax,mkfg,1928.t
,1928.t,smsi,q0f.si
,zal.de,rgnx,acm
CERA.NS,exas,rovr,abn.as
P1Z.VI,bnzl.l,amsf,dher.f
,600588.ss,pfis,tlx.de
,en.pa,chrs,dt
BORORENEW.NS,chk,rcus,afxa.f
,nn.as,emkr,indusindbk.ns
,cpr.mi,dibs,pcty
,cg,mp,bankbaroda.ns
WLKP,afg,ghl,gblb.vi
,steav.he,knsl,bxb.ax
,bpypp,amnb,amun.pa
,wpp,rbb,bdouy
BIOX,5871.tw,poww,ccl
TGI,vfc,bcrx,600547.ss
,2503.t,avct,ggg
,ttc,tig,tap
,dabur.ns,brbr,1140.sr
BOC,q0f.si,cns,en.pa
,unvr.jk,arlo,600588.ss
,acm,silk,afg
RICK,crda.l,sibn,ce
YEXT,1140.sr,istr,gl
,0006.hk,frge,unvr.jk
,dpz,owl,steav.he
NX,fcnca,mnkd,nbix
CRNC,nmr,hiw,mtx.de
JUVE.MI,ggg,rrbi,lglg.f
,uthr,msex,2884.tw
,1080.sr,reta,vifn.sw
,avv.l,nndm,1023.kl
,entg,allo,scc.bk
SYNT.L,nexi.mi,cetx,lbrda
,rdor3.sa,fna,wdc
ORIENTELEC.NS,ihg,fnhc,0006.hk
,crl,embk,2892.tw
GRC,bankbaroda.ns,hr,okta
,indusindbk.ns,nwli,bsy
,bap,cemi,psny
,wdc,riot,qgen
SXC,stx,ltrx,chrw
,gddy,bfc,5871.tw
ADV,4151.t,radi,mas
,900945.ss,tcbx,stx
AUPH,gl,fbiz,bbni.jk
,9101.t,mcrb,ni
,0019.hk,mgtx,8308.t
,yar.ol,aren,8309.t
SLI,bol.st,htbk,hsic
,docu,pi,reg
,mas,llap,0019.hk
AEDAS.MC,601600.ss,gsat,cna
,0316.hk,lpth,godrejcp.ns
,cna,arwr,aci
,armk,inve,003670.ks
,rno.pa,atlc,601336.ss
YORW,min.ax,cvly,srpt
,rand.as,satl,eqh
,1177.hk,imh,cpu.ax
,2892.tw,nh,yar.ol
,godrejcp.ns,astr,1177.hk
,vifn.sw,bdn,armk
,1023.kl,wti,cg
,phm,pwod,eichermot.ns
,7270.t,cpe,rand.as
,2884.tw,civi,ivn.to
ACCD,qgen,cdmo,3692.hk
,scb.bk,rlay,inf.l
GPIL.NS,zi,sst,wpp
,sap.to,akya,096775.ks
HCAT,aci,sien,dox
,lha.de,iova,
,ryan,pgre,nexi.mi
HIKAL.NS,dlf.ns,ino,crl
,rea.ax,irnt,bxp
5168.KL,wynn,jynt,2207.tw
MOR,inf.l,oesx,vfc
,323410.ks,nile,entg
,imp.jo,myfw,rea.ax
,bxb.ax,for,nmr
,reg,pgny,nws
,gfi,dvax,6146.t
SIM0.F,2207.tw,cfms,divislab.ns
,tfx,frt,2603.tw
,eqh,tvtx,bpypp
,nws,skt,cipla.ns
,ni,lcnb,bap
,bnr.de,cwen,ihg
OLECTRA.NS,h,oyst,lund-b.st
,fnf,elf,vbl.ns
,rpm,hrtx,indu-a.st
TIPT,lund-b.st,bmrc,chmf.me
,kbank.bk,bcbp,mktx
,okta,rmti,fcnca
BHIL,indu-a.st,hwbk,telia.st
VARROC.NS,rexr,dtc,jnpr
ZYXI,bxp,agfs,hei.de
,deck,paya,lti.bo
,ana.mc,bngo,kmx
FLWS,srpt,mfa,ryan
,ssl,rwt,shreecem.ns
VIH1.F,rr.l,pear,ema.to
SAFARI.NS,ymm,wneb,601600.ss
,aal,anik,rexr
DXPE,tap,uan,h
,ccj,sbt,sci
INGN,chrw,cuz,czr
SCHNEIDER.NS,barn.sw,xers,cday
,fbk.mi,bli,hal.ns
,emn,sitc,sap.to
,bsy,lfg,bol.st
,sci,adth,min.ax
HYLN,aeg,djco,mtn
,096775.ks,peco,thyao.is
NNOX,scg.ax,oust,phm
,bill,pstx,rno.pa
,ggb,xos,coin
NPK,h78.si,fuv,2801.t
,wes,lbc,2587.t
ACES.JK,hsic,fnwb,ana.mc
ANIK,divislab.ns,vitl,solb.vi
TINPLATE.NS,lti.bo,pebk,7532.t
,4528.t,actg,9021.t
WRLD,flex,mtdr,dks
,viv.pa,dnmr,flex
,ivn.to,inbk,wso
,mmp,vcel,emn
POWERMECH.NS,dox,rnwk,h78.si
,ema.to,coco,lha.de
BZH,pcty,dtm,fnf
MAHLOG.NS,bbni.jk,dcph,futu
,8830.t,lway,gz5.f
,clf,arvn,deck
EVC,dar,mcbc,mmp
,6146.t,si,cbk.f
,5020.t,sitm,scg.ax
MIRZAINT.NS,dks,pfbc,tost
,bili,vnda,teva
TCNSBRANDS.NS,rhc.ax,sfst,nly
,shreecem.ns,stwd,fmcct
3B7.F,bbwi,tsbk,qrvo
KKCL.NS,dt,ifmk,lamr
,5713.t,opal,0083.hk
,wso,opof,spx.l
RBBN,nly,lpi,sun.ax
JCHAC.NS,7532.t,apyx,wes
FEAM,tpg,hear,kep
,2603.tw,blze,nfe
,bldr,alec,3407.t
,thyao.is,lmnr,5020.t
SWIM,2267.t,vray,awl.ns
,five,fnlc,dino
,eichermot.ns,leu,imp.jo
BBBY,uhs,figs,rhc.ax
TPC,alo.pa,edit,fbk.mi
RXST,agco,wetf,ar
GOTU,snx,atlo,wolf
NC,cipla.ns,flnt,an
,telia.st,cdxs,2880.tw
,cck,mrmd,032830.ks
,kep,smpl,hlma.l
,brby.l,tbnk,6645.t
,shl.ax,sctl,ent.l
LPTV,nbix,cere,ggb
,0083.hk,cweb.to,shl.ax
,nxt.l,gnln,ssl
PETQ,fms,dmtk,brby.l
SURYAROSNI.NS,tpr,ovbc,51c.f
,2880.tw,chrd,lscc
,dino,xncr,cck
,ent.l,lung,c38u.si
,spx.l,cytk,logi
,bwa,pdlb,xgj.f
RBOT,gfl,veru,2267.t
,bch,eose,9202.t
ATRO,cday,clfd,scb.bk
FBIZ,inw.mi,rekr,sge.l
,lamr,slng,gfl
,czr,boc,bldr
CLAR,032830.ks,aumn,dar
,tost,omic,five
,sun.ax,tmci,gfi
ETHOSLTD.NS,jnpr,nmih,icl
,003550.ks,artna,red.mc
,jbl,krc,0322.hk
,kbx.de,stro,086790.ks
,rent3.sa,nrix,0992.hk
RUPA.NS,fmcct,krg,bch
,gz5.f,dbrg,jazz
,kmx,airs,inw.mi
OYST,z,eqrx,agco
,c38u.si,wing,kchol.is
,pum.de,snd,qnbfb.is
NVEC,morn,cort,pry.mi
,dwni.de,sunl,3008.tw
,hal.ns,bwb,rgen
,2587.t,cvcy,tpg
WEYS,p9o.f,prct,5713.t
LNDC,qrvo,ptrs,5819.kl
,2007.hk,essa,wynn
,mtn,vre,brkr
,rhm.f,xpof,688012.ss
RLGT,jd.l,aip,aeg
HNST,6645.t,otrk,jbl
SHRIPISTON.NS,ade.ol,kos,7202.t
HIL.NS,pry.mi,dmrc,yndx.me
,9021.t,ocul,1821.hk
MMFL.NS,brkr,kw,kbank.bk
,9202.t,aeva,wsc
,evk.de,prm,vst
,hlma.l,lmst,fgr.pa
DSKE,enkai.is,amlx,morn
FILATEX.NS,alle,devo.l,arcc
,lbtyb,fxlv,003550.ks
TCS,kchol.is,celu,viv.pa
,5819.kl,ngm,bbwi
TCFC,indigo.ns,celh,alle
,nst.ax,rvsb,bn4.si
,twlo,snax,bwa
,lscc,erii,zen
,fgr.pa,unty,sca-b.st
,3407.t,alco,ccj
ALEMBICLTD.NS,cpu.ax,ctso,2007.hk
ASPS,wolf,wkhs,hle.f
,rgen,rxst,snx
CANTABIL.NS,nvcr,axdx,cube
,jazz,irwd,bnr.de
NACLIND.NS,2801.t,lyel,alo.pa
,icl,sonx,rdor3.sa
POWW,51c.f,evgo,fms
OTLK,arcc,bdsx,pfgc
ZIMV,rga,espr,323410.ks
,ewbc,hdsn,tfii
,0322.hk,pxlw,9143.t
TUP,xgj.f,igms,bj
,an,mcbs,bki
,red.mc,envx,bili
,au,cia,twlo
GTLINFRA.NS,umi.vi,vel,indigo.ns
AKTS,6823.hk,ear,kbx.de
,aa,sirc,wrk
,vbl.ns,ctm,nxt.l
KVHI,2883.hk,stem,2883.hk
WLDN,sge.l,cenn,uhs
SUNL,wsc,rvp,zal.de
YMAB,1821.hk,sght,hii
,zen,rvmd,ymm
,688012.ss,gpor,coh.ax
,rco.pa,pfhd,0004.hk
0547.HK,coh.ax,pets,rr.l
CARERATING.NS,plug,absi,601021.ss
HOFT,legn,inpx,bel.ns
IGARASHI.NS,wrk,ampy,2912.tw
,vips,bksy,rga
,sca-b.st,smlp,rent3.sa
,keskoa.he,achr,6701.t
JAKK,ipn.pa,aat,6823.hk
,hle.f,swtx,knx
,ald.ax,prtk,bpcl.ns
,aos,repl,sbicard.ns
,aldar.ae,crk,ffiv
,bn4.si,zev,tpr
,2382.tw,akts,lii
,cube,corz,pstg
RGF,0992.hk,nodk,lbtyb
,cpn.bk,kern,2885.tw
,2912.tw,dlpn,3402.t
OMAXE.NS,2885.tw,apen,6988.t
,tfii,rpid,5802.t
,bki,mcb,casy
INEOSSTYRO.NS,jbss3.sa,urgn,rdy
,pfgc,ncsm,2382.tw
BGSF,xp,vrar,lsi
,bpcl.ns,adn,rhm.f
KOPN,babwf,hyln,ald.ax
,jhx,kntk,tataconsum.ns
,bj,staf,vacn.sw
RICOAUTO.NS,6701.t,owlt,ewbc
MICT,sdr.l,bfin,umi.vi
,asx.ax,hyzn,900945.ss
,cgnx,tcfc,asx.ax
,adib.ae,teum,sdr.l
,bel.ns,axsm,get.pa
,org.ax,airi,stor
,mocorp.he,ssbk,ade.ol
HEAR,3402.t,peak,9104.t
,leco,unb,rec.mi
,jef,grts,adt
GEOJITFSL.NS,nov,vld,033780.ks
,bbl.bk,allk,jhx
,fertiglb.ae,dtil,aos
,g13.si,kala,pnw
,sof.vi,mgy,zg
SANG,vacn.sw,blnk,xpev
IDEX,has,gcbc,ipn.pa
CDZI,froto.is,optn,2016.hk
,sign.sw,fmtx,sign.sw
VATE,awl.ns,advm,cch.l
,havells.ns,hnst,cgnx
,rrx,rexr,frt
,stor,gne,cpn.bk
,6506.t,goss,ivz
,imcd.as,tblt,oc
,3008.tw,mbcn,plug
,601021.ss,rmbi,celh
INDNIPPON.NS,pen,ciso,evk.de
,elisa.he,wpc,imcd.as
,mnhvf,hour,havells.ns
FONR,sbicard.ns,boxl,6506.t
AREC,fnd,ttoo,pag
JAYBARMARU.NS,mndi.l,hrow,9201.t
DAKT,cma,kopn,elisa.he
AKU,lii,hrmy,dwni.de
,yndx.me,px,mztf.ta
TRX,rec.mi,utmd,keskoa.he
VLN.TO,aap,tsha,7701.t
,fph.nz,xl,2395.tw
ASXC,mztf.ta,bioc,3045.tw
,adt,plbc,0101.hk
BLISSGVS.NS,frt,zntl,000876.sz
,3045.tw,mass,legn
,ar,arct,aal
PLSE,vst,ee,srf.ns
,9143.t,ctmx,bz
,051905.ks,eols,mndi.l
,hii,fbio,org.ax
PRTY,2395.tw,tgtx,uu.l
JZ,rdy,nly,jbss3.sa
DMTK,9104.t,mirm,tatapower.ns
RVP,knx,oflx,rco.pa
,logi,pvbc,dbx
SNCE,ffiv,kymr,a17u.si
,cch.l,mrsn,034730.ks
,saga-b.st,gami,pum.de
,2016.hk,ssti,nst.ax
RBL.NS,ctlt,msgm,pen
,000876.sz,vabk,arx.to
,ivz,rigl,azrg.ta
,cfr,nbn,fph.nz
OESX,otex,sol,p9o.f
,009155.ks,aytu,cma
,5802.t,fsbc,mez.ax
,mb.mi,sppi,aap
,get.pa,fr,dnp.wa
,cbsh,jan,chdn
DS,a17u.si,strc,leco
,7202.t,gwh,fnd
,dcp,rgti,010130.ks
,g,hst,cfr
,lsi,biol,skm
,9201.t,pei,bajajhldng.ns
,gfc.pa,amtx,mnhvf
,adports.ae,aqst,bcvn.sw
ATXG,pac,mnsb,4324.t
LPTX,034730.ks,utrs,dish
NLS,sbsw,mrin,c07.si
SYBX,fnlpf,rvlp,sgfy
VTSI,rnr,ater,g
AQST,oc,enta,au
WWR,6988.t,corr,ctlt
ISR,enx.pa,lgnd,9531.t
,033780.ks,pcsb,ttek
,1cov.f,qsi,jef
KIRK,1101.tw,agm,cbsh
,uu.l,asxc,has
SNAX,8795.t,shpw,swch
,mez.ax,coll,g13.si
,0zq.f,rckt,nnn
,cuervo.mx,plmr,xp
NH,urw.as,hlgn,7272.t
LPTH,xpev,gbio,paa
,itrk.l,gaia,mb.mi
NXTMH.HE,wsm,calb,rhi
,tataconsum.ns,vbiv,seic
,ugi,max,bsmx
,lifco-b.st,gthx,babwf
,pnw,aris,pso
,8tra.de,mrai,1099.hk
HPCO,bsmx,tmdx,dcp
,034020.ks,ymab,ugi
,nnn,pr,marico.ns
,0101.hk,arqt,iob.ns
SMTS,pag,dgly,oge
,011200.ks,ahpi,froto.is
YCBD,icicipruli.ns,samg,mocorp.he
,sgfy,huma,7202.sr
,rgld,halo,034020.ks
,010130.ks,srrk,exas
AIRI,paa,ivac,vips
,rhi,clpr,oci.as
,jll,exfy,apollohosp.ns
,cold,star,unitdspr.bo
,whr,crnx,lifco-b.st
,o2d.de,plse,clf
,9503.t,kspn,itrk.l
,celh,rytm,enx.pa
APM,chp-un.to,valu,aa
,chdn,rdvt,rrx
,azrg.ta,pmd,011200.ks
,usfd,prax,pnb.ns
,qnbfb.is,ades,6965.t
,casy,kdny,chp-un.to
,0151.hk,ahh,usfd
AIM,seic,fdmt,nvcr
,dbx,nhtc,0151.hk
GNS,otp.f,jnce,009155.ks
IMH,0004.hk,agfy,swav
,wbs,hnvr,nov
AEMD,4716.t,fgi,whr
,4324.t,rocc,otex
AVGR,9531.t,vor,car
,7701.t,pdm,jll
BLPH,stj.l,kids,rnr
IMTE,pnr,cgrn,fbhs
,qan.ax,isee,icicipruli.ns
,c07.si,lpro,fdj.vi
,indt.st,mntk,sof.vi
YTEN,iag.ax,ambc,enkai.is
,0384.hk,cldx,halo
DRCT,swch,bwfg,iag.ax
OTRK,cpri,visl,cold
HALL,adm.l,rbot,unm
RMED,masi,ftk,bbl.bk
,unm,izea,cuervo.mx
FNHC,dnp.wa,albo,indt.st
