01-DDD-change1y,00-avengers-change_1_year,04-iGMM-change_1year
-28.41_perc,-2.90_perc,12.97_perc
-5.33_perc,-25.41_perc,
-0.54_perc,31.50_perc,
-31.02_perc,10.79_perc,-2.81_perc
7.27_perc,11.54_perc,-6.74_perc
-18.63_perc,-20.98_perc,-15.89_perc
-7.44_perc,15.17_perc,
-38.90_perc,4.32_perc,17.14_perc
51.96_perc,-14.76_perc,-26.34_perc
19.07_perc,-24.92_perc,-10.01_perc
6.02_perc,-16.75_perc,
-35.00_perc,-3.03_perc,-22.49_perc
-15.70_perc,-29.47_perc,-33.58_perc
-17.13_perc,8.60_perc,
24.18_perc,-34.32_perc,-19.77_perc
-10.24_perc,8.88_perc,
-16.86_perc,-11.28_perc,
-24.84_perc,80.05_perc,-10.87_perc
-28.16_perc,1.10_perc,13.73_perc
-35.08_perc,4.86_perc,
-33.16_perc,3.71_perc,-32.59_perc
-1.51_perc,8.41_perc,
-19.94_perc,-24.58_perc,-16.39_perc
2.10_perc,-10.38_perc,-11.81_perc
12.79_perc,-19.44_perc,66.63_perc
5.28_perc,5.37_perc,
-10.86_perc,-30.78_perc,-23.86_perc
9.44_perc,4.12_perc,
144.02_perc,18.64_perc,-0.68_perc
-8.68_perc,-8.88_perc,
46.91_perc,-10.30_perc,
-15.95_perc,32.24_perc,26.76_perc
22.01_perc,-10.40_perc,11.89_perc
-29.26_perc,-12.53_perc,19.77_perc
-25.57_perc,-34.03_perc,
-7.34_perc,-25.37_perc,
-14.14_perc,-18.94_perc,
9.26_perc,-11.72_perc,
-8.46_perc,29.63_perc,-27.00_perc
-21.29_perc,-16.74_perc,
12.72_perc,-24.49_perc,20.22_perc
-23.41_perc,-41.42_perc,
-26.87_perc,-25.04_perc,
-34.30_perc,-39.71_perc,-9.65_perc
-49.54_perc,-22.53_perc,10.31_perc
-44.44_perc,1.88_perc,
-30.20_perc,6.65_perc,
7.31_perc,3.39_perc,
-20.42_perc,130.05_perc,
none,-12.30_perc,-2.95_perc
-35.39_perc,30.46_perc,-22.37_perc
23.48_perc,-30.82_perc,
-37.33_perc,3.19_perc,-18.73_perc
-17.45_perc,-5.35_perc,
-58.31_perc,28.00_perc,
34.29_perc,-22.03_perc,
-0.41_perc,-13.42_perc,
-20.81_perc,-40.45_perc,30.91_perc
-38.56_perc,-1.99_perc,
9.80_perc,2.86_perc,25.93_perc
-3.55_perc,10.30_perc,
-22.84_perc,3.56_perc,
-23.34_perc,-18.64_perc,
-30.00_perc,14.89_perc,
-15.78_perc,17.30_perc,-17.91_perc
85.96_perc,17.68_perc,
-4.97_perc,-24.12_perc,4.34_perc
23.84_perc,48.53_perc,-40.76_perc
-36.44_perc,5.61_perc,
-24.10_perc,-22.71_perc,
27.52_perc,7.78_perc,-17.04_perc
6.91_perc,-9.90_perc,-34.51_perc
21.74_perc,-9.07_perc,-1.70_perc
66.72_perc,1.48_perc,-0.28_perc
-38.77_perc,3.00_perc,
-61.70_perc,-0.18_perc,-43.83_perc
-39.71_perc,-5.08_perc,-11.01_perc
61.58_perc,-13.07_perc,
22.22_perc,-19.36_perc,-26.28_perc
8.74_perc,29.74_perc,52.91_perc
-2.17_perc,-0.98_perc,
-17.18_perc,35.57_perc,23.75_perc
-75.40_perc,-29.67_perc,-21.46_perc
-23.55_perc,-67.74_perc,
0.36_perc,9.60_perc,
-10.17_perc,-12.74_perc,49.45_perc
-47.67_perc,6.88_perc,19.55_perc
-11.20_perc,6.71_perc,-28.28_perc
-16.02_perc,-0.43_perc,-31.24_perc
183.22_perc,-9.24_perc,
-34.78_perc,-25.16_perc,
-8.02_perc,30.59_perc,
33.61_perc,16.61_perc,
-15.63_perc,9.01_perc,
14.05_perc,25.41_perc,
-9.71_perc,-34.05_perc,8.81_perc
20.18_perc,-97.02_perc,
12.16_perc,75.51_perc,12.80_perc
-35.75_perc,13.41_perc,
-24.00_perc,108.66_perc,
-13.19_perc,13.04_perc,34.09_perc
-40.25_perc,-3.22_perc,
82.02_perc,-22.46_perc,
3.81_perc,86.69_perc,
-12.33_perc,-8.39_perc,-1.61_perc
-14.25_perc,-3.52_perc,-11.39_perc
-26.00_perc,-30.25_perc,-31.71_perc
-15.32_perc,-25.60_perc,-1.45_perc
-36.62_perc,11.07_perc,-24.13_perc
-9.71_perc,-34.61_perc,
-51.94_perc,-13.86_perc,
-28.56_perc,35.25_perc,
27.10_perc,-2.35_perc,
3.17_perc,-25.30_perc,
3.71_perc,13.06_perc,-44.80_perc
8.78_perc,7.18_perc,
-18.09_perc,-34.65_perc,
-22.59_perc,-11.70_perc,
54.80_perc,-22.31_perc,
-22.04_perc,-47.63_perc,-44.77_perc
21.71_perc,-32.81_perc,
-30.35_perc,16.29_perc,-24.95_perc
-22.69_perc,-11.14_perc,15.76_perc
25.00_perc,1.64_perc,-22.51_perc
-20.10_perc,-52.39_perc,
-9.16_perc,7.03_perc,
-12.59_perc,-9.40_perc,
-13.04_perc,-5.01_perc,-13.22_perc
-7.89_perc,-6.62_perc,-37.91_perc
-29.78_perc,-22.90_perc,
-33.29_perc,-23.27_perc,-12.59_perc
-20.00_perc,-6.21_perc,
18.07_perc,7.41_perc,
-28.49_perc,-13.62_perc,
52.29_perc,-30.30_perc,3.80_perc
-21.64_perc,-16.31_perc,-10.86_perc
-47.51_perc,5.59_perc,-3.29_perc
-17.82_perc,-35.71_perc,
-19.79_perc,-11.54_perc,-22.02_perc
-23.57_perc,-58.44_perc,-48.58_perc
-18.52_perc,45.72_perc,22.91_perc
-17.46_perc,-1.03_perc,4.64_perc
-44.12_perc,-8.95_perc,16.56_perc
-33.20_perc,15.89_perc,
27.96_perc,32.85_perc,-40.15_perc
17.47_perc,98.96_perc,-38.75_perc
-15.18_perc,9.14_perc,7.43_perc
-10.30_perc,20.12_perc,
-34.26_perc,19.79_perc,
-40.25_perc,16.98_perc,
-4.14_perc,-22.91_perc,
-4.08_perc,37.64_perc,88.52_perc
-21.82_perc,78.54_perc,
-4.75_perc,-14.35_perc,
-26.86_perc,10.32_perc,-27.33_perc
-52.15_perc,-10.16_perc,
75.15_perc,24.14_perc,
-52.84_perc,-15.27_perc,-29.30_perc
-8.76_perc,-39.32_perc,-29.55_perc
1.50_perc,-14.33_perc,29.71_perc
-64.57_perc,-66.55_perc,
-0.43_perc,-90.69_perc,
27.88_perc,-6.94_perc,
-63.80_perc,-30.31_perc,
-6.62_perc,-10.23_perc,
-40.05_perc,-41.10_perc,-9.22_perc
none,-12.21_perc,
-15.38_perc,49.43_perc,-12.79_perc
-40.14_perc,-15.83_perc,
-26.80_perc,46.97_perc,
-7.65_perc,,
-16.64_perc,37.64_perc,
49.25_perc,2.98_perc,
-19.69_perc,-26.99_perc,-6.51_perc
-35.75_perc,37.54_perc,-27.72_perc
-29.30_perc,-48.42_perc,
0.79_perc,-14.19_perc,
-31.33_perc,21.21_perc,38.10_perc
-33.25_perc,30.80_perc,
35.87_perc,-9.05_perc,
-31.29_perc,-38.93_perc,14.18_perc
-12.40_perc,-32.62_perc,3.82_perc
-17.22_perc,21.59_perc,
39.12_perc,-7.62_perc,40.35_perc
-42.68_perc,-38.10_perc,-17.44_perc
-18.48_perc,32.26_perc,
-43.58_perc,41.32_perc,
3.05_perc,-21.95_perc,-29.39_perc
-35.12_perc,-6.04_perc,
69.57_perc,-18.11_perc,
-29.92_perc,-35.88_perc,-16.95_perc
-27.65_perc,-16.66_perc,-46.92_perc
-32.43_perc,8.93_perc,
-32.97_perc,-25.83_perc,-16.00_perc
-38.10_perc,-14.44_perc,
-9.73_perc,-29.95_perc,-23.43_perc
11.54_perc,86.70_perc,
3.14_perc,-23.20_perc,
-7.51_perc,14.49_perc,-13.00_perc
-11.63_perc,3.31_perc,-27.51_perc
-10.03_perc,-0.41_perc,3.39_perc
45.51_perc,26.23_perc,
-29.93_perc,-21.41_perc,
-37.34_perc,30.93_perc,-26.61_perc
-7.59_perc,26.62_perc,-17.39_perc
22.52_perc,64.61_perc,-10.83_perc
none,57.94_perc,-17.15_perc
21.32_perc,4.42_perc,-20.59_perc
12.04_perc,4.76_perc,
39.29_perc,7.99_perc,
-21.26_perc,42.98_perc,
-49.81_perc,-5.30_perc,-9.08_perc
-45.92_perc,22.37_perc,
-15.82_perc,3.10_perc,
-43.43_perc,-4.87_perc,-9.59_perc
-12.71_perc,10.85_perc,-13.86_perc
-1.86_perc,3.87_perc,
43.39_perc,-6.94_perc,-24.74_perc
-17.69_perc,-34.03_perc,45.77_perc
none,-8.23_perc,
-24.52_perc,28.29_perc,-12.76_perc
22.51_perc,20.79_perc,
-6.87_perc,-15.00_perc,21.18_perc
22.38_perc,-33.57_perc,
-5.26_perc,-19.52_perc,9.43_perc
52.85_perc,-31.86_perc,
-8.50_perc,-19.43_perc,-4.08_perc
-20.33_perc,-19.11_perc,-23.55_perc
-11.10_perc,7.33_perc,-31.36_perc
7.69_perc,-8.86_perc,-13.93_perc
-9.60_perc,-27.09_perc,-52.50_perc
-34.00_perc,34.22_perc,4.44_perc
-6.38_perc,-11.65_perc,-35.13_perc
14.61_perc,6.95_perc,
139.35_perc,-37.04_perc,
-34.94_perc,-18.06_perc,-53.88_perc
-9.81_perc,-2.48_perc,-14.24_perc
36.70_perc,1.31_perc,
11.37_perc,65.07_perc,-28.98_perc
-31.14_perc,-38.06_perc,-37.58_perc
-9.40_perc,19.12_perc,
-6.32_perc,-28.01_perc,-32.05_perc
-50.20_perc,-11.89_perc,
-20.41_perc,50.60_perc,-38.00_perc
-28.39_perc,-8.64_perc,
-24.56_perc,-6.84_perc,-12.64_perc
-24.78_perc,-8.47_perc,
-20.83_perc,-34.02_perc,
-17.24_perc,8.64_perc,
