01-DDD-change1y,00-avengers-change_1_year,04-iGMM-change_1year
-11.39_perc,-29.94_perc,
32.14_perc,37.71_perc,-81.21_perc
30.81_perc,-34.57_perc,
-37.68_perc,-23.81_perc,
-15.02_perc,-30.53_perc,
-11.19_perc,-11.97_perc,430.30_perc
-2.86_perc,-21.62_perc,
-11.55_perc,-36.27_perc,
-2.44_perc,-39.21_perc,
36.10_perc,-14.88_perc,
-4.85_perc,-18.00_perc,
-26.21_perc,-46.23_perc,
-17.34_perc,35.83_perc,
-0.49_perc,7.30_perc,-69.70_perc
-17.23_perc,-9.79_perc,
-62.19_perc,142.68_perc,
-25.07_perc,-25.05_perc,
-19.28_perc,39.45_perc,
-7.54_perc,15.82_perc,
-8.35_perc,-40.93_perc,
-11.34_perc,15.86_perc,-71.43_perc
1.94_perc,-14.13_perc,
-2.52_perc,-9.15_perc,
-15.78_perc,-41.95_perc,-79.65_perc
7.98_perc,,
70.14_perc,,-83.41_perc
-10.00_perc,-3.28_perc,
24.28_perc,-18.18_perc,114.04_perc
-21.01_perc,-31.22_perc,
-17.86_perc,-61.30_perc,-62.26_perc
-4.25_perc,-44.93_perc,-87.04_perc
-5.59_perc,-14.77_perc,
-24.77_perc,-23.68_perc,
-14.71_perc,-62.70_perc,
10.71_perc,-42.39_perc,-59.75_perc
12.74_perc,-56.73_perc,
-26.19_perc,-39.87_perc,
-15.65_perc,36.93_perc,-93.80_perc
31.44_perc,46.13_perc,-85.92_perc
-29.03_perc,-27.64_perc,161.62_perc
-34.13_perc,-30.79_perc,
38.09_perc,-45.95_perc,-99.38_perc
-0.23_perc,-1.60_perc,
-29.28_perc,-78.24_perc,
-20.09_perc,,-83.33_perc
3.86_perc,-40.76_perc,
-12.99_perc,5.92_perc,
-11.36_perc,-28.36_perc,
-14.54_perc,-33.19_perc,
11.85_perc,44.67_perc,
-20.69_perc,-15.98_perc,836.11_perc
125.00_perc,-20.21_perc,
-24.13_perc,105.29_perc,
-9.85_perc,-56.41_perc,
16.81_perc,-63.94_perc,-100.00_perc
32.73_perc,1.47_perc,
-6.81_perc,-36.96_perc,
3.01_perc,-36.97_perc,
23.81_perc,10.14_perc,
-18.79_perc,-22.73_perc,
-17.14_perc,-17.58_perc,
15.19_perc,-23.46_perc,
-10.19_perc,25.24_perc,
62.74_perc,0.08_perc,
-25.72_perc,-44.76_perc,
-3.35_perc,74.47_perc,
37.46_perc,-12.53_perc,
-3.25_perc,-44.23_perc,
-34.11_perc,-52.69_perc,-90.38_perc
4.24_perc,-26.97_perc,
88.33_perc,18.07_perc,
52.51_perc,107.95_perc,
0.39_perc,-62.35_perc,-82.56_perc
5.89_perc,-23.08_perc,-93.79_perc
1.79_perc,62.59_perc,
-3.23_perc,-11.00_perc,-96.63_perc
-19.12_perc,-60.25_perc,
-16.44_perc,-24.18_perc,-100.00_perc
-27.02_perc,-23.56_perc,-75.24_perc
-12.37_perc,11.11_perc,-60.27_perc
47.61_perc,-15.90_perc,
-31.65_perc,7.95_perc,
29.63_perc,-65.25_perc,-81.82_perc
-18.12_perc,7.51_perc,
-6.02_perc,-23.97_perc,
-26.33_perc,29.04_perc,
-13.64_perc,30.82_perc,
-52.81_perc,-29.24_perc,-72.90_perc
-9.50_perc,7.98_perc,-78.06_perc
-8.67_perc,-30.64_perc,-94.30_perc
16.16_perc,-66.67_perc,
13.87_perc,-24.87_perc,
-25.04_perc,23.10_perc,50.00_perc
-59.42_perc,,
-23.62_perc,-53.43_perc,
-22.53_perc,80.00_perc,-95.55_perc
1.33_perc,151.73_perc,
none,-39.78_perc,
-3.28_perc,-58.08_perc,
-47.87_perc,338.60_perc,-96.78_perc
-13.54_perc,-6.67_perc,85.37_perc
-30.73_perc,-24.88_perc,-85.90_perc
0.00_perc,22.73_perc,
-19.53_perc,77.30_perc,
-39.92_perc,83.33_perc,
-9.94_perc,-2.08_perc,
28.57_perc,-50.00_perc,
9.79_perc,1.60_perc,
-38.46_perc,-50.95_perc,
3.99_perc,-45.32_perc,
-39.00_perc,-36.74_perc,
2.82_perc,37.40_perc,
5.38_perc,-9.75_perc,
-24.79_perc,33.73_perc,-91.70_perc
-16.39_perc,-40.50_perc,
-29.51_perc,18.61_perc,
-33.09_perc,-33.83_perc,
none,-0.41_perc,
-65.56_perc,27.39_perc,
-3.14_perc,65.27_perc,250.00_perc
-30.07_perc,-37.35_perc,
-23.71_perc,-16.87_perc,
-36.65_perc,-58.23_perc,36.36_perc
-10.28_perc,47.55_perc,
-31.11_perc,-56.89_perc,
6.45_perc,-10.34_perc,
-4.04_perc,34.68_perc,-92.39_perc
-80.89_perc,-71.51_perc,
-23.97_perc,-69.83_perc,-95.52_perc
44.88_perc,-34.42_perc,
7.04_perc,-46.86_perc,
-4.41_perc,-43.59_perc,
13.11_perc,24.24_perc,-60.50_perc
2.66_perc,-67.17_perc,
-26.98_perc,-56.40_perc,
-3.91_perc,-47.77_perc,
-23.42_perc,-79.79_perc,
12.70_perc,-58.18_perc,
-15.51_perc,36.14_perc,
1.76_perc,-5.64_perc,
-3.73_perc,-23.12_perc,
25.06_perc,52.20_perc,-72.73_perc
-27.13_perc,-47.35_perc,
-14.92_perc,-19.90_perc,-93.65_perc
-43.41_perc,-25.64_perc,0.00_perc
13.99_perc,-64.25_perc,
-1.64_perc,-55.65_perc,
10.16_perc,-63.24_perc,157.89_perc
-48.22_perc,98.06_perc,-78.78_perc
-4.08_perc,-41.04_perc,
-34.79_perc,-80.40_perc,
-22.34_perc,-45.02_perc,-75.43_perc
-20.66_perc,28.72_perc,
-0.16_perc,-47.10_perc,
27.75_perc,-83.47_perc,
50.37_perc,5.50_perc,
-3.46_perc,329.52_perc,
-0.09_perc,-13.55_perc,
32.96_perc,-46.20_perc,
-0.58_perc,85.19_perc,-58.65_perc
-28.70_perc,145.31_perc,116.00_perc
59.96_perc,-76.97_perc,
-30.02_perc,-18.42_perc,
none,37.43_perc,
2.40_perc,-64.30_perc,
-36.66_perc,-70.88_perc,
33.69_perc,35.49_perc,
-22.35_perc,-35.00_perc,
-25.44_perc,-89.64_perc,
3.69_perc,-59.02_perc,
-19.28_perc,,
-16.31_perc,93.33_perc,
23.76_perc,-56.74_perc,
-9.27_perc,-12.18_perc,
-21.30_perc,-26.59_perc,-70.49_perc
-33.55_perc,-59.20_perc,
-17.83_perc,259.65_perc,
-34.31_perc,-47.37_perc,-67.44_perc
-3.93_perc,-65.70_perc,
-43.10_perc,69.83_perc,
-19.93_perc,-13.94_perc,
-69.35_perc,4.06_perc,
8.74_perc,-65.49_perc,-64.44_perc
-20.96_perc,,
-42.33_perc,-50.00_perc,
23.80_perc,-52.61_perc,
-10.08_perc,-52.87_perc,208.20_perc
-14.94_perc,-28.45_perc,
-7.53_perc,-53.63_perc,
-27.41_perc,-13.07_perc,
-28.32_perc,-17.00_perc,-24.43_perc
-56.70_perc,-54.74_perc,-92.23_perc
-17.18_perc,-24.35_perc,
13.68_perc,-85.08_perc,-92.58_perc
-12.64_perc,-9.85_perc,
17.30_perc,-26.25_perc,
-20.19_perc,-38.88_perc,
1.50_perc,10.71_perc,
34.23_perc,-63.62_perc,
-36.98_perc,-2.60_perc,
-25.39_perc,-32.26_perc,-47.46_perc
-10.15_perc,-68.45_perc,
-32.17_perc,-69.60_perc,
44.76_perc,-33.92_perc,
-24.96_perc,-51.01_perc,
-25.33_perc,48.90_perc,
16.44_perc,58.42_perc,
28.05_perc,-32.72_perc,
-20.21_perc,2.23_perc,
-20.86_perc,81.74_perc,
12.22_perc,-27.32_perc,
-3.70_perc,-41.67_perc,
-18.45_perc,0.47_perc,
-42.13_perc,1.79_perc,
-2.40_perc,0.00_perc,
-54.67_perc,-15.32_perc,-83.54_perc
-14.35_perc,-31.48_perc,
-24.05_perc,-29.72_perc,
-28.42_perc,-29.85_perc,
20.99_perc,-28.77_perc,
40.00_perc,156.72_perc,
none,10.00_perc,-72.57_perc
-25.75_perc,-1.04_perc,
19.73_perc,42.14_perc,-61.52_perc
-6.62_perc,15.65_perc,
27.70_perc,-55.34_perc,
-25.77_perc,,-92.02_perc
-22.84_perc,-75.05_perc,516.88_perc
-19.52_perc,-72.44_perc,-65.73_perc
8.04_perc,-91.46_perc,-71.95_perc
-15.07_perc,-76.74_perc,
13.61_perc,-54.37_perc,
-15.30_perc,,
-34.63_perc,-55.43_perc,-98.79_perc
1.85_perc,-42.40_perc,-63.91_perc
21.13_perc,-34.19_perc,
-16.09_perc,-9.32_perc,
0.80_perc,-7.93_perc,
-8.76_perc,-47.11_perc,-57.35_perc
8.87_perc,-35.27_perc,
18.23_perc,-11.79_perc,
-7.30_perc,-42.97_perc,-19.30_perc
0.84_perc,15.34_perc,-93.85_perc
-0.79_perc,-26.07_perc,
2.53_perc,-40.67_perc,
-11.89_perc,-28.80_perc,
-11.56_perc,79.03_perc,-13.95_perc
-11.24_perc,-3.45_perc,-66.67_perc
-15.72_perc,-62.58_perc,
-10.81_perc,-25.47_perc,
-21.40_perc,35.70_perc,
-18.47_perc,-30.82_perc,
-34.27_perc,-24.30_perc,
10.94_perc,-27.21_perc,
-37.64_perc,-73.15_perc,
-32.47_perc,-37.01_perc,
27.76_perc,-66.12_perc,-42.86_perc
-32.29_perc,25.00_perc,249.41_perc
-38.68_perc,-32.62_perc,
-17.52_perc,14.49_perc,
2.92_perc,-74.92_perc,
-18.59_perc,-88.67_perc,
-7.97_perc,-85.38_perc,-79.33_perc
-11.79_perc,5.60_perc,
-11.81_perc,-86.09_perc,-59.18_perc
-7.12_perc,-49.65_perc,
59.58_perc,0.96_perc,
-16.50_perc,-13.39_perc,
-26.72_perc,-1.85_perc,-72.82_perc
-24.74_perc,-29.49_perc,-72.87_perc
-25.38_perc,28.77_perc,
-42.10_perc,-66.67_perc,
4.12_perc,-16.87_perc,
5.88_perc,-3.93_perc,
-13.33_perc,-29.02_perc,-93.33_perc
-1.71_perc,-7.26_perc,
-14.09_perc,40.80_perc,
-33.64_perc,-78.64_perc,-87.50_perc
-2.98_perc,-23.08_perc,-81.72_perc
-10.93_perc,-79.40_perc,
-11.46_perc,-25.94_perc,
15.34_perc,-51.10_perc,
-3.00_perc,3.62_perc,
-10.20_perc,-79.75_perc,
-2.48_perc,-57.52_perc,
1.26_perc,-30.51_perc,
-3.87_perc,6.54_perc,
-18.35_perc,-74.78_perc,-80.00_perc
-17.48_perc,,272.81_perc
-5.31_perc,-35.98_perc,-82.99_perc
16.97_perc,-71.55_perc,-93.68_perc
-3.09_perc,-14.56_perc,
7.68_perc,-46.40_perc,
-23.59_perc,-47.46_perc,
22.86_perc,-20.00_perc,
30.31_perc,"6,055.56_perc",127.56_perc
-16.61_perc,-82.32_perc,
-41.85_perc,-79.52_perc,
-79.26_perc,-73.55_perc,441.03_perc
-44.30_perc,-90.98_perc,
-0.76_perc,-50.00_perc,-52.45_perc
-28.97_perc,-23.91_perc,-74.36_perc
-22.52_perc,-37.14_perc,
-10.40_perc,-22.26_perc,-52.63_perc
-9.61_perc,20.34_perc,
46.74_perc,1.30_perc,
-17.59_perc,-34.33_perc,-50.00_perc
-21.05_perc,-76.37_perc,
36.30_perc,-72.54_perc,-58.92_perc
-14.37_perc,-73.34_perc,
-15.11_perc,-85.73_perc,-12.91_perc
-11.52_perc,-35.37_perc,
-9.20_perc,,
-18.88_perc,-19.44_perc,
3.99_perc,-18.97_perc,
-7.20_perc,-81.30_perc,
35.11_perc,-7.66_perc,
-13.61_perc,-89.97_perc,
-11.31_perc,-22.78_perc,
-22.01_perc,-66.06_perc,
-7.18_perc,-60.00_perc,
-32.05_perc,-18.88_perc,
-19.47_perc,-93.35_perc,
9.74_perc,-60.00_perc,
29.74_perc,-50.97_perc,
21.16_perc,-88.59_perc,-25.22_perc
4.32_perc,,459.68_perc
-30.28_perc,-77.35_perc,
-8.25_perc,,
-39.71_perc,-37.66_perc,
-8.91_perc,-32.81_perc,-67.50_perc
-2.54_perc,-61.48_perc,-63.39_perc
-3.29_perc,-44.44_perc,
12.56_perc,225.00_perc,
-90.06_perc,-88.88_perc,
-39.74_perc,-28.57_perc,
-12.66_perc,-28.42_perc,
4.14_perc,-71.13_perc,
-21.34_perc,3.20_perc,
17.41_perc,-58.56_perc,
-44.03_perc,-87.85_perc,-78.78_perc
32.13_perc,-57.01_perc,
119.87_perc,,
7.36_perc,-42.05_perc,
-21.71_perc,-32.45_perc,
-19.34_perc,-21.86_perc,
2.97_perc,-16.49_perc,
5.73_perc,279.49_perc,
-15.77_perc,-84.75_perc,-90.04_perc
-12.64_perc,-29.34_perc,
-71.68_perc,63.75_perc,
10.60_perc,400.00_perc,34.04_perc
-11.27_perc,-5.93_perc,
-53.24_perc,-98.29_perc,
-27.91_perc,23.76_perc,
17.80_perc,-33.33_perc,-32.43_perc
-22.58_perc,,
26.33_perc,-91.18_perc,-57.14_perc
-49.04_perc,-75.00_perc,0.00_perc
-20.87_perc,-66.99_perc,24.94_perc
-23.93_perc,-63.08_perc,
-35.09_perc,63.68_perc,
-35.34_perc,,
-33.02_perc,-89.54_perc,
-12.36_perc,-85.75_perc,
-26.46_perc,-68.09_perc,
-71.15_perc,-93.17_perc,
19.43_perc,-31.74_perc,
5.21_perc,-82.69_perc,
none,,-75.26_perc
-7.82_perc,-48.16_perc,-76.92_perc
-16.80_perc,-64.82_perc,-92.87_perc
-20.00_perc,635.19_perc,
-9.50_perc,-17.67_perc,-69.74_perc
-25.25_perc,,
-6.19_perc,-85.23_perc,
15.11_perc,-4.44_perc,-37.00_perc
-8.97_perc,-67.72_perc,
8.08_perc,-92.74_perc,
-9.01_perc,-96.14_perc,-11.11_perc
-40.56_perc,-79.44_perc,-7.84_perc
19.09_perc,-96.25_perc,
-34.44_perc,-89.61_perc,-67.32_perc
-20.04_perc,17.09_perc,
-6.41_perc,-78.46_perc,
42.49_perc,-70.49_perc,-27.62_perc
-24.13_perc,30.86_perc,-34.48_perc
-11.76_perc,-98.58_perc,
-25.83_perc,-50.18_perc,238.46_perc
-30.88_perc,,-73.57_perc
-12.08_perc,-100.00_perc,-18.52_perc
-20.90_perc,,
-6.67_perc,-10.22_perc,
-31.06_perc,-10.22_perc,
-3.72_perc,-8.37_perc,-71.68_perc
29.17_perc,-99.98_perc,
-9.74_perc,-99.99_perc,-59.94_perc
-23.75_perc,-100.00_perc,
-17.81_perc,,
2.38_perc,-99.62_perc,
-11.85_perc,,-23.66_perc
42.95_perc,-70.00_perc,
-31.92_perc,-73.75_perc,-72.56_perc
-26.61_perc,-61.00_perc,
-51.87_perc,-99.26_perc,
-5.37_perc,0.00_perc,-9.09_perc
-10.49_perc,-80.21_perc,-53.85_perc
-5.64_perc,,
-31.30_perc,-23.33_perc,
-65.83_perc,"1,495.00_perc",-80.97_perc
-4.80_perc,-97.71_perc,
18.52_perc,-66.67_perc,-80.83_perc
-28.97_perc,-92.35_perc,-88.93_perc
-2.20_perc,-100.00_perc,
-0.52_perc,-95.16_perc,
-39.16_perc,-94.91_perc,
-47.37_perc,-52.18_perc,-54.64_perc
-17.53_perc,-78.42_perc,
32.65_perc,-10.00_perc,
-26.41_perc,-66.90_perc,
180.43_perc,-21.43_perc,
-35.78_perc,-92.92_perc,
-24.97_perc,,
-34.95_perc,-71.58_perc,-13.40_perc
-9.04_perc,-96.72_perc,
6.87_perc,-85.71_perc,
none,-1.55_perc,
-8.00_perc,-78.72_perc,-43.34_perc
none,-58.33_perc,
5.72_perc,236.96_perc,
-19.58_perc,"1,787.76_perc",
6.39_perc,244.44_perc,
-52.81_perc,-86.87_perc,-82.08_perc
-50.20_perc,"2,092.31_perc",-25.64_perc
37.31_perc,-81.42_perc,
-36.16_perc,-57.25_perc,
11.08_perc,-72.22_perc,-0.95_perc
-27.35_perc,-70.00_perc,-52.32_perc
-21.48_perc,43.63_perc,31.46_perc
-35.58_perc,-65.77_perc,
-75.66_perc,75.50_perc,
-30.51_perc,-64.84_perc,
-8.90_perc,-73.33_perc,
-51.29_perc,-78.71_perc,
13.65_perc,-4.14_perc,
37.79_perc,-95.93_perc,
-36.26_perc,-20.00_perc,-15.33_perc
-5.10_perc,-96.84_perc,
-25.79_perc,-99.61_perc,-18.18_perc
-7.50_perc,-90.63_perc,-4.55_perc
-28.57_perc,-59.85_perc,-43.56_perc
16.67_perc,-41.42_perc,
-58.93_perc,-92.40_perc,
-55.34_perc,-80.67_perc,
-40.73_perc,,-87.13_perc
3.40_perc,48.69_perc,-91.29_perc
-13.90_perc,-98.64_perc,
-32.36_perc,-63.29_perc,
-2.29_perc,,
-1.04_perc,-87.80_perc,
36.24_perc,-38.49_perc,
-23.02_perc,216.04_perc,
121.52_perc,-85.74_perc,
36.38_perc,,-30.43_perc
0.83_perc,-52.25_perc,-45.86_perc
17.96_perc,59.09_perc,
13.09_perc,-66.67_perc,
122.42_perc,164.37_perc,
-28.70_perc,-90.67_perc,
-18.03_perc,-69.61_perc,-25.00_perc
0.09_perc,-34.93_perc,
-31.78_perc,-22.58_perc,-72.98_perc
-17.51_perc,-88.00_perc,
-14.90_perc,-85.83_perc,
-2.87_perc,-64.45_perc,-83.41_perc
5.23_perc,-50.00_perc,
-12.12_perc,296.30_perc,
-14.24_perc,,
-30.03_perc,,-11.38_perc
3.30_perc,392.55_perc,
-8.95_perc,-63.06_perc,-40.69_perc
11.51_perc,,
1.75_perc,-13.64_perc,
-46.32_perc,,
-9.09_perc,-47.25_perc,
-31.21_perc,328.57_perc,
20.08_perc,-85.27_perc,
14.35_perc,-81.40_perc,
5.05_perc,-85.47_perc,-27.56_perc
-12.39_perc,-25.00_perc,
-10.20_perc,-37.50_perc,-39.01_perc
-10.43_perc,,
-24.93_perc,,
-23.60_perc,-80.76_perc,
-1.86_perc,-90.08_perc,
8.41_perc,-71.11_perc,-61.60_perc
-18.59_perc,,-51.12_perc
-27.59_perc,-70.88_perc,
-19.65_perc,-72.00_perc,-41.18_perc
-27.54_perc,-58.33_perc,2.61_perc
none,-66.98_perc,
3.57_perc,-24.07_perc,
-7.66_perc,0.00_perc,-63.43_perc
12.18_perc,-6.67_perc,-18.84_perc
-5.81_perc,0.00_perc,
none,-96.29_perc,55.14_perc
-26.82_perc,190.16_perc,-82.38_perc
-27.50_perc,-21.43_perc,
-16.24_perc,,-83.37_perc
-29.02_perc,3.09_perc,
-7.58_perc,-2.28_perc,
-7.70_perc,366.67_perc,-55.28_perc
44.79_perc,-63.51_perc,
2.37_perc,-92.99_perc,
-2.68_perc,,
-20.56_perc,-50.00_perc,
-35.65_perc,-23.42_perc,
-1.96_perc,874.36_perc,-84.00_perc
-12.12_perc,-47.70_perc,
-55.03_perc,402.56_perc,-76.58_perc
-31.52_perc,,
21.40_perc,-41.58_perc,
11.33_perc,60.76_perc,
-15.30_perc,220.10_perc,
-46.05_perc,-37.50_perc,
-22.26_perc,,-82.94_perc
6.45_perc,-76.45_perc,
-1.88_perc,-65.57_perc,
-33.46_perc,261.54_perc,-79.03_perc
24.46_perc,77.94_perc,-66.86_perc
-27.50_perc,-73.55_perc,-52.00_perc
-14.29_perc,-84.19_perc,-65.03_perc
-13.50_perc,-30.65_perc,
-25.87_perc,,
-16.17_perc,148.96_perc,
-13.88_perc,78.57_perc,
192.66_perc,-31.25_perc,-11.76_perc
-20.97_perc,-87.30_perc,-61.12_perc
-13.33_perc,-38.32_perc,
-37.29_perc,-47.60_perc,
-30.25_perc,-93.39_perc,
-9.27_perc,,-2.67_perc
-53.53_perc,-88.71_perc,
-7.84_perc,-17.79_perc,-94.29_perc
-13.86_perc,-37.63_perc,
12.84_perc,21.34_perc,-66.24_perc
-2.37_perc,-39.44_perc,
20.77_perc,-51.75_perc,-47.29_perc
4.14_perc,-39.13_perc,-26.81_perc
-32.42_perc,299.17_perc,-83.21_perc
27.59_perc,0.00_perc,62.34_perc
-26.73_perc,,-85.19_perc
6.65_perc,-83.79_perc,-25.18_perc
-0.44_perc,-51.25_perc,
18.46_perc,-34.96_perc,
-1.77_perc,-55.61_perc,-6.67_perc
1.29_perc,-70.21_perc,
-0.57_perc,9.31_perc,9.52_perc
-33.01_perc,-92.21_perc,
24.45_perc,-68.66_perc,
-22.67_perc,567.23_perc,
-0.60_perc,-71.67_perc,
-5.37_perc,-93.94_perc,
-20.10_perc,357.14_perc,
5.64_perc,-73.93_perc,
-2.79_perc,-57.01_perc,-39.40_perc
-14.12_perc,-93.12_perc,
-7.32_perc,-62.94_perc,
7.93_perc,-34.92_perc,
28.75_perc,"1,068.18_perc",
-26.39_perc,-63.84_perc,-49.28_perc
-18.08_perc,-51.21_perc,-30.75_perc
-31.97_perc,-44.44_perc,
none,-39.92_perc,
31.62_perc,"1,678.17_perc",-28.20_perc
-6.68_perc,-84.74_perc,
-24.53_perc,-98.74_perc,-76.00_perc
-35.25_perc,-26.15_perc,-23.62_perc
20.48_perc,-51.38_perc,
-24.18_perc,-49.49_perc,-16.28_perc
-40.79_perc,-63.10_perc,
-12.54_perc,-87.76_perc,
-15.13_perc,-55.56_perc,
73.81_perc,-35.48_perc,
-25.71_perc,-62.16_perc,-79.32_perc
-42.17_perc,-58.11_perc,
8.20_perc,-29.64_perc,
-12.87_perc,-21.84_perc,-29.94_perc
-11.35_perc,-92.99_perc,
-5.90_perc,-96.89_perc,
15.64_perc,-63.44_perc,
16.54_perc,-85.16_perc,26.19_perc
-14.06_perc,-20.00_perc,-47.59_perc
-17.94_perc,-46.03_perc,
-22.78_perc,11.51_perc,
-9.17_perc,16.36_perc,
20.25_perc,-57.89_perc,
-18.77_perc,-47.58_perc,
-0.36_perc,-35.45_perc,
30.30_perc,-35.00_perc,-91.93_perc
-19.73_perc,,
0.00_perc,-73.67_perc,
84.94_perc,-93.99_perc,
4.40_perc,-45.96_perc,
3.05_perc,-88.16_perc,
21.57_perc,-90.82_perc,
-64.92_perc,-63.64_perc,-36.89_perc
1.22_perc,324.05_perc,
-23.47_perc,-69.77_perc,
7.33_perc,-31.36_perc,
-48.11_perc,-59.04_perc,-73.55_perc
-8.04_perc,-73.81_perc,-42.16_perc
-9.93_perc,-66.97_perc,-75.89_perc
5.56_perc,-78.70_perc,-65.09_perc
13.86_perc,-92.54_perc,
-4.35_perc,,
-9.96_perc,-63.64_perc,
23.81_perc,-45.63_perc,
-7.02_perc,-98.91_perc,-56.04_perc
-15.77_perc,-79.76_perc,
13.75_perc,-81.23_perc,
-9.37_perc,-38.73_perc,
54.30_perc,-56.09_perc,
-49.97_perc,-85.91_perc,-58.55_perc
-2.53_perc,662.96_perc,
-8.13_perc,-42.96_perc,
-18.48_perc,-92.18_perc,-12.25_perc
8.88_perc,-35.95_perc,
4.15_perc,-54.48_perc,
17.61_perc,-80.00_perc,
-16.94_perc,-75.11_perc,
16.50_perc,,
20.82_perc,-5.77_perc,-32.88_perc
-57.45_perc,-38.00_perc,
-28.03_perc,-51.83_perc,-94.97_perc
22.87_perc,6.43_perc,
-10.51_perc,22.55_perc,
-40.92_perc,-79.67_perc,38.43_perc
17.47_perc,-81.65_perc,-44.55_perc
4.30_perc,-68.82_perc,
-13.29_perc,-83.04_perc,-82.74_perc
-14.10_perc,-81.71_perc,
-42.69_perc,-5.21_perc,
-12.10_perc,,
10.34_perc,"2,153.09_perc",
45.64_perc,-42.94_perc,
-57.28_perc,-3.70_perc,
13.25_perc,-66.57_perc,
-11.56_perc,66.33_perc,
36.67_perc,-67.39_perc,
57.77_perc,-47.25_perc,
28.24_perc,-77.56_perc,51.85_perc
-10.44_perc,-51.72_perc,6.85_perc
-18.65_perc,-42.86_perc,-82.09_perc
-11.58_perc,-23.53_perc,2.45_perc
50.91_perc,113.26_perc,-44.28_perc
-31.15_perc,-20.96_perc,
-36.28_perc,-90.70_perc,
-25.88_perc,-83.33_perc,
17.07_perc,-62.61_perc,
-53.66_perc,227.27_perc,
4.95_perc,,-43.54_perc
none,-16.64_perc,
-26.30_perc,-43.52_perc,-75.34_perc
1.17_perc,-58.68_perc,-20.00_perc
-20.47_perc,-48.84_perc,-80.29_perc
-52.93_perc,-65.66_perc,1.71_perc
-2.39_perc,-83.65_perc,-47.22_perc
-25.32_perc,-41.99_perc,
-10.76_perc,,
-9.50_perc,-50.00_perc,
-47.96_perc,-20.59_perc,
-11.13_perc,61.30_perc,
-7.61_perc,-77.73_perc,
-19.15_perc,,
48.88_perc,"1,150.00_perc",-26.67_perc
-3.91_perc,-7.59_perc,-68.77_perc
-15.03_perc,,
29.32_perc,,-75.49_perc
24.32_perc,-52.46_perc,-68.86_perc
-4.81_perc,166.21_perc,
-0.94_perc,16.73_perc,
0.43_perc,-67.65_perc,-0.89_perc
-32.25_perc,-33.64_perc,
0.42_perc,36.27_perc,
2.07_perc,-24.32_perc,4.02_perc
-1.98_perc,-40.42_perc,
-9.53_perc,-50.63_perc,-55.06_perc
-44.36_perc,-32.22_perc,
-37.26_perc,-53.78_perc,-32.43_perc
-4.27_perc,-87.48_perc,
-3.61_perc,-59.44_perc,
-17.49_perc,-92.26_perc,
-81.75_perc,-16.79_perc,-77.95_perc
-13.21_perc,-36.14_perc,-70.75_perc
4.99_perc,-44.11_perc,
24.08_perc,,
-22.57_perc,-92.50_perc,
-3.32_perc,-11.32_perc,
53.88_perc,36.69_perc,
-29.99_perc,-36.31_perc,18.87_perc
-46.71_perc,-70.96_perc,-81.10_perc
-34.07_perc,-30.11_perc,-81.82_perc
-6.14_perc,-21.71_perc,
-2.97_perc,-8.67_perc,-88.87_perc
35.65_perc,-78.54_perc,
22.94_perc,29.43_perc,
-45.31_perc,31.49_perc,-54.01_perc
13.99_perc,-66.52_perc,
-17.56_perc,"1,013.04_perc",
2.35_perc,,-94.06_perc
-45.51_perc,61.11_perc,
-6.40_perc,50.87_perc,-65.86_perc
8.08_perc,-85.42_perc,-21.76_perc
-5.93_perc,,-79.68_perc
-20.25_perc,-54.46_perc,-14.57_perc
-31.77_perc,-77.11_perc,
-12.84_perc,,
-8.88_perc,-88.53_perc,
-1.41_perc,-13.20_perc,
-9.09_perc,11.62_perc,
-4.70_perc,,
-31.07_perc,947.14_perc,
-32.43_perc,-72.73_perc,
5.09_perc,-20.00_perc,
-17.95_perc,-40.00_perc,-5.66_perc
-4.83_perc,43.75_perc,
-31.36_perc,-31.25_perc,
18.72_perc,-69.63_perc,
1.38_perc,-38.93_perc,
-10.88_perc,-55.09_perc,
24.55_perc,,
2.33_perc,,
-15.91_perc,-77.27_perc,
-25.55_perc,"1,089.74_perc",
-39.89_perc,-61.21_perc,-62.34_perc
-1.48_perc,-35.66_perc,
54.12_perc,-21.86_perc,
5.93_perc,-42.20_perc,-46.08_perc
-10.96_perc,-38.21_perc,
-4.64_perc,-12.92_perc,50.43_perc
6.95_perc,,
-19.70_perc,-95.12_perc,
-13.45_perc,-49.25_perc,-46.67_perc
7.41_perc,-68.68_perc,-24.94_perc
-6.83_perc,-31.31_perc,
-2.88_perc,40.63_perc,
6.92_perc,-54.45_perc,
-22.65_perc,-34.16_perc,
14.33_perc,-78.13_perc,-8.57_perc
-0.36_perc,-45.85_perc,31.18_perc
-21.15_perc,-47.37_perc,
-29.02_perc,-65.80_perc,30.21_perc
4.64_perc,-71.53_perc,
-71.13_perc,-24.39_perc,
-6.50_perc,"1,670.97_perc",37.48_perc
-1.39_perc,-35.13_perc,62.98_perc
-17.83_perc,-78.13_perc,-6.92_perc
-15.01_perc,,
-11.37_perc,-34.74_perc,-61.83_perc
-33.41_perc,,
5.24_perc,-34.69_perc,
-40.63_perc,,
15.82_perc,-64.39_perc,-21.28_perc
11.84_perc,-82.33_perc,
-13.59_perc,-15.03_perc,
-34.75_perc,-35.48_perc,
29.23_perc,-10.53_perc,-79.84_perc
-5.69_perc,-36.27_perc,
12.77_perc,"96,700.00_perc",
-30.07_perc,-60.00_perc,6.64_perc
