00-avengers-market_cap,03-gren-market_capitalization_usd,01-DDD-marketcap,04-iGMM-marketcap,05-MalPatSaj-marketcap,09-wissel-marketcap,06-MarScoToc-master_cap,02-GioPonSpiz-pricecap
doll_18.30 b,17340000000.0,doll_3.80 b,,doll_17.69 b,doll_0.49 b,doll_18.03 b,doll_18.06 b
doll_18.33 b,17330000000.0,doll_3.80 b,,doll_17.67 b,doll_0.58 b,doll_18.01 b,doll_18.02 b
doll_18.40 b,17290000000.0,doll_3.80 b,doll_2.99 B,doll_17.65 b,doll_2.47 b,doll_17.99 b,doll_18.02 b
doll_18.39 b,17240000000.0,doll_3.79 b,doll_2.99 B,doll_17.65 b,doll_2.34 b,doll_17.99 b,doll_18.01 b
doll_18.38 b,17240000000.0,doll_3.82 b,doll_2.99 B,doll_17.62 b,doll_0.58 b,doll_17.98 b,doll_17.98 b
doll_18.45 b,17240000000.0,doll_3.82 b,doll_2.99 B,doll_17.61 b,doll_0.42 b,doll_17.93 b,doll_17.93 b
doll_18.45 b,17220000000.0,doll_3.82 b,,,doll_0.78 b,doll_17.90 b,doll_17.92 b
doll_18.49 b,17210000000.0,doll_3.87 b,,doll_17.58 b,doll_0.29 b,doll_17.89 b,doll_17.91 b
doll_18.48 b,17210000000.0,doll_3.81 b,doll_2.84 B,doll_17.58 b,doll_0.74 b,doll_17.89 b,doll_17.90 b
doll_18.53 b,17210000000.0,doll_3.81 b,,doll_17.47 b,doll_3.93 b,doll_17.88 b,doll_17.88 b
doll_18.53 b,17200000000.0,doll_3.85 b,doll_2.80 B,doll_17.44 b,doll_0.16 b,doll_17.85 b,doll_17.87 b
doll_18.59 b,17180000000.0,doll_3.85 b,doll_2.80 B,,doll_76.33 m,doll_17.85 b,doll_17.85 b
doll_18.59 b,17160000000.0,doll_3.86 b,doll_2.81 B,doll_17.37 b,doll_2.01 b,doll_17.83 b,doll_17.80 b
doll_18.53 b,17130000000.0,doll_3.84 b,,doll_17.35 b,doll_0.74 b,doll_17.78 b,doll_17.80 b
doll_18.59 b,17130000000.0,doll_3.85 b,doll_2.80 B,doll_17.35 b,doll_0.25 b,doll_17.74 b,doll_17.79 b
doll_18.61 b,17100000000.0,doll_3.85 b,,doll_17.32 b,doll_0.18 b,doll_17.72 b,doll_17.79 b
doll_18.60 b,17090000000.0,doll_3.86 b,doll_2.81 B,doll_17.31 b,doll_0.37 b,doll_17.70 b,doll_17.78 b
doll_16.71 b,17080000000.0,doll_3.86 b,,doll_17.27 b,doll_55.39 m,doll_17.68 b,doll_17.77 b
doll_16.64 b,17070000000.0,doll_3.85 b,,doll_17.26 b,doll_1.77 b,doll_17.66 b,doll_17.71 b
doll_16.73 b,17030000000.0,doll_3.88 b,doll_2.81 B,doll_17.20 b,doll_1.39 b,doll_17.65 b,doll_17.68 b
doll_16.76 b,17030000000.0,doll_4.19 b,,doll_17.20 b,doll_1.41 b,doll_17.65 b,doll_17.66 b
doll_16.78 b,17030000000.0,doll_3.88 b,doll_2.82 B,doll_17.19 b,doll_0.24 b,doll_17.62 b,doll_17.64 b
doll_16.77 b,16980000000.0,doll_4.19 b,doll_2.83 B,doll_17.16 b,doll_0.52 b,doll_17.60 b,doll_17.62 b
doll_16.80 b,16970000000.0,doll_4.21 b,doll_2.83 B,doll_17.16 b,doll_1.39 b,doll_17.58 b,doll_17.61 b
doll_16.78 b,16900000000.0,doll_4.20 b,doll_2.83 B,doll_17.13 b,doll_0.59 b,doll_17.56 b,doll_17.60 b
doll_16.78 b,16890000000.0,doll_4.21 b,,doll_17.12 b,doll_1.69 b,doll_17.55 b,doll_17.57 b
doll_16.80 b,16860000000.0,doll_4.20 b,,doll_17.11 b,doll_3.25 b,doll_17.54 b,doll_17.54 b
doll_16.80 b,16800000000.0,doll_4.19 b,doll_2.83 B,doll_17.09 b,doll_92.36 m,doll_17.54 b,doll_17.54 b
doll_16.84 b,16800000000.0,doll_4.21 b,doll_2.83 B,doll_17.07 b,doll_3.27 b,doll_17.52 b,doll_17.53 b
doll_16.81 b,16780000000.0,doll_4.20 b,,doll_17.07 b,doll_2.04 b,doll_17.50 b,doll_17.51 b
doll_16.86 b,16760000000.0,doll_4.20 b,doll_2.84 B,doll_17.07 b,doll_1.71 b,doll_17.50 b,doll_17.48 b
doll_16.85 b,16730000000.0,doll_4.20 b,,doll_17.06 b,doll_6.57 b,doll_17.49 b,doll_17.39 b
doll_16.89 b,16710000000.0,doll_4.21 b,,doll_17.06 b,doll_0.85 b,doll_17.48 b,doll_17.36 b
doll_16.87 b,16710000000.0,doll_4.21 b,,doll_17.04 b,doll_12.77 b,doll_17.46 b,doll_17.35 b
doll_16.92 b,16690000000.0,doll_4.20 b,doll_2.84 B,doll_16.94 b,doll_2.12 b,doll_17.45 b,doll_17.33 b
doll_16.91 b,16680000000.0,doll_4.21 b,,doll_16.94 b,doll_3.49 b,doll_17.43 b,doll_17.31 b
doll_16.93 b,16660000000.0,doll_4.22 b,,doll_16.92 b,doll_1.56 b,doll_17.43 b,doll_17.29 b
doll_17.00 b,16640000000.0,doll_4.23 b,doll_2.85 B,doll_16.92 b,doll_4.22 b,doll_17.41 b,doll_17.29 b
doll_17.04 b,16620000000.0,doll_4.26 b,,doll_16.91 b,doll_1.47 b,doll_17.40 b,doll_17.28 b
doll_17.03 b,16610000000.0,doll_4.24 b,,doll_16.88 b,doll_0.25 b,doll_17.40 b,doll_17.26 b
doll_17.02 b,16610000000.0,doll_4.24 b,,doll_16.87 b,doll_0.31 b,doll_17.39 b,doll_17.25 b
doll_17.05 b,16600000000.0,doll_4.24 b,,doll_16.83 b,doll_1.59 b,doll_17.37 b,doll_17.24 b
doll_17.06 b,16580000000.0,doll_4.23 b,doll_2.85 B,doll_16.82 b,doll_1.19 b,doll_17.37 b,doll_17.23 b
doll_17.08 b,16560000000.0,doll_4.21 b,doll_2.87 B,doll_16.81 b,doll_1.01 b,doll_17.36 b,doll_17.23 b
doll_17.06 b,16560000000.0,doll_4.23 b,doll_2.87 B,doll_16.79 b,doll_0.60 b,doll_17.34 b,doll_17.19 b
doll_17.09 b,16540000000.0,doll_4.24 b,doll_2.77 B,doll_16.78 b,doll_0.30 b,doll_17.32 b,doll_17.18 b
doll_17.12 b,16530000000.0,doll_4.23 b,doll_2.62 B,doll_16.76 b,doll_1.30 b,doll_17.31 b,doll_17.14 b
doll_17.13 b,16510000000.0,doll_4.26 b,doll_2.62 B,doll_16.75 b,doll_0.76 b,doll_17.31 b,doll_17.14 b
doll_17.16 b,16500000000.0,doll_4.24 b,,doll_16.73 b,doll_0.87 b,doll_17.28 b,doll_17.14 b
doll_17.15 b,16490000000.0,doll_4.26 b,doll_2.63 B,doll_16.72 b,doll_0.85 b,doll_17.24 b,doll_17.14 b
doll_17.17 b,16470000000.0,doll_4.24 b,,doll_16.69 b,doll_1.04 b,doll_17.21 b,doll_17.10 b
doll_17.25 b,16440000000.0,doll_4.25 b,,doll_16.67 b,doll_2.29 b,doll_17.21 b,doll_17.09 b
doll_17.18 b,16410000000.0,doll_4.27 b,,doll_16.61 b,doll_0.96 b,doll_17.20 b,doll_17.07 b
doll_17.30 b,16360000000.0,doll_4.27 b,,doll_16.59 b,doll_0.61 b,doll_17.18 b,doll_17.06 b
doll_17.29 b,16340000000.0,doll_4.29 b,doll_2.64 B,doll_16.58 b,doll_8.10 b,doll_17.16 b,doll_17.06 b
doll_17.38 b,16300000000.0,doll_4.27 b,doll_2.64 B,doll_16.57 b,doll_0.53 b,doll_17.12 b,doll_17.05 b
doll_17.35 b,16270000000.0,doll_4.30 b,doll_2.64 B,doll_16.50 b,doll_0.16 b,doll_17.10 b,doll_17.05 b
doll_17.41 b,16250000000.0,doll_4.30 b,,doll_16.49 b,doll_93.68 m,doll_17.08 b,doll_17.01 b
doll_17.39 b,16230000000.0,doll_4.26 b,,doll_16.48 b,doll_1.55 b,doll_17.08 b,doll_17.00 b
doll_17.45 b,16170000000.0,doll_4.29 b,doll_2.65 B,doll_16.48 b,doll_1.12 b,doll_16.98 b,doll_16.99 b
doll_17.51 b,16170000000.0,doll_4.28 b,doll_2.66 B,doll_16.47 b,doll_1.36 b,doll_16.96 b,doll_16.96 b
doll_17.17 b,16160000000.0,doll_4.29 b,,doll_16.47 b,doll_0.30 b,doll_16.96 b,doll_16.95 b
doll_15.93 b,16130000000.0,doll_4.26 b,,doll_16.45 b,doll_2.87 b,doll_16.96 b,doll_16.94 b
doll_15.22 b,16130000000.0,doll_4.28 b,,doll_16.44 b,doll_0.87 b,doll_16.96 b,doll_16.92 b
doll_14.49 b,16120000000.0,doll_4.30 b,,doll_16.44 b,doll_5.66 b,doll_16.90 b,doll_16.91 b
doll_14.49 b,16080000000.0,doll_4.30 b,,doll_16.41 b,doll_0.55 b,doll_16.89 b,doll_16.91 b
doll_14.53 b,16080000000.0,doll_4.29 b,doll_2.66 B,doll_16.33 b,doll_1.31 b,doll_16.87 b,doll_16.90 b
doll_14.72 b,16070000000.0,doll_4.27 b,,doll_16.33 b,doll_0.50 b,doll_16.77 b,doll_16.89 b
doll_14.65 b,15990000000.0,doll_4.31 b,doll_2.66 B,doll_16.33 b,doll_0.12 b,doll_16.73 b,doll_16.88 b
doll_14.53 b,15990000000.0,doll_4.32 b,doll_2.66 B,doll_16.29 b,doll_7.29 b,doll_16.72 b,doll_16.86 b
doll_16.04 b,15940000000.0,doll_4.34 b,,doll_16.28 b,doll_0.25 b,doll_16.71 b,doll_16.85 b
doll_14.03 b,15920000000.0,doll_4.34 b,,doll_16.27 b,doll_0.84 b,doll_16.70 b,doll_16.84 b
doll_13.54 b,15910000000.0,doll_4.31 b,,doll_16.26 b,doll_29.27 m,doll_16.70 b,doll_16.81 b
doll_15.13 b,15890000000.0,doll_4.32 b,,doll_16.23 b,doll_0.26 b,doll_16.70 b,doll_16.81 b
doll_14.28 b,15880000000.0,doll_4.33 b,,doll_16.13 b,doll_1.65 b,doll_16.69 b,doll_16.77 b
doll_14.43 b,15860000000.0,doll_4.36 b,doll_2.68 B,doll_16.12 b,doll_0.20 b,doll_16.68 b,doll_16.77 b
doll_14.24 b,15830000000.0,doll_4.36 b,doll_2.68 B,doll_16.06 b,doll_0.31 b,doll_16.66 b,doll_16.77 b
doll_14.39 b,15800000000.0,doll_4.34 b,,doll_16.05 b,doll_0.22 b,doll_16.63 b,doll_16.67 b
doll_14.62 b,15790000000.0,doll_4.32 b,,doll_16.04 b,doll_0.37 b,doll_16.59 b,doll_16.66 b
doll_17.52 b,15750000000.0,doll_4.31 b,doll_2.62 B,doll_16.03 b,doll_1.69 b,doll_16.59 b,doll_16.62 b
doll_12.93 b,15750000000.0,doll_4.37 b,,doll_16.03 b,doll_59.87 m,doll_16.57 b,doll_16.62 b
doll_12.93 b,15720000000.0,doll_4.37 b,doll_2.45 B,doll_15.98 b,doll_1.19 b,doll_16.57 b,doll_16.59 b
doll_12.94 b,15700000000.0,doll_4.36 b,,doll_15.97 b,doll_58.48 m,doll_16.56 b,doll_16.59 b
doll_12.95 b,15620000000.0,doll_4.30 b,,doll_15.97 b,doll_8.16 b,doll_16.56 b,doll_16.55 b
doll_12.99 b,15600000000.0,doll_4.37 b,doll_2.46 B,doll_15.94 b,doll_2.78 b,doll_16.51 b,doll_16.55 b
doll_13.02 b,15600000000.0,doll_4.37 b,,doll_15.90 b,doll_0.98 b,,doll_16.54 b
doll_13.02 b,15590000000.0,doll_4.39 b,doll_2.46 B,doll_15.86 b,doll_0.34 b,doll_16.50 b,doll_16.46 b
doll_13.02 b,15530000000.0,doll_4.40 b,,doll_15.85 b,doll_3.60 b,doll_16.47 b,doll_16.45 b
doll_13.02 b,15520000000.0,doll_4.39 b,doll_2.46 B,doll_15.79 b,doll_0.54 b,doll_16.45 b,doll_16.44 b
doll_13.04 b,15510000000.0,doll_4.37 b,doll_2.46 B,doll_15.71 b,doll_1.12 b,doll_16.45 b,doll_16.44 b
doll_13.03 b,15480000000.0,doll_4.38 b,doll_2.46 B,doll_15.67 b,doll_0.65 b,doll_16.36 b,doll_16.39 b
doll_13.05 b,15410000000.0,doll_4.37 b,,doll_15.66 b,doll_2.83 b,doll_16.34 b,doll_16.37 b
doll_13.06 b,15400000000.0,doll_4.40 b,,doll_15.65 b,doll_0.30 b,doll_16.33 b,doll_16.36 b
doll_13.08 b,15400000000.0,doll_4.40 b,doll_2.47 B,doll_15.63 b,doll_0.36 b,doll_16.30 b,doll_16.27 b
doll_13.12 b,15380000000.0,doll_4.39 b,,doll_15.55 b,doll_0.69 b,doll_16.29 b,doll_16.21 b
doll_13.12 b,15360000000.0,doll_4.37 b,,doll_15.55 b,doll_0.55 b,doll_16.27 b,doll_16.19 b
doll_16.27 b,15360000000.0,doll_4.38 b,doll_2.47 B,doll_15.54 b,doll_0.37 b,doll_16.27 b,doll_16.18 b
doll_11.56 b,15360000000.0,doll_4.38 b,,doll_15.53 b,doll_0.76 b,doll_16.27 b,doll_16.17 b
doll_11.59 b,15350000000.0,doll_4.39 b,doll_2.47 B,doll_15.52 b,doll_0.26 b,doll_16.26 b,doll_16.16 b
doll_11.61 b,15330000000.0,doll_4.38 b,doll_2.48 B,doll_15.48 b,doll_0.55 b,doll_16.20 b,doll_16.15 b
doll_11.61 b,15330000000.0,doll_4.42 b,doll_2.30 B,doll_15.48 b,doll_70.12 m,doll_16.19 b,doll_16.14 b
doll_11.64 b,15280000000.0,doll_4.41 b,doll_2.30 B,doll_15.47 b,doll_0.82 b,doll_16.17 b,doll_16.12 b
doll_11.65 b,15270000000.0,doll_4.43 b,,doll_15.47 b,doll_1.24 b,doll_16.16 b,doll_16.11 b
doll_11.67 b,15250000000.0,doll_4.41 b,doll_2.30 B,doll_15.47 b,doll_0.61 b,doll_16.14 b,doll_16.06 b
doll_11.68 b,15240000000.0,doll_4.42 b,,doll_15.46 b,doll_0.53 b,doll_16.14 b,doll_16.05 b
doll_11.70 b,15240000000.0,doll_4.45 b,,doll_15.46 b,doll_0.11 b,doll_16.13 b,doll_16.03 b
doll_11.70 b,15230000000.0,doll_4.43 b,doll_2.30 B,doll_15.45 b,doll_2.63 b,doll_16.13 b,doll_16.03 b
doll_11.71 b,15210000000.0,doll_4.46 b,,doll_15.38 b,doll_1.41 b,doll_16.11 b,doll_15.98 b
doll_11.72 b,15210000000.0,doll_4.45 b,doll_2.30 B,doll_15.37 b,doll_3.65 b,doll_16.08 b,doll_15.97 b
doll_11.76 b,15200000000.0,doll_4.43 b,doll_2.31 B,doll_15.36 b,doll_1.44 b,doll_16.07 b,doll_15.95 b
doll_11.75 b,15150000000.0,doll_4.45 b,doll_2.31 B,doll_15.33 b,doll_1.17 b,doll_16.05 b,doll_15.95 b
doll_11.79 b,15110000000.0,doll_4.44 b,,doll_15.33 b,doll_1.46 b,,doll_15.88 b
doll_11.85 b,15100000000.0,doll_4.45 b,doll_2.31 B,doll_15.31 b,doll_0.20 b,doll_16.02 b,doll_15.86 b
doll_11.87 b,15040000000.0,doll_4.43 b,,doll_15.30 b,doll_0.40 b,doll_16.01 b,doll_15.83 b
doll_11.88 b,15030000000.0,doll_4.44 b,,doll_15.29 b,doll_13.20 b,doll_15.99 b,doll_15.82 b
doll_11.88 b,15000000000.0,doll_4.42 b,,doll_15.28 b,doll_0.19 b,doll_15.98 b,doll_15.81 b
doll_11.88 b,14990000000.0,doll_4.47 b,,doll_15.26 b,doll_0.16 b,doll_15.96 b,doll_15.80 b
doll_11.89 b,14980000000.0,doll_4.47 b,doll_2.14 B,doll_15.23 b,doll_2.15 b,doll_15.95 b,doll_15.80 b
doll_11.89 b,14980000000.0,doll_4.49 b,,doll_15.20 b,doll_0.76 b,doll_15.94 b,doll_15.78 b
doll_11.90 b,14940000000.0,doll_4.47 b,doll_2.14 B,,doll_45.49 m,doll_15.93 b,doll_15.77 b
doll_11.94 b,14910000000.0,doll_4.50 b,,doll_15.15 b,doll_1.37 b,doll_15.93 b,doll_15.68 b
doll_11.93 b,14900000000.0,doll_4.47 b,,doll_15.15 b,doll_2.19 b,doll_15.88 b,doll_15.67 b
doll_11.96 b,14900000000.0,doll_4.49 b,,doll_15.11 b,doll_1.94 b,doll_15.84 b,doll_15.64 b
doll_11.97 b,14870000000.0,doll_4.47 b,,doll_15.08 b,doll_0.49 b,doll_15.80 b,doll_15.63 b
doll_11.98 b,14870000000.0,doll_4.48 b,doll_2.15 B,doll_15.03 b,doll_0.24 b,doll_15.79 b,doll_15.62 b
doll_12.01 b,14870000000.0,doll_4.50 b,,doll_15.03 b,doll_0.91 b,doll_15.77 b,doll_15.61 b
doll_11.99 b,14870000000.0,doll_4.50 b,,doll_15.03 b,doll_0.43 b,doll_15.73 b,doll_15.61 b
doll_12.01 b,14870000000.0,doll_4.50 b,doll_2.15 B,doll_15.02 b,doll_0.69 b,doll_15.68 b,doll_15.56 b
doll_12.04 b,14860000000.0,doll_4.50 b,doll_2.16 B,doll_15.01 b,doll_0.83 b,doll_15.62 b,doll_15.47 b
doll_12.02 b,14840000000.0,doll_4.48 b,,doll_15.00 b,doll_1.16 b,doll_15.61 b,doll_15.46 b
doll_12.02 b,14810000000.0,doll_4.47 b,doll_2.16 B,doll_14.99 b,doll_0.40 b,doll_15.58 b,doll_15.46 b
doll_12.05 b,14780000000.0,doll_4.46 b,doll_2.16 B,doll_14.97 b,doll_0.77 b,doll_15.52 b,doll_15.43 b
doll_12.10 b,14770000000.0,doll_4.52 b,doll_2.02 B,doll_14.95 b,doll_0.20 b,doll_15.52 b,doll_15.36 b
doll_12.05 b,14730000000.0,doll_4.52 b,,doll_14.92 b,doll_0.20 b,doll_15.52 b,doll_15.33 b
doll_12.09 b,14690000000.0,doll_4.50 b,doll_1.97 B,doll_14.91 b,doll_2.37 b,doll_15.50 b,doll_15.33 b
doll_12.12 b,14670000000.0,doll_4.52 b,doll_1.97 B,doll_14.91 b,doll_2.45 b,doll_15.46 b,doll_15.32 b
doll_12.12 b,14650000000.0,doll_4.51 b,doll_1.98 B,doll_14.91 b,doll_2.86 b,doll_15.45 b,doll_15.32 b
doll_12.13 b,14630000000.0,doll_4.53 b,,doll_14.87 b,doll_2.45 b,doll_15.42 b,doll_15.31 b
doll_12.13 b,14620000000.0,doll_4.52 b,doll_1.98 B,doll_14.83 b,doll_0.16 b,doll_15.41 b,doll_15.31 b
doll_12.16 b,14590000000.0,doll_4.52 b,doll_1.98 B,doll_14.82 b,doll_0.36 b,doll_15.40 b,doll_15.30 b
doll_12.15 b,14520000000.0,doll_4.52 b,doll_1.98 B,doll_14.80 b,doll_0.59 b,doll_15.35 b,doll_15.24 b
doll_12.16 b,14490000000.0,doll_4.52 b,,doll_14.80 b,doll_1.30 b,doll_15.33 b,doll_15.23 b
doll_12.16 b,14480000000.0,doll_4.52 b,doll_1.98 B,doll_14.77 b,doll_0.14 b,doll_15.24 b,doll_15.18 b
doll_12.18 b,14480000000.0,doll_4.52 b,doll_1.99 B,doll_14.76 b,doll_0.60 b,doll_15.22 b,doll_15.18 b
doll_12.19 b,14470000000.0,doll_4.54 b,,doll_14.72 b,doll_85.37 m,doll_15.21 b,doll_15.17 b
doll_12.18 b,14460000000.0,doll_4.54 b,,doll_14.66 b,doll_0.22 b,doll_15.20 b,doll_15.16 b
doll_12.22 b,14410000000.0,doll_4.52 b,doll_1.99 B,doll_14.65 b,doll_3.61 b,doll_15.20 b,doll_15.11 b
doll_12.27 b,14390000000.0,doll_4.53 b,doll_1.99 B,doll_14.62 b,doll_0.28 b,doll_15.19 b,doll_15.10 b
doll_12.29 b,14390000000.0,doll_4.58 b,,doll_14.59 b,doll_1.92 b,doll_15.17 b,doll_15.09 b
doll_12.29 b,14380000000.0,doll_4.57 b,,doll_14.59 b,doll_26.69 m,doll_15.16 b,doll_15.09 b
doll_12.34 b,14370000000.0,doll_4.54 b,,doll_14.58 b,doll_0.16 b,doll_15.16 b,doll_15.07 b
doll_12.34 b,14360000000.0,doll_4.56 b,,doll_14.56 b,doll_1.58 b,doll_15.15 b,doll_15.07 b
doll_12.37 b,14350000000.0,doll_4.56 b,,doll_14.55 b,doll_4.72 b,doll_15.13 b,doll_15.04 b
doll_12.35 b,14340000000.0,doll_4.55 b,doll_1.83 B,doll_14.53 b,doll_1.50 b,doll_15.11 b,doll_15.04 b
doll_12.36 b,14340000000.0,doll_4.58 b,doll_1.83 B,doll_14.52 b,doll_25.52 b,doll_15.07 b,doll_15.01 b
doll_12.38 b,14330000000.0,doll_4.55 b,doll_1.83 B,doll_14.50 b,doll_0.11 b,doll_15.06 b,doll_15.00 b
doll_12.43 b,14320000000.0,doll_4.58 b,,doll_14.49 b,doll_3.91 b,doll_15.03 b,doll_14.97 b
doll_12.42 b,14320000000.0,doll_4.56 b,doll_1.83 B,doll_14.48 b,doll_0.36 b,doll_15.02 b,doll_14.97 b
doll_12.41 b,14280000000.0,doll_4.55 b,doll_1.84 B,doll_14.48 b,doll_1.48 b,doll_15.01 b,doll_14.93 b
doll_12.44 b,14240000000.0,doll_4.55 b,,doll_14.47 b,doll_0.81 b,doll_15.01 b,doll_14.93 b
doll_12.47 b,14220000000.0,doll_4.56 b,,doll_14.47 b,doll_1.26 b,doll_15.00 b,doll_14.90 b
doll_12.45 b,14210000000.0,doll_4.55 b,,doll_14.39 b,doll_3.52 b,doll_14.99 b,doll_14.90 b
doll_12.49 b,14190000000.0,doll_4.56 b,doll_1.84 B,doll_14.37 b,doll_0.24 b,doll_14.98 b,doll_14.90 b
doll_15.88 b,14130000000.0,doll_4.56 b,,doll_14.37 b,doll_1.05 b,doll_14.98 b,doll_14.89 b
doll_16.59 b,14130000000.0,doll_4.61 b,,doll_14.36 b,doll_0.52 b,doll_14.98 b,doll_14.88 b
doll_16.26 b,14110000000.0,doll_4.61 b,,doll_14.35 b,doll_0.20 b,doll_14.95 b,doll_14.74 b
doll_16.45 b,14080000000.0,doll_4.61 b,,doll_14.34 b,doll_0.71 b,doll_14.95 b,doll_14.74 b
doll_16.57 b,14070000000.0,doll_4.62 b,doll_1.70 B,doll_14.34 b,doll_1.27 b,doll_14.83 b,doll_14.74 b
doll_15.98 b,14060000000.0,doll_4.59 b,,doll_14.27 b,doll_2.97 b,doll_14.82 b,doll_14.73 b
doll_15.99 b,14050000000.0,doll_4.61 b,,doll_14.25 b,doll_0.46 b,doll_14.79 b,doll_14.73 b
doll_15.73 b,14030000000.0,doll_4.61 b,doll_1.69 B,doll_14.25 b,doll_0.30 b,doll_14.74 b,doll_14.68 b
doll_14.09 b,14000000000.0,doll_4.59 b,,doll_14.24 b,doll_7.74 b,doll_14.74 b,doll_14.67 b
doll_15.52 b,13980000000.0,doll_4.61 b,,doll_14.19 b,doll_0.43 b,doll_14.73 b,doll_14.66 b
doll_17.40 b,13970000000.0,doll_4.58 b,doll_1.69 B,doll_14.18 b,doll_3.29 b,doll_14.71 b,doll_14.65 b
doll_17.16 b,13970000000.0,doll_4.60 b,doll_1.70 B,doll_14.17 b,doll_6.13 b,doll_14.69 b,doll_14.64 b
doll_16.57 b,13970000000.0,doll_4.60 b,doll_1.70 B,doll_14.16 b,doll_1.56 b,doll_14.65 b,doll_14.60 b
doll_16.02 b,13960000000.0,doll_4.60 b,,doll_14.13 b,doll_4.10 b,doll_14.61 b,doll_14.59 b
doll_12.77 b,13950000000.0,doll_4.62 b,doll_1.70 B,doll_14.10 b,doll_3.94 b,doll_14.60 b,doll_14.58 b
doll_13.39 b,13940000000.0,doll_4.61 b,doll_1.70 B,doll_14.09 b,doll_0.42 b,doll_14.59 b,doll_14.57 b
doll_10.06 b,13900000000.0,doll_4.62 b,,doll_14.08 b,doll_2.26 b,doll_14.55 b,doll_14.57 b
doll_10.89 b,13890000000.0,doll_4.66 b,,doll_14.07 b,doll_46.76 m,doll_14.54 b,doll_14.56 b
doll_11.65 b,13870000000.0,doll_4.65 b,doll_1.70 B,doll_14.07 b,doll_6.08 b,doll_14.52 b,doll_14.54 b
doll_11.16 b,13820000000.0,doll_4.66 b,,doll_14.06 b,doll_0.75 b,doll_14.52 b,doll_14.54 b
doll_9.91 b,13810000000.0,doll_4.66 b,,doll_14.05 b,doll_0.15 b,doll_14.52 b,doll_14.53 b
doll_10.13 b,13800000000.0,doll_4.63 b,doll_1.71 B,doll_14.04 b,doll_1.53 b,doll_14.50 b,doll_14.53 b
doll_10.85 b,13800000000.0,doll_4.64 b,doll_1.71 B,doll_14.04 b,doll_0.59 b,doll_14.49 b,doll_14.53 b
doll_10.86 b,13800000000.0,doll_4.64 b,,doll_14.04 b,doll_0.36 b,doll_14.49 b,doll_14.50 b
doll_10.93 b,13790000000.0,doll_4.67 b,,doll_14.03 b,doll_8.92 b,doll_14.49 b,doll_14.50 b
doll_12.28 b,13780000000.0,doll_4.66 b,,doll_13.99 b,doll_5.44 b,doll_14.49 b,doll_14.49 b
doll_11.90 b,13770000000.0,doll_4.65 b,,doll_13.98 b,doll_0.65 b,doll_14.46 b,doll_14.47 b
doll_11.16 b,13760000000.0,doll_4.63 b,doll_1.58 B,doll_13.98 b,doll_56.14 m,doll_14.45 b,doll_14.43 b
doll_10.70 b,13760000000.0,doll_4.65 b,,doll_13.98 b,doll_3.21 b,doll_14.44 b,doll_14.43 b
doll_10.53 b,13720000000.0,doll_4.63 b,doll_1.58 B,doll_13.97 b,doll_0.37 b,doll_14.44 b,doll_14.43 b
doll_11.54 b,13690000000.0,doll_4.67 b,,doll_13.96 b,doll_0.85 b,doll_14.43 b,doll_14.42 b
doll_11.29 b,13660000000.0,doll_4.66 b,,doll_13.94 b,doll_4.54 b,doll_14.41 b,doll_14.41 b
doll_10.10 b,13640000000.0,doll_4.67 b,,doll_13.93 b,doll_0.55 b,doll_14.40 b,doll_14.41 b
doll_10.13 b,13630000000.0,doll_4.69 b,,doll_13.91 b,doll_0.44 b,doll_14.37 b,doll_14.39 b
doll_10.14 b,13600000000.0,doll_4.68 b,,doll_13.90 b,doll_1.04 b,doll_14.33 b,doll_14.35 b
doll_10.16 b,13580000000.0,doll_4.68 b,,doll_13.89 b,doll_1.75 b,doll_14.32 b,doll_14.32 b
doll_10.16 b,13530000000.0,doll_5.06 b,,doll_13.88 b,doll_52.07 m,doll_14.30 b,doll_14.31 b
doll_10.18 b,13500000000.0,doll_4.68 b,,doll_13.87 b,doll_0.89 b,doll_14.29 b,doll_14.30 b
doll_10.19 b,13490000000.0,doll_4.70 b,doll_1.58 B,doll_13.87 b,doll_0.19 b,doll_14.29 b,doll_14.29 b
doll_10.19 b,13490000000.0,doll_4.69 b,doll_1.59 B,doll_13.79 b,doll_1.44 b,doll_14.27 b,doll_14.29 b
doll_10.21 b,13470000000.0,doll_4.68 b,doll_1.59 B,doll_13.72 b,doll_4.06 b,doll_14.26 b,doll_14.26 b
doll_10.22 b,13460000000.0,doll_5.07 b,doll_1.59 B,doll_13.70 b,doll_0.55 b,doll_14.26 b,doll_14.23 b
doll_10.26 b,13450000000.0,doll_4.70 b,,doll_13.70 b,doll_3.95 b,doll_14.25 b,doll_14.22 b
doll_10.26 b,13420000000.0,doll_5.06 b,doll_1.46 B,doll_13.69 b,doll_0.12 b,doll_14.21 b,doll_14.16 b
doll_10.28 b,13410000000.0,doll_4.68 b,doll_1.57 B,doll_13.65 b,doll_0.27 b,doll_14.21 b,doll_14.14 b
doll_10.31 b,13400000000.0,doll_4.68 b,doll_1.46 B,doll_13.65 b,doll_3.18 b,doll_14.21 b,doll_14.12 b
doll_10.32 b,13380000000.0,doll_4.71 b,,doll_13.63 b,doll_0.20 b,doll_14.19 b,doll_14.08 b
doll_10.32 b,13370000000.0,doll_5.07 b,,doll_13.62 b,doll_1.92 b,doll_14.17 b,doll_14.07 b
