00-avengers-market_cap,03-gren-market_capitalization_usd,01-DDD-marketcap,04-iGMM-marketcap,05-MalPatSaj-marketcap,09-wissel-marketcap,06-MarScoToc-master_cap,02-GioPonSpiz-pricecap
doll_153.33 b,140420000000.0,doll_2.81 b,doll_53.25 B,doll_134.75 b,doll_15.43 b,doll_139.27 b,doll_144.98 b
doll_152.34 b,139190000000.0,doll_2.80 b,doll_53.17 B,doll_134.70 b,doll_0.23 b,doll_139.22 b,doll_144.37 b
doll_154.57 b,137020000000.0,doll_2.82 b,,doll_134.32 b,doll_1.38 b,doll_138.71 b,doll_143.44 b
doll_153.93 b,135090000000.0,doll_2.81 b,doll_53.73 B,doll_133.76 b,doll_2.82 b,doll_137.77 b,doll_139.33 b
doll_158.77 b,132370000000.0,doll_2.81 b,doll_53.92 B,doll_132.32 b,doll_0.14 b,doll_137.05 b,doll_138.66 b
doll_155.03 b,132050000000.0,doll_2.82 b,doll_53.73 B,doll_132.29 b,doll_10.38 b,doll_136.14 b,doll_136.85 b
doll_155.65 b,130340000000.0,doll_2.82 b,,doll_132.08 b,doll_2.46 b,doll_135.82 b,doll_134.78 b
doll_160.50 b,129930000000.0,doll_2.82 b,doll_44.77 B,doll_132.03 b,doll_13.93 b,doll_133.23 b,doll_134.50 b
doll_160.34 b,129500000000.0,doll_2.82 b,,doll_130.10 b,doll_1.74 b,doll_133.14 b,doll_133.87 b
doll_161.23 b,129290000000.0,doll_2.83 b,,doll_128.72 b,doll_1.06 b,doll_131.25 b,doll_133.02 b
doll_161.68 b,129290000000.0,doll_2.83 b,,doll_128.31 b,doll_2.51 b,doll_131.03 b,doll_131.92 b
doll_166.77 b,128800000000.0,doll_2.83 b,doll_41.63 B,doll_128.26 b,doll_0.69 b,doll_129.95 b,doll_131.24 b
doll_163.80 b,127660000000.0,doll_2.83 b,,doll_128.07 b,doll_1.36 b,doll_129.15 b,doll_131.09 b
doll_167.38 b,127180000000.0,doll_2.83 b,doll_42.00 B,doll_127.76 b,doll_0.38 b,doll_128.28 b,doll_130.76 b
doll_169.30 b,126940000000.0,doll_2.84 b,doll_42.04 B,doll_127.15 b,doll_5.56 b,doll_127.83 b,doll_130.76 b
doll_87.16 b,126620000000.0,doll_2.83 b,,doll_124.83 b,doll_0.79 b,doll_127.04 b,doll_130.63 b
doll_123.17 b,125360000000.0,doll_2.85 b,,doll_124.27 b,doll_14.47 b,doll_126.56 b,doll_130.24 b
