,column_name,type_of_data,type_of_string,avg_mon_values (0 if not monetary),avg_length_of_field,var_length,std_dev_length,ratio_white_space_length,ratio_num_val,is_country,is_sector,min_val(int),max_val(int),avg(int),variance,std_dev,incremetal_int,is_year
131,valuetoday-twitter_page_url,0,3,0.0,30.073926073926074,13.590938531997484,3.6865890104536314,0.0,0.0004596005722480177,0,0,0.0,0.0,0.0,0.0,0.0,0,0
132,valuetoday-industry,0,6,0.0,54.536463536463536,1053.5313876932253,32.45814824806285,0.07160587231340797,6.445167735490316e-06,0,0,0.0,0.0,0.0,0.0,0.0,0,0
133,valuetoday-link,0,3,0.0,52.136863136863134,106.88336638386583,10.338441197001888,0.0,0.0006406847142997952,0,0,0.0,0.0,0.0,0.0,0.0,0,0
134,valuetoday-id,0,6,0.0,32.0,0.0,0.0,0.0,0.6280594405594405,0,0,0.0,0.0,0.0,0.0,0.0,0,0
135,valuetoday-ceo,0,6,0.0,14.741258741258742,16.649336677308746,4.080359871054114,0.09431164278309996,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
136,valuetoday-country,0,6,0.0,5.347652347652348,5.8731438391778,2.4234570017183716,0.005389271623037853,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0
137,valuetoday-world_rank,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,120.0,14230.0,5351.644518272426,8582059.797220778,2929.5152836639677,2,0
138,valuetoday-company_website,0,3,0.0,25.95904095904096,23.609710968352324,4.858982503400513,0.0,0.0033479518594403705,0,0,0.0,0.0,0.0,0.0,0.0,0,0
139,valuetoday-headquarters_region_city,0,6,0.0,8.0999000999001,5.262747242767209,2.294067837437945,0.014873100037935192,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
140,valuetoday-headquarters_sub_region,0,6,0.0,14.092907092907092,4.695663976383245,2.1669480788388182,0.07720712105077754,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
141,valuetoday-headquarters_continent,0,6,0.0,5.561438561438561,3.0254460823891414,1.7393809480355766,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
142,valuetoday-rank,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5.0,9314.0,4549.920265780731,6791672.93051953,2606.083830293939,1,0
143,valuetoday-wikipedia_page_url,0,3,0.0,44.63536463536464,63.19471337852947,7.949510260294622,0.0,0.0020132937432928272,0,0,0.0,0.0,0.0,0.0,0.0,0,0
