,column_name,type_of_data,type_of_string,avg_length_of_field,var_length,std_dev_length,ratio_white_space_length,ratio_num_val,is_country,is_sector,min_val(int),max_val(int),avg(int),variance,std_dev,incremetal_int,is_year
0,ambitiobox-name,0.0,1.0,0.15409916158470086,0.08527183016009035,0.2920134075005638,0.13392335919280332,0.0012413939721009361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,ambitiobox-industry,0.0,1.0,0.1383341621517872,0.068892273317149,0.2624733763968243,0.11009121578154017,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,ambitiobox-headquarter,0.0,1.0,0.21276205930850367,0.08653272483488032,0.2941644520245101,0.1563007803306333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,ambitiobox-ownership,0.0,1.0,0.05917763760567435,0.001519331633688061,0.03897860481967076,0.0003781448933263638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,ambitiobox-foundation_year,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001768779379799184,1.1707102217173991e-08,1.1281014158286612e-06,1.0741077463948736e-17,3.2773583057012144e-09,1.0,1.0
5,ariregister-url,0.0,0.5,0.8300922169584981,0.07172409436590982,0.26781354403000196,0.0,0.17142449618681574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,ariregister-id,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.985981700955908e-07,8.500550693599341e-09,4.2305972649983207e-07,1.6893397334023535e-15,4.1101578234933426e-08,0.5,0.0
7,ariregister-name,0.0,1.0,0.25502307605063645,0.06920158314422778,0.26306193784777715,0.0,0.32762429365071455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,ariregister-code,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0005218811683170493,0.009508495933773776,2.247657726094901e-06,0.001499219038731466,1.0,0.0
9,ariregister-legal_form,0.0,1.0,0.1948508563003289,0.014459480498108208,0.12024758000936321,0.1590103732218268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,ariregister-status,0.0,1.0,0.15195295800943978,0.05390208864135218,0.23216823348889093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,ariregister-registration_date,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,ariregister-capital,0.0,1.0,0.2444927194842132,0.000832878490192575,0.028859634269903265,0.0,0.1669908871709408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,ariregister-address,0.0,1.0,1.0,0.046842782170640446,0.21643193426719734,1.0,0.07072356102198482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,ariregister-deletion_date,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,cbinsights-totalraised,0.0,0.6666666666666666,0.10320970851763639,0.0018716636887380963,0.04326272863260125,0.16250182319951614,0.38801968269183507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,cbinsights-city,0.0,1.0,0.07563186501600928,0.007919849978335978,0.0889935389696127,0.07682177972471492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,cbinsights-founded,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001912274721033597,1.1724497614227741e-08,1.1431128596041203e-06,5.05030072908316e-19,7.106546790870485e-10,1.0,1.0
18,cbinsights-country,0.0,1.0,0.08741853587039025,0.015106828862857248,0.12290984038252287,0.08350217126052965,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,cbinsights-stage,0.0,1.0,0.09120492754381833,0.017665352732008213,0.13291107076541145,0.23891756904530842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,cbinsights-investors,0.0,1.0,0.4508336168764886,0.20746439815622547,0.4554825991805016,0.19903572662106464,0.003388191425551213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,cbinsights-datejoined,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,cbinsights-name,0.0,1.0,0.07824046204447702,0.021740084620051652,0.1474451919190709,0.042849004364225604,0.00867021537555808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,cbinsights-industry,0.0,1.0,0.16304167648162204,0.1281507451552878,0.35798148716838385,0.09663593248794337,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,companiesmarketcap-employees,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.96495425238977e-07,3.5728463993354706e-06,1.031749151845892e-05,2.4984512215378413e-11,4.998450981592038e-06,0.5,0.0
25,companiesmarketcap-pricecap,0.0,0.6666666666666666,0.09883005731933939,0.0003135870879434283,0.017708390326154105,0.16785103305476873,0.33092529345092797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,companiesmarketcap-revenue,0.0,0.6666666666666666,0.09896964779577913,0.00031765071064710106,0.017822758222202896,0.16762131509418493,0.33167763294449804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,companiesmarketcap-earnings,0.0,0.6666666666666666,0.10081049720382826,0.0006419601854478198,0.0253369332289411,0.16490405876939368,0.3197747085618129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,companiesmarketcap-name,0.0,1.0,0.12474153950846704,0.06223022588232583,0.24945986828010197,0.1016191900328546,0.004025636622776403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,companiesmarketcap-change_1day,0.0,0.16666666666666666,0.08218389300389982,0.0002816628002282301,0.016782812643541905,0.0,0.3640769268508099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,companiesmarketcap-change_1year,0.0,0.16666666666666666,0.09195522635468195,0.0004720278945772583,0.021726202948910752,0.0,0.4084678408477705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,companiesmarketcap-share_price,0.0,0.8333333333333333,0.08365831741129462,0.0010871956058183354,0.03297264936001254,0.0,0.4257721366598836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,companiesmarketcap-url,0.0,0.5,0.4887586044442118,0.18193255551201942,0.426535526670428,8.501738683717413e-05,0.0018314766374199223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,companiesmarketcap-company_code,0.0,1.0,0.043107284005548724,0.006017010859857355,0.07756939383453602,0.0,0.06599568267674046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,companiesmarketcap-rank,0.0,0.3333333333333333,0.044145488174069325,0.005422806674262946,0.07363970854276207,0.0,0.9777702824249008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,companiesmarketcap-country,0.0,1.0,0.04096980483506513,0.006809057475434168,0.08251701324838513,0.006256647034834157,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,companiesmarketcap-shares,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4825030849007127,1.0,0.9999999999999999,0.9999999999999999,1.0,1.0,0.0
37,companiesmarketcap-categories,0.0,1.0,0.21852016646164316,0.2016572002098324,0.4490625793915948,0.09641678726099781,0.0006420564187379333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,disfold-headquarters_country,0.0,1.0,0.06771010547805376,0.006327820651708372,0.07954759991167785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,disfold-employees,0.0,1.0,0.03897191614102128,0.0034270821810459006,0.0585412861239476,0.01897037350648314,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,disfold-industry,0.0,1.0,0.16712469791748458,0.09263637833753081,0.3043622485419813,0.11211219526851213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,disfold-link,0.0,0.5,0.4765008157318467,0.5258439567532477,0.725150988934889,0.0009266954790139194,0.0007504144927806161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,disfold-rank,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.96495425238977e-08,5.763674890475952e-09,2.7500919718942206e-07,8.331924505433139e-16,2.8865073194837282e-08,1.0,0.0
43,disfold-headquarters,0.0,1.0,0.16624353303495867,0.026210020119992183,0.16189508985757467,0.15605157521986798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,disfold-official_name,0.0,1.0,0.1782134163896668,0.10044452029473672,0.3169298349709864,0.18290518752084006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,disfold-sector,0.0,1.0,0.10964831924341963,0.02877226579078864,0.1696238951055795,0.039588503646174694,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,disfold-market_cap,0.0,0.6666666666666666,0.10371572399473045,0.0005950025176695023,0.024392673442439686,0.1592011836234349,0.36621854939447906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,disfold-ceo,0.0,1.0,0.19735476047146683,0.060754798015125865,0.24648488394854126,0.3027788991599792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,disfold-country,0.0,1.0,0.09053314837595205,0.014686492407940583,0.12118783935668043,0.08641100022562807,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,disfold-id,0.0,1.0,0.16040690623882187,0.2261231908249097,0.47552412223241597,0.0,0.506000742039936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,disfold-revenue,0.0,0.6666666666666666,0.21344256288114744,0.13275324650733622,0.36435318923722376,0.2184278944971913,0.43482310546935815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,disfold-net_income,0.0,0.6666666666666666,0.21270098847506128,0.13792472025375702,0.3713821754658629,0.22393873452962273,0.418762682779176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
