,address_name,city,country,index,location_type,name,postalcode,state,trade_name,url
address_name,0,12,11,10,11,8,11,9,6,11
city,12,0,4,5,9,4,9,4,10,4
country,11,4,0,6,10,6,9,6,9,5
index,10,5,6,0,11,4,9,5,8,5
location_type,11,9,10,11,0,11,10,10,10,13
name,8,4,6,4,11,0,8,3,6,4
postalcode,11,9,9,9,10,8,0,6,9,9
state,9,4,6,5,10,3,6,0,8,5
trade_name,6,10,9,8,10,6,9,8,0,9
url,11,4,5,5,13,4,9,5,9,0
