,categories,ceo,code,country,employees,founded,gbp,headquarters,headquarters_continent,headquarters_country,id,industry,link,market_cap,market_capitalization_usd,market_value_apr_2022,marketcap,mastercap,name,net_income,official_name,rank,revenue,sector,stock
categories,1.0,0.0625,0.058823529411764705,0.05,0.09523809523809523,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ceo,0.0625,1.0,0.1,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
code,0.058823529411764705,0.1,1.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.058823529411764705,0.05,0.0,0.07142857142857142,0.0,0.0
country,0.05,0.07692307692307693,0.15384615384615385,1.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.2916666666666667,0.0,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
employees,0.09523809523809523,0.0,0.0,0.0,1.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
founded,0.0,0.0,0.0,0.058823529411764705,0.0,1.0,0.0,0.0,0.0,0.03333333333333333,0.08333333333333333,0.0,0.0,0.0,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gbp,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
headquarters,0.04,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,1.0,0.46153846153846156,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0
headquarters_continent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46153846153846156,1.0,0.4838709677419355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0
headquarters_country,0.0,0.0,0.0,0.2916666666666667,0.0,0.03333333333333333,0.0,0.5,0.4838709677419355,1.0,0.0,0.10344827586206896,0.0,0.0,0.0,0.0,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
