,column_name,type_of_data,type_of_string,avg_length_of_field,var_length,std_dev_length,ratio_white_space_length,ratio_num_val,min_val(int),max_val(int),avg(int),variance,std_dev
46,06-MarScoToc-industry,0,4,18.9625,44.68263816475495,6.684507324010869,0.06079318593239824,0.0,0,0,0.0,0.0,0.0
47,06-MarScoToc-sector,0,4,12.405208333333333,19.546792448731317,4.421175460070694,0.020207938762626266,0.0,0,0,0.0,0.0,0.0
48,07-silvestri-name,0,4,21.397,82.22561661661662,9.067834174521312,0.10131140382392641,0.0006094466167046812,0,0,0.0,0.0,0.0
49,07-silvestri-country,0,4,9.73502538071066,12.593334984111262,3.548708917918073,0.0412087630361742,0.0,0,0,0.0,0.0,0.0
50,07-silvestri-market_value_apr_2022,0,3,12.140332640332641,0.12076492565566443,0.3475124827335911,0.08243376512607281,0.3275897435897424,0,0,0.0,0.0,0.0
51,07-silvestri-sector,0,4,12.6,21.660975609756097,4.654135323532836,0.019871558221812025,0.0,0,0,0.0,0.0,0.0
52,07-silvestri-stock,0,4,3.6236236236236237,1.2209243311447724,1.1049544475428714,0.0,0.23655000000000004,0,0,0.0,0.0,0.0
53,08-slytherin-link,0,4,52.276386904392126,113.39372233240304,10.648648850084363,0.0,0.00042997789517331097,0,0,0.0,0.0,0.0
54,08-slytherin-name,0,4,23.84649313536684,117.88964242901909,10.857699684049983,0.11073165954730352,0.0012557825403347758,0,0,0.0,0.0,0.0
55,08-slytherin-headquarters,0,4,18.9352674411381,23.512956552787394,4.849016039650456,0.0877945062660391,0.0,0,0,0.0,0.0,0.0
56,08-slytherin-employees,0,4,5.45791141206436,6.751101825402188,2.5982882490982764,0.0317381430632347,0.644180863830486,0,0,0.0,0.0,0.0
57,08-slytherin-ceo,0,4,17.22793067031124,90.75190869598832,9.526379621660492,0.13934930433692327,0.0,0,0,0.0,0.0,0.0
58,08-slytherin-market_cap,0,4,15.932844629434056,7.8058154227397,2.7938889424491626,0.06339313512062995,0.2343274358993213,0,0,0.0,0.0,0.0
59,10-DeBiGa-name,0,4,21.367,81.61392492492493,9.034042557179202,0.10144102233177682,0.0006094466167046812,0,0,0.0,0.0,0.0
60,10-DeBiGa-market_cap,0,3,12.137,0.11834934934934938,0.34401940257687413,0.0824551282051282,0.3403589743589719,0,0,0.0,0.0,0.0
61,10-DeBiGa-stock,0,4,3.675675675675676,1.2173536261712612,1.1033374942288787,0.0,0.23655,0,0,0.0,0.0,0.0
62,10-DeBiGa-country,0,4,9.703,12.511302302302303,3.5371319317071426,0.04059063159063159,0.0,0,0,0.0,0.0,0.0
63,10-DeBiGa-sector,0,4,13.731,105.89253153153156,10.290409687254028,0.032631056581746413,0.0,0,0,0.0,0.0,0.0
64,10-DeBiGa-industry,0,4,20.17,154.4895895895896,12.429384119480321,0.06409690639366392,0.0,0,0,0.0,0.0,0.0
65,10-DeBiGa-headquarters,0,4,19.501507537688443,28.37700979747834,5.327007583763923,0.0,0.0,0,0,0.0,0.0,0.0
66,10-DeBiGa-founded,0,4,11.214162348877375,101.14436655491212,10.05705556089416,0.1691237565531526,0.34039253281828286,0,0,0.0,0.0,0.0
67,10-DeBiGa-employees,0,4,6.895615866388309,0.6181416788284545,0.7862198667220605,0.1474960234615767,0.6808642857142827,0,0,0.0,0.0,0.0
68,10-DeBiGa-ceo,0,4,23.516167664670657,48.01982222605149,6.929633628558691,0.19260916001818923,0.0,0,0,0.0,0.0,0.0
