,link,name,country,industry,revenue,employees,founded
77,https://dovetailstudios.com/,Dovetail,New Zealand,Technology,8.47,31,2015
78,https://www.kamiapp.com/,Kami,New Zealand,Technology,2.16,28,2013
79,http://www.one-lease.fr/,One Lease,France,Support Services,"9,015,211",11,2016
80,https://polarium.com,Polarium Energy Solutions,Sweden,Batteries,"43,207,400",38,2015
81,https://www.solectric.de,Solectric,Germany,Technology,40.9,30,2012
82,https://harch.jp/,Harch,Japan,Media,5.18,29,2015
83,https://www.i-goods.co.jp/,IGOODS,Japan,Sales & Marketing,30.01,30,2016
84,https://www.brmetalsltd.com/,BR Metals,Singapore,Waste management & recycling,107.40,16,2009
85,http://www.smartenergygroup.com.au/,Smart Energy Group,Australia,Energy,34.64,203,2016
86,https://razorpay.com/,Razorpay,India,Technology,73.76,1050,2013
87,https://datlas.it/en/,Datlas*,Italy,Technology,"9,034,926",251,2017
88,https://www.crossflowpayments.co.uk,Crossflow Payment Solutions Trading,UK,Fintech,"14,333,126",7,2013
89,https://www.psioxus.com,Psioxus Therapeutics,United Kingdom,Pharmaceuticals,64.4,69,2006
90,https://www.hegen.com/,Hegen,Singapore,Personal & Household Goods,24.31,22,2014
91,https://kaleidojapan.com/,KALEIDO JAPAN,Japan,Architecture,5.45,10,2011
92,https://www.redpeak.sg/,Redpeak Advisers,Singapore,Financial Services,10.11,7,2016
93,https://missamara.com.au/,Miss Amara,Australia,Retail,7.07,36,2014
94,https://www.wadiz.kr/,Wadiz,South Korea,Fintech,12.47,204,2012
95,https://www.codapayments.com/,Coda Payments,Singapore,Fintech,80.32,104,2011
96,https://www.zego.com/,Zego,UK,Fintech,"12,158,046",224,2016
97,https://www.swapfiets.com,Swapfiets,Netherlands,Travel & Leisure,"22,700,000",550,2014
98,https://www.housekeep.com,Housekeep,United Kingdom,Technology,7.3,25,2013
99,https://mikienergy.com/,Mikienergy,Japan,Energy,8.62,5,2015
100,https://www.closip.co.jp/,closip,Japan,Cyber Security,1.43,12,2016
101,https://www.codapayments.com/,Coda Payments,Singapore,Fintech,144.86,232,2011
102,https://www.hyperanna.com/,Hyper Anna,Australia,Technology,1.86,40,2016
103,https://www.solbari.com/,Sun Protection Apparel,Australia,Ecommerce,1.89,12,2014
104,https://thermomix.com.sg/,The Future of Cooking,Singapore,Retail,8.35,10,2016
105,https://www.hcl-logistics.de/,HCL-Logistics,Germany,Transport,"11,387,156",24,2017
106,https://www.jobandtalent.com,jobandtalent,Spain,Technology,"271,481,287",783,2009
107,https://www.landbay.co.uk,Landbay Partners,UK,Financial Services,"9,155,241",98,2014
108,https://www.crepprotect.com,Crep Protect,United Kingdom,Fashion,28.7,29,2014
109,https://loship.vn/,Loship,Vietnam,Food & Beverage,14.54,200,2017
110,https://www.firstcircle.ph/,First Circle,Philippines,Financial Services,5.62,108,2016
111,https://www.cloudwave.com.au/,CloudWave,Australia,Technology,3.77,18,2013
112,https://www.dementiacaring.com.au/,Dementia Caring ,Australia,Health,20.56,219,2015
113,http://www.tebe.co.id/,Dana Brata Luhur,Indonesia,Transport,26.85,193,2008
114,https://fabelio.com/,Fabelio,Indonesia,Retail,13.04,344,2015
115,https://popsa.com/,Popsa,UK,Technology,"21,455,864",34,2016
116,https://www.chillysbottles.com,Chilly's Bottles,UK,Retail,"35,348,422",371,2010
117,https://itravex.es,Viajes Libratur (iTravex),Spain,Travel & Leisure,43.7,62,2007
118,https://www.mepl-mmw.com/,Mohan Electro Casting,India,Industrial Goods,3.23,35,2002
119,https://www.goodtogreat.co.kr/,GTOG International,South Korea,Sales & Marketing,35.34,25,2016
120,https://wavelifesciences.com/,WAVE Life Sciences,Singapore,Health,15.84,301,2012
121,https://www.skilllane.com/,SkillLane,Thailand,Education,3.05,44,2014
122,https://unit8.com/,Unit8,Switzerland,Technology,"7,234,981",41,2017
123,https://safe4u.de,safe4u,Germany,Technology,"6,700,000",9,2013
124,https://www.darktrace.com,Darktrace,United Kingdom,Cyber Security,36.1,618,2013
125,https://www.oaknorth.com/,OakNorth Bank,United Kingdom,Fintech,67.91,200,2015
126,https://www.nkc-asia.com/,NKC ASIA,Japan,Technology,37.92,90,2015
127,https://themathcompany.com/,TheMathCompany,India,Management Consulting,13.85,494,2016
128,https://www.selfwealth.com.au/,SelfWealth,Australia,Fintech,12.64,34,2012
