09-wissel-company_code,05-MalPatSaj-symbol,04-iGMM-code,02-GioPonSpiz-codice
uvsp,gfnorteo.mx,s,600031.ss
domo,tscdf,avt,bimboa.mx
qmco,035420.ks,sfbs,ele.mc
chco,601111.ss,re.pa,fsra.f
vrsn,nio,diod,600016.ss
bmbl,rep.mc,petronet.ns,teck
aomr,gwo.to,rlx,gle.pa
lgih,hpe,kex,6301.t
acel,gib,fcc.mc,0762.hk
nkla,xyl,ab,exr
cyrx,cah,wns,podd
amba,600016.ss,jysk.co,pwr
npk,upm.he,sr,002460.sz
arlp,tpl,grp-un,8053.t
,wat,gco.mc,hpe
gabc,lh,vsco,ryaay
ocfc,1766.hk,sfsn.sw,xyl
fll,moh,tate.l,hban
enfn,epam,fl,9020.t
lob,0788.hk,frhc,anto.l
osbc,fer.mc,huh1v.he,6503.t
rli,ml.pa,recltd.ns,rf
weav,ntpc.ns,bhf,bmrn
rgp,1060.sr,sun,000270.ks
docs,2413.t,itv.l,adaniports.ns
spt,nibe-b.st,icui,stmn.sw
camp,600031.ss,chpt,nibe-b.st
cass,tef,ubi.pa,svhh.f
thff,bmrn,escorts.ns,edp.f
uph,svhh.f,sanm,fer.mc
mpx,ele.mc,sgml,vie.pa
acmr,hban,hhc,ts
mgni,chd,vpk.as,pttep.bk
atrc,atl.mi,agl.ax,1766.hk
pack,schn.sw,kgx.de,gib
amk,fsra.f,2651.t,cfg
wwe,aena.mc,psk.to,9613.t
fang,rlf.f,dufn.sw,ntrs
odc,4523.t,eva,atl.mi
upld,8002.t,aixa.f,4543.t
crai,4612.t,athm,swed-a.st
shen,rblx,ale,dash
gpre,4689.t,golf,zm
adpt,edp.f,qub.ax,bzla.f
nic,8750.t,mq,hm-b.st
lscc,fts,affs,dov
cook,dov,env,1060.sr
natr,tdy,sig,2882.tw
tls,rf,aeis,4901.t
petq,pttep.bk,arto.jk,eric
alhc,payc,tieto.he,4689.t
ospn,ts,0694.hk,ste
ecom,invh,tdc,cah
apps,000270.ks,seas,wat
hbnc,0390.hk,bion.sw,wpm
ngl,aes,onem,elp
mq,maa,wwg.f,601111.ss
dzsi,cnp,rng,fts
step,1929.hk,mym.f,6752.t
srpt,ctra,axsm,chd
brcc,m&m.ns,dna,rblx
pjt,jbht,4385.t,4612.t
ecvt,beke,nwe,epam
swch,wrb,sru-un.to,pba
uone,000725.sz,vir,8002.t
yeti,bimboa.mx,dnet.jk,0788.hk
th,ste,byd.to,ntpc.ns
gnus,akrbp.ol,047810.ks,ctra
cclp,ix,evn.f,eswb.f
trns,ttm,pten,cbga.f
bbgi,f34.si,pcvx,nio
prva,cfg,rz8g.f,cnp
sbsi,3659.t,fold,holx
awr,teck,voltas.ns,m&m.ns
hwkn,1303.tw,af.pa,hei
hnrg,swed-a.st,hl,vtr
goev,stld,stgw,stld
avd,cbga.f,gland.ns,cez.f
spce,lgen.l,idea.ns,1303.tw
go,gle.pa,phoenixltd.ns,rlf.f
dcom,ebr,neu,f34.si
mmi,pba,prox.vi,ix
vzio,068270.ks,3mindia.ns,tdy
ael,stmn.sw,smu-un.to,wrb
dv,ec,9048.t,068270.ks
ttcf,wn.to,icad.pa,akrbp.ol
airc,wab,ncr,mkl
nari,rol,syab.de,upm.he
srne,sedg,kozal.is,0390.hk
obnk,znh,dei,fslr
fbms,holx,dln.l,4911.t
qnst,4911.t,4197.kl,2319.hk
hfwa,hei,torntpower.ns,invh
frpt,amcr,evo,ttm
esmt,vtr,etrn,znh
xmtr,mpwr,acopy,cag
docn,cms,bts.bk,bby
forg,1301.tw,alk-b.co,maa
brkl,elp,snc.to,wab
osur,035720.ks,bzy.f,bz
tusk,cag,021240.ks,2413.t
prth,incy,eye,grmn
plby,ntrs,cns,sui
ags,tou.to,subc.ol,ebr
hffg,cez.f,ain,lgen.l
alrs,grmn,4536.t,3659.t
zyxi,eswb.f,abcl,sgsn.sw
powi,6971.t,boh,600600.ss
ntgr,powergrid.ns,plxs,algn
etrn,sui,ee,umc
gpro,8801.t,tv,mpwr
nstg,clx,mfsl.ns,pkx
amtb,rprx,irtc,aes
vcyt,4578.t,wsv2.f,rol
twin,0762.hk,ilu.ax,jbht
cpf,0002.hk,wfrd,wn.to
ango,cf,pnn.l,0002.hk
ias,vie.pa,amot.ta,cpall.bk
kltr,pki,mmb.pa,1301.tw
rklb,chwy,evop,wst
srlp,4452.t,sky,cms
gdrx,bep,ace.mi,chwy
unit,wst,ayx,powergrid.ns
trst,umc,sinch.st,pah3.de
sjw,iex,vzn.sw,4523.t
posh,0003.hk,tnl,gebn.sw
ffie,expd,qs,lpla
free,wpm,sem,iclr
cyxt,nu,thermax.ns,mga
bxp,hm-b.st,t82u.si,advanc.bk
ibrx,bby,olli,0003.hk
nktr,pah3.de,wizz.l,payc
den,8802.t,vmuk.l,1997.hk
nova,pins,sgkn.sw,dri
lvlu,zs,jkcement.ns,bep
stry,2319.hk,pagp,4452.t
mktx,anto.l,vnt,pins
mofg,8267.t,amp.ax,eyx.f
ceco,ryaay,kxs.to,amcr
hbt,2882.tw,spxc,tatasteel.ns
pacb,6201.t,aeo,clx
gkos,2802.t,isat.jk,iex
csii,6920.t,pgny,incy
ontf,dri,lfg,ball
kind,sgsn.sw,blkb,iep
vmd,ttwo,jbt,hindzinc.ns
pubm,wmg,pzza,5401.t
mtg,6326.t,bpmc,0012.hk
cdlx,mro,011780.ks,kb
hyfm,mkl,0053.hk,srg.mi
xpel,1997.hk,kws.l,6920.t
eb,vtwr.de,amed,000063.sz
fath,srg.mi,is,1150.sr
hurc,688599.ss,esab,dans.vi
hipo,eyx.f,nxt.ax,6201.t
augx,ui,ovh.pa,spot
hcc,cpb,aca,6971.t
ai,dgx,blx.to,601211.ss
skin,601800.ss,fss,ui
bcov,net,relaxo.ns,vtwr.de
eqbk,dol.to,ugp,ttwo
pl,bzla.f,main,abf.l
lind,abmd,sitc,sedg
sdgr,6723.t,mac,2020.sr
dei,fds,pacw,dol.to
vnce,ball,bcc,206g.f
shls,1150.sr,pm6.f,moh
usac,coalindia.ns,ndx1.f,pow.to
pcrx,lpla,wsfs,fre.de
mur,mga,jwn,6723.t
qcrh,fslr,flw1.f,rprx
eqt,iep,psec,bro
esrt,2020.sr,vet,expd
staa,000625.sz,asan,8725.t
vbtx,600600.ss,mrtx,wpc
rmbs,000063.sz,tcbi,coo
vivo,swma.st,stng,600999.ss
lndc,gebn.sw,aaww,ucb.vi
egan,lyv,eqc,owl
btrs,7269.t,syngene.ns,nu
lbai,agr,hgty,lyv
mlab,pky1.f,lsg.ol,pub.pa
clov,rto.l,pdco,0823.hk
krt,cpall.bk,shoo,abmd
dh,601211.ss,rui.pa,iii.l
nrds,fox,policybzr.ns,mro
imxi,wpc,bco,adcb.ae
ffwm,cinf,shls,omc
banc,chkp,qfin,sbk.jo
mgpi,ato,sms2.f,cinf
cubi,pow.to,vct.nz,shg
base,etsy,6324.t,trgp
nfe,trgp,rig,fox
ever,br,ltr.ax,000625.sz
esca,fm.to,crt-un.to,cf
pwfl,omc,fcg.nz,slhn.sw
vrts,tatasteel.ns,cnmd,pky1.f
atri,pkx,cwk,4578.t
alkt,bro,fcr-un.to,key
bbai,h.to,dy,br
flyw,sbk.jo,282330.ks,sto.ax
ccf,sjm,ulcc,etsy
ions,0012.hk,zgn,2802.t
vorb,bop.f,pk,bop.f
dgii,omv.f,vea.ax,6326.t
ccne,hindzinc.ns,bku,pki
toi,sto.ax,ths,ual
swav,owl,docn,emsn.sw
rlgt,pub.pa,kos,hwm
hska,rkt,urbn,dgx
atnx,emsn.sw,pot.nz,601800.ss
lvox,001979.sz,600060.ss,omv.f
upwk,hwm,kbh,agr
cffi,pidilitind.ns,lichsgfin.ns,wmg
sklz,phor.me,alb.mc,itsa3.sa
plth.cn,slhn.sw,lbrt,tou.to
fisi,2502.t,meoh,h.to
tbbk,206g.f,arch,tpl
geos,coo,s92.f,8267.t
cffn,iii.l,bpt.ax,001979.sz
hrtg,irm,mahabank.ns,swma.st
agl,fmc,lcii,expe
ceqp,key,colb,600919.ss
flgt,iclr,ebro.mc,tw
bark,dans.vi,xrx,sjm
dna,trn.mi,flq.f,cpb
smrt,advanc.bk,lalpathlab.ns,8801.t
olo,fre.de,fnmal,8802.t
rmax,8725.t,k71u.si,rkt
mac,600999.ss,pipr,fmc
rbt,sy1.de,scl,601009.ss
avnw,kb,ag,swks
hone,bip,cbz,coalindia.ns
mbwm,sbilife.ns,prft,rcl
bird,swks,gei.to,ato
cdna,abf.l,ibp,chkp
ride,0175.hk,qq.l,monc.mi
cers,j,mdc,fm.to
rgs,5401.t,or,012330.ks
wash,soon.sw,pgsus.is,rto
mlnk,syf,brc,fds
cac,600919.ss,ivg.mi,1972.hk
lqdt,col.ax,trmd,nhy.ol
kore,mos,agti,sbilife.ns
insm,itsa3.sa,dlekg.ta,uhr.sw
ampl,snap,vicr,hdfclife.ns
lnth,av.l,aciw,trn.mi
alex,5183.kl,2353.tw,nvr
eig,didiy,wsbc,j
sovo,1925.t,un9.f,2002a.tw
kvhi,spot,hcm,sy1.de
love,4507.t,1u1.de,2502.t
kim,algn,town,bip
maps,pltr,verx,avy
rdw,bt-a.l,rvmd,snap
supn,hubs,rum,wsp.to
anip,hdfclife.ns,klnma.is,tep.pa
snce,nvr,omcl,mos
rc,fico,swon.sw,5183.kl
ftai,wsp.to,ssu,col.ax
lkfn,0823.hk,sho,7269.t
rmr,601186.ss,0813.hk,lkq
eex,asii.jk,itcb,soon.sw
pwp,tryg.co,cxm,bt-a.l
hug.wa,txt,fun,aer
krny,ucb.vi,ttec,6862.hk
abtx,601009.ss,gkos,zs
aten,7309.t,hmy,fwonk
skyt,splk,gri.l,ffh.to
hafc,gen,tbs.jo,fico
vwe,ptc,bluedart.ns,asm.as
jakk,601238.ss,crct,av.l
wdfc,shg,jdan.co,hubs
joe,6862.hk,c52.si,pidilitind.ns
bpmc,1913.hk,skt,ptc
abr,all.ax,gff,phg
bkkt,tw,harl.ta,adnocdist.ae
atra,jde.f,tbk.f,irm
zfox,adanipower.ns,ng,all.ax
bbio,ess,byw.f,tme
bbxia,6502.t,exideind.ns,1913.hk
cmbm,1972.hk,nabl,mgm
brds,avy,pdx.st,ter
cix,ter,yelp,zbra
qs,sw.pa,icfi,asx
grwg,012330.ks,bvn,htht
fgen,ldos,htlf,kof
lci,mdb,pax,0175.hk
spok,ffh.to,aefes.is,syf
stel,bg,sbcf,6502.t
rhp,aer,smtc,bg
hpp,sngs.me,tpa1.f,ben
are,ac.mx,cixx,jde.f
idex,2891.tw,udmy,7309.t
sfbs,2002a.tw,svi.to,asii.jk
scpl,expe,hth,s32.ax
ctkb,apa,nbtb,b3sa3.sa
rpay,evrg,cour,sivb
saft,monc.mi,usim5.sa,2891.tw
mrvi,volcar-b.st,xpel,1925.t
veri,lkq,dk,lcid
lxu,1605.t,fil.to,avtr
fate,e5f.f,este,ac.mx
notv,tatn.me,insw,601238.ss
lpg,grasim.ns,cbe.pa,tryg.co
grbk,7832.t,bei-un.to,enr.f
acad,avtr,fate,0881.hk
smbk,nzym.vi,wgo,2886.tw
itic,asm.as,dcmshriram.ns,burl
irdm,nhy.ol,xpro,8630.t
ebtc,asx,we,txt
pbh,mgm,vgr,601186.ss
pdce,erie,bfsa.de,ess
wabc,htht,happstmnds.ns,multiply.ae
hhc,2886.tw,mtrn,tel.ol
hlne,rcl,ratnamani.ns,wlk
fubo,vedl.ns,avdx,apa
fsr,suz,hbmn.sw,gen
tess,flt,adus,con.de
rrc,fortum.he,ns8u.si,bdms.bk
adma,lnt,peab-b.st,peak
frbk,wlk,aif.to,2280.sr
gcmg,kof,5301.t,splk
ffic,enelam.sn,0303.hk,rivn
spne,2280.sr,tcbk,vedl.ns
ar,4307.t,lif.to,9843.t
am,eden.pa,hope,adp.pa
blue,bah,pets.l,pltr
nls,7011.t,stel,net
axnx,tep.pa,001040.ks,evrg
hci,sasa.is,ltc,ebo.f
utl,akam,forn.sw,ncm.ax
itci,fwonk,0045.hk,nzym.vi
arow,tyl,btrs,4307.t
smbc,8015.t,nbhc,1605.t
nrc,am.pa,sghc,flt
idcc,8630.t,mygn,enelam.sn
vapo,ntap,sand,sjr
asle,eqt,hain,sasa.is
asur,uhr.sw,035900.kq,l
egbn,mtn.jo,msex,ioc.ns
sm,vtrs,bio.f,volcar-b.st
myps,adp.pa,talo,8421.t
act,peak,tyres.he,abn.as
insg,jem.f,laur,sw.pa
nc,azpn,bluestarco.ns,4507.t
duol,ambujacem.ns,aav.to,lw
apph,1326.tw,rckt,1326.tw
vgr,sivb,mgni,adnocdrill.ae
brx,tech,mtm.jo,mtn.jo
lazr,kim,dvax,1038.hk
bsrr,tpia.jk,0778.hk,jem.f
apam,lsxmb,ipco.to,dher.f
pgc,4684.t,bys.sw,ssnc
fold,ben,nhh.mc,vtrs
thrn,erf.pa,042660.ks,fortum.he
rvnc,glpi,adtn,ipg
sunw,zbra,glenmark.ns,2382.hk
htbi,ndsn,akr,akam
bwen,mru.to,2432.t,ntap
lotz,6869.t,4587.t,ndsn
talk,6857.t,msge,lnt
ghm,tme,nvro,2338.hk
bhb,cea,cnxn,600011.ss
ntla,trmb,dasa3.sa,re
vctr,sjr,phr,ca.pa
mttr,ioc.ns,me,pst.mi
insp,2338.hk,opal,grab
fonr,hubb,cxw,bdouy
clne,l,ses,mdb
pol,7201.t,amarajabat.ns,glpi
mbin,chk,nutx,am.pa
apls,ssnc,mmi,ccl
ceva,xekt.mc,true-b.st,pool
beam,nice,upst,cs
uihc,6762.t,irbt,erf.pa
gnty,qbe.ax,041510.kq,ip
sage,8421.t,vivo,pwf-ps.to
dhx,5vd.f,reta,ane.mc
ff,ip,bbio,tbvpf
law,jkhy,ias,cpi.jo
rsi,601169.ss,hindcopper.ns,601336.ss
ipar,2382.hk,plmr,crbg
gree,rpm,codi,4684.t
msgs,crbg,hbh.de,qbe.ax
enz,9843.t,vei.ol,lsxmb
well,u,sccc.bk,7832.t
til,ual,007310.ks,trmb
bfly,fhn,wac.f,ldos
fgbi,amh,nwc.to,eden.pa
cutr,bill,skc.nz,amun.pa
sana,pool,engh.to,601169.ss
fcpt,plzl.me,cts,axon
qtrx,britannia.ns,patk,tpia.jk
ccsi,s32.ax,jsl.ns,grasim.ns
mvbf,enr.f,saft,gctaf
pgen,pst.mi,allcargo.ns,bio
metc,ipg,nxgn,6869.t
shbi,dpz,gama.l,8015.t
nrim,gctaf,ofg,hindalco.ns
vtnr,600011.ss,kalu,jkhy
flnc,els,htld,8308.t
lmat,nlmk.me,tmp,fhn
bhil,phg,ktos,tru
vir,ane.mc,ssp,sna
om,cboe,hni,cboe
talo,lcid,anf,kim
kpti,siemens.ns,ges,8309.t
civb,csl,uponor.he,tyl
cnx,9735.t,stc,kpn.f
agen,tel.ol,ecpg,cea
ipi,b3sa3.sa,ecvt,els
ltch,kpn.f,tds,para
smmf,lumi.ta,ero,swk
weys,1038.hk,baw.jo,ce
hbcp,1080.sr,tnc,bam
icpt,burl,eig,amh
tsvt,wtrg,krnt,lumi.ta
smr,7270.t,galaxysurf.ns,erie
elvt,hst,nic,c6l.si
mitk,grab,lbai,coin
vtr,re,trs,lbrda
cnob,bdms.bk,c43.f,bvi.pa
reg,uhal,bdn,cbk.f
blfs,ncm.ax,grnd,bim.pa
sgmo,para,sant.f,baer.sw
umh,bio,300113.sz,mru.to
seat,pwf-ps.to,karurvysya.ns,5vd.f
true,zi,rhk.de,lglg.f
axgn,2503.t,amps,scc.bk
iti,uthr,cown,adanipower.ns
user,bim.pa,cok.f,azpn
akba,dabur.ns,xpof,suz
tpb,1050.sr,dcbo,alfa.st
vlta,hindalco.ns,vcel,3692.hk
gldd,lw,ccsi,siemens.ns
spi,pkg,baly,xekt.mc
aspn,alfa.st,avo,mtch
txmd,cs,foi-b.st,1050.sr
ygyi,cpi.jo,pgti,poli.ta
alto,ovv,cron,tnaby
clvs,bajaj-auto.ns,sa,mtx.de
mrtx,mtch,frg,wtrg
cznc,ca.pa,hwx.to,akza.as
orrf,cpt,psg.mc,eqt
rell,nn.as,bhe,6857.t
oled,ebo.f,ite.jo,britannia.ns
vldr,sna,7lx.f,1216.tw
pdfs,wln.pa,silv,601229.ss
hall,axon,hrt,afxa.f
amswa,bnzl.l,borr,rs
ryn,4528.t,bynd,u
ofc,poli.ta,naas,hubb
rxrx,con.de,lc,tech
cbl,tnaby,pds,uhal
indi,sgro.l,caf.mc,nice
bgsf,c6l.si,cav1v.he,ambujacem.ns
hims,4151.t,mtl.to,sgro.l
acnb,0881.hk,rdwr,9735.t
ctv,baer.sw,arqq,wln.pa
dnli,wtc.ax,asts,snn
infu,601229.ss,hlx,cpt
7lx.f,snn,sumo,bah
csr,techm.ns,chalet.ns,psny
fmao,1216.tw,rcf.ns,gblb.vi
soun,dlf.ns,ceatltd.ns,7011.t
agio,5880.tw,skyw,pkg
srdx,cpr.mi,cmco,solb.vi
cstr,bvi.pa,nbg6.f,7201.t
asts,swk,wttr,hei.de
luna,tru,ihrt,teva
ooma,viv,bgs,ovv
fcel,avv.l,indi,bajaj-auto.ns
crdo,rs,shen,6762.t
lsea,docu,prg,600547.ss
genc,600015.ss,inn,5880.tw
o,8830.t,ichr,techm.ns
nfbk,gddy,ppgn.sw,086790.ks
evbn,tbvpf,vray,mktx
spir,0316.hk,otly,csl
amrk,9101.t,zh,viv
gogo,tfx,ttalo.he,tlx.de
aeri,crda.l,ffwm,600015.ss
amal,ttc,ctbi,hst
bcml,akza.as,qcrh,003670.ks
mkfg,1928.t,cj.to,wtc.ax
smsi,q0f.si,bcsf,1928.t
rgnx,acm,cera.ns,zal.de
rovr,abn.as,p1z.vi,exas
amsf,dher.f,fwrg,bnzl.l
pfis,tlx.de,rskd,600588.ss
chrs,dt,bororenew.ns,en.pa
rcus,afxa.f,1119.hk,chk
emkr,indusindbk.ns,wkme,nn.as
dibs,pcty,nfgc,cpr.mi
mp,bankbaroda.ns,wlkp,cg
ghl,gblb.vi,tm17.l,afg
knsl,bxb.ax,sgh,steav.he
amnb,amun.pa,good,bpypp
rbb,bdouy,biox,wpp
poww,ccl,tgi,5871.tw
bcrx,600547.ss,amal,vfc
avct,ggg,allg,2503.t
tig,tap,arr,ttc
brbr,1140.sr,boc,dabur.ns
cns,en.pa,wetf,q0f.si
arlo,600588.ss,sligr.as,unvr.jk
silk,afg,rick,acm
sibn,ce,yext,crda.l
istr,gl,ax-un.to,1140.sr
frge,unvr.jk,rsi,0006.hk
owl,steav.he,nx,dpz
mnkd,nbix,crnc,fcnca
hiw,mtx.de,juve.mi,nmr
rrbi,lglg.f,riot,ggg
msex,2884.tw,proc,uthr
reta,vifn.sw,pnt,1080.sr
nndm,1023.kl,exfy,avv.l
allo,scc.bk,synt.l,entg
cetx,lbrda,dsgn,nexi.mi
fna,wdc,orientelec.ns,rdor3.sa
fnhc,0006.hk,hska,ihg
embk,2892.tw,grc,crl
hr,okta,orron.st,bankbaroda.ns
nwli,bsy,pubm,indusindbk.ns
cemi,psny,itm.l,bap
riot,qgen,sxc,wdc
ltrx,chrw,nrds,stx
bfc,5871.tw,adv,gddy
radi,mas,wbx,4151.t
tcbx,stx,auph,900945.ss
fbiz,bbni.jk,exk,gl
mcrb,ni,indt,9101.t
mgtx,8308.t,bigc,0019.hk
aren,8309.t,sli,yar.ol
htbk,hsic,alvr,bol.st
pi,reg,tbi,docu
llap,0019.hk,aedas.mc,mas
gsat,cna,tngx,601600.ss
lpth,godrejcp.ns,pmet.v,0316.hk
arwr,aci,giii,cna
inve,003670.ks,sd,armk
atlc,601336.ss,yorw,rno.pa
cvly,srpt,rpower.ns,min.ax
satl,eqh,enfn,rand.as
imh,cpu.ax,mmx,1177.hk
nh,yar.ol,mastek.ns,2892.tw
astr,1177.hk,anip,godrejcp.ns
bdn,armk,scvl,vifn.sw
wti,cg,pbi,1023.kl
pwod,eichermot.ns,ghrs,phm
cpe,rand.as,audc,7270.t
civi,ivn.to,accd,2884.tw
cdmo,3692.hk,0302.hk,qgen
rlay,inf.l,gpil.ns,scb.bk
sst,wpp,dco,zi
akya,096775.ks,hcat,sap.to
sien,dox,bry,aci
iova,barn.sw,trtx,lha.de
pgre,nexi.mi,hikal.ns,ryan
ino,crl,infibeam.ns,dlf.ns
irnt,bxp,5168.kl,rea.ax
jynt,2207.tw,mor,wynn
oesx,vfc,mvst,inf.l
nile,entg,pdsmfl.ns,323410.ks
myfw,rea.ax,ktkbank.ns,imp.jo
for,nmr,drd,bxb.ax
pgny,nws,faro,reg
dvax,6146.t,sim0.f,gfi
cfms,divislab.ns,mofg,2207.tw
frt,2603.tw,myps,tfx
tvtx,bpypp,fdev.l,eqh
skt,cipla.ns,chuy,nws
lcnb,bap,egy,ni
cwen,ihg,olectra.ns,bnr.de
oyst,lund-b.st,avdl,h
elf,vbl.ns,mtls,fnf
hrtx,indu-a.st,tipt,rpm
bmrc,chmf.me,dhil,lund-b.st
bcbp,mktx,hlvx,kbank.bk
rmti,fcnca,bhil,okta
hwbk,telia.st,varroc.ns,indu-a.st
dtc,jnpr,zyxi,rexr
agfs,hei.de,bhg,bxp
paya,lti.bo,achr,deck
bngo,kmx,flws,ana.mc
mfa,ryan,midhani.ns,srpt
rwt,shreecem.ns,vih1.f,ssl
pear,ema.to,safari.ns,rr.l
wneb,601600.ss,2753.tw,ymm
anik,rexr,dxpe,aal
uan,h,fsbc,tap
sbt,sci,ingn,ccj
cuz,czr,schneider.ns,chrw
xers,cday,rovio.he,barn.sw
bli,hal.ns,meso,fbk.mi
sitc,sap.to,kzr,emn
lfg,bol.st,mvis,bsy
adth,min.ax,hyln,sci
djco,mtn,qtrx,aeg
peco,thyao.is,nnox,096775.ks
oust,phm,nazara.ns,scg.ax
pstx,rno.pa,smrt,bill
xos,coin,npk,ggb
fuv,2801.t,tnp,h78.si
lbc,2587.t,aces.jk,wes
fnwb,ana.mc,anik,hsic
vitl,solb.vi,tinplate.ns,divislab.ns
pebk,7532.t,belfb,lti.bo
actg,9021.t,wrld,4528.t
mtdr,dks,rani,flex
dnmr,flex,ebtc,viv.pa
inbk,wso,vigl,ivn.to
vcel,emn,powermech.ns,mmp
rnwk,h78.si,xper,dox
coco,lha.de,bzh,ema.to
dtm,fnf,mahlog.ns,pcty
dcph,futu,bvh,bbni.jk
lway,gz5.f,dmrc,8830.t
arvn,deck,evc,clf
mcbc,mmp,ske,dar
si,cbk.f,263750.kq,6146.t
sitm,scg.ax,mirzaint.ns,5020.t
pfbc,tost,pstx,dks
vnda,teva,tcnsbrands.ns,bili
sfst,nly,nrgv,rhc.ax
stwd,fmcct,3b7.f,shreecem.ns
tsbk,qrvo,kkcl.ns,bbwi
ifmk,lamr,nktx,dt
opal,0083.hk,ht,5713.t
opof,spx.l,rbbn,wso
lpi,sun.ax,jchac.ns,nly
apyx,wes,feam,7532.t
hear,kep,rbt,tpg
blze,nfe,kpti,2603.tw
alec,3407.t,avir,bldr
lmnr,5020.t,swim,thyao.is
vray,awl.ns,brt,2267.t
fnlc,dino,sfst,five
leu,imp.jo,bbby,eichermot.ns
figs,rhc.ax,tpc,uhs
edit,fbk.mi,rxst,alo.pa
wetf,ar,gotu,agco
atlo,wolf,nc,snx
flnt,an,t5n.f,cipla.ns
cdxs,2880.tw,orientcem.ns,telia.st
mrmd,032830.ks,300467.sz,cck
smpl,hlma.l,ardx,kep
tbnk,6645.t,cbay,brby.l
sctl,ent.l,lptv,shl.ax
cere,ggb,lyts,nbix
cweb.to,shl.ax,cnta,0083.hk
gnln,ssl,petq,nxt.l
dmtk,brby.l,suryarosni.ns,fms
ovbc,51c.f,afcg,tpr
chrd,lscc,csw-a.to,2880.tw
xncr,cck,gpmt,dino
lung,c38u.si,dzsi,ent.l
cytk,logi,dib.mi,spx.l
pdlb,xgj.f,rbot,bwa
veru,2267.t,arl,gfl
eose,9202.t,atro,bch
clfd,scb.bk,fbiz,cday
rekr,sge.l,0709.hk,inw.mi
slng,gfl,hrow,lamr
boc,bldr,clar,czr
aumn,dar,nine,032830.ks
omic,five,7844.t,tost
tmci,gfi,ethosltd.ns,sun.ax
nmih,icl,adap,jnpr
artna,red.mc,unty,003550.ks
krc,0322.hk,arlo,jbl
stro,086790.ks,silc,kbx.de
nrix,0992.hk,rupa.ns,rent3.sa
krg,bch,pcsb,fmcct
dbrg,jazz,ocft,gz5.f
airs,inw.mi,oyst,kmx
eqrx,agco,whf,z
wing,kchol.is,fsp,c38u.si
snd,qnbfb.is,nvec,pum.de
cort,pry.mi,spicejet.ns,morn
sunl,3008.tw,refi,dwni.de
bwb,rgen,annx,hal.ns
cvcy,tpg,weys,2587.t
prct,5713.t,lndc,p9o.f
ptrs,5819.kl,mgtx,qrvo
essa,wynn,pear,2007.hk
vre,brkr,dbvt,mtn
xpof,688012.ss,rlgt,rhm.f
aip,aeg,hnst,jd.l
otrk,jbl,shripiston.ns,6645.t
kos,7202.t,hil.ns,ade.ol
dmrc,yndx.me,fll,pry.mi
ocul,1821.hk,mmfl.ns,9021.t
kw,kbank.bk,blnd,brkr
aeva,wsc,vuzi,9202.t
prm,vst,tcbx,evk.de
lmst,fgr.pa,dske,hlma.l
amlx,morn,filatex.ns,enkai.is
devo.l,arcc,cvly,alle
fxlv,003550.ks,tcs,lbtyb
celu,viv.pa,bwfg,kchol.is
ngm,bbwi,tcfc,5819.kl
celh,alle,ivvd,indigo.ns
rvsb,bn4.si,zye1.f,nst.ax
snax,bwa,absp.jo,twlo
erii,zen,sanghiind.ns,lscc
unty,sca-b.st,vygr,fgr.pa
alco,ccj,alembicltd.ns,3407.t
ctso,2007.hk,asps,cpu.ax
wkhs,hle.f,hindoilexp.ns,wolf
rxst,snx,cantabil.ns,rgen
axdx,cube,mbcn,nvcr
irwd,bnr.de,naclind.ns,jazz
lyel,alo.pa,xxii,2801.t
sonx,rdor3.sa,poww,icl
evgo,fms,otlk,51c.f
bdsx,pfgc,zimv,arcc
espr,323410.ks,mkfg,rga
hdsn,tfii,aenz,ewbc
pxlw,9143.t,tup,0322.hk
igms,bj,grph,xgj.f
mcbs,bki,ags,an
envx,bili,mrns,red.mc
cia,twlo,gtlinfra.ns,au
vel,indigo.ns,akts,umi.vi
ear,kbx.de,cptn,6823.hk
sirc,wrk,rros.st,aa
ctm,nxt.l,kvhi,vbl.ns
stem,2883.hk,wldn,2883.hk
cenn,uhs,sunl,sge.l
rvp,zal.de,ymab,wsc
sght,hii,igpl.ns,1821.hk
rvmd,ymm,dlth,zen
gpor,coh.ax,vbnk,688012.ss
pfhd,0004.hk,0547.hk,rco.pa
pets,rr.l,carerating.ns,coh.ax
absi,601021.ss,hoft,plug
inpx,bel.ns,igarashi.ns,legn
ampy,2912.tw,asur,wrk
bksy,rga,fet,vips
smlp,rent3.sa,atom,sca-b.st
achr,6701.t,jakk,keskoa.he
aat,6823.hk,agil,ipn.pa
swtx,knx,g5en.st,hle.f
prtk,bpcl.ns,ply.ax,ald.ax
repl,sbicard.ns,arvl,aos
crk,ffiv,ghl,aldar.ae
zev,tpr,adw-a.to,bn4.si
akts,lii,pebk,2382.tw
corz,pstg,rgf,cube
nodk,lbtyb,ajx,0992.hk
kern,2885.tw,aciu,cpn.bk
dlpn,3402.t,omaxe.ns,2912.tw
apen,6988.t,kfs,2885.tw
rpid,5802.t,inve,tfii
mcb,casy,ineosstyro.ns,bki
urgn,rdy,xair,jbss3.sa
ncsm,2382.tw,bgsf,pfgc
vrar,lsi,ytra,xp
adn,rhm.f,kopn,bpcl.ns
hyln,ald.ax,aip,babwf
kntk,tataconsum.ns,pays,jhx
staf,vacn.sw,ricoauto.ns,bj
owlt,ewbc,mict,6701.t
bfin,umi.vi,soph,sdr.l
