09-wissel-company_code,05-MalPatSaj-symbol,04-iGMM-code,02-GioPonSpiz-codice
eog,mmm,dash,usb
avo,bnp.pa,1766.hk,ibe.mc
bke,hca,0390.hk,itw
jxn,itw,stan.l,mmm
meg,csx,4901.t,601888.ss
mir,gd,6752.t,600900.ss
mpwr,wm,600016.ss,noc
hrt,bsx,ares,cs.pa
zi,9984.t,cah,zurn.sw
cbu,cs.pa,tcom,pbr
mye,bbca.jk,gwo.to,alphadhabi.ae
etsy,sbin.ns,035420.ks,nab.ax
trmk,600900.ss,1113.hk,wmmvf
chef,cl,anss,apd
zimv,usb,hban,bmo
ese,hum,pwr,csx
up,nab.ax,podd,d05.si
novt,eqix,gfnorteo.mx,0883.hk
scsc,2010.sr,nio,eqix
ltrpa,fisv,zm,bsx
sgen,d05.si,6301.t,bbca.jk
ntra,ker.pa,ts,sbin.ns
dbx,shw,ntrs,9984.t
hzo,9433.t,688599.ss,pnc
prlb,etn,cag,ubs
nxgn,0883.hk,4452.t,gd
mcri,lrcx,035720.ks,601658.ss
extr,9983.t,clx,bmw.de
bh,4568.t,wab,aon
oscr,aon,4911.t,etn
agil,601888.ss,lgen.l,cci
thry,cme,tou.to,fisv
twnk,cnq,rblx,cl
mrc,oewa.f,f34.si,amx
vpg,9633.hk,068270.ks,9633.hk
pinc,bmo,powergrid.ns,lrcx
scvl,wmmvf,ste,9433.t
mesa,shl.de,rprx,fcx
ayx,ivs.f,cbga.f,shw
apei,pnc,payc,enel.mi
cchwf,atvi,nu,cnq
hil,nsc,teck,abnb
ibkr,hdfc.ns,aes,wm
ucbi,pbr,incy,cme
afrm,bhartiartl.ns,swed-a.st,tfc
sam,mu,sui,abb
ozk,atco-b.st,4578.t,hum
cnxn,cci,sbk.jo,mu
webr,abnb,hindzinc.ns,dg.pa
rick,abb,0175.hk,300760.sz
cenx,601658.ss,bop.f,ivs.f
sofi,bmw.de,gebn.sw,bns
gnw,ubs,etsy,smfg
evtc,bns,h.to,bx
ryam,1180.sr,agr,bayzf
mtch,amx,lyv,shl.de
zumz,bx,itsa3.sa,4568.t
sats,ice,wpc,kkr
hhs,oxy,zs,chtr
mpln,klac,ball,000333.sz
vsec,dg.pa,cinf,eand.ae
vra,met,chkp,ice
crsr,emr,pow.to,atvi
dxpe,enel.mi,fslr,scco
ottr,fcx,rkt,klac
dco,tfc,ato,oxy
wsbc,adanient.ns,nzym.vi,1180.sr
chgg,wbc.ax,tatasteel.ns,nsc
aosl,tri,pky1.f,0388.hk
orn,relx,swma.st,atco-b.st
sigi,kkr,sjm,603288.ss
scl,dg,mga,uber
glp,uber,emsn.sw,saf.pa
trgp,lici.ns,algn,hdfc.ns
maa,0388.hk,spot,wbc.ax
wbs,heia.as,ess,aal.l
ebs,mco,enelam.sn,0728.hk
kbal,bayzf,ptc,ntes
rnst,gm,asx,mco
hayw,300760.sz,bg,oewa.f
spg,f,fortum.he,heia.as
shoo,000333.sz,sw.pa,mpc
cveo,omzzp.me,1605.t,emr
gmed,pxd,ual,9983.t
cpsi,0728.hk,ac.mx,pxd
bgfv,saf.pa,tatn.me,san
ll,603288.ss,rcl,601166.ss
tg,mnst,lcid,tri
eqr,rkt.l,grasim.ns,met
cswi,vmw,shg,epd
mygn,epd,ucb.vi,relx
mrcy,kdp,aer,bhartiartl.ns
ehth,psa,012330.ks,e
ayrwf,mck,2891.tw,lici.ns
wk,aal.l,azpn,meli
ois,4063.t,net,ri.pa
ande,8035.t,sngs.me,mck
dlb,601166.ss,2002a.tw,omzzp.me
fibk,rosn.me,avtr,vmw
rpd,mpc,ambujacem.ns,mnst
scwx,gis,trmb,8035.t
hlio,sre,pltr,bas.de
accd,itc.ns,hubs,rkt.l
tsq,ri.pa,lbrda,vlo
ntct,ls4c.f,chk,d
swi,chtr,gctaf,dg
dnow,adm,britannia.ns,anz.ax
atni,orly,ip,khc
podd,6098.t,tyl,gm
tcs,e,cpi.jo,dpw.de
swim,aep,bdms.bk,dsy.pa
pycr,snps,6762.t,4063.t
evop,mar,tel.ol,psa
form,dsy.pa,nlmk.me,mar
titn,6501.t,1038.hk,f
cnty,edf.pa,burl,orly
