,id,name,address,nation,hhid,industry,sic_code,type,est_of_ownership
40,2f9e78016bbc415580022225c4de572d,hera trading srl,"via molino rosso 8, imola, 40026, bologna, italy",it02060500390,h-it0074565141,"transportation, communications, electric, gas, and sanitary services",natural gas distribution (4924),corporation,2001
41,1ad3bb1ad4264ca585e4bf46de3d60ca,alleanza assicurazioni spa,"piazza fidia 1, milano, 20159, milano, italy",it10908160012,h-it0037371592,"finance, insurance, and real estate",insurance carrier (6399),corporation,2009
42,f00ea327ca4440398769d7395f67cdae,marco polo international italy srl,"via san primo 4, milano, 20121, milano, italy",it10449990968,h-it0062549707,"finance, insurance, and real estate",holding company (6719),corporation,2018
43,2486a3b00cfa4cccba3034b117431045,fincantieri spa,"via genova 1, trieste, 34121, trieste, italy",it00629440322,h-it0009238654,manufacturing,shipbuilding/repairing (3731),corporation,1959
44,8142ea313f08481c8768847853ccdcbe,eurospin italia spa,"via campalto 3/d, san martino buon albergo, 37036, verona, italy",it02536510239,h-it0075267381,"finance, insurance, and real estate",holding company (6719),corporation,1994
45,bcf164aec658499eb6fb49e7fe76cf02,e-distribuzione spa,"via carlo felice 35, sassari, 07100, sassari, italy",it05779711000,h-it0072864532,"transportation, communications, electric, gas, and sanitary services",electric services (4911),corporation,1999
46,acb148205c004d37bd32aa1e56cc9a25,saipem spa,"via martiri di cefalonia 67, san donato milanese, 20097, milano, italy",it00825790157,h-it0012466115,construction,building equipment installation (1796),corporation,1969
47,677da39f1b944128964541dd2153c70e,enel produzione spa,"viale regina margherita 125, roma, 00198, roma, italy",it05617841001,h-it0012768553,"transportation, communications, electric, gas, and sanitary services",electric services (4911),corporation,1962
48,670771c19fb54b95a910bb9ffaea6674,guccio gucci spa,"via don lorenzo perosi 6, scandicci, 50018, firenze, italy",it04294710480,h-it0049515195,manufacturing,mfg luggage (3161),corporation,1939
49,1d799196c9d6416384ab7aad98d9ef93,pirelli & c. spa,"viale piero e alberto pirelli 25, milano, 20126, milano, italy",it00860340157,h-it0049412493,"finance, insurance, and real estate",holding company (6719),corporation,1883
50,136d9e676c6b45b980fa5a4fc4e8c63b,unicredit allianz vita spa,"piazza tre torri 3, milano, 20145, milano, italy",it11931360157,h-it0018259456,"finance, insurance, and real estate",life insurance carrier (6311),corporation,1995
51,6c1335be73244fbfb8ca8b417520bf54,acquirente unico spa,"via guidubaldo del monte 45, roma, 00197, roma, italy",it05877611003,h-it0067043127,"transportation, communications, electric, gas, and sanitary services",electric services (4911),corporation,1999
52,9431ce738c2040f7a7a90e85b7ba38e2,volkswagen group italia spa,"viale gerard richard gumpert 1, verona, 37137, verona, italy",it01779120235,h-it0010567739,retail trade,ret new/used automobiles (5511),corporation,1984
53,c861f82a86284dc0aa7ec95cd8a1f9ba,versalis spa,"piazza marcello boldrini 1, san donato milanese, 20097, milano, italy",it01768800748,h-it0064072819,manufacturing,mfg chemical preparations (2899),corporation,1989
54,25bd083f919f49bbb34c115e24880251,a. menarini industrie farmaceutiche riunite srl,"via dei sette santi 3, firenze, 50131, firenze, italy",it00395270481,h-it0022029265,manufacturing,mfg pharmaceutical preparations (2834),corporation,1886
55,15f323b04f4f4d82882f624ae49811ae,barilla holding srl,"via mantova 166, parma, 43122, parma, italy",it00489540344,h-it0029320852,"finance, insurance, and real estate",holding company (6719),corporation,1978
56,f24025db02c945e489b61c4116cb915a,guido m. barilla e f.lli sapa,"via mantova 166, parma, 43122, parma, italy",it01736530344,h-it0064643417,"finance, insurance, and real estate",holding company (6719),corporation,1984
57,f5cfb82da75f4a8aa348ab83a1edd4d3,cremonini spa,"via modena 53, castelvetro di modena, 41014, modena, italy",it00162810360,h-it0013386905,"finance, insurance, and real estate",holding company (6719),corporation,1966
58,74bd44bf04504dd68b6a2fd7f065bfec,cremofin srl,"via modena 53, castelvetro di modena, 41014, modena, italy",it01598040366,h-it0075279762,"finance, insurance, and real estate",holding company (6719),corporation,1985
59,5f0843949d914a7f9da23e396084176e,societa' europea veicoli leggeri sevel spa,"viale avvocato giovanni agnelli 10, atessa, 66041, chieti, italy",it00297220691,h-it0011629053,manufacturing,mfg motor vehicle/car bodies (3711),corporation,1978
60,6192d419add34cc2a3327718157a02f5,ferrari - societa'per azioni esercizio fabbriche automobili e corse,"via abetone inferiore 2, maranello, 41053, modena, italy",it00159560366,h-it0010782370,manufacturing,mfg motor vehicle/car bodies (3711),corporation,1947
61,19d9fec43cd44a8fb013b52006adc41b,credit agricole vita spa,"strada dell'universita' 1, parma, 43121, parma, italy",it01966110346,h-it0069830649,"finance, insurance, and real estate",life insurance carrier (6311),corporation,1988
62,b82eb3083b9c448ab728d8e3f70a9959,sonatrach raffineria italiana srl,"contrada marcellino c.p. 88 snc, augusta, 96011, siracusa, italy",it10410680960,h-it0062076590,manufacturing,petroleum refiner (2911),corporation,2018
63,68b2ae2f3243401db49cb9ad0a03a145,coop alleanza 3.0 soc coop,"via villanova 29/7, castenaso, 40055, bologna, italy",it03503411203,h-it0048664421,retail trade,ret groceries (5411),corporation,1923
64,3ae7c897aa2a4f2ba3a037e8fa0923b4,chimet spa,"via dei laghi 31/33, civitella in val di chiana, 52041, arezzo, italy",it00155440514,h-it0010938249,manufacturing,primary nonferrous metal producer (3339),corporation,1974
65,517216c3c2cf4b818ac114d8f0136796,riva forni elettrici spa,"viale certosa 249, milano, 20151, milano, italy",it07969220966,h-it0007097441,"finance, insurance, and real estate",holding company (6719),corporation,2012
66,409983a155f34590a2fe6cf584d702e0,nuovo pignone holding spa,"via felice matteucci 2, firenze, 50127, firenze, italy",it00395360480,h-it0008020531,"finance, insurance, and real estate",holding company (6719),corporation,1954
67,2bceb5c326d841fea00a2888c14e1a55,zeor finanziaria spa,"via di porta pinciana 4, roma, 00187, roma, italy",it05678591008,h-it0071035370,"finance, insurance, and real estate",holding company (6719),corporation,1999
68,89cfe3446df9452084033bea47876c79,autostrade per l'italia spa,"via alberto bergamini 50, roma, 00159, roma, italy",it07516911000,h-it0072798300,"transportation, communications, electric, gas, and sanitary services",transportation services (4789),corporation,1950
69,c2fb6cafc94443e6a5c1bdbd62dd9e56,trenitalia spa,"piazza della croce rossa 1, roma, 00161, roma, italy",it05403151003,h-it0008914621,"transportation, communications, electric, gas, and sanitary services",railroad line-haul operator (4011),corporation,1905
70,666abbfdaf484e12b6e55e756a1367ad,fideuram vita spa,"via ennio quirino visconti 80, roma, 00193, roma, italy",it10830461009,h-it0003516644,"finance, insurance, and real estate",life insurance carrier (6311),corporation,1980
71,23a88a47b38c4f5ea15e0056ee84a4a6,marcegaglia holding srl,"via bresciani 16, gazoldo degli ippoliti, 46040, mantova, italy",it02466980204,h-it0046685529,manufacturing,mfg steel pipe/tubes (3317),corporation,2015
72,63672032c7c142b2aa189a38c519ab06,vodafone italia spa,"via guglielmo jervis 13, ivrea, 10015, torino, italy",it08539010010,h-it0065547691,"transportation, communications, electric, gas, and sanitary services",telephone communications (4813),corporation,2002
73,4e27dd9577a54e398dd66ef3ec16eafd,edison energia spa,"foro buonaparte 31, milano, 20121, milano, italy",it08526440154,h-it0073491527,"transportation, communications, electric, gas, and sanitary services",electric services (4911),corporation,1986
74,e094f47b765b4feba1911ca2c0f7275e,italpreziosi spa,"localita' san zeno zona industriale strada a 32, arezzo, 52100, arezzo, italy",it01111420517,h-it0034827331,manufacturing,primary nonferrous metal producer (3339),corporation,1984
