,assets,ceo,country,employees,founded,industry,link,market_value,market_value_apr_2022,name,profit,revenue,revenue_2022,sales
assets,1.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142
ceo,0.0,1.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
country,0.0,0.07692307692307693,1.0,0.0,0.058823529411764705,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
employees,0.05555555555555555,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125
founded,0.0,0.0,0.058823529411764705,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
industry,0.0,0.0,0.1875,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
link,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
market_value,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.48,0.05263157894736842,0.0,0.09523809523809523,0.0,0.0
market_value_apr_2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,1.0,0.0,0.0,0.0,0.1935483870967742,0.0
name,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,1.0,0.0,0.07142857142857142,0.0,0.0
profit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09523809523809523,0.0,0.07142857142857142,0.0,1.0,0.4375,0.0
revenue_2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1935483870967742,0.0,0.0,0.4375,1.0,0.0
sales,0.07142857142857142,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
