Name,Industry,Sector,Headquarters,Founded
3H Biomedical,Health care,Biotechnology,Uppsala,2004
AarhusKarlshamn,Consumer goods,Food products,Malmö,2005
Abba Seafood,Consumer goods,Food products,Gothenburg,1883
ABU Garcia,Consumer goods,Recreational products,Svängsta,1921
Acando,Technology,Software,Stockholm,2001
Acast,Technology,Software,Stockholm,2014
Acne Studios,Consumer goods,Clothing & accessories,Stockholm,1997
ÅF,Industrials,Business support services,Stockholm,1895
AGA,Oil & gas,Exploration & production,Luleå,1904
Åhléns,Consumer services,Broadline retailers,Stockholm,1899
Alfa Laval,Industrials,Industrial machinery,Lund,1883
Alfdex,Industrials,Industrial machinery,Landskrona,2002
AP&T,Industrials,Industrial machinery,Ulricehamn,1989
Apoteket,Health care,Pharmaceuticals,Stockholm,1970
Aptilo Networks,Telecommunications,Mobile telecommunications,Stockholm,2001
Arcam,Industrials,Industrial suppliers,Mölndal,1997
ASEA,Industrials,Diversified industrials,Västerås,1883
ABB,Industrials,Industrial machinery,Västerås,1988
Assa Abloy,Industrials,Industrial suppliers,Stockholm,1994
Astra AB,Health care,Pharmaceuticals,Södertälje,1913
Atlas Copco,Industrials,Diversified industrials,Nacka,1873
Atlet,Industrials,Commercial vehicles & trucks,Mölnlycke,1958
Autoliv,Industrials,Business support services,Stockholm,1997
Avalanche Studios,Technology,Software,Stockholm,2003
Avanza,Financials,Investment services,Stockholm,1999
Axel Johnson,Conglomerates,-,Stockholm,1873
Axel Johnson Group,Conglomerates,-,Stockholm,1873
Axfood,Consumer services,Food retailers & wholesalers,Stockholm,1964
Axis Communications,Technology,Computer hardware,Lund,1984
BAE Systems,Industrials,Defense,Örnsköldsvik,2006
Bahco,Industrials,Diversified industrials,Enköping,1886
Bahnhof,Telecommunications,Fixed line telecommunications,Stockholm,1994
Ballograf,Consumer goods,Nondurable household products,Gothenburg,1945
Berg Propulsion,Industrials,Industrial machinery,Gothenburg,1912
Betsson,Consumer services,Gambling,Stockholm,1963
Biacore,Health care,Biotechnology,Uppsala,1984
BillerudKorsnäs,Basic materials,Paper,Solna,2012
Bindomatic,Industrials,Industrial suppliers,Stockholm,1974
BioGaia,Health care,Pharmaceuticals,Stockholm,1990
Björn Borg,Consumer goods,Clothing & accessories,Stockholm,2004
Bofors,Industrials,Defense,Karlskoga,1873
Boghammar Marin AB,Industrials,Commercial vehicles & trucks,Lidingö,1906
Boliden,Basic materials,General mining,Stockholm,1931
Bolinder-Munktell,Industrials,Commercial vehicles & trucks,Eskilstuna,1932
Bona AB,Industrials,Building materials & fixtures,Malmö,1919
Bonnier Group,Consumer services,Broadcasting & entertainment,Stockholm,1804
Braathens Regional Aviation,Consumer services,Airlines,Malmö,1981
Bredbandsbolaget,Telecommunications,Fixed line telecommunications,Stockholm,1998
Brio,Consumer goods,Toys,Malmö,1884
Bure Equity,Financials,Investment services,Stockholm,1992
Camfil,Industrials,Industrial machinery,Stockholm,1963
Carnegie Investment Bank,Financials,Investment services,Stockholm,1803
Casino Cosmopol,Consumer services,Gambling,Stockholm,1999
Cederroth,Health care,Health care providers,Upplands Väsby,1895
Cheap Monday,Consumer goods,Clothing & accessories,Stockholm,2000
Clas Ohlson,Consumer services,Home improvement retailers,Insjön,1918
Clavia,Consumer goods,Recreational products,Stockholm,1983
Cloetta,Consumer goods,Food products,Stockholm,1862
Columbitech,Technology,Software,Stockholm,2000
Com Hem,Telecommunications,Fixed line telecommunications,Stockholm,1983
Comviq,Telecommunications,Fixed line telecommunications,Stockholm,1981
Coop Norden,Consumer services,Food retailers & wholesalers,Stockholm,2001
Danir AB,Financials,Investment services,Malmö,1986
Dataphone,Telecommunications,mobile telecommunications,Stockholm,2001
Datasaab,Industrials,Business support services,Linköping,1954
DeLaval,Industrials,Commercial vehicles & trucks,Tumba,1883
Destination Gotland,Consumer services,Travel & tourism,Visby,1998
Diamyd Medical,Health care,Biotechnology,Stockholm,1994
Dockstavarvet,Industrials,Commercial vehicles & trucks,Docksta,1905
Domnarvet,Basic materials,Iron & steel,Borlänge,1872
Doro,Technology,Telecommunications equipment,Malmö,1974
Draim,Technology,Software,Nacka,2003
EA DICE,Technology,Software,Stockholm,1992
Elanders,Industrials,Business support services,Mölnlycke,1908
Electrolux,Consumer goods,Durable household products,Stockholm,1919
Elekta,Health care,Health care providers,Stockholm,1972
Elektron,Consumer goods,Recreational products,Gothenburg,1998
Elfa International,Consumer goods,Furnishings,Malmö,1948
Ellos,Consumer services,Broadline retailers,Borås,1947
ENEA AB,Technology,Software,Kista,1968
Eniro,Technology,Internet,Stockholm,2000
Epidemic Sound,Technology,Internet,Stockholm,2009
Ericsson,Technology,Telecommunications equipment,Stockholm,1876
ESAB,Industrials,Business support services,Gothenburg,1904
Eskilstuna Energy and Environment,Utilities,Conventional electricity,Eskilstuna,1993
Esselte,Industrials,Industrial suppliers,Stockholm,1913
European Spallation Source,Industrials,Business support services,Lund,2013
Fagerhult Group,Industrials,Building materials & fixtures,Habo,1945
Fatshark,Technology,Software,Stockholm,2008
Fjällräven,Consumer goods,Clothing & accessories,Örnsköldsvik,1960
FKAB,Industrials,Business support services,Uddevalla,1961
Föreningsbanken,Financials,Banks,Stockholm,1992
Forex Bank,Financials,Investment services,Stockholm,1927
Frictional Games,Technology,Software,Helsingborg,2007
Galvin Green,Consumer goods,Clothing & accessories,Växjö,1990
GB Glace,Consumer goods,Food products,Stockholm,1942
Gekås,Consumer services,Broadline retailers,Falkenberg,1963
Getinge Group,Health care,Medical equipment,Gothenburg,1904
Göinge Mekaniska,Industrials,Heavy construction,Hässleholm,1946
Green Cargo,Industrials,Delivery services,Solna,2001
Grimaldi Industri,Conglomerates,-,Stockholm,1970
Gunnebo Group,Industrials,Business support services,Gothenburg,1889
H&M,Consumer services,Apparel retailers,Stockholm,1947
Haglöfs,Consumer goods,Recreational products,Torsång,1914
Hagström,Consumer goods,Recreational products,Älvdalen,1925
Haldex,Consumer goods,Auto parts,Landskrona,1887
Hallberg-Rassy,Consumer goods,Recreational products,Ellös,1943
Handelsbanken,Financials,Banks,Stockholm,1871
Hasselblad,Consumer goods,Recreational products,Gothenburg,1841
Hästens,Consumer services,Specialty retailers,Köping,1852
Hestra,Consumer goods,Clothing & accessories,Hestra,1936
Hexagon AB,Industrials,Business support services,Stockholm,1992
HMS Industrial Networks,Telecommunications,Fixed line telecommunications,Halmstad,1988
Höganäs AB,Basic materials,Iron & steel,Höganäs,1797
Holmen,Basic materials,Paper,Stockholm,1875
Husaberg,Consumer goods,Automobiles,Mattighofen,1988
Husqvarna Group,Industrials,Industrial suppliers,Stockholm,1689
Hydrauliska Industri AB,Industrials,Commercial vehicles & trucks,Hudiksvall,1944
IAR Systems,Technology,Software,Uppsala,1983
ICA Gruppen,Consumer services,Broadline retailers,Stockholm,1938
IFS AB,Technology,Software,Linköping,1983
Ikano Bank,Financials,Banks,Malmö,1995
IMINT Image Intelligence AB,Technology,Software,Uppsala,2007
Infranord,Industrials,Railroads,Solna,2010
Ingate Systems,Technology,Software,Stockholm,2001
Intertex,Technology,Computer hardware,Stockholm,2001
Investment AB Latour,Financials,Investment services,Gothenburg,1984
Investment AB Öresund,Financials,Investment services,Stockholm,1961
Investor AB,Financials,Investment services,Stockholm,1916
IsaDora,Consumer goods,Personal products,Malmö,1983
iZettle,Technology,Software,Stockholm,2011
J.Lindeberg,Consumer goods,Clothing & accessories,Stockholm,1997
Jeeves,Technology,Software,Stockholm,1992
Jernhusen,Industrials,Railroads,Stockholm,2001
Jofa,Consumer goods,Recreational products,Malung,1926
Jonsereds Fabrikers AB,Industrials,Industrial machinery,Jonsered,1832
Kinnevik AB,Financials,Investment services,Stockholm,1936
Klarna,Consumer services,Broadline retailers,Stockholm,2005
Kockums Naval Solutions,Industrials,Commercial vehicles & trucks,Malmö,1840
Koenigsegg,Consumer goods,Automobiles,Ängelholm,1994
Kooperativa Förbundet,Consumer services,Consumer co-operatives,Stockholm,1899
Kopparbergs Brewery,Consumer goods,Brewers,Kopparberg,1882
Kosta Glasbruk,Industrials,Building materials & fixtures,Kosta,1742
Krönleins,Consumer goods,Brewers,Halmstad,1836
Kungsörnen,Consumer goods,Food products,Järna,1929
L E Lundbergföretagen,Financials,Investment services,Stockholm,1944
Länsförsäkringar,Financials,Full line insurance,Stockholm,1801
Länsförsäkringar Bank,Financials,Banks,Stockholm,1996
Lantmännen,Consumer goods,Farming & fishing,Stockholm,2001
LeoVegas,Consumer services,Gambling,Stockholm,2011
