Name,Industry,Sector,Headquarters,Founded
Softpedia,Technology,Software,Bucharest,2001
Softwin,Technology,Software,Bucharest,1990
TAROM,Consumer services,Airlines,Otopeni,1954
Tehnoton,Consumer goods,Consumer electronics,Iaşi,1972
Telekom Romania,Telecommunications,Fixed line telecommunications & mobile telecommunications,Bucharest,1991
Terapia Ranbaxy,Health care,Pharmaceuticals,Cluj-Napoca,1920
Țiriac Holdings,Conglomerates,-,Bucharest,1990
Transferoviar Grup,Industrials,Railroads,Cluj-Napoca,2003
Trilulilu,Technology,Internet,Cluj-Napoca,2007
Ubisoft Bucharest,Technology,Software,Bucharest,1992
UPC Romania,Telecommunications,Fixed line telecommunications,Bucharest,1992
Ursus Breweries,Consumer goods,Brewers,Bucharest,1878
UTI Holdings,Conglomerates,-,Bucharest,1990
Vodafone Romania,Telecommunications,Mobile telecommunications,Bucharest,1997
Zentiva,Health care,Pharmaceuticals,Bucharest,1962
Altri,Basic materials,Paper,Porto,2005
Ambar – Ideas on Paper S.A.,Industrials,Industrial suppliers,Porto,1939
Banco Comercial Português,Financials,Banks,Porto,1985
Bial,Health care,Pharmaceuticals,Trofa,1924
Caixa Geral de Depósitos,Financials,Banks,Lisbon,1876
Carris,Consumer services,Travel & tourism,Lisbon,1872
Central de Cervejas,Consumer goods,Brewers,Vila Franca de Xira,1934
Chipidea,Technology,Semiconductors,Oeiras,1997
Churchill's Port,Wine making,Port wine,Porto,1981
Ciberbit,Technology,Software,Coimbra,1995
Cimpor,Industrials,Building materials & fixtures,Lisbon,1976
CMS-Helmets,Consumer goods,Clothing & accessories,Anadia,1976
Cofina,Consumer services,Publishing,Porto,1856
Comboios de Portugal,Consumer services,Travel & tourism,Lisbon,1856
Conservas Ramirez,Consumer goods,Food products,Matosinhos,1853
Continente,Consumer services,Food retailers & wholesalers,Matosinhos,1985
Corticeira Amorim,Basic materials,Industrial suppliers,Santa Maria da Feira,1870
Critical Software,Technology,Software,Coimbra,1998
"CTT Correios de Portugal, S.A.",Industrials,Delivery services,Lisbon,1520
Delta Cafés,Consumer goods,Food products,Campo Maior,1961
EFACEC,Industrials,Electronic equipment,Matosinhos,1948
Energias de Portugal,Utilities,Conventional electricity,Lisbon,1976
