name,market_cap,stock,country,sector,industry,headquarters,founded,employees,ceo
The Southern Company,$78.38 B,SO,United States,Utilities,Utilities—Regulated Electric,"Atlanta,GA,UnitedStates", 1945," 27,027", Mr. Thomas A. Fanning
China Petroleum & Chemical Corporation,$78.39 B,600028,China,Energy,Oil & Gas Integrated,"Beijing,China"," Beijing, China 25 February 2000"," 384,065",
China Yangtze Power Co. Ltd,$78.42 B,600900,China,Utilities,Utilities—Independent Power Producers,"Beijing,China",," 3,985",
Kering SA,$78.66 B,KER,France,Consumer Discretionary,Luxury Goods,"Paris,France",," 42,811", Mr. FranÃ§ois-Henri  Pinault
Bank of Montreal,$79.22 B,BMO,Canada,Financials,Banks,"Montreal,QC,Canada", Montreal Bank 23 June 1817," 43,863", Mr. William Darryl White
Tokyo Electron Ltd,$79.62 B,8035,Japan,Technology,Semiconductor Equipment & Materials,"Tokyo,Japan",," 14,479", Mr. Toshiki  Kawai
U.S. Bancorp,$80.16 B,USB,United States,Financials,Banks,"Minneapolis,MN,UnitedStates"," July 13, 1863"," 68,796", Mr. Andrew J. Cecere
EssilorLuxottica SA,$80.49 B,EL,France,Healthcare,Medical Instruments & Supplies,"Paris,France",," 144,888", Mr. Francesco  Milleri
Crown Castle International Corp. (REIT),$80.92 B,CCI,United States,Real Estate,REIT—Specialty,"Houston,TX,UnitedStates", 1994," 5,000", Mr. Jay A. Brown
National Australia Bank Limited,$81.03 B,NAB,Australia,Financials,Banks,"Docklands,VIC,Australia", 1982," 32,741"," Mr. Ross Maxwell McEwan B.B.S., CBE"
"HCA Healthcare, Inc.",$82.60 B,HCA,United States,Healthcare,Medical Care Facilities,"Nashville,TN,UnitedStates", 1968," 204,000", Mr. Samuel N. Hazen
Air Liquide SA,$83.24 B,AI,France,Basic Materials,Chemicals,"Paris,France",," 66,400", Mr. Benoit  Potier
Shopify Inc.,$83.80 B,SHOP,Canada,Technology,Software—Application,"Ottawa,ON,Canada", 2006," 10,000", Mr. Tobias  LÃ¼tke
Cigna Corporation,$84.67 B,CI,United States,Healthcare,Healthcare Plans,"Bloomfield,CT,UnitedStates", 1982," 72,226", Mr. David Michael Cordani
"Mitsubishi UFJ Financial Group, Inc.",$85.03 B,8306,Japan,Financials,Banks,"Tokyo,Japan"," October 1, 2005"," 132,700", Mr. Hironori  Kamezawa
"Micron Technology, Inc.",$86.49 B,MU,United States,Technology,Semiconductors,"Boise,ID,UnitedStates"," October 5, 1978"," 43,000", Mr. Sanjay  Mehrotra
"Marsh & McLennan Companies, Inc.",$87.16 B,MMC,United States,Financials,Insurance Brokers,"NewYork,NY,UnitedStates", 1905," 83,000", Mr. Daniel S. Glaser
CME Group Inc.,$87.17 B,CME,United States,Financials,Financial Data & Stock Exchanges,"Chicago,IL,UnitedStates", 1848," 3,480", Mr. Terrence A. Duffy
Glencore plc,$87.31 B,GLEN,Switzerland,Basic Materials,Other Industrial Metals & Mining,"Baar,Switzerland", 1974," 81,284", Mr. Gary  Nagle
Brookfield Asset Management Inc.,$87.46 B,BAM.A,Canada,Financials,Asset Management,"Toronto,ON,Canada", 1899," 150,000", Mr. James Bruce Flatt
The Blackstone Group Inc.,$87.64 B,BX,United States,Financials,Asset Management,"NewYork,NY,UnitedStates", 1985," 3,795"," Mr. Stephen Allen Schwarzman B.A., M.B.A."
Bank of Nova Scotia,$87.76 B,BNS,Canada,Financials,Banks,"Halifax,NS,Canada"," March 30, 1832"," 89,782"," Mr. Brian Johnston Porter A.M.P., B.Com."
Duke Energy Corporation,$88.76 B,DUK,United States,Utilities,Utilities—Regulated Electric,"Charlotte,NC,UnitedStates", 1904," 27,605", Ms. Lynn J. Good
3M Company,$88.77 B,MMM,United States,Industrials,Specialty Industrial Machinery,"St.Paul,MN,UnitedStates"," June 13, 1902"," 95,000", Mr. Michael F. Roman
CSL Limited,$89.69 B,CSL,Australia,Healthcare,Biotechnology,"Parkville,VIC,Australia", 1916," 25,000", Mr. Paul R. Perreault B.A.
Zoetis Inc.,$89.82 B,ZTS,United States,Healthcare,Drug Manufacturers—Specialty & Generic,"Parsippany,NJ,UnitedStates", 1952 ," 12,100", Ms. Kristin C. Peck
Vulcan International Corp,$90.34 B,VULC,United States,Basic Materials,Chemicals,"Wilmington,DE,UnitedStates",, 68,
"JD.com, Inc.",$90.46 B,9618,China,Consumer Discretionary,Internet Retail,"Beijing,China", 6 June 2009," 310,000", Mr. Qiangdong  Liu
"Mondelez International, Inc.",$90.67 B,MDLZ,United States,Consumer Staples,Confectioners,"Chicago,IL,UnitedStates"," December 10, 1923"," 79,000", Mr. Dirk  Van de Put
MERCK Kommanditgesellschaft auf Aktien,$90.74 B,MRK,Germany,Healthcare,Drug Manufacturers—Specialty & Generic,"Darmstadt,Germany",," 60,334", Ms. Belen  Garijo Lopez M.D.
Deutsche Telekom AG,$93.01 B,DTE,Germany,Communication Services,Telecom Services,"Bonn,Germany",," 216,528", Mr. Timotheus  Hottges
Schneider Electric SE,$94.34 B,SU,France,Industrials,Specialty Industrial Machinery,"Rueil-Malmaison,France",," 166,025", Mr. Jean-Pascal  Tricoire
Enbridge Inc.,$94.94 B,ENB,Canada,Energy,Oil & Gas Midstream,"Calgary,AB,Canada"," April 30, 1949 as Interprovincial Pipe Line Company"," 10,900", Mr. Al  Monaco
Canadian National Railway Company,$94.96 B,CNR,Canada,Industrials,Railroads,"Montreal,QC,Canada", 6 June 1919," 22,604", Ms. Tracy A. Robinson
Booking Holdings Inc.,$95.02 B,BKNG,United States,Consumer Discretionary,Travel Services,"Norwalk,CT,UnitedStates", 1996," 20,097", Mr. Glenn D. Fogel
China Shenhua Energy Company Ltd,$95.34 B,601088,China,Energy,Thermal Coal,"Beijing,China",," 77,029",
BP plc,$96.24 B,BP.,United Kingdom,Energy,Oil & Gas Integrated,"London,UnitedKingdom", 14 April 1909 as the Anglo-Persian Oil Company," 60,000",
"Automatic Data Processing, Inc.",$96.98 B,ADP,United States,Industrials,Staffing & Employment Services,"Roseland,NJ,UnitedStates", 1949," 56,000", Mr. Carlos A. Rodriguez
"MetLife, Inc.",$62.69 B,MET,United States,Financials,Insurance—Life,"NewYork,NY,UnitedStates"," March 24, 1868"," 49,000", Mr. Michel Abbas Khalaf
Dassault Systèmes SE,$62.75 B,DSY,France,Technology,Software—Application,"Velizy-Villacoublay,France",," 20,496", Mr. Bernard S. Charles
PacifiCorp,$62.87 B,PPWLM,United States,Utilities,Utilities—Diversified,"Portland,OR,UnitedStates",," 4,800", Mr. William J. Fehrman
Boston Scientific Corporation,$63.08 B,BSX,United States,Healthcare,Medical Devices,, 1979," 41,000", Mr. Michael F. Mahoney
FedEx Corporation,$63.25 B,FDX,United States,Industrials,Integrated Freight & Logistics,"Memphis,TN,UnitedStates"," May 5, 1971"," 384,000", Mr. Frederick W. Smith
Shin-Etsu Chemical Co Ltd,$63.43 B,4063,Japan,Basic Materials,Chemicals,"Tokyo,Japan",," 24,629",
AP Moller - Maersk A-S,$64.40 B,MAERSK.B,Denmark,Industrials,Marine Shipping,"Copenhagen,Denmark",," 95,000", Mr. Soren  Skou
"SK hynix, Inc.",$64.60 B,000660,South Korea,Technology,Semiconductors,"Icheon-Si,SouthKorea",," 29,047",
Oriental Land Co. Ltd,$64.66 B,4661,Japan,Consumer Discretionary,Leisure,"Urayasu,Japan",," 8,782", Mr. Toshio  Kagami
Snowflake Inc.,$65.04 B,SNOW,United States,Technology,Software—Application,"SanMateo,CA,UnitedStates"," July 23, 2012"," 2,495", Mr. Frank  Slootman
Exelon Corporation,$65.53 B,EXC,United States,Utilities,Utilities—Diversified,"Chicago,IL,UnitedStates"," October 20, 2000"," 31,518", Mr. Christopher Mark Crane
Colgate-Palmolive Company,$65.64 B,CL,United States,Consumer Staples,Household & Personal Products,"NewYork,NY,UnitedStates", 1806," 33,800", Mr. Noel R. Wallace
Ford Motor Company,$65.74 B,F,United States,Consumer Discretionary,Auto Manufacturers,"Dearborn,MI,UnitedStates"," June 16, 1903"," 183,000", Mr. James D. Farley Jr.
Newmont Corporation,$65.89 B,NEM,United States,Basic Materials,Gold,"Denver,CO,UnitedStates", 1921," 14,400", Mr. Thomas Ronald Palmer
"Equinix, Inc. (REIT)",$66.35 B,EQIX,United States,Real Estate,REIT—Specialty,"RedwoodCity,CA,UnitedStates", 1998," 10,944", Mr. Charles J. Meyers
ICICI Bank Limited,$66.62 B,IBN,India,Financials,Banks,"Mumbai,India", 5 January 1994," 98,750", Mr. Sandeep  Bakhshi B.E.
DBS Group Holdings Ltd,$66.74 B,D05,Singapore,Financials,Banks,"Singapore,Singapore",," 33,000", Mr. Piyush  Gupta
Industrial Bank Co. Ltd,$66.87 B,601166,China,Financials,Banks,"Fuzhou,China",," 59,630",
"Waste Management, Inc.",$66.95 B,WM,United States,Industrials,Waste Management,"Houston,TX,UnitedStates"," January 1, 1968"," 48,500", Mr. James C. Fish Jr.
ABB Ltd,$67.19 B,ABBN,Switzerland,Industrials,Electrical Equipment & Parts,"Zurich,Switzerland", 1988," 104,400",
Westpac Banking Corporation,$67.20 B,WBC,Australia,Financials,Banks,"Sydney,NSW,Australia",," 40,143"," Mr. Peter Francis King F.C.A., BEc, FCA"
The Progressive Corporation,$67.31 B,PGR,United States,Financials,Insurance—Property & Casualty,"Mayfield,OH,UnitedStates"," March 10, 1937"," 49,077", Ms. Susan Patricia Griffith
Illinois Tool Works Inc.,$67.49 B,ITW,United States,Industrials,Specialty Industrial Machinery,"Glenview,IL,UnitedStates", 1912," 45,000", Mr. E. Scott Santi
Vertex Pharmaceuticals Incorporated,$67.49 B,VRTX,United States,Healthcare,Biotechnology,"Boston,MA,UnitedStates", 1989," 3,900"," Dr. Reshma  Kewalramani FASN, M.D."
The Sherwin-Williams Company,$67.54 B,SHW,United States,Basic Materials,Specialty Chemicals,"Cleveland,OH,UnitedStates"," Cleveland, Ohio, U.S. 1866"," 61,000", Mr. John G. Morikis
Bayer AG,$68.09 B,BAYN,Germany,Healthcare,Drug Manufacturers—General,"Leverkusen,Germany",," 95,950", Mr. Werner  Baumann
Recruit Holdings Co Ltd,$68.11 B,6098,Japan,Industrials,Staffing & Employment Services,"Tokyo,Japan",," 46,800", Mr. Hisayuki  Idekoba
"Iberdrola, SA",$68.23 B,IBE,Spain,Utilities,Utilities—Diversified,"Bilbao,Spain",," 38,702", Mr. Jose Ignacio  Sanchez Galan
"Fiserv, Inc.",$68.68 B,FISV,United States,Technology,Information Technology Services,"Brookfield,WI,UnitedStates", 1984," 44,000", Mr. Frank J. Bisignano
Sberbank of Russia PJSC,$68.69 B,SBER,Russia,Financials,Banks,"Moscow,Russia",," 287,866", Mr. Herman Oskarovich Gref
UBS Group AG,$68.93 B,UBSG,Switzerland,Financials,Banks,"Zurich,Switzerland", 29 June 1998," 71,385", Mr. Ralph A. J. G. Hamers
Public Storage,$69.31 B,PSA,United States,Real Estate,REIT—Industrial,"Glendale,CA,UnitedStates", 1972," 5,800", Mr. Joseph D. Russell Jr.
"América Móvil, S.A.B. de C.V.",$69.45 B,AMXA,Mexico,Communication Services,Telecom Services,"MexicoCity,DF,Mexico", 1986," 181,205", Mr. Daniel Hajj Aboumrad
BNP Paribas SA,$69.90 B,BNP,France,Financials,Banks,"Paris,France",," 190,000", Mr. Jean-Laurent  Bonnafe
Enel SpA,$70.15 B,ENEL,Italy,Utilities,Utilities—Diversified,"Rome,RM,Italy",," 66,279", Mr. Francesco  Starace
"Dominion Energy, Inc.",$70.20 B,D,United States,Utilities,Utilities—Diversified,"Richmond,VA,UnitedStates"," Virginia, U.S. 1983"," 17,100", Mr. Robert M. Blue
AXA SA,$70.20 B,CS,France,Financials,Insurance—Diversified,"Paris,France",," 106,128", Dr. Thomas  Buberl
General Dynamics Corporation,$70.55 B,GD,United States,Industrials,Aerospace & Defense,," February 7, 1899"," 103,100", Ms. Phebe N. Novakovic
"Moderna, Inc.",$70.81 B,MRNA,United States,Healthcare,Biotechnology,"Cambridge,MA,UnitedStates", September 2010," 2,700", Mr. Stephane  Bancel
Anglo American plc,$71.48 B,AAL,United Kingdom,Basic Materials,Other Industrial Metals & Mining,"London,UnitedKingdom", 1917," 106,000"," Mr. Mark  Cutifani B.E., BEng (Mining), Fellow AusIMM, CEngFIMMM, DBA"
Siemens Healthineers AG,$71.50 B,SHL,Germany,Healthcare,Diagnostics & Research,"Erlangen,Germany",," 66,800", Dr. Bernhard  Montag
"EOG Resources, Inc.",$71.90 B,EOG,United States,Energy,Oil & Gas E&P,"Houston,TX,UnitedStates", 1999," 2,800", Mr. Ezra Y. Yacob
PT Bank Central Asia Tbk,$71.91 B,BBCA,Indonesia,Financials,Banks,"Jakarta,Indonesia",," 25,370",
Wal-Mart de Mexico SAB de CV,$71.96 B,WALMEX,Mexico,Consumer Staples,Discount Stores,"MexicoCity,DF,Mexico",," 231,259", Mr. Guilherme  De Souza Macedo Loureiro
Freeport-McMoRan Inc.,$72.16 B,FCX,United States,Basic Materials,Copper,"Phoenix,AZ,UnitedStates", 1912," 24,700", Mr. Richard C. Adkerson
Norfolk Southern Corporation,$72.31 B,NSC,United States,Industrials,Railroads,"Norfolk,VA,UnitedStates"," July 23, 1980 in Norfolk, Virginia, United States"," 18,100", Mr. James A. Squires
KDDI Corp,$73.12 B,9433,Japan,Communication Services,Telecom Services,"Tokyo,Japan",," 47,320",
Northrop Grumman Corporation,$73.25 B,NOC,United States,Industrials,Aerospace & Defense,"FallsChurch,VA,UnitedStates", 1994," 88,000", Ms. Kathy J. Warden
Aon Plc,$73.33 B,AON,United Kingdom,Financials,Insurance Brokers,"London,UnitedKingdom", 1982," 50,000", Mr. Gregory Clarence Case
Bayerische Motoren Werke AG,$56.17 B,BMWB,Germany,Consumer Discretionary,Auto Manufacturers,"Munich,Germany",," 118,909", Mr. Oliver  Zipse
Bank of Communications Co. Ltd,$56.38 B,601328,China,Financials,Banks,"Shanghai,China",," 90,238",
KLA Corporation,$56.48 B,KLAC,United States,Technology,Semiconductor Equipment & Materials,"Milpitas,CA,UnitedStates", 1997," 11,300", Mr. Richard P. Wallace
