name,market_cap,stock,country,sector,industry,headquarters,founded,employees,ceo
Ecolab Inc.,$50.29 B,ECL,United States,Basic Materials,Specialty Chemicals,"SaintPaul,MN,UnitedStates", 1923 ," 47,000", Mr. Christophe  Beck
China Tourism Group Duty Free Corp Ltd,$50.46 B,601888,China,Consumer Discretionary,Travel Services,"Beijing,China",," 14,217",
Hon Hai Precision Industry Co. Ltd,$50.75 B,2317,Taiwan,Technology,Electronic Components,"NewTaipeiCity,Taiwan",,,
Fortescue Metals Group Limited,$50.76 B,FMG,Australia,Basic Materials,Other Industrial Metals & Mining,"EastPerth,WA,Australia", 2003," 10,232", Ms. Elizabeth Anne Gaines CA
"American Electric Power Company, Inc.",$50.95 B,AEP,United States,Utilities,Utilities—Regulated Electric,"Columbus,OH,UnitedStates", 1906," 16,688", Mr. Nicholas K. Akins
Archer-Daniels-Midland Company,$51.03 B,ADM,United States,Consumer Staples,Farm Products,"Chicago,IL,UnitedStates"," Minneapolis, Minnesota, U.S.1902"," 39,218", Mr. Juan Ricardo Luciano
General Accident plc,$51.43 B,GACA,United Kingdom,Financials,Insurance—Property & Casualty,,,,
"AgriBank, FCB",$51.49 B,AGRIP,United States,Financials,Credit Services,"SaintPaul,MN,UnitedStates",,,
"L3Harris Technologies, Inc.",$51.51 B,LHX,United States,Industrials,Aerospace & Defense,"Melbourne,FL,UnitedStates"," June 29, 2019"," 47,000"," Mr. Christopher E. Kubasik CPA, CPA"
Toyota Motor Corporation,$51.55 B,7203,Japan,Consumer Discretionary,Auto Manufacturers,"Toyota,Japan"," August 28, 1937"," 371,365", Mr. Akio  Toyoda
DENSO Corp,$51.58 B,6902,Japan,Consumer Discretionary,Auto Parts,"Kariya,Japan",," 168,391", Mr. Koji  Arima
BCE Inc.,$51.71 B,BCE,Canada,Communication Services,Telecom Services,"Verdun,QC,Canada", 1983," 49,781", Mr. Mirko  Bibic
Stellantis N.V.,$51.80 B,STLA,Netherlands,Consumer Discretionary,Auto Manufacturers,"Amsterdam,Netherlands",," 281,595", Mr. Carlos  Tavares
Eni S.p.A.,$52.00 B,ENI,Italy,Energy,Oil & Gas Integrated,"Rome,RM,Italy", 10 February 1953," 31,495", Mr. Claudio  Descalzi
ITOCHU Corp,$52.19 B,8001,Japan,Industrials,Conglomerates,"Tokyo,Japan",," 125,944", Mr. Masahiro  Okafuji
"Xilinx, Inc.",$52.19 B,XLNX,United States,Technology,Semiconductors,"SanJose,CA,UnitedStates", 1984," 4,890", Mr. Victor  Peng
NXP Semiconductors N.V.,$52.28 B,NXPI,Netherlands,Technology,Semiconductors,"Eindhoven,Netherlands", Established in 2006," 31,000", Mr. Kurt  Sievers
Fast Retailing Co. Ltd,$52.29 B,9983,Japan,Consumer Discretionary,Apparel Retail,"Yamaguchi,Japan",," 55,589", Mr. Tadashi  Yanai
"Liberty Bancshares, Inc. (OH)",$52.30 B,LBSI,United States,Financials,Banks,"Ada,OH,UnitedStates",,, Mr. Ronald L. Zimmerly Jr.
Occidental Petroleum Corporation,$52.30 B,OXY,United States,Energy,Oil & Gas E&P,"Houston,TX,UnitedStates", June 1909," 11,678", Ms. Vicki A. Hollub
Sempra Energy,$52.47 B,SRE,United States,Utilities,Utilities—Diversified,"SanDiego,CA,UnitedStates", 1998," 15,390", Mr. Jeffrey Walker Martin
BASF SE,$52.76 B,BAS,Germany,Basic Materials,Chemicals,"LudwigshafenamRhein,Germany",," 108,718", Dr. Martin  Brudermuller
Thomson Reuters Corporation,$53.30 B,TRI,Canada,Industrials,Consulting Services,"Toronto,ON,Canada",," 24,400"," Mr. Stephen John Hasker B.Com., M.B.A."
London Stock Exchange Group plc,$53.33 B,LSEG,United Kingdom,Financials,Financial Data & Stock Exchanges,"London,UnitedKingdom", 23 June 2007," 24,158", Mr. David A. Schwimmer
Lonza Group Ltd,$53.76 B,LONN,Switzerland,Healthcare,Diagnostics & Research,"Basel,Switzerland",," 16,218",
Ferrari N.V.,$53.78 B,RACE,Italy,Consumer Discretionary,Auto Manufacturers,"Maranello,MO,Italy", 13 September 1939," 4,609", Mr. Benedetto  Vigna
Snap Inc.,$53.86 B,SNAP,United States,Communication Services,Internet Content & Information,"SantaMonica,CA,UnitedStates"," September 16, 2011"," 5,661", Mr. Evan  Spiegel
"Fortinet, Inc.",$53.86 B,FTNT,United States,Technology,Software—Infrastructure,"Sunnyvale,CA,UnitedStates", 2000," 10,195", Mr. Ken  Xie
Dollar General Corporation,$54.30 B,DG,United States,Consumer Staples,Discount Stores,"Goodlettsville,TN,UnitedStates", October 1939," 163,000", Mr. Todd J. Vasos
"American International Group, Inc.",$54.31 B,AIG,United States,Financials,Insurance—Diversified,"NewYork,NY,UnitedStates"," December 19, 1919"," 36,600", Mr. Peter Salvatore Zaffino
Marathon Petroleum Corporation,$54.54 B,MPC,United States,Energy,Oil & Gas Refining & Marketing,"Findlay,OH,UnitedStates"," November 9, 2009"," 17,700", Mr. Michael J. Hennigan
Canadian Pacific Railway Limited,$54.59 B,CP,Canada,Industrials,Railroads,"Calgary,AB,Canada", 16 February 1881," 11,834", Mr. Keith E. Creel
Ambev SA,$54.69 B,ABEV3,Brazil,Consumer Staples,Beverages—Brewers,"SÃ£oPaulo,SP,Brazil",," 53,000", Mr. Jean Jereissati Neto
Heineken N.V.,$54.87 B,HEIA,Netherlands,Consumer Staples,Beverages—Brewers,"Amsterdam,Netherlands",," 81,070", Mr. Rudolf Gijsbert Servaas van den Brink
SoftBank Group Corp.,$54.93 B,9984,Japan,Communication Services,Telecom Services,"Tokyo,Japan",," 58,786", Mr. Masayoshi  Son
Ergo Science Corp,$55.23 B,ERGN,United States,Industrials,Staffing & Employment Services,"NorthAndover,MA,UnitedStates",,,
Keurig Dr Pepper Inc.,$55.28 B,KDP,United States,Consumer Staples,Beverages—Non-Alcoholic,"Burlington,MA,UnitedStates", 1981," 27,500", Mr. Robert J. Gamgort
Chugai Pharmaceutical Co. Ltd,$55.31 B,4519,Japan,Healthcare,Drug Manufacturers—General,"Tokyo,Japan",," 7,664", Dr. Osamu  Okuda
"Daikin Industries,Ltd.",$55.58 B,6367,Japan,Industrials,Building Products & Equipment,"Osaka,Japan",," 84,870", Mr. Masanori  Togawa
National Grid plc,$55.88 B,NG.,United Kingdom,Utilities,Utilities—Diversified,"London,UnitedKingdom", 1990," 23,683",
Zijin Mining Group Co Ltd,$43.93 B,601899,China,Basic Materials,Gold,"Longyan,China",," 43,876",
Wipro Limited,$43.98 B,WIPRO,India,Technology,Information Technology Services,"Bengaluru,India", 29 December 1945," 220,000", Mr. Thierry  Delaporte
"Samsung Biologics Co.,Ltd.",$44.01 B,207940,South Korea,Healthcare,Biotechnology,"Incheon,SouthKorea",," 3,247", Mr. John Chongbo  Rim
"Sumitomo Mitsui Financial Group, Inc.",$44.06 B,8316,Japan,Financials,Banks,"Tokyo,Japan"," June 6, 1996"," 86,800", Mr. Jun  Ohta
"Chipotle Mexican Grill, Inc.",$44.11 B,CMG,United States,Consumer Discretionary,Restaurants,"NewportBeach,CA,UnitedStates"," July 13, 1993"," 97,660", Mr. Brian R. Niccol
"Cadence Design Systems, Inc.",$44.23 B,CDNS,United States,Technology,Software—Application,"SanJose,CA,UnitedStates", 1988," 9,300", Dr. Anirudh  Devgan Ph.D.
Cintas Corporation,$44.32 B,CTAS,United States,Industrials,Specialty Business Services,"Cincinnati,OH,UnitedStates", 1929," 40,000", Mr. Todd M. Schneider
IQVIA Holdings Inc.,$44.32 B,IQV,United States,Healthcare,Diagnostics & Research,"Durham,NC,UnitedStates", 1982," 79,000", Mr. Ari  Bousbib
"AutoZone, Inc.",$44.39 B,AZO,United States,Consumer Discretionary,Specialty Retail,"Memphis,TN,UnitedStates"," July 4, 1979"," 65,100", Mr. William C. Rhodes III
TE Connectivity Ltd.,$44.78 B,TEL,Switzerland,Technology,Electronic Components,"Schaffhausen,Switzerland", 2007," 85,000", Mr. Terrence R. Curtin CPA
Intesa Sanpaolo S.p.A.,$44.95 B,ISP,Italy,Financials,Banks,"Turin,TO,Italy",," 78,000", Mr. Carlo  Messina
PJSC Lukoil,$44.96 B,LKOH,Russia,Energy,Oil & Gas Integrated,"Moscow,Russia",," 101,374", Mr. Vagit Yusufovich Alekperov
Saudi Arabian Mining Company,$45.00 B,1211,Saudi Arabia,Basic Materials,Other Industrial Metals & Mining,"Riyadh,SaudiArabia",,, Mr. Robert G. Wilt
Mitsui & Co. Ltd,$45.09 B,8031,Japan,Energy,Oil & Gas E&P,"Tokyo,Japan",," 44,509", Mr. Kenichi  Hori
"Datadog, Inc.",$45.13 B,DDOG,United States,Technology,Software—Application,"NewYork,NY,UnitedStates", 2010," 3,200", Mr. Olivier  Pomel
"Constellation Brands, Inc.",$45.21 B,STZ,United States,Consumer Staples,Beverages—Wineries & Distilleries,"Victor,NY,UnitedStates", 1945," 9,300", Mr. William A. Newlands
Infineon Technologies AG,$45.35 B,IFXA,Germany,Technology,Semiconductors,"Munich,Germany",," 50,280", Dr. Reinhard  Ploss
"The Travelers Companies, Inc.",$45.56 B,TRV,United States,Financials,Insurance—Property & Casualty,"NewYork,NY,UnitedStates", 1853," 30,184", Mr. Alan David Schnitzer
"IDEXX Laboratories, Inc.",$45.64 B,IDXX,United States,Healthcare,Diagnostics & Research,"Westbrook,ME,UnitedStates", 1983," 10,350", Mr. Jonathan J. Mazelsky
Vodafone Group plc,$45.74 B,VOD,United Kingdom,Communication Services,Telecom Services,"Newbury,UnitedKingdom", 16 September 1991," 105,000", Mr. Nicholas Jonathan Read
Vanjia Corp,$45.74 B,VNJA,United States,Consumer Discretionary,Residential Construction,"Houston,TX,UnitedStates",,, Ms. Su Hua Tian
Amphenol Corporation,$45.77 B,APH,United States,Technology,Electronic Components,"Wallingford,CT,UnitedStates", 1932," 90,000", Mr. Richard Adam Norwitt
The Hershey Company,$45.83 B,HSY,United States,Consumer Staples,Confectioners,"Hershey,PA,UnitedStates"," February 8, 1894"," 16,620", Ms. Michele Gross Buck
Takeda Pharmaceutical Company Limited,$45.89 B,4502,Japan,Healthcare,Drug Manufacturers—Specialty & Generic,"Tokyo,Japan"," Doshomachi, Osaka, Japan June 12, 1781"," 47,099", Mr. Christophe  Weber
"Baidu, Inc.",$45.98 B,9888,China,Communication Services,Internet Content & Information,"Beijing,China"," January 1, 2000"," 45,500", Mr. Yanhong  Li
Sika AG,$46.01 B,SIKA,Switzerland,Basic Materials,Specialty Chemicals,"Baar,Switzerland",," 26,272",
adidas AG,$46.13 B,ADS1,Germany,Consumer Discretionary,Footwear & Accessories,"Herzogenaurach,Germany",," 53,870", Mr. Kasper Bo Rorsted
Nidec Corp,$46.33 B,6594,Japan,Industrials,Specialty Industrial Machinery,"Kyoto,Japan",, 758, Mr. Jun  Seki
Banco Bradesco SA,$46.71 B,BBDC3,Brazil,Financials,Banks,"Osasco,SP,Brazil"," March 10, 1943"," 85,264"," Mr. Octavio  de Lazari Jr., Junior"
"DexCom, Inc.",$46.86 B,DXCM,United States,Healthcare,Diagnostics & Research,"SanDiego,CA,UnitedStates", 1999," 6,300", Mr. Kevin Ronald Sayer
Nucor Corporation,$46.86 B,NUE,United States,Basic Materials,Steel,"Charlotte,NC,UnitedStates",," 28,800", Mr. Leon J. Topalian
Cognizant Technology Solutions Corporation,$47.07 B,CTSH,United States,Technology,Information Technology Services,"Teaneck,NJ,UnitedStates", 26 January 1994," 330,600", Mr. Brian  Humphries
Open Joint Stock Company OMZ,$47.15 B,OMZZP,Russia,Industrials,Specialty Industrial Machinery,"Moscow,Russia",,, Igor Y. Zhilkin
"Prudential Financial, Inc.",$47.17 B,PRU,United States,Financials,Insurance—Life,"Newark,NJ,UnitedStates", 1875," 40,916", Mr. Charles Frederick Lowrey Jr.
"Autodesk, Inc.",$47.69 B,ADSK,United States,Technology,Software—Application,"SanRafael,CA,UnitedStates"," January 30, 1982"," 12,600", Dr. Andrew  Anagnost
Naspers Ltd,$47.73 B,NPN,South Africa,Communication Services,Internet Content & Information,"CapeTown,SouthAfrica",," 28,445", Mr. Bob  van Dijk
"CrowdStrike Holdings, Inc.",$47.89 B,CRWD,United States,Technology,Software—Infrastructure,"Sunnyvale,CA,UnitedStates", 2011," 4,965", Mr. George R. Kurtz
Grupo Mexico SAB de CV,$48.00 B,GMEXICOB,Mexico,Basic Materials,Other Industrial Metals & Mining,"MexicoCity,DF,Mexico",," 29,707",
"O'Reilly Automotive, Inc.",$48.14 B,ORLY,United States,Consumer Discretionary,Specialty Retail,"Springfield,MO,UnitedStates"," December 2, 1957"," 82,852", Mr. Gregory D. Johnson
Johnson Controls International plc,$48.15 B,JCI,Ireland,Industrials,Engineering & Construction,"Cork,Ireland", 1885," 101,000", Mr. George R. Oliver
"VMware, Inc.",$48.17 B,VMW,United States,Technology,Software—Infrastructure,"PaloAlto,CA,UnitedStates"," February 10, 1998"," 34,000", Mr. Rangarajan  Raghuram
Suncor Energy Inc.,$48.27 B,SU,Canada,Energy,Oil & Gas Integrated,"Calgary,AB,Canada"," Montreal, Quebec, Canada in 1919"," 16,922", Mr. Mark S. Little
McKesson Corporation,$48.46 B,MCK,United States,Healthcare,Medical Distribution,"Irving,TX,UnitedStates"," New York City, United States1833"," 59,000", Mr. Brian S. Tyler Ph.D.
Rosneft Oil Co PJSC,$48.50 B,ROSN,Russia,Energy,Oil & Gas Integrated,"Moscow,Russia",,, Mr. Igor Ivanovich Sechin
Dow Inc.,$48.50 B,DOW,United States,Basic Materials,Chemicals,"Midland,MI,UnitedStates"," April 1, 2019"," 35,700", Mr. James R. Fitterling
Lululemon Athletica Inc.,$48.52 B,LULU,Canada,Consumer Discretionary,Apparel Retail,"Vancouver,BC,Canada", 1998," 25,000", Mr. Calvin R. McDonald
"MediaTek, Inc.",$48.74 B,2454,Taiwan,Technology,Semiconductors,"HsinchuCity,Taiwan",,, Dr. Lih Shyng  Tsai Ph.D.
Scentre Group,$48.83 B,SCG,Australia,Real Estate,REIT—Retail,"Sydney,NSW,Australia", 2014," 2,780", Mr. Peter Kenneth Allen
Hitachi Ltd,$48.92 B,6501,Japan,Industrials,Conglomerates,"Tokyo,Japan",," 350,864", Mr. Toshiaki  Higashihara
Wanhua Chemical Group Co. Ltd,$39.73 B,600309,China,Basic Materials,Chemicals,"Yantai,China",," 19,692",
United Overseas Bank Ltd,$39.73 B,U11,Singapore,Financials,Banks,"Singapore,Singapore",," 24,346"," Mr. Ee Cheong  Wee B.Sc., M.A."
Xcel Energy Inc.,$39.76 B,XEL,United States,Utilities,Utilities—Regulated Electric,"Minneapolis,MN,UnitedStates", 1909," 11,321", Mr. Robert C. Frenzel
Welltower Inc.,$39.96 B,WELL,United States,Real Estate,REIT—Healthcare Facilities,"Toledo,OH,UnitedStates", 1970, 464, Mr. Shankh S. Mitra
MSCI Inc.,$39.97 B,MSCI,United States,Financials,Financial Data & Stock Exchanges,"NewYork,NY,UnitedStates", 1968," 4,303", Mr. Henry A. Fernandez
BOC Hong Kong Holdings Ltd,$39.99 B,2388,Hong Kong,Financials,Banks,"Central,HongKong",," 14,462", Mr. Yu  Sun
Baxter International Inc.,$40.13 B,BAX,United States,Healthcare,Medical Instruments & Supplies,"Deerfield,IL,UnitedStates", 1931," 60,000", Mr. Jose E. Almeida
CITIC Securities Company Ltd,$40.17 B,600030,China,Financials,Capital Markets,"Shenzhen,China",," 11,380",
Global Payments Inc.,$40.35 B,GPN,United States,Industrials,Specialty Business Services,"Atlanta,GA,UnitedStates", 2000," 25,000", Mr. Jeffrey S. Sloan J.D.
"Agilent Technologies, Inc.",$40.49 B,A,United States,Healthcare,Diagnostics & Research,"SantaClara,CA,UnitedStates", 1999," 17,200", Mr. Michael R. McMullen
"Walgreens Boots Alliance, Inc.",$40.55 B,WBA,United States,Healthcare,Pharmaceutical Retailers,"Deerfield,IL,UnitedStates"," December 31, 2014"," 202,000", Ms. Rosalind Gates Brewer
"Digital Realty Trust, Inc.",$40.64 B,DLR,United States,Real Estate,REIT—Office,"SanFrancisco,CA,UnitedStates", 2004," 3,030", Mr. Arthur William Stein
Oversea-Chinese Banking Corp Ltd,$40.77 B,O39,Singapore,Financials,Banks,"Singapore,Singapore",," 29,622",
Carrier Global Corporation,$40.79 B,CARR,United States,Industrials,Building Products & Equipment,"PalmBeachGardens,FL,UnitedStates"," June 26, 1915"," 58,000", Mr. David L. Gitlin
The Bank of New York Mellon Corporation,$40.83 B,BK,United States,Financials,Asset Management,"NewYork,NY,UnitedStates"," July 1, 2007"," 49,100", Mr. Thomas P. Gibbons
"East Money Information Co.,Ltd.",$40.83 B,300059,China,Communication Services,Internet Content & Information,"Shanghai,China",," 5,696",
"Motorola Solutions, Inc.",$40.87 B,MSI,United States,Technology,Communication Equipment,"Chicago,IL,UnitedStates"," January 4, 2011"," 18,700", Mr. Gregory Q. Brown
MMC Norilsk Nickel PJSC,$41.16 B,GMKN,Russia,Basic Materials,Other Industrial Metals & Mining,"Moscow,Russia",,,
ING Groep N.V.,$41.25 B,INGA,Netherlands,Financials,Banks,"Amsterdam,Netherlands",," 57,000", Mr. Steven J. A. van Rijswijk
Valero Energy Corporation,$41.27 B,VLO,United States,Energy,Oil & Gas Refining & Marketing,"SanAntonio,TX,UnitedStates"," January 1, 1980"," 9,794", Mr. Joseph W. Gorder
Hang Seng Bank Limited,$41.47 B,0011,Hong Kong,Financials,Banks,"Central,HongKong",," 9,396",
The Allstate Corporation,$41.54 B,ALL,United States,Financials,Insurance—Property & Casualty,"Northbrook,IL,UnitedStates"," April 17, 1931"," 54,300", Mr. Thomas Joseph Wilson II
"The Williams Companies, Inc.",$41.60 B,WMB,United States,Energy,Oil & Gas Midstream,"Tulsa,OK,UnitedStates", 1908," 4,783", Mr. Alan S. Armstrong
Devon Energy Corporation,$41.82 B,DVN,United States,Energy,Oil & Gas E&P,"OklahomaCity,OK,UnitedStates", 1971," 1,600", Mr. Richard E. Muncrief
STMicroelectronics N.V.,$41.91 B,STM,Switzerland,Technology,Semiconductors,"Geneva,Switzerland",," 48,254", Mr. Jean-Marc  Chery
BioNTech SE,$41.93 B,22UA,Germany,Healthcare,Biotechnology,"Mainz,Germany", 2008," 2,800", Prof. Ugur  Sahin M.D.
Manulife Financial Corporation,$41.98 B,MFC,Canada,Financials,Insurance—Life,"Toronto,ON,Canada"," June 23, 1887"," 38,000", Mr. Rocco  Gori
The Kroger Co.,$42.03 B,KR,United States,Consumer Staples,Grocery Stores,"Cincinnati,OH,UnitedStates", 1883," 500,000", Mr. William Rodney McMullen
Sysco Corporation,$42.22 B,SYY,United States,Consumer Staples,Food Distribution,"Houston,TX,UnitedStates"," March 19, 1969"," 58,000", Mr. Kevin P. Hourican
WuXi AppTec Co. Ltd,$42.25 B,603259,China,Healthcare,Diagnostics & Research,"Shanghai,China",," 34,912", Dr. Ge  Li Ph.D.
Hilton Worldwide Holdings Inc.,$42.39 B,HLT,United States,Consumer Discretionary,Lodging,"McLean,VA,UnitedStates"," May 31, 1919"," 142,000", Mr. Christopher J. Nassetta
DSV PANALPINA A-S,$42.49 B,DSV,Denmark,Industrials,Integrated Freight & Logistics,"Hedehusene,Denmark",," 77,958", Mr. Jens Bjorn Andersen
Seven & i Holdings Co. Ltd,$42.53 B,3382,Japan,Consumer Staples,Grocery Stores,"Tokyo,Japan",," 58,975",
"General Mills, Inc.",$42.65 B,GIS,United States,Consumer Staples,Packaged Foods,"Minneapolis,MN,UnitedStates"," June 20, 1866"," 35,000", Mr. Jeffrey L. Harmening
"Corteva, Inc.",$42.66 B,CTVA,United States,Basic Materials,Agricultural Inputs,"Wilmington,DE,UnitedStates", 2019," 21,000"," Mr. Charles Victor Magro B.Sc. (Chem), MBA"
LONGi Green Energy Technology Co. Ltd,$42.68 B,601012,China,Technology,Semiconductor Equipment & Materials,"Xi'an,China",," 46,631",
Monster Beverage Corporation,$42.81 B,MNST,United States,Consumer Staples,Beverages—Non-Alcoholic,"Corona,CA,UnitedStates", 1935," 3,458", Mr. Rodney Cyril Sacks
Yihai Kerry Arawana Holdings Co. Ltd,$42.84 B,300999,China,Consumer Staples,Packaged Foods,"Shanghai,China",," 34,389",
HOYA Corp,$42.88 B,7741,Japan,Healthcare,Medical Instruments & Supplies,"Tokyo,Japan",," 37,245", Mr. Eiichiro  Ikeda
"Republic Services, Inc.",$42.91 B,RSG,United States,Industrials,Waste Management,"Phoenix,AZ,UnitedStates"," July 2, 1998"," 35,000", Mr. Jon  Vander Ark
Wesfarmers Limited,$43.09 B,WES,Australia,Consumer Discretionary,Home Improvement Retail,"Perth,WA,Australia", 1914," 122,000", Mr. Robert G. Scott
Xiaomi Corp,$43.10 B,1810,China,Technology,Consumer Electronics,"Beijing,China",," 33,427", Mr. Jun  Lei
Kimberly-Clark Corporation,$43.21 B,KMB,United States,Consumer Staples,Household & Personal Products,"Dallas,TX,UnitedStates", 1872," 45,000", Mr. Michael D. Hsu
"Kinder Morgan, Inc.",$43.38 B,KMI,United States,Energy,Oil & Gas Midstream,"Houston,TX,UnitedStates", 1997," 10,529", Mr. Steven J. Kean
Murata Manufacturing Co. Ltd,$43.41 B,6981,Japan,Technology,Electronic Components,"Nagaokakyo,Japan",," 77,398",
Barrick Gold Corporation,$43.50 B,ABX,Canada,Basic Materials,Gold,"Toronto,ON,Canada", 1983," 18,421", Dr. Dennis Mark Bristow
Aflac Incorporated,$43.59 B,AFL,United States,Financials,Insurance—Life,"Columbus,GA,UnitedStates"," November 17, 1955"," 12,447", Mr. Daniel Paul Amos
"Simon Property Group, Inc.",$43.69 B,SPG,United States,Real Estate,REIT—Retail,"Indianapolis,IN,UnitedStates", 1993," 2,400", Mr. David E. Simon
Lloyds Banking Group plc,$43.70 B,LLOY,United Kingdom,Financials,Banks,"London,UnitedKingdom",," 57,955",
Woolworths Group Limited,$35.33 B,WOW,Australia,Consumer Staples,Grocery Stores,"BellaVista,NSW,Australia", 22 September 1924," 210,067"," Mr. Bradford Leon Banducci BComm (Acc), LLB, MBA"
"Intuitive Surgical, Inc.",$35.37 B,ISRG,United States,Healthcare,Medical Instruments & Supplies,"Sunnyvale,CA,UnitedStates", 1995," 9,793", Dr. Gary S. Guthart Ph.D.
Experian plc,$35.40 B,EXPN,Ireland,Industrials,Consulting Services,"Dublin,Ireland", 1996," 20,000", Mr. Brian J. Cassin
ResMed Inc.,$35.44 B,RMD,United States,Healthcare,Medical Instruments & Supplies,"SanDiego,CA,UnitedStates", 1989," 7,970"," Mr. Michael J. Farrell BE, MBA, SM"
Neste Oyj,$35.57 B,NESTE,Finland,Energy,Oil & Gas Refining & Marketing,"Espoo,Finland",," 4,719", Mr. Peter Z. E. Vanacker
"Shanxi Xinghuacun Fen Wine Factory Co.,Ltd.",$35.84 B,600809,China,Consumer Staples,Beverages—Wineries & Distilleries,"Fenyang,China",," 12,614",
"Coinbase Global, Inc.",$35.86 B,COIN,United States,Technology,Software—Application,"Wilmington,DE,UnitedStates",," 3,730", Mr. Brian  Armstrong
NIO Limited,$35.86 B,NIO,China,Consumer Discretionary,Auto Manufacturers,"Shanghai,China", November 2014," 7,763", Mr. William  Li
"Cloudflare, Inc.",$35.92 B,NET,United States,Technology,Software—Infrastructure,"SanFrancisco,CA,UnitedStates", July 2009," 2,440", Mr. Matthew  Prince
Danone SA,$35.93 B,BN,France,Consumer Staples,Packaged Foods,"Paris,France",," 98,105",
LyondellBasell Industries N.V.,$35.96 B,LYB,United States,Basic Materials,Specialty Chemicals,"Houston,TX,UnitedStates", 2007," 19,100", Mr. Kenneth Todd Lane
"Waste Connections, Inc.",$36.14 B,WCN,United States,Industrials,Waste Management,," 1997 in Folsom, California"," 19,998", Mr. Worthing F. Jackman
TransDigm Group Incorporated,$36.14 B,TDG,United States,Industrials,Aerospace & Defense,"Cleveland,OH,UnitedStates", 1993," 13,300", Dr. Kevin M. Stein Ph.D.
Public Service Enterprise Group Incorporated,$36.28 B,PEG,United States,Utilities,Utilities—Diversified,"Newark,NJ,UnitedStates", 1903," 12,684", Dr. Ralph  Izzo Ph.D.
TELUS Corporation,$36.37 B,T,Canada,Communication Services,Telecom Services,"Vancouver,BC,Canada", 1990," 90,800"," Mr. Darren  Entwistle B.A., LL.D., M.B.A."
Inner Mongolia Yili Industrial Group Co. Ltd,$36.61 B,600887,China,Consumer Staples,Packaged Foods,"Hohhot,China",," 59,159",
Constellation Software Inc.,$36.67 B,CSU,Canada,Technology,Software—Application,"Toronto,ON,Canada", 1995," 16,000",
Shanghai Pudong Development Bank Co. Ltd,$36.72 B,600000,China,Financials,Banks,"Shanghai,China",," 61,686",
"DoorDash, Inc.",$36.74 B,DASH,United States,Communication Services,Internet Content & Information,"SanFrancisco,CA,UnitedStates", January 2013," 8,600", Mr. Tony  Xu
Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft in München,$36.89 B,MUV2,Germany,Financials,Insurance—Reinsurance,"Munich,Germany",," 39,281", Dr. Torsten  Jeworrek
"Beijing-Shanghai High-Speed Railway Co.,Ltd.",$36.90 B,601816,China,Industrials,Railroads,"Beijing,China",, 57,
Jiangsu Hengrui Medicine Co. Ltd,$36.90 B,600276,China,Healthcare,Drug Manufacturers—General,"Lianyungang,China",," 28,903",
"Tokio Marine Holdings, Inc.",$36.99 B,8766,Japan,Financials,Insurance—Property & Casualty,"Tokyo,Japan",," 43,257", Mr. Satoru  Komiya
Parker-Hannifin Corporation,$37.05 B,PH,United States,Industrials,Specialty Industrial Machinery,"Cleveland,OH,UnitedStates"," 1917, Cleveland, Ohio, U.S."," 54,640", Mr. Thomas L. Williams
SMC Corp,$37.08 B,6273,Japan,Industrials,Specialty Industrial Machinery,"Tokyo,Japan",," 20,619",
Trane Technologies plc,$37.36 B,TT,Ireland,Industrials,Specialty Industrial Machinery,"Swords,Ireland", 1871," 37,000", Mr. David S. Regnery
Phillips 66,$37.51 B,PSX,United States,Energy,Oil & Gas Refining & Marketing,"Houston,TX,UnitedStates", 1927," 14,000", Mr. Greg C. Garland
Electronic Arts Inc.,$37.38 B,EA,United States,Communication Services,Electronic Gaming & Multimedia,"RedwoodCity,CA,UnitedStates"," May 27, 1982"," 11,000", Mr. Andrew  Wilson
PT Bank Rakyat Indonesia (Persero) Tbk,$37.51 B,BYRA,Indonesia,Financials,Banks,"Jakarta,Indonesia",," 79,398",
Sartorius Stedim Biotech SA,$37.55 B,DIM,France,Healthcare,Medical Instruments & Supplies,"Aubagne,France",," 10,409", Dr. Joachim  Kreuzburg
Compass Group plc,$37.73 B,CPG,United Kingdom,Consumer Discretionary,Restaurants,"Chertsey,UnitedKingdom", 1941," 480,000", Mr. Dominic  Blakemore
Daiichi Sankyo Company Ltd,$37.79 B,4568,Japan,Healthcare,Drug Manufacturers—General,"Tokyo,Japan",," 16,033"," Mr. Sunao  Manabe D.V.M., Ph.D."
Capgemini SE,$37.82 B,CAP,France,Technology,Information Technology Services,"Paris,France",," 324,700", Mr. Aiman  Ezzat
SBA Communications Corporation,$37.93 B,SBAC,United States,Real Estate,REIT—Specialty,"BocaRaton,FL,UnitedStates",," 1,596", Mr. Jeffrey A. Stoops
"Dollar Tree, Inc.",$38.00 B,DLTR,United States,Consumer Staples,Discount Stores,"Chesapeake,VA,UnitedStates", 1986," 61,886", Mr. Michael A. Witynski
Crédit Agricole SA,$38.01 B,ACA,France,Financials,Banks,"Montrouge,France",," 75,975", Mr. Philippe  Brassac
AB Volvo,$38.13 B,VOL4,Sweden,Industrials,Farm & Heavy Construction Machinery,"Gothenburg,Sweden",," 92,144", Mr. Martin  Lundstedt M.Sc.
Kuaishou Technology,$38.15 B,1024,China,Communication Services,Broadcasting,"Beijing,China",," 27,125", Mr. Yixiao  Cheng
