03-gren-employees_number_2020,01-DDD-number_of_employees_2020,08-slytherin-employees,01-DDD-number_of_employees_2017,03-gren-employees_number_2017,07-silvestri-employees_2020,01-DDD-founding_year,03-gren-founding_year,07-silvestri-founding_year,01-DDD-compound_annual_growth_rate_cagr_pct,07-silvestri-employees_2017,08-slytherin-founded
218.0,218,385,1,1,218.0,2016.0,2016.0,2016.0,477.43,1,2017
177.0,177,63,10,10,177.0,2013.0,2013.0,2013.0,450.05,10,2008
32.0,32,47,4,4,32.0,2012.0,2012.0,2012.0,409.59,4,2013
800.0,800,82,4,4,800.0,2016.0,2016.0,2016.0,393.63,4,2015
365.0,365,78,9,9,365.0,2017.0,2017.0,2017.0,386.88,9,2007
9.0,9,164,2,2,9.0,2017.0,2017.0,2017.0,343.52,2,2014
57.0,57,7,12,12,57.0,2015.0,2015.0,2015.0,321.66,12,2012
200.0,200,52,15,15,200.0,2015.0,2015.0,2015.0,306.86,15,2016
10.0,10,355,1,1,10.0,2015.0,2015.0,2015.0,303.73,1,2017
117.0,117,108,5,5,117.0,2015.0,2015.0,2015.0,299.73,5,2014
180.0,180,400,12,12,180.0,2016.0,2016.0,2016.0,292.74,12,2015
11.0,11,101,2,2,11.0,2016.0,2016.0,2016.0,289.09,2,2017
251.0,251,594,13,13,251.0,2017.0,2017.0,2017.0,287.39,13,2016
224.0,224,61,36,36,224.0,2016.0,2016.0,2016.0,276.63,36,2017
24.0,24,54,5,5,24.0,2017.0,2017.0,2017.0,262.97,5,2015
34.0,34,92,4,4,34.0,2016.0,2016.0,2016.0,262.15,4,2014
41.0,41,22,2,2,41.0,2017.0,2017.0,2017.0,255.1,2,2014
49.0,49,218,6,6,49.0,2016.0,2016.0,2016.0,253.14,6,2016
29.0,29,21,9,9,29.0,2014.0,2014.0,2014.0,249.41,9,2016
228.0,228,13,23,23,228.0,2017.0,2017.0,2017.0,248.11,23,2016
45.0,45,60,8,8,45.0,2015.0,2015.0,2015.0,247.71,8,2016
18.0,18,40,6,6,18.0,2013.0,2013.0,2013.0,245.65,6,2015
509.0,509,285,20,20,509.0,2017.0,2017.0,2017.0,243.23,20,2016
581.0,581,177,72,72,581.0,2016.0,2016.0,2016.0,239.17,72,2013
1.0,1,32,1,1,1.0,2017.0,2017.0,2017.0,236.96,1,2012
26.0,26,202,6,6,26.0,2011.0,2011.0,2011.0,225.75,6,2012
140.0,140,318,10,10,140.0,2013.0,2013.0,2013.0,213.04,10,2013
7.0,7,34,1,1,7.0,2016.0,2016.0,2016.0,212.69,1,2016
65.0,65,182,3,3,65.0,2016.0,2016.0,2016.0,212.45,3,2014
800.0,800,28,90,90,800.0,2012.0,2012.0,2012.0,210.7,90,2016
56.0,56,800,21,21,56.0,2015.0,2015.0,2015.0,209.33,21,2016
133.0,133,575,8,8,133.0,2017.0,2017.0,2017.0,208.23,8,2015
31.0,31,120,6,6,31.0,2016.0,2016.0,2016.0,205.53,6,2015
27.0,27,100,9,9,27.0,2015.0,2015.0,2015.0,205.25,9,2014
10.0,10,39,2,2,10.0,2017.0,2017.0,2017.0,202.24,2,2014
7.0,7,135,7,7,7.0,2000.0,2000.0,2000.0,201.7,7,2015
5.0,5,67,4,4,5.0,2006.0,2006.0,2006.0,199.6,4,2015
50.0,50,7,10,10,50.0,2014.0,2014.0,2014.0,198.98,10,2015
56.0,56,365,22,22,56.0,2014.0,2014.0,2014.0,195.49,22,2017
2.0,2,750,1,1,2.0,2016.0,2016.0,2016.0,193.9,1,2012
124.0,124,"1,046",16,16,124.0,2015.0,2015.0,2015.0,193.34,16,2015
11.0,11,"1,096",none,na,11.0,2016.0,2016.0,2016.0,193.05,na,2015
29.0,29,60,7,7,29.0,2017.0,2017.0,2017.0,189.02,7,2013
38.0,38,229,3,3,38.0,2017.0,2017.0,2017.0,186.72,3,2013
63.0,63,600,7,7,63.0,2014.0,2014.0,2014.0,183.64,7,2016
9.0,9,9,2,2,9.0,2013.0,2013.0,2013.0,182.93,2,2017
90.0,90,46,26,26,90.0,2017.0,2017.0,2017.0,181.52,26,2015
187.0,187,186,24,24,187.0,2015.0,2015.0,2015.0,181.5,24,2017
10.0,10,974,2,2,10.0,2017.0,2017.0,2017.0,179.79,2,2015
140.0,140,30,15,15,140.0,2016.0,2016.0,2016.0,179.69,15,2016
27.0,27,25655,4,4,27.0,2013.0,2013.0,2013.0,179.45,4,2014
2.0,2,42,0,0,2.0,2014.0,2014.0,2014.0,175.01,0,2013
8.0,8,672,2,2,8.0,2012.0,2012.0,2012.0,174.43,2,2014
70.0,70,57,8,8,70.0,2015.0,2015.0,2015.0,172.73,8,2015
1.0,1,85,1,1,1.0,2016.0,2016.0,2016.0,171.87,1,2015
7.0,7,26,2,2,7.0,2017.0,2017.0,2017.0,171.11,2,2009
61.0,61,20,14,14,61.0,2011.0,2011.0,2011.0,170.95,14,2017
5.0,5,72,1,1,5.0,2017.0,2017.0,2017.0,169.89,1,2013
16.0,16,358,4,4,16.0,2012.0,2012.0,2012.0,167.01,4,2014
17.0,17,25,2,2,17.0,2017.0,2017.0,2017.0,166.0,2,2015
6.0,6,200,2,2,6.0,2016.0,2016.0,2016.0,163.5,2,2015
138.0,138,10,28,28,138.0,2013.0,2013.0,2013.0,162.21,28,2015
369.0,369,376,98,98,369.0,2016.0,2016.0,2016.0,161.62,98,2016
21.0,21,155,2,2,21.0,2016.0,2016.0,2016.0,160.45,2,1992
11.0,11,102,2,2,11.0,2004.0,2004.0,2004.0,160.35,2,2015
13.0,13,25,3,3,13.0,2016.0,2016.0,2016.0,160.07,3,2014
274.0,274,43,47,47,274.0,2001.0,2001.0,2001.0,159.33,47,2016
207.0,207,1556,45,45,207.0,2014.0,2014.0,2014.0,159.01,45,2015
73.0,73,64,12,12,73.0,2014.0,2014.0,2014.0,158.37,12,2014
190.0,190,9,40,40,190.0,2013.0,2013.0,2013.0,157.82,40,2012
8.0,8,117,4,4,8.0,2010.0,2010.0,2010.0,157.37,4,2015
12.0,12,180,4,4,12.0,2015.0,2015.0,2015.0,157.04,4,2016
15.0,15,91,3,3,15.0,2017.0,2017.0,2017.0,156.47,3,2016
50.0,50,1664,8,8,50.0,2017.0,2017.0,2017.0,156.11,8,2013
138.0,138,350,22,22,138.0,2013.0,2013.0,2013.0,155.16,22,2013
5.0,5,422,1,1,5.0,2010.0,2010.0,2010.0,154.43,1,2014
99.0,99,65,20,20,99.0,2008.0,2008.0,2008.0,151.71,20,2013
5.0,5,31,1,1,5.0,2017.0,2017.0,2017.0,149.82,1,2015
32.0,32,28,2,2,32.0,2016.0,2016.0,2016.0,149.54,2,2013
96.0,96,11,5,5,96.0,2016.0,2016.0,2016.0,147.76,5,2016
26.0,26,38,0,0,26.0,2014.0,2014.0,2014.0,146.03,0,2015
918.0,918,30,106,106,918.0,2015.0,2015.0,2015.0,144.89,106,2012
82.0,82,29,8,8,82.0,2017.0,2017.0,2017.0,144.8,8,2015
17.0,17,30,2,2,17.0,2017.0,2017.0,2017.0,142.64,2,2016
46.0,46,16,18,18,46.0,2015.0,2015.0,2015.0,141.39,18,2009
106.0,106,203,13,13,106.0,2016.0,2016.0,2016.0,141.29,13,2016
67.0,67,1050,33,33,67.0,2013.0,2013.0,2013.0,140.93,33,2013
10.0,10,251,4,4,10.0,2017.0,2017.0,2017.0,140.07,4,2017
80.0,80,7,7,7,80.0,2016.0,2016.0,2016.0,139.27,7,2013
23.0,23,69,9,9,23.0,2010.0,2010.0,2010.0,139.17,9,2006
10.0,10,22,1,1,10.0,2015.0,2015.0,2015.0,138.97,1,2014
55.0,55,10,8,8,55.0,2014.0,2014.0,2014.0,138.85,8,2011
58.0,58,7,19,19,58.0,2014.0,2014.0,2014.0,138.52,19,2016
5.0,5,36,4,4,5.0,2016.0,2016.0,2016.0,138.36,4,2014
45.0,45,204,6,6,45.0,2013.0,2013.0,2013.0,138.19,6,2012
8.0,8,104,3,3,8.0,2016.0,2016.0,2016.0,138.11,3,2011
5.0,5,224,2,2,5.0,2017.0,2017.0,2017.0,137.67,2,2016
10.0,10,550,1,1,10.0,2016.0,2016.0,2016.0,137.6,1,2014
9.0,9,25,3,3,9.0,2016.0,2016.0,2016.0,137.18,3,2013
5.0,5,5,1,1,5.0,2010.0,2010.0,2010.0,136.67,1,2015
36.0,36,12,5,5,36.0,2011.0,2011.0,2011.0,136.11,5,2016
122.0,122,232,44,44,122.0,2015.0,2015.0,2015.0,136.02,44,2011
5.0,5,40,2,2,5.0,2016.0,2016.0,2016.0,135.82,2,2016
54.0,54,12,24,24,54.0,2012.0,2012.0,2012.0,135.03,24,2014
6.0,6,10,2,2,6.0,2009.0,2009.0,2009.0,133.86,2,2016
4.0,4,24,3,3,4.0,2017.0,2017.0,2017.0,132.91,3,2017
7.0,7,783,2,2,7.0,2016.0,2016.0,2016.0,132.47,2,2009
77.0,77,98,20,20,77.0,2005.0,2005.0,2005.0,132.16,20,2014
55.0,55,29,7,7,55.0,2015.0,2015.0,2015.0,132.12,7,2014
32.0,32,200,6,6,32.0,2017.0,2017.0,2017.0,131.97,6,2017
10.0,10,108,6,6,10.0,2017.0,2017.0,2017.0,131.28,6,2016
35.0,35,18,8,8,35.0,2014.0,2014.0,2014.0,131.19,8,2013
17.0,17,219,5,5,17.0,2011.0,2011.0,2011.0,131.03,5,2015
18.0,18,193,9,9,18.0,2014.0,2014.0,2014.0,130.96,9,2008
11.0,11,344,4,4,11.0,2014.0,2014.0,2014.0,130.9,4,2015
310.0,310,34,55,55,310.0,2014.0,2014.0,2014.0,130.32,55,2016
4.0,4,371,2,2,4.0,2016.0,2016.0,2016.0,129.69,2,2010
25.0,25,62,7,7,25.0,2014.0,2014.0,2014.0,129.63,7,2007
18.0,18,35,2,2,18.0,2016.0,2016.0,2016.0,129.18,2,2002
42.0,42,25,18,18,42.0,2010.0,2010.0,2010.0,128.81,18,2016
20.0,20,301,3,3,20.0,2016.0,2016.0,2016.0,128.15,3,2012
31.0,31,44,7,7,31.0,2017.0,2017.0,2017.0,127.34,7,2014
13.0,13,41,3,3,13.0,2013.0,2013.0,2013.0,127.25,3,2017
10.0,10,9,2,2,10.0,2017.0,2017.0,2017.0,127.18,2,2013
190.0,190,618,47,47,190.0,2014.0,2014.0,2014.0,126.93,47,2013
25.0,25,200,1,1,25.0,2015.0,2015.0,2015.0,126.7,1,2015
563.0,563,90,75,75,563.0,2016.0,2016.0,2016.0,126.48,75,2015
37.0,37,494,6,6,37.0,2014.0,2014.0,2014.0,126.19,6,2016
51.0,51,34,2,2,51.0,2015.0,2015.0,2015.0,125.68,2,2012
46.0,46,25,1,1,46.0,2016.0,2016.0,2016.0,125.15,1,2015
125.0,125,10,19,19,125.0,2015.0,2015.0,2015.0,124.63,19,2015
164.0,164,90,48,48,164.0,2012.0,2012.0,2012.0,123.72,48,2014
43.0,43,49,4,4,43.0,2014.0,2014.0,2014.0,122.74,4,2016
140.0,140,29,23,23,140.0,2016.0,2016.0,2016.0,122.61,23,2014
15.0,15,96,5,5,15.0,2007.0,2007.0,2007.0,121.81,5,2014
44.0,44,30,5,5,44.0,2014.0,2014.0,2014.0,121.61,5,2013
33.0,33,293,14,14,33.0,2015.0,2015.0,2015.0,120.71,14,2014
1.0,1,700,1,1,1.0,2013.0,2013.0,2013.0,120.35,1,2013
4.0,4,471,1,1,4.0,2014.0,2014.0,2014.0,120.26,1,2013
14.0,14,25,4,4,14.0,2016.0,2016.0,2016.0,119.95,4,2017
173.0,173,3,4,4,173.0,2016.0,2016.0,2016.0,119.27,4,2017
1798.0,1798,52,399,399,1798.0,2013.0,2013.0,2013.0,118.93,399,2016
5.0,5,13,2,2,5.0,2014.0,2014.0,2014.0,118.38,2,2015
19.0,19,301,10,10,19.0,2006.0,2006.0,2006.0,118.2,10,2013
292.0,292,228,32,32,292.0,2014.0,2014.0,2014.0,118.11,32,2017
99.0,99,45,17,17,99.0,2014.0,2014.0,2014.0,117.94,17,2015
5.0,5,1438,1,1,5.0,2017.0,2017.0,2017.0,117.38,1,2013
40.0,40,115,8,8,40.0,2017.0,2017.0,2017.0,117.38,8,2014
95.0,95,80,37,37,95.0,2013.0,2013.0,2013.0,116.95,37,2013
191.0,191,38,31,31,191.0,2015.0,2015.0,2015.0,116.5,31,2015
63.0,63,67,17,17,63.0,2012.0,2012.0,2012.0,116.11,17,2013
15.0,15,60,2,2,15.0,2015.0,2015.0,2015.0,116.02,2,2015
12.0,12,38,4,4,12.0,2011.0,2011.0,2011.0,115.74,4,2017
26.0,26,3,2,2,26.0,2016.0,2016.0,2016.0,115.29,2,2010
8.0,8,1100,2,2,8.0,2013.0,2013.0,2013.0,114.64,2,2015
61.0,61,not found,32,32,61.0,2016.0,2016.0,2016.0,114.5,32,1994
180.0,180,20,30,30,180.0,2012.0,2012.0,2012.0,114.33,30,2016
60.0,60,18,10,10,60.0,2016.0,2016.0,2016.0,114.18,10,2013
243.0,243,509,84,84,243.0,2013.0,2013.0,2013.0,114.0,84,2017
288.0,288,335,40,40,288.0,2005.0,2005.0,2005.0,113.05,40,2016
18.0,18,105,4,4,18.0,2013.0,2013.0,2013.0,112.98,4,2015
155.0,155,10,37,37,155.0,2014.0,2014.0,2014.0,112.98,37,2014
49.0,49,150,5,5,49.0,2015.0,2015.0,2015.0,111.62,5,2013
287.0,287,25,38,38,287.0,2013.0,2013.0,2013.0,111.23,38,2008
16.0,16,10,6,6,16.0,2016.0,2016.0,2016.0,111.21,6,2012
932.0,932,45,767,767,932.0,2013.0,2013.0,2013.0,110.61,767,2015
9.0,9,72,2,2,9.0,2014.0,2014.0,2014.0,109.96,2,2015
7.0,7,112,2,2,7.0,2013.0,2013.0,2013.0,109.88,2,2012
47.0,47,30,3,3,47.0,2007.0,2007.0,2007.0,109.83,3,2015
45.0,45,581,18,18,45.0,2013.0,2013.0,2013.0,108.95,18,2016
16.0,16,1,4,4,16.0,2016.0,2016.0,2016.0,108.86,4,2017
19.0,19,12,2,2,19.0,2017.0,2017.0,2017.0,108.67,2,2016
6.0,6,101,3,3,6.0,2006.0,2006.0,2006.0,107.81,3,2011
41.0,41,5,3,3,41.0,2014.0,2014.0,2014.0,107.4,3,2011
85.0,85,2,9,9,85.0,2015.0,2015.0,2015.0,107.29,9,2015
176.0,176,353,32,32,176.0,2016.0,2016.0,2016.0,107.23,32,2015
5.0,5,not found,4,4,5.0,2015.0,2015.0,2015.0,107.07,4,2013
18.0,18,54,3,3,18.0,2015.0,2015.0,2015.0,106.94,3,2014
1000.0,1000,33,350,350,1000.0,2012.0,2012.0,2012.0,106.85,350,2015
226.0,226,334,25,25,226.0,2012.0,2012.0,2012.0,106.81,25,2014
35.0,35,26,9,9,35.0,2015.0,2015.0,2015.0,106.75,9,2011
40.0,40,140,5,5,40.0,2016.0,2016.0,2016.0,106.48,5,2013
30.0,30,400,20,20,30.0,2003.0,2003.0,2003.0,105.35,20,2012
5.0,5,110,2,2,5.0,2015.0,2015.0,2015.0,105.23,2,2014
12.0,12,26,2,2,12.0,2016.0,2016.0,2016.0,105.19,2,2015
47.0,47,309,5,5,47.0,2015.0,2015.0,2015.0,105.03,5,2016
25.0,25,37,5,5,25.0,2013.0,2013.0,2013.0,104.76,5,2016
12.0,12,90,3,3,12.0,2010.0,2010.0,2010.0,104.36,3,2012
65.0,65,75,3,3,65.0,2016.0,2016.0,2016.0,104.08,3,2016
38.0,38,206,14,14,38.0,2011.0,2011.0,2011.0,103.68,14,1983
166.0,166,101,109,109,166.0,2010.0,2010.0,2010.0,103.61,109,2010
117.0,117,7,18,18,117.0,2013.0,2013.0,2013.0,103.25,18,2016
23.0,23,65,4,4,23.0,2016.0,2016.0,2016.0,102.97,4,2016
15.0,15,4,2,2,15.0,2016.0,2016.0,2016.0,102.58,2,2015
7.0,7,8,2,2,7.0,2011.0,2011.0,2011.0,102.55,2,2013
44.0,44,19,8,8,44.0,2016.0,2016.0,2016.0,102.26,8,2014
1.0,1,114,1,1,1.0,1989.0,1989.0,1989.0,101.84,1,2013
24.0,24,9,4,4,24.0,2015.0,2015.0,2015.0,101.78,4,2016
6.0,6,11,1,1,6.0,2015.0,2015.0,2015.0,101.54,1,2017
,none,20,none,,,2015.0,2015.0,2015.0,101.44,,2017
702.0,702,18,204,204,702.0,2012.0,2012.0,2012.0,101.13,204,2016
6.0,6,40,4,4,6.0,2010.0,2010.0,2010.0,100.89,4,2012
72.0,72,30,18,18,72.0,2007.0,2007.0,2007.0,100.83,18,2014
46.0,46,800,3,3,46.0,2016.0,2016.0,2016.0,100.74,3,2012
95.0,95,595,31,31,95.0,2013.0,2013.0,2013.0,100.68,31,2015
18.0,18,22,3,3,18.0,2012.0,2012.0,2012.0,100.67,3,2014
320.0,320,34,52,52,320.0,2016.0,2016.0,2016.0,100.64,52,2014
84.0,84,8,25,25,84.0,2014.0,2014.0,2014.0,100.63,25,2017
6.0,6,65,2,2,6.0,2014.0,2014.0,2014.0,99.88,2,2015
84.0,84,"2,217",19,19,84.0,2012.0,2012.0,2012.0,99.87,19,2016
43.0,43,15,24,24,43.0,2011.0,2011.0,2011.0,99.71,24,2011
12.0,12,70,7,7,12.0,1996.0,1996.0,1996.0,99.59,7,2013
170.0,170,465,68,68,170.0,2013.0,2013.0,2013.0,99.43,68,2014
29.0,29,56,9,9,29.0,2016.0,2016.0,2016.0,99.43,9,2015
7.0,7,133,1,1,7.0,2006.0,2006.0,2006.0,99.42,1,2017
411.0,411,90,271,271,411.0,2015.0,2015.0,2015.0,98.97,271,2016
600.0,600,60,74,74,600.0,2014.0,2014.0,2014.0,98.61,74,2010
25.0,25,100,4,4,25.0,2015.0,2015.0,2015.0,98.54,4,2014
19.0,19,6,7,7,19.0,2014.0,2014.0,2014.0,98.46,7,2014
8.0,8,29,3,3,8.0,2016.0,2016.0,2016.0,98.34,3,2010
68.0,68,53,10,10,68.0,2015.0,2015.0,2015.0,98.29,10,2012
55.0,55,40,15,15,55.0,2016.0,2016.0,2016.0,98.16,15,2010
30.0,30,108,5,5,30.0,2015.0,2015.0,2015.0,97.97,5,1994
10.0,10,19,6,6,10.0,2015.0,2015.0,2015.0,97.92,6,2013
43.0,43,31,7,7,43.0,2017.0,2017.0,2017.0,97.79,7,2016
13.0,13,122,3,3,13.0,2016.0,2016.0,2016.0,97.76,3,2014
18.0,18,45,6,6,18.0,2014.0,2014.0,2014.0,97.07,6,2003
110.0,110,180,20,20,110.0,2012.0,2012.0,2012.0,96.85,20,2014
6.0,6,16,2,2,6.0,2017.0,2017.0,2017.0,96.77,2,2013
123.0,123,40,37,37,123.0,2015.0,2015.0,2015.0,96.62,37,2012
83.0,83,50,18,18,83.0,2012.0,2012.0,2012.0,96.28,18,2015
35.0,35,9,10,10,35.0,2015.0,2015.0,2015.0,96.26,10,2010
650.0,650,270,92,92,650.0,2000.0,2000.0,2000.0,96.18,92,2001
83.0,83,24,16,16,83.0,2003.0,2003.0,2003.0,95.88,16,2015
18.0,18,27,16,16,18.0,2007.0,2007.0,2007.0,95.84,16,2015
107.0,107,10,25,25,107.0,2012.0,2012.0,2012.0,95.8,25,2017
48.0,48,15,21,21,48.0,2015.0,2015.0,2015.0,95.39,21,2011
15.0,15,65,8,8,15.0,2015.0,2015.0,2015.0,95.0,8,2013
15.0,15,129,10,10,15.0,2016.0,2016.0,2016.0,94.93,10,2010
20.0,20,68,9,9,20.0,2014.0,2014.0,2014.0,94.82,9,2015
15.0,15,18,5,5,15.0,2016.0,2016.0,2016.0,94.5,5,2012
42.0,42,21,21,21,42.0,2010.0,2010.0,2010.0,94.5,21,2016
23.0,23,160,6,6,23.0,2016.0,2016.0,2016.0,94.4,6,2015
14.0,14,271,2,2,14.0,2013.0,2013.0,2013.0,94.26,2,2012
23.0,23,21,6,6,23.0,2017.0,2017.0,2017.0,94.12,6,2013
31.0,31,75,3,3,31.0,2015.0,2015.0,2015.0,93.91,3,2014
60.0,60,25,12,12,60.0,2012.0,2012.0,2012.0,93.85,12,2013
36.0,36,7,12,12,36.0,2012.0,2012.0,2012.0,93.76,12,2000
118.0,118,5,14,14,118.0,2012.0,2012.0,2012.0,93.72,14,2006
15.0,15,50,5,5,15.0,2017.0,2017.0,2017.0,93.62,5,2015
218.0,218,52,44,44,218.0,2010.0,2010.0,2010.0,93.49,44,2008
5.0,5,21,2,2,5.0,2017.0,2017.0,2017.0,93.42,2,2014
173.0,173,18,17,17,173.0,2013.0,2013.0,2013.0,92.43,17,2016
50.0,50,40,15,15,50.0,2011.0,2011.0,2011.0,92.3,15,2016
801.0,801,42,156,156,801.0,2008.0,2008.0,2008.0,92.03,156,2017
20.0,20,70,14,14,20.0,2016.0,2016.0,2016.0,92.03,14,2015
42.0,42,40,8,8,42.0,2013.0,2013.0,2013.0,92.02,8,2013
74.0,74,26,15,15,74.0,2016.0,2016.0,2016.0,91.78,15,2016
32.0,32,50,20,20,32.0,1976.0,1976.0,1976.0,91.74,20,2014
22.0,22,56,5,5,22.0,2015.0,2015.0,2015.0,91.42,5,2014
345.0,345,47,56,56,345.0,2015.0,2015.0,2015.0,91.42,56,2012
16.0,16,43,3,3,16.0,2016.0,2016.0,2016.0,91.12,3,2014
10.0,10,399,3,3,10.0,2016.0,2016.0,2016.0,90.45,3,2015
36.0,36,not found,2,2,36.0,2012.0,2012.0,2012.0,90.1,2,2014
40.0,40,250,10,10,40.0,2012.0,2012.0,2012.0,90.09,10,2010
142.0,142,330,22,22,142.0,2016.0,2016.0,2016.0,89.59,22,2014
673.0,673,67,119,119,673.0,2016.0,2016.0,2016.0,89.46,119,2014
35.0,35,9,7,7,35.0,2012.0,2012.0,2012.0,89.44,7,2016
89.0,89,62,39,39,89.0,2008.0,2008.0,2008.0,89.41,39,2015
5.0,5,167,1,1,5.0,2017.0,2017.0,2017.0,89.33,1,2005
15.0,15,2,10,10,15.0,2014.0,2014.0,2014.0,89.15,10,2016
6.0,6,40,1,1,6.0,2013.0,2013.0,2013.0,89.06,1,2012
13.0,13,200,4,4,13.0,2015.0,2015.0,2015.0,88.81,4,2010
45.0,45,15,10,10,45.0,2015.0,2015.0,2015.0,88.44,10,2012
21.0,21,80,2,2,21.0,2015.0,2015.0,2015.0,88.2,2,2014
28.0,28,14,9,9,28.0,2015.0,2015.0,2015.0,88.17,9,2017
33.0,33,12,12,12,33.0,2014.0,2014.0,2014.0,87.96,12,2016
11.0,11,10,2,2,11.0,2015.0,2015.0,2015.0,87.95,2,2017
5.0,5,9,1,1,5.0,2013.0,2013.0,2013.0,87.73,1,2014
7.0,7,not found,2,2,7.0,2016.0,2016.0,2016.0,87.21,2,2010
25.0,25,124,7,7,25.0,2015.0,2015.0,2015.0,87.16,7,2015
84.0,84,400,21,21,84.0,1999.0,1999.0,1999.0,87.15,21,2015
4.0,4,234,1,1,4.0,2008.0,2008.0,2008.0,87.03,1,2013
80.0,80,10,14,14,80.0,2005.0,2005.0,2005.0,86.82,14,2014
16.0,16,26,7,7,16.0,2017.0,2017.0,2017.0,86.75,7,2015
9.0,9,49,8,8,9.0,2014.0,2014.0,2014.0,86.63,8,2016
17.0,17,37,3,3,17.0,2013.0,2013.0,2013.0,86.45,3,2012
43.0,43,9,10,10,43.0,2015.0,2015.0,2015.0,86.44,10,2015
34.0,34,8,19,19,34.0,2012.0,2012.0,2012.0,86.3,19,2008
13.0,13,33,1,1,13.0,2014.0,2014.0,2014.0,86.24,1,2015
21.0,21,7,2,2,21.0,2015.0,2015.0,2015.0,85.59,2,2015
3.0,3,11,1,1,3.0,2016.0,2016.0,2016.0,85.57,1,2016
16.0,16,29,5,5,16.0,2012.0,2012.0,2012.0,85.53,5,2017
70.0,70,220,19,19,70.0,2010.0,2010.0,2010.0,84.65,19,2015
22.0,22,52,23,23,22.0,2012.0,2012.0,2012.0,84.47,23,2014
21.0,21,161,6,6,21.0,2013.0,2013.0,2013.0,84.45,6,2010
18.0,18,302,4,4,18.0,2016.0,2016.0,2016.0,84.3,4,2008
220.0,220,135,70,70,220.0,1990.0,1990.0,1990.0,84.23,70,2014
110.0,110,175,23,23,110.0,2013.0,2013.0,2013.0,84.18,23,2010
28.0,28,296,4,4,28.0,2015.0,2015.0,2015.0,84.1,4,1992
6.0,6,170,2,2,6.0,2015.0,2015.0,2015.0,83.77,2,1989
80.0,80,70,39,39,80.0,2001.0,2001.0,2001.0,83.45,39,2011
55.0,55,48,4,4,55.0,2016.0,2016.0,2016.0,83.41,4,2007
13.0,13,21,1,1,13.0,2010.0,2010.0,2010.0,83.31,1,2015
29.0,29,38,7,7,29.0,2016.0,2016.0,2016.0,83.26,7,2017
