03-gren-employees_number_2020,01-DDD-number_of_employees_2020,08-slytherin-employees,01-DDD-number_of_employees_2017,03-gren-employees_number_2017,07-silvestri-employees_2020,01-DDD-founding_year,03-gren-founding_year,07-silvestri-founding_year,01-DDD-compound_annual_growth_rate_cagr_pct,07-silvestri-employees_2017,08-slytherin-founded
27.0,27,63,4,4,27.0,2016.0,2016.0,2016.0,83.16,4,2014
7.0,7,5,3,3,7.0,2016.0,2016.0,2016.0,83.06,3,2015
45.0,45,22,20,20,45.0,2015.0,2015.0,2015.0,83.03,20,2013
5.0,5,14,1,1,5.0,2013.0,2013.0,2013.0,82.7,1,2015
41.0,41,11,8,8,41.0,1999.0,1999.0,1999.0,82.51,8,2017
275.0,275,25,55,55,275.0,2016.0,2016.0,2016.0,82.22,55,2015
37.0,37,50,9,9,37.0,2014.0,2014.0,2014.0,81.99,9,2015
28.0,28,26,7,7,28.0,2013.0,2013.0,2013.0,81.93,7,2016
12.0,12,140,6,6,12.0,1982.0,1982.0,1982.0,81.67,6,2005
33.0,33,131,12,12,33.0,2013.0,2013.0,2013.0,81.55,12,2008
6.0,6,9,2,2,6.0,2017.0,2017.0,2017.0,81.09,2,2013
87.0,87,202,23,23,87.0,2017.0,2017.0,2017.0,80.87,23,2016
82.0,82,190,39,39,82.0,2010.0,2010.0,2010.0,80.54,39,2014
49.0,49,179,43,43,49.0,2017.0,2017.0,2017.0,80.52,43,2013
34.0,34,78,23,23,34.0,2016.0,2016.0,2016.0,80.48,23,2009
6.0,6,400,3,3,6.0,2015.0,2015.0,2015.0,80.44,3,2015
6.0,6,113,2,2,6.0,2007.0,2007.0,2007.0,80.38,2,2016
8.0,8,30,2,2,8.0,2016.0,2016.0,2016.0,80.31,2,2010
27.0,27,314,9,9,27.0,2013.0,2013.0,2013.0,80.3,9,2013
104.0,104,18,25,25,104.0,2016.0,2016.0,2016.0,80.26,25,2011
19.0,19,90,5,5,19.0,2012.0,2012.0,2012.0,80.05,5,2017
10.0,10,187,3,3,10.0,2014.0,2014.0,2014.0,79.96,3,2015
17.0,17,41,5,5,17.0,2013.0,2013.0,2013.0,79.78,5,2016
6.0,6,70,1,1,6.0,2011.0,2011.0,2011.0,79.67,1,2016
10.0,10,104,6,6,10.0,2013.0,2013.0,2013.0,79.61,6,2012
18.0,18,5,8,8,18.0,2014.0,2014.0,2014.0,79.55,8,2015
108.0,108,60,27,27,108.0,2015.0,2015.0,2015.0,79.53,27,2015
10.0,10,120,6,6,10.0,2016.0,2016.0,2016.0,79.09,6,2016
9.0,9,19,3,3,9.0,2016.0,2016.0,2016.0,79.09,3,2016
16.0,16,100,5,5,16.0,2016.0,2016.0,2016.0,78.96,5,1983
9.0,9,116,2,2,9.0,2013.0,2013.0,2013.0,78.8,2,2016
8.0,8,10,4,4,8.0,2016.0,2016.0,2016.0,78.8,4,2017
400.0,400,34,30,30,400.0,2010.0,2010.0,2010.0,78.67,30,2016
40.0,40,67,9,9,40.0,2014.0,2014.0,2014.0,78.65,9,2013
13.0,13,40,3,3,13.0,2014.0,2014.0,2014.0,78.61,3,2004
46.0,46,40,31,31,46.0,2012.0,2012.0,2012.0,78.6,31,2016
