,id,name,official_name,headquarters_country,headquarters_continent,founded,employees,ceo,market_cap,categories,gbp
433,f3d579ffcd054b15b33d64643ebf67ef,yihai kerry arawana holdings co. ltd,,,,0,,,doll_cn¥272.59 b,"['china', 'consumerstaples', 'packagedfoods', 'chinaconsumerstaples', 'chinapackagedfoods']",doll_42.84 b
434,1834029d42fc4964822e408df160aa60,hoya corp,,tokyo,japan,0,"37,245",mr. eiichiro  ikeda,doll_¥5.253 t,"['japan', 'healthcare', 'medicalinstruments&supplies', 'japanhealthcare', 'japanmedicalinstruments&supplies']",doll_42.88 b
435,683a8bafbaed4918afb8aeb3abe129c7,"republic services, inc.",,phoenix,az,0,"35,000",mr. jon  vander ark,doll_42.91 b,"['unitedstates', 'industrials', 'wastemanagement', 'unitedstatesindustrials', 'unitedstateswastemanagement']",0
436,cbb054c154004ffdac64d41765d4b2e1,wesfarmers limited,,perth,wa,1914,"122,000",mr. robert g. scott,adoll_57.45 b,"['australia', 'consumerdiscretionary', 'homeimprovementretail', 'australiaconsumerdiscretionary', 'australiahomeimprovementretail']",doll_43.09 b
437,a0f25b75926e4e909dd278f8264a2487,xiaomi corp,,beijing,china,0,"33,427",mr. jun  lei,hkdoll_337.65 b,"['china', 'technology', 'consumerelectronics', 'chinatechnology', 'chinaconsumerelectronics']",doll_43.10 b
438,33f543a80b264cb9b762057ad42c95ba,kimberly-clark corporation,,dallas,tx,1872,"45,000",mr. michael d. hsu,doll_43.21 b,"['unitedstates', 'consumerstaples', 'household&personalproducts', 'unitedstatesconsumerstaples', 'unitedstateshousehold&personalproducts']",0
439,90acc7448d91484f98d104620913434c,"kinder morgan, inc.",,houston,tx,1997,"10,529",mr. steven j. kean,doll_43.38 b,"['unitedstates', 'energy', 'oil&gasmidstream', 'unitedstatesenergy', 'unitedstatesoil&gasmidstream']",0
440,fda62420d1f348d5a8c9faa628bacff9,murata manufacturing co. ltd,,nagaokakyo,japan,0,"77,398",,doll_¥5.318 t,"['japan', 'technology', 'electroniccomponents', 'japantechnology', 'japanelectroniccomponents']",doll_43.41 b
441,f9a0fca5cfec4c50ad36108954388083,barrick gold corporation,,toronto,on,1983,"18,421",dr. dennis mark bristow,cdoll_54.46 b,"['canada', 'basicmaterials', 'gold', 'canadabasicmaterials', 'canadagold']",doll_43.50 b
442,979fe4b438fb449e8382fbc44b462a87,aflac incorporated,,columbus,ga,0,"12,447",mr. daniel paul amos,doll_43.59 b,"['unitedstates', 'financials', 'insurance—life', 'unitedstatesfinancials', 'unitedstatesinsurance—life']",0
443,7b6270c0eccc418a8a60d84749bea021,"simon property group, inc.",,indianapolis,in,1993,"2,400",mr. david e. simon,doll_43.69 b,"['unitedstates', 'realestate', 'reit—retail', 'unitedstatesrealestate', 'unitedstatesreit—retail']",0
444,9ecb97685e604e80bd8da5d61a3eeeeb,lloyds banking group plc,,london,unitedkingdom,0,"57,955",,doll_£33.32 b,"['unitedkingdom', 'financials', 'banks', 'unitedkingdomfinancials', 'unitedkingdombanks']",doll_43.70 b
