,name,mastercap,country,industry,sector
101,howden joinery group plc,doll_5.98 b,united kingdom,"furnishings, fixtures & appliances",consumer discretionary
102,nvent electric plc,doll_5.97 b,united kingdom,electrical equipment & parts,industrials
103,investec plc,0,united kingdom,capital markets,financials
104,pennon group plc,doll_5.91 b,united kingdom,utilitiesregulated water,utilities
105,ds smith plc,doll_5.78 b,united kingdom,packaging & containers,consumer discretionary
106,the weir group plc,doll_5.74 b,united kingdom,specialty industrial machinery,industrials
107,dechra pharmaceuticals plc,doll_5.72 b,united kingdom,drug manufacturersgeneral,healthcare
108,sareum holdings plc,doll_5.60 b,united kingdom,biotechnology,healthcare
109,convatec group plc,doll_5.49 b,united kingdom,medical instruments & supplies,healthcare
110,tritax big box reit plc,doll_5.48 b,united kingdom,reitretail,real estate
111,farfetch limited,doll_5.29 b,united kingdom,internet retail,consumer discretionary
112,rit capital partners,doll_5.28 b,united kingdom,asset management,financials
113,mimecast limited,doll_5.12 b,united kingdom,softwareinfrastructure,technology
114,international game technology plc,doll_5.06 b,united kingdom,gambling,consumer discretionary
115,direct line insurance group plc,doll_4.92 b,united kingdom,insurancediversified,financials
116,derwent london plc,doll_4.82 b,united kingdom,reitoffice,real estate
117,imi plc,doll_4.79 b,united kingdom,specialty industrial machinery,industrials
118,johnson matthey plc,doll_4.79 b,united kingdom,specialty chemicals,basic materials
119,hicl infrastructure plc,doll_4.59 b,united kingdom,asset management,financials
120,wizz air holdings plc,doll_4.52 b,united kingdom,airlines,industrials
121,atotech ltd,doll_4.48 b,united kingdom,electronic components,technology
122,computacenter plc,doll_4.44 b,united kingdom,information technology services,technology
123,frasers group plc,doll_4.33 b,united kingdom,specialty retail,consumer discretionary
124,man group plc,doll_4.33 b,united kingdom,asset management,financials
125,royal mail plc,doll_4.31 b,united kingdom,integrated freight & logistics,industrials
126,softcat plc,doll_4.31 b,united kingdom,information technology services,technology
127,itv plc,doll_4.30 b,united kingdom,broadcasting,communication services
128,diploma plc,doll_4.25 b,united kingdom,industrial distribution,industrials
129,rotork plc,0,united kingdom,specialty industrial machinery,industrials
130,abcam plc,doll_4.21 b,united kingdom,biotechnology,healthcare
131,future plc,doll_4.20 b,united kingdom,publishing,communication services
132,darktrace plc,doll_4.13 b,united kingdom,softwareinfrastructure,technology
133,3i infrastructure plc,doll_4.11 b,united kingdom,asset management,financials
134,drax group plc,doll_4.11 b,united kingdom,utilitiesrenewable,utilities
135,ig group holdings plc,doll_4.04 b,united kingdom,capital markets,financials
136,polar capital technology trust,doll_4.04 b,united kingdom,asset management,financials
