,name,market_cap,stock,country,sector,industry,headquarters,founded,employees,ceo
50,duke energy corporation,doll_88.76 b,duk,united states,utilities,utilities—regulated electric,"charlotte,nc,unitedstates", 1904," 27,605", ms. lynn j. good
51,3m company,doll_88.77 b,mmm,united states,industrials,specialty industrial machinery,"st.paul,mn,unitedstates"," june 13, 1902"," 95,000", mr. michael f. roman
52,csl limited,doll_89.69 b,csl,australia,healthcare,biotechnology,"parkville,vic,australia", 1916," 25,000", mr. paul r. perreault b.a.
53,zoetis inc.,doll_89.82 b,zts,united states,healthcare,drug manufacturers—specialty & generic,"parsippany,nj,unitedstates", 1952 ," 12,100", ms. kristin c. peck
54,vulcan international corp,doll_90.34 b,vulc,united states,basic materials,chemicals,"wilmington,de,unitedstates",, 68,
55,"jd.com, inc.",doll_90.46 b,9618,china,consumer discretionary,internet retail,"beijing,china", 6 june 2009," 310,000", mr. qiangdong  liu
56,"mondelez international, inc.",doll_90.67 b,mdlz,united states,consumer staples,confectioners,"chicago,il,unitedstates"," december 10, 1923"," 79,000", mr. dirk  van de put
57,merck kommanditgesellschaft auf aktien,doll_90.74 b,mrk,germany,healthcare,drug manufacturers—specialty & generic,"darmstadt,germany",," 60,334", ms. belen  garijo lopez m.d.
58,deutsche telekom ag,doll_93.01 b,dte,germany,communication services,telecom services,"bonn,germany",," 216,528", mr. timotheus  hottges
59,schneider electric se,doll_94.34 b,su,france,industrials,specialty industrial machinery,"rueil-malmaison,france",," 166,025", mr. jean-pascal  tricoire
60,enbridge inc.,doll_94.94 b,enb,canada,energy,oil & gas midstream,"calgary,ab,canada"," april 30, 1949 as interprovincial pipe line company"," 10,900", mr. al  monaco
61,canadian national railway company,doll_94.96 b,cnr,canada,industrials,railroads,"montreal,qc,canada", 6 june 1919," 22,604", ms. tracy a. robinson
62,booking holdings inc.,doll_95.02 b,bkng,united states,consumer discretionary,travel services,"norwalk,ct,unitedstates", 1996," 20,097", mr. glenn d. fogel
63,china shenhua energy company ltd,doll_95.34 b,601088,china,energy,thermal coal,"beijing,china",," 77,029",
64,bp plc,doll_96.24 b,bp.,united kingdom,energy,oil & gas integrated,"london,unitedkingdom", 14 april 1909 as the anglo-persian oil company," 60,000",
65,"automatic data processing, inc.",doll_96.98 b,adp,united states,industrials,staffing & employment services,"roseland,nj,unitedstates", 1949," 56,000", mr. carlos a. rodriguez
66,"metlife, inc.",doll_62.69 b,met,united states,financials,insurance—life,"newyork,ny,unitedstates"," march 24, 1868"," 49,000", mr. michel abbas khalaf
67,dassault systèmes se,doll_62.75 b,dsy,france,technology,software—application,"velizy-villacoublay,france",," 20,496", mr. bernard s. charles
68,pacificorp,doll_62.87 b,ppwlm,united states,utilities,utilities—diversified,"portland,or,unitedstates",," 4,800", mr. william j. fehrman
69,boston scientific corporation,doll_63.08 b,bsx,united states,healthcare,medical devices,, 1979," 41,000", mr. michael f. mahoney
70,fedex corporation,doll_63.25 b,fdx,united states,industrials,integrated freight & logistics,"memphis,tn,unitedstates"," may 5, 1971"," 384,000", mr. frederick w. smith
71,shin-etsu chemical co ltd,doll_63.43 b,4063,japan,basic materials,chemicals,"tokyo,japan",," 24,629",
72,ap moller - maersk a-s,doll_64.40 b,maersk.b,denmark,industrials,marine shipping,"copenhagen,denmark",," 95,000", mr. soren  skou
73,"sk hynix, inc.",doll_64.60 b,000660,south korea,technology,semiconductors,"icheon-si,southkorea",," 29,047",
74,oriental land co. ltd,doll_64.66 b,4661,japan,consumer discretionary,leisure,"urayasu,japan",," 8,782", mr. toshio  kagami
75,snowflake inc.,doll_65.04 b,snow,united states,technology,software—application,"sanmateo,ca,unitedstates"," july 23, 2012"," 2,495", mr. frank  slootman
76,exelon corporation,doll_65.53 b,exc,united states,utilities,utilities—diversified,"chicago,il,unitedstates"," october 20, 2000"," 31,518", mr. christopher mark crane
77,colgate-palmolive company,doll_65.64 b,cl,united states,consumer staples,household & personal products,"newyork,ny,unitedstates", 1806," 33,800", mr. noel r. wallace
78,ford motor company,doll_65.74 b,f,united states,consumer discretionary,auto manufacturers,"dearborn,mi,unitedstates"," june 16, 1903"," 183,000", mr. james d. farley jr.
79,newmont corporation,doll_65.89 b,nem,united states,basic materials,gold,"denver,co,unitedstates", 1921," 14,400", mr. thomas ronald palmer
80,"equinix, inc. (reit)",doll_66.35 b,eqix,united states,real estate,reit—specialty,"redwoodcity,ca,unitedstates", 1998," 10,944", mr. charles j. meyers
81,icici bank limited,doll_66.62 b,ibn,india,financials,banks,"mumbai,india", 5 january 1994," 98,750", mr. sandeep  bakhshi b.e.
82,dbs group holdings ltd,doll_66.74 b,d05,singapore,financials,banks,"singapore,singapore",," 33,000", mr. piyush  gupta
83,industrial bank co. ltd,doll_66.87 b,601166,china,financials,banks,"fuzhou,china",," 59,630",
84,"waste management, inc.",doll_66.95 b,wm,united states,industrials,waste management,"houston,tx,unitedstates"," january 1, 1968"," 48,500", mr. james c. fish jr.
85,abb ltd,doll_67.19 b,abbn,switzerland,industrials,electrical equipment & parts,"zurich,switzerland", 1988," 104,400",
86,westpac banking corporation,doll_67.20 b,wbc,australia,financials,banks,"sydney,nsw,australia",," 40,143"," mr. peter francis king f.c.a., bec, fca"
87,the progressive corporation,doll_67.31 b,pgr,united states,financials,insurance—property & casualty,"mayfield,oh,unitedstates"," march 10, 1937"," 49,077", ms. susan patricia griffith
88,illinois tool works inc.,doll_67.49 b,itw,united states,industrials,specialty industrial machinery,"glenview,il,unitedstates", 1912," 45,000", mr. e. scott santi
89,vertex pharmaceuticals incorporated,doll_67.49 b,vrtx,united states,healthcare,biotechnology,"boston,ma,unitedstates", 1989," 3,900"," dr. reshma  kewalramani fasn, m.d."
90,the sherwin-williams company,doll_67.54 b,shw,united states,basic materials,specialty chemicals,"cleveland,oh,unitedstates"," cleveland, ohio, u.s. 1866"," 61,000", mr. john g. morikis
91,bayer ag,doll_68.09 b,bayn,germany,healthcare,drug manufacturers—general,"leverkusen,germany",," 95,950", mr. werner  baumann
92,recruit holdings co ltd,doll_68.11 b,6098,japan,industrials,staffing & employment services,"tokyo,japan",," 46,800", mr. hisayuki  idekoba
93,"iberdrola, sa",doll_68.23 b,ibe,spain,utilities,utilities—diversified,"bilbao,spain",," 38,702", mr. jose ignacio  sanchez galan
94,"fiserv, inc.",doll_68.68 b,fisv,united states,technology,information technology services,"brookfield,wi,unitedstates", 1984," 44,000", mr. frank j. bisignano
95,sberbank of russia pjsc,doll_68.69 b,sber,russia,financials,banks,"moscow,russia",," 287,866", mr. herman oskarovich gref
96,ubs group ag,doll_68.93 b,ubsg,switzerland,financials,banks,"zurich,switzerland", 29 june 1998," 71,385", mr. ralph a. j. g. hamers
97,public storage,doll_69.31 b,psa,united states,real estate,reit—industrial,"glendale,ca,unitedstates", 1972," 5,800", mr. joseph d. russell jr.
98,"américa móvil, s.a.b. de c.v.",doll_69.45 b,amxa,mexico,communication services,telecom services,"mexicocity,df,mexico", 1986," 181,205", mr. daniel hajj aboumrad
99,bnp paribas sa,doll_69.90 b,bnp,france,financials,banks,"paris,france",," 190,000", mr. jean-laurent  bonnafe
100,enel spa,doll_70.15 b,enel,italy,utilities,utilities—diversified,"rome,rm,italy",," 66,279", mr. francesco  starace
101,"dominion energy, inc.",doll_70.20 b,d,united states,utilities,utilities—diversified,"richmond,va,unitedstates"," virginia, u.s. 1983"," 17,100", mr. robert m. blue
102,axa sa,doll_70.20 b,cs,france,financials,insurance—diversified,"paris,france",," 106,128", dr. thomas  buberl
103,general dynamics corporation,doll_70.55 b,gd,united states,industrials,aerospace & defense,," february 7, 1899"," 103,100", ms. phebe n. novakovic
104,"moderna, inc.",doll_70.81 b,mrna,united states,healthcare,biotechnology,"cambridge,ma,unitedstates", september 2010," 2,700", mr. stephane  bancel
105,anglo american plc,doll_71.48 b,aal,united kingdom,basic materials,other industrial metals & mining,"london,unitedkingdom", 1917," 106,000"," mr. mark  cutifani b.e., beng (mining), fellow ausimm, cengfimmm, dba"
106,siemens healthineers ag,doll_71.50 b,shl,germany,healthcare,diagnostics & research,"erlangen,germany",," 66,800", dr. bernhard  montag
107,"eog resources, inc.",doll_71.90 b,eog,united states,energy,oil & gas e&p,"houston,tx,unitedstates", 1999," 2,800", mr. ezra y. yacob
108,pt bank central asia tbk,doll_71.91 b,bbca,indonesia,financials,banks,"jakarta,indonesia",," 25,370",
109,wal-mart de mexico sab de cv,doll_71.96 b,walmex,mexico,consumer staples,discount stores,"mexicocity,df,mexico",," 231,259", mr. guilherme  de souza macedo loureiro
110,freeport-mcmoran inc.,doll_72.16 b,fcx,united states,basic materials,copper,"phoenix,az,unitedstates", 1912," 24,700", mr. richard c. adkerson
111,norfolk southern corporation,doll_72.31 b,nsc,united states,industrials,railroads,"norfolk,va,unitedstates"," july 23, 1980 in norfolk, virginia, united states"," 18,100", mr. james a. squires
112,kddi corp,doll_73.12 b,9433,japan,communication services,telecom services,"tokyo,japan",," 47,320",
113,northrop grumman corporation,doll_73.25 b,noc,united states,industrials,aerospace & defense,"fallschurch,va,unitedstates", 1994," 88,000", ms. kathy j. warden
114,aon plc,doll_73.33 b,aon,united kingdom,financials,insurance brokers,"london,unitedkingdom", 1982," 50,000", mr. gregory clarence case
115,bayerische motoren werke ag,doll_56.17 b,bmwb,germany,consumer discretionary,auto manufacturers,"munich,germany",," 118,909", mr. oliver  zipse
116,bank of communications co. ltd,doll_56.38 b,601328,china,financials,banks,"shanghai,china",," 90,238",
117,kla corporation,doll_56.48 b,klac,united states,technology,semiconductor equipment & materials,"milpitas,ca,unitedstates", 1997," 11,300", mr. richard p. wallace
118,humana inc.,doll_56.55 b,hum,united states,healthcare,healthcare plans,"louisville,ky,unitedstates"," august 18, 1961"," 95,500", mr. bruce dale broussard
119,tc energy corporation,doll_56.77 b,trp,canada,energy,oil & gas midstream,"calgary,ab,canada",," 7,017", mr. francois lionel poirier
120,the saudi national bank,doll_56.89 b,1180,saudi arabia,financials,banks,"riyadh,saudiarabia",," 16,113", mr. saeed  bin mohammed a. al-ghamdi
121,ihs markit ltd.,doll_56.94 b,info,united kingdom,industrials,consulting services,"london,unitedkingdom", 1959," 16,000",
122,pinduoduo inc.,doll_57.09 b,pdd,china,consumer discretionary,internet retail,"shanghai,china",," 7,986", mr. lei  chen
123,"marriott international, inc.",doll_57.18 b,mar,united states,consumer discretionary,lodging,"bethesda,md,unitedstates"," march 5, 1927"," 120,000", mr. anthony g. capuano jr.
124,canadian imperial bank of commerce,doll_57.20 b,cm,canada,financials,banks,"toronto,on,canada"," june 1, 1961"," 46,030", mr. victor g. dodig
125,mitsubishi corp,doll_57.23 b,8058,japan,industrials,conglomerates,"tokyo,japan",,, mr. takehiko  kakiuchi
126,foshan haitian flavouring and food company ltd,doll_57.40 b,603288,china,consumer staples,packaged foods,"foshan,china",," 6,058",
127,enterprise products partners l.p.,doll_57.43 b,epd,united states,energy,oil & gas midstream,"houston,tx,unitedstates", 1968," 7,000", mr. a. james teague
128,itaú unibanco holding sa,doll_57.45 b,itub,brazil,financials,banks,"sã£opaulo,sp,brazil",," 99,600", mr. milton maluhy filho
129,"marvell technology, inc.",doll_57.62 b,9mw,united states,technology,semiconductors,"wilmington,de,unitedstates",," 6,695", mr. matthew j. murphy
130,schlumberger limited,doll_57.63 b,slb,united states,energy,oil & gas equipment & services,"houston,tx,unitedstates", 1926," 92,000", mr. olivier  le peuch
131,pernod ricard sa,doll_57.75 b,ri,france,consumer staples,beverages—wineries & distilleries,"paris,france",," 18,500", mr. alexandre  ricard
132,"air products and chemicals, inc.",doll_57.82 b,apd,united states,basic materials,chemicals,"allentown,pa,unitedstates", 1940," 20,000", mr. seifollah  ghasemi
133,marvell technology group ltd.,doll_58.36 b,mrvl,bermuda,                                        technology                                    ,                                        semiconductors                                    ,"hamilton,bermuda", 1995," 6,695", mr. matthew j. murphy
134,relx plc,doll_58.53 b,rel,united kingdom,communication services,publishing,"london,unitedkingdom", 1993," 33,500", mr. erik  engstrom
135,"workday, inc.",doll_58.70 b,wday,united states,technology,software—application,"pleasanton,ca,unitedstates", march 2005," 15,200", mr. aneel  bhusri
136,vinci sa,doll_59.01 b,dg,france,industrials,engineering & construction,"rueil-malmaison,france",," 218,569", mr. xavier m. p. huillard
137,shenzhen mindray bio-medical electronics co. ltd,doll_59.26 b,300760,china,healthcare,medical devices,"shenzhen,china",," 11,833",
138,southern copper corporation,doll_59.46 b,scco,united states,basic materials,copper,"phoenix,az,unitedstates", 1952," 14,700", mr. oscar  gonzalez rocha
139,saudi telecom company,doll_59.47 b,7010,saudi arabia,communication services,telecom services,"riyadh,saudiarabia",,,
140,nongfu spring co. ltd,doll_59.50 b,9633,china,consumer staples,beverages—non-alcoholic,"hangzhou,china",," 20,773",
141,reckitt benckiser group plc,doll_59.53 b,rkt,united kingdom,consumer staples,household & personal products,"slough,unitedkingdom", 1814," 43,000",
142,australia and new zealand banking group limited,doll_59.55 b,anz,australia,financials,banks,"melbourne,vic,australia", 1 october 1970," 39,684"," mr. shayne cary elliott b.com, b.com."
143,"palo alto networks, inc.",doll_59.65 b,panw,united states,technology,software—infrastructure,"santaclara,ca,unitedstates", 2005," 11,527", mr. nikesh  arora c.f.a.
144,emerson electric co.,doll_59.66 b,emr,united states,industrials,specialty industrial machinery,"saintlouis,mo,unitedstates", 1890," 86,700", mr. surendralal lanca karsanbhai
145,capital one financial corporation,doll_59.67 b,cof,united states,financials,credit services,"mclean,va,unitedstates"," july 21, 1994"," 50,767", mr. richard d. fairbank
146,hong kong exchanges & clearing ltd,doll_59.75 b,0388,hong kong,financials,financial data & stock exchanges,"central,hongkong",," 2,146", mr. alejandro nicolas  aguzin
147,"netease, inc.",doll_59.76 b,9999,china,communication services,internet content & information,"hangzhou,china", june 1997," 18,129", mr. lei  ding
148,deutsche post ag,doll_59.80 b,dpwa,germany,industrials,integrated freight & logistics,"bonn,germany",," 548,042", dr. frank  appel
149,"block, inc.",doll_59.95 b,sq,united states,technology,software—infrastructure,"sanfrancisco,ca,unitedstates"," february 14, 2009"," 8,521", mr. jack  dorsey
150,nutrien ltd.,doll_60.06 b,ntr,canada,basic materials,agricultural inputs,"saskatoon,sk,canada",," 23,500", mr. kenneth a. seitz
151,cnooc limited,doll_60.19 b,0883,hong kong,energy,oil & gas e&p,"central,hongkong", august 1999," 18,151", mr. keqiang  xu
152,atlas copco ab,doll_60.97 b,atco.a,sweden,industrials,specialty industrial machinery,"nacka,sweden",," 42,862", mr. mats  rahmstrã¶m
153,adyen n.v.,doll_61.11 b,adyen,netherlands,technology,software—infrastructure,"amsterdam,netherlands",," 2,180", mr. pieter willem van der does
154,hapag-lloyd ag,doll_61.46 b,hlag,germany,industrials,marine shipping,"hamburg,germany",," 14,106", mr. rolf habben jansen
155,"banco santander, sa",doll_61.67 b,san,spain,financials,banks,"madrid,spain", 15 may 1857," 177,033", mr. jose antonio  alvarez alvarez
156,"fidelity national information services, inc.",doll_61.73 b,fis,united states,technology,information technology services,"jacksonville,fl,unitedstates", 1968," 65,000", mr. gary adam norcross
157,"analog devices, inc.",doll_62.00 b,adi,united states,technology,semiconductors,"norwood,ma,unitedstates"," cambridge, massachusetts, united states 1965"," 24,700", mr. vincent t. roche
158,eaton corporation plc,doll_62.17 b,etn,ireland,industrials,specialty industrial machinery,"dublin,ireland", 1911," 85,947", mr. craig  arnold
159,pioneer natural resources company,doll_62.19 b,pxd,united states,energy,oil & gas e&p,"irving,tx,unitedstates", 1997," 1,932", mr. scott douglas sheffield
160,nintendo co ltd,doll_62.20 b,7974,japan,communication services,electronic gaming & multimedia,"kyoto,japan",," 6,574",
161,moody's corporation,doll_62.58 b,mco,united states,financials,financial data & stock exchanges,"newyork,ny,unitedstates", 1909 ," 13,460", mr. robert scott fauber
162,"uber technologies, inc.",doll_62.66 b,uber,united states,technology,software—application,"sanfrancisco,ca,unitedstates", march 2009," 29,300", mr. dara  khosrowshahi
163,sea limited,doll_62.66 b,se,singapore,communication services,electronic gaming & multimedia,"singapore,singapore",," 29,800", mr. xiaodong  li
164,"paychex, inc.",doll_49.23 b,payx,united states,industrials,staffing & employment services,"rochester,ny,unitedstates", 1971," 15,000", mr. martin  mucci
165,centene corporation,doll_49.32 b,cnc,united states,healthcare,healthcare plans,"st.louis,mo,unitedstates", 1984," 72,500", ms. sarah m. london
166,the kraft heinz company,doll_49.42 b,khc,united states,consumer staples,packaged foods,"pittsburgh,pa,unitedstates"," july 2, 2015"," 36,000", mr. miguel  patricio
167,"roper technologies, inc.",doll_49.66 b,rop,united states,industrials,specialty industrial machinery,"sarasota,fl,unitedstates", 1890," 19,300", mr. laurence neil hunn
168,"mercadolibre, inc.",doll_49.83 b,meli,argentina,consumer discretionary,internet retail,"buenosaires,argentina"," august 2, 1999"," 29,957", mr. marcos  eduardo galperã­n
169,"illumina, inc.",doll_49.91 b,ilmn,united states,healthcare,diagnostics & research,"sandiego,ca,unitedstates", 1998," 9,800", mr. francis a. desouza
170,safran sa,doll_50.02 b,saf,france,industrials,aerospace & defense,"paris,france",," 77,008", mr. olivier  andries
171,"synopsys, inc.",doll_50.18 b,snps,united states,technology,software—infrastructure,"mountainview,ca,unitedstates"," 1986 in research triangle park, north carolina."," 16,361", dr. aart j. de geus
172,novatek pjsc,doll_50.19 b,nvtk,russia,energy,oil & gas e&p,"tarko-sale,russia",,, mr. leonid viktorovich mikhelson
173,ecolab inc.,doll_50.29 b,ecl,united states,basic materials,specialty chemicals,"saintpaul,mn,unitedstates", 1923 ," 47,000", mr. christophe  beck
174,china tourism group duty free corp ltd,doll_50.46 b,601888,china,consumer discretionary,travel services,"beijing,china",," 14,217",
175,hon hai precision industry co. ltd,doll_50.75 b,2317,taiwan,technology,electronic components,"newtaipeicity,taiwan",,,
176,fortescue metals group limited,doll_50.76 b,fmg,australia,basic materials,other industrial metals & mining,"eastperth,wa,australia", 2003," 10,232", ms. elizabeth anne gaines ca
177,"american electric power company, inc.",doll_50.95 b,aep,united states,utilities,utilities—regulated electric,"columbus,oh,unitedstates", 1906," 16,688", mr. nicholas k. akins
178,archer-daniels-midland company,doll_51.03 b,adm,united states,consumer staples,farm products,"chicago,il,unitedstates"," minneapolis, minnesota, u.s.1902"," 39,218", mr. juan ricardo luciano
179,general accident plc,doll_51.43 b,gaca,united kingdom,financials,insurance—property & casualty,,,,
180,"agribank, fcb",doll_51.49 b,agrip,united states,financials,credit services,"saintpaul,mn,unitedstates",,,
181,"l3harris technologies, inc.",doll_51.51 b,lhx,united states,industrials,aerospace & defense,"melbourne,fl,unitedstates"," june 29, 2019"," 47,000"," mr. christopher e. kubasik cpa, cpa"
182,toyota motor corporation,doll_51.55 b,7203,japan,consumer discretionary,auto manufacturers,"toyota,japan"," august 28, 1937"," 371,365", mr. akio  toyoda
183,denso corp,doll_51.58 b,6902,japan,consumer discretionary,auto parts,"kariya,japan",," 168,391", mr. koji  arima
184,bce inc.,doll_51.71 b,bce,canada,communication services,telecom services,"verdun,qc,canada", 1983," 49,781", mr. mirko  bibic
185,stellantis n.v.,doll_51.80 b,stla,netherlands,consumer discretionary,auto manufacturers,"amsterdam,netherlands",," 281,595", mr. carlos  tavares
186,eni s.p.a.,doll_52.00 b,eni,italy,energy,oil & gas integrated,"rome,rm,italy", 10 february 1953," 31,495", mr. claudio  descalzi
187,itochu corp,doll_52.19 b,8001,japan,industrials,conglomerates,"tokyo,japan",," 125,944", mr. masahiro  okafuji
188,"xilinx, inc.",doll_52.19 b,xlnx,united states,technology,semiconductors,"sanjose,ca,unitedstates", 1984," 4,890", mr. victor  peng
189,nxp semiconductors n.v.,doll_52.28 b,nxpi,netherlands,technology,semiconductors,"eindhoven,netherlands", established in 2006," 31,000", mr. kurt  sievers
190,fast retailing co. ltd,doll_52.29 b,9983,japan,consumer discretionary,apparel retail,"yamaguchi,japan",," 55,589", mr. tadashi  yanai
191,"liberty bancshares, inc. (oh)",doll_52.30 b,lbsi,united states,financials,banks,"ada,oh,unitedstates",,, mr. ronald l. zimmerly jr.
192,occidental petroleum corporation,doll_52.30 b,oxy,united states,energy,oil & gas e&p,"houston,tx,unitedstates", june 1909," 11,678", ms. vicki a. hollub
193,sempra energy,doll_52.47 b,sre,united states,utilities,utilities—diversified,"sandiego,ca,unitedstates", 1998," 15,390", mr. jeffrey walker martin
194,basf se,doll_52.76 b,bas,germany,basic materials,chemicals,"ludwigshafenamrhein,germany",," 108,718", dr. martin  brudermuller
195,thomson reuters corporation,doll_53.30 b,tri,canada,industrials,consulting services,"toronto,on,canada",," 24,400"," mr. stephen john hasker b.com., m.b.a."
196,london stock exchange group plc,doll_53.33 b,lseg,united kingdom,financials,financial data & stock exchanges,"london,unitedkingdom", 23 june 2007," 24,158", mr. david a. schwimmer
197,lonza group ltd,doll_53.76 b,lonn,switzerland,healthcare,diagnostics & research,"basel,switzerland",," 16,218",
198,ferrari n.v.,doll_53.78 b,race,italy,consumer discretionary,auto manufacturers,"maranello,mo,italy", 13 september 1939," 4,609", mr. benedetto  vigna
199,snap inc.,doll_53.86 b,snap,united states,communication services,internet content & information,"santamonica,ca,unitedstates"," september 16, 2011"," 5,661", mr. evan  spiegel
200,"fortinet, inc.",doll_53.86 b,ftnt,united states,technology,software—infrastructure,"sunnyvale,ca,unitedstates", 2000," 10,195", mr. ken  xie
201,dollar general corporation,doll_54.30 b,dg,united states,consumer staples,discount stores,"goodlettsville,tn,unitedstates", october 1939," 163,000", mr. todd j. vasos
202,"american international group, inc.",doll_54.31 b,aig,united states,financials,insurance—diversified,"newyork,ny,unitedstates"," december 19, 1919"," 36,600", mr. peter salvatore zaffino
203,marathon petroleum corporation,doll_54.54 b,mpc,united states,energy,oil & gas refining & marketing,"findlay,oh,unitedstates"," november 9, 2009"," 17,700", mr. michael j. hennigan
204,canadian pacific railway limited,doll_54.59 b,cp,canada,industrials,railroads,"calgary,ab,canada", 16 february 1881," 11,834", mr. keith e. creel
205,ambev sa,doll_54.69 b,abev3,brazil,consumer staples,beverages—brewers,"sã£opaulo,sp,brazil",," 53,000", mr. jean jereissati neto
206,heineken n.v.,doll_54.87 b,heia,netherlands,consumer staples,beverages—brewers,"amsterdam,netherlands",," 81,070", mr. rudolf gijsbert servaas van den brink
207,softbank group corp.,doll_54.93 b,9984,japan,communication services,telecom services,"tokyo,japan",," 58,786", mr. masayoshi  son
208,ergo science corp,doll_55.23 b,ergn,united states,industrials,staffing & employment services,"northandover,ma,unitedstates",,,
209,keurig dr pepper inc.,doll_55.28 b,kdp,united states,consumer staples,beverages—non-alcoholic,"burlington,ma,unitedstates", 1981," 27,500", mr. robert j. gamgort
210,chugai pharmaceutical co. ltd,doll_55.31 b,4519,japan,healthcare,drug manufacturers—general,"tokyo,japan",," 7,664", dr. osamu  okuda
211,"daikin industries,ltd.",doll_55.58 b,6367,japan,industrials,building products & equipment,"osaka,japan",," 84,870", mr. masanori  togawa
212,national grid plc,doll_55.88 b,ng.,united kingdom,utilities,utilities—diversified,"london,unitedkingdom", 1990," 23,683",
213,zijin mining group co ltd,doll_43.93 b,601899,china,basic materials,gold,"longyan,china",," 43,876",
214,wipro limited,doll_43.98 b,wipro,india,technology,information technology services,"bengaluru,india", 29 december 1945," 220,000", mr. thierry  delaporte
215,"samsung biologics co.,ltd.",doll_44.01 b,207940,south korea,healthcare,biotechnology,"incheon,southkorea",," 3,247", mr. john chongbo  rim
216,"sumitomo mitsui financial group, inc.",doll_44.06 b,8316,japan,financials,banks,"tokyo,japan"," june 6, 1996"," 86,800", mr. jun  ohta
217,"chipotle mexican grill, inc.",doll_44.11 b,cmg,united states,consumer discretionary,restaurants,"newportbeach,ca,unitedstates"," july 13, 1993"," 97,660", mr. brian r. niccol
218,"cadence design systems, inc.",doll_44.23 b,cdns,united states,technology,software—application,"sanjose,ca,unitedstates", 1988," 9,300", dr. anirudh  devgan ph.d.
219,cintas corporation,doll_44.32 b,ctas,united states,industrials,specialty business services,"cincinnati,oh,unitedstates", 1929," 40,000", mr. todd m. schneider
220,iqvia holdings inc.,doll_44.32 b,iqv,united states,healthcare,diagnostics & research,"durham,nc,unitedstates", 1982," 79,000", mr. ari  bousbib
221,"autozone, inc.",doll_44.39 b,azo,united states,consumer discretionary,specialty retail,"memphis,tn,unitedstates"," july 4, 1979"," 65,100", mr. william c. rhodes iii
222,te connectivity ltd.,doll_44.78 b,tel,switzerland,technology,electronic components,"schaffhausen,switzerland", 2007," 85,000", mr. terrence r. curtin cpa
223,intesa sanpaolo s.p.a.,doll_44.95 b,isp,italy,financials,banks,"turin,to,italy",," 78,000", mr. carlo  messina
224,pjsc lukoil,doll_44.96 b,lkoh,russia,energy,oil & gas integrated,"moscow,russia",," 101,374", mr. vagit yusufovich alekperov
225,saudi arabian mining company,doll_45.00 b,1211,saudi arabia,basic materials,other industrial metals & mining,"riyadh,saudiarabia",,, mr. robert g. wilt
226,mitsui & co. ltd,doll_45.09 b,8031,japan,energy,oil & gas e&p,"tokyo,japan",," 44,509", mr. kenichi  hori
227,"datadog, inc.",doll_45.13 b,ddog,united states,technology,software—application,"newyork,ny,unitedstates", 2010," 3,200", mr. olivier  pomel
228,"constellation brands, inc.",doll_45.21 b,stz,united states,consumer staples,beverages—wineries & distilleries,"victor,ny,unitedstates", 1945," 9,300", mr. william a. newlands
229,infineon technologies ag,doll_45.35 b,ifxa,germany,technology,semiconductors,"munich,germany",," 50,280", dr. reinhard  ploss
230,"the travelers companies, inc.",doll_45.56 b,trv,united states,financials,insurance—property & casualty,"newyork,ny,unitedstates", 1853," 30,184", mr. alan david schnitzer
231,"idexx laboratories, inc.",doll_45.64 b,idxx,united states,healthcare,diagnostics & research,"westbrook,me,unitedstates", 1983," 10,350", mr. jonathan j. mazelsky
232,vodafone group plc,doll_45.74 b,vod,united kingdom,communication services,telecom services,"newbury,unitedkingdom", 16 september 1991," 105,000", mr. nicholas jonathan read
233,vanjia corp,doll_45.74 b,vnja,united states,consumer discretionary,residential construction,"houston,tx,unitedstates",,, ms. su hua tian
234,amphenol corporation,doll_45.77 b,aph,united states,technology,electronic components,"wallingford,ct,unitedstates", 1932," 90,000", mr. richard adam norwitt
235,the hershey company,doll_45.83 b,hsy,united states,consumer staples,confectioners,"hershey,pa,unitedstates"," february 8, 1894"," 16,620", ms. michele gross buck
236,takeda pharmaceutical company limited,doll_45.89 b,4502,japan,healthcare,drug manufacturers—specialty & generic,"tokyo,japan"," doshomachi, osaka, japan june 12, 1781"," 47,099", mr. christophe  weber
237,"baidu, inc.",doll_45.98 b,9888,china,communication services,internet content & information,"beijing,china"," january 1, 2000"," 45,500", mr. yanhong  li
238,sika ag,doll_46.01 b,sika,switzerland,basic materials,specialty chemicals,"baar,switzerland",," 26,272",
239,adidas ag,doll_46.13 b,ads1,germany,consumer discretionary,footwear & accessories,"herzogenaurach,germany",," 53,870", mr. kasper bo rorsted
240,nidec corp,doll_46.33 b,6594,japan,industrials,specialty industrial machinery,"kyoto,japan",, 758, mr. jun  seki
241,banco bradesco sa,doll_46.71 b,bbdc3,brazil,financials,banks,"osasco,sp,brazil"," march 10, 1943"," 85,264"," mr. octavio  de lazari jr., junior"
242,"dexcom, inc.",doll_46.86 b,dxcm,united states,healthcare,diagnostics & research,"sandiego,ca,unitedstates", 1999," 6,300", mr. kevin ronald sayer
243,nucor corporation,doll_46.86 b,nue,united states,basic materials,steel,"charlotte,nc,unitedstates",," 28,800", mr. leon j. topalian
244,cognizant technology solutions corporation,doll_47.07 b,ctsh,united states,technology,information technology services,"teaneck,nj,unitedstates", 26 january 1994," 330,600", mr. brian  humphries
245,open joint stock company omz,doll_47.15 b,omzzp,russia,industrials,specialty industrial machinery,"moscow,russia",,, igor y. zhilkin
