_id,ltable_ID,rtable_ID,ltable_name,ltable_country,ltable_headquarters,ltable_address,ltable_founded,ltable_employees,ltable_market_cap,ltable_revenue,ltable_profit,ltable_industry,ltable_sector,ltable_categories,ltable_ceo,rtable_name,rtable_country,rtable_headquarters,rtable_address,rtable_founded,rtable_employees,rtable_market_cap,rtable_revenue,rtable_profit,rtable_industry,rtable_sector,rtable_categories,rtable_ceo
11807,147980,148618,yang ming marine transport corporation,taiwan,,,,,doll_14.35 b,,doll_5.76 b,,,,chong-hua cheng;,yageo corporation,taiwan,,,,,doll_9.17 b,,doll_785.0 m,,,,;
11966,49978,148787,yamaha motor,japan,,,,,doll_8.22 b,,,,,,;,yamaha corporation,japan,,,,,doll_8.29 b,,doll_272.0 m,,,,;
12167,138786,149466,yonghui superstores,china,,,,,doll_5.61 m,,,,,,;,yonghui superstores,china,,,,,doll_6.04 b,,doll_-574.0 m,,,,;
12267,148217,149905,yealink network technology,china,,,,,doll_11.81 b,,doll_235.0 m,,,,;,yangzhou yangjie electronic technology,china,,,,,doll_5.13 b,,doll_112.0 m,,,,;
12745,151021,151021,yixintang pharmaceutical group,china,,,,,doll_3.59 b,,doll_134.0 m,,,,;,yixintang pharmaceutical group,china,,,,,doll_3.59 b,,doll_134.0 m,,,,;
13115,7698,152254,yellow banana food company,,,,1998.0,,,,,hospitality,,,;,yangtze optical fibre and cable joint stock company,china,,,,,doll_2.53 b,,0.0,,,,;
13394,150261,153043,yangling metron new material inc.,china,,,,,doll_4.49 b,,doll_112.0 m,,,,;,yantai zhenghai magnetic material,china,,,,,doll_2.06 b,,0.0,,,,;
13767,140340,154180,yifan pharmaceutical,china,,,,,doll_2.81 m,,,,,,;,yipinhong pharmaceutical,china,,,,,doll_1.57 b,,0.0,,,,;
13829,163012,154183,yulon finance corporation,taiwan,,,,,doll_2.46 m,,170 million usd,['financial services'],,,;,yulon motor company,taiwan,,,,,doll_1.57 b,,doll_156.0 m,,,,;
13928,164966,154294,ytl corporation berhad,malaysia,,,,,doll_1.52 m,,-82 million usd,['utilities'],,,;,ytl corporation berhad,malaysia,,,,,doll_1.52 b,,doll_-82.0 m,,,,;
14755,144643,156008,yunnan wenshan electric power,china,,,,,doll_0.5 m,,,,,,;,yunnan tourism,china,,,,,doll_1.12 b,,0.0,,,,;
15544,52532,177489,ytl corporation berhad,malaysia,,,,,doll_1.36 b,,,,,,;,ytl power international berhad,malaysia,,,not found,,,not found,,['utilities'],,,not found;
15609,151021,178074,yixintang pharmaceutical group,china,,,,,doll_3.59 b,,doll_134.0 m,,,,;,yixin group,china,,,not found,,,508 million usd,,['financial services'],,,not found;
