name,country,sector,revenue_2020_EU,revenue_2017_EU,employees_number_2020,employees_number_2017,founding_year
Dialectica,UK,Management Consulting,17078846,3688264,260,65,2015
Wolf & Badger,UK,Ecommerce,11604670,2508842,62,32,2009
Eco CO2,France,Support Services,9220216,1982251,94,28,2009
Lakógép Kft.,Hungary,Construction,25335854,6328462,20,3,2011
Beyer Betonwaren,Germany,Construction,2062749,443694,20,9,2017
Fill Up Média,France,Media,4999802,1081079,42,12,2011
Zara Imballaggi Fabriano,Italy,Industrial Goods,2297210,496790,6,4,1984
CD Projekt,Poland,Games industry,468257487,110835763,1177,744,1994
VPACE Bikes,Germany,Retail,2643580,573145,10,1,2015
Tooltester,Spain,Sales & Marketing,3646507,790712,6,0,2014
Bunker Partner,Estonia,Energy,101726265,22060642,7,2,2015
Tikamoon,France,Ecommerce,56122322,12200275,130,40,2006
S.T.A.R. Digital,Croatia,Advertising,3211868,699907,8,10,2013
Funding Options,UK,Fintech,5922043,1297717,62,29,2011
Isimed,Italy,Health,4828920,1050660,14,8,2014
"Sonar, SonarQube, SonarCloud, SonarLint",Switzerland,Technology,83632640,16861349,195,50,2008
Scherer,Germany,Support Services,4285766,934994,30,4,2016
Mycroclean Italia,Italy,Support Services,3366730,736000,24,14,2002
Piscor,Italy,Ecommerce,4842410,1061360,16,8,2015
Marwincar,Italy,Automobiles,5083140,1114200,3,1,2016
Brighton & Hove Albion Football Club,UK,Travel & Leisure,148505285,32824451,1038,288,1993
INPE Transport,Bulgaria,Transport,1816274,398676,60,5,2015
RTB House,Poland,Technology,191601076,45981552,773,266,2013
Obiz,France,Media,15377000,3389300,38,27,2010
VmWay,Italy,Technology,15901220,3525720,70,33,2012
Legimi,Poland,Media,7007093,1698358,12,8,2009
MSG Beauty,Germany,Retail,2910737,645633,11,5,2011
Leogra Trading,Germany,Retail,5078464,1128243,11,4,2014
Benefind,Italy,Technology,2262490,505520,32,10,2012
AB Oil & Gas Service,Italy,Support Services,2310000,516640,13,5,2017
Mailtrack,Spain,Technology,3445698,775341,23,14,2013
Bumper,UK,Fintech,3394214,771504,33,15,2013
OTL - Online Trainer,Germany,Health,6607564,1492190,46,22,2015
Macingo Technologies,Italy,Support Services,1601000,361790,17,9,2014
MYCS,Germany,Retail,39355846,8935361,210,120,2014
Audience Serv,Germany,Advertising,6107018,1389534,92,23,2008
Start,Italy,Telecoms,3769100,857590,8,4,2012
MvH Media,The Netherlands,Sales & Marketing,2391654,544943,29,8,2010
PURE GAMING,France,Ecommerce,6984956,1593667,2,1,2010
Parcel Compare,UK,Transport,9085936,2091995,8,4,1998
Ames Centro Polidiagnostico Strumentale,Italy,Health,40391360,9235130,81,71,1979
Arcadia Italia,Italy,Energy,3249140,743130,6,1,2016
Zia Lucia,UK,Restaurants,4853930,1119494,43,16,2016
Travaglini Costruzioni,Italy,Construction,4603740,1062010,37,16,1952
Versa Design Zycle,Spain,Technology,9501888,2199640,81,10,2008
MAUCHER CONSULT,Germany,Construction,1952000,452091,15,5,2016
Ayes,Italy,Technology,10827070,2510930,137,51,2015
BrandUp Group,Italy,Advertising,2718640,630660,5,1,2016
Opyn,Italy,Financial Services,4168220,969930,19,11,2012
VAR Capital,UK,Financial Services,2132001,499815,8,4,2014
StoryTerrace,UK,Technology,2843048,667467,25,9,2017
Blubit,Slovenia,Technology,2964852,691140,22,8,2009
ZEN’UP,France,Insurance,1891361,441271,9,9,2014
Lörcher Bauunternehmen,Germany,Construction,3932792,917735,25,17,2001
Barcode Architects,The Netherlands,Architecture,4851997,1134256,62,23,2010
TOP CHALEUR,France,Retail,7260096,1702165,27,9,2002
Seingim,Italy,Construction,13479380,3163540,160,52,1999
Amphibian Scaffolding,UK,Construction,4011415,948813,49,21,2008
Beliani,Liechtenstein,Ecommerce,93438770,20298288,551,205,2009
Hatstore,Sweden,Ecommerce,17453187,4195789,45,17,2011
Carpenteria Martino,Italy,Construction,9719750,2286000,27,19,2006
CapitalOnTap,UK,Fintech,82238372,19489369,147,61,2012
Netguru,Poland,Technology,34677235,8933769,637,199,2008
Fazio,Italy,Retail,3375810,799170,7,6,2014
Grillfürst,Germany,Retail,38599408,9145411,84,37,2010
Dealernet,Italy,Automobiles,22704300,5394020,18,14,2017
Alpha Real Estate,Germany,Property,119161137,28378990,57,14,2013
Appwise,Belgium,Technology,4546110,1084812,74,12,2013
Convert Group,Greece,Technology,2789489,666118,55,17,2014
Revolution Race,Sweden,Ecommerce,89332521,21841341,65,17,2013
GONG Galaxy,France,Retail,11320706,2708258,40,11,2009
GDR Costruzioni,Italy,Construction,1573480,376440,8,8,2011
Emporio Elettrico,Italy,Ecommerce,1979050,473640,4,1,2015
Exscientia AI,UK,Technology,10807048,2606296,87,15,2012
Featurespace,UK,Fintech,23501473,5688822,324,128,2005
XL ENERGIES,France,Energy,8358760,2013403,11,3,2016
Claveria,Spain,Support Services,4715363,1137450,43,20,2015
Timberagents,Germany,Retail,5302985,1280989,4,3,2010
fermeture econ’home,France,Construction,1862632,451196,30,2,2012
NRSE,Sweden,Management Consulting,3268813,815449,70,20,2014
SIMWERT,Germany,Telecoms,26386701,6450759,21,16,2011
Flex Legal,UK,Law,4319146,1064498,24,2,2015
Documaster,Norway,Technology,3328791,868552,41,15,2010
Immo-Team Allgäu,Germany,Construction,21974565,5381108,4,1,2014
creditshelf,Germany,Financial Services,4899200,1201900,57,17,2014
Blife,Italy,Food & Beverage,4133980,1016480,10,7,2016
Nohup,Italy,Technology,4785480,1177860,18,9,2004
Noctuai,Poland,Technology,2443117,657377,56,17,2012
Ares,Germany,Industrial Goods,14000000,3450000,96,47,2013
Moonpig Group,UK,Ecommerce,411390748,102139979,399,242,2000
Wealth Club,UK,Financial Services,6774867,1685348,22,15,2016
FACTORY,France,Property,12609000,3119000,25,4,2016
Beck Ingredients,Spain,Health,7532293,1865319,6,2,2016
Mentors & Partners Group,Hungary,Management Consulting,1822227,524552,3,3,2010
SB Supply,The Netherlands,Ecommerce,4363977,1081844,9,4,2011
Mediaboard,Czech Republic,Media,2243594,572798,24,8,2015
DW TRANS,France,Transport,9485173,2357096,80,20,2012
NACELEXPERT,France,Industrial Goods,2727392,679247,4,2,2006
keylight,Germany,Technology,3499555,871779,31,14,2015
Technacy,Italy,Technology,3059440,762200,13,3,2011
Genoskin,France,Chemicals & Pharmaceuticals,2810120,700823,25,12,2011
Payment Assist,UK,Fintech,5993895,1518678,21,12,2013
my Boo,Germany,Retail,4706000,1184000,65,14,2013
84codes.com,Sweden,Technology,12120207,3118698,25,11,2012
KLG LIQUIDA,Germany,Chemicals & Pharmaceuticals,5034595,1267224,20,6,2013
Ignimission,France,Technology,2280542,574323,35,8,2011
Adamant BioNRG,Italy,Energy,117997000,29718000,7,4,2013
Xplort,UK,Interiors,2252358,571513,5,2,2015
Bambridge Accountants,UK,Financial Services,3368822,855283,12,7,2010
G2Park,Slovakia,Property,2902148,732924,13,7,2016
Pelizzari Studio,Italy,Architecture,2625660,663100,5,2,2014
Postex,The Netherlands,Technology,5248908,1334213,9,4,2014
Consorzio Stabile Ambientemilia,Italy,Waste management & recycling,9752760,2492730,5,5,2013
Yocabe’,Italy,Ecommerce,3293860,842600,12,6,2016
Chez Nestor,France,Property,8559263,2189720,33,19,2012
Mint Italia,Italy,Transport,2415110,621500,9,2,2016
Sendcloud,The Netherlands,Ecommerce,81775452,21052232,233,27,2012
Datakey Software Engineering,Italy,Technology,1898000,488940,10,6,2008
Metaminds,Romania,Cyber Security,32103084,8605113,41,21,2015
Time Vision,Italy,Education,2793340,721090,29,11,2012
Werksräder24,Germany,Automobiles,14896000,3847000,36,16,2013
FOD Mobility Group,UK,Technology,13309945,3465675,70,35,2008
Selferg,Italy,Energy,2050130,531960,60,10,2007
Poppri Fashion Auctions,Lithuania,Ecommerce,13028856,3386414,94,45,2012
Vizion Network,UK,Automobiles,117817156,30862156,194,156,2008
Beyond Law Group*,UK,Law,8233616,2159010,66,27,2017
EDA Warehousing,Germany,Transport,4570000,1190000,14,13,2014
BPV,Germany,Telecoms,22704275,5923571,90,45,2013
Ultra Premium Direct,France,Agricultural Commodities,20779890,5422583,81,29,2013
AFR-IX telecom,Spain,Telecoms,9933867,2593649,24,12,2013
Blue energy,Poland,Cyber Security,4527970,1293181,44,28,2010
C’JUSTE PARIS,France,Retail,2404398,628388,15,5,2013
SOS-accessoire,France,Ecommerce,14690408,3848262,44,13,2007
Hannes König,Germany,Construction,8750671,2295632,27,18,2017
ZANATTA media group,Germany,Advertising,8383859,2202906,9,6,2007
Wastepack,UK,Waste management & recycling,22373295,5924389,20,18,1997
Radar Consulting Italia,Italy,Support Services,1580450,416960,17,7,2010
Agriconomie,France,Agricultural Commodities,37248117,9838779,53,32,2014
AnyTech365,Spain,Technology,18743704,4985758,364,187,2014
Cladspray Solutions,UK,Construction,1863819,499484,12,4,2013
iM Global Partner,France,Financial Services,31463692,8392541,50,10,2015
Confinvest,Italy,Precious metals,41130000,10982110,6,2,1983
Ethic Technology,France,Technology,8340824,2229273,3,2,2012
Bomax,Italy,Telecoms,71290680,19088830,7,6,2001
KK-Trade,Germany,Retail,4383254,1174770,15,4,2017
Marsapet,Germany,Retail,3960200,1061642,26,4,2015
Gruppo Tera,Italy,Ecommerce,20222750,5428300,16,8,2015
CodicePlastico,Italy,Technology,3068430,824450,14,7,2009
Tremend,Romania,Technology,20679155,5772716,426,185,2005
Doofinder,Spain,Technology,6590434,1771758,61,17,2010
Hostinger,Lithuania,Technology,25860664,6955394,780,80,2004
Catalyx,Switzerland,Sales & Marketing,6540543,1627160,39,9,2013
Harness Code,Bulgaria,Sales & Marketing,2223308,599612,9,6,2016
Nanoprom Chemicals,Italy,Chemicals & Pharmaceuticals,2779910,749940,17,5,2014
Elite,Spain,Construction,10060550,2716240,49,27,2012
AppUnite,Poland,Technology,4424063,1310532,119,26,2012
Eskalia et Nakupenda,France,Retail,1515414,410775,7,2,2006
LGX Logistics,Germany,Transport,8070059,2191733,12,3,2006
Polipop,Portugal,Industrial Goods,3351671,910392,22,11,2015
StampaSi,Italy,Ecommerce,2543820,691110,10,1,2016
CAM,Italy,Industrial Goods,12280490,3336600,67,45,1984
Plug In Digital,France,Media,13767602,3743740,37,12,2012
Predica,Poland,Technology,17589082,5233937,241,82,2009
Ocean Transport,Spain,Transport,4783846,1304073,19,2,2009
Serinus,UK,Energy,19651446,5474802,75,103,1997
DEMV Deutscher Maklerverbund,Germany,Financial Services,5012841,1375943,50,20,2009
STI Norland,Spain,Energy,199822150,54990779,221,53,1996
HD Elektrotechnik,Germany,Technology,4207672,1158042,76,27,2011
Engenie Group,Italy,Technology,2025040,558480,9,1,2017
Groupe N.A.T,France,Support Services,4180122,1156596,64,25,2016
La Sarraz Pictures,Italy,Media,1513710,419430,5,2,2015
