07-silvestri-market_value_jan_2020,03-gren-market_capitalization_2022,07-silvestri-revenue_2022,07-silvestri-market_value_jan_2022,04-iGMM-market_value__jan_1st_2020,04-iGMM-market_value__jan_07_2022,08-slytherin-revenue,02-GioPonSpiz-marketvalue,02-GioPonSpiz-marketcap,07-silvestri-market_value_jan_2021
doll_93.28 m,doll_438.84 b,doll_70.765 m,doll_1.43 b,doll_3.2 b,doll_4.39 b,doll_285.270 m,doll_2.55 b,doll_2.83 b,doll_99.87 m
doll_1.54 b,doll_431.93 b,doll_31.677 m,doll_1.41 b,doll_2.75 b,doll_4.32 b,doll_93.770 m,doll_2.53 b,doll_2.44 b,doll_1.58 b
doll_1.09 b,doll_411.02 b,doll_68.616 m,doll_1.39 b,doll_2.4 b,doll_4.11 b,doll_121.640 m,doll_2.49 b,doll_2.62 b,doll_1.14 b
doll_1.45 b,doll_409.48 b,doll_184.630 m,doll_1.38 b,doll_2.38 b,doll_4.09 b,doll_89.110 m,doll_2.48 b,doll_2.61 b,doll_1.14 b
doll_1.52 b,doll_402.49 b,doll_57.793 m,doll_1.37 b,doll_3.18 b,doll_4.02 b,doll_24.100 m,doll_2.48 b,doll_2.47 b,doll_1.57 b
doll_1.11 b,doll_401.91 b,doll_250.120 m,doll_1.34 b,doll_3.37 b,doll_4.02 b,doll_87.995 m,doll_2.43 b,doll_3.16 b,doll_99.86 m
doll_1.61 b,doll_393.82 b,doll_63.644 m,doll_1.33 b,doll_3.08 b,doll_3.94 b,doll_81.288 m,doll_5.45 b,doll_6.09 b,doll_1.05 b
doll_1.27 b,doll_382.35 b,doll_43.171 m,doll_1.26 b,doll_1.91 b,doll_3.82 b,doll_18.880 m,doll_4.94 b,doll_4.78 b,doll_1.2 b
doll_1.04 b,doll_372.72 b,doll_18.200 m,doll_1.23 b,doll_3.12 b,doll_3.73 b,doll_124.140 m,doll_4.72 b,doll_5.03 b,doll_91.73 m
doll_1.15 b,doll_363.2 b,doll_63.495 m,doll_1.17 b,doll_3.04 b,doll_3.63 b,doll_15.929 m,doll_4.58 b,doll_4.56 b,doll_93.79 m
doll_1.17 b,doll_356.15 b,doll_44.655 m,doll_1.1 b,doll_2.8 b,doll_3.56 b,doll_66.757 m,doll_4.39 b,doll_4.44 b,doll_91.77 m
doll_1.63 b,doll_351.9 b,doll_54.304 m,doll_1.09 b,doll_5.92 b,doll_3.52 b,doll_20.509 m,doll_4.32 b,doll_3.93 b,doll_1.37 b
doll_93.96 m,doll_312.75 b,doll_168.300 m,doll_1.08 b,doll_2.15 b,doll_3.13 b,doll_92.575 m,doll_4.11 b,doll_3.45 b,doll_69.57 m
