07-silvestri-market_value_jan_2020,03-gren-market_capitalization_2022,07-silvestri-revenue_2022,07-silvestri-market_value_jan_2022,04-iGMM-market_value__jan_1st_2020,04-iGMM-market_value__jan_07_2022,08-slytherin-revenue,02-GioPonSpiz-marketvalue,02-GioPonSpiz-marketcap,07-silvestri-market_value_jan_2021
,doll_9.42 b,,,doll_3.58 m,doll_9.42 m,doll_4.288 m,doll_9.42 m,doll_8.56 m,
,doll_9.42 b,,,doll_4.01 m,doll_9.39 m,doll_18.347 m,doll_9.42 m,doll_7.37 m,
,doll_9.39 b,,,doll_12.79 m,doll_9.38 m,doll_7.447 m,doll_9.39 m,doll_8.16 m,
,doll_9.38 b,,,doll_10.23 m,doll_9.38 m,doll_4.071 m,doll_9.38 m,doll_11.14 m,
,doll_9.38 b,,,doll_9.36 m,doll_9.38 m,doll_2.949 m,doll_9.38 m,doll_9.75 m,
,doll_9.38 b,,,doll_6.05 m,doll_9.37 m,doll_1.159 m,doll_9.38 m,doll_9.68 m,
,doll_9.37 b,,,doll_7.51 m,doll_9.36 m,515 million usd,doll_9.37 m,doll_8.16 m,
,doll_9.36 b,,,doll_3.76 m,doll_9.36 m,doll_3.475 m,doll_9.36 m,doll_10.33 m,
,doll_9.36 b,,,doll_14.83 m,doll_9.35 m,177 million usd,doll_9.36 m,doll_8.91 m,
,doll_9.35 b,,,doll_10.11 m,doll_9.34 m,doll_1.316 m,doll_9.35 m,doll_10.58 m,
,doll_9.34 b,,,doll_8.8 m,doll_9.34 m,doll_12.095 m,doll_9.34 m,doll_11.03 m,
,doll_9.34 b,,,doll_2.91 m,doll_9.34 m,doll_1.281 m,doll_9.34 m,doll_9.89 m,
,doll_9.34 b,,,doll_10.89 m,doll_9.34 m,doll_1.819 m,doll_9.34 m,doll_9.8 m,
,doll_9.34 b,,,doll_7.38 m,doll_9.33 m,doll_5.654 m,doll_9.34 m,doll_8.88 m,
,doll_9.33 b,,,doll_6.97 m,doll_9.33 m,doll_22.353 m,doll_9.33 m,doll_11.56 m,
,doll_9.33 b,,,doll_9.35 m,doll_9.32 m,782 million usd,doll_9.33 m,doll_10.05 m,
,doll_9.32 b,,,doll_5.8 m,doll_9.3 m,doll_2.755 m,doll_9.32 m,doll_9.14 m,
,doll_9.3 b,,,doll_1.01 m,doll_9.3 m,doll_3.092 m,doll_9.3 m,doll_8.59 m,
,doll_9.3 b,,,doll_6.4 m,doll_9.29 m,doll_8.230 m,doll_9.3 m,doll_6.36 m,
,doll_9.29 b,,,doll_4.82 m,doll_9.28 m,647 million usd,doll_9.29 m,doll_9.23 m,
,doll_9.28 b,,,doll_12.52 m,doll_9.26 m,235 million usd,doll_9.28 m,doll_11.57 m,
,doll_9.26 b,,,doll_6.98 m,doll_9.26 m,doll_34.477 m,doll_9.26 m,doll_9.56 m,
,doll_9.26 b,,,doll_11.64 m,doll_9.24 m,doll_11.914 m,doll_9.26 m,doll_8.71 m,
,doll_9.24 b,,,doll_7.63 m,doll_9.24 m,doll_3.150 m,doll_9.24 m,doll_9.39 m,
,doll_9.24 b,,,0,doll_9.23 m,0 million usd,doll_9.24 m,doll_7.73 m,
,doll_9.23 b,,,doll_8.37 m,doll_9.22 m,doll_11.778 m,doll_9.23 m,doll_6.15 m,
,doll_9.22 b,,,doll_6.94 m,doll_9.21 m,doll_1.338 m,doll_9.22 m,doll_8.21 m,
,doll_9.21 b,,,doll_7.05 m,doll_9.21 m,244 million usd,doll_9.21 m,doll_11.27 m,
,doll_9.21 b,,,doll_10.44 m,doll_9.21 m,509 million usd,doll_9.21 m,doll_8.4 m,
,doll_9.21 b,,,doll_1.06 m,doll_9.2 m,doll_2.853 m,doll_9.21 m,doll_6.94 m,
,doll_9.2 b,,,doll_8.36 m,doll_9.2 m,doll_1.833 m,doll_9.2 m,doll_10.37 m,
,doll_9.2 b,,,doll_9.32 m,doll_9.19 m,doll_1.856 m,doll_9.2 m,doll_9.09 m,
,doll_9.19 b,,,0,doll_9.18 m,486 million usd,doll_9.19 m,doll_9.29 m,
,doll_9.18 b,,,doll_7.92 m,doll_9.17 m,491 million usd,doll_9.18 m,doll_18.75 m,
,doll_9.17 b,,,doll_6.12 m,doll_9.17 m,doll_7.021 m,doll_9.17 m,doll_10.47 m,
,doll_9.17 b,,,0,doll_9.16 m,doll_3.653 m,doll_9.17 m,doll_8.66 m,
,doll_9.16 b,,,0,doll_9.13 m,doll_3.864 m,doll_9.16 m,doll_13.68 m,
,doll_9.13 b,,,0,doll_9.13 m,644 million usd,doll_9.13 m,doll_12.79 m,
,doll_9.13 b,,,doll_4.09 m,doll_9.12 m,845 million usd,doll_9.13 m,doll_8.9 m,
,doll_9.12 b,,,doll_11.21 m,doll_9.12 m,doll_1.545 m,doll_9.12 m,doll_10.71 m,
,doll_9.12 b,,,0,doll_9.11 m,doll_2.437 m,doll_9.12 m,doll_9.95 m,
,doll_9.11 b,,,doll_12.67 m,doll_9.11 m,doll_32.010 m,doll_9.11 m,doll_9.38 m,
,doll_9.11 b,,,doll_5.09 m,doll_9.11 m,doll_6.571 m,doll_9.11 m,doll_9.16 m,
,doll_9.11 b,,,doll_6.52 m,doll_9.1 m,doll_2.429 m,doll_9.11 m,doll_4.74 m,
,doll_9.1 b,,,doll_7.08 m,doll_9.1 m,doll_11.138 m,doll_9.1 m,doll_10.42 m,
,doll_9.1 b,,,doll_2.84 m,doll_9.09 m,383 million usd,doll_9.1 m,doll_8.68 m,
,doll_9.09 b,,,doll_5.85 m,doll_9.09 m,609 million usd,doll_9.09 m,doll_11.19 m,
,doll_9.09 b,,,doll_3.43 m,doll_9.09 m,doll_22.831 m,doll_9.09 m,doll_10.38 m,
,doll_9.09 b,,,doll_11.96 m,doll_9.09 m,doll_2.764 m,doll_9.09 m,doll_10.09 m,
,doll_9.09 b,,,doll_6.24 m,doll_9.08 m,doll_4.509 m,doll_9.09 m,doll_8.74 m,
,doll_9.08 b,,,0,doll_9.08 m,doll_3.895 m,doll_9.08 m,doll_9.99 m,
,doll_9.08 b,,,doll_1.0 m,doll_9.06 m,724 million usd,doll_9.08 m,doll_9.3 m,
,doll_9.06 b,,,0,doll_9.06 m,doll_2.157 m,doll_9.06 m,doll_9.63 m,
,doll_9.06 b,,,doll_6.79 m,doll_9.05 m,doll_9.184 m,doll_9.06 m,doll_18.04 m,
,doll_9.05 b,,,doll_7.62 m,doll_9.04 m,doll_10.187 m,doll_9.05 m,doll_9.42 m,
,doll_9.04 b,,,doll_8.08 m,doll_9.04 m,doll_12.917 m,doll_9.04 m,doll_12.63 m,
,doll_9.04 b,,,doll_7.12 m,0,doll_79.271 m,doll_9.04 m,doll_10.01 m,
,0.0,,,0,doll_9.04 m,doll_3.299 m,doll_0.002037 t,doll_0.002037 t,
,doll_9.04 b,,,doll_5.68 m,doll_9.04 m,268 million usd,doll_9.04 m,doll_8.11 m,
,doll_9.04 b,,,doll_7.05 m,doll_9.03 m,900 million usd,doll_9.04 m,doll_8.0 m,
,doll_9.03 b,,,0,doll_9.01 m,doll_8.498 m,doll_9.03 m,doll_10.13 m,
,doll_9.01 b,,,doll_2.17 m,doll_9.01 m,doll_14.692 m,doll_9.01 m,doll_17.46 m,
,doll_9.01 b,,,doll_7.97 m,doll_9.01 m,731 million usd,doll_9.01 m,doll_10.13 m,
,doll_9.01 b,,,doll_5.97 m,doll_9.0 m,doll_2.933 m,doll_9.01 m,doll_9.53 m,
,doll_9.0 b,,,doll_5.91 m,doll_9.0 m,522 million usd,doll_9.0 m,doll_9.99 m,
,doll_9.0 b,,,doll_2.65 m,doll_8.97 m,doll_4.195 m,doll_9.0 m,doll_9.54 m,
,doll_8.97 b,,,doll_8.37 m,doll_8.96 m,doll_2.769 m,doll_8.97 m,doll_8.05 m,
,doll_8.96 b,,,doll_3.82 m,doll_8.96 m,343 million usd,doll_8.96 m,doll_9.84 m,
,doll_8.96 b,,,doll_6.76 m,doll_8.96 m,doll_14.348 m,doll_8.96 m,doll_9.65 m,
,doll_8.96 b,,,doll_12.88 m,doll_8.95 m,667 million usd,doll_8.96 m,doll_9.19 m,
,doll_8.95 b,,,doll_7.62 m,doll_8.95 m,373 million usd,doll_8.95 m,doll_11.19 m,
,doll_8.95 b,,,0,doll_8.95 m,doll_25.316 m,doll_8.95 m,doll_8.26 m,
,doll_8.95 b,,,0,doll_8.93 m,doll_1.425 m,doll_8.95 m,doll_6.8 m,
,doll_8.93 b,,,doll_7.29 m,doll_8.93 m,doll_16.667 m,doll_8.93 m,doll_17.08 m,
,doll_8.93 b,,,doll_6.69 m,doll_8.93 m,doll_1.975 m,doll_8.93 m,doll_12.89 m,
,doll_8.93 b,,,doll_3.1 m,doll_8.93 m,doll_5.077 m,doll_8.93 m,doll_8.18 m,
,0.0,,,doll_7.08 m,doll_8.91 m,doll_1.685 m,doll_0.002055 t,doll_0.003527 t,
,doll_8.93 b,,,doll_6.89 m,doll_8.92 m,doll_2.844 m,doll_8.93 m,doll_7.74 m,
,doll_8.91 b,,,0,doll_8.91 m,doll_1.213 m,doll_8.91 m,doll_8.93 m,
,doll_8.92 b,,,0,doll_8.91 m,193 million usd,doll_8.92 m,doll_8.68 m,
,doll_8.91 b,,,doll_8.3 m,doll_8.9 m,0 million usd,doll_8.91 m,doll_11.38 m,
,doll_8.91 b,,,doll_6.38 m,doll_8.9 m,849 million usd,doll_8.91 m,doll_6.96 m,
,doll_8.9 b,,,doll_7.55 m,doll_8.89 m,396 million usd,doll_8.9 m,doll_7.63 m,
,doll_8.9 b,,,doll_6.2 m,doll_8.89 m,doll_1.048 m,doll_8.9 m,doll_7.44 m,
,doll_8.89 b,,,0,doll_8.88 m,doll_2.562 m,doll_8.89 m,doll_9.86 m,
,doll_8.89 b,,,0,doll_8.88 m,doll_5.551 m,doll_8.89 m,doll_9.42 m,
,doll_8.88 b,,,doll_5.1 m,doll_8.86 m,doll_2.271 m,doll_8.88 m,doll_9.47 m,
,doll_8.88 b,,,doll_9.15 m,doll_8.86 m,743 million usd,doll_8.88 m,doll_7.49 m,
,doll_8.86 b,,,doll_9.88 m,doll_8.86 m,not found,doll_8.86 m,doll_10.32 m,
,doll_8.86 b,,,doll_7.96 m,0,55 million usd,doll_8.86 m,doll_9.85 m,
,doll_8.86 b,,,0,0,doll_7.393 m,doll_8.86 m,doll_9.07 m,
,0.0,,,0,0,691 million usd,doll_0.002069 t,doll_7.74 m,
,0.0,,,0,0,not found,doll_0.002069 t,doll_0.002069 t,
,0.0,,,0,0,not found,doll_0.002069 t,doll_0.002069 t,
,0.0,,,0,0,not found,doll_0.002069 t,doll_0.002069 t,
,0.0,,,0,0,not found,doll_0.002069 t,doll_0.002069 t,
,0.0,,,0,0,not found,doll_0.002069 t,doll_0.002069 t,
,0.0,,,doll_5.88 m,doll_8.85 m,doll_3.140 m,doll_0.002069 t,doll_0.002069 t,
,0.0,,,doll_4.51 m,doll_8.84 m,663 million usd,doll_0.002069 t,doll_0.002069 t,
,doll_8.85 b,,,doll_12.01 m,doll_8.84 m,687 million usd,doll_8.85 m,doll_8.75 m,
,doll_8.84 b,,,doll_9.82 m,doll_8.83 m,doll_4.925 m,doll_8.84 m,doll_11.25 m,
,doll_8.84 b,,,doll_5.43 m,doll_8.83 m,405 million usd,doll_8.84 m,doll_9.89 m,
,doll_8.83 b,,,doll_4.92 m,doll_8.83 m,doll_4.941 m,doll_8.83 m,doll_8.86 m,
,doll_8.83 b,,,doll_5.09 m,doll_8.82 m,doll_1.918 m,doll_8.83 m,doll_8.11 m,
,doll_8.83 b,,,doll_8.54 m,doll_8.82 m,doll_1.597 m,doll_8.83 m,doll_7.88 m,
,doll_8.82 b,,,0,doll_8.82 m,doll_1.281 m,doll_8.82 m,doll_10.33 m,
,doll_8.82 b,,,doll_1.51 m,doll_8.82 m,doll_1.073 m,doll_8.82 m,doll_9.13 m,
,doll_8.82 b,,,doll_13.91 m,doll_8.81 m,doll_5.571 m,doll_8.82 m,doll_8.35 m,
,doll_8.82 b,,,doll_7.42 m,doll_8.8 m,doll_2.073 m,doll_8.82 m,doll_7.67 m,
,doll_8.81 b,,,doll_6.96 m,0,not found,doll_8.81 m,doll_8.6 m,
,doll_8.8 b,,,doll_12.39 m,doll_8.81 m,doll_1.502 m,doll_8.8 m,doll_8.44 m,
,0.0,,,doll_6.68 m,doll_8.8 m,398 million usd,doll_0.002081 t,doll_0.002081 t,
,doll_8.81 b,,,doll_8.65 m,doll_8.8 m,doll_18.119 m,doll_8.81 m,doll_7.52 m,
,doll_8.8 b,,,0,doll_8.79 m,doll_31.850 m,doll_8.8 m,doll_10.88 m,
,doll_8.8 b,,,doll_9.39 m,doll_8.79 m,853 million usd,doll_8.8 m,doll_10.38 m,
,doll_8.79 b,,,doll_8.98 m,doll_8.79 m,doll_1.894 m,doll_8.79 m,doll_10.06 m,
,doll_8.79 b,,,doll_2.15 m,doll_8.78 m,doll_4.998 m,doll_8.79 m,doll_8.84 m,
,doll_8.79 b,,,doll_7.06 m,doll_8.78 m,doll_2.188 m,doll_8.79 m,doll_8.79 m,
,doll_8.78 b,,,doll_14.52 m,doll_8.77 m,doll_18.212 m,doll_8.78 m,doll_6.67 m,
,doll_8.78 b,,,doll_5.9 m,doll_8.76 m,doll_1.213 m,doll_8.78 m,doll_6.65 m,
,doll_8.77 b,,,doll_9.28 m,doll_8.76 m,doll_35.211 m,doll_8.77 m,doll_8.67 m,
,doll_8.76 b,,,doll_8.91 m,doll_8.76 m,doll_1.589 m,doll_8.76 m,doll_11.38 m,
,doll_8.76 b,,,doll_1.75 m,doll_8.75 m,doll_1.699 m,doll_8.76 m,doll_10.08 m,
,doll_8.76 b,,,doll_1.87 m,doll_8.74 m,doll_1.446 m,doll_8.76 m,doll_8.87 m,
,doll_8.75 b,,,doll_6.73 m,doll_8.72 m,doll_5.683 m,doll_8.75 m,doll_16.97 m,
,doll_8.74 b,,,doll_7.35 m,doll_8.73 m,2308 million usd annual revenue for year ending dec-2020,doll_8.74 m,doll_8.38 m,
,doll_8.72 b,,,doll_6.0 m,doll_8.72 m,doll_1.183 m,doll_8.72 m,doll_9.79 m,
,doll_8.73 b,,,doll_7.75 m,doll_8.72 m,doll_8.880 m,doll_8.73 m,doll_7.03 m,
,doll_8.72 b,,,doll_3.58 m,doll_8.72 m,doll_6.218 m,doll_8.72 m,doll_9.88 m,
,doll_8.72 b,,,doll_5.5 m,doll_8.71 m,doll_4.578 m,doll_8.72 m,doll_8.89 m,
,doll_8.72 b,,,doll_9.5 m,doll_8.7 m,doll_3.438 m,doll_8.72 m,doll_8.26 m,
,doll_8.71 b,,,doll_8.65 m,doll_8.69 m,doll_4.276 m,doll_8.71 m,doll_8.77 m,
,doll_8.7 b,,,doll_8.86 m,doll_8.69 m,doll_1.241 m,doll_8.7 m,doll_7.9 m,
,doll_8.69 b,,,doll_7.76 m,doll_8.67 m,doll_9.570 m,doll_8.69 m,doll_9.04 m,
,doll_8.69 b,,,doll_4.68 m,doll_8.66 m,doll_1.460 m,doll_8.69 m,doll_8.6 m,
,doll_8.67 b,,,doll_11.04 m,doll_8.66 m,doll_2.006 m,doll_8.67 m,doll_9.13 m,
,doll_8.66 b,,,doll_7.54 m,doll_8.65 m,doll_2.811 m,doll_8.66 m,doll_9.81 m,
,doll_8.66 b,,,doll_4.5 m,doll_8.65 m,doll_6.744 m,doll_8.66 m,doll_7.96 m,
,doll_8.65 b,,,doll_6.12 m,doll_8.64 m,doll_2.180 m,doll_8.65 m,doll_8.74 m,
,doll_8.65 b,,,doll_7.64 m,doll_8.63 m,doll_5.646 m,doll_8.65 m,doll_7.32 m,
,doll_8.64 b,,,doll_6.77 m,doll_8.63 m,doll_4.930 m,doll_8.64 m,doll_7.27 m,
,doll_8.63 b,,,doll_4.7 m,doll_8.63 m,doll_3.064 m,doll_8.63 m,doll_10.15 m,
,doll_8.63 b,,,doll_2.59 m,doll_8.62 m,doll_1.371 m,doll_8.63 m,doll_9.63 m,
,doll_8.63 b,,,doll_8.01 m,doll_8.62 m,doll_3.712 m,doll_8.63 m,doll_8.78 m,
,doll_8.62 b,,,0,doll_8.62 m,doll_13.088 m,doll_8.62 m,doll_10.36 m,
,doll_8.62 b,,,doll_9.25 m,doll_8.62 m,549 million usd,doll_8.62 m,doll_9.02 m,
,doll_8.62 b,,,doll_2.83 m,doll_8.62 m,doll_1.619 m,doll_8.62 m,doll_8.97 m,
,doll_8.62 b,,,doll_7.61 m,doll_8.61 m,doll_6.635 m,doll_8.62 m,doll_8.81 m,
,doll_8.62 b,,,0,doll_8.61 m,doll_13.349 m,doll_8.62 m,doll_6.93 m,
,doll_8.61 b,,,doll_6.71 m,doll_8.61 m,674 million usd,doll_8.61 m,doll_9.67 m,
,doll_8.61 b,,,doll_6.56 m,doll_8.61 m,doll_5.265 m,doll_8.61 m,doll_9.05 m,
,doll_8.61 b,,,doll_6.2 m,doll_8.6 m,941 million usd,doll_8.61 m,doll_8.39 m,
,doll_8.61 b,,,doll_9.15 m,doll_8.6 m,doll_8.910 m,doll_8.61 m,doll_8.24 m,
,doll_8.6 b,,,doll_3.51 m,doll_8.59 m,doll_5.587 m,doll_8.6 m,doll_8.5 m,
,doll_8.6 b,,,doll_13.12 m,doll_8.59 m,doll_28.168 m,doll_8.6 m,doll_8.45 m,
,doll_8.59 b,,,doll_2.74 m,doll_8.59 m,603 million usd,doll_8.59 m,doll_9.19 m,
,doll_8.59 b,,,doll_1.74 m,doll_8.59 m,doll_2.765 m,doll_8.59 m,doll_9.05 m,
,doll_8.59 b,,,0,doll_8.58 m,doll_20.810 m,doll_8.59 m,doll_8.0 m,
,doll_8.59 b,,,doll_8.51 m,doll_8.57 m,doll_11.736 m,doll_8.59 m,doll_5.34 m,
,doll_8.58 b,,,doll_5.82 m,doll_8.58 m,409 million usd,doll_8.58 m,doll_9.33 m,
,doll_8.57 b,,,doll_2.61 m,doll_8.57 m,doll_3.186 m,doll_8.57 m,doll_9.26 m,
,doll_8.58 b,,,doll_5.24 m,doll_8.57 m,doll_5.608 m,doll_8.58 m,doll_6.64 m,
,doll_8.57 b,,,doll_2.99 m,doll_8.57 m,648 million usd,doll_8.57 m,doll_7.5 m,
,doll_8.57 b,,,doll_6.2 m,doll_8.56 m,doll_1.069 m,doll_8.57 m,doll_7.3 m,
,doll_8.57 b,,,doll_11.28 m,doll_8.51 m,doll_8.028 m,doll_8.57 m,doll_7.19 m,
,doll_8.56 b,,,doll_6.5 m,doll_8.51 m,doll_2.501 m,doll_8.56 m,doll_6.65 m,
,doll_8.51 b,,,doll_10.39 m,doll_8.49 m,doll_9.221 m,doll_8.51 m,doll_9.92 m,
,doll_8.51 b,,,doll_6.03 m,doll_8.47 m,doll_1.507 m,doll_8.51 m,doll_7.75 m,
,doll_8.49 b,,,0,doll_8.48 m,doll_2.165 m,doll_8.49 m,doll_9.0 m,
,doll_8.47 b,,,doll_12.89 m,doll_8.46 m,doll_5.080 m,doll_8.47 m,doll_9.15 m,
,doll_8.48 b,,,doll_27.99 m,doll_8.46 m,doll_2.846 m,doll_8.48 m,doll_7.9 m,
,doll_8.46 b,,,doll_5.18 m,doll_8.46 m,doll_8.008 m,doll_8.46 m,doll_11.53 m,
,doll_8.46 b,,,doll_4.26 m,doll_8.46 m,462 million usd,doll_8.46 m,doll_9.06 m,
,doll_8.46 b,,,doll_2.68 m,doll_8.46 m,doll_4.788 m,doll_8.46 m,doll_8.96 m,
,doll_8.46 b,,,doll_11.24 m,doll_8.45 m,doll_5.303 m,doll_8.46 m,doll_8.91 m,
,doll_8.46 b,,,doll_2.81 m,doll_8.44 m,doll_3.958 m,doll_8.46 m,doll_5.69 m,
,doll_8.45 b,,,doll_7.18 m,doll_8.44 m,doll_1.799 m,doll_8.45 m,doll_11.94 m,
,doll_8.44 b,,,doll_4.73 m,doll_8.44 m,306 million usd,doll_8.44 m,doll_8.58 m,
,doll_8.44 b,,,doll_10.37 m,doll_8.43 m,doll_16.265 m,doll_8.44 m,doll_8.47 m,
,doll_8.44 b,,,doll_7.79 m,doll_8.43 m,doll_11.582 m,doll_8.44 m,doll_8.41 m,
,doll_8.43 b,,,doll_9.21 m,doll_8.42 m,517 million usd,doll_8.43 m,doll_9.2 m,
,doll_8.43 b,,,doll_6.92 m,doll_8.42 m,511 million usd,doll_8.43 m,doll_9.15 m,
,doll_8.42 b,,,0,doll_8.41 m,696 million usd,doll_8.42 m,doll_8.36 m,
,doll_8.42 b,,,doll_9.65 m,doll_8.41 m,726 million usd,doll_8.42 m,doll_8.17 m,
,doll_8.41 b,,,doll_5.99 m,doll_8.41 m,doll_23.086 m,doll_8.41 m,doll_15.56 m,
,doll_8.41 b,,,doll_13.92 m,doll_8.4 m,doll_1.208 m,doll_8.41 m,doll_9.25 m,
,doll_8.41 b,,,doll_4.34 m,doll_8.39 m,doll_3.788 m,doll_8.41 m,doll_7.31 m,
,doll_8.4 b,,,doll_5.15 m,doll_8.38 m,doll_3.022 m,doll_8.4 m,doll_9.28 m,
,doll_8.39 b,,,0,doll_8.38 m,doll_1.731 m,doll_8.39 m,doll_9.64 m,
,doll_8.38 b,,,doll_7.86 m,doll_8.36 m,549 million usd,doll_8.38 m,doll_10.12 m,
,doll_8.38 b,,,0,doll_8.36 m,doll_2.254 m,doll_8.38 m,0,
,doll_8.36 b,,,doll_7.34 m,doll_8.36 m,doll_7.339 m,doll_8.36 m,doll_8.55 m,
,doll_8.36 b,,,doll_3.48 m,doll_8.34 m,702 million usd,doll_8.36 m,doll_7.95 m,
,doll_8.36 b,,,doll_2.87 m,doll_8.33 m,doll_1.444 m,doll_8.36 m,doll_7.18 m,
,doll_8.34 b,,,doll_2.29 m,doll_8.33 m,doll_3.089 m,doll_8.34 m,doll_7.16 m,
,doll_8.33 b,,,doll_7.47 m,doll_8.32 m,740 million usd,doll_8.33 m,doll_9.41 m,
,doll_8.33 b,,,doll_4.06 m,doll_8.32 m,doll_25.554 m,doll_8.33 m,doll_9.37 m,
,doll_8.32 b,,,doll_3.49 m,doll_8.32 m,doll_2.979 m,doll_8.32 m,doll_7.36 m,
,doll_8.32 b,,,doll_8.32 m,doll_8.31 m,doll_10.343 m,doll_8.32 m,doll_7.22 m,
,doll_8.32 b,,,doll_7.58 m,doll_8.31 m,767 million usd,doll_8.32 m,doll_6.62 m,
,doll_8.31 b,,,doll_2.52 m,doll_8.3 m,doll_16.678 m,doll_8.31 m,doll_9.24 m,
,doll_8.31 b,,,doll_15.66 m,doll_8.29 m,doll_1.780 m,doll_8.31 m,doll_7.12 m,
,doll_8.3 b,,,doll_9.95 m,doll_8.29 m,doll_27.293 m,doll_8.3 m,doll_10.05 m,
,doll_8.29 b,,,doll_9.81 m,doll_8.28 m,doll_2.714 m,doll_8.29 m,doll_12.75 m,
,doll_8.29 b,,,doll_8.76 m,doll_8.28 m,doll_8.557 m,doll_8.29 m,doll_10.87 m,
,doll_8.28 b,,,doll_8.9 m,doll_8.28 m,955 million usd,doll_8.28 m,doll_9.57 m,
,doll_8.28 b,,,doll_6.87 m,doll_8.27 m,0 million usd,doll_8.28 m,doll_8.45 m,
,doll_8.28 b,,,doll_8.35 m,doll_8.26 m,doll_10.427 m,doll_8.28 m,doll_7.69 m,
,doll_8.27 b,,,doll_8.72 m,doll_8.26 m,doll_2.552 m,doll_8.27 m,doll_9.62 m,
,doll_8.26 b,,,doll_6.76 m,doll_8.25 m,doll_3.094 m,doll_8.26 m,doll_8.08 m,
,doll_8.26 b,,,doll_5.95 m,doll_8.25 m,doll_7.294 m,doll_8.26 m,doll_7.58 m,
,doll_8.25 b,,,doll_7.11 m,doll_8.25 m,doll_2.935 m,doll_8.25 m,doll_12.53 m,
,doll_8.25 b,,,doll_6.34 m,doll_8.24 m,doll_3.234 m,doll_8.25 m,doll_8.29 m,
,doll_8.25 b,,,doll_4.64 m,doll_8.24 m,doll_1.565 m,doll_8.25 m,doll_7.0 m,
,doll_8.24 b,,,doll_5.24 m,doll_8.24 m,doll_5.504 m,doll_8.24 m,doll_9.0 m,
,doll_8.24 b,,,doll_5.96 m,doll_8.24 m,900 million usd,doll_8.24 m,doll_7.78 m,
,doll_8.24 b,,,doll_5.42 m,doll_8.24 m,doll_1.269 m,doll_8.24 m,doll_7.68 m,
,doll_8.24 b,,,0,doll_8.23 m,doll_6.718 m,doll_8.24 m,doll_6.8 m,
,doll_8.24 b,,,doll_9.02 m,doll_8.23 m,407 million usd,doll_8.24 m,doll_6.08 m,
,doll_8.23 b,,,doll_3.62 m,doll_8.22 m,doll_6.304 m,doll_8.23 m,doll_9.3 m,
,doll_8.23 b,,,doll_6.42 m,doll_8.22 m,doll_2.703 m,doll_8.23 m,doll_9.12 m,
,doll_8.22 b,,,doll_8.41 m,doll_8.22 m,doll_2.662 m,doll_8.22 m,doll_3.7 m,
,doll_8.22 b,,,doll_6.27 m,doll_8.21 m,doll_24.124 m,doll_8.22 m,doll_9.07 m,
,doll_8.22 b,,,doll_8.49 m,doll_8.21 m,doll_5.304 m,doll_8.22 m,doll_7.49 m,
,doll_8.21 b,,,doll_4.24 m,doll_8.21 m,doll_3.107 m,doll_8.21 m,doll_8.57 m,
,doll_8.21 b,,,doll_1.76 m,doll_8.21 m,doll_14.025 m,doll_8.21 m,doll_8.5 m,
,doll_8.21 b,,,0,doll_8.2 m,doll_17.556 m,doll_8.21 m,doll_7.02 m,
,doll_8.21 b,,,doll_4.31 m,doll_8.2 m,doll_8.605 m,doll_8.21 m,doll_6.66 m,
,doll_8.2 b,,,doll_7.4 m,doll_8.19 m,doll_2.272 m,doll_8.2 m,doll_8.84 m,
,doll_8.2 b,,,doll_2.09 m,doll_8.19 m,doll_12.806 m,doll_8.2 m,doll_8.56 m,
,doll_8.19 b,,,doll_6.94 m,doll_8.19 m,doll_3.182 m,doll_8.19 m,doll_10.07 m,
,doll_8.19 b,,,doll_8.59 m,doll_8.18 m,330 million usd,doll_8.19 m,doll_7.57 m,
,doll_8.19 b,,,doll_7.25 m,doll_8.18 m,doll_3.029 m,doll_8.19 m,doll_7.32 m,
,doll_8.18 b,,,doll_8.89 m,doll_8.17 m,0 million usd,doll_8.18 m,doll_9.53 m,
,doll_8.18 b,,,0,0,    ,doll_8.18 m,doll_8.05 m,
,doll_8.17 b,,,doll_3.9 m,doll_8.17 m,doll_1.610 m,doll_8.17 m,doll_9.32 m,
,0.0,,,doll_5.07 m,doll_8.16 m,996 million usd,doll_0.002205 t,doll_0.002205 t,
,doll_8.17 b,,,doll_7.78 m,doll_8.16 m,doll_2.563 m,doll_8.17 m,doll_8.27 m,
,doll_8.16 b,,,doll_6.47 m,0,doll_11.532 m,doll_8.16 m,doll_10.01 m,
,doll_8.16 b,,,doll_6.24 m,doll_8.16 m,doll_3.227 m,doll_8.16 m,doll_8.49 m,
,0.0,,,doll_4.16 m,doll_8.16 m,not found,doll_0.002209 t,doll_0.002209 t,
,doll_8.16 b,,,doll_7.27 m,doll_8.14 m,3 million usd,doll_8.16 m,doll_6.88 m,
,doll_8.16 b,,,doll_7.71 m,doll_8.14 m,doll_2.415 m,doll_8.16 m,doll_5.56 m,
,doll_8.14 b,,,doll_13.15 m,doll_8.12 m,doll_1.140 m,doll_8.14 m,doll_8.89 m,
,doll_8.14 b,,,doll_6.49 m,doll_8.13 m,doll_12.420 m,doll_8.14 m,doll_7.31 m,
,doll_8.12 b,,,doll_4.94 m,doll_8.13 m,822 million usd,doll_8.12 m,doll_9.6 m,
,doll_8.13 b,,,doll_2.21 m,doll_8.13 m,doll_1.643 m,doll_8.13 m,doll_7.97 m,
,doll_8.13 b,,,doll_4.97 m,doll_8.12 m,not found,doll_8.13 m,doll_7.38 m,
,doll_8.13 b,,,doll_2.33 m,doll_8.12 m,not found,doll_8.13 m,doll_5.73 m,
