00-avengers-annual_net_income_in_usd,04-iGMM-annual_net_income_in_usd,03-gren-annual_revenue_usd,00-avengers-annual_revenue_in_usd,04-iGMM-annual_revenue_in_usd
,179 million usd,doll_822.0 m,,"1,497 million usd"
doll_-1.296 m,393 million usd,doll_3.4 b,doll_5.148 m,"12,467 million usd"
-63 million usd,,doll_1.5 b,doll_1.211 m,
doll_4.630 m,"4,630 million usd",doll_12.47 b,doll_1.638 m,"1,638 million usd"
,-63 million usd,0.0,,"1,211 million usd"
393 million usd,"-1,296 million usd",doll_1.64 b,doll_12.467 m,"5,148 million usd"
179 million usd,,doll_1.21 b,doll_1.497 m,
334 million usd,6 million usd,doll_5.15 b,doll_3.403 m,"1,580 million usd"
120 million usd,135 million usd,0.0,822 million usd,331 million usd
6 million usd,439 million usd,doll_1.58 b,doll_1.580 m,"5,754 million usd"
573 million usd,449 million usd,doll_331.0 m,doll_23.193 m,184 million usd
584 million usd,108 million usd,doll_5.75 b,doll_10.832 m,"2,592 million usd"
607 million usd,-268 million usd,doll_184.0 m,doll_2.922 m,"24,475 million usd"
doll_1.155 m,"1,155 million usd",doll_2.59 b,0 million usd,0 million usd
-268 million usd,607 million usd,doll_24.48 b,doll_24.475 m,"2,922 million usd"
108 million usd,584 million usd,0.0,doll_2.592 m,"10,832 million usd"
449 million usd,573 million usd,doll_2.92 b,184 million usd,"23,193 million usd"
439 million usd,193 million usd,doll_10.83 b,doll_5.754 m,"6,115 million usd"
135 million usd,"2,126 million usd",doll_23.19 b,331 million usd,"4,230 million usd"
193 million usd,648 million usd,doll_6.12 b,doll_6.115 m,"13,690 million usd"
-186 million usd,,doll_4.23 b,doll_1.227 m,
300 million usd,758 million usd,doll_13.69 b,675 million usd,"16,253 million usd"
418 million usd,749 million usd,0.0,doll_5.905 m,912 million usd
doll_2.039 m,"2,039 million usd",doll_16.25 b,doll_48.792 m,"48,792 million usd"
749 million usd,418 million usd,doll_912.0 m,912 million usd,"5,905 million usd"
758 million usd,300 million usd,doll_48.79 b,doll_16.253 m,675 million usd
,-186 million usd,doll_5.91 b,,"1,227 million usd"
648 million usd,69 million usd,doll_675.0 m,doll_13.690 m,482 million usd
doll_2.126 m,497 million usd,doll_1.23 b,doll_4.230 m,"6,882 million usd"
69 million usd,914 million usd,doll_482.0 m,482 million usd,"19,485 million usd"
648 million usd,129 million usd,doll_6.88 b,doll_15.653 m,"1,048 million usd"
81 million usd,315 million usd,doll_19.48 b,doll_3.945 m,"2,045 million usd"
doll_2.102 m,878 million usd,doll_1.05 b,doll_31.851 m,"2,584 million usd"
271 million usd,271 million usd,doll_2.04 b,476 million usd,476 million usd
878 million usd,"2,102 million usd",doll_2.58 b,doll_2.584 m,"31,851 million usd"
315 million usd,81 million usd,doll_476.0 m,doll_2.045 m,"3,945 million usd"
129 million usd,648 million usd,doll_31.85 b,doll_1.048 m,"15,653 million usd"
914 million usd,6 million usd,doll_3.94 b,doll_19.485 m,"1,791 million usd"
497 million usd,293 million usd,doll_15.65 b,doll_6.882 m,"1,685 million usd"
6 million usd,164 million usd,doll_1.79 b,doll_1.791 m,"29,487 million usd"
doll_1.183 m,"3,349 million usd",doll_1.69 b,doll_20.178 m,"20,162 million usd"
-171 million usd,78 million usd,doll_29.49 b,550 million usd,"2,194 million usd"
doll_-9.756 m,618 million usd,doll_20.16 b,doll_5.210 m,"3,803 million usd"
618 million usd,"-9,756 million usd",doll_1.83 b,doll_3.803 m,"5,210 million usd"
78 million usd,-171 million usd,doll_2.19 b,doll_2.194 m,550 million usd
doll_3.349 m,"1,183 million usd",doll_3.8 b,doll_20.162 m,"20,178 million usd"
389 million usd,64 million usd,doll_5.21 b,doll_1.831 m,"6,415 million usd"
164 million usd,283 million usd,doll_550.0 m,doll_29.487 m,"1,518 million usd"
293 million usd,-61 million usd,doll_20.18 b,doll_1.685 m,"1,663 million usd"
64 million usd,51 million usd,doll_6.42 b,doll_6.415 m,525 million usd
doll_-1.214 m,301 million usd,doll_1.52 b,991 million usd,"2,927 million usd"
799 million usd,622 million usd,doll_1.66 b,doll_33.876 m,"4,029 million usd"
508 million usd,247 million usd,doll_525.0 m,doll_11.551 m,"2,718 million usd"
247 million usd,508 million usd,doll_2.93 b,doll_2.718 m,"11,551 million usd"
622 million usd,799 million usd,doll_4.03 b,doll_4.029 m,"33,876 million usd"
301 million usd,"-1,214 million usd",doll_2.72 b,doll_2.927 m,991 million usd
51 million usd,41 million usd,doll_11.55 b,525 million usd,"1,949 million usd"
-61 million usd,329 million usd,doll_33.88 b,doll_1.663 m,"5,276 million usd"
283 million usd,88 million usd,doll_991.0 m,doll_1.518 m,"6,879 million usd"
41 million usd,,doll_1.95 b,doll_1.949 m,
185 million usd,-314 million usd,doll_5.28 b,doll_4.769 m,"19,739 million usd"
833 million usd,155 million usd,doll_6.88 b,doll_8.790 m,"2,730 million usd"
240 million usd,"1,336 million usd",0.0,doll_6.147 m,"13,928 million usd"
doll_1.336 m,240 million usd,doll_19.74 b,doll_13.928 m,"6,147 million usd"
155 million usd,833 million usd,doll_2.73 b,doll_2.730 m,"8,790 million usd"
-314 million usd,185 million usd,doll_13.93 b,doll_19.739 m,"4,769 million usd"
,824 million usd,doll_6.15 b,,"4,783 million usd"
88 million usd,"1,430 million usd",doll_8.79 b,doll_6.879 m,"25,292 million usd"
329 million usd,201 million usd,doll_4.77 b,doll_5.276 m,666 million usd
824 million usd,"1,017 million usd",doll_4.78 b,doll_4.783 m,858 million usd
428 million usd,59 million usd,doll_25.29 b,doll_2.257 m,"2,081 million usd"
-218 million usd,-267 million usd,doll_666.0 m,174 million usd,33 million usd
795 million usd,"1,046 million usd",doll_858.0 m,doll_4.255 m,"25,694 million usd"
doll_1.046 m,795 million usd,doll_2.08 b,doll_25.694 m,"4,255 million usd"
-267 million usd,-218 million usd,doll_33.0 m,33 million usd,174 million usd
59 million usd,428 million usd,doll_25.69 b,doll_2.081 m,"2,257 million usd"
doll_1.017 m,617 million usd,doll_4.25 b,858 million usd,"16,658 million usd"
201 million usd,192 million usd,doll_174.0 m,666 million usd,562 million usd
doll_1.430 m,274 million usd,doll_2.26 b,doll_25.292 m,"5,278 million usd"
617 million usd,305 million usd,doll_16.66 b,doll_16.658 m,"3,388 million usd"
116 million usd,"1,534 million usd",doll_562.0 m,773 million usd,"8,590 million usd"
505 million usd,181 million usd,doll_5.28 b,doll_3.704 m,"6,324 million usd"
doll_1.024 m,676 million usd,doll_3.39 b,800 million usd,"1,936 million usd"
676 million usd,"1,024 million usd",doll_8.59 b,doll_1.936 m,800 million usd
181 million usd,505 million usd,doll_6.32 b,doll_6.324 m,"3,704 million usd"
doll_1.534 m,116 million usd,doll_1.94 b,doll_8.590 m,773 million usd
305 million usd,600 million usd,doll_800.0 m,doll_3.388 m,"9,381 million usd"
274 million usd,189 million usd,doll_3.7 b,doll_5.278 m,983 million usd
192 million usd,871 million usd,doll_773.0 m,562 million usd,"6,711 million usd"
600 million usd,"1,104 million usd",doll_9.38 b,doll_9.381 m,740 million usd
241 million usd,903 million usd,doll_983.0 m,doll_1.731 m,"5,457 million usd"
229 million usd,631 million usd,doll_6.71 b,doll_1.335 m,152 million usd
doll_1.045 m,475 million usd,doll_740.0 m,doll_8.453 m,"1,263 million usd"
475 million usd,"1,045 million usd",doll_5.46 b,doll_1.263 m,"8,453 million usd"
631 million usd,229 million usd,doll_152.0 m,152 million usd,"1,335 million usd"
903 million usd,241 million usd,doll_1.26 b,doll_5.457 m,"1,731 million usd"
doll_1.104 m,150 million usd,doll_8.45 b,740 million usd,"1,145 million usd"
871 million usd,"-1,098 million usd",doll_1.33 b,doll_6.711 m,"6,593 million usd"
189 million usd,511 million usd,doll_1.73 b,983 million usd,515 million usd
150 million usd,118 million usd,doll_1.15 b,doll_1.145 m,695 million usd
544 million usd,272 million usd,doll_6.59 b,doll_9.524 m,"2,488 million usd"
87 million usd,342 million usd,doll_515.0 m,396 million usd,"2,208 million usd"
237 million usd,135 million usd,doll_695.0 m,524 million usd,"3,249 million usd"
135 million usd,237 million usd,doll_2.49 b,doll_3.249 m,524 million usd
342 million usd,87 million usd,doll_2.21 b,doll_2.208 m,396 million usd
272 million usd,544 million usd,doll_3.25 b,doll_2.488 m,"9,524 million usd"
118 million usd,319 million usd,doll_524.0 m,695 million usd,"2,387 million usd"
511 million usd,593 million usd,doll_396.0 m,515 million usd,"5,846 million usd"
doll_-1.098 m,196 million usd,doll_9.52 b,doll_6.593 m,"2,040 million usd"
319 million usd,134 million usd,doll_2.39 b,doll_2.387 m,705 million usd
780 million usd,72 million usd,doll_5.85 b,doll_1.354 m,870 million usd
904 million usd,508 million usd,doll_2.04 b,doll_2.890 m,547 million usd
698 million usd,-631 million usd,doll_705.0 m,doll_3.243 m,"1,663 million usd"
-631 million usd,698 million usd,doll_870.0 m,doll_1.663 m,"3,243 million usd"
508 million usd,904 million usd,doll_547.0 m,547 million usd,"2,890 million usd"
72 million usd,780 million usd,doll_1.66 b,870 million usd,"1,354 million usd"
134 million usd,314 million usd,doll_3.24 b,705 million usd,"10,524 million usd"
196 million usd,118 million usd,doll_2.89 b,doll_2.040 m,173 million usd
593 million usd,-40 million usd,doll_1.35 b,doll_5.846 m,"5,308 million usd"
314 million usd,428 million usd,doll_10.52 b,doll_10.524 m,"6,642 million usd"
270 million usd,727 million usd,doll_173.0 m,doll_1.152 m,"1,983 million usd"
70 million usd,613 million usd,doll_5.31 b,doll_1.755 m,"1,767 million usd"
268 million usd,805 million usd,doll_6.64 b,doll_2.139 m,"5,070 million usd"
805 million usd,268 million usd,doll_1.98 b,doll_5.070 m,"2,139 million usd"
613 million usd,70 million usd,doll_1.77 b,doll_1.767 m,"1,755 million usd"
727 million usd,270 million usd,doll_5.07 b,doll_1.983 m,"1,152 million usd"
428 million usd,255 million usd,doll_2.14 b,doll_6.642 m,"2,293 million usd"
-40 million usd,817 million usd,doll_1.75 b,doll_5.308 m,"12,271 million usd"
118 million usd,166 million usd,doll_1.15 b,173 million usd,"3,316 million usd"
255 million usd,-345 million usd,doll_2.29 b,doll_2.293 m,"1,006 million usd"
94 million usd,293 million usd,doll_12.27 b,399 million usd,"4,708 million usd"
270 million usd,"1,945 million usd",doll_3.32 b,doll_8.449 m,"13,146 million usd"
714 million usd,103 million usd,doll_1.01 b,doll_1.911 m,"1,778 million usd"
103 million usd,714 million usd,doll_4.71 b,doll_1.778 m,"1,911 million usd"
doll_1.945 m,270 million usd,doll_13.15 b,doll_13.146 m,"8,449 million usd"
293 million usd,94 million usd,doll_1.78 b,doll_4.708 m,399 million usd
-345 million usd,42 million usd,doll_1.91 b,doll_1.006 m,587 million usd
166 million usd,198 million usd,doll_8.45 b,doll_3.316 m,"1,712 million usd"
817 million usd,312 million usd,doll_399.0 m,doll_12.271 m,"2,787 million usd"
42 million usd,163 million usd,doll_587.0 m,587 million usd,"2,615 million usd"
340 million usd,155 million usd,doll_1.71 b,doll_10.957 m,"1,458 million usd"
781 million usd,"1,049 million usd",doll_2.79 b,doll_13.903 m,"2,398 million usd"
437 million usd,437 million usd,doll_2.62 b,doll_2.269 m,"2,269 million usd"
324 million usd,324 million usd,doll_1.46 b,789 million usd,789 million usd
155 million usd,781 million usd,doll_2.4 b,doll_1.458 m,"13,903 million usd"
doll_1.049 m,340 million usd,doll_2.27 b,doll_2.398 m,"10,957 million usd"
163 million usd,560 million usd,doll_789.0 m,doll_2.615 m,"1,406 million usd"
312 million usd,,doll_13.9 b,doll_2.787 m,
198 million usd,,doll_10.96 b,doll_1.712 m,
560 million usd,,doll_1.41 b,doll_1.406 m,"1,910 million usd"
514 million usd,,0.0,doll_6.021 m,
657 million usd,-532 million usd,0.0,doll_8.120 m,"1,110 million usd"
doll_1.787 m,,doll_1.91 b,doll_17.738 m,
,"1,787 million usd",0.0,,"17,738 million usd"
-532 million usd,657 million usd,doll_1.11 b,doll_1.110 m,"8,120 million usd"
,514 million usd,0.0,,"6,021 million usd"
,440 million usd,doll_17.74 b,doll_1.910 m,885 million usd
,"2,117 million usd",doll_8.12 b,,720 million usd
,,doll_6.02 b,,"3,410 million usd"
440 million usd,189 million usd,doll_885.0 m,885 million usd,"18,664 million usd"
800 million usd,242 million usd,doll_720.0 m,doll_13.957 m,"2,669 million usd"
963 million usd,"2,103 million usd",doll_3.41 b,doll_3.500 m,"12,711 million usd"
doll_3.572 m,362 million usd,doll_18.66 b,doll_3.773 m,"13,978 million usd"
362 million usd,963 million usd,doll_2.67 b,doll_13.978 m,"3,500 million usd"
doll_2.103 m,800 million usd,doll_12.71 b,doll_12.711 m,"13,957 million usd"
242 million usd,125 million usd,doll_13.98 b,doll_2.669 m,831 million usd
189 million usd,391 million usd,doll_3.77 b,doll_18.664 m,"3,562 million usd"
,-493 million usd,doll_3.5 b,doll_3.410 m,670 million usd
doll_2.117 m,258 million usd,doll_13.96 b,720 million usd,"4,157 million usd"
125 million usd,227 million usd,doll_831.0 m,831 million usd,499 million usd
249 million usd,-19 million usd,doll_3.56 b,272 million usd,428 million usd
438 million usd,306 million usd,doll_670.0 m,doll_7.080 m,"3,461 million usd"
355 million usd,355 million usd,doll_4.16 b,doll_10.424 m,"10,424 million usd"
306 million usd,438 million usd,doll_499.0 m,doll_3.461 m,"7,080 million usd"
-19 million usd,249 million usd,doll_428.0 m,428 million usd,272 million usd
227 million usd,108 million usd,doll_3.46 b,499 million usd,"19,279 million usd"
258 million usd,737 million usd,doll_10.42 b,doll_4.157 m,"3,653 million usd"
-493 million usd,134 million usd,doll_7.08 b,670 million usd,"2,809 million usd"
391 million usd,330 million usd,doll_272.0 m,doll_3.562 m,"8,529 million usd"
108 million usd,416 million usd,doll_19.28 b,doll_19.279 m,"1,062 million usd"
567 million usd,313 million usd,doll_3.65 b,doll_14.370 m,"2,926 million usd"
839 million usd,122 million usd,doll_2.81 b,doll_16.139 m,811 million usd
184 million usd,184 million usd,doll_8.53 b,553 million usd,553 million usd
122 million usd,839 million usd,doll_1.06 b,811 million usd,"16,139 million usd"
313 million usd,567 million usd,doll_2.93 b,doll_2.926 m,"14,370 million usd"
416 million usd,"1,061 million usd",doll_811.0 m,doll_1.062 m,"4,663 million usd"
330 million usd,952 million usd,doll_553.0 m,doll_8.529 m,"9,154 million usd"
134 million usd,197 million usd,doll_16.14 b,doll_2.809 m,"1,224 million usd"
737 million usd,-71 million usd,doll_14.37 b,doll_3.653 m,237 million usd
doll_1.061 m,211 million usd,doll_4.66 b,doll_4.663 m,"1,734 million usd"
253 million usd,283 million usd,doll_9.15 b,doll_2.288 m,"2,079 million usd"
645 million usd,388 million usd,doll_1.22 b,doll_24.871 m,804 million usd
doll_1.051 m,"1,051 million usd",doll_237.0 m,588 million usd,588 million usd
388 million usd,645 million usd,doll_1.73 b,804 million usd,"24,871 million usd"
283 million usd,253 million usd,doll_2.08 b,doll_2.079 m,"2,288 million usd"
211 million usd,-418 million usd,doll_804.0 m,doll_1.734 m,701 million usd
-71 million usd,338 million usd,doll_588.0 m,237 million usd,"2,467 million usd"
197 million usd,"2,977 million usd",doll_24.87 b,doll_1.224 m,"22,485 million usd"
952 million usd,179 million usd,doll_2.29 b,doll_9.154 m,363 million usd
-418 million usd,585 million usd,doll_701.0 m,701 million usd,"3,499 million usd"
771 million usd,-40 million usd,doll_2.47 b,doll_7.067 m,572 million usd
725 million usd,215 million usd,doll_22.48 b,doll_2.313 m,618 million usd
263 million usd,263 million usd,doll_363.0 m,doll_4.416 m,"4,416 million usd"
215 million usd,725 million usd,doll_3.5 b,618 million usd,"2,313 million usd"
-40 million usd,771 million usd,doll_572.0 m,572 million usd,"7,067 million usd"
585 million usd,94 million usd,doll_618.0 m,doll_3.499 m,440 million usd
179 million usd,"1,373 million usd",doll_4.42 b,363 million usd,"25,844 million usd"
doll_2.977 m,156 million usd,doll_2.31 b,doll_22.485 m,"2,412 million usd"
338 million usd,981 million usd,doll_7.07 b,doll_2.467 m,"4,161 million usd"
94 million usd,332 million usd,doll_440.0 m,440 million usd,"3,306 million usd"
410 million usd,956 million usd,doll_25.84 b,doll_2.734 m,"1,945 million usd"
155 million usd,274 million usd,doll_2.41 b,doll_2.866 m,"1,496 million usd"
-83 million usd,-83 million usd,doll_4.16 b,doll_1.069 m,"1,069 million usd"
274 million usd,155 million usd,doll_3.31 b,doll_1.496 m,"2,866 million usd"
956 million usd,410 million usd,doll_1.95 b,doll_1.945 m,"2,734 million usd"
332 million usd,206 million usd,doll_1.5 b,doll_3.306 m,"1,004 million usd"
981 million usd,-74 million usd,doll_1.07 b,doll_4.161 m,245 million usd
156 million usd,-582 million usd,doll_2.87 b,doll_2.412 m,72 million usd
doll_1.373 m,"4,955 million usd",doll_2.73 b,doll_25.844 m,"6,411 million usd"
206 million usd,389 million usd,doll_1.0 b,doll_1.004 m,"3,221 million usd"
319 million usd,49 million usd,doll_245.0 m,99 million usd,"3,890 million usd"
933 million usd,990 million usd,doll_72.0 m,doll_2.554 m,"10,090 million usd"
263 million usd,263 million usd,doll_6.41 b,doll_3.081 m,"3,081 million usd"
990 million usd,933 million usd,doll_3.22 b,doll_10.090 m,"2,554 million usd"
49 million usd,319 million usd,doll_3.89 b,doll_3.890 m,99 million usd
389 million usd,588 million usd,doll_10.09 b,doll_3.221 m,"1,352 million usd"
doll_4.955 m,52 million usd,doll_3.08 b,doll_6.411 m,738 million usd
-582 million usd,327 million usd,doll_2.55 b,72 million usd,"5,764 million usd"
-74 million usd,450 million usd,doll_99.0 m,245 million usd,"6,104 million usd"
588 million usd,301 million usd,doll_1.35 b,doll_1.352 m,953 million usd
538 million usd,302 million usd,doll_738.0 m,776 million usd,"5,329 million usd"
471 million usd,339 million usd,doll_5.76 b,378 million usd,"12,952 million usd"
622 million usd,622 million usd,doll_6.1 b,doll_2.767 m,"2,767 million usd"
339 million usd,471 million usd,doll_953.0 m,doll_12.952 m,378 million usd
302 million usd,538 million usd,doll_5.33 b,doll_5.329 m,776 million usd
301 million usd,397 million usd,doll_12.95 b,953 million usd,"2,551 million usd"
450 million usd,126 million usd,doll_2.77 b,doll_6.104 m,"7,510 million usd"
327 million usd,664 million usd,doll_378.0 m,doll_5.764 m,"2,287 million usd"
52 million usd,83 million usd,doll_776.0 m,738 million usd,295 million usd
397 million usd,"1,319 million usd",doll_2.55 b,doll_2.551 m,"2,236 million usd"
188 million usd,42 million usd,doll_7.51 b,624 million usd,774 million usd
149 million usd,965 million usd,doll_2.29 b,958 million usd,"24,318 million usd"
140 million usd,140 million usd,doll_295.0 m,doll_1.380 m,"1,380 million usd"
965 million usd,149 million usd,doll_2.24 b,doll_24.318 m,958 million usd
42 million usd,188 million usd,doll_774.0 m,774 million usd,624 million usd
doll_1.319 m,568 million usd,doll_24.32 b,doll_2.236 m,"2,766 million usd"
83 million usd,445 million usd,doll_1.38 b,295 million usd,"3,954 million usd"
664 million usd,"1,151 million usd",doll_958.0 m,doll_2.287 m,"2,609 million usd"
126 million usd,275 million usd,doll_624.0 m,doll_7.510 m,"1,166 million usd"
568 million usd,-127 million usd,doll_2.77 b,doll_2.766 m,"37,519 million usd"
234 million usd,166 million usd,doll_3.95 b,doll_1.808 m,"6,226 million usd"
112 million usd,-113 million usd,doll_2.61 b,doll_50.894 m,632 million usd
doll_3.359 m,"3,359 million usd",doll_1.17 b,doll_30.703 m,"30,703 million usd"
-113 million usd,112 million usd,doll_37.52 b,632 million usd,"50,894 million usd"
166 million usd,234 million usd,doll_6.23 b,doll_6.226 m,"1,808 million usd"
-127 million usd,304 million usd,doll_632.0 m,doll_37.519 m,"1,507 million usd"
275 million usd,115 million usd,doll_30.7 b,doll_1.166 m,"2,704 million usd"
doll_1.151 m,154 million usd,doll_50.89 b,doll_2.609 m,536 million usd
445 million usd,109 million usd,doll_1.81 b,doll_3.954 m,"1,581 million usd"
304 million usd,"1,293 million usd",doll_1.51 b,doll_1.507 m,"6,259 million usd"
487 million usd,278 million usd,doll_2.7 b,doll_4.263 m,"2,446 million usd"
340 million usd,741 million usd,doll_536.0 m,doll_2.508 m,"6,285 million usd"
205 million usd,205 million usd,doll_1.58 b,doll_1.676 m,"1,676 million usd"
741 million usd,340 million usd,doll_6.26 b,doll_6.285 m,"2,508 million usd"
278 million usd,487 million usd,doll_2.45 b,doll_2.446 m,"4,263 million usd"
doll_1.293 m,221 million usd,doll_6.29 b,doll_6.259 m,871 million usd
109 million usd,121 million usd,doll_1.68 b,doll_1.581 m,200 million usd
154 million usd,39 million usd,doll_2.51 b,536 million usd,125 million usd
115 million usd,593 million usd,doll_4.26 b,doll_2.704 m,"42,043 million usd"
221 million usd,89 million usd,doll_871.0 m,871 million usd,"1,133 million usd"
463 million usd,551 million usd,doll_200.0 m,doll_3.369 m,"3,539 million usd"
doll_1.893 m,702 million usd,doll_125.0 m,doll_10.108 m,"36,232 million usd"
219 million usd,219 million usd,doll_42.04 b,doll_2.074 m,"2,074 million usd"
702 million usd,"1,893 million usd",doll_1.13 b,doll_36.232 m,"10,108 million usd"
551 million usd,463 million usd,doll_3.54 b,doll_3.539 m,"3,369 million usd"
89 million usd,540 million usd,doll_36.23 b,doll_1.133 m,"18,210 million usd"
593 million usd,592 million usd,doll_2.07 b,doll_42.043 m,"2,419 million usd"
39 million usd,97 million usd,doll_10.11 b,125 million usd,"1,054 million usd"
121 million usd,77 million usd,doll_3.37 b,200 million usd,"1,132 million usd"
258 million usd,"1,973 million usd",doll_18.21 b,doll_3.811 m,"12,004 million usd"
-471 million usd,272 million usd,doll_2.42 b,625 million usd,"4,910 million usd"
doll_1.067 m,287 million usd,doll_1.05 b,doll_1.511 m,"8,758 million usd"
287 million usd,"1,067 million usd",doll_1.13 b,doll_8.758 m,"1,511 million usd"
272 million usd,-471 million usd,doll_12.0 b,doll_4.910 m,625 million usd
doll_1.973 m,258 million usd,doll_4.91 b,doll_12.004 m,"3,811 million usd"
77 million usd,519 million usd,doll_8.76 b,doll_1.132 m,"1,098 million usd"
97 million usd,-662 million usd,doll_1.51 b,doll_1.054 m,"8,021 million usd"
592 million usd,817 million usd,doll_625.0 m,doll_2.419 m,"14,605 million usd"
540 million usd,318 million usd,doll_3.81 b,doll_18.210 m,179 million usd
519 million usd,"1,128 million usd",doll_1.1 b,doll_1.098 m,483 million usd
337 million usd,631 million usd,doll_8.02 b,240 million usd,"4,714 million usd"
217 million usd,642 million usd,doll_14.61 b,doll_2.224 m,"1,085 million usd"
doll_1.125 m,"1,125 million usd",doll_179.0 m,doll_81.784 m,"81,784 million usd"
642 million usd,217 million usd,doll_483.0 m,doll_1.085 m,"2,224 million usd"
631 million usd,337 million usd,doll_4.71 b,doll_4.714 m,240 million usd
doll_1.128 m,208 million usd,doll_1.08 b,483 million usd,"2,245 million usd"
318 million usd,224 million usd,doll_81.78 b,179 million usd,"1,410 million usd"
817 million usd,252 million usd,doll_2.22 b,doll_14.605 m,"3,598 million usd"
-662 million usd,742 million usd,doll_240.0 m,doll_8.021 m,"3,921 million usd"
208 million usd,130 million usd,doll_2.25 b,doll_2.245 m,441 million usd
936 million usd,721 million usd,doll_1.41 b,doll_11.579 m,"14,973 million usd"
108 million usd,379 million usd,doll_3.6 b,doll_1.463 m,"2,564 million usd"
440 million usd,440 million usd,doll_3.92 b,668 million usd,668 million usd
379 million usd,108 million usd,doll_441.0 m,doll_2.564 m,"1,463 million usd"
721 million usd,936 million usd,doll_14.97 b,doll_14.973 m,"11,579 million usd"
130 million usd,837 million usd,doll_2.56 b,441 million usd,"1,165 million usd"
742 million usd,36 million usd,doll_668.0 m,doll_3.921 m,178 million usd
252 million usd,59 million usd,doll_1.46 b,doll_3.598 m,553 million usd
224 million usd,81 million usd,doll_11.58 b,doll_1.410 m,188 million usd
837 million usd,198 million usd,doll_1.17 b,doll_1.165 m,708 million usd
174 million usd,478 million usd,doll_178.0 m,265 million usd,"6,176 million usd"
,317 million usd,doll_553.0 m,,"1,658 million usd"
328 million usd,328 million usd,doll_188.0 m,doll_7.951 m,"7,951 million usd"
317 million usd,,doll_708.0 m,doll_1.658 m,
478 million usd,174 million usd,doll_6.18 b,doll_6.176 m,265 million usd
198 million usd,493 million usd,doll_1.66 b,708 million usd,"8,198 million usd"
81 million usd,-6 million usd,doll_7.95 b,188 million usd,
59 million usd,357 million usd,0.0,553 million usd,"4,539 million usd"
36 million usd,0 million usd,doll_265.0 m,178 million usd,"1,850 million usd"
493 million usd,367 million usd,doll_8.2 b,doll_8.198 m,"1,450 million usd"
71 million usd,31 million usd,0.0,doll_3.854 m,"14,777 million usd"
doll_1.153 m,205 million usd,doll_4.54 b,doll_25.421 m,"1,091 million usd"
132 million usd,132 million usd,doll_1.85 b,494 million usd,494 million usd
205 million usd,"1,153 million usd",doll_1.45 b,doll_1.091 m,"25,421 million usd"
31 million usd,71 million usd,doll_14.78 b,doll_14.777 m,"3,854 million usd"
367 million usd,637 million usd,doll_1.09 b,doll_1.450 m,"4,219 million usd"
0 million usd,576 million usd,doll_494.0 m,doll_1.850 m,"4,847 million usd"
357 million usd,180 million usd,doll_25.42 b,doll_4.539 m,456 million usd
-6 million usd,271 million usd,doll_3.85 b,,"4,627 million usd"
637 million usd,-152 million usd,doll_4.22 b,doll_4.219 m,135 million usd
,86 million usd,doll_4.85 b,,554 million usd
660 million usd,308 million usd,doll_456.0 m,doll_2.808 m,"2,583 million usd"
308 million usd,903 million usd,doll_4.63 b,doll_2.583 m,"77,103 million usd"
903 million usd,,doll_135.0 m,doll_77.103 m,
86 million usd,660 million usd,doll_554.0 m,554 million usd,"2,808 million usd"
-152 million usd,375 million usd,doll_2.58 b,135 million usd,"1,619 million usd"
271 million usd,637 million usd,doll_77.1 b,doll_4.627 m,"3,375 million usd"
180 million usd,-989 million usd,0.0,456 million usd,"9,958 million usd"
576 million usd,"1,152 million usd",doll_2.81 b,doll_4.847 m,604 million usd
375 million usd,-58 million usd,doll_1.62 b,doll_1.619 m,535 million usd
753 million usd,"1,314 million usd",doll_3.38 b,doll_6.330 m,"4,973 million usd"
doll_4.174 m,"5,187 million usd",doll_9.96 b,doll_20.275 m,"33,555 million usd"
doll_1.299 m,"1,299 million usd",doll_604.0 m,doll_14.923 m,"14,923 million usd"
doll_5.187 m,"4,174 million usd",doll_535.0 m,doll_33.555 m,"20,275 million usd"
doll_1.314 m,753 million usd,doll_4.97 b,doll_4.973 m,"6,330 million usd"
-58 million usd,134 million usd,doll_33.55 b,535 million usd,783 million usd
doll_1.152 m,946 million usd,doll_14.92 b,604 million usd,"46,904 million usd"
-989 million usd,"-1,455 million usd",doll_20.27 b,doll_9.958 m,"16,231 million usd"
637 million usd,221 million usd,doll_6.33 b,doll_3.375 m,"3,729 million usd"
134 million usd,-1 million usd,doll_783.0 m,783 million usd,6 million usd
223 million usd,-386 million usd,doll_46.9 b,609 million usd,89 million usd
,360 million usd,doll_16.23 b,,"12,821 million usd"
496 million usd,496 million usd,doll_3.73 b,doll_13.317 m,"13,317 million usd"
360 million usd,,doll_6.0 m,doll_12.821 m,
-386 million usd,223 million usd,doll_89.0 m,89 million usd,609 million usd
-1 million usd,623 million usd,doll_12.82 b,6 million usd,"4,064 million usd"
221 million usd,106 million usd,doll_13.32 b,doll_3.729 m,"2,104 million usd"
doll_-1.455 m,165 million usd,0.0,doll_16.231 m,"1,636 million usd"
946 million usd,-595 million usd,doll_609.0 m,doll_46.904 m,"6,023 million usd"
623 million usd,188 million usd,doll_4.06 b,doll_4.064 m,420 million usd
72 million usd,,doll_2.1 b,475 million usd,250 million usd
-30 million usd,754 million usd,doll_1.64 b,567 million usd,"10,121 million usd"
300 million usd,300 million usd,doll_6.02 b,doll_1.888 m,"1,888 million usd"
754 million usd,-30 million usd,doll_420.0 m,doll_10.121 m,567 million usd
