00-avengers-annual_net_income_in_usd,04-iGMM-annual_net_income_in_usd,03-gren-annual_revenue_usd,00-avengers-annual_revenue_in_usd,04-iGMM-annual_revenue_in_usd
doll_1.042 m,,doll_62.54 b,doll_4.321 m,"62,540 million usd"
doll_1.816 m,"4,907 million usd",doll_39.74 b,doll_17.931 m,"39,745 million usd"
doll_5.203 m,"1,322 million usd",doll_11.78 b,doll_65.801 m,"11,777 million usd"
doll_1.322 m,"5,203 million usd",doll_65.8 b,doll_11.777 m,"65,801 million usd"
doll_4.907 m,"1,816 million usd",doll_17.93 b,doll_39.745 m,"17,931 million usd"
,"1,042 million usd",doll_4.32 b,doll_62.540 m,"4,321 million usd"
doll_22.891 m,"2,144 million usd",doll_19.63 b,doll_97.143 m,"19,628 million usd"
doll_17.942 m,"2,648 million usd",doll_13.76 b,doll_61.787 m,"13,763 million usd"
999 million usd,"1,926 million usd",doll_40.25 b,doll_13.997 m,"40,247 million usd"
doll_12.390 m,"7,457 million usd",0.0,,0 million usd
doll_1.129 m,-487 million usd,doll_4.12 b,doll_12.733 m,"4,117 million usd"
doll_2.099 m,"12,154 million usd",doll_32.49 b,doll_10.323 m,"32,492 million usd"
doll_2.127 m,"9,870 million usd",doll_43.08 b,doll_5.425 m,"43,076 million usd"
doll_9.870 m,"2,127 million usd",doll_5.42 b,doll_43.076 m,"5,425 million usd"
doll_12.154 m,"2,099 million usd",doll_10.32 b,doll_32.492 m,"10,323 million usd"
-487 million usd,"1,129 million usd",doll_12.73 b,doll_4.117 m,"12,733 million usd"
doll_7.457 m,"12,390 million usd",0.0,0 million usd,
doll_1.926 m,999 million usd,doll_14.0 b,doll_40.247 m,"13,997 million usd"
doll_1.400 m,"1,589 million usd",doll_22.69 b,doll_5.426 m,"22,687 million usd"
doll_3.350 m,166 million usd,doll_17.66 b,doll_47.676 m,"17,661 million usd"
doll_15.648 m,"4,937 million usd",doll_10.28 b,doll_164.660 m,"10,281 million usd"
doll_8.075 m,,0.0,doll_16.071 m,
doll_3.288 m,"8,107 million usd",doll_52.66 b,doll_13.964 m,"52,662 million usd"
doll_8.107 m,"3,288 million usd",doll_13.96 b,doll_52.662 m,"13,964 million usd"
,"8,075 million usd",doll_16.07 b,,"16,071 million usd"
doll_4.937 m,"15,648 million usd",doll_164.66 b,doll_10.281 m,"164,660 million usd"
166 million usd,"3,350 million usd",doll_47.68 b,doll_17.661 m,"47,676 million usd"
doll_1.589 m,"1,400 million usd",doll_5.43 b,doll_22.687 m,"5,426 million usd"
doll_1.255 m,"3,882 million usd",doll_17.19 b,doll_12.193 m,"17,191 million usd"
doll_4.825 m,"3,321 million usd",doll_9.21 b,doll_12.743 m,"9,211 million usd"
doll_1.953 m,"7,005 million usd",doll_35.67 b,doll_3.415 m,"35,667 million usd"
doll_1.164 m,915 million usd,doll_4.71 b,doll_3.677 m,"4,706 million usd"
29 million usd,"2,222 million usd",doll_37.06 b,doll_5.138 m,"37,060 million usd"
doll_2.222 m,29 million usd,doll_5.14 b,doll_37.060 m,"5,138 million usd"
915 million usd,"1,164 million usd",doll_3.68 b,doll_4.706 m,"3,677 million usd"
doll_7.005 m,"1,953 million usd",doll_3.42 b,doll_35.667 m,"3,415 million usd"
doll_3.321 m,"4,825 million usd",doll_12.74 b,doll_9.211 m,"12,743 million usd"
doll_3.882 m,"1,255 million usd",doll_12.19 b,doll_17.191 m,"12,193 million usd"
doll_3.016 m,-42 million usd,doll_17.32 b,doll_16.911 m,"17,323 million usd"
