00-avengers-ceo,02-GioPonSpiz-ceo,03-gren-ceo,04-iGMM-ceo,07-silvestri-ceo,08-slytherin-ceo,00-avengers-headquarters_sub_region
bob chapek,william b. harrison jr.,li bao fang,li bao fang,paul hudson,michael miebach,northern america
darren woods,alfred f kelly jr,ulf mark schneider,ulf mark schneider,ivan menezes,daniel zhang,northern america
peter wennink,william c. weldon,michael miebach,michael miebach,jakob stausholm,li bao fang,western europe
albert bourla,lee kun-hee,severin schwan,severin schwan,dame emma walmsley,christoph franz,northern america
daniel zhang,andrew witty,daniel zhang,daniel zhang,michel doukeris,gerard kleisterlee,eastern asia
severin schwan,frank blake,albert bourla,albert bourla,alexey miller,suresh narayanan,western europe
michael miebach,bernard arnault,peter wennink,peter wennink,jean-pascal tricoire,jon r. moeller,northern america
ulf mark schneider,brian moynihan,darren woods,darren woods,guillaume faury,susan arnold,western europe
li bao fang,doug mcmillon,bob chapek,bob chapek,oliver bate,darren w. woods,eastern asia
shantanu narayen,jon r. moeller,akio toyoda,akio toyoda,belen garijo,henry samueli,northern america
david a. ricks,li bao fang,james quincey,james quincey,francois-henri pinault,jean paul agon,northern america
john donahoe,suresh narayanan,chuck robbins,chuck robbins,pablo isla,shantanu narayen,northern america
jean paul agon,michael miebach,hock e. tan,hock e. tan,bernard looney,james quincey,western europe
nicolas jimenez,christoph franz,bob van dijk,bob van dijk,timotheus hottges,koos bekker,eastern asia
bob van dijk,daniel zhang,nicolas jimenez,nicolas jimenez,jean-laurent bonnafe,chen siqing,western europe
hock e. tan,albert bourla,jean paul agon,jean paul agon,anders opedal,juan r. luciano,northern america
chuck robbins,gerard kleisterlee,john donahoe,john donahoe,jack bowles,chuck robbins,northern america
james quincey,darren w. woods,david a. ricks,david a. ricks,ola kallenius,takeshi uchiyamada,northern america
akio toyoda,susan arnold,shantanu narayen,shantanu narayen,francesco milleri,mark parker,eastern asia
safra a. catz,paul e. jacobs,michael wirth,michael wirth,evan g. greenberg,reed hastings,northern america
julie sweet,joerg reinhardt,ramon laguarta,ramon laguarta,nick hayek jr.,larry ellison,northern europe
w. craig jelinek,miao jianmin,robert ford,robert ford,jerome lambert,marc n. casper,northern america
richard a. gonzalez,enrique hernandez,ted sarandos reed hastings,ted sarandos,francois jackow,robert ford,northern america
marc n. casper,ying ming wu,,,herman gref,ratan n tata,northern america
,,marc n. casper,marc n. casper,bernd montag,ramon l. laguarta,southern asia
"['ted sarandos', 'reed hastings']",william r. johnson,richard a. gonzalez,richard a. gonzalez,francesco starace,pierre nanterme,northern america
robert ford,edward whitacre jr.,w. craig jelinek,w. craig jelinek,frank appel,mike wirth,northern america
ramon laguarta,james p. gorman,julie sweet,julie sweet,mats rahmstrom,hamilton e. james,northern america
michael wirth,tian guoli,safra a. catz,safra a. catz,johan forssell,richard a. gonzalez,northern america
lars fruergaard jorgensen,,lars fruergaard jorgensen,lars fruergaard jorgensen,bjorn rosengren,helge lund,northern europe
robert m. davis,,brian l. roberts,brian l. roberts,igor sechin,rainer m. blair,northern america
rainer m. blair,charles r. schwab,hans vestberg,hans vestberg,pieter van der,brian l. roberts,northern america
patrick p. gelsinger,,marc benioff,marc benioff,thomas buberl,steven black,northern america
charles w. scharf,,mukesh ambani,mukesh ambani,jose ignacio sanchez galan,kenneth c. frazier,northern america
daniel schulman,james l robo,daniel schulman,daniel schulman,bernard charles,mukesh ambani,northern america
mukesh ambani,marvin ellison,charles w. scharf,charles w. scharf,gary nagle,john j. donahoe,southern asia
marc benioff,thomas j engibous,patrick p. gelsinger,patrick p. gelsinger,,hans vestberg,northern america
hans vestberg,lance m. fritz,rainer m. blair,rainer m. blair,leonid viktorovich mikhelson,marc benioff,northern america
brian l. roberts,,robert m. davis,robert m. davis,,patrick p. gelsinger,northern america
,mike wirth,cristiano r. aman,cristiano r. aman,soren skou,ying ming wu,eastern asia
james p. gorman,ramon l. laguarta,vasant narasimhan,vasant narasimhan,mario greco,miao jianmin,northern america
john t. stankey,robert ford,huiyu tian,huiyu tian,craig arnold,william r. johnson,northern america
carol b. tome,reed hastings,chris kempczinski,chris kempczinski,ralph hamers,joerg reinhardt,northern america
rajesh gopinathan,ratan n tata,zeng yuqun,zeng yuqun,carlos tavares,enrique hernandez,southern asia
zeng yuqun,marc n. casper,rajesh gopinathan,rajesh gopinathan,benedetto vigna,tian guoli,eastern asia
chris kempczinski,richard a. gonzalez,carol b. tome,carol b. tome,laxman narasimhan,james p. gorman,northern america
huiyu tian,hamilton e. james,john t. stankey,john t. stankey,jose antonio alvarez,n. chandrasekaran,eastern asia
vasant narasimhan,pierre nanterme,james p. gorman,james p. gorman,martin lundstedt,paul e. jacobs,western europe
cristiano r. aman,larry ellison,,,xavier huillard,edward whitacre jr.,northern america
walter w bettinger ii,hasso plattner,ben van beurden,ben van beurden,alexandre ricard,ken mackenzie,northern america
pascal soriot,brian m. levitt,pascal soriot,pascal soriot,duncan wanblad,charles r. schwab,northern europe
ben van beurden,dai houliang,walter w bettinger ii,walter w bettinger ii,reinhard ploss,steve angel,western europe
mike henry,pietro beccari,axel dumas,axel dumas,vagit alekperov,leif johansson,"australia, new zealand"
lance m. fritz,gu shu,sanjiv lamba,sanjiv lamba,kurt sievers,axel dumas,northern america
richard k. templeton,suzanne nora johnson,james l robo,james l robo,erik engstrom,james l robo,northern america
marvin ellison,wang xing,marvin ellison,marvin ellison,pierre-alain ruffieux,andrew mackenzie,northern america
james l robo,david i. mckay,richard k. templeton,richard k. templeton,steven van rijswijk,lance m. fritz,northern america
sanjiv lamba,hector de j. ruiz,lance m. fritz,lance m. fritz,rolf habben jansen,thomas j engibous,northern europe
axel dumas,kenichiro yoshida,mike henry,mike henry,michael strugl,marvin ellison,western europe
darius adamczyk,jacek olczak,christian klein,christian klein,paul schuler,wang xing,northern america
ma mingzhe,peter ma,,,,kenichiro yoshida,eastern asia
jacek olczak,,sasan k. goodarzi,sasan k. goodarzi,kasper rorsted,hector de j. ruiz,northern america
kenichiro yoshida,tobias albin lutke,wang xing,wang xing,werner baumann,darius adamczyk,eastern asia
lisa su,yu nakata,david i. mckay,david i. mckay,olivier andries,peter ma,northern america
david i. mckay,geoff martha,lisa su,lisa su,carlo messina,david i. mckay,northern america
wang xing,dr. caforio,kenichiro yoshida,kenichiro yoshida,david schwimmer,jacek olczak,eastern asia
sasan k. goodarzi,,jacek olczak,jacek olczak,jens bjorn andersen,gu shu,northern america
,,ma mingzhe,ma mingzhe,john pettigrew,hasso plattner,eastern asia
christian klein,david w. dorman,darius adamczyk,darius adamczyk,terrence curtin,suzanne nora johnson,western europe
karen s. lynch,helge lund,bharat masrani,bharat masrani,claudio descalzi,tobias albin lutke,northern america
patrick pouyanne,brian l. roberts,wang dongjin,wang dongjin,,yu nakata,western europe
roland busch,hans vestberg,pietro beccari,pietro beccari,charlie nunn,dai houliang,western europe
giovanni caforio,marc benioff,tobias lutke,tobias lutke,lance uggla,pietro beccari,northern america
geoffrey s. martha,,yu nakata,yu nakata,frank vang-jensen,mr. pouyanne,northern europe
yu nakata,john j. donahoe,geoffrey s. martha,geoffrey s. martha,charles f. lowrey,dr. caforio,eastern asia
