00-avengers-ceo,02-GioPonSpiz-ceo,03-gren-ceo,04-iGMM-ceo,07-silvestri-ceo,08-slytherin-ceo,00-avengers-headquarters_sub_region
steven e. strah,hamad mohammed al bahar,isam jasem al sager,isam jasem al sager,,hamad mohammed al bahar,northern america
hiroyuki ogawa,,,,,tetsuji ohashi,eastern asia
alistair phillips-davies,mohsen sohi,dan carestio,dan carestio,,steven j. demetriou,northern europe
,fred wilson,josh silverman,josh silverman,,michael j. kneeland,western europe
,,,,,qiang dong liu,eastern asia
,juan sanchez-calero guilarte,jose d. bogas galvez,jose d. bogas galvez,,bruce van saun,northern america
abdulwahab iesa alrushood,,frank mastiaux,frank mastiaux,,not found,western asia
jerry norcia,chen lang,,,,david a. brandon,northern america
,jeff miller,jeff miller,jeff miller,,jeff miller,eastern asia
,,,,,chen lang,eastern asia
jeff miller,qiang dong liu,,,,hamad abdul mohsen al-marzouq,northern america
,david a. brandon,jerry norcia,jerry norcia,,hubert lienhard,eastern asia
frank mastiaux,hamad abdul mohsen al-marzouq,abdulwahab iesa alrushood,abdulwahab iesa alrushood,,juan sanchez-calero guilarte,western europe
jose d. bogas galvez,bruce van saun,,,,not found,south europe
vincent warnery,,vincent warnery,vincent warnery,,robert f. spoerry,western europe
charles brindamour,redstone,robert m. bakish,robert m. bakish,,tan xuguang,northern america
,ahmed bin saeed al maktoum,shayne nelson,shayne nelson,,redstone,eastern asia
,robert f. spoerry,arnd kaldowski,arnd kaldowski,,hisashi ietsugu,south east asia
hisashi ietsugu,tan xuguang,,,,reinhard pollath,eastern asia
,li tzar kuoi,,,,ahmed bin saeed al maktoum,eastern asia
,hisashi ietsugu,hisashi ietsugu,hisashi ietsugu,,charles brindamour,eastern asia
arnd kaldowski,,,,,xu ziyang,western europe
shayne nelson,xu ziyang,,,,li tzar kuoi,western asia
robert m. bakish,charles brindamour,charles brindamour,charles brindamour,,not found,northern america
,,,,,goran persson,eastern asia
warner l baxter,james (jim) connor,james (jim) connor,james (jim) connor,,prahlad singh,northern america
gary a. shiffman,prahlad singh,prahlad singh,prahlad singh,,jose sio,northern america
rene f jones,qing he,,,,james (jim) connor,northern america
,jose sio,frederic dybuncio,frederic dybuncio,,gary a. shiffman,eastern asia
jens henriksson,goran persson,jens henriksson,jens henriksson,,qing he,northern europe
frederic dybuncio,yi zhou,,,,gary l rainwater,south east asia
,robert g. wilmers,rene f jones,rene f jones,,meisong lai,eastern asia
prahlad singh,gary a. shiffman,gary a. shiffman,gary a. shiffman,,robert g. wilmers,northern america
james (jim) connor,gary l rainwater,warner l baxter,warner l baxter,,yi zhou,northern america
steve cahillane,james m. jenness,steve cahillane,steve cahillane,,pasr boman,northern america
michael j schall,lorenzo simonelli,lorenzo simonelli,lorenzo simonelli,,dr. lui che woo,northern america
paul reilly,vincent sorgi,vincent sorgi,vincent sorgi,,roger jardine,northern america
leo p. denault,"paul desmarais, jr.",,,,james m. jenness,northern america
magnus groth,roger jardine,alan pullinger,alan pullinger,,lorenzo simonelli,northern europe
francis lui,dr. lui che woo,francis lui,francis lui,,vincent sorgi,eastern asia
alan pullinger,pasr boman,magnus groth,magnus groth,,"paul desmarais, jr.",southern africa
vincent sorgi,j wayne leonard,leo p. denault,leo p. denault,,george m. marcus,northern america
,thomas a. james,paul reilly,paul reilly,,thomas a. james,northern america
lorenzo simonelli,george m. marcus,michael j schall,michael j schall,,j wayne leonard,northern america
,gu jinshan,,,,not found,eastern asia
timothy p walbert,,,,,tim walbert,northern europe
tetsuro tomita,max levchin,max levchin,max levchin,,max levchin,eastern asia
,ciaran murray,steve cutler,steve cutler,,gu jinshan,northern america
,rajiv l gupta,michael stubblefield,michael stubblefield,,chen yun,eastern asia
,chen yun,,,,goro yamaguchi,eastern asia
michael stubblefield,goro yamaguchi,,,,tetsuro tomita,northern america
steve cutler,,,,,not found,northern europe
max levchin,tetsuro tomita,tetsuro tomita,tetsuro tomita,,rajiv l gupta,northern america
,tim walbert,timothy p walbert,timothy p walbert,,ciaran murray,northern america
tareq a. al-sadhan,abdullah mohammed al-issa,tareq a. al-sadhan,tareq a. al-sadhan,,scott a. shay,western asia
travis d. stice,scott a. shay,joseph j. depaolo,joseph j. depaolo,,anand g. mahindra,northern america
c. p. gurnani,antonio neri,antonio neri,antonio neri,,abdullah mohammed al-issa,southern asia
george g. weston,shingo konomoto,shingo konomoto,shingo konomoto,,linda rendle,northern europe
carina akerstrom,,amanda blanc,amanda blanc,,travis d. stice,northern europe
linda rendle,linda rendle,linda rendle,linda rendle,,george culmer,northern america
amanda blanc,mikael hallaker,carina akerstrom,carina akerstrom,,shingo konomoto,northern europe
shingo konomoto,,george g. weston,george g. weston,,mikael hallaker,eastern asia
antonio neri,,c. p. gurnani,c. p. gurnani,,michael mclintock,northern america
joseph j. depaolo,travis d. stice,travis d. stice,travis d. stice,,antonio neri,northern america
ashutosh raghuvanshi,ravi rajagopal,ashutosh raghuvanshi,ashutosh raghuvanshi,,miao jianmin,northern america
harry schmelzer jr.,miao jianmin,,,,rolf nonnenmacher,south america
ester baiget,,,,,ravi rajagopal,northern europe
ignacio madridejos fernandez,sergei nossoff,pavel sergeevich grachev,pavel sergeevich grachev,,not found,south europe
,masahiko uotani,masahiko uotani,masahiko uotani,,rafael del pino calvo - sotelo,northern europe
sigve brekke,sigve brekke,sigve brekke,sigve brekke,,jorgen buhl rasmussen,northern europe
masahiko uotani,,,,,sergei nossoff,eastern asia
pavel sergeevich grachev,rafael del pino calvo - sotelo,ignacio madridejos fernandez,ignacio madridejos fernandez,,decio da silva,eastern europe
,jorgen buhl rasmussen,ester baiget,ester baiget,,sigve brekke,western europe
,decio da silva,harry schmelzer jr.,harry schmelzer jr.,,masahiko uotani,eastern asia
scott w. wine,scott w. wine,scott w. wine,scott w. wine,,not found,northern europe
jack fusco,yoon ho-young,yoon ho-young,yoon ho-young,,not found,northern america
,,,,,not found,eastern asia
prashant jain,,,,,yoon ho-young,southern asia
jeffrey s musser,,,,,natarajan chandrasekaran,northern america
,,,,,scott w. wine,eastern asia
,jeffrey s musser,jeffrey s musser,jeffrey s musser,,not found,southern asia
,,prashant jain,prashant jain,,jeffrey s musser,eastern asia
,,,,,jack fusco,eastern asia
yoon ho-young,jack fusco,jack fusco,jack fusco,,prashant jain,eastern asia
gilles g. martin,,gilles g. martin,gilles g. martin,,gilles g. martin,western europe
,david c. kimbell,david c. kimbell,david c. kimbell,,david c. kimbell,south europe
brent burns,lachlan murdoch,lachlan murdoch,lachlan murdoch,,lachlan murdoch,northern america
makoto uchida,debra cafaro,debra cafaro,debra cafaro,,not found,eastern asia
,chad richison,chad richison,chad richison,,makoto uchida,eastern asia
chris cartwright,chris cartwright,chris cartwright,chris cartwright,,chris cartwright,northern america
chad richison,,,,,debra cafaro,northern america
debra cafaro,makoto uchida,makoto uchida,makoto uchida,,chad richison,northern america
lachlan murdoch,brent burns,brent burns,brent burns,,not found,northern america
david c. kimbell,,,,,brent burns,northern america
lee olesky,lee olesky,lee olesky,lee olesky,,lee olesky,northern america
bill ready,,,,,stefan bomhard,northern america
stefan bomhard,,,,,trevor j. croker,northern europe
henry schuck,,trevor j. croker,trevor j. croker,,not found,northern america
udit batra,,,,,jung-jin seo,northern america
hyoung ki kim,jung-jin seo,hyoung ki kim,hyoung ki kim,,ben silbermann,eastern asia
,udit batra,udit batra,udit batra,,not found,eastern asia
trevor j. croker,henry schuck,henry schuck,henry schuck,,henry schuck,"australia, new zealand"
,,stefan bomhard,stefan bomhard,,udit batra,eastern asia
,ben silbermann,bill ready,bill ready,,not found,western asia
william c. stone,william c. stone,william c. stone,william c. stone,,not found,northern america
,bin mo,bin mo,bin mo,,not found,eastern asia
william hornbuckle,earl wayne garrison,john n. roberts iii,john n. roberts iii,,jussi pesonen,northern america
paolo bertoluzzo,,,,,jose marcos ramirez miguel,south europe
jose marcos ramirez miguel,jussi pesonen,jussi pesonen,jussi pesonen,,paolo bertoluzzo,central america
,,,,,not found,eastern asia
jussi pesonen,jose marcos ramirez miguel,jose marcos ramirez miguel,jose marcos ramirez miguel,,william hornbuckle,northern europe
,paolo bertoluzzo,paolo bertoluzzo,paolo bertoluzzo,,earl wayne garrison,northern america
john n. roberts iii,william hornbuckle,william hornbuckle,william hornbuckle,,bin mo,northern america
bin mo,,,,,william c. stone,eastern asia
patrick decker,patrick decker,patrick decker,patrick decker,,jean-christophe tellier,northern america
,tunc doluca,tunc doluca,tunc doluca,,thierry vanlancker,eastern asia
daniel dines,zhang zhiyong,tong jilu,tong jilu,,tunc doluca,northern america
oliver hughes,,thierry vanlancker,thierry vanlancker,,patrick decker,eastern europe
jean-christophe tellier,rene lacerte,rene lacerte,rene lacerte,,not found,western europe
richard d. fain,richard d. fain,richard d. fain,richard d. fain,,daniel dines,northern america
rene lacerte,,jean-christophe tellier,jean-christophe tellier,,george chesakov,northern america
thierry vanlancker,george chesakov,oliver hughes,oliver hughes,,zhang zhiyong,western europe
tong jilu,daniel dines,daniel dines,daniel dines,,richard d. fain,eastern asia
tunc doluca,,,,,rene lacerte,northern america
stephen cooper,"edgar bronfman, jr.",stephen cooper,stephen cooper,,ammar abdul wahid al-khudairy,northern america
,ammar abdul wahid al-khudairy,rania nashar,rania nashar,,luis palha da silva,eastern asia
george schindler,matthew massengill,david goeckeler,david goeckeler,,matthew massengill,northern america
joao manuel brito martins,michael r. hsing,michael r. hsing,michael r. hsing,,"edgar bronfman, jr.",south europe
,george kurian,george kurian,george kurian,,not found,eastern asia
,,,,,not found,eastern asia
george kurian,,,,,michael r. hsing,northern america
michael r. hsing,,joao manuel brito martins,joao manuel brito martins,,george kurian,northern america
david goeckeler,serge godin,george schindler,george schindler,,serge godin,northern america
rania nashar,,,,,not found,western asia
,,,,,not found,eastern asia
peter d. arvan,,,,,daniel joseph houston,northern america
albert g. white iii,,bill winters,bill winters,,ryan cohen,northern america
daniel joseph houston,john elkann,john elkann,john elkann,,sergio rial,northern america
alfred stern,ryan cohen,sumit singh,sumit singh,,alfred stern,western europe
sergio rial,sergio rial,sergio rial,sergio rial,,john elkann,south america
sumit singh,alfred stern,alfred stern,alfred stern,,jose vinals,northern america
john elkann,daniel joseph houston,daniel joseph houston,daniel joseph houston,,not found,western europe
bill winters,robert s. weis,albert g. white iii,albert g. white iii,,peter d. arvan,northern europe
,peter d. arvan,peter d. arvan,peter d. arvan,,robert s. weis,eastern asia
kuok khoon hong,kuok khoon hong,kuok khoon hong,kuok khoon hong,,atsushi katsuki,south east asia
kazumichi kobayashi,daniel benes,daniel benes,daniel benes,,not found,eastern asia
aaron jagdfeld,atsushi katsuki,atsushi katsuki,atsushi katsuki,,daniel benes,northern america
isao teshirogi,,,,,kuok khoon hong,eastern asia
tim gokey,,,,,kazumichi kobayashi,northern america
karan adani,,karan adani,karan adani,,not found,southern asia
,tim gokey,tim gokey,tim gokey,,aaron jagdfeld,eastern asia
,yasuyoshi isou,isao teshirogi,isao teshirogi,,yasuyoshi isou,eastern asia
atsushi katsuki,aaron jagdfeld,aaron jagdfeld,aaron jagdfeld,,gautam adani,eastern asia
daniel benes,kazumichi kobayashi,kazumichi kobayashi,kazumichi kobayashi,,tim gokey,eastern europe
,,,,,michael konig,eastern asia
heinz-juergen bertram,,,,,bernhard spalt,western europe
h lynn moore jr,,,,,not found,northern america
robert painter,,,,,steven w. berglund,northern america
patrick frost,bernhard spalt,bernhard spalt,bernhard spalt,,not found,western europe
norman david schwartz,norman david schwartz,norman david schwartz,norman david schwartz,,not found,northern america
bernhard spalt,patrick frost,patrick frost,patrick frost,,norman david schwartz,western europe
,steven w. berglund,robert painter,robert painter,,not found,eastern asia
,john s. marr jr,h lynn moore jr,h lynn moore jr,,patrick frost,eastern asia
,,heinz-juergen bertram,heinz-juergen bertram,,john s. marr jr,eastern asia
benjamin loh,,benjamin loh,benjamin loh,,paul d. donahue,western europe
kwon bong-seok,paul d. donahue,paul d. donahue,paul d. donahue,,not found,eastern asia
owen d. thomas,john chiminski,john chiminski,john chiminski,,benjamin loh,northern america
motoya okada,ronald f. clarke,ronald f. clarke,ronald f. clarke,,ronald f. clarke,eastern asia
,robert mehrabian,robert mehrabian,robert mehrabian,,motoya okada,eastern asia
david harrison,,david harrison,david harrison,,david harrison,"australia, new zealand"
robert mehrabian,,,,,koo kwang-mo,northern america
ronald f. clarke,motoya okada,motoya okada,motoya okada,,robert mehrabian,northern america
john chiminski,owen d. thomas,owen d. thomas,owen d. thomas,,john chiminski,northern america
paul d. donahue,koo kwang-mo,kwon bong-seok,kwon bong-seok,,owen d. thomas,northern america
william d. nash,william d. nash,william d. nash,william d. nash,,thomas m herzog,northern america
thomas m herzog,arkady volozh,arkady volozh,arkady volozh,,badri kothandaraman,northern america
dennis arriola,badri kothandaraman,badri kothandaraman,badri kothandaraman,,j.c. tsou,northern america
,,,,,osamu suzuki,eastern asia
osamu suzuki,somchai loetsuthiwong,somchai loetsuthiwong,somchai loetsuthiwong,,somchai loetsuthiwong,eastern asia
,j.c. tsou,,,,not found,south east asia
somchai loetsuthiwong,osamu suzuki,osamu suzuki,osamu suzuki,,not found,south east asia
,,,,,wesley w. von schack,eastern asia
badri kothandaraman,wesley w. von schack,dennis arriola,dennis arriola,,arkady volozh,northern america
arkady volozh,thomas m herzog,thomas m herzog,thomas m herzog,,william d. nash,eastern europe
masanobu komoda,,,,,park tae-joon,eastern asia
thomas r. reeg,j powell brown,j powell brown,j powell brown,,tan sri dato sri tay ah lek,northern america
jeong-woo choi,mcebisi jonas,ralph mupita,ralph mupita,,not found,eastern asia
,tan sri dato sri tay ah lek,tan sri dato sri tay ah lek,tan sri dato sri tay ah lek,,mcebisi jonas,eastern asia
marco alvera,,,,,not found,south europe
,nicola bedin,marco alvera,marco alvera,,j powell brown,eastern asia
tan sri dato sri tay ah lek,,,,,not found,south east asia
ralph mupita,park tae-joon,jeong-woo choi,jeong-woo choi,,nicola bedin,southern africa
j powell brown,gary l. carano,thomas r. reeg,thomas r. reeg,,hiromichi iwasa,northern america
,hiromichi iwasa,masanobu komoda,masanobu komoda,,gary l. carano,eastern asia
steven j. johnston,bahl,steven j. johnston,steven j. johnston,,not found,northern america
,steve rusckowski,steve rusckowski,steve rusckowski,,not found,eastern asia
,,,,,bahl,eastern asia
,,,,,cristina stenbeck,eastern asia
,,,,,not found,eastern asia
david schneider,,david schneider,david schneider,,not found,western europe
,,,,,not found,northern america
,,,,,not found,eastern asia
,,,,,steve rusckowski,northern america
steve rusckowski,,,,,not found,northern america
keiichi yoshii,keiichi yoshii,keiichi yoshii,keiichi yoshii,,keiichi yoshii,eastern asia
garrick j. rochow,strauss zelnick,strauss zelnick,strauss zelnick,,kiran agarwal,northern america
tony cripps,dwight schar,paul c. saville,paul c. saville,,mark s. sutton,western asia
,mark s. sutton,mark s. sutton,mark s. sutton,,dwight schar,northern america
arun misra,laurans a mendelson,laurans a mendelson,laurans a mendelson,,laurans a mendelson,southern asia
,,,,,not found,eastern asia
laurans a mendelson,,arun misra,arun misra,,strauss zelnick,northern america
mark s. sutton,,,,,john g. russell,northern america
paul c. saville,lubna olayan,tony cripps,tony cripps,,not found,northern america
strauss zelnick,john g. russell,garrick j. rochow,garrick j. rochow,,lubna olayan,northern america
niraj shah,niraj shah,niraj shah,niraj shah,,not found,northern america
,wolfgang kirsch,rice powell,rice powell,,patrice caine,eastern asia
,,,,,not found,eastern asia
,,patrice caine,patrice caine,,natarajan chandrasekaran,eastern asia
lori j. ryerkerk,remo ruffini,remo ruffini,remo ruffini,,lori j. ryerkerk,northern america
t. v. narendran,,t. v. narendran,t. v. narendran,,niraj shah,southern asia
remo ruffini,lori j. ryerkerk,lori j. ryerkerk,lori j. ryerkerk,,wolfgang kirsch,south europe
patrice caine,,,,,remo ruffini,western europe
,,,,,not found,eastern asia
eugene i. lee jr.,,,,,not found,northern america
rice powell,eugene i. lee jr.,eugene i. lee jr.,eugene i. lee jr.,,bharat puri,western europe
masayuki hyodo,peter harf,fabien simon,fabien simon,,anita frew,eastern asia
richard e. allison jr.,,steve foots,steve foots,,peter harf,northern america
christian bruch,,bharat puri,bharat puri,,hirotaka sugiyama,western europe
robert pera,wen long yen,noor menai,noor menai,,eugene i. lee jr.,northern america
hirotaka sugiyama,hirotaka sugiyama,hirotaka sugiyama,hirotaka sugiyama,,masayuki hyodo,eastern asia
noor menai,robert pera,robert pera,robert pera,,joe kaeser,south east asia
bharat puri,joe kaeser,christian bruch,christian bruch,,david a. brandon,southern asia
steve foots,david a. brandon,richard e. allison jr.,richard e. allison jr.,,robert pera,northern europe
fabien simon,masayuki hyodo,masayuki hyodo,masayuki hyodo,,wen long yen,western asia
,,,,,not found,eastern asia
,,ron delia,ron delia,,not found,south america
,,,,,vladimir bogdanov,south east asia
mark read,vladimir bogdanov,vladimir bogdanov,vladimir bogdanov,,not found,northern europe
,jong gyu yoon,jong gyu yoon,jong gyu yoon,,not found,eastern asia
jose cil,alexandre behring,jose cil,jose cil,,jong gyu yoon,northern america
jong gyu yoon,,,,,mark read,eastern asia
vladimir bogdanov,,mark read,mark read,,ron delia,eastern europe
,,,,,alexandre behring,eastern asia
ron delia,,,,,not found,"australia, new zealand"
josu jon imaz,,,,,vivek badrinath,south europe
vivek badrinath,graham smith,graham smith,graham smith,,noriyuki hara,western europe
noriyuki hara,,,,,not found,eastern asia
w. erik carlson,,,,,not found,northern america
kewsong lee,,,,,kewsong lee,northern america
,kewsong lee,kewsong lee,kewsong lee,,graham smith,northern america
,charlie ergen,w. erik carlson,w. erik carlson,,not found,eastern asia
,noriyuki hara,noriyuki hara,noriyuki hara,,antonio brufau niubo,eastern asia
graham smith,vivek badrinath,vivek badrinath,vivek badrinath,,not found,northern america
,antonio brufau niubo,josu jon imaz,josu jon imaz,,charlie ergen,northern america
ivan arriagada,,ivan arriagada,ivan arriagada,,jean-paul luksic fontbona,northern europe
frank thomson leighton,satoshi tsunakawa,satoshi tsunakawa,satoshi tsunakawa,,thomas w toomey,northern america
sam pollock,,,,,sam pollock,northern america
,,,,,not found,eastern asia
,william b. berry,william b. berry,william b. berry,,frank thomson leighton,northern america
thomas w toomey,thomas w toomey,thomas w toomey,thomas w toomey,,not found,northern america
william b. berry,,,,,william b. berry,northern america
,,,,,satoshi tsunakawa,eastern asia
,sam pollock,sam pollock,sam pollock,,not found,northern america
satoshi tsunakawa,frank thomson leighton,frank thomson leighton,frank thomson leighton,,john menard jr.,eastern asia
edward b. pitoniak,edward b. pitoniak,edward b. pitoniak,edward b. pitoniak,,robert glen goldstein,northern america
,,,,,not found,south east asia
michael goettler,yoshiaki yoshida,yoshiaki yoshida,yoshiaki yoshida,,edward b. pitoniak,northern america
vibha padalkar,,,,,michael goettler,southern asia
bertrand loy,robert glen goldstein,robert glen goldstein,robert glen goldstein,,yoshiaki yoshida,northern america
,,,,,not found,eastern asia
robert glen goldstein,bertrand loy,bertrand loy,bertrand loy,,not found,eastern asia
,,vibha padalkar,vibha padalkar,,deepak parekh,eastern asia
yoshiaki yoshida,michael goettler,michael goettler,michael goettler,,chao-shun chang,eastern asia
,chao-shun chang,,,,bertrand loy,eastern asia
rafael santana,albert j. neupaver,rafael santana,rafael santana,,albert j. neupaver,northern america
jennifer m. johnson,steven j. demetriou,steven j. demetriou,steven j. demetriou,,not found,northern america
mitchell r. butier,jay kreps,jay kreps,jay kreps,,not found,northern america
,john maraganore,john maraganore,john maraganore,,mitchell r. butier,northern america
stephen p. macmillan,sharmila nebhrajani obe,barak eilam,barak eilam,,jennifer m. johnson,northern america
,,,,,stephen p. macmillan,eastern asia
barak eilam,stephen p. macmillan,stephen p. macmillan,stephen p. macmillan,,sharmila nebhrajani obe,western asia
john maraganore,,,,,jay kreps,northern america
jay kreps,mitchell r. butier,mitchell r. butier,mitchell r. butier,,john maraganore,northern america
steven j. demetriou,jennifer m. johnson,jennifer m. johnson,jennifer m. johnson,,steven j. demetriou,northern america
mark d. benjamin,mark d. benjamin,mark d. benjamin,mark d. benjamin,,marc grandisson,northern america
marc grandisson,aleksandr shevelev,aleksandr shevelev,aleksandr shevelev,,not found,northern america
,,,,,not found,eastern asia
gurdeep singh,,david j stetson,david j stetson,,bjorn gulden,southern asia
,,bjorn gulden,bjorn gulden,,not found,eastern asia
,,,,,mark d. benjamin,eastern asia
bjorn gulden,,,,,aleksandr shevelev,western europe
david j stetson,,gurdeep singh,gurdeep singh,,shri gurdeep singh,northern america
,,,,,david j stetson,eastern asia
aleksandr shevelev,marc grandisson,marc grandisson,marc grandisson,,not found,eastern europe
david simmons,david simmons,david simmons,david simmons,,david simmons,northern america
scott c. donnelly,john w somerhalder,david john lesar,david john lesar,,shacey petrovic,northern america
shacey petrovic,randy v. j. smallwood,randy v. j. smallwood,randy v. j. smallwood,,not found,northern america
jeffrey j. brown,,,,,randy v. j. smallwood,northern america
pablo legorreta,,markus weber,markus weber,,jeffrey j. brown,northern america
eric d. ashleman,eric d. ashleman,eric d. ashleman,eric d. ashleman,,john w somerhalder,northern america
markus weber,riggs,pablo legorreta,pablo legorreta,,eric d. ashleman,western europe
,jeffrey j. brown,jeffrey j. brown,jeffrey j. brown,,markus weber,eastern asia
randy v. j. smallwood,shacey petrovic,shacey petrovic,shacey petrovic,,riggs,northern america
david john lesar,scott c. donnelly,scott c. donnelly,scott c. donnelly,,scott c. donnelly,northern america
arthur sadoun,,arthur sadoun,arthur sadoun,,jaime augusto zobel de ayala,western europe
,kim jun,kim jun,kim jun,,david knibbe,eastern asia
matteo del fante,,,,,not found,south europe
david knibbe,,,,,farina maria bianca,western europe
jaime augusto zobel de ayala,,,,,not found,south east asia
thomas s. gayner,alan i. kirshner,thomas s. gayner,thomas s. gayner,,alan i. kirshner,northern america
,jaime augusto zobel de ayala,jaime augusto zobel de ayala,jaime augusto zobel de ayala,,kim jun,eastern asia
,,david knibbe,david knibbe,,not found,eastern asia
,farina maria bianca,matteo del fante,matteo del fante,,arthur sadoun,northern america
kim jun,,,,,not found,eastern asia
byju raveendran,byju raveendran,byju raveendran,byju raveendran,,stephane dedeyan,southern asia
michael o sullivan,,,,,robert a bruggeworth,northern america
joseph m. zubretsky,richard j campo,richard j campo,richard j campo,,richard j campo,northern america
grigory vitalevich fedorishin,akio nitori,akio nitori,akio nitori,,grigory vitalevich fedorishin,eastern europe
dominick zarcone,robert a bruggeworth,robert a bruggeworth,robert a bruggeworth,,byju raveendran,northern america
stephane dedeyan,stephane dedeyan,stephane dedeyan,stephane dedeyan,,not found,western europe
robert a bruggeworth,dominick zarcone,dominick zarcone,dominick zarcone,,dominick zarcone,northern america
akio nitori,grigory vitalevich fedorishin,grigory vitalevich fedorishin,grigory vitalevich fedorishin,,joseph m. zubretsky,eastern asia
richard j campo,michael o sullivan,michael o sullivan,michael o sullivan,,akio nitori,northern america
,joseph m. zubretsky,joseph m. zubretsky,joseph m. zubretsky,,michael o sullivan,south east asia
,,,,,klaus-dieter maubach,eastern asia
,,klaus-dieter maubach,klaus-dieter maubach,,not found,eastern asia
,,,,,sanjay jalona,eastern asia
sunil duggal,kim jung-ju,owen mahoney,owen mahoney,,not found,southern asia
sanjay jalona,galen weston jr.,galen weston jr.,galen weston jr.,,not found,southern asia
,,,,,kim jung-ju,eastern asia
galen weston jr.,,sanjay jalona,sanjay jalona,,not found,northern america
owen mahoney,,sunil duggal,sunil duggal,,not found,eastern asia
,,,,,galen weston jr.,eastern asia
klaus-dieter maubach,,,,,sunil duggal,western europe
fabrice deceliere marquez,ricardo b. salinas,fabrice deceliere marquez,fabrice deceliere marquez,,john wren,central america
,ric clark,brian kingston,brian kingston,,not found,eastern asia
john wren,,,,,philip snow,northern america
sean connolly,ryan smith,zig serafin,zig serafin,,rolv erik ryssdal,northern america
rolv erik ryssdal,philip snow,philip snow,philip snow,,ricardo b. salinas,northern europe
ian gallienne,ian gallienne,ian gallienne,ian gallienne,,not found,western europe
philip snow,rolv erik ryssdal,rolv erik ryssdal,rolv erik ryssdal,,ian gallienne,northern america
zig serafin,sean connolly,sean connolly,sean connolly,,ric clark,northern america
,john wren,john wren,john wren,,ryan smith,eastern asia
brian kingston,,,,,sean connolly,northern america
steven cain,,steven cain,steven cain,,takaaki nishii,"australia, new zealand"
alexandre j. l heureux,takaaki nishii,takaaki nishii,takaaki nishii,,james graham am,northern america
,philip k.r. pascall,,,,james c. foster,eastern asia
tom yario,james c. foster,james c. foster,james c. foster,,not found,south east asia
valerie baudson,randall rollins,gary rollins,gary rollins,,aengus kelly,western europe
aengus kelly,aengus kelly,aengus kelly,aengus kelly,,valerie baudson,northern europe
gary rollins,,valerie baudson,valerie baudson,,chen,northern america
james c. foster,,tom yario,tom yario,,philip k.r. pascall,northern america
,,,,,randall rollins,northern america
takaaki nishii,alexandre j. l heureux,alexandre j. l heureux,alexandre j. l heureux,,alexandre j. l heureux,eastern asia
,,,,,not found,eastern asia
morten hubbe,,,,,morten hubbe,northern europe
hilde merete aasheim,,jack truong,jack truong,,cho yong-byoung,northern europe
mark j. costa,,kevin gallagher,kevin gallagher,,not found,northern america
cho yong-byoung,,tom erixon,tom erixon,,dennis jonsson,eastern asia
,,,,,mark j. costa,south east asia
tom erixon,cho yong-byoung,cho yong-byoung,cho yong-byoung,,jack truong,northern europe
kevin gallagher,mark j. costa,mark j. costa,mark j. costa,,dag mejdell,"australia, new zealand"
jack truong,dag mejdell,hilde merete aasheim,hilde merete aasheim,,not found,northern europe
,morten hubbe,morten hubbe,morten hubbe,,keith spence,eastern asia
,,,,,shukuo ishikawa,eastern asia
,shukuo ishikawa,shukuo ishikawa,shukuo ishikawa,,robert v. baumgartner,eastern asia
alaa mohamed atta khalil eraiqat,,gilles grapinet,gilles grapinet,,keith j. allman,western asia
,keith j. allman,keith j. allman,keith j. allman,,not found,eastern asia
dow r. wilson,robert v. baumgartner,charles r. kummeth,charles r. kummeth,,gilles grapinet,northern america
mahesh kumar sharma,,mahesh kumar sharma,mahesh kumar sharma,,alaa mohamed atta khalil eraiqat,southern asia
charles r. kummeth,dow r. wilson,dow r. wilson,dow r. wilson,,mahesh kumar sharma,northern america
keith j. allman,,,,,not found,northern america
gilles grapinet,,alaa mohamed atta khalil eraiqat,alaa mohamed atta khalil eraiqat,,not found,western europe
shukuo ishikawa,,,,,dow r. wilson,eastern asia
ichiro kashitani,ichiro kashitani,ichiro kashitani,ichiro kashitani,,not found,eastern asia
,donald r. lindsay,donald r. lindsay,donald r. lindsay,,donald r. lindsay,eastern asia
haruo naito,,,,,not found,eastern asia
tim hauwermeiren,herve hoppenot,herve hoppenot,herve hoppenot,,not found,western europe
dr. jan michael mrosik,budi setiadharma,djony bunarto tjondro,djony bunarto tjondro,,ichiro kashitani,western europe
,,,,,tim hauwermeiren,eastern asia
djony bunarto tjondro,prof. dr. klaus mangold,dr. jan michael mrosik,dr. jan michael mrosik,,prof. dr. klaus mangold,south east asia
herve hoppenot,tim hauwermeiren,tim hauwermeiren,tim hauwermeiren,,budi setiadharma,northern america
,haruo naito,haruo naito,haruo naito,,herve hoppenot,eastern asia
donald r. lindsay,,,,,haruo naito,northern america
sarath ratanavadi,kasem snidvongs,sarath ratanavadi,sarath ratanavadi,,alexandre bompard,south east asia
,vlad shmunis,vlad shmunis,vlad shmunis,,not found,western europe
oh se-chul,,,,,not found,eastern asia
,,,,,not found,eastern asia
,,,,,vlad shmunis,eastern asia
,,,,,not found,southern asia
,,,,,chi-hun choi,eastern asia
,,,,,divi murali,western europe
,chi-hun choi,oh se-chul,oh se-chul,,not found,eastern asia
vlad shmunis,,,,,kasem snidvongs,northern america
james belardi,james belardi,james belardi,james belardi,,samer haj-yehia,northern america
,,harold boel,harold boel,,not found,eastern asia
ceo jue wong,,,,,ceo jue wong,northern america
