ID,name,country,headquarters,address,founded,employees,market_cap,revenue,profit,industry,sector,categories,ceo;
2671,ivtl infoview technologies,,,,2000,,,,,it services & consulting,,,;
2673,indorama,,,,1975,,,,,fashion & textile,,,;
2772,iocl refinery,,,,1959,,,,,oil & gas,,,;
6555,ids infotech,,,,1989,,,,,it services & consulting,,,;
135202,indiabulls real estate,india,,,,,,,,,,,;
2884,infostretch,,,,2004,,,,,it services & consulting,,,;
2979,ihh healthcare,malaysia,,,,,,,,,,,;
2950,indo german tool room,,,,1995,,,,,government,,,;
2964,indian public school,,,,2004,,,,,education & training,,,;
2983,imarque solutions,,,,2004,,,,,it services & consulting,,,;
3007,infodrive,,,,1996,,,,,other,,,;
3106,infra.market,india,,,2016,,,,,e-commerce & direct-to-consumer,,,;
3194,itcons e-solutions,,,,2007,,,,,it services & consulting,,,;
3216,international automotive components group limited,,,,,,,,,,,,;
3221,invensis technologies,,,,2000,,,,,bpo,,,;
3344,ivy hospital,,,,2008,,,,,healthcare,,,;
3351,industrybuying.com,,,,2013,,,,,import & export,,,;
3353,in time tec visionsoft,,,,2009,,,,,it services & consulting,,,;
3382,ismt,,,,1977,,,,,iron & steel,,,;
3390,iifl finance,india,,,,,,,,,,,;
3486,iball,,,,2001,,,,,consumer electronics & appliances,,,;
3532,imc,,,,1935,,,,,ports & shipping,,,;
3541,isro satellite center,,,,1976,,,,,defence & aerospace,,,;
3553,infobeans,india,,,,,,,,,technology,,;
3578,im gears,,,,1965,,,,,auto components,,,;
3614,intelliswift software,,,,2001,,,,,software product,,,;
3626,iq backoffice,,,,2002,,,,,it services & consulting,,,;
3627,income tax department india,,,,1860,,,,,government,,,;
3636,indchemie health specialities,,,,1986,,,,,pharma,,,;
3637,indiacan,,,,2008,,,,,edtech,,,;
3643,ict sms,,,,2009,,,,,it services & consulting,,,;
3664,icertis,united states,,,,,,,,,,,;
60930,international paper,united states,,,,,,,,,,,;
3723,impresario entertainment & hospitality,,,,2001,,,,,travel & tourism,,,;
3754,inknowtech,,,,2002,,,,,it services & consulting,,,;
4300,ifb automotive,,,,1974,,,,,automobile,,,;
3761,iconic,,,,2013,,,,,retail,,,;
3778,ibis,,,,0,,,,,hospitality,,,;
3841,ireo,,,,2004,,,,,real estate,,,;
3876,insecticides india,,,,2002,,,,,agro chemicals,,,;
3885,ikya human capital,,,,0,,,,,recruitment,,,;
3911,institute of language management,,,,2001,,,,,education & training,,,;
3937,inox air products,,,,1963,,,,,chemicals,,,;
3948,idmc,,,,1978,,,,,industrial machinery,,,;
3976,ipsoft,,,,1998,,,,,it services & consulting,,,;
4000,interarch building product,,,,1984,,,,,engineering & construction,,,;
4060,indo amines,,,,1979,,,,,chemicals,,,;
153092,ipsos sa,france,,,,,,,,,,,;
4133,indo nissin foods,,,,1958,,,,,food processing,,,;
4161,incrementors web solutions,,,,2004,,,,,financial services,,,;
4193,indian council of agricultural research,,,,1929,,,,,education & training,,,;
4225,international certification services,,,,1999,,,,,other,,,;
4274,infres methodex,,,,1987,,,,,industrial automation,,,;
4283,india yamaha motors,,,,0,,,,,automobile,,,;
4314,itm group of institutions,,,,1991,,,,,education & training,,,;
4331,indian school finance company,,,,1994,,,,,nbfc,,,;
4332,itc group,,,,0,,,,,,,,;
4362,iiht,,,,1993,,,,,education & training,,,;
4376,infocepts technologies,,,,2004,,,,,it services & consulting,,,;
65568,igarashi motors india,india,,,,,doll_0.15 b,,,,,,;
4434,inland world logistics,,,,1982,,,,,logistics,,,;
4458,izmo,,,,,,,,,it services & consulting,,,;
148608,indian railway finance corporation limited,india,,,,,,,,,,,;
4525,il&fs technologies,,,,1933,,,,,engineering & construction,,,;
4531,icpa health products,,,,1983,,,,,healthcare,,,;
4592,icfai business school,,,,1995,,,,,education & training,,,;
4611,icra analytics,,,,1999,,,,,financial services,,,;
50113,inspire medical systems,united states,,,,,doll_7.42 b,,,,,,;
4675,innovatiview,,,,2010,,,,,it services & consulting,,,;
4775,il&fs skills development corporation,,,,2011,,,,,education & training,,,;
4800,itw india,,,,1912,,,,,industrial machinery,,,;
4794,intelux electronics,,,,1996,,,,,electronics manufacturing,,,;
4789,india power corporation,,,,1919,,,,,power,,,;
4820,innovationm,,,,2010,,,,,it services & consulting,,,;
4835,iaf,,,,1932,,,,,defence & aerospace,,,;
4860,ican bpo,,,,2009,,,,,bpo,,,;
4882,idbi capital,,,,1993,,,,,financial services,,,;
4910,itc limited - paperboards specialty papers division,,,,0,,,,,packaging,,,;
4979,innovision,,,,2007,,,,,facility management services,,,;
4978,interface microsystems,,,,1984,,,,,auto components,,,;
5099,indwell,,,,1977,,,,,engineering & construction,,,;
5128,ifb agro industries,,,,1982,,,,,beverage,,,;
5131,ils hospital,,,,2000,,,,,healthcare,,,;
