,name,country,sector,absolute_growth_rate_pct,compound_annual_growth_rate_cagr_pct,revenue_2020_euro,revenue_2017_euro,number_of_employees_2020,number_of_employees_2017,founding_year
238,saljol,germany,health,640.72,94.93,doll_4.15m,"559,778",15,10,2016
239,tkd solutions,germany,telecoms,639.39,94.82,doll_15.87m,"2,146,950",20,9,2014
240,kuori,finland,technology,635.85,94.5,doll_2.5m,"340,000",15,5,2016
241,ferroamp,sweden,energy,635.77,94.5,doll_7.65m,"1,062,649",42,21,2010
242,valor real estate partners,uk,financial services,634.70,94.4,doll_4.53m,"621,636",23,6,2016
243,anexiti,france,technology,633.03,94.26,doll_2.57m,"350,019",14,2,2013
244,genius,france,support services,631.54,94.12,doll_2.42m,"330,522",23,6,2017
245,instilla,italy,advertising,629.15,93.91,doll_2.99m,"410,520",31,3,2015
246,footdistrict,spain,ecommerce,628.49,93.85,doll_14.94m,"2,051,133",60,12,2012
247,spiideo,sweden,technology,627.38,93.76,doll_4.8m,"674,805",36,12,2012
248,contractpodai,uk,technology,626.96,93.72,doll_4.88m,"670,685",118,14,2012
249,tarhan bauausfã¼hrungen,germany,construction,625.88,93.62,doll_1.85m,"255,000",15,5,2017
250,matillion,uk,technology,624.36,93.49,doll_24.58m,"3,417,815",218,44,2010
251,extra mile live service,germany,retail,623.62,93.42,doll_2.64m,"364,485",5,2,2017
252,littlebig connection,france,support services,612.55,92.43,doll_111.54m,"15,653,388",173,17,2013
253,spc general service,italy,construction,611.08,92.3,doll_6.79m,"954,700",50,15,2011
254,jobandtalent,spain,technology,608.12,92.03,doll_352.88m,"49,833,511",801,156,2008
255,financial house,uk,fintech,608.11,92.03,doll_18.77m,"2,669,247",20,14,2016
256,mylead,poland,sales & marketing,607.97,92.02,doll_2.0m,"309,471",42,8,2013
257,mia-platform,italy,technology,605.35,91.78,doll_6.52m,"923,730",74,15,2016
258,tecnimed,italy,health,604.94,91.74,doll_9.55m,"1,354,980",32,20,1976
259,longevity partners,uk,retail,601.43,91.42,doll_2.34m,"335,460",22,5,2015
260,nexumstp,italy,management consulting,601.37,91.42,doll_25.67m,"3,659,630",345,56,2015
261,g-on,france,support services,598.10,91.12,doll_1.81m,"259,342",16,3,2016
262,picnic,uk,advertising,590.77,90.45,doll_1.51m,"219,999",10,3,2016
263,egomnia,italy,technology,586.95,90.1,doll_1.9m,"276,750",36,2,2012
264,loyaltylion,uk,technology,586.89,90.09,doll_4.48m,"657,382",40,10,2012
265,remarkable,norway,technology,581.48,89.59,doll_115.79m,"18,106,514",142,22,2016
266,kubrick,uk,management consulting,580.10,89.46,doll_32.61m,"4,829,922",673,119,2016
267,contrader,italy,technology,579.81,89.44,doll_4.68m,"688,860",35,7,2012
268,samont,germany,industrial goods,579.56,89.41,doll_19.58m,"2,880,891",89,39,2008
269,sirive,italy,construction,578.64,89.33,doll_4.53m,"667,170",5,1,2017
270,multienergia verde,spain,energy,576.76,89.15,doll_146.45m,"21,640,253",15,10,2014
271,wielandts upmt,belgium,technology,575.79,89.06,doll_1.53m,"226,295",6,1,2013
272,asket,sweden,fashion,573.05,88.81,doll_6.53m,"991,534",13,4,2015
273,central warehouse solution,czech republic,transport,569.09,88.44,doll_1.79m,"274,790",45,10,2015
274,chef in camicia,italy,advertising,566.63,88.2,doll_2.07m,"310,810",21,2,2015
275,piper homes,uk,construction,566.22,88.17,doll_30.44m,"4,601,266",28,9,2015
276,alturas cubiertas y fachadas,spain,construction,564.06,87.96,doll_9.38m,"1,411,811",33,12,2014
277,autosalon uhingen,germany,automobiles,563.94,87.95,doll_10.54m,"1,587,500",11,2,2015
278,yumi beauty,france,chemicals & pharmaceuticals,561.59,87.73,doll_2.68m,"404,819",5,1,2013
279,for me lab,france,ecommerce,556.12,87.21,doll_1.65m,"251,795",7,2,2016
280,stockholms elbolag,sweden,energy,555.65,87.16,doll_32.27m,"5,033,032",25,7,2015
281,flohr,germany,waste management & recycling,555.52,87.15,doll_21.25m,"3,241,629",84,21,1999
282,agricodem,italy,agricultural commodities,554.25,87.03,doll_2.86m,"436,610",4,1,2008
283,dach schutzbekleidung,germany,industrial goods,552.07,86.82,doll_45.23m,"6,936,038",80,14,2005
284,em-tec energiemontagen,germany,construction,551.35,86.75,doll_3.0m,"461,000",16,7,2017
285,wave studio,romania,technology,550.00,86.63,doll_4.11m,"656,172",9,8,2014
286,bazzar,croatia,retail,548.14,86.45,doll_6.69m,"1,034,093",17,3,2013
287,cybersprint,the netherlands,cyber security,548.05,86.44,doll_2.91m,"449,771",43,10,2015
288,brandon group,italy,ecommerce,546.65,86.3,doll_32.04m,"4,954,590",34,19,2012
289,feiniko handelsgesellschaft,germany,retail,546.03,86.24,doll_32.17m,"4,979,484",13,1,2014
290,pharmagrin,italy,health,539.22,85.59,doll_2.7m,"422,610",21,2,2015
291,life m,czech republic,technology,538.99,85.57,doll_2.0m,"322,050",3,1,2016
292,plã¡sticos dã£o / sacos & saquetas,portugal,industrial goods,538.61,85.53,doll_1.95m,"304,833",16,5,2012
293,logipal24,germany,transport,529.56,84.65,doll_4.97m,"789,058",70,19,2010
294,pastbook,the netherlands,technology,527.70,84.47,doll_33.65m,"5,361,088",22,23,2012
295,bluefin,uk,ecommerce,527.48,84.45,doll_28.99m,"4,653,721",21,6,2013
296,milk & honey pr,uk,sales & marketing,526.03,84.3,doll_1.53m,"245,974",18,4,2016
297,prodeval,france,energy,525.30,84.23,doll_73.51m,"11,756,712",220,70,1990
298,virta,finland,technology,524.73,84.18,doll_11.03m,"1,765,457",110,23,2013
299,bizaway,italy,travel & leisure,523.93,84.1,doll_1.99m,"318,940",28,4,2015
300,karl & lã©on,france,retail,520.62,83.77,doll_2.39m,"385,266",6,2,2015
301,identity,uk,management consulting,517.38,83.45,doll_22.89m,"3,733,539",80,39,2001
302,blackbelt holding,hungary,technology,517.01,83.41,doll_5.7m,"923,000",55,4,2016
