,link,name,country,industry,revenue,employees,founded
84,https://www.brmetalsltd.com/,br metals,singapore,waste management & recycling,107.40,16,2009
85,http://www.smartenergygroup.com.au/,smart energy group,australia,energy,34.64,203,2016
86,https://razorpay.com/,razorpay,india,technology,73.76,1050,2013
87,https://datlas.it/en/,datlas*,italy,technology,"9,034,926",251,2017
88,https://www.crossflowpayments.co.uk,crossflow payment solutions trading,uk,fintech,"14,333,126",7,2013
89,https://www.psioxus.com,psioxus therapeutics,united kingdom,pharmaceuticals,64.4,69,2006
90,https://www.hegen.com/,hegen,singapore,personal & household goods,24.31,22,2014
91,https://kaleidojapan.com/,kaleido japan,japan,architecture,5.45,10,2011
92,https://www.redpeak.sg/,redpeak advisers,singapore,financial services,10.11,7,2016
93,https://missamara.com.au/,miss amara,australia,retail,7.07,36,2014
94,https://www.wadiz.kr/,wadiz,south korea,fintech,12.47,204,2012
95,https://www.codapayments.com/,coda payments,singapore,fintech,80.32,104,2011
96,https://www.zego.com/,zego,uk,fintech,"12,158,046",224,2016
97,https://www.swapfiets.com,swapfiets,netherlands,travel & leisure,"22,700,000",550,2014
98,https://www.housekeep.com,housekeep,united kingdom,technology,7.3,25,2013
99,https://mikienergy.com/,mikienergy,japan,energy,8.62,5,2015
100,https://www.closip.co.jp/,closip,japan,cyber security,1.43,12,2016
101,https://www.codapayments.com/,coda payments,singapore,fintech,144.86,232,2011
102,https://www.hyperanna.com/,hyper anna,australia,technology,1.86,40,2016
103,https://www.solbari.com/,sun protection apparel,australia,ecommerce,1.89,12,2014
104,https://thermomix.com.sg/,the future of cooking,singapore,retail,8.35,10,2016
105,https://www.hcl-logistics.de/,hcl-logistics,germany,transport,"11,387,156",24,2017
106,https://www.jobandtalent.com,jobandtalent,spain,technology,"271,481,287",783,2009
107,https://www.landbay.co.uk,landbay partners,uk,financial services,"9,155,241",98,2014
108,https://www.crepprotect.com,crep protect,united kingdom,fashion,28.7,29,2014
109,https://loship.vn/,loship,vietnam,food & beverage,14.54,200,2017
110,https://www.firstcircle.ph/,first circle,philippines,financial services,5.62,108,2016
111,https://www.cloudwave.com.au/,cloudwave,australia,technology,3.77,18,2013
112,https://www.dementiacaring.com.au/,dementia caring ,australia,health,20.56,219,2015
113,http://www.tebe.co.id/,dana brata luhur,indonesia,transport,26.85,193,2008
114,https://fabelio.com/,fabelio,indonesia,retail,13.04,344,2015
115,https://popsa.com/,popsa,uk,technology,"21,455,864",34,2016
116,https://www.chillysbottles.com,chilly's bottles,uk,retail,"35,348,422",371,2010
117,https://itravex.es,viajes libratur (itravex),spain,travel & leisure,43.7,62,2007
118,https://www.mepl-mmw.com/,mohan electro casting,india,industrial goods,3.23,35,2002
119,https://www.goodtogreat.co.kr/,gtog international,south korea,sales & marketing,35.34,25,2016
120,https://wavelifesciences.com/,wave life sciences,singapore,health,15.84,301,2012
121,https://www.skilllane.com/,skilllane,thailand,education,3.05,44,2014
122,https://unit8.com/,unit8,switzerland,technology,"7,234,981",41,2017
123,https://safe4u.de,safe4u,germany,technology,"6,700,000",9,2013
124,https://www.darktrace.com,darktrace,united kingdom,cyber security,36.1,618,2013
125,https://www.oaknorth.com/,oaknorth bank,united kingdom,fintech,67.91,200,2015
126,https://www.nkc-asia.com/,nkc asia,japan,technology,37.92,90,2015
127,https://themathcompany.com/,themathcompany,india,management consulting,13.85,494,2016
128,https://www.selfwealth.com.au/,selfwealth,australia,fintech,12.64,34,2012
129,https://www.befitfood.com.au/,be fit food,australia,health,5.21,25,2015
130,https://www.comma-entertainment.com/,comma entertainment,south korea,advertising,1.47,10,2015
131,https://www.tangerinetelecom.com.au/,tangerine telecom,australia,telecoms,13.62,90,2014
132,https://www.luotocompany.com/,luoto company,finland,technology,"14,338,668",49,2016
133,https://www.journiapp.com/,journi print,austria,ecommerce,"6,851,839",29,2014
134,https://www.bunq.com,bunq,netherlands,fintech,"8,808,633",96,2014
135,https://www.nbwm.nl,nbwm,netherlands,fintech,6.7,30,2013
136,https://wolt.com/,wolt enterprises,finland,technology,30.07,293,2014
137,https://bolt.eu/,bolt technology,estonia,technology,79.68,700,2013
138,https://whatfix.com/,whatfix,india,technology,13.45,471,2013
139,https://sprintlaw.com.au/,sprintlaw,australia,law,1.70,25,2017
140,file:///users/chris.campbell/downloads/na,metal heart,south korea,retail,14.73,3,2017
141,https://saaslabs.co/,saas labs,india,technology,1.93,52,2016
142,https://www.topreform.jp/,top reform,japan,construction,6.56,13,2015
143,https://shopline.hk/,shopline,hong kong,ecommerce,21.85,301,2013
144,https://www.portify.fr/,portify,france,support services,"11,583,215",228,2017
145,https://tibber.com/,tibber,norway,energy,"30,886,935",45,2015
146,https://bolt.eu,bolt technology,estonia,technology,"148,227,430",1438,2013
147,https://de.scalable.capital,scalable capital,germany,fintech,"7,065,436",115,2014
148,https://www.bis-renovation-energie.com,bis rénovation energie,france,construction,13.5,80,2013
149,https://elementsgs.com/,elements global services,spain,support services,26.25,38,2015
150,https://www.les-eco-isolateurs.com/,les eco-isolateurs,france,construction,32.98,67,2013
151,https://www.driveyello.com/,drive yello,australia,transport,7.84,60,2015
152,https://www.dmil.kr/,"different millions , inc",south korea,beauty,4.52,38,2017
153,https://www.stayg.jp/,stay gold,japan,property,9.40,3,2010
154,https://www.upgrad.com/,upgrad,india,education,23.05,1100,2015
155,https://www.capitalindia.com/,capital india finance,india,financial services,14.59,not found,1994
156,https://www.i-goods.co.jp/,igoods,japan,sales & marketing,6.26,20,2016
157,https://www.rascalindustry.pl/en/,rascal industry,poland,fashion,"9,008,822",18,2013
158,https://www.pegasosecurity.it/,pegaso security,italy,support services,"8,375,180",509,2017
159,https://kubrickgroup.com,kubrick group,uk,management consulting,"21,304,174",335,2016
160,https://gojob.com,gojob,france,management consulting,"23,062,711",105,2015
161,https://www.donatella.de,donatella*,germany,food & beverage,7.5,10,2014
162,https://gismart.com/,gismart,united kingdom,games industry,57.65,150,2013
163,https://picocela.com/,picocela,japan,technology,2.03,25,2008
164,https://parcelport.co.nz/,parcelport,new zealand,ecommerce,3.98,10,2012
165,https://dwarves.foundation/,dwarves foundation,vietnam,technology,1.00,45,2015
166,http://dable.io/en/,dable,south korea,media,15.70,72,2015
167,https://www.jayride.com/,jayride group,australia,travel & leisure,2.84,112,2012
168,https://nj-enex.co.jp/,nj-enex,japan,retail,10.18,30,2015
169,https://www.tide.co/,tide,uk,fintech,"16,136,633",581,2016
170,https://www.eurotopbrand.com,euro top brand,italy,retail,"13,888,900",1,2017
171,https://www.happybrush.de,happybrush,germany,health,"5,903,800",12,2016
172,https://www.huma.com,huma therapeutics,uk,health,"6,177,442",101,2011
173,https://www.kupela.fr,kupela,france,food & beverage,7.4,5,2011
174,https://www.enens.fr/,enens,france,energy,100.98,2,2015
175,https://fundingsocieties.com/,funding societies,singapore,fintech,16.29,353,2015
176,https://www.foreseepharma.com/,foresee pharmaceuticals ,taiwan,pharmaceuticals,7.79,not found,2013
177,https://missamara.com/,miss amara,hong kong,ecommerce,11.26,54,2014
178,https://playground.xyz/,playground xyz,australia,technology,18.21,33,2015
179,https://www.nium.com/,nium,singapore,fintech,7.32,334,2014
180,https://www.bold.co.uk/,bold security group,uk,support services,"6,238,378",26,2011
181,https://www.playmagnusgroup.com/,play magnus group,norway,games industry,"6,461,790",140,2013
182,https://www.mews.com,mews systems,netherlands,technology,"22,386,000",400,2012
183,https://www.junglecreations.com,jungle creations,united kingdom,media,11.7,110,2014
184,https://qred.com/en-se/,qred företagslån*,sweden,fintech,13.65,26,2015
185,https://www.smartworksoffice.com/,smartworks coworking spaces,india,property,42.93,309,2016
186,https://incomlend.com/,incomlend,singapore,fintech,2.73,37,2016
187,https://gatestokyo.co.jp/,gates,japan,property,88.58,90,2012
188,https://www.curio.co/,curio group,australia,education,4.55,75,2016
189,http://apollotricoat.com/,apollo tricoat tubes,india,industrial goods,94.35,206,1983
190,https://www.sqreemtech.com/,sqreem technologies,singapore,technology,5.57,101,2010
191,https://bluewhale.co.uk/,blue whale growth fund,uk,financial services,"5,189,391",7,2016
192,https://www.kazidomi.com/en/,kazidomi,belgium,ecommerce,"8,042,499",65,2016
193,https://www.bonmea.com,bonmea,germany,retail,"7,700,000",4,2015
194,https://www.fiducim.fr,fiducim,france,property,8.3,8,2013
195,https://it.mukako.com/,mamma 2.0,italy,ecommerce,7.21,19,2014
