,name,market_cap,country,share_price,change_1_day,change_1_year,categories,company_code,earnings,revenue,shares,employees
0,Apple,$2.351 T,USA,$147.81,-0.34%,-9.74%,"['Tech', 'Software', 'Dow jones', 'Tech Hardware', 'Electronics']",,,,,
1,Bristol-myers Squibb,$172.49 B,USA,$81.13,0.31%,46.42%,"['Pharmaceuticals', 'Biotech']",,,,,
2,Wells Fargo,$175.05 B,USA,$45.94,-1.98%,-6.07%,"['Banks', 'Financial services']",,,,,
3,Nike,$175.54 B,USA,$112.20,1.29%,-34.00%,"['Sports goods', 'Footwear', 'Dow jones', 'Clothing']",,,,,
4,Walt Disney,$177.08 B,USA,$99.43,0.85%,-32.45%,"['Entertainment', 'Dow jones']",,,,,
5,Abbott Laboratories,$188.46 B,USA,$108.09,0.15%,-15.80%,['Medical devices'],,,,,
6,Accenture,$189.25 B,Ireland,$300.13,-0.89%,-17.84%,['Professional services'],,,,,
7,T-mobile Us,$189.62 B,USA,$152.41,0.40%,38.10%,['Telecommunication'],,,,,
8,Novartis,$194.41 B,Switzerland,$89.99,0.19%,12.56%,"['Pharmaceuticals', 'Biotech']",,,,,
9,Toyota,$199.92 B,Japan,$146.53,-0.77%,-20.00%,"['Automakers', 'Manufacturing']",,,,,
10,Danaher,$199.62 B,USA,$274.23,-0.11%,-13.23%,['Conglomerate'],,,,,
11,Mcdonald,$200.24 B,USA,$273.40,0.00%,9.89%,"['Restaurant chains', 'Dow jones', 'Food']",,,,,
12,Icbc,$201.96 B,China,$0.49,-2.30%,-10.91%,"['Banks', 'Financial services']",,,,,
13,L'oréal,$204.92 B,France,$379.90,0.66%,-15.71%,"['Consumer goods', 'CAC 40', 'Cosmetics and Beauty']",,,,,
14,Cisco,$204.17 B,USA,$49.70,-0.54%,-11.49%,"['Tech', 'Electronics', 'Networking hardware', 'Dow jones', 'Telecommunications equipment', 'Tech Hardware']",,,,,
15,Shell,$206.97 B,UK,$57.72,-0.57%,31.57%,"['Oil&Gas', 'Energy']",,,,,
16,Costco,$218.88 B,USA,$494.53,-1.85%,-5.90%,"['Retail', 'Supermarket Chains']",,,,,
17,Astrazeneca,$213.83 B,UK,$68.47,0.19%,24.97%,"['Pharmaceuticals', 'Biotech']",,,,,
18,Thermo Fisher Scientific,$220.80 B,USA,$563.00,-0.28%,-10.29%,"['Scientific & Technical Instruments', 'Diagnostics and Testing', 'Biotech']",,,,,
19,Broadcom,$219.02 B,USA,$540.80,-1.81%,-2.11%,"['Semiconductors', 'Tech']",,,,,
20,Reliance Industries,$226.23 B,India,$33.44,-0.04%,1.03%,['Conglomerate'],,,,,
21,Oracle,$224.72 B,USA,$83.35,-0.90%,-7.38%,"['Tech', 'Software']",,,,,
22,Asml,$247.88 B,Netherlands,$605.71,-0.91%,-23.27%,"['Semiconductors', 'Tech', 'Tech Hardware']",,,,,
23,Alibaba,$240.69 B,China,$90.06,4.79%,-26.18%,"['E-Commerce', 'Tech', 'Internet', 'Retail']",,,,,
24,Merck,$278.99 B,USA,$110.04,0.22%,48.92%,"['Pharmaceuticals', 'Dow jones', 'Biotech']",,,,,
25,Coca-cola,$278.28 B,USA,$64.35,0.88%,21.25%,"['Beverages', 'Dow jones']",,,,,
26,Roche,$270.73 B,Switzerland,$329.15,-0.56%,-16.63%,"['Pharmaceuticals', 'Biotech']",,,,,
27,Novo Nordisk,$285.74 B,Denmark,$126.90,0.61%,19.00%,"['Pharmaceuticals', 'Biotech']",,,,,
28,Abbvie,$289.42 B,USA,$163.66,1.26%,40.04%,"['Biotech', 'Pharmaceuticals']",,,,,
29,Pfizer,$285.77 B,USA,$50.91,-0.33%,-4.02%,"['Pharmaceuticals', 'Biotech']",,,,,
30,Kweichow Moutai,$292.41 B,China,$232.78,0.19%,-23.36%,"['Alcoholic beverages', 'Beverages']",,,,,
31,Bank Of America,$289.44 B,USA,$36.08,-1.29%,-19.63%,"['Banks', 'Financial services']",,,,,
32,Nestlé,$331.82 B,Switzerland,$120.66,-0.63%,-5.70%,['Food'],,,,,
33,Meta Platforms (facebook),$327.43 B,USA,$123.49,2.53%,-60.21%,"['Tech', 'Internet']",,,,,
34,Samsung,$312.57 B,South Korea,$46.54,-3.51%,-27.73%,"['Tech', 'Electronics', 'Tech Hardware', 'Manufacturing', 'Semiconductors']",,,,,
35,Home Depot,$334.28 B,USA,$327.99,0.28%,-19.56%,"['Retail', 'Dow jones']",,,,,
36,Chevron,$350.04 B,USA,$181.03,-0.80%,57.23%,"['Oil&Gas', 'Dow jones', 'Energy']",,,,,
37,Mastercard,$346.18 B,USA,$360.06,-0.21%,12.45%,['Financial services'],,,,,
38,Procter & Gamble,$356.90 B,USA,$150.61,0.91%,2.27%,"['Dow jones', 'Consumer goods']",,,,,
39,Eli Lilly,$356.08 B,USA,$374.76,1.20%,51.19%,"['Pharmaceuticals', 'Biotech']",,,,,
40,Tencent,$378.34 B,China,$39.29,3.69%,-34.20%,"['Tech', 'Internet', 'Video games', 'Esports']",,,,,
41,Lvmh,$376.99 B,France,$753.26,-0.79%,-3.08%,"['Luxury goods', 'CAC 40', 'Clothing']",,,,,
42,Walmart,$415.87 B,USA,$153.22,-0.10%,13.10%,"['Retail', 'Dow jones', 'Supermarket Chains']",,,,,
43,Jpmorgan Chase,$396.45 B,USA,$135.16,-0.79%,-16.16%,"['Banks', 'Financial services', 'Dow jones']",,,,,
44,Nvidia,$420.54 B,USA,$168.76,-1.51%,-47.47%,"['Tech', 'Semiconductors', 'Electronics', 'Tech Hardware', 'Autonomous driving']",,,,,
45,Tsmc,$422.66 B,Taiwan,$81.50,-1.43%,-33.03%,"['Semiconductors', 'Tech', 'Manufacturing', 'Tech Hardware']",,,,,
46,Exxon Mobil,$452.43 B,USA,$109.86,-0.85%,79.28%,"['Oil&Gas', 'Energy']",,,,,
47,Visa,$460.99 B,USA,$217.66,0.30%,9.77%,"['Financial services', 'Dow jones']",,,,,
48,Johnson & Johnson,$467.67 B,USA,$178.88,0.08%,13.87%,"['Pharmaceuticals', 'Dow jones', 'Biotech']",,,,,
49,Tesla,$606.20 B,USA,$194.86,0.08%,-46.10%,"['Automakers', 'Tech', 'Electric Vehicles', 'Bitcoin', 'Manufacturing', 'EV charging', 'Autonomous driving']",,,,,
50,Unitedhealth,$500.96 B,USA,$536.16,0.17%,20.21%,"['Healthcare', 'Insurance', 'Dow jones']",,,,,
51,Berkshire Hathaway,$696.53 B,USA,$316.15,0.10%,13.28%,['Investment'],,,,,
52,Amazon,$960.28 B,USA,$94.13,-1.43%,-45.23%,"['E-Commerce', 'Internet', 'Tech', 'Retail']",,,,,
53,Microsoft,$1.901 T,USA,$255.02,0.13%,-22.60%,"['Software', 'Tech', 'Dow jones', 'Video games']",,,,,
54,Alphabet (google),$1.303 T,USA,$100.83,-0.44%,-29.87%,"['Internet', 'Tech', 'Software', 'Autonomous driving']",,,,,
55,Saudi Aramco,$1.938 T,Saudi Arabia,$8.81,-1.19%,-5.57%,"['Energy', 'Oil&Gas']",,,,,
56,Toronto Dominion Bank,$125.25 B,Canada,$68.59,0.32%,-8.94%,"['Banks', 'Financial services']",,,,,
57,Hdfc Bank,$126.75 B,India,$68.20,-1.94%,1.55%,"['Banks', 'Financial services']",,,,,
58,Elevance Health,$125.66 B,USA,$523.60,-0.07%,30.99%,"['Healthcare', 'Insurance']",,,,,
59,Goldman Sachs,$128.87 B,USA,$380.58,-0.84%,-1.80%,"['Banks', 'Dow jones', 'Financial services']",,,,,
60,Petrochina,$129.63 B,China,$0.74,0.19%,-3.90%,"['Oil&Gas', 'Energy']",,,,,
61,Lockheed Martin,$130.04 B,USA,$496.23,2.59%,50.13%,"['Aerospace', 'Defense contractors', 'Aircraft manufacturers', 'Manufacturing']",,,,,
62,Lowe's Companies,$129.91 B,USA,$214.84,-0.30%,-14.20%,['Retail'],,,,,
63,Prosus,$131.50 B,Netherlands,$65.60,0.57%,-19.84%,['Investment'],,,,,
64,Unilever,$131.15 B,UK,$51.50,0.68%,0.12%,"['Food', 'Consumer goods']",,,,,
65,Union Pacific Corporation,$132.01 B,USA,$214.73,-0.56%,-10.56%,"['Railways', 'Transportation', 'Infrastructure']",,,,,
66,Ibm,$133.25 B,USA,$148.67,-0.33%,27.18%,"['Tech', 'Software', 'Dow jones']",,,,,
67,Meituan,$133.48 B,China,$21.57,3.07%,-32.17%,"['Internet', 'Tech', 'E-Commerce']",,,,,
68,Sap,$133.26 B,Germany,$112.03,0.02%,-13.94%,"['Tech', 'Software', 'DAX']",,,,,
69,Cvs Health,$134.78 B,USA,$102.58,0.91%,13.99%,"['Healthcare', 'Pharmaceuticals', 'Drugstore', 'Retail']",,,,,
70,Deere & Company,$134.49 B,USA,$445.61,0.86%,27.09%,"['Machinery manufacturing', 'Manufacturing']",,,,,
71,Dior,$135.84 B,France,$751.90,-0.14%,-1.01%,"['Luxury goods', 'Clothing']",,,,,
72,At&t,$135.55 B,USA,$19.02,-0.89%,-17.48%,['Telecommunication'],,,,,
73,Royal Bank Of Canada,$139.63 B,Canada,$99.64,-0.62%,-0.46%,"['Banks', 'Financial services']",,,,,
74,Catl,$136.36 B,China,$55.83,-0.85%,-48.33%,"['Batteries', 'Electricity']",,,,,
75,Qualcomm,$140.86 B,USA,$125.66,-0.91%,-29.02%,"['Tech', 'Semiconductors', 'Tech Hardware']",,,,,
76,Netflix,$142.58 B,USA,$320.41,1.09%,-48.03%,"['Entertainment', 'Internet', 'Tech']",,,,,
77,Agricultural Bank Of China,$140.40 B,China,$0.41,0.00%,-10.87%,"['Banks', 'Financial services']",,,,,
78,Salesforce,$144.55 B,USA,$144.56,-1.66%,-44.66%,"['Software', 'Dow jones', 'Tech']",,,,,
79,Honeywell,$147.29 B,USA,$219.08,0.78%,7.39%,"['Dow jones', 'Aerospace', 'Defense contractors']",,,,,
80,Raytheon Technologies,$148.49 B,USA,$101.01,1.52%,23.70%,"['Aerospace', 'Defense contractors']",,,,,
81,China Mobile,$149.18 B,China,$6.59,-0.29%,10.02%,['Telecommunication'],,,,,
82,Totalenergies,$151.61 B,France,$60.61,-0.09%,26.01%,"['Oil&Gas', 'Energy', 'CAC 40']",,,,,
83,Conocophillips,$152.24 B,USA,$122.18,-0.72%,71.46%,"['Oil&Gas', 'Energy']",,,,,
84,China Construction Bank,$153.33 B,China,$0.78,-0.55%,-14.29%,"['Banks', 'Financial services']",,,,,
85,Amgen,$152.34 B,USA,$285.51,-0.15%,41.92%,"['Pharmaceuticals', 'Dow jones', 'Biotech']",,,,,
86,Tata Consultancy Services,$154.57 B,India,$42.24,-1.05%,-13.01%,"['IT services', 'Professional services']",,,,,
87,Charles Schwab,$153.93 B,USA,$82.46,0.89%,2.92%,"['Financial services', 'Banks']",,,,,
88,Adobe,$158.77 B,USA,$341.53,-0.75%,-49.17%,"['Software', 'Tech']",,,,,
89,Comcast,$155.03 B,USA,$35.86,-1.16%,-30.37%,"['Telecommunication', 'Media/Press', 'Entertainment']",,,,,
90,Morgan Stanley,$155.65 B,USA,$92.10,-0.97%,-6.84%,"['Banks', 'Financial services', 'Investment']",,,,,
91,Bhp Group,$160.50 B,Australia,$63.43,0.65%,10.01%,['Mining'],,,,,
92,Verizon,$160.34 B,USA,$38.18,-0.39%,-24.74%,"['Telecommunication', 'Dow jones']",,,,,
93,Texas Instruments,$161.23 B,USA,$177.66,0.09%,-8.22%,"['Semiconductors', 'Tech', 'Tech Hardware']",,,,,
94,Philip Morris,$161.68 B,USA,$104.30,1.80%,18.74%,['Tobacco'],,,,,
95,Linde,$166.77 B,UK,$337.35,0.03%,4.12%,"['DAX', 'Chemicals']",,,,,
96,United Parcel Service,$163.80 B,USA,$189.39,-0.42%,-5.26%,"['Courier', 'Transportation']",,,,,
97,Hermès,$167.38 B,France,"$1,601",-0.78%,-12.52%,"['Luxury goods', 'CAC 40']",,,,,
98,Nextera Energy,$169.30 B,USA,$85.20,0.44%,-3.86%,"['Energy', 'Electricity', 'Utility companies', 'Renewable energy']",,,,,
99,Volkswagen,$87.16 B,Germany,$146.40,-0.26%,-22.35%,"['Automakers', 'DAX', 'Manufacturing']",,,,,
100,Cm Bank,$123.17 B,China,$4.94,-1.41%,-39.24%,"['Banks', 'Financial services']",,,,,
101,Glencore,$88.10 B,Switzerland,$6.84,0.37%,45.53%,"['Mining', 'Coal Mining', 'Energy']",,,,,
102,Canadian National Railway,$87.19 B,Canada,$127.83,-0.49%,-0.90%,"['Railways', 'Transportation']",,,,,
103,Wuliangye Yibin,$90.17 B,China,$23.23,-0.93%,-33.59%,"['Beverages', 'Alcoholic beverages']",,,,,
104,Chubb,$90.96 B,Switzerland,$219.16,0.38%,20.18%,['Insurance'],,,,,
105,Applied Materials,$91.80 B,USA,$106.71,-0.28%,-27.16%,"['Semiconductors', 'Tech', 'Tech Hardware']",,,,,
106,Citigroup,$91.49 B,USA,$47.24,-1.13%,-25.97%,"['Banks', 'Financial services']",,,,,
107,Stryker Corporation,$92.00 B,USA,$243.11,0.97%,-1.73%,['Medical devices'],,,,,
108,Mondelez,$93.28 B,USA,$68.31,0.32%,14.88%,['Food'],,,,,
109,Tjx Companies,$93.10 B,USA,$80.19,0.56%,14.15%,"['Retail', 'Clothing']",,,,,
110,Airbus,$92.04 B,Netherlands,$116.87,0.76%,2.12%,"['Aircraft manufacturers', 'Aerospace', 'CAC 40', 'Manufacturing', 'DAX']",,,,,
111,General Electric,$94.93 B,USA,$86.88,1.90%,-8.77%,['Conglomerate'],,,,,
112,Ntt (nippon Telegraph & Telephone),$94.57 B,Japan,$27.25,-2.15%,0.37%,['Telecommunication'],,,,,
113,British American Tobacco,$94.99 B,UK,$42.31,0.98%,24.44%,['Tobacco'],,,,,
114,Byd,$95.45 B,China,$37.34,-1.72%,-23.01%,"['Automakers', 'Manufacturing']",,,,,
115,Csl,$98.93 B,Australia,$205.17,1.08%,-4.66%,"['Biotech', 'Pharmaceuticals']",,,,,
116,Intuitive Surgical,$96.20 B,USA,$272.25,-0.82%,-16.82%,['Medical devices'],,,,,
117,American Tower,$102.13 B,USA,$219.37,-0.87%,-17.60%,"['Telecommunication', 'Real estate', 'REITs', 'Infrastructure']",,,,,
118,Cigna,$100.03 B,USA,$327.20,1.16%,65.43%,['Insurance'],,,,,
119,Porsche,$102.65 B,Germany,$112.68,-0.60%,,"['Automakers', 'Manufacturing']",,,,,
120,Keyence,$102.68 B,Japan,$423.40,-2.64%,-32.65%,"['Tech Hardware', 'Tech', 'Scientific & Technical Instruments']",,,,,
121,Sony,$103.02 B,Japan,$82.79,-1.37%,-31.10%,"['Video games', 'Electronics', 'Tech', 'Entertainment', 'Tech Hardware']",,,,,
122,Deutsche Telekom,$102.87 B,Germany,$20.69,-0.11%,17.29%,"['Telecommunication', 'DAX']",,,,,
123,Medtronic,$105.90 B,Ireland,$79.62,0.47%,-25.78%,['Medical devices'],,,,,
124,Lg Energy Solution,$105.29 B,South Korea,$449.97,-0.17%,,"['Batteries', 'Electricity', 'Energy']",,,,,
125,Jingdong Mall,$105.71 B,China,$58.64,5.00%,-30.57%,"['E-Commerce', 'Internet', 'Retail', 'Tech']",,,,,
126,Bp,$107.07 B,UK,$35.36,-1.01%,30.67%,"['Oil&Gas', 'Energy']",,,,,
127,Diageo,$108.84 B,UK,$191.39,0.60%,-6.75%,"['Alcoholic beverages', 'Beverages']",,,,,
128,Blackrock,$107.08 B,USA,$712.98,-1.27%,-22.41%,['Investment'],,,,,
129,Prologis,$107.94 B,USA,$116.94,-0.14%,-24.27%,"['Real estate', 'Investment', 'REITs']",,,,,
130,Boeing,$108.98 B,USA,$182.87,4.03%,-9.64%,"['Aircraft manufacturers', 'Aerospace', 'Dow jones', 'Manufacturing']",,,,,
131,Pinduoduo,$109.16 B,China,$86.34,3.10%,45.65%,"['E-Commerce', 'Internet', 'Tech']",,,,,
132,Gilead Sciences,$111.66 B,USA,$89.03,1.29%,27.79%,"['Pharmaceuticals', 'Biotech']",,,,,
133,Automatic Data Processing,$111.96 B,USA,$269.90,0.73%,16.12%,"['Software', 'IT services', 'Professional services', 'Tech']",,,,,
134,Rio Tinto,$113.15 B,UK,$69.82,0.93%,8.87%,['Mining'],,,,,
135,Siemens,$113.81 B,Germany,$141.85,0.78%,-15.21%,"['Engineering', 'DAX']",,,,,
136,Sanofi,$114.09 B,France,$45.01,-1.87%,-5.62%,"['CAC 40', 'Pharmaceuticals', 'Biotech']",,,,,
137,Ping An Insurance,$115.00 B,China,$6.36,-0.47%,-17.19%,['Insurance'],,,,,
138,Intuit,$114.59 B,USA,$407.92,-1.96%,-39.31%,"['Software', 'Tech']",,,,,
139,China Life Insurance,$115.97 B,China,$5.03,-0.79%,9.83%,['Insurance'],,,,,
140,Equinor,$115.89 B,Norway,$36.87,-3.25%,44.82%,"['Energy', 'Oil&Gas', 'Electricity']",,,,,
141,American Express,$117.12 B,USA,$156.75,-0.48%,-0.01%,"['Dow jones', 'Financial services']",,,,,
142,S&p Global,$117.22 B,USA,$359.80,-0.77%,-21.95%,['Financial services'],,,,,
143,Anheuser-busch Inbev,$120.11 B,Belgium,$60.35,1.04%,7.00%,"['Alcoholic beverages', 'Beverages']",,,,,
144,Aia,$120.50 B,Hong Kong,$10.23,-0.87%,-3.76%,['Insurance'],,,,,
145,Starbucks,$120.57 B,USA,$105.05,1.63%,-5.72%,['Beverages'],,,,,
146,Intel,$121.37 B,USA,$29.41,-1.41%,-40.59%,"['Semiconductors', 'Tech', 'Dow jones', 'Tech Hardware', 'Manufacturing']",,,,,
147,Amd,$120.89 B,USA,$74.98,-3.23%,-50.24%,"['Tech', 'Semiconductors', 'Electronics', 'Tech Hardware']",,,,,
148,Hsbc,$122.12 B,UK,$30.58,0.10%,6.70%,['Banks'],,,,,
149,Caterpillar,$122.88 B,USA,$236.13,0.19%,19.99%,"['Dow jones', 'Machinery manufacturing', 'Manufacturing']",,,,,
150,Bank Of China,$123.07 B,China,$0.44,0.00%,-8.33%,"['Banks', 'Financial services']",,,,,
151,Commonwealth Bank,$122.92 B,Australia,$72.69,-1.36%,6.41%,"['Banks', 'Financial services']",,,,,
152,Target,$75.56 B,USA,$164.16,-0.53%,-33.13%,"['Retail', 'Supermarket Chains']",,,,,
153,Duke Energy,$76.63 B,USA,$99.52,-0.79%,1.92%,"['Energy', 'Electricity', 'Oil&Gas', 'Utility companies']",,,,,
154,Canadian Pacific Railway,$77.08 B,Canada,$82.35,-0.19%,17.96%,"['Railways', 'Transportation', 'Infrastructure']",,,,,
155,Progressive,$77.51 B,USA,$132.51,0.95%,38.03%,['Insurance'],,,,,
156,Vale,$77.98 B,Brazil,$16.72,0.48%,28.71%,['Mining'],,,,,
157,Air Liquide,$78.78 B,France,$147.96,0.70%,-10.41%,"['CAC 40', 'Chemicals']",,,,,
158,China Shenhua Energy,$79.02 B,China,$4.19,-1.57%,28.92%,"['Mining', 'Coal Mining', 'Energy']",,,,,
159,Booking Holdings (booking.com),$80.89 B,USA,"$2,085",1.22%,-3.98%,"['Internet', 'Travel', 'Online Travel', 'Tech']",,,,,
160,Icici Bank,$80.89 B,India,$23.20,0.00%,24.13%,"['Banks', 'Financial services']",,,,,
161,Merck Kgaa,$81.20 B,Germany,$186.76,0.45%,-22.36%,"['Pharmaceuticals', 'Chemicals', 'DAX']",,,,,
162,Vertex Pharmaceuticals,$82.49 B,USA,$321.37,0.19%,57.19%,"['Pharmaceuticals', 'Biotech']",,,,,
163,Eog Resources,$81.62 B,USA,$138.97,-1.12%,60.55%,"['Energy', 'Oil&Gas']",,,,,
164,Inditex,$82.91 B,Spain,$13.32,0.83%,-17.37%,"['Clothing', 'Retail']",,,,,
165,Enbridge,$82.78 B,Canada,$40.61,-0.85%,8.61%,"['Oil&Gas', 'Energy']",,,,,
166,Servicenow,$83.39 B,USA,$412.87,-2.99%,-33.77%,"['Software', 'Internet', 'Tech']",,,,,
167,Regeneron Pharmaceuticals,$83.46 B,USA,$766.39,0.68%,20.88%,"['Biotech', 'Pharmaceuticals']",,,,,
168,Northrop Grumman,$83.97 B,USA,$545.60,2.89%,54.75%,"['Aerospace', 'Defense contractors']",,,,,
169,Schneider Electric,$84.02 B,France,$147.94,-0.45%,-18.89%,"['CAC 40', 'Tech', 'Professional services', 'Software']",,,,,
170,Essilorluxottica,$84.69 B,France,$190.13,1.43%,-5.39%,"['CAC 40', 'Glasses and contact lenses', 'Luxury goods']",,,,,
171,Paypal,$85.11 B,USA,$74.66,-4.93%,-60.11%,"['Financial services', 'Tech', 'Internet', 'Bitcoin']",,,,,
172,Al Rajhi Bank,$85.28 B,Saudi Arabia,$21.32,-0.50%,-40.11%,"['Banks', 'Financial services']",,,,,
173,Estee Lauder,$85.28 B,USA,$239.01,3.04%,-28.58%,"['Cosmetics and Beauty', 'Consumer goods']",,,,,
174,Altria Group,$85.36 B,USA,$47.63,1.32%,10.23%,['Tobacco'],,,,,
175,Analog Devices,$85.88 B,USA,$168.63,-1.22%,-6.64%,"['Semiconductors', 'Tech', 'Manufacturing']",,,,,
176,Infosys,$86.00 B,India,$20.19,-1.56%,-13.87%,"['Professional services', 'IT services']",,,,,
177,Allianz,$86.06 B,Germany,$213.41,-0.54%,-4.44%,"['Insurance', 'DAX']",,,,,
178,Marsh & Mclennan Companies,$86.26 B,USA,$173.91,0.51%,3.23%,"['Insurance', 'Professional services']",,,,,
179,Moderna,$70.05 B,USA,$182.35,0.48%,-39.52%,"['Pharmaceuticals', 'mRNA therapeutics', 'Biotech']",,,,,
180,Illinois Tool Works,$70.12 B,USA,$228.29,0.38%,-2.90%,"['Tool manufacturers', 'Manufacturing']",,,,,
181,3m,$70.19 B,USA,$126.99,0.79%,-25.41%,"['Dow jones', 'Gloves & PPE']",,,,,
182,General Dynamics,$70.21 B,USA,$255.74,1.38%,31.50%,['Defense contractors'],,,,,
183,Air Products And Chemicals,$70.65 B,USA,$318.44,2.05%,10.79%,['Chemicals'],,,,,
184,Bank Central Asia,$71.13 B,Indonesia,$0.58,-0.73%,11.54%,"['Banks', 'Financial services']",,,,,
185,Brookfield Asset Management,$71.48 B,Canada,$45.13,-3.42%,-20.98%,"['Investment', 'Financial services']",,,,,
186,Zurich Insurance Group,$71.25 B,Switzerland,$480.52,-0.82%,15.17%,['Insurance'],,,,,
187,Becton Dickinson,$71.51 B,USA,$252.38,0.62%,4.32%,['Medical devices'],,,,,
188,Glaxosmithkline,$71.89 B,UK,$35.35,0.91%,-14.76%,"['Biotech', 'Pharmaceuticals']",,,,,
189,Kering,$72.18 B,France,$589.41,-1.30%,-24.92%,"['CAC 40', 'Luxury goods']",,,,,
190,Mercedes-benz,$72.20 B,Germany,$67.49,-0.11%,-16.75%,"['Automakers', 'Manufacturing', 'DAX', 'Autonomous driving']",,,,,
191,Sinopec,$73.00 B,China,$0.64,-0.22%,-3.03%,"['Oil&Gas', 'Energy']",,,,,
192,Zoetis,$73.36 B,USA,$157.42,0.50%,-29.47%,"['Pharmaceuticals', 'Biotech']",,,,,
193,Southern Company,$73.31 B,USA,$67.34,-0.56%,8.60%,"['Energy', 'Oil&Gas', 'Electricity', 'Utility companies']",,,,,
194,Gazprom,$73.26 B,Russia,$3.10,0.04%,-34.32%,"['Oil&Gas', 'Energy']",,,,,
195,Petrobras,$74.35 B,Brazil,$11.40,1.06%,8.88%,"['Oil&Gas', 'Energy']",,,,,
196,Compagnie Financière Richemont,$74.37 B,Switzerland,$131.07,-0.20%,-11.28%,['Luxury goods'],,,,,
197,Schlumberger,$74.85 B,USA,$52.79,1.99%,80.05%,"['Oil&Gas', 'Energy']",,,,,
198,Hindustan Unilever,$75.47 B,India,$32.12,-1.79%,1.10%,"['Consumer goods', 'Food']",,,,,
199,Iberdrola,$69.84 B,Spain,$11.43,-0.60%,4.86%,"['Electricity', 'Energy']",,,,,
200,Waste Management,$69.70 B,USA,$169.81,1.19%,3.71%,['Waste & Recycling'],,,,,
201,Freeport-mcmoran,$57.48 B,USA,$40.22,1.64%,8.41%,['Mining'],,,,,
202,Uber,$57.33 B,USA,$28.75,1.45%,-24.58%,"['Ridesharing', 'Internet', 'Tech', 'Transportation']",,,,,
203,China Tourism Group Duty Free,$58.31 B,China,$28.41,-2.25%,-10.38%,['Retail'],,,,,
204,Investor Ab,$58.36 B,Sweden,$19.15,0.08%,-19.44%,"['Investment', 'Conglomerate']",,,,,
205,Vinci,$58.33 B,France,$103.46,-0.01%,5.37%,"['CAC 40', 'Construction']",,,,,
206,Kkr & Co.,$58.64 B,USA,$52.25,-0.57%,-30.78%,['Investment'],,,,,
207,Ubs,$58.79 B,Switzerland,$18.46,-0.16%,4.12%,"['Banks', 'Financial services']",,,,,
208,London Stock Exchange,$59.00 B,UK,$106.36,4.66%,18.64%,"['Financial services', 'Stock exchanges', 'Stock/Crypto exchanges']",,,,,
209,Norfolk Southern,$58.82 B,USA,$254.07,-0.89%,-8.88%,"['Railways', 'Infrastructure']",,,,,
210,Bmw,$59.09 B,Germany,$89.79,0.14%,-10.30%,"['Automakers', 'DAX', 'Manufacturing']",,,,,
211,Activision Blizzard,$59.29 B,USA,$75.76,0.76%,32.24%,"['Video games', 'Esports', 'Entertainment', 'Tech']",,,,,
212,Abb,$59.69 B,Switzerland,$31.63,0.22%,-10.40%,['Engineering'],,,,,
213,Housing Development Finance Corporation,$59.64 B,India,$32.74,-1.32%,-12.53%,"['Financial services', 'Banks']",,,,,
214,Micron Technology,$59.44 B,USA,$54.68,-1.46%,-34.03%,"['Tech', 'Tech Hardware', 'Semiconductors']",,,,,
215,Truist Financial,$59.78 B,USA,$45.06,-2.51%,-25.37%,"['Banks', 'Financial services']",,,,,
216,The Saudi National Bank,$60.01 B,Saudi Arabia,$13.52,-1.17%,-18.94%,"['Banks', 'Financial services']",,,,,
217,Atlas Copco,$60.53 B,Sweden,$11.53,0.66%,-11.72%,['Manufacturing'],,,,,
218,Metlife,$60.34 B,USA,$76.91,0.34%,29.63%,['Insurance'],,,,,
219,Intercontinental Exchange,$61.02 B,USA,$109.25,-0.26%,-16.74%,"['Stock exchanges', 'Financial services', 'Stock/Crypto exchanges']",,,,,
220,Crown Castle,$60.70 B,USA,$140.17,-1.09%,-24.49%,"['Real estate', 'Investment', 'REITs', 'Telecommunication', 'Infrastructure']",,,,,
221,Charter Communications,$61.13 B,USA,$392.69,0.91%,-41.42%,['Telecommunication'],,,,,
222,Siemens Healthineers,$61.19 B,Germany,$54.32,1.78%,-25.04%,"['Healthcare', 'DAX']",,,,,
223,Blackstone Group,$61.48 B,USA,$85.16,0.14%,-39.71%,['Investment'],,,,,
224,Scotiabank,$61.41 B,Canada,$51.21,-1.95%,-22.53%,"['Banks', 'Financial services']",,,,,
225,Fast Retailing,$61.92 B,Japan,$605.94,-1.72%,1.88%,"['Clothing', 'Retail']",,,,,
226,Bharti Airtel,$61.78 B,India,$10.42,0.01%,6.65%,['Telecommunication'],,,,,
227,America Movil,$62.28 B,Mexico,$18.90,-3.28%,3.39%,['Telecommunication'],,,,,
228,Occidental Petroleum,$61.99 B,USA,$68.21,-0.86%,130.05%,"['Oil&Gas', 'Energy']",,,,,
229,Verbund Ag,$62.70 B,,$90.04,-1.44%,-12.30%,"['Electricity', 'Utility companies', 'Energy']",,,,,
230,Daiichi Sankyō,$62.88 B,Japan,$32.81,-4.18%,30.46%,"['Pharmaceuticals', 'Biotech']",,,,,
231,Lam Research,$62.41 B,USA,$457.67,-1.18%,-30.82%,"['Semiconductors', 'Tech', 'Tech Hardware']",,,,,
232,Aon,$63.45 B,UK,$306.78,1.22%,3.19%,"['Professional services', 'Insurance']",,,,,
233,Nongfu Spring,$63.67 B,China,$5.66,-2.11%,-5.35%,['Beverages'],,,,,
234,Cnooc,$63.67 B,China,$1.28,-1.29%,28.00%,"['Oil&Gas', 'Energy']",,,,,
