,name,market_cap,country,share_price,change_1_day,change_1_year,categories,company_code,earnings,revenue,shares,employees
40984,NuCana,$37.6 M,UK,$0.72,,,,NCNA,,,,
40985,Fragbite Group,$37.28 M,Sweden,$0.41,,,,FRAG.ST,,,,
40986,Corvus Pharmaceuticals,$37.25 M,USA,$0.80,,,,CRVS,,,,
40987,Nymox Pharmaceutical,$37.12 M,hamas,$0.41,,,,NYMX,,,,
40988,Solitario Zinc,$36.97 M,USA,$0.57,,,,XPL,,,,
40989,Cryo-Cell,$36.8 M,USA,$4.32,,,,CCEL,,,,
40990,U.S. Gold Corp,$36.56 M,USA,$4.38,,,,USAU,,,,
40991,MAIA Biotechnology,$36.44 M,USA,$3.33,,,,MAIA,,,,
40992,Audacy,$36.32 M,USA,$0.25,,,,AUD,,,,
40993,Foresight Autonomous Holdings,$36.27 M,Israel,$0.53,,,,FRSX,,,,
40994,BoomBit,$36.23 M,Poland,$2.68,,,,BBT.WA,,,,
40995,Grand Twins International Cambodia,$36.09 M,Cambodia,$0.90,,,,GTI.KH,,,,
40996,AgEagle Aerial Systems,$35.96 M,USA,$0.41,,,,UAVS,,,,
40997,Palatin Technologies,$35.92 M,USA,$3.47,,,,PTN,,,,
40998,Boyaa Interactive,$35.61 M,China,$0.05000,,,,0434.HK,,,,
40999,Magic Empire Global (Giraffe Capital),$35.6 M,Hong Kong,$1.78,,,,MEGL,,,,
41000,Jounce Therapeutics,$35.56 M,USA,$0.69,,,,JNCE,,,,
41001,Vaccinex,$34.94 M,USA,$0.70,,,,VCNX,,,,
41002,AVROBIO,$34.8 M,USA,$0.80,,,,AVRO,,,,
41003,Society Pass,$34.65 M,Singapore,$1.30,,,,SOPA,,,,
41004,RealNetworks,$34.53 M,USA,$0.72,,,,RNWK,,,,
41005,CorpHousing Group,$34.48 M,USA,$1.30,,,,CHG,,,,
41006,Inuvo,$34.17 M,USA,$0.28,,,,INUV,,,,
41007,Forever Entertainment,$34.09 M,Poland,$1.12,,,,8FE.SG,,,,
41008,Monopar Therapeutics,$34.06 M,USA,$2.65,,,,MNPR,,,,
41009,Ocean Power Technologies,$33.83 M,USA,$0.61,,,,OPTT,,,,
41010,DIRTT Environmental Solutions,$33.56 M,Canada,$0.34,,,,DRTT,,,,
41011,Zion Oil & Gas,$33.39 M,USA,$0.06000,,,,ZNOG,,,,
41012,American Virtual Cloud,$33.11 M,USA,$1.02,,,,AVCT,,,,
41013,Almaden Minerals,$33.09 M,Canada,$0.24,,,,AAU,,,,
41014,UpHealth,$33.08 M,USA,$2.20,,,,UPH,,,,
41015,Microbot Medical,$32.9 M,USA,$4.17,,,,MBOT,,,,
41016,Treasure Global,$32.84 M,Malaysia,$1.90,,,,TGL,,,,
41017,Sierra Metals,$32.7 M,Canada,$0.20,,,,SMTS,,,,
41018,Rockley Photonics,$32.36 M,UK,$0.24,,,,RKLY,,,,
41019,Swvl Holdings,$32.09 M,ited Arab Emirates,$0.24,,,,SWVL,,,,
41020,Triterras,$30.6 M,Singapore,$0.40,,,,TRIRF,,,,
41021,Phoenix Motor,$30.27 M,USA,$1.50,,,,PEV,,,,
41022,Nexstim,$30.23 M,Finland,$4.50,,,,NXTMH.HE,,,,
41023,Stryve Foods,$30.05 M,USA,$0.82,,,,SNAX,,,,
41024,Document Security Systems,$30.02 M,USA,$0.22,,,,DSS,,,,
41025,Team Inc,$30.02 M,USA,$0.69,,,,TISI,,,,
41026,Spark Networks,$29.83 M,Germany,$1.14,,,,LOV,,,,
41027,LightPath Technologies,$29.79 M,USA,$1.10,,,,LPTH,,,,
41028,Silicon Studio,$29.22 M,Japan,$10.22,,,,3907.T,,,,
41029,AltPlus,$29.18 M,Japan,$1.67,,,,3672.T,,,,
41030,Salem Media Group,$29.12 M,USA,$1.07,,,,SALM,,,,
41031,Zee Learn,$28.63 M,India,$0.09000,,,,ZEELEARN.NS,,,,
41032,Neovasc,$28.62 M,Canada,$10.20,,,,NVCN,,,,
41033,Capstone Green Energy,$28.59 M,USA,$1.56,,,,CGRN,,,,
41034,Psychemedics,$28.44 M,USA,$5.04,,,,PMD,,,,
41035,Cyclerion Therapeutics,$28.27 M,USA,$0.65,,,,CYCN,,,,
41036,Zynerba Pharmaceuticals,$28.25 M,USA,$0.60,,,,ZYNE,,,,
41037,IronNet,$28.22 M,USA,$0.27,,,,IRNT,,,,
41038,Beasley Broadcast Group,$28.16 M,USA,$0.95,,,,BBGI,,,,
41039,FingerTango,$28.07 M,China,$0.01000,,,,6860.HK,,,,
41040,ToughBuilt Industries,$27.94 M,USA,$2.10,,,,TBLT,,,,
41041,Mynet,$27.9 M,Japan,$3.30,,,,3928.T,,,,
41042,TENDA,$27.86 M,Japan,$12.84,,,,4198.T,,,,
41043,Pioneer Power Solutions,$27.58 M,USA,$2.86,,,,PPSI,,,,
41044,Lumos Pharma,$27.39 M,USA,$3.27,,,,LUMO,,,,
41045,SigmaTron International,$27.32 M,USA,$4.50,,,,SGMA,,,,
41046,Trinity Place Holdings,$27.31 M,USA,$0.74,,,,TPHS,,,,
41047,Sientra,$27.28 M,USA,$0.27,,,,SIEN,,,,
41048,NantHealth,$27.18 M,USA,$0.24,,,,NH,,,,
41049,Fun Yours Technology,$26.95 M,Taiwan,$1.43,,,,6482.TWO,,,,
41050,Sporting Clube de Braga,$26.81 M,Portugal,$22.35,,,,SCB.LS,,,,
41051,Shapeways,$26.72 M,USA,$0.54,,,,SHPW,,,,
41052,Hempacco,$26.64 M,USA,$1.14,,,,HPCO,,,,
41053,Sio Gene Therapies,$26.5 M,USA,$0.36,,,,SIOX,,,,
41054,Satsuma Pharmaceuticals,$26.45 M,USA,$0.80,,,,STSA,,,,
41055,Journey Medical,$26.37 M,USA,$1.49,,,,DERM,,,,
41056,Sidus Space,$26.36 M,USA,$1.47,,,,SIDU,,,,
41057,Comstock Mining,$26.24 M,USA,$0.31,,,,LODE,,,,
41058,Rave Restaurant Group,$25.91 M,USA,$1.58,,,,RAVE,,,,
41059,SOS Limited,$25.83 M,China,$4.09,,,,SOS,,,,
41060,Athenex,$25.64 M,USA,$0.16,,,,ATNX,,,,
41061,Lannett Company,$25.58 M,USA,$0.61,,,,LCI,,,,
41062,Blue Apron Holdings,$25.46 M,USA,$0.64,,,,APRN,,,,
41063,Regulus Therapeutics,$25.26 M,USA,$1.50,,,,RGLS,,,,
41064,Harpoon Therapeutics,$25.25 M,USA,$0.76,,,,HARP,,,,
41065,Onion Global,$25.22 M,China,$0.24,,,,OG,,,,
41066,PaxMedica,$25.03 M,USA,$2.09,,,,PXMD,,,,
41067,Sphere 3D,$24.97 M,Canada,$0.36,,,,ANY,,,,
41068,VistaGen Therapeutics,$24.82 M,USA,$0.12,,,,VTGN,,,,
41069,Axel Mark,$24.72 M,Japan,$2.36,,,,3624.T,,,,
41070,electroCore,$24.61 M,USA,$0.35,,,,ECOR,,,,
41071,Quince Therapeutics,$24.46 M,USA,$0.68,,,,QNCX,,,,
41072,Cielo Waste Solutions,$24.44 M,Canada,$0.03000,,,,CMC.V,,,,
41073,Srei Infrastructure Finance,$24.36 M,India,$0.05000,,,,SREINFRA.NS,,,,
41074,Cyngn,$24.32 M,USA,$0.72,,,,CYN,,,,
41075,Boxlight,$24.09 M,USA,$0.33,,,,BOXL,,,,
41076,Hepion Pharmaceuticals,$24.01 M,USA,$0.32,,,,HEPA,,,,
41077,Polar Power,$23.95 M,USA,$1.85,,,,POLA,,,,
41078,Revlon,$23.89 M,USA,$0.44,,,,REVRQ,,,,
41079,Biofrontera,$23.76 M,USA,$0.89,,,,BFRI,,,,
41080,SeaChange,$23.7 M,USA,$0.47,,,,SEAC,,,,
41081,Stealth BioTherapeutics,$23.53 M,yman Islands,$0.32,,,,MITO,,,,
41082,Soligenix,$23.34 M,USA,$0.54,,,,SNGX,,,,
41083,Alkaline Water Company,$23.19 M,USA,$0.16,,,,WTER,,,,
41084,Mobcast,$22.83 M,Japan,$0.62,,,,3664.T,,,,
41085,Conformis,$22.55 M,USA,$3.00,,,,CFMS,,,,
41086,cbdMD,$22.47 M,USA,$0.37,,,,YCBD,,,,
41087,All in! Games,$22.34 M,Poland,$0.37,,,,ALG.WA,,,,
41088,Aprea Therapeutics,$22.21 M,USA,$0.42,,,,APRE,,,,
41089,Drive Shack,$22.17 M,USA,$0.24,,,,DS,,,,
41090,FGI Industries,$22.04 M,USA,$2.32,,,,FGI,,,,
41091,Dolphin Entertainment,$21.75 M,USA,$2.13,,,,DLPN,,,,
41092,Eterna Therapeutics,$21.58 M,USA,$4.21,,,,ERNA,,,,
41093,Can Fite Biopharma,$21.37 M,Israel,$0.74,,,,CANF,,,,
41094,NJ Holdings,$21.36 M,Japan,$4.04,,,,9421.T,,,,
41095,BIT Mining (500.com),$21.27 M,China,$0.20,,,,BTCM,,,,
41096,United Insurance Holdings,$21.22 M,USA,$0.49,,,,UIHC,,,,
41097,BioSig Technologies,$21.14 M,USA,$0.41,,,,BSGM,,,,
41098,FC Porto,$21.07 M,Portugal,$0.94,,,,FCP.LS,,,,
41099,India Globalization Capital,$20.8 M,USA,$0.39,,,,IGC,,,,
41100,Edia,$20.55 M,Japan,$3.35,,,,3935.T,,,,
41101,AgeX Therapeutics,$20.49 M,USA,$0.54,,,,AGE,,,,
41102,BiondVax,$20.36 M,Israel,$10.80,,,,BVXV,,,,
41103,Future Retail,$20.02 M,India,$0.04000,,,,FRETAIL.NS,,,,
41104,Oragenics,$19.98 M,USA,$0.17,,,,OGEN,,,,
41105,Cocrystal Pharma,$19.86 M,USA,$2.44,,,,COCP,,,,
41106,DAVIDsTEA,$19.79 M,Canada,$0.75,,,,DTEA,,,,
41107,Tonix Pharmaceuticals,$19.79 M,USA,$0.34,,,,TNXP,,,,
41108,Sonim Technologies,$19.78 M,USA,$0.48,,,,SONM,,,,
41109,Netmarble Joybomb,$19.73 M,Taiwan,$1.63,,,,6468.TWO,,,,
41110,Greenidge Generation Holdings,$19.72 M,USA,$0.44,,,,GREE,,,,
41111,Endo International,$19.4 M,Ireland,$0.08000,,,,ENDPQ,,,,
41112,Waitr Holdings,$19.34 M,USA,$0.09000,,,,WTRH,,,,
41113,WonderPlanet,$19.29 M,Japan,$8.97,,,,4199.T,,,,
41114,Missfresh,$19.24 M,China,$2.45,,,,MF,,,,
41115,Remark Holdings,$19.21 M,USA,$0.18,,,,MARK,,,,
41116,The9,$18.84 M,China,$0.80,,,,NCTY,,,,
41117,AcelRx Pharmaceuticals,$18.77 M,USA,$2.52,,,,ACRX,,,,
41118,Ekso Bionics,$18.66 M,USA,$1.42,,,,EKSO,,,,
41119,Genetic Technologies,$18.45 M,Australia,$1.13,,,,GENE,,,,
41120,Vincerx Pharma,$18.43 M,USA,$0.87,,,,VINC,,,,
41121,Aptorum Group,$18.43 M,Hong Kong,$0.52,,,,APM,,,,
41122,Marin Software,$18.37 M,USA,$1.14,,,,MRIN,,,,
41123,Shift Technologies,$18.34 M,USA,$0.21,,,,SFT,,,,
41124,Ultimate Games,$18.31 M,Poland,$3.50,,,,ULG.WA,,,,
41125,Applied DNA Sciences,$18.03 M,USA,$1.40,,,,APDN,,,,
41126,Marpai,$18 M,USA,$0.86,,,,MRAI,,,,
41127,IMV,$18 M,Canada,$2.19,,,,IMV,,,,
41128,ZK International Group,$17.93 M,China,$0.59,,,,ZKIN,,,,
