03-gren-annual_net_income_usd,04-iGMM-market_value__jan_1st_2020,00-avengers-annual_net_income_in_usd,04-iGMM-annual_net_income_in_usd,03-gren-annual_revenue_usd
0.0,doll_12.23 m,,,doll_4.67 b
doll_317.0 m,doll_4.53 m,498 million usd,317 million usd,doll_2.37 b
doll_-653.0 m,doll_22.7 m,-223 million usd,-653 million usd,doll_6.45 b
doll_629.0 m,doll_6.98 m,doll_-1.396 m,629 million usd,doll_2.15 b
doll_1.03 b,doll_9.71 m,487 million usd,"1,033 million usd",doll_11.2 b
doll_307.0 m,doll_14.58 m,307 million usd,307 million usd,doll_3.22 b
doll_487.0 m,doll_10.03 m,doll_1.033 m,487 million usd,doll_6.71 b
doll_-1396.0 m,doll_12.02 m,629 million usd,"-1,396 million usd",doll_18.37 b
doll_-223.0 m,doll_8.86 m,-653 million usd,-223 million usd,doll_1.34 b
doll_498.0 m,doll_9.72 m,317 million usd,498 million usd,doll_15.15 b
doll_-73.0 m,doll_13.62 m,-73 million usd,-73 million usd,doll_2.01 b
doll_335.0 m,doll_6.06 m,387 million usd,335 million usd,doll_5.03 b
doll_249.0 m,doll_2.93 m,doll_-1.269 m,249 million usd,doll_867.0 m
doll_-25.0 m,doll_21.44 m,235 million usd,-25 million usd,doll_35.0 m
doll_588.0 m,doll_11.14 m,-271 million usd,588 million usd,doll_2.64 b
doll_616.0 m,doll_4.15 m,616 million usd,616 million usd,doll_3.46 b
doll_-271.0 m,0,588 million usd,-271 million usd,doll_204.0 m
doll_235.0 m,doll_6.21 m,-25 million usd,235 million usd,doll_536.0 m
doll_-1269.0 m,doll_0.78 m,249 million usd,"-1,269 million usd",doll_2.53 b
doll_387.0 m,doll_9.09 m,335 million usd,387 million usd,doll_1.79 b
doll_2.67 b,doll_9.87 m,doll_2.670 m,"2,670 million usd",doll_42.96 b
0.0,0,657 million usd,,0.0
doll_-480.0 m,0,820 million usd,-480 million usd,doll_4.38 b
doll_897.0 m,doll_0.89 m,597 million usd,897 million usd,doll_686.0 m
doll_15.0 m,doll_2.35 m,577 million usd,15 million usd,doll_1.51 b
doll_-2816.0 m,doll_8.63 m,doll_-2.816 m,"-2,816 million usd",doll_3.58 b
doll_577.0 m,doll_21.63 m,15 million usd,577 million usd,doll_3.7 b
doll_597.0 m,doll_9.61 m,897 million usd,597 million usd,doll_11.63 b
doll_820.0 m,doll_9.28 m,-480 million usd,820 million usd,doll_4.6 b
doll_657.0 m,doll_9.75 m,,657 million usd,doll_2.08 b
doll_354.0 m,doll_8.68 m,354 million usd,354 million usd,doll_6.36 b
doll_282.0 m,doll_3.57 m,doll_2.988 m,282 million usd,doll_6.6 b
doll_202.0 m,0,doll_1.078 m,202 million usd,doll_1.08 b
doll_463.0 m,doll_10.07 m,doll_1.995 m,463 million usd,doll_8.36 b
doll_611.0 m,doll_11.49 m,doll_1.056 m,611 million usd,doll_3.49 b
doll_2.08 b,doll_8.49 m,doll_2.085 m,"2,085 million usd",doll_36.28 b
doll_1.06 b,doll_3.49 m,611 million usd,"1,056 million usd",doll_8.93 b
doll_2.0 b,doll_10.04 m,463 million usd,"1,995 million usd",doll_6.55 b
doll_1.08 b,doll_10.1 m,202 million usd,"1,078 million usd",doll_3.58 b
doll_2.99 b,doll_2.31 m,282 million usd,"2,988 million usd",doll_20.44 b
doll_429.0 m,doll_4.01 m,429 million usd,429 million usd,doll_12.15 b
doll_159.0 m,doll_7.78 m,770 million usd,159 million usd,doll_488.0 m
doll_418.0 m,doll_6.99 m,121 million usd,418 million usd,doll_6.28 b
doll_537.0 m,doll_9.07 m,-355 million usd,537 million usd,doll_14.84 b
doll_2.39 b,doll_13.84 m,453 million usd,"2,389 million usd",doll_2.97 b
doll_850.0 m,doll_11.81 m,850 million usd,850 million usd,doll_5.64 b
doll_453.0 m,doll_2.09 m,doll_2.389 m,453 million usd,doll_3.58 b
doll_-355.0 m,0,537 million usd,-355 million usd,doll_428.0 m
doll_121.0 m,doll_2.35 m,418 million usd,121 million usd,doll_1.39 b
doll_770.0 m,doll_9.65 m,159 million usd,770 million usd,doll_8.58 b
doll_222.0 m,doll_15.01 m,222 million usd,222 million usd,doll_4.19 b
doll_-4326.0 m,doll_15.84 m,943 million usd,"-4,326 million usd",doll_47.78 b
doll_25.0 m,doll_7.5 m,946 million usd,25 million usd,doll_1.21 b
doll_709.0 m,doll_8.96 m,doll_1.462 m,709 million usd,doll_6.23 b
doll_153.0 m,doll_11.8 m,533 million usd,153 million usd,doll_1.86 b
doll_544.0 m,doll_13.14 m,544 million usd,544 million usd,doll_10.04 b
doll_533.0 m,doll_9.22 m,153 million usd,533 million usd,doll_1.22 b
doll_1.46 b,doll_14.8 m,709 million usd,"1,462 million usd",doll_43.26 b
doll_946.0 m,doll_5.37 m,25 million usd,946 million usd,doll_3.09 b
doll_943.0 m,doll_2.56 m,doll_-4.326 m,943 million usd,doll_4.48 b
doll_1.6 b,doll_14.43 m,doll_1.604 m,"1,604 million usd",doll_80.03 b
doll_553.0 m,doll_7.73 m,-226 million usd,553 million usd,doll_3.76 b
doll_150.0 m,doll_5.73 m,104 million usd,150 million usd,doll_1.73 b
doll_135.0 m,0,373 million usd,135 million usd,doll_631.0 m
doll_512.0 m,doll_7.68 m,787 million usd,512 million usd,doll_2.25 b
doll_-164.0 m,0,-164 million usd,-164 million usd,doll_1.15 b
doll_787.0 m,0,512 million usd,787 million usd,doll_9.76 b
doll_373.0 m,doll_10.71 m,135 million usd,373 million usd,doll_2.42 b
doll_104.0 m,doll_5.46 m,150 million usd,104 million usd,doll_882.0 m
doll_-226.0 m,0,553 million usd,-226 million usd,doll_1.08 b
doll_128.0 m,doll_4.84 m,128 million usd,128 million usd,doll_670.0 m
doll_475.0 m,doll_20.51 m,978 million usd,475 million usd,doll_4.9 b
0.0,0,195 million usd,,0.0
doll_2.8 b,doll_8.21 m,126 million usd,"2,799 million usd",doll_7.71 b
doll_-288.0 m,0,128 million usd,-288 million usd,doll_378.0 m
doll_249.0 m,doll_5.06 m,249 million usd,249 million usd,doll_748.0 m
doll_128.0 m,doll_5.1 m,-288 million usd,128 million usd,doll_452.0 m
doll_126.0 m,0,doll_2.799 m,126 million usd,doll_3.14 b
doll_195.0 m,doll_1.42 m,,195 million usd,doll_780.0 m
doll_978.0 m,doll_9.65 m,475 million usd,978 million usd,doll_11.62 b
doll_674.0 m,doll_4.5 m,674 million usd,674 million usd,doll_20.07 b
doll_90.0 m,doll_6.62 m,104 million usd,90 million usd,doll_852.0 m
doll_819.0 m,doll_9.52 m,doll_1.629 m,819 million usd,doll_2.99 b
doll_483.0 m,doll_11.58 m,962 million usd,483 million usd,doll_2.87 b
doll_365.0 m,doll_9.6 m,228 million usd,365 million usd,doll_990.0 m
doll_473.0 m,doll_9.61 m,473 million usd,473 million usd,doll_5.39 b
doll_228.0 m,doll_4.61 m,365 million usd,228 million usd,doll_3.79 b
doll_962.0 m,doll_12.37 m,483 million usd,962 million usd,doll_4.07 b
doll_1.63 b,doll_8.15 m,819 million usd,"1,629 million usd",doll_6.89 b
doll_104.0 m,doll_1.39 m,90 million usd,104 million usd,doll_237.0 m
doll_1.16 b,doll_7.78 m,doll_1.161 m,"1,161 million usd",doll_3.96 b
doll_500.0 m,doll_6.6 m,95 million usd,500 million usd,doll_3.62 b
doll_1.73 b,doll_2.43 m,212 million usd,"1,733 million usd",doll_6.15 b
doll_979.0 m,doll_14.13 m,277 million usd,979 million usd,doll_50.93 b
doll_401.0 m,doll_21.36 m,-84 million usd,401 million usd,doll_2.75 b
doll_1.61 b,doll_3.18 m,doll_1.606 m,"1,606 million usd",doll_3.4 b
doll_-84.0 m,0,401 million usd,-84 million usd,doll_7.34 b
doll_277.0 m,doll_7.81 m,979 million usd,277 million usd,doll_2.42 b
doll_212.0 m,doll_6.15 m,doll_1.733 m,212 million usd,doll_1.31 b
doll_95.0 m,doll_9.78 m,500 million usd,95 million usd,doll_7.75 b
doll_190.0 m,doll_10.26 m,40 million usd,190 million usd,doll_9.06 b
doll_-265.0 m,doll_1.51 m,373 million usd,-265 million usd,doll_2.43 b
doll_223.0 m,doll_6.06 m,464 million usd,223 million usd,doll_822.0 m
doll_848.0 m,0,doll_1.333 m,848 million usd,doll_5.84 b
doll_474.0 m,doll_8.34 m,doll_1.977 m,474 million usd,0.0
doll_1.98 b,doll_12.28 m,474 million usd,"1,977 million usd",doll_26.41 b
doll_1.33 b,doll_4.47 m,848 million usd,"1,333 million usd",doll_4.64 b
doll_464.0 m,doll_9.37 m,223 million usd,464 million usd,doll_4.19 b
doll_373.0 m,doll_8.92 m,-265 million usd,373 million usd,doll_19.26 b
doll_40.0 m,doll_6.7 m,190 million usd,40 million usd,doll_990.0 m
doll_238.0 m,doll_2.92 m,238 million usd,238 million usd,doll_1.13 b
doll_1.94 b,doll_9.27 m,101 million usd,"1,940 million usd",doll_46.12 b
doll_1.77 b,doll_24.15 m,215 million usd,"1,774 million usd",doll_5.51 b
doll_173.0 m,doll_6.43 m,doll_1.285 m,173 million usd,doll_2.15 b
doll_615.0 m,doll_9.61 m,88 million usd,615 million usd,doll_9.31 b
doll_252.0 m,doll_8.37 m,252 million usd,252 million usd,doll_4.74 b
doll_88.0 m,0,615 million usd,88 million usd,doll_320.0 m
doll_1.28 b,doll_2.45 m,doll_1.774 m,"1,285 million usd",doll_9.31 b
doll_215.0 m,doll_3.53 m,doll_1.940 m,215 million usd,doll_1.23 b
doll_101.0 m,doll_14.48 m,173 million usd,101 million usd,doll_2.35 b
doll_-1523.0 m,0,doll_-1.523 m,"-1,523 million usd",doll_1.3 b
doll_123.0 m,doll_9.25 m,doll_1.126 m,123 million usd,doll_779.0 m
doll_345.0 m,doll_9.32 m,doll_1.036 m,345 million usd,doll_3.12 b
doll_503.0 m,doll_8.7 m,593 million usd,503 million usd,doll_8.2 b
doll_483.0 m,doll_8.6 m,201 million usd,483 million usd,doll_1.85 b
doll_112.0 m,doll_1.34 m,112 million usd,112 million usd,doll_3.03 b
doll_201.0 m,doll_21.15 m,483 million usd,201 million usd,doll_5.44 b
doll_593.0 m,doll_12.95 m,503 million usd,593 million usd,doll_5.56 b
doll_1.04 b,doll_10.1 m,345 million usd,"1,036 million usd",doll_28.59 b
doll_1.13 b,doll_5.74 m,123 million usd,"1,126 million usd",doll_8.24 b
doll_1.0 b,doll_11.72 m,doll_1.005 m,"1,005 million usd",doll_10.28 b
doll_2.61 b,doll_2.43 m,488 million usd,"2,607 million usd",doll_623.0 m
doll_224.0 m,doll_2.07 m,703 million usd,224 million usd,doll_569.0 m
0.0,0,220 million usd,0 million usd,doll_35.0 m
doll_-524.0 m,0,doll_1.379 m,-524 million usd,doll_984.0 m
doll_749.0 m,doll_10.94 m,749 million usd,749 million usd,doll_2.15 b
doll_1.38 b,doll_11.33 m,-524 million usd,"1,379 million usd",doll_11.87 b
doll_220.0 m,doll_4.5 m,0 million usd,220 million usd,doll_2.28 b
doll_703.0 m,doll_11.85 m,224 million usd,703 million usd,doll_24.57 b
doll_488.0 m,doll_6.13 m,doll_2.607 m,488 million usd,doll_3.25 b
doll_152.0 m,doll_13.19 m,152 million usd,152 million usd,doll_2.58 b
doll_1.09 b,doll_8.95 m,doll_1.466 m,"1,088 million usd",doll_2.92 b
doll_977.0 m,doll_19.84 m,doll_1.443 m,977 million usd,doll_11.24 b
doll_210.0 m,doll_5.84 m,529 million usd,210 million usd,doll_865.0 m
doll_-1295.0 m,doll_11.17 m,631 million usd,"-1,295 million usd",doll_12.08 b
doll_193.0 m,doll_5.39 m,193 million usd,193 million usd,doll_2.29 b
doll_631.0 m,doll_9.85 m,doll_-1.295 m,631 million usd,doll_12.4 b
doll_529.0 m,doll_11.6 m,210 million usd,529 million usd,doll_4.9 b
doll_1.44 b,doll_8.07 m,977 million usd,"1,443 million usd",doll_10.49 b
doll_1.47 b,doll_3.42 m,doll_1.088 m,"1,466 million usd",doll_2.26 b
doll_802.0 m,doll_8.45 m,802 million usd,802 million usd,doll_4.14 b
doll_300.0 m,doll_8.45 m,373 million usd,300 million usd,doll_551.0 m
doll_399.0 m,doll_8.02 m,doll_-3.232 m,399 million usd,doll_4.19 b
doll_-300.0 m,0,143 million usd,-300 million usd,doll_621.0 m
doll_-691.0 m,doll_7.99 m,doll_2.123 m,-691 million usd,doll_5.47 b
doll_-39.0 m,doll_14.28 m,-39 million usd,-39 million usd,doll_2.99 b
doll_2.12 b,doll_11.27 m,-691 million usd,"2,123 million usd",doll_5.58 b
doll_143.0 m,doll_7.55 m,-300 million usd,143 million usd,doll_1.78 b
doll_-3232.0 m,doll_16.83 m,399 million usd,"-3,232 million usd",doll_9.31 b
doll_373.0 m,doll_5.32 m,300 million usd,373 million usd,doll_3.1 b
doll_1.0 b,doll_12.15 m,doll_1.005 m,"1,005 million usd",doll_10.28 b
doll_312.0 m,doll_5.63 m,doll_3.992 m,312 million usd,doll_2.84 b
doll_2.05 b,doll_8.96 m,973 million usd,"2,051 million usd",doll_9.19 b
doll_856.0 m,doll_7.43 m,283 million usd,856 million usd,doll_6.68 b
doll_-8649.0 m,doll_13.13 m,419 million usd,"-8,649 million usd",doll_15.31 b
doll_-403.0 m,doll_2.55 m,-403 million usd,-403 million usd,doll_1.61 b
doll_419.0 m,doll_7.45 m,doll_-8.649 m,419 million usd,0.0
doll_283.0 m,doll_6.89 m,856 million usd,283 million usd,doll_2.01 b
doll_973.0 m,doll_9.52 m,doll_2.051 m,973 million usd,doll_7.99 b
doll_3.99 b,doll_1.02 m,312 million usd,"3,992 million usd",doll_10.32 b
doll_4.34 b,0,doll_4.344 m,"4,344 million usd",doll_11.23 b
doll_492.0 m,doll_9.0 m,932 million usd,492 million usd,doll_4.78 b
doll_181.0 m,doll_5.48 m,236 million usd,181 million usd,doll_599.0 m
doll_-381.0 m,doll_0.43 m,538 million usd,-381 million usd,doll_6.01 b
doll_274.0 m,doll_7.1 m,-60 million usd,274 million usd,doll_2.67 b
doll_-1136.0 m,doll_7.95 m,doll_-1.136 m,"-1,136 million usd",doll_4.95 b
doll_-60.0 m,doll_10.68 m,274 million usd,-60 million usd,doll_25.79 b
doll_538.0 m,doll_13.62 m,-381 million usd,538 million usd,doll_12.02 b
doll_236.0 m,doll_13.77 m,181 million usd,236 million usd,doll_2.21 b
doll_932.0 m,doll_17.28 m,492 million usd,932 million usd,doll_3.75 b
doll_534.0 m,doll_10.11 m,534 million usd,534 million usd,doll_2.63 b
doll_32.0 m,0,650 million usd,32 million usd,doll_173.0 m
doll_-222.0 m,doll_9.16 m,721 million usd,-222 million usd,doll_3.03 b
doll_102.0 m,doll_3.73 m,989 million usd,102 million usd,doll_326.0 m
0.0,0,688 million usd,,0.0
0.0,doll_0.04 m,,,0.0
doll_688.0 m,doll_4.03 m,,688 million usd,doll_3.76 b
doll_989.0 m,doll_12.43 m,102 million usd,989 million usd,doll_12.64 b
doll_721.0 m,doll_10.23 m,-222 million usd,721 million usd,doll_15.11 b
doll_650.0 m,doll_4.63 m,32 million usd,650 million usd,doll_4.74 b
doll_173.0 m,doll_6.7 m,173 million usd,173 million usd,doll_13.34 b
doll_23.0 m,doll_0.03 m,471 million usd,23 million usd,doll_219.0 m
doll_364.0 m,doll_5.71 m,-25 million usd,364 million usd,doll_3.79 b
doll_2.68 b,doll_9.02 m,871 million usd,"2,680 million usd",doll_8.26 b
doll_-156.0 m,doll_4.32 m,493 million usd,-156 million usd,doll_1.82 b
doll_845.0 m,doll_11.24 m,845 million usd,845 million usd,doll_13.03 b
doll_493.0 m,doll_9.85 m,-156 million usd,493 million usd,0.0
doll_871.0 m,doll_15.3 m,doll_2.680 m,871 million usd,doll_5.26 b
doll_-25.0 m,0,364 million usd,-25 million usd,doll_745.0 m
doll_471.0 m,doll_11.44 m,23 million usd,471 million usd,doll_7.74 b
doll_518.0 m,doll_10.82 m,518 million usd,518 million usd,doll_3.35 b
0.0,doll_8.27 m,123 million usd,,0.0
doll_695.0 m,doll_7.94 m,261 million usd,695 million usd,doll_3.67 b
doll_3.12 b,doll_7.5 m,680 million usd,"3,118 million usd",doll_11.87 b
doll_395.0 m,doll_6.58 m,295 million usd,395 million usd,doll_31.61 b
doll_759.0 m,doll_13.63 m,759 million usd,759 million usd,doll_3.12 b
doll_295.0 m,doll_6.68 m,395 million usd,295 million usd,doll_2.68 b
doll_680.0 m,doll_4.52 m,doll_3.118 m,680 million usd,doll_3.0 b
doll_261.0 m,doll_10.46 m,695 million usd,261 million usd,doll_951.0 m
doll_123.0 m,doll_5.71 m,,123 million usd,doll_776.0 m
doll_931.0 m,doll_10.51 m,931 million usd,931 million usd,doll_1.19 b
doll_278.0 m,doll_7.25 m,doll_1.030 m,278 million usd,doll_2.85 b
doll_102.0 m,0,271 million usd,102 million usd,doll_939.0 m
doll_1.41 b,doll_7.96 m,doll_-1.453 m,"1,413 million usd",doll_14.09 b
doll_680.0 m,doll_7.12 m,787 million usd,680 million usd,doll_3.63 b
doll_382.0 m,doll_2.27 m,382 million usd,382 million usd,doll_867.0 m
doll_787.0 m,doll_9.48 m,680 million usd,787 million usd,doll_2.46 b
doll_-1453.0 m,doll_9.99 m,doll_1.413 m,"-1,453 million usd",doll_19.12 b
doll_1.03 b,doll_5.27 m,102 million usd,"1,030 million usd",doll_326.0 m
doll_271.0 m,0,278 million usd,271 million usd,doll_1.39 b
doll_-1071.0 m,doll_22.19 m,455 million usd,"-1,071 million usd",doll_2.78 b
doll_975.0 m,doll_6.29 m,-129 million usd,975 million usd,doll_3.13 b
doll_-129.0 m,0,975 million usd,-129 million usd,doll_308.0 m
doll_455.0 m,doll_5.8 m,doll_-1.071 m,455 million usd,doll_1.43 b
doll_1.16 b,doll_3.33 m,-771 million usd,"1,162 million usd",doll_3.01 b
doll_262.0 m,doll_7.71 m,613 million usd,262 million usd,doll_3.74 b
doll_309.0 m,doll_3.85 m,96 million usd,309 million usd,doll_1.52 b
doll_96.0 m,doll_3.9 m,309 million usd,96 million usd,doll_1.3 b
doll_613.0 m,doll_10.98 m,262 million usd,613 million usd,doll_4.33 b
doll_-771.0 m,doll_7.18 m,doll_1.162 m,-771 million usd,doll_3.21 b
doll_210.0 m,doll_8.12 m,210 million usd,210 million usd,doll_1.27 b
doll_349.0 m,doll_6.82 m,578 million usd,349 million usd,doll_404.0 m
doll_573.0 m,doll_8.84 m,323 million usd,573 million usd,doll_1.7 b
doll_408.0 m,doll_8.54 m,980 million usd,408 million usd,doll_1.98 b
doll_104.0 m,doll_6.96 m,-379 million usd,104 million usd,doll_1.08 b
doll_286.0 m,doll_9.84 m,286 million usd,286 million usd,doll_1.61 b
doll_-379.0 m,doll_9.66 m,104 million usd,-379 million usd,doll_725.0 m
doll_980.0 m,doll_7.91 m,408 million usd,980 million usd,doll_13.44 b
doll_323.0 m,doll_9.92 m,573 million usd,323 million usd,doll_1.88 b
doll_578.0 m,doll_4.17 m,349 million usd,578 million usd,doll_3.62 b
doll_200.0 m,doll_12.34 m,200 million usd,200 million usd,doll_4.1 b
doll_776.0 m,doll_10.01 m,409 million usd,776 million usd,doll_5.67 b
doll_-47.0 m,doll_3.41 m,936 million usd,-47 million usd,doll_655.0 m
doll_366.0 m,doll_5.69 m,-180 million usd,366 million usd,doll_8.93 b
doll_-155.0 m,0,55 million usd,-155 million usd,doll_252.0 m
doll_304.0 m,doll_10.41 m,304 million usd,304 million usd,doll_9.01 b
doll_55.0 m,doll_3.74 m,-155 million usd,55 million usd,0.0
doll_-180.0 m,0,366 million usd,-180 million usd,doll_768.0 m
doll_936.0 m,doll_13.21 m,-47 million usd,936 million usd,doll_676.0 m
doll_409.0 m,doll_8.52 m,776 million usd,409 million usd,doll_3.96 b
doll_1.96 b,doll_15.02 m,doll_1.959 m,"1,959 million usd",doll_13.63 b
doll_807.0 m,doll_9.74 m,169 million usd,807 million usd,doll_2.58 b
doll_297.0 m,doll_7.62 m,207 million usd,297 million usd,doll_2.67 b
doll_744.0 m,doll_11.34 m,282 million usd,744 million usd,doll_5.11 b
doll_982.0 m,doll_14.32 m,doll_1.528 m,982 million usd,doll_2.73 b
0.0,0,,,doll_331.0 m
doll_1.53 b,doll_5.69 m,982 million usd,"1,528 million usd",doll_18.35 b
doll_282.0 m,doll_3.78 m,744 million usd,282 million usd,doll_3.7 b
doll_207.0 m,doll_1.87 m,297 million usd,207 million usd,doll_1.32 b
doll_169.0 m,doll_4.91 m,807 million usd,169 million usd,doll_3.32 b
0.0,0,,,0.0
doll_21.0 m,0,-826 million usd,21 million usd,doll_387.0 m
doll_1.9 b,doll_8.21 m,130 million usd,"1,897 million usd",doll_1.06 b
doll_271.0 m,doll_7.54 m,291 million usd,271 million usd,doll_402.0 m
doll_377.0 m,doll_10.28 m,109 million usd,377 million usd,doll_5.35 b
doll_295.0 m,doll_5.6 m,295 million usd,295 million usd,doll_933.0 m
doll_109.0 m,doll_6.59 m,377 million usd,109 million usd,doll_7.87 b
doll_291.0 m,doll_8.66 m,271 million usd,291 million usd,doll_1.6 b
doll_130.0 m,doll_1.63 m,doll_1.897 m,130 million usd,doll_497.0 m
doll_-826.0 m,doll_16.61 m,21 million usd,-826 million usd,doll_7.52 b
doll_1.14 b,doll_4.68 m,doll_1.139 m,"1,139 million usd",doll_4.18 b
doll_452.0 m,doll_10.77 m,-203 million usd,452 million usd,doll_2.81 b
doll_596.0 m,doll_8.95 m,doll_1.065 m,596 million usd,doll_16.1 b
doll_802.0 m,doll_10.12 m,doll_1.090 m,802 million usd,doll_5.48 b
doll_2.95 b,doll_3.04 m,744 million usd,"2,947 million usd",doll_10.52 b
doll_1.51 b,doll_8.48 m,doll_1.513 m,"1,513 million usd",0.0
doll_744.0 m,doll_6.65 m,doll_2.947 m,744 million usd,doll_3.31 b
doll_1.09 b,doll_15.33 m,802 million usd,"1,090 million usd",doll_9.01 b
doll_1.06 b,doll_12.2 m,596 million usd,"1,065 million usd",doll_4.57 b
doll_-203.0 m,doll_5.37 m,452 million usd,-203 million usd,doll_862.0 m
doll_696.0 m,doll_6.4 m,696 million usd,696 million usd,doll_29.29 b
doll_131.0 m,doll_4.76 m,962 million usd,131 million usd,doll_1.22 b
doll_580.0 m,doll_10.94 m,-60 million usd,580 million usd,doll_1.54 b
doll_183.0 m,doll_3.47 m,144 million usd,183 million usd,doll_2.06 b
doll_363.0 m,doll_8.67 m,337 million usd,363 million usd,doll_3.82 b
doll_418.0 m,doll_8.34 m,418 million usd,418 million usd,doll_2.36 b
doll_337.0 m,doll_9.33 m,363 million usd,337 million usd,doll_10.62 b
doll_144.0 m,doll_4.36 m,183 million usd,144 million usd,doll_5.86 b
doll_-60.0 m,doll_4.52 m,580 million usd,-60 million usd,doll_863.0 m
doll_962.0 m,doll_5.11 m,131 million usd,962 million usd,doll_2.99 b
doll_2.19 b,doll_10.0 m,doll_2.187 m,"2,187 million usd",doll_26.99 b
doll_733.0 m,doll_6.31 m,339 million usd,733 million usd,doll_13.85 b
doll_285.0 m,doll_10.33 m,856 million usd,285 million usd,doll_1.46 b
doll_1.67 b,doll_6.58 m,-102 million usd,"1,674 million usd",doll_8.94 b
doll_551.0 m,doll_6.14 m,-66 million usd,551 million usd,doll_3.31 b
doll_417.0 m,doll_10.8 m,417 million usd,417 million usd,doll_15.88 b
doll_-66.0 m,doll_8.88 m,551 million usd,-66 million usd,doll_2.19 b
doll_-102.0 m,doll_8.05 m,doll_1.674 m,-102 million usd,doll_2.29 b
doll_856.0 m,doll_11.26 m,285 million usd,856 million usd,doll_21.16 b
doll_339.0 m,doll_6.39 m,733 million usd,339 million usd,doll_14.04 b
doll_257.0 m,doll_2.21 m,257 million usd,257 million usd,doll_1.74 b
doll_315.0 m,doll_5.35 m,doll_1.167 m,315 million usd,doll_2.71 b
doll_215.0 m,doll_10.28 m,993 million usd,215 million usd,doll_6.07 b
doll_497.0 m,doll_12.77 m,doll_1.196 m,497 million usd,doll_11.09 b
doll_21.0 m,0,319 million usd,21 million usd,doll_359.0 m
doll_319.0 m,doll_8.4 m,21 million usd,319 million usd,doll_709.0 m
doll_1.42 b,0,doll_1.416 m,"1,416 million usd",doll_8.66 b
doll_1.2 b,doll_11.29 m,497 million usd,"1,196 million usd",doll_24.02 b
doll_993.0 m,doll_6.31 m,215 million usd,993 million usd,doll_15.53 b
doll_1.17 b,doll_5.08 m,315 million usd,"1,167 million usd",doll_3.78 b
doll_200.0 m,doll_9.13 m,200 million usd,200 million usd,doll_1.14 b
doll_418.0 m,doll_6.71 m,doll_1.690 m,-7 million usd,doll_4.15 b
doll_-7.0 m,doll_7.33 m,378 million usd,"1,540 million usd",doll_53.0 m
doll_1.54 b,doll_8.1 m,199 million usd,572 million usd,doll_10.07 b
doll_572.0 m,doll_2.2 m,369 million usd,214 million usd,doll_10.59 b
doll_214.0 m,doll_8.41 m,214 million usd,369 million usd,doll_5.24 b
doll_369.0 m,doll_3.54 m,572 million usd,199 million usd,doll_4.02 b
doll_199.0 m,doll_8.83 m,doll_1.540 m,378 million usd,doll_2.35 b
doll_378.0 m,doll_4.14 m,-7 million usd,"1,690 million usd",doll_2.2 b
doll_1.69 b,doll_15.42 m,418 million usd,-755 million usd,doll_8.02 b
doll_-755.0 m,doll_7.95 m,-755 million usd,"1,567 million usd",doll_3.76 b
doll_1.57 b,doll_11.41 m,466 million usd,615 million usd,doll_1.82 b
doll_615.0 m,doll_2.17 m,doll_2.275 m,486 million usd,doll_16.26 b
doll_486.0 m,doll_4.1 m,256 million usd,687 million usd,doll_3.01 b
doll_687.0 m,doll_6.09 m,667 million usd,269 million usd,doll_4.95 b
doll_269.0 m,doll_11.05 m,269 million usd,667 million usd,doll_450.0 m
doll_667.0 m,0,687 million usd,256 million usd,doll_7.99 b
doll_256.0 m,doll_9.52 m,486 million usd,"2,275 million usd",doll_1.26 b
doll_2.27 b,doll_11.87 m,615 million usd,466 million usd,doll_6.98 b
doll_466.0 m,doll_10.46 m,doll_1.567 m,538 million usd,doll_3.33 b
doll_538.0 m,doll_7.63 m,538 million usd,87 million usd,doll_5.65 b
doll_87.0 m,doll_6.07 m,858 million usd,506 million usd,doll_1.5 b
doll_506.0 m,doll_6.23 m,376 million usd,743 million usd,doll_5.53 b
doll_743.0 m,doll_10.72 m,doll_1.597 m,-948 million usd,doll_6.0 b
doll_-948.0 m,doll_7.85 m,816 million usd,184 million usd,doll_8.43 b
doll_184.0 m,doll_7.63 m,184 million usd,816 million usd,doll_531.0 m
doll_816.0 m,doll_4.39 m,-948 million usd,"1,597 million usd",doll_6.76 b
doll_1.6 b,0,743 million usd,376 million usd,doll_199.0 m
doll_376.0 m,doll_9.74 m,506 million usd,858 million usd,doll_4.67 b
doll_858.0 m,doll_5.47 m,87 million usd,449 million usd,doll_8.59 b
doll_449.0 m,0,310 million usd,98 million usd,doll_1.22 b
doll_98.0 m,doll_11.21 m,173 million usd,"-1,048 million usd",doll_2.53 b
doll_-1048.0 m,doll_20.79 m,989 million usd,219 million usd,doll_7.45 b
doll_219.0 m,doll_5.67 m,731 million usd,753 million usd,doll_772.0 m
doll_753.0 m,doll_14.73 m,149 million usd,149 million usd,doll_14.55 b
doll_149.0 m,doll_10.31 m,753 million usd,731 million usd,doll_8.7 b
doll_731.0 m,doll_7.87 m,219 million usd,989 million usd,doll_1.98 b
doll_989.0 m,doll_11.43 m,doll_-1.048 m,173 million usd,doll_10.54 b
doll_173.0 m,doll_7.12 m,98 million usd,310 million usd,doll_967.0 m
doll_310.0 m,doll_5.55 m,449 million usd,"1,473 million usd",doll_1.24 b
doll_1.47 b,doll_11.63 m,664 million usd,"1,780 million usd",doll_3.88 b
doll_1.78 b,doll_4.43 m,doll_3.825 m,17 million usd,doll_24.79 b
