03-gren-annual_net_income_usd,04-iGMM-market_value__jan_1st_2020,00-avengers-annual_net_income_in_usd,04-iGMM-annual_net_income_in_usd,03-gren-annual_revenue_usd
doll_230.0 m,doll_54.61 m,doll_34.221 m,230 million usd,doll_5.9 b
doll_-6520.0 m,doll_1.03 b,doll_4.654 m,"-6,520 million usd",doll_74.2 b
doll_6.95 b,doll_64.86 m,doll_4.669 m,"6,946 million usd",doll_106.0 b
doll_5.74 b,doll_1.17 b,doll_8.000 m,"5,740 million usd",doll_44.66 b
doll_8.0 b,doll_1.28 b,doll_5.740 m,"8,000 million usd",doll_133.17 b
doll_4.67 b,doll_1.63 b,doll_6.946 m,"4,669 million usd",doll_54.3 b
doll_4.65 b,doll_1.05 b,doll_-6.520 m,"4,654 million usd",doll_51.68 b
doll_34.22 b,doll_93.96 m,230 million usd,"34,221 million usd",doll_168.3 b
doll_3.02 b,doll_67.31 m,doll_2.939 m,"3,024 million usd",doll_8.3 b
doll_3.53 b,doll_57.46 m,,"3,531 million usd",doll_31.85 b
0.0,0,doll_4.643 m,,doll_49.1 b
0.0,0,-352 million usd,,doll_6.94 b
doll_8.08 b,doll_72.09 m,doll_6.104 m,"8,079 million usd",doll_45.83 b
doll_-559.0 m,doll_60.89 m,doll_5.861 m,-559 million usd,doll_149.5 b
doll_5.86 b,doll_61.7 m,-559 million usd,"5,861 million usd",doll_27.7 b
doll_6.1 b,doll_77.55 m,doll_8.079 m,"6,104 million usd",0.0
doll_-352.0 m,0,,-352 million usd,doll_5.99 b
doll_4.64 b,doll_1.17 b,,"4,643 million usd",doll_57.47 b
0.0,0,doll_3.531 m,,doll_110.0 b
0.0,0,doll_2.948 m,,doll_17.0 b
doll_-2046.0 m,doll_18.55 m,doll_3.499 m,"-2,046 million usd",doll_9.96 b
doll_5.92 b,doll_1.03 b,doll_4.677 m,"5,921 million usd",doll_35.35 b
doll_7.28 b,doll_1.06 b,doll_8.618 m,"7,284 million usd",doll_114.04 b
doll_2.97 b,doll_43.8 m,doll_3.367 m,"2,968 million usd",doll_16.31 b
doll_3.37 b,doll_52.67 m,doll_2.968 m,"3,367 million usd",doll_21.7 b
doll_8.62 b,doll_94.78 m,doll_7.284 m,"8,618 million usd",doll_88.71 b
doll_4.68 b,doll_91.41 m,doll_5.921 m,"4,677 million usd",doll_34.02 b
doll_3.5 b,doll_84.01 m,doll_-2.046 m,"3,499 million usd",doll_19.45 b
doll_2.95 b,doll_73.44 m,,"2,948 million usd",doll_16.05 b
doll_1.17 b,doll_87.41 m,doll_1.165 m,"1,165 million usd",doll_10.96 b
doll_2.04 b,doll_63.77 m,,"2,037 million usd",doll_7.78 b
doll_1.99 b,doll_78.9 m,doll_3.931 m,"1,994 million usd",doll_17.11 b
doll_6.32 b,doll_1.12 b,doll_2.254 m,"6,315 million usd",doll_67.04 b
doll_3.24 b,doll_1.11 b,doll_7.565 m,"3,242 million usd",doll_27.71 b
doll_17.94 b,doll_37.35 m,doll_17.937 m,"17,937 million usd",doll_136.34 b
doll_7.57 b,doll_1.29 b,doll_3.242 m,"7,565 million usd",doll_157.74 b
doll_2.25 b,doll_87.47 m,doll_6.315 m,"2,254 million usd",doll_10.49 b
doll_3.93 b,doll_44.41 m,doll_1.994 m,"3,931 million usd",doll_6.83 b
0.0,0,doll_2.037 m,,doll_91.69 b
doll_5.41 b,doll_70.23 m,,"5,409 million usd",doll_19.14 b
doll_6.15 b,doll_75.65 m,,"6,151 million usd",doll_46.63 b
doll_4.61 b,doll_44.35 m,doll_2.464 m,"4,605 million usd",doll_17.23 b
doll_4.3 b,doll_80.52 m,-679 million usd,"4,300 million usd",doll_28.72 b
doll_443.0 m,doll_17.55 m,doll_4.602 m,443 million usd,doll_31.45 b
doll_4.6 b,doll_78.32 m,443 million usd,"4,602 million usd",doll_119.89 b
doll_-679.0 m,0,doll_4.300 m,-679 million usd,doll_1.22 b
doll_2.46 b,doll_92.43 m,doll_4.605 m,"2,464 million usd",doll_21.11 b
0.0,doll_39.05 m,doll_6.151 m,,doll_212.87 b
0.0,0,doll_5.409 m,,doll_47.6 b
doll_10.46 b,doll_74.76 m,doll_6.225 m,"10,456 million usd",0.0
doll_7.61 b,doll_93.97 m,doll_2.773 m,"7,605 million usd",doll_22.72 b
doll_10.02 b,doll_53.41 m,doll_8.903 m,"10,019 million usd",doll_127.0 b
0.0,0,doll_8.562 m,,doll_114.7 b
doll_2.17 b,doll_62.23 m,doll_3.966 m,"2,166 million usd",doll_20.95 b
doll_3.97 b,doll_58.25 m,doll_2.166 m,"3,966 million usd",doll_75.73 b
doll_8.56 b,doll_67.45 m,,"8,562 million usd",doll_88.74 b
doll_8.9 b,doll_1.01 b,doll_10.019 m,"8,903 million usd",doll_33.62 b
doll_2.77 b,doll_61.3 m,doll_7.605 m,"2,773 million usd",doll_203.83 b
doll_6.22 b,doll_82.71 m,doll_10.456 m,"6,225 million usd",doll_27.3 b
doll_1.61 b,doll_66.78 m,doll_12.202 m,"1,612 million usd",doll_21.84 b
