06-MarScoToc-industry,06-MarScoToc-headquarter,06-MarScoToc-name
packaging,"bangalore/bengaluru, karnataka, india",manjushree technopack
legal,"new york, new york, united states (usa)",unitedlex
hospitality,"new delhi, india",trident hotels
recruitment,"chennai, tamil nadu, india",talentpro
education & training,"mumbai, maharashtra, india",aptech
,,pepsico (india) holdings
it services & consulting,"piscataway, new jersey, united states (usa)",marlabs
power,"noida, uttar pradesh, india",utility powertech
manufacturing,"middlesex, united kingdom (uk)",coats
building material,"hyderabad/secunderabad, telangana, india",pennar industries
it services & consulting,"edison, new jersey, united states (usa)",indecomm global services
it services & consulting,"plano, texas, united states (usa)",brainvire
oil & gas,"mumbai, maharashtra, india",mahanagar gas
engineering & construction,"visakhapatnam/vizag, andhra pradesh, india",vijay nirman company
auto components,"gurgaon/gurugram, haryana, india",hema engineering industries
aviation,"delhi/ncr, new delhi, india",airports authority of india
chemicals,"delhi/ncr, delhi, india",fena
building material,"solan, himachal pradesh, india",jaypee cement
metals & mining,"singhbum, jharkhand, india",rungta mines
bpo,"mumbai, maharashtra, india",aegis essar
edtech,"bangalore,karnataka, india",cuemath
it services & consulting,"pune, maharashtra, india",bristlecone
chemicals / agri inputs,"pangbourne, berkshire, united kingdom (uk)",castrol
medical equipment,"delhi/ncr, delhi, india",poly medicure
iron & steel,"kolkata, west bengal, india",shyam metalics and energy
auto components,"hamamatsu, japan",fcc clutch
auto components,"gurgaon/gurugram, haryana, india",jtekt sona automotive india
chemicals,"noida, uttar pradesh, india",gujarat heavy chemicals
facility management services,"dubai, dubai, united arab emirates (uae)",efs facilities services
building material,"ras al khaimah, ras al khaimah, united arab emirates (uae)",rak ceramics
financial services,"noida, india",care
telecom,"mohali, punjab, india",aerial telecom solutions
retail,"mumbai, maharashtra, india",kaya skin clinic
logistics,"copenhagen, copenhagen, denmark",maersk line
fashion & textile,"san francisco,california, united states",monte carlo
it services & consulting,"delhi/ncr, new delhi, india",competent software
fashion & textile,"herzogenaurach, bavaria, germany",adidas
it services & consulting,"santa clara, california, united states (usa)",acl digital
power,"mumbai,maharashtra, india",era group
auto components,"gurgaon/gurugram, haryana, india",qhtalbros
hospitality,"gurgaon/gurugram, haryana, india",sarovar hotels & resorts
insurance,"new delhi, india",bajaj capital insurance
packaging,"kolkata, west bengal, india",hindusthan national glass
recruitment,"delhi/ncr, delhi, india",evision technoserve
telecom,"mumbai, india",vedang cellular services
telecom,"dallas, texas, united states (usa)",at&t
fashion & textile,"mumbai, maharashtra, india",siyaram silk mills
electrical equipment,"noida, uttar pradesh, india",hpl electric & power
education & training,"mumbai, maharashtra, india",st. xavier's high school
beauty & personal care,"mumbai, maharashtra, india",lakme
auto components,"gurgaon/gurugram, haryana, india",omax autos
real estate,"noida, uttar pradesh, india",supertech
travel & tourism,"minnetonka, unitedstates",cwt
industrial machinery,"coimbatore, india",texmo industries
engineering & construction,"bangalore/bengaluru, karnataka, india",micron electricals
auto components,"ludhiana, punjab, india",satyam auto components
it services & consulting,"hyderabad, india",ctrls
it services & consulting,"pune, maharashtra, india",nihilent
building material,"mumbai, maharashtra, india",prince pipes & fittings
education & training,"london, unitedkingdom",british council
fmcg,"hyderabad/secunderabad, telangana, india",dodla dairy
edtech,"mumbai,maharashtra, india",lido learning
internet,"gurgaon,haryana, india",proptiger.com
industrial machinery,"pune, maharashtra, india",kirloskar pneumatic
financial services,"bangalore,karnataka, india",varthana
,"smc global securities ltd., united states (usa)",smc global securities
recruitment,"alpharetta, georgia, united states (usa)",nlb services
engineering & construction,"mumbai,",larsen & toubro group
education & training,"bhopal, madhya pradesh, india",cmc
law enforcement & security,"patna, bihar, india",sis prosegur holdings
internet,"pune,maharashtra, india",agrostar
beverage,"vesterbro, copenhagen, denmark",carlsberg
consumer electronics & appliances,"mumbai, maharashtra, india",hamilton housewares
it services & consulting,"lincolnshire, united states",alight solutions
engineering & construction,"lahore, pakistan",descon engineering
healthcare,"kolkata,west bengal, india",medica superspecialty hospital
fintech,"abu dhabi, dubai, united arab emirates (uae)",unimoni
engineering & construction,"hyderabad/secunderabad, telangana, india",soma enterprises
industrial automation,"milwaukee, wisconsin, united states (usa)",rockwell automation
it services & consulting,"munich, germany",giesecke & devrient
it services & consulting,"hyderabad/secunderabad, telangana, india",trigeo technologies
engineering & construction,"mumbai, india",infrastructure leasing & financial services
software product,"pune,maharashtra, india",quick heal technologies
electronics manufacturing,"chiyoda city, tokyo, japan",mitsubishi electric
it services & consulting,"bangalore, india",value point systems
auto components,"gurgaon/gurugram, haryana, india",roop polymers
it services & consulting,"mumbai,maharashtra, india",prime focus technologies
engineering & construction,"mumbai, maharashtra, india",onshore construction
internet,"bangalore,karnataka, india",practo
fintech,"mumbai,maharashtra, india",kissht finance
it services & consulting,"scottsdale, arizona, united states (usa)",blue yonder
media & entertainment,"mumbai, india",zee entertainment enterprises
edtech,"bangalore,karnataka, india",embibe
education & training,"mumbai, maharashtra, india",rao iit academy
it services & consulting,"bangalore/bengaluru, karnataka, india",netconnectglobal
it services & consulting,"gurgaon,haryana, india",ss supply chain solutions
software product,"seattle, washington, united states (usa)",amazon web services
pharma,"mumbai, maharashtra, india",novartis healthcare
building material,"hyderabad/secunderabad, telangana, india",n.c.l. industries
telecom,"delhi/ncr, delhi, india",telesonic networks
it services & consulting,"noida,uttar pradesh, india",to the new
electronics manufacturing,"riyadh, riyadh, saudi arabia",alfanar
non-profit,"bangalore,karnataka, india",labournet services
logistics,"bonn, germany",dhl global forwarding
education & training,"hyderabad, india",triumphant institute of management education
building material,"delhi/ncr, delhi, india",greenlam industries
internet,"mumbai, maharashtra, india",paramount health services tpa
industrial machinery,"winterthur, winterthur, switzerland",sulzer
healthcare,"ahmedabad, gujarat, india",hcg hospital
agriculture,"mumbai, maharashtra, india",national bulk handling corporation
automobile,"ingolstadt, bavaria, germany",audi
chemicals,"pune, maharashtra, india",sudarshan chemical industries
electronics manufacturing,"gurgaon/gurugram, haryana, india",delta electronics
building material,"gurgaon/gurugram, haryana, india",heidelberg cement
recruitment,"new york, usa",williams lea tag
power,"lucknow, uttar pradesh, india",uppcl
import & export,"mumbai, maharashtra, india",tata international
oil & gas,"irving, texas, united states (usa)",exxon mobil
automobile,"pune, india",mahindra two wheelers
auto components,"klarabergsviadukten 70, stockholm, sweden",autoliv
software product,"santa ana, california, united states (usa)",advantmed
retail,"delhi/ncr, delhi, india",ssipl lifestyle
fmcg,"pune, maharashtra, india",venky's
legal,"kolkata, west bengal, india",online legal india
auto components,"hanover, germany",continental
printing / packaging,"glendale, california, united states (usa)",avery dennison
it services & consulting,"navi mumbai, maharashtra, india",idbi intech
auto components,"corbetta, corbetta, italy",marelli
it services & consulting,"boston,massachusetts, united states",iron mountain inc
bpo,"bangalore/bengaluru, karnataka, india",flatworld solutions
automobile,"ahmedabad, gujarat, india",kataria automobiles
building material,"staffordshire, united states (usa)",h & r johnson
engineering & construction,"mumbai, india",vaaman engineers
automobile,"toyota city, aichi prefecture, japan",toyota
real estate,"bengaluru, india",prestige group
it services & consulting,"mumbai, maharashtra, india",maxgen technologies
metals & mining,"delhi/ncr, delhi, india",pc jewellers
it services & consulting,"austin, texas, united states (usa)",aurigo
retail,"bangalore/bengaluru, karnataka, india",spar hypermarkets
financial services,"delhi,nct, india",satya microcapital
,,wipro infotech limited
it services & consulting,"houston, texas, united states (usa)",pinnacle infotech
investment banking / venture capital / private equity,"bangalore,karnataka, india",indianmoney.com
power,"munich, germany",siemens energy
financial services,"mumbai, maharashtra, india",jm financial
iron & steel,"visakhapatnam/vizag, andhra pradesh, india",vizag steel
it services & consulting,"mumbai, maharashtra, india",itsource technologies
food processing,"san francisco, unitedstates",del monte foods
engineering & construction,"panchkula, haryana, india",s p singla constructions
auto components,"gurgaon, india",sona comstar
it services & consulting,"chennai, tamil nadu, india",shriram value services
it services & consulting,"dallas, texas, united states (usa)",mouri tech
hospitality,"bangalore/bengaluru, karnataka, india",royal orchid hotels
it services & consulting,"new york,new york, united states (usa)",deloitte digital
automobile,"gurgaon, india",eicher motors
healthcare,"melsungen, hesse, germany",b. braun medical
engineering & construction,"mumbai, maharashtra, india",ncccl
urban transport,"montreal, berlin, canada",bombardier transportation
auto components,"gurgaon/gurugram, haryana, india",federal mogul goetze
edtech,"delhi/ncr, new delhi, india",evelyn learning systems
it services & consulting,"mumbai, maharashtra, india",f1 info solutions services
pharma,"mumbai,maharashtra, india",indiabulls pharmaceuticals
beverage,"hyderabad, telangana, india",mayora
it services & consulting,"melbourne, victoria, australia",ntt
industrial machinery,"graz, steiermark, austria",andritz
bpo,"chennai, tamil nadu, india",zealous services
engineering & construction,"doha, qatar",qcon
engineering & construction,"seoul, southkorea",sk e&c
engineering & construction,"mumbai, maharashtra, india",stup consultants
legal,"new york, new york, united states (usa)",quislex legal services
auto components,"chennai, tamil nadu, india",ucal fuel systems
healthcare,"hyderabad/secunderabad, telangana, india",vimta labs
it services & consulting,"bangalore/bengaluru, karnataka, india",sasken
banking,"mumbai, india",adfc
education & training,"delhi/ncr, delhi, india",pratham education foundation
it services & consulting,"southborough, massachusetts, united states (usa)",trigent software
banking,"mumbai, maharashtra, india",central bank of india
auto components,"gurgaon/gurugram, haryana, india",sona koyo steering systems
internet,"bangalore,karnataka, india",licious
industrial machinery,"bangalore/bengaluru, karnataka, india",aquasub engineering
manufacturing,"nordborg, als, denmark",danfoss industries
accounting & auditing,"new delhi, india",bdo india llp
it services & consulting,"london, united kingdom",hsbc technology
engineering & construction,"suwon-si, gyeonggi-do, south korea",samsung c&t
it services & consulting,"hyderabad/secunderabad, telangana, india",iic technologies
insurance,"mumbai, maharashtra, india",universal sompo general insurance
it services & consulting,"jacksonville,florida, united states",black knight
recruitment,"bangalore,karnataka, india",ciel hr
it services & consulting,"brooklyn, new york, united states (usa)",wipro digital
auto components,"tokyo, japan",yokohama
agro chemicals,"mumbai, maharashtra, india",indofil industries
agro chemicals,"mumbai, maharashtra, india",indofil industries
engineering & construction,"ahmedabad, gujarat, india",psp projects
electronics manufacturing,"hangzhou, china",prama hikvision india
recruitment,"bangalore,karnataka, india",ciel hr
auto components,"tokyo, japan",yokohama
it services & consulting,"brooklyn, new york, united states (usa)",wipro digital
pharma,"mumbai, india",flamingo pharmaceuticals
recruitment,"hanover, maryland, united states (usa)",allegis group
telecom,"ahmedabad, gujarat, india",teleysia networks
beverage,"mumbai, maharashtra, india",allied blenders & distillers
it services & consulting,"beaverton, oregon, united states (usa)",pk
food processing,"toronto, canada",mccain foods
financial services,"mumbai, maharashtra, india",shriram housing finance
edtech,"bengaluru/bangalore, karnataka, india",miles education - cpa & cma review (hyderabad)
food processing,"mclean, united states (usa)",mars international india
chemicals,"riyadh, saudi arabia",sabic
consumer electronics & appliances,"cupertino, california, united states (usa)",apple
consumer electronics & appliances,"florida, united states (usa)",carrier
it services & consulting,"bellandur, india",aditya birla minacs
building material,"mumbai, india",prism cement
fashion & textile,"bangalore,karnataka, india",reshamandi
management consulting,,mckinsey & company
building material,"kolkata, west bengal, india",nu vista
agro chemicals,"philadelphia, united states (usa)",fmc
logistics,"dubai, united arab emirates (uae)",aramex
pharma,"mumbai, maharashtra, india",reliance life sciences
agriculture,"wilmington,delaware, united states",corteva agriscience
biotechnology,"hyderabad, india",bharat biotech international
bpo,"mangaluru/mangalore, karnataka, india",diya systems
industrial machinery,"mumbai, maharashtra, india",grindwell norton
industrial machinery,"mumbai, maharashtra, india",grindwell norton
bpo,"mumbai, maharashtra, india",powerweave
agro chemicals,"delhi/ncr, new delhi, india",crystal crop protection
industrial machinery,"nagpur, maharashtra, india",diffusion engineers
healthcare,"kolkata, west bengal, india",amri hospital
healthcare,"jodhpur, india",asg eye hospital
healthcare,"bangalore,karnataka, india",portea medical
it services & consulting,"mumbai,maharashtra, india",quantiphi analytics solutions
it services & consulting,"chennai, tamil nadu, india",teamware solutions
auto components,"gurgaon, india",spark minda
analytics & kpo,"philadelphia,pennsylvania, united states",clarivate analytics
healthcare,"mumbai, maharashtra, india",kokilaben dhirubhai ambani hospital
logistics,"hisar, haryana, india",darcl logistics
fashion & textile,"kolkata, west bengal, india",khadims
internet,"chennai,tamil nadu, india",veritas finance
investment banking / venture capital / private equity,"munich, bavaria, germany",allianz services
engineering & construction,,hyundai engineering and construction
engineering & construction,"gurgaon, india",voyants solutions
hardware & networking,"gurgaon/gurugram, haryana, india",railtel corporation of india
power,"bhubaneswar, odisha, india",gupta power infrastructure
it services & consulting,"noida, india",cyfuture
hospitality,"delhi,nct, india",chaayos
food processing,"ahmedabad, gujrat, india",havmor ice cream
electronics manufacturing,"mumbai, maharashtra, india",jbs enterprises
education & training,"bangalore,karnataka, india",inurture education solutions
logistics,"essen, germany",db schenker
consumer electronics & appliances,"bengaluru, india",hp india sales
petrochemicals,"noida, uttar pradesh, india",vectus industries
it services & consulting,"navi mumbai,",jio platforms
metals & mining,"kolkata, west bengal, india",super smelters
engineering & construction,"kolkata, west bengal, india",abci infrastructures
auto components,"greater noida, uttar pradesh, india",global autotech
retail,"mumbai,maharashtra, india",wellness forever medicare
logistics,,top office pros business services
analytics & kpo,"chennai, tamil nadu, india",matrix business services
industrial machinery,"bangalore/bengaluru, karnataka, india",nash industries
consumer electronics & appliances,"mumbai,maharashtra, india",amber enterprises india
it services & consulting,"fairfax,virginia, united states",cvent
edtech,"california, united states (usa)",skill lync
pharma,"panchkula, haryana, india",venus remedies
pharma,"gurgaon, india",ranbaxy
auto components,"rewari, haryana, india",minda furukawa electric
it services & consulting,"pune, maharashtra, india",aloha technology
hospitality,"kolkata, west bengal, india",the park hotels
education & training,"vellore, tamil nadu, india",christian medical college
hospitality,"chicago, illinois, united states (usa)",grand hyatt
facility management services,"delhi/ncr, new delhi, india",air india air transport services
industrial machinery,"bangalore/bengaluru, karnataka, india",v.s.t tillers tractors
bpo,,ienergizer bpo services
it services & consulting,"hyderabad/secunderabad, telangana, india",mahindra satyam
real estate,"delhi/ncr, new delhi, india",emaar mgf
fintech,"noida, uttar pradesh, india",netambit
industrial machinery,"pune, india",rsb transmissions
it services & consulting,"zug, switzerland",luxoft
healthcare,"hyderabad/secunderabad, telangana, india",apollo health and lifestyle
beauty & personal care,"hamburg, germany",nivea
building material,"paris, france",lafarge
food processing,"mumbai, india",capital foods
healthcare,"mumbai, india",sterling
industrial machinery,"bangalore/bengaluru, karnataka, india",bharat fritz werner
food processing,"mumbai, india",capital foods
electrical equipment,"limoges, limoges, france",legrand
aviation,"arlington, va, unitedstates",boeing
pharma,"holzkirchen, germany",sandoz
healthcare,"kolkata, india",suraksha diagnostic
auto components,"gurgaon/gurugram, haryana, india",munjal showa
industrial machinery,"bangalore/bengaluru, karnataka, india",kirloskar toyota textile machinery
auto components,"stezzano, italy",brembo brake india
banking,"guwahati, assam, india",north east small finance bank
healthcare,"delhi/ncr, delhi, india","ministry of health, new delhi"
it services & consulting,"san antonio,texas, united states",rackspace
industrial machinery,"kolkata, west bengal, india",paharpur cooling towers
beauty & personal care,"scottsdale, arizona, united states (usa)",forever living products
engineering & construction,"faridabad, haryana, india",systra consulting
oil & gas,"al ahmadi, kuwait",kuwait national petroleum company
fashion & textile,"mumbai, maharashtra, india",safari industries india
logistics,"alwar, rajasthan, india",honda logistics
hospitality,"bangalore/bengaluru, karnataka, india",wonderla holidays
nbfc,"chennai,tamil nadu, india",five-star business finance
edtech,"melbourne, victoria, australia",idp education
automobile,"vadodara/baroda, gujarat, india",suzuki
it services & consulting,"pondicherry, india",integra software services
retail,"mumbai, maharashtra, india",hypercity
banking,"thrissur/trichur, kerala, india",south indian bank
automobile,"gurgaon/gurugram, haryana, india",hero cycles
oil & gas,"mumbai,maharashtra, india",indraprastha gas
it services & consulting,"morristown, united states (usa)",majesco
software product,"hyderabad,telangana, india",nowfloats technologies
engineering & construction,"selangor darul ehsan, selangor darul ehsan, malaysia",eversendai
internet,"shanghai, shanghai, china",bytedance
medical equipment,"hyderabad/secunderabad, telangana, india",ben franklin opticians
packaging,"delhi/ncr, delhi, india",jindal poly films
auto components,"sotokanda, chiyoda, japan",mikuni
fashion & textile,"mumbai, maharashtra, india",bhilosa industries
,,quest global engineering
logistics,"gurgaon/gurugram, haryana, india",varuna integrated logistics
pharma,"thane, maharashtra, india",meyer organics
education & training,"mumbai, maharashtra, india",ryan international school
it services & consulting,"richardson, texas, united states (usa)",realpage
software product,"princeton, new jersey, united states (usa)",zycus infotech
bpo,"el paso, united states",datamark bpo service (p) ltd
retail,"gurgaon,haryana, india",1 india family mart
logistics,"new delhi, india",udaan cargo & logistics
telecom,"ahemdabad, india",gtpl broadband
bpo,"new delhi, india",data entry
pharma,"baddi, himachal pradesh, india",morepen laboratories
clinical research,"morrisville, north carolina, united states (usa)",syneos health
financial services,"thane, india",ventura securities
building material,"hyderabad/secunderabad, telangana, india",penna cement industries
financial services,"new delhi, india",bussan auto finance
building material,"chennai, tamil nadu, india",chemplast sanmar
engineering & construction,india,l&t heavy engineering
engineering & construction,"croydon, surrey, united kingdom (uk)",mott macdonald
it services & consulting,"ahmedabad, gujarat, india",uplers
defence & aerospace,"charlotte, united states",honeywell international india
government,"mysore/mysuru, karnataka, india",india post
software product,"boston,massachusetts, united states",ptc
recruitment,"bangalore/bengaluru, karnataka, india",greet technologies
printing & publishing,"kolkata, west bengal, india",abp group
,,convergys india services
electronics manufacturing,"sanjose, california, united states (usa)",sanmina sci
engineering & construction,"ahmedabad, gujarat, india",montecarlo construction
electrical equipment,"henderson, nevada, united states (usa)",ge t & d india
education & training,"gurgaon/gurugram, haryana, india",gd goenka public school
engineering & construction,"mumbai, maharashtra, india",transrail lighting
healthcare,"gurgaon/gurugram, haryana, india",artemis health institute
industrial machinery,,metso outotec
auto components,"gurgaon/gurugram, haryana, india",caparo maruti
beverage,"delhi/ncr, delhi, india",radico khaitan
real estate,"noida, uttar pradesh, india",r.s. infraprojects
auto components,"noida, uttar pradesh, india",ppap automotive
automobile,"gurgaon/gurugram, haryana, india",hilex
edtech,"noida,uttar pradesh, india",byju's exam prep
hardware & networking,,hewlett packard globalsoft
healthcare,"gurgaon/gurugram, haryana, india",pathkind diagnostics private limited
recruitment,,mits global consulting
,,muthoottu mini financiers
hardware & networking,"delhi/ncr, delhi, india",vindhya telelinks
fmcg,"chennai, tamil nadu, india",eid parry (india)
agro chemicals,"delhi/ncr, delhi, india",iffco kisan sanchar
it services & consulting,"perth amboy, united states",torry harris business solutions
auto components,"pune, maharashtra, india",dana india
auto components,"gurgaon/gurugram, haryana, india",enco engineers combine
defence & aerospace,"bangalore/bengaluru, karnataka, india",indian space research organisation
engineering & construction,"mumbai, india",essar projects india
it services & consulting,"trivandrum/thiruvananthapuram, kerala, india",guidehouse
retail,"mumbai, maharashtra, india",me n moms
hardware & networking,"bangalore/bengaluru, karnataka, india",iti
education & training,"mumbai, maharashtra, india",eurokids
industrial machinery,"pune, india",designtech systems
financial services,"mumbai, maharashtra, india",sbi mutual fund
engineering & construction,"cairo, egypt",kharafi national
auto components,"coimbatore, tamil nadu, india",sakthi auto components
marketing & advertising,"redwood city, san francisco, united states (usa)",xdbs
auto components,"bangalore/bengaluru, karnataka, india",surin automotive
railways,"kolkata, west bengal, india",ramkrishna forgings
law enforcement & security,"mumbai, maharashtra, india",writer safe guard
healthcare,"los angeles, united states (usa)",herbalife international
telecom,"mumbai, maharashtra, india",you broadband
electrical equipment,"gujrat, india",elecon engineering
agriculture,"anand, india",amul india
automobile,"yokohama-shi, kanagawa, japan",nissan
it services & consulting,"mumbai, maharashtra, india",mastek
,,northern trust
food processing,"delhi/ncr, new delhi, india",dfm foods
building material,"gurgaon/gurugram, haryana, india",maharashtra seamless
chemicals,"mumbai, maharashtra, india",navin fluorine international
real estate,"gurgaon,haryana, india",m3m india
building material,"hyderabad/secunderabad, telangana, india",visaka industries
fashion & textile,"noida, india",rswm
railways,"kolkata, west bengal, india",texmaco rail and engineering
ports & shipping,"safat, kuwait",heisco
edtech,"gurgaon/gurugram, haryana, india",collegedunia
it services & consulting,"san jose, california, united states (usa)",broadcom
edtech,"noida, uttar pradesh,",henry harvin education
facility management services,"bangalore/bengaluru, karnataka, india",dusters total solutions services
it services & consulting,"gütersloh, germany",arvato
auto components,"seoul, south korea",seoyon e-hwa automotive
it services & consulting,"mumbai, maharashtra, india",silverlink technologies
auto components,"yamunanagar, haryana, india",jamna auto industries
it services & consulting,"thane, india",c-edge technologies
metals & mining,"mumbai, maharashtra, india",tribhovandas bhimji zaveri
packaging,"noida, india",m.j global
engineering & construction,"mumbai, maharashtra, india",essar group
other,"nagold, germany",hafele
fmcg,"delhi/ncr, new delhi, india",dharampal premchand
engineering & construction,"chennai, tamil nadu, india",consolidated construction consortium
insurance,"bangalore, india",vidal health tpa
chemicals / agri inputs,"mumbai, maharashtra, india",gulf oil lubricants
power,"kolkata, west bengal, india",balmer lawrie
industrial machinery,"delhi/ncr, new delhi, india",aimil pharmaceuticals
industrial machinery,"navi mumbai, maharashtra, india",escon elevators
pharma,"chennai, tamil nadu, india",solara active pharma sciences
chemicals,"mumbai, india",galaxy surfactants
it services & consulting,"santa clara, california, us",trianz
auto components,"gurgaon/gurugram, haryana, india",metalman auto
power,"delhi/ncr, delhi, india",fujiyama power system
insurance,"hyderabad/secunderabad, telangana, india",family health plan
healthcare,"thane, india",akumentis healthcare
healthcare,"chennai, tamil nadu, india",vasan eye care hospitals
it services & consulting,"chicago, united states",wipro ge health care
food processing,"pune, maharashtra, india",venkateshwara hatcheries
analytics & kpo,"south jordan, united states (usa)",cotiviti
internet,"jaipur,rajasthan, india",dealshare
industrial machinery,"chiyoda-ku,tokyo-to, japan",toshiba jsw power systems
investment banking / venture capital / private equity,"new york city, new york, united states (usa)",blackrock
it services & consulting,"pune, india",sg analytics
internet,"delhi/ncr, delhi, india",religare securities
travel & tourism,"santa clarita, unitedstates",princess cruises
retail,"mumbai,maharashtra, india",sapphire foods india
travel & tourism,"santa clarita, unitedstates",princess cruises
retail,"mumbai,maharashtra, india",sapphire foods india
electrical equipment,"columbus, ohio, united states (usa)",vertiv energy
financial services,"hyderabad/secunderabad, telangana, india",share microfin
healthcare,"chennai, india",srm university
auto components,"aurangabad, maharashtra, india",aurangabad electricals
nbfc,"delhi/ncr, new delhi, india",capital trust
hospitality,"gurgaon, india",vatika group
fmcg,"gurgaon, india",mrs bector's food specialities
software product,"berkeley heights,new jersey, united states",axtria
metals & mining,"ranchi, jharkhand, india",mecon
pharma,"mumbai, india",aarti drugs
auto components,"aichi, japan",toyoda gosei minda
it services & consulting,"chicago, united states (usa)",nielseniq
auto components,"mumbai, india",bkt tyres
retail,,amazon seller service
iron & steel,"mumbai, india",welspun corp
auto components,"madurai, india",tvs eurogrip
it services & consulting,"ota city, tokyo, japan",ricoh
software product,"san diego,california, united states",teradata
it services & consulting,"chennai, tamil nadu, india",polaris consulting
engineering & construction,"chakkarpur, haryana, india",tractebel
education & training,"noida, uttar pradesh, india",jawahar navodaya vidyalaya
jewellery,"chennai,tamil nadu, india",caratlane trading
packaging,"hard, vorarlberg, austria",alpla
healthcare,"chennai,tamil nadu, india",medall
media & entertainment,"noida, india",siti networks
oil & gas,"doha, qatar",madina group
food processing,"kolkata, india",itc limited foods division
electronics manufacturing,"santa rosa,california, united states",keysight technologies
it services & consulting,"bangalore/bengaluru, karnataka, india",subex
government,"delhi/ncr, new delhi, india",central reserve police force
software product,"redwood city, san francisco, united states (usa)",yodlee
software product,"santa barbara, india",yardi systems
gaming,,international game technology
non-profit,"mumbai, maharashtra, india",magic bus india foundation
law enforcement & security,"dubai, dubai, united arab emirates (uae)",transguard group
consumer electronics & appliances,"delhi/ncr, new delhi, india",bhagwati products
biotechnology,"mumbai, maharashtra, india",transasia bio-medicals
recruitment,"noida, uttar pradesh, india",virtual employee
management consulting,"surat, gujarat, india",wintax solution
real estate,"noida, uttar pradesh, india",realty assistant
hospitality,"paris, france",accorhotels
insurance,"mumbai,maharashtra, india",liberty general insurance
education & training,"dallas, texas, united states (usa)",ryan
industrial machinery,"bangalore/bengaluru, karnataka, india",axiscades
pharma,"bangalore/bengaluru, karnataka, india",anthem biosciences
fintech,"mumbai, india",insolutions global
logistics,"chembur, maharashtra, india",v-xpress
electrical equipment,"chennai, india",kyungshin industrial motherson
logistics,,instrakart pvt ltd (flipkart india pvt ltd )
pharma,"tel aviv, israel",teva api
it services & consulting,"bezons,val doise, france",worldline global services
it services & consulting,"south plainfield, new jersey, united states (usa)",eteam
engineering & construction,"pune, maharashtra, india",suroj buildcon
financial services,"chennai, tamil nadu, india",shriram group
fmcg,"gurgaon/gurugram, haryana, india",agro tech foods
fintech,"amsterdam, netherlands",payu payments
pharma,"delhi/ncr, delhi, india",win medicare
oil & gas,"fornebu, akershus, norway",aker solutions
automobile,"pune, maharashtra, india",kalyani technoforge
it services & consulting,"new delhi, india",suntec web services
auto components,"keysborough, australia",exedy
analytics & kpo,"pune,maharashtra, india",markets and markets
engineering & construction,"bangalore/bengaluru, karnataka, india",hajee a p bava construction
engineering & construction,"ahmedabad, gujarat, india",dineshchandra r agarwal infracon
it services & consulting,"mumbai, india",vara united
industrial machinery,"rajkot, gujarat, india",jyoti cnc automation
pharma,"tokyo,tokyo-to, japan",eisai pharmaceuticals
telecom,"kota, rajasthan, india",nr switch n radio services
pharma,"pune, india",serum institute of india
nbfc,"mumbai, maharashtra, india",reliance home finance
it services & consulting,"mumbai, maharashtra, india",onward eservices
insurance,"mumbai, maharashtra, india",manipalcigna health insurance
industrial machinery,"irving, texas, united states (usa)",flowserve
medical equipment,"franklin lakes, new jersey, united states (usa)",becton dickinson
fashion & textile,"calicut/kozhikode, kerala, india",vkc group
ports & shipping,"mumbai, maharashtra, india",mazagon dock
nbfc,"mumbai, maharashtra, india",indostar capital finance
electronics manufacturing,"bangalore/bengaluru, karnataka, india",essae teraoka
engineering & construction,"chennai, tamil nadu, india",eta engineering
design,"pully, switzerland",tetra pak
it services & consulting,"hyderabad/secunderabad, telangana, india",wissen infotech
it services & consulting,"mc lean, united states (usa)",avineon india
engineering & construction,"nagpur, maharashtra, india",sms infrastructure
engineering & construction,"chennai, tamil nadu, india",urc construction
it services & consulting,"englewood,colorado, united states",csg international
consumer electronics & appliances,"munich, munich, germany",bsh household appliances manufacturing
other,"jaipur, rajasthan, india",consulting engineers group
other,"st. louis, missouri, united states (usa)",emerson network power
,,bharat fih
internet,"mumbai, maharashtra, india",people group
internet,"berlin,berlin, germany",foodpanda
chemicals,"kolkata, west bengal, india",phillips carbon black
it services & consulting,"san jose, california, united states (usa)",einfochips
auto components,"delhi/ncr, delhi, india",ralson india
it services & consulting,"pipitea, wellington, new zealand",codeclouds
internet,"bangalore, india",zolo
building material,"london,england, united kingdom",cera sanitaryware
power,"trivandrum/thiruvananthapuram, kerala, india",kerala state electricity board
real estate,"gurgaon/gurugram, haryana, india",360 realtors
power,"delhi/ncr, delhi, india",spml infra
it services & consulting,"chennai, tamil nadu, india",thryve digital
education & training,,sns college of technology
industrial machinery,"coimbatore, tamil nadu, india",elgi equipments
logistics,"ashland, massachusetts, united states (usa)",onprocess technology
chemicals,"chennai, tamil nadu, india",sheenlac paints
bpo,"chandigarh, haryana, india",competent synergies
,"delhi/ncr, new delhi, india",alankit
banking,"noida, uttar pradesh, india",shivalik small finance bank
,"dehradun, india",zeetech management and marketing
real estate,"pune, maharashtra, india",kolte patil developers
software product,"pune, maharashtra, india",nice
consumer electronics & appliances,"chennai, tamil nadu, india",syrma technology
it services & consulting,"york, pennsylvania, united states (usa)",ggs information services
,"troy, michigan, united states (usa)",kelly services
auto components,"faridabad, haryana, india",victora tool engineers
management consulting,"london, united kingdom (uk)",capco technologies
insurance,"bangalore/bengaluru, karnataka, india",xl health
